District,Poll Number,Poll Name,Stéphane Bergeron,Sébastien Drouin,Philippe Morlighem,Francis-Pierre Rémillard,Nathalie Tousignant,Simon Vallée,Rejected Ballots,Total Vote,Electors
Verchères--Les Patriotes/Verchères--Les Patriotes,32,Saint-Marc-sur-Richelieu,178,4,9,15,45,6,2,259,418
Verchères--Les Patriotes/Verchères--Les Patriotes,33,Saint-Marc-sur-Richelieu,172,0,9,12,55,9,5,262,376
Verchères--Les Patriotes/Verchères--Les Patriotes,34,Saint-Charles-sur-Richelieu,197,4,7,23,75,12,3,321,499
Verchères--Les Patriotes/Verchères--Les Patriotes,35,Saint-Charles-sur-Richelieu,157,3,11,13,42,5,2,233,335
Verchères--Les Patriotes/Verchères--Les Patriotes,36,Saint-Charles-sur-Richelieu,177,2,6,22,53,6,0,266,432
Verchères--Les Patriotes/Verchères--Les Patriotes,37,Saint-Charles-sur-Richelieu,69,3,1,4,15,7,1,100,172
Verchères--Les Patriotes/Verchères--Les Patriotes,38,Varennes,184,3,5,23,58,10,6,289,452
Verchères--Les Patriotes/Verchères--Les Patriotes,39,Varennes,51,0,1,10,44,1,1,108,177
Verchères--Les Patriotes/Verchères--Les Patriotes,40,Varennes,188,3,12,20,31,7,6,267,442
Verchères--Les Patriotes/Verchères--Les Patriotes,41,Varennes,158,3,5,14,46,6,2,234,390
Verchères--Les Patriotes/Verchères--Les Patriotes,42,Varennes,163,2,8,8,64,9,6,260,359
Verchères--Les Patriotes/Verchères--Les Patriotes,43,Varennes,170,1,7,7,28,6,9,228,389
Verchères--Les Patriotes/Verchères--Les Patriotes,44,Varennes,130,2,3,6,23,10,2,176,298
Verchères--Les Patriotes/Verchères--Les Patriotes,45,Varennes,169,1,4,7,33,12,6,232,420
Verchères--Les Patriotes/Verchères--Les Patriotes,46,Varennes,223,5,4,22,48,9,11,322,524
Verchères--Les Patriotes/Verchères--Les Patriotes,47,Varennes,134,3,4,6,39,8,3,197,389
Verchères--Les Patriotes/Verchères--Les Patriotes,48,Varennes,193,1,3,9,53,11,9,279,407
Verchères--Les Patriotes/Verchères--Les Patriotes,49,Varennes,134,2,4,6,40,4,1,191,287
Verchères--Les Patriotes/Verchères--Les Patriotes,50,Varennes,218,0,2,11,51,8,9,299,435
Verchères--Les Patriotes/Verchères--Les Patriotes,51,Varennes,177,5,1,7,36,11,4,241,391
Verchères--Les Patriotes/Verchères--Les Patriotes,52,Varennes,237,3,0,16,32,9,5,302,457
Verchères--Les Patriotes/Verchères--Les Patriotes,53,Varennes,186,2,3,9,22,9,5,236,368
Verchères--Les Patriotes/Verchères--Les Patriotes,54,Varennes,223,1,2,6,29,10,7,278,445
Verchères--Les Patriotes/Verchères--Les Patriotes,55,Varennes,118,5,2,5,25,11,4,170,280
Verchères--Les Patriotes/Verchères--Les Patriotes,56,Varennes,169,3,3,11,59,12,2,259,381
Verchères--Les Patriotes/Verchères--Les Patriotes,57,Varennes,203,2,9,12,56,10,9,301,428
Verchères--Les Patriotes/Verchères--Les Patriotes,58,Varennes,277,5,8,10,44,13,8,365,557
Verchères--Les Patriotes/Verchères--Les Patriotes,59,Varennes,202,6,6,17,51,8,1,291,415
Verchères--Les Patriotes/Verchères--Les Patriotes,60,Varennes,261,5,8,9,50,8,0,341,522
Verchères--Les Patriotes/Verchères--Les Patriotes,61,Varennes,217,2,9,12,40,9,5,294,453
Verchères--Les Patriotes/Verchères--Les Patriotes,62,Varennes,198,4,7,10,39,10,9,277,398
Verchères--Les Patriotes/Verchères--Les Patriotes,63,Varennes,255,2,13,15,45,15,1,346,503
Verchères--Les Patriotes/Verchères--Les Patriotes,64,Varennes,247,3,13,9,48,17,4,341,529
Verchères--Les Patriotes/Verchères--Les Patriotes,65,Varennes,231,2,7,11,52,8,11,322,466
Verchères--Les Patriotes/Verchères--Les Patriotes,66,Varennes,207,4,12,10,40,11,1,285,456
Verchères--Les Patriotes/Verchères--Les Patriotes,67,Varennes,175,1,5,10,46,9,5,251,486
Verchères--Les Patriotes/Verchères--Les Patriotes,68,Varennes,254,2,9,19,50,21,6,361,559
Verchères--Les Patriotes/Verchères--Les Patriotes,69,Varennes,159,2,4,12,41,4,5,227,345
Verchères--Les Patriotes/Verchères--Les Patriotes,70,Varennes,170,4,8,16,38,9,6,251,421
Verchères--Les Patriotes/Verchères--Les Patriotes,71,Varennes,266,3,9,25,65,8,5,381,632
Verchères--Les Patriotes/Verchères--Les Patriotes,71-1,Varennes,175,3,4,17,50,12,3,264,425
Verchères--Les Patriotes/Verchères--Les Patriotes,72,Varennes,58,2,0,11,25,2,1,99,180
Verchères--Les Patriotes/Verchères--Les Patriotes,73,Saint-Amable,241,0,5,8,35,4,8,301,542
Verchères--Les Patriotes/Verchères--Les Patriotes,74,Saint-Amable,184,5,3,10,36,6,8,252,442
Verchères--Les Patriotes/Verchères--Les Patriotes,75,Saint-Amable,202,6,1,11,25,6,3,254,520
Verchères--Les Patriotes/Verchères--Les Patriotes,76,Saint-Amable,191,1,3,16,41,6,2,260,405
Verchères--Les Patriotes/Verchères--Les Patriotes,77,Saint-Amable,183,2,1,19,34,4,8,251,452
Verchères--Les Patriotes/Verchères--Les Patriotes,78,Saint-Amable,163,0,0,13,36,2,6,220,485
Verchères--Les Patriotes/Verchères--Les Patriotes,79,Saint-Amable,79,2,3,2,20,3,1,110,199
Verchères--Les Patriotes/Verchères--Les Patriotes,80,Saint-Amable,166,1,1,16,26,3,2,215,392
Verchères--Les Patriotes/Verchères--Les Patriotes,81,Saint-Amable,132,2,1,8,27,6,2,178,353
Verchères--Les Patriotes/Verchères--Les Patriotes,82,Saint-Amable,143,3,3,15,17,7,4,192,386
Verchères--Les Patriotes/Verchères--Les Patriotes,83,Saint-Amable,203,2,4,17,27,9,3,265,513
Verchères--Les Patriotes/Verchères--Les Patriotes,84,Saint-Amable,181,0,2,9,30,8,3,233,460
Verchères--Les Patriotes/Verchères--Les Patriotes,85,Saint-Amable,170,1,2,14,19,5,7,218,444
Verchères--Les Patriotes/Verchères--Les Patriotes,86,Sainte-Julie,140,8,1,12,38,6,7,212,414
Verchères--Les Patriotes/Verchères--Les Patriotes,87,Sainte-Julie,219,4,7,12,43,16,2,303,445
Verchères--Les Patriotes/Verchères--Les Patriotes,88,Sainte-Julie,131,3,4,10,47,7,2,204,311
Verchères--Les Patriotes/Verchères--Les Patriotes,89,Sainte-Julie,175,3,7,7,55,8,5,260,375
Verchères--Les Patriotes/Verchères--Les Patriotes,90,Sainte-Julie,155,1,2,5,31,11,1,206,340
Verchères--Les Patriotes/Verchères--Les Patriotes,91,Sainte-Julie,186,2,4,6,41,11,9,259,344
Verchères--Les Patriotes/Verchères--Les Patriotes,92,Sainte-Julie,169,2,7,7,34,13,2,234,421
Verchères--Les Patriotes/Verchères--Les Patriotes,93,Sainte-Julie,218,4,6,15,45,10,7,305,497
Verchères--Les Patriotes/Verchères--Les Patriotes,94,Sainte-Julie,165,2,6,7,36,5,4,225,351
Verchères--Les Patriotes/Verchères--Les Patriotes,95,Sainte-Julie,153,0,3,16,37,8,7,224,365
Verchères--Les Patriotes/Verchères--Les Patriotes,96,Sainte-Julie,206,4,4,19,56,8,8,305,483
Verchères--Les Patriotes/Verchères--Les Patriotes,97,Sainte-Julie,181,1,5,12,34,12,8,253,372
Verchères--Les Patriotes/Verchères--Les Patriotes,98,Sainte-Julie,148,2,6,16,48,6,7,233,391
Verchères--Les Patriotes/Verchères--Les Patriotes,99,Sainte-Julie,172,1,5,14,50,8,9,259,388
Verchères--Les Patriotes/Verchères--Les Patriotes,100,Sainte-Julie,204,5,2,24,46,17,2,300,422
Verchères--Les Patriotes/Verchères--Les Patriotes,101,Sainte-Julie,214,5,5,14,56,9,8,311,481
Verchères--Les Patriotes/Verchères--Les Patriotes,102,Sainte-Julie,174,3,3,14,55,9,9,267,442
Verchères--Les Patriotes/Verchères--Les Patriotes,103,Sainte-Julie,118,1,1,10,39,7,3,179,279
Verchères--Les Patriotes/Verchères--Les Patriotes,104,Sainte-Julie,303,4,9,21,116,18,15,486,734
Verchères--Les Patriotes/Verchères--Les Patriotes,105,Sainte-Julie,143,0,5,8,55,5,6,222,374
Verchères--Les Patriotes/Verchères--Les Patriotes,106,Sainte-Julie,117,0,0,4,23,5,5,154,258
Verchères--Les Patriotes/Verchères--Les Patriotes,107,Sainte-Julie,193,1,3,9,33,2,3,244,354
Verchères--Les Patriotes/Verchères--Les Patriotes,108,Sainte-Julie,219,2,2,13,35,4,4,279,408
Verchères--Les Patriotes/Verchères--Les Patriotes,109,Sainte-Julie,196,2,8,14,75,9,5,309,465
Verchères--Les Patriotes/Verchères--Les Patriotes,110,Sainte-Julie,228,5,5,18,48,16,8,328,491
Verchères--Les Patriotes/Verchères--Les Patriotes,111,Sainte-Julie,177,2,1,9,60,6,8,263,384
Verchères--Les Patriotes/Verchères--Les Patriotes,112,Sainte-Julie,171,2,5,11,29,5,8,231,362
Verchères--Les Patriotes/Verchères--Les Patriotes,113,Sainte-Julie,143,0,7,11,53,9,1,224,366
Verchères--Les Patriotes/Verchères--Les Patriotes,114,Sainte-Julie,211,1,7,18,58,12,4,311,441
Verchères--Les Patriotes/Verchères--Les Patriotes,115,Sainte-Julie,165,3,2,15,49,11,3,248,374
Verchères--Les Patriotes/Verchères--Les Patriotes,116,Sainte-Julie,179,3,5,18,39,10,6,260,377
Verchères--Les Patriotes/Verchères--Les Patriotes,117,Sainte-Julie,279,2,3,26,70,14,8,402,599
Verchères--Les Patriotes/Verchères--Les Patriotes,118,Sainte-Julie,220,1,6,28,58,12,3,328,534
Verchères--Les Patriotes/Verchères--Les Patriotes,119,Sainte-Julie,216,2,5,10,77,9,10,329,511
Verchères--Les Patriotes/Verchères--Les Patriotes,120,Sainte-Julie,219,1,6,21,66,14,3,330,471
Verchères--Les Patriotes/Verchères--Les Patriotes,121,Sainte-Julie,350,2,9,31,71,15,10,488,891
Verchères--Les Patriotes/Verchères--Les Patriotes,122,Sainte-Julie,317,2,12,23,74,24,8,460,674
Verchères--Les Patriotes/Verchères--Les Patriotes,123,Sainte-Julie,206,12,5,19,57,11,6,316,518
Verchères--Les Patriotes/Verchères--Les Patriotes,124,Sainte-Julie,178,4,5,16,74,12,8,297,484
Verchères--Les Patriotes/Verchères--Les Patriotes,125,Sainte-Julie,127,2,2,15,39,6,6,197,405
Verchères--Les Patriotes/Verchères--Les Patriotes,126,Sainte-Julie,100,4,2,11,39,8,3,167,315
Verchères--Les Patriotes/Verchères--Les Patriotes,127,Sainte-Julie,154,1,6,12,45,8,3,229,494
Verchères--Les Patriotes/Verchères--Les Patriotes,128,Sainte-Julie,218,2,8,13,77,24,5,347,509
Verchères--Les Patriotes/Verchères--Les Patriotes,129,Sainte-Julie,164,1,14,21,79,25,1,305,408
Verchères--Les Patriotes/Verchères--Les Patriotes,130,Sainte-Julie,136,2,6,26,75,11,1,257,362
Verchères--Les Patriotes/Verchères--Les Patriotes,131,Sainte-Julie,167,0,7,5,73,21,6,279,396
Verchères--Les Patriotes/Verchères--Les Patriotes,132,Sainte-Julie,120,3,8,7,80,8,2,228,344
Verchères--Les Patriotes/Verchères--Les Patriotes,133,Sainte-Julie,211,3,2,30,116,13,9,384,544
Verchères--Les Patriotes/Verchères--Les Patriotes,134,Boucherville,130,2,12,8,54,10,2,218,366
Verchères--Les Patriotes/Verchères--Les Patriotes,135,Boucherville,148,4,4,13,62,13,0,244,340
Verchères--Les Patriotes/Verchères--Les Patriotes,136,Boucherville,138,3,4,5,66,13,5,234,360
Verchères--Les Patriotes/Verchères--Les Patriotes,137,Boucherville,223,2,5,19,90,26,8,373,553
Verchères--Les Patriotes/Verchères--Les Patriotes,138,Boucherville,151,4,5,22,55,13,5,255,412
Verchères--Les Patriotes/Verchères--Les Patriotes,139,Boucherville,128,2,3,15,67,17,2,234,356
Verchères--Les Patriotes/Verchères--Les Patriotes,140,Boucherville,133,1,3,11,72,9,3,232,353
Verchères--Les Patriotes/Verchères--Les Patriotes,141,Boucherville,153,3,6,21,70,15,7,275,391
Verchères--Les Patriotes/Verchères--Les Patriotes,142,Boucherville,154,4,6,17,77,12,3,273,388
Verchères--Les Patriotes/Verchères--Les Patriotes,143,Boucherville,170,2,6,12,84,8,6,288,426
Verchères--Les Patriotes/Verchères--Les Patriotes,144,Boucherville,159,5,1,13,53,18,7,256,419
Verchères--Les Patriotes/Verchères--Les Patriotes,145,Boucherville,136,0,7,13,55,11,5,227,353
Verchères--Les Patriotes/Verchères--Les Patriotes,146,Boucherville,135,1,7,8,88,13,7,259,367
Verchères--Les Patriotes/Verchères--Les Patriotes,147,Boucherville,146,1,5,20,86,16,3,277,419
Verchères--Les Patriotes/Verchères--Les Patriotes,148,Boucherville,164,1,4,15,65,11,6,266,440
Verchères--Les Patriotes/Verchères--Les Patriotes,149,Boucherville,128,1,8,10,51,5,2,205,320
Verchères--Les Patriotes/Verchères--Les Patriotes,150,Boucherville,127,1,10,4,34,7,3,186,312
Verchères--Les Patriotes/Verchères--Les Patriotes,151,Boucherville,89,1,2,9,46,4,7,158,262
Verchères--Les Patriotes/Verchères--Les Patriotes,152,Boucherville,156,3,7,2,35,8,2,213,383
Verchères--Les Patriotes/Verchères--Les Patriotes,153,Boucherville,127,3,8,7,58,7,12,222,318
Verchères--Les Patriotes/Verchères--Les Patriotes,154,Boucherville,107,2,6,13,62,14,3,207,312
Verchères--Les Patriotes/Verchères--Les Patriotes,155,Boucherville,150,3,5,17,56,6,2,239,425
Verchères--Les Patriotes/Verchères--Les Patriotes,156,Boucherville,209,0,11,14,65,21,5,325,498
Verchères--Les Patriotes/Verchères--Les Patriotes,157,Boucherville,178,2,11,18,102,16,6,333,507
Verchères--Les Patriotes/Verchères--Les Patriotes,158,Boucherville,178,2,6,17,69,20,8,300,444
Verchères--Les Patriotes/Verchères--Les Patriotes,159,Boucherville,123,3,11,17,80,10,2,246,386
Verchères--Les Patriotes/Verchères--Les Patriotes,160,Boucherville,161,2,13,10,103,18,2,309,470
Verchères--Les Patriotes/Verchères--Les Patriotes,161,Boucherville,180,2,7,15,98,9,3,314,477
Verchères--Les Patriotes/Verchères--Les Patriotes,162,Boucherville,88,1,8,11,44,9,2,163,279
Verchères--Les Patriotes/Verchères--Les Patriotes,163,Boucherville,134,0,6,10,61,7,2,220,344
Verchères--Les Patriotes/Verchères--Les Patriotes,164,Boucherville,169,5,0,12,108,14,7,315,434
Verchères--Les Patriotes/Verchères--Les Patriotes,165,Boucherville,135,1,2,12,91,10,3,254,395
Verchères--Les Patriotes/Verchères--Les Patriotes,166,Boucherville,174,5,5,10,62,11,2,269,380
Verchères--Les Patriotes/Verchères--Les Patriotes,167,Boucherville,165,1,11,24,64,17,5,287,438
Verchères--Les Patriotes/Verchères--Les Patriotes,168,Boucherville,257,2,3,22,180,14,5,483,731
Verchères--Les Patriotes/Verchères--Les Patriotes,168-1A,Boucherville,191,2,6,22,119,20,4,364,546
Verchères--Les Patriotes/Verchères--Les Patriotes,168-1B,Boucherville,206,1,5,27,102,16,0,357,557
Verchères--Les Patriotes/Verchères--Les Patriotes,500,Mobile poll/Bureau itinérant,31,0,4,4,30,0,7,76,196
Verchères--Les Patriotes/Verchères--Les Patriotes,501,Mobile poll/Bureau itinérant,21,0,0,0,14,3,0,38,157
Verchères--Les Patriotes/Verchères--Les Patriotes,502,Mobile poll/Bureau itinérant,34,2,1,7,21,4,1,70,184
Verchères--Les Patriotes/Verchères--Les Patriotes,600,Contrecoeur,188,1,3,35,80,6,7,320,
Verchères--Les Patriotes/Verchères--Les Patriotes,601,Calixa-Lavallée,193,0,9,19,57,12,0,290,
Verchères--Les Patriotes/Verchères--Les Patriotes,602,Saint-Marc-sur-Richelieu,170,0,3,17,40,9,1,240,
Verchères--Les Patriotes/Verchères--Les Patriotes,603,Varennes,626,4,15,63,186,31,17,942,
Verchères--Les Patriotes/Verchères--Les Patriotes,604,Saint-Amable,144,4,3,23,42,4,2,222,
Verchères--Les Patriotes/Verchères--Les Patriotes,605,Sainte-Julie,314,2,9,27,69,13,4,438,
Verchères--Les Patriotes/Verchères--Les Patriotes,606,Sainte-Julie,303,1,6,40,115,10,12,487,
Verchères--Les Patriotes/Verchères--Les Patriotes,607,Sainte-Julie,189,1,8,33,83,8,6,328,
Verchères--Les Patriotes/Verchères--Les Patriotes,608,Longueuil,218,1,15,30,166,25,0,455,
Verchères--Les Patriotes/Verchères--Les Patriotes,609,Longueuil,323,6,10,48,199,31,11,628,
Verchères--Les Patriotes/Verchères--Les Patriotes,,Group 1/Groupe 1,21,2,1,19,20,2,2,67,141
Verchères--Les Patriotes/Verchères--Les Patriotes,,Group 2/Groupe 2,293,2,4,50,110,14,10,483,
