District,Poll Number,Poll Name,Joel E. Bernard,Yvon Godin,Mario Lanteigne,Serge Rousselle,Rejected Ballots,Total Vote,Electors
Acadie--Bathurst/Acadie--Bathurst,34,Bathurst,68,54,4,150,0,276,442
Acadie--Bathurst/Acadie--Bathurst,35,Bathurst,38,72,7,101,2,220,364
Acadie--Bathurst/Acadie--Bathurst,36,Bathurst,21,71,4,41,2,139,273
Acadie--Bathurst/Acadie--Bathurst,37,Bathurst,39,79,2,107,4,231,404
Acadie--Bathurst/Acadie--Bathurst,38A,Bathurst,24,66,2,59,1,152,330
Acadie--Bathurst/Acadie--Bathurst,38B,Mobile poll/Bureau itinérant,Merged with No. 507,,,,,,5
Acadie--Bathurst/Acadie--Bathurst,39,Bathurst,25,68,7,75,2,177,337
Acadie--Bathurst/Acadie--Bathurst,40,Bathurst,24,75,4,72,0,175,333
Acadie--Bathurst/Acadie--Bathurst,41,Bathurst,29,68,3,69,1,170,291
Acadie--Bathurst/Acadie--Bathurst,42,Bathurst,16,56,1,65,0,138,292
Acadie--Bathurst/Acadie--Bathurst,43,Bathurst,21,69,3,87,2,182,346
Acadie--Bathurst/Acadie--Bathurst,44,Bathurst,22,46,1,42,0,111,292
Acadie--Bathurst/Acadie--Bathurst,45,Bathurst,11,53,2,31,4,101,271
Acadie--Bathurst/Acadie--Bathurst,46,Bathurst,24,72,1,54,0,151,392
Acadie--Bathurst/Acadie--Bathurst,47A,Bathurst,24,49,3,55,1,132,320
Acadie--Bathurst/Acadie--Bathurst,47B,Mobile poll/Bureau itinérant,Merged with No. 508,,,,,,19
Acadie--Bathurst/Acadie--Bathurst,48,Bathurst,20,74,4,44,0,142,343
Acadie--Bathurst/Acadie--Bathurst,49,Bathurst,13,45,0,22,0,80,203
Acadie--Bathurst/Acadie--Bathurst,50A,Bathurst,15,42,0,29,0,86,225
Acadie--Bathurst/Acadie--Bathurst,50B,Mobile poll/Bureau itinérant,Merged with No. 508,,,,,,17
Acadie--Bathurst/Acadie--Bathurst,51A,Bathurst,42,89,5,72,2,210,335
Acadie--Bathurst/Acadie--Bathurst,51B,Mobile poll/Bureau itinérant,Merged with No. 501,,,,,,15
Acadie--Bathurst/Acadie--Bathurst,52,Bathurst,33,54,9,97,0,193,349
Acadie--Bathurst/Acadie--Bathurst,53,Bathurst,20,43,1,58,0,122,241
Acadie--Bathurst/Acadie--Bathurst,54,Bathurst,17,64,2,42,1,126,300
Acadie--Bathurst/Acadie--Bathurst,55,Bathurst,9,66,2,64,2,143,351
Acadie--Bathurst/Acadie--Bathurst,56,Bathurst,22,71,1,54,1,149,363
Acadie--Bathurst/Acadie--Bathurst,57,Bathurst,9,37,1,47,1,95,285
Acadie--Bathurst/Acadie--Bathurst,58,Bathurst,21,27,2,29,2,81,297
Acadie--Bathurst/Acadie--Bathurst,59,Bathurst,12,35,1,43,2,93,312
Acadie--Bathurst/Acadie--Bathurst,60,Bathurst,15,94,0,50,3,162,376
Acadie--Bathurst/Acadie--Bathurst,61,Bathurst,30,80,3,52,1,166,345
Acadie--Bathurst/Acadie--Bathurst,62,Bathurst,25,56,4,76,0,161,314
Acadie--Bathurst/Acadie--Bathurst,63,Bathurst,34,105,3,54,1,197,436
Acadie--Bathurst/Acadie--Bathurst,64,Bathurst,19,76,4,58,0,157,366
Acadie--Bathurst/Acadie--Bathurst,65,Bathurst,25,90,1,57,2,175,336
Acadie--Bathurst/Acadie--Bathurst,66,Bathurst,13,110,0,28,0,151,297
Acadie--Bathurst/Acadie--Bathurst,67,Salmon Beach,55,104,3,31,1,194,301
Acadie--Bathurst/Acadie--Bathurst,68A,Canobie,52,167,5,58,1,283,456
Acadie--Bathurst/Acadie--Bathurst,68B,Mobile poll/Bureau itinérant,Merged with No. 502,,,,,,8
Acadie--Bathurst/Acadie--Bathurst,69,New Bandon,19,72,5,35,2,133,200
Acadie--Bathurst/Acadie--Bathurst,70,Dugas,1,61,1,11,1,75,140
Acadie--Bathurst/Acadie--Bathurst,71,Anse-Bleue,22,183,11,46,3,265,362
Acadie--Bathurst/Acadie--Bathurst,72,Grande Anse,6,165,6,59,1,237,378
Acadie--Bathurst/Acadie--Bathurst,73,Grande Anse,13,139,6,41,2,201,346
Acadie--Bathurst/Acadie--Bathurst,74,Saint-Léolin,11,164,0,45,1,221,330
Acadie--Bathurst/Acadie--Bathurst,75,Saint-Léolin,8,123,2,69,3,205,306
Acadie--Bathurst/Acadie--Bathurst,76,Maisonnette,1,117,5,21,0,144,220
Acadie--Bathurst/Acadie--Bathurst,77,Maisonnette,7,174,2,63,2,248,322
Acadie--Bathurst/Acadie--Bathurst,78,Bertrand,14,120,18,58,1,211,298
Acadie--Bathurst/Acadie--Bathurst,79,Bertrand,17,202,14,86,3,322,462
Acadie--Bathurst/Acadie--Bathurst,80,Bertrand,11,144,8,52,1,216,301
Acadie--Bathurst/Acadie--Bathurst,81,Sainte-Anne-du-Bocage,9,153,29,76,2,269,414
Acadie--Bathurst/Acadie--Bathurst,82A,Pointe-Rocheuse,9,149,27,98,3,286,416
Acadie--Bathurst/Acadie--Bathurst,82B,Mobile poll/Bureau itinérant,Merged with No. 502,,,,,,2
Acadie--Bathurst/Acadie--Bathurst,83,Pointe-Rocheuse,11,105,20,106,1,243,354
Acadie--Bathurst/Acadie--Bathurst,84,Caraquet,9,107,17,100,2,235,369
Acadie--Bathurst/Acadie--Bathurst,85,Caraquet,10,75,16,71,3,175,324
Acadie--Bathurst/Acadie--Bathurst,86,Caraquet,22,137,13,83,6,261,437
Acadie--Bathurst/Acadie--Bathurst,87,Caraquet,20,157,13,74,1,265,447
Acadie--Bathurst/Acadie--Bathurst,88,Caraquet,27,138,21,71,3,260,420
Acadie--Bathurst/Acadie--Bathurst,89,Caraquet,17,149,12,88,5,271,421
Acadie--Bathurst/Acadie--Bathurst,90,Bas-Caraquet,19,128,5,53,0,205,310
Acadie--Bathurst/Acadie--Bathurst,91,Bas-Caraquet,37,106,10,89,5,247,346
Acadie--Bathurst/Acadie--Bathurst,92,Bas-Caraquet,10,181,3,35,3,232,349
Acadie--Bathurst/Acadie--Bathurst,93,Bas-Caraquet,34,148,5,47,2,236,345
Acadie--Bathurst/Acadie--Bathurst,94,Pokesudie,16,139,5,29,1,190,264
Acadie--Bathurst/Acadie--Bathurst,95A,Saint-Simon,23,93,14,79,0,209,290
Acadie--Bathurst/Acadie--Bathurst,95B,Saint-Simon,17,132,4,74,0,227,337
Acadie--Bathurst/Acadie--Bathurst,96,Blanchard Settlement,25,146,5,77,1,254,382
Acadie--Bathurst/Acadie--Bathurst,97,Miscou Plains,27,57,4,31,4,123,175
Acadie--Bathurst/Acadie--Bathurst,98,Miscou Centre,42,131,9,72,0,254,379
Acadie--Bathurst/Acadie--Bathurst,99,Pigeon Hill,40,101,4,65,2,212,279
Acadie--Bathurst/Acadie--Bathurst,100,Pigeon Hill,33,90,2,56,5,186,264
Acadie--Bathurst/Acadie--Bathurst,101,Cap-Bateau,33,92,3,49,4,181,236
Acadie--Bathurst/Acadie--Bathurst,102,Coteau Road,37,161,5,67,3,273,343
Acadie--Bathurst/Acadie--Bathurst,103,Petite-Rivière-de-l'Ile,33,169,3,42,4,251,381
Acadie--Bathurst/Acadie--Bathurst,104,Petite-Rivière-de-l'Ile,16,79,5,37,1,138,191
Acadie--Bathurst/Acadie--Bathurst,105,Sainte-Cécile,13,84,2,22,0,121,189
Acadie--Bathurst/Acadie--Bathurst,106,Pointe-Canot,22,112,3,20,10,167,222
Acadie--Bathurst/Acadie--Bathurst,107,Petite-Lamèque,43,88,0,45,7,183,276
Acadie--Bathurst/Acadie--Bathurst,108,Pointe-Alexandre,25,93,7,52,5,182,263
Acadie--Bathurst/Acadie--Bathurst,109,Haut-Lamèque,33,89,5,53,2,182,267
Acadie--Bathurst/Acadie--Bathurst,110,Chiasson,18,174,3,76,4,275,424
Acadie--Bathurst/Acadie--Bathurst,111,Haut-Shippegan,28,111,13,40,5,197,310
Acadie--Bathurst/Acadie--Bathurst,112,Pointe-Sauvage,2,32,0,15,2,51,100
Acadie--Bathurst/Acadie--Bathurst,113,Le Goulet,14,63,5,26,2,110,176
Acadie--Bathurst/Acadie--Bathurst,114,Shippagan,32,120,6,45,8,211,431
Acadie--Bathurst/Acadie--Bathurst,115,Shippagan,56,146,10,68,7,287,497
Acadie--Bathurst/Acadie--Bathurst,116,Shippagan,16,57,7,31,1,112,232
Acadie--Bathurst/Acadie--Bathurst,117,Shippagan,41,116,7,68,3,235,427
Acadie--Bathurst/Acadie--Bathurst,118,Shippagan,22,114,8,57,3,204,393
Acadie--Bathurst/Acadie--Bathurst,119,Shippagan,32,81,5,74,6,198,331
Acadie--Bathurst/Acadie--Bathurst,120,Le Goulet,56,149,8,52,3,268,349
Acadie--Bathurst/Acadie--Bathurst,121,Le Goulet,40,212,4,110,5,371,511
Acadie--Bathurst/Acadie--Bathurst,122,Lamèque,38,105,5,46,7,201,369
Acadie--Bathurst/Acadie--Bathurst,123,Lamèque,30,52,2,39,6,129,257
Acadie--Bathurst/Acadie--Bathurst,124,Lamèque,29,59,9,62,1,160,293
Acadie--Bathurst/Acadie--Bathurst,125,Lamèque,34,76,8,49,5,172,316
Acadie--Bathurst/Acadie--Bathurst,126,Sainte-Marie--Saint-Raphaël,21,165,1,40,5,232,349
Acadie--Bathurst/Acadie--Bathurst,127,Sainte-Marie--Saint-Raphaël,23,112,5,53,8,201,278
Acadie--Bathurst/Acadie--Bathurst,128,Sainte-Marie--Saint-Raphaël,34,133,6,55,5,233,298
Acadie--Bathurst/Acadie--Bathurst,129,Maltampec,22,187,2,101,3,315,449
Acadie--Bathurst/Acadie--Bathurst,130,Maltampec,9,60,4,24,1,98,175
Acadie--Bathurst/Acadie--Bathurst,131,Pokemouche,28,142,8,59,4,241,325
Acadie--Bathurst/Acadie--Bathurst,132,Evangeline,9,172,4,46,1,232,330
Acadie--Bathurst/Acadie--Bathurst,133,Inkerman,13,176,6,45,5,245,344
Acadie--Bathurst/Acadie--Bathurst,134,Inkerman,30,84,1,63,0,178,282
Acadie--Bathurst/Acadie--Bathurst,135,Four Roads,19,112,4,36,4,175,234
Acadie--Bathurst/Acadie--Bathurst,136,Six Roads,13,177,7,51,5,253,388
Acadie--Bathurst/Acadie--Bathurst,137,Six Roads--Sainte-Rose,6,107,3,26,3,145,225
Acadie--Bathurst/Acadie--Bathurst,138A,Sainte-Rose,15,101,3,36,6,161,252
Acadie--Bathurst/Acadie--Bathurst,138B,Sainte-Rose,11,116,4,42,5,178,274
Acadie--Bathurst/Acadie--Bathurst,139,Losier Settlement,6,108,2,45,0,161,262
Acadie--Bathurst/Acadie--Bathurst,140,Trudel,16,192,8,65,4,285,441
Acadie--Bathurst/Acadie--Bathurst,141,Notre-Dame-des-Érables,9,273,3,48,6,339,391
Acadie--Bathurst/Acadie--Bathurst,142,Haut-Paquetville,10,77,2,21,0,110,178
Acadie--Bathurst/Acadie--Bathurst,143,Petit-Paquetville,11,117,2,61,1,192,302
Acadie--Bathurst/Acadie--Bathurst,144,Rang-Saint-Georges,11,222,3,39,3,278,457
Acadie--Bathurst/Acadie--Bathurst,145,Bois-Blanc,6,120,5,21,5,157,222
Acadie--Bathurst/Acadie--Bathurst,146,Val-Doucet,12,194,2,39,0,247,430
Acadie--Bathurst/Acadie--Bathurst,147,Paquetville,21,129,1,62,1,214,299
Acadie--Bathurst/Acadie--Bathurst,148,Paquetville,8,75,4,44,2,133,218
Acadie--Bathurst/Acadie--Bathurst,149,Duguayville,8,100,1,41,2,152,258
Acadie--Bathurst/Acadie--Bathurst,150,Hacheyville,5,105,1,37,1,149,246
Acadie--Bathurst/Acadie--Bathurst,151,Tilley Road et Bois Gagnon,11,144,3,73,2,233,364
Acadie--Bathurst/Acadie--Bathurst,152,Tilley Road,5,117,2,57,3,184,264
Acadie--Bathurst/Acadie--Bathurst,153A,Saint-Sauveur,4,190,0,30,2,226,303
Acadie--Bathurst/Acadie--Bathurst,153B,Saint-Sauveur,4,186,1,11,4,206,280
Acadie--Bathurst/Acadie--Bathurst,154,Saint-Sauveur,Void,,,,,,
Acadie--Bathurst/Acadie--Bathurst,155,Allardville East,Void,,,,,,
Acadie--Bathurst/Acadie--Bathurst,156,Saint-Isidore,11,115,1,115,1,243,329
Acadie--Bathurst/Acadie--Bathurst,157,Saint-Isidore,10,126,3,114,2,255,350
Acadie--Bathurst/Acadie--Bathurst,158A,Pont-Landry,20,174,6,73,1,274,384
Acadie--Bathurst/Acadie--Bathurst,158B,Pont-Landry,16,165,1,78,1,261,396
Acadie--Bathurst/Acadie--Bathurst,159,Gauvreau,9,111,1,49,2,172,256
Acadie--Bathurst/Acadie--Bathurst,160,Trout Stream,18,110,7,97,2,234,385
Acadie--Bathurst/Acadie--Bathurst,161,Saumarez,22,189,6,105,5,327,434
Acadie--Bathurst/Acadie--Bathurst,162,Saumarez,11,109,5,39,1,165,290
Acadie--Bathurst/Acadie--Bathurst,163,Benoit,13,51,2,56,1,123,183
Acadie--Bathurst/Acadie--Bathurst,164A,Saint-Irénée,14,132,2,100,1,249,341
Acadie--Bathurst/Acadie--Bathurst,164B,Saint-Irénée,16,137,5,85,4,247,337
Acadie--Bathurst/Acadie--Bathurst,165,Upper Sheila,12,137,6,100,2,257,381
Acadie--Bathurst/Acadie--Bathurst,166,Saint-Pons,32,109,2,59,2,204,253
Acadie--Bathurst/Acadie--Bathurst,167,Upper Sheila,17,139,5,86,3,250,313
Acadie--Bathurst/Acadie--Bathurst,168,Val-Comeau,12,149,4,125,2,292,407
Acadie--Bathurst/Acadie--Bathurst,169,Tracadie Beach,10,131,3,112,1,257,381
Acadie--Bathurst/Acadie--Bathurst,170,Leech,11,211,3,121,2,348,493
Acadie--Bathurst/Acadie--Bathurst,171,Pont-Lafrance,8,154,2,67,1,232,323
Acadie--Bathurst/Acadie--Bathurst,172,Pont-Lafrance,13,121,2,64,1,201,313
Acadie--Bathurst/Acadie--Bathurst,173,Tracadie-Sheila,11,119,12,83,2,227,376
Acadie--Bathurst/Acadie--Bathurst,174A,Tracadie-Sheila,23,107,8,97,1,236,423
Acadie--Bathurst/Acadie--Bathurst,174B,Mobile poll/Bureau itinérant,Merged with No. 506,,,,,,3
Acadie--Bathurst/Acadie--Bathurst,175,Tracadie-Sheila,17,112,2,77,4,212,382
Acadie--Bathurst/Acadie--Bathurst,176,Tracadie-Sheila,14,82,4,91,1,192,309
Acadie--Bathurst/Acadie--Bathurst,177,Tracadie-Sheila,17,87,3,70,0,177,337
Acadie--Bathurst/Acadie--Bathurst,178,Tracadie-Sheila,23,140,4,80,2,249,437
Acadie--Bathurst/Acadie--Bathurst,179A,Tracadie-Sheila,10,50,3,63,1,127,197
Acadie--Bathurst/Acadie--Bathurst,179B,Tracadie-Sheila,16,66,6,85,0,173,308
Acadie--Bathurst/Acadie--Bathurst,179C,Mobile poll/Bureau itinérant,Merged with No. 506,,,,,,7
Acadie--Bathurst/Acadie--Bathurst,180,Tracadie-Sheila,20,126,9,118,4,277,400
Acadie--Bathurst/Acadie--Bathurst,181,Tracadie-Sheila,22,163,7,128,3,323,502
Acadie--Bathurst/Acadie--Bathurst,182,Tracadie-Sheila,18,97,3,160,3,281,414
Acadie--Bathurst/Acadie--Bathurst,500,Mobile poll/Bureau itinérant,25,22,0,34,3,84,62
Acadie--Bathurst/Acadie--Bathurst,501,Mobile poll/Bureau itinérant,16,35,0,63,1,115,144
Acadie--Bathurst/Acadie--Bathurst,502,Mobile poll/Bureau itinérant,10,32,2,37,1,82,147
Acadie--Bathurst/Acadie--Bathurst,503,Mobile poll/Bureau itinérant,15,25,6,42,4,92,155
Acadie--Bathurst/Acadie--Bathurst,504,Mobile poll/Bureau itinérant,9,16,1,28,4,58,97
Acadie--Bathurst/Acadie--Bathurst,505,Mobile poll/Bureau itinérant,13,34,1,34,2,84,125
Acadie--Bathurst/Acadie--Bathurst,506,Mobile poll/Bureau itinérant,18,37,4,75,5,139,192
Acadie--Bathurst/Acadie--Bathurst,507,Mobile poll/Bureau itinérant,11,15,2,18,1,47,137
Acadie--Bathurst/Acadie--Bathurst,508,Mobile poll/Bureau itinérant,25,31,5,24,0,85,118
Acadie--Bathurst/Acadie--Bathurst,600,Petit-Rocher,33,91,4,116,3,247,
Acadie--Bathurst/Acadie--Bathurst,601,Beresford,56,154,5,109,3,327,
Acadie--Bathurst/Acadie--Bathurst,602,Bathurst,79,150,11,218,5,463,
Acadie--Bathurst/Acadie--Bathurst,603,Bathurst,131,269,15,320,4,739,
Acadie--Bathurst/Acadie--Bathurst,604,New Bandon,11,137,3,49,1,201,
Acadie--Bathurst/Acadie--Bathurst,605,Bertrand,40,221,8,82,3,354,
Acadie--Bathurst/Acadie--Bathurst,606,Caraquet,46,216,18,196,10,486,
Acadie--Bathurst/Acadie--Bathurst,607,Lamèque,123,205,12,145,5,490,
Acadie--Bathurst/Acadie--Bathurst,608,Shippagan,88,282,13,108,4,495,
Acadie--Bathurst/Acadie--Bathurst,609,Saint-Isidore,11,144,3,87,2,247,
Acadie--Bathurst/Acadie--Bathurst,610,Tracadie,54,200,5,143,10,412,
Acadie--Bathurst/Acadie--Bathurst,611,Sheila,18,113,2,88,2,223,
Acadie--Bathurst/Acadie--Bathurst,,Group 1/Groupe 1,60,32,3,43,3,141,415
Acadie--Bathurst/Acadie--Bathurst,,Group 2/Groupe 2,113,463,18,522,16,1132,
