District,Poll Number,Poll Name,Terry Duguid,Jacob Giesbrecht,Lorene Mahoney,Katharine Reimer,Joy Smith,Rebecca Whittaker,Rejected Ballots,Total Vote,Electors
Kildonan--St. Paul/Kildonan--St. Paul,24A,Winnipeg,94,2,42,0,55,0,0,193,340
Kildonan--St. Paul/Kildonan--St. Paul,24B,Winnipeg,106,1,27,0,46,3,0,183,336
Kildonan--St. Paul/Kildonan--St. Paul,25A,Winnipeg,59,1,37,4,31,0,1,133,297
Kildonan--St. Paul/Kildonan--St. Paul,25B,Winnipeg,61,1,40,0,45,3,1,151,320
Kildonan--St. Paul/Kildonan--St. Paul,26,Winnipeg,109,2,53,1,87,1,0,253,474
Kildonan--St. Paul/Kildonan--St. Paul,27,Winnipeg,109,3,62,3,79,1,1,258,433
Kildonan--St. Paul/Kildonan--St. Paul,28,Winnipeg,41,3,37,1,41,1,2,126,321
Kildonan--St. Paul/Kildonan--St. Paul,29,Winnipeg,80,4,43,3,55,0,1,186,420
Kildonan--St. Paul/Kildonan--St. Paul,30,Winnipeg,129,6,37,0,85,1,0,258,440
Kildonan--St. Paul/Kildonan--St. Paul,31,Winnipeg,95,9,49,0,39,0,1,193,376
Kildonan--St. Paul/Kildonan--St. Paul,32,Winnipeg,27,6,39,0,23,2,0,97,300
Kildonan--St. Paul/Kildonan--St. Paul,33,Winnipeg,94,5,43,0,57,2,3,204,438
Kildonan--St. Paul/Kildonan--St. Paul,34,Winnipeg,142,6,49,2,42,2,0,243,447
Kildonan--St. Paul/Kildonan--St. Paul,35,Winnipeg,81,2,38,0,43,2,4,170,337
Kildonan--St. Paul/Kildonan--St. Paul,36,Winnipeg,100,8,50,2,53,3,2,218,343
Kildonan--St. Paul/Kildonan--St. Paul,37,Winnipeg,98,3,55,1,66,0,3,226,399
Kildonan--St. Paul/Kildonan--St. Paul,38,Winnipeg,78,6,59,0,40,1,0,184,328
Kildonan--St. Paul/Kildonan--St. Paul,39,Winnipeg,79,3,60,1,45,0,0,188,340
Kildonan--St. Paul/Kildonan--St. Paul,40,Winnipeg,91,3,39,0,49,0,1,183,323
Kildonan--St. Paul/Kildonan--St. Paul,41,Winnipeg,83,3,56,1,39,2,0,184,324
Kildonan--St. Paul/Kildonan--St. Paul,42,Winnipeg,96,3,36,2,71,2,3,213,348
Kildonan--St. Paul/Kildonan--St. Paul,43,Winnipeg,96,2,45,0,39,0,0,182,287
Kildonan--St. Paul/Kildonan--St. Paul,44,Winnipeg,73,2,96,2,33,1,6,213,408
Kildonan--St. Paul/Kildonan--St. Paul,45,Winnipeg,82,6,32,1,57,0,0,178,306
Kildonan--St. Paul/Kildonan--St. Paul,46,Winnipeg,120,5,73,1,49,2,1,251,420
Kildonan--St. Paul/Kildonan--St. Paul,47,Winnipeg,97,1,53,2,56,1,1,211,382
Kildonan--St. Paul/Kildonan--St. Paul,48,Winnipeg,67,4,30,1,36,1,0,139,313
Kildonan--St. Paul/Kildonan--St. Paul,49,Winnipeg,58,6,44,1,47,0,2,158,263
Kildonan--St. Paul/Kildonan--St. Paul,50,Winnipeg,87,4,32,0,79,2,0,204,365
Kildonan--St. Paul/Kildonan--St. Paul,51,Winnipeg,90,7,65,1,65,1,0,229,427
Kildonan--St. Paul/Kildonan--St. Paul,52,Winnipeg,59,5,46,2,74,1,0,187,416
Kildonan--St. Paul/Kildonan--St. Paul,53,Winnipeg,93,2,44,0,60,2,1,202,398
Kildonan--St. Paul/Kildonan--St. Paul,54,Winnipeg,97,1,41,1,70,4,1,215,420
Kildonan--St. Paul/Kildonan--St. Paul,55,Winnipeg,103,3,32,0,102,2,0,242,384
Kildonan--St. Paul/Kildonan--St. Paul,56,Winnipeg,82,9,68,0,88,6,0,253,445
Kildonan--St. Paul/Kildonan--St. Paul,57,Winnipeg,63,1,28,1,54,0,1,148,251
Kildonan--St. Paul/Kildonan--St. Paul,58,Winnipeg,64,5,49,0,57,2,0,177,396
Kildonan--St. Paul/Kildonan--St. Paul,59,Winnipeg,89,2,53,3,86,2,1,236,421
Kildonan--St. Paul/Kildonan--St. Paul,60,Winnipeg,58,0,43,2,64,1,1,169,233
Kildonan--St. Paul/Kildonan--St. Paul,61,Winnipeg,111,2,61,6,144,0,1,325,430
Kildonan--St. Paul/Kildonan--St. Paul,62,Winnipeg,88,5,78,2,81,2,1,257,392
Kildonan--St. Paul/Kildonan--St. Paul,63,Winnipeg,87,3,46,2,81,1,0,220,323
Kildonan--St. Paul/Kildonan--St. Paul,64,Winnipeg,98,2,30,0,86,3,0,219,310
Kildonan--St. Paul/Kildonan--St. Paul,65,Winnipeg,110,0,41,2,85,0,1,239,393
Kildonan--St. Paul/Kildonan--St. Paul,66,Winnipeg,102,7,23,3,77,0,0,212,318
Kildonan--St. Paul/Kildonan--St. Paul,67,Winnipeg,53,4,32,1,75,0,0,165,257
Kildonan--St. Paul/Kildonan--St. Paul,68,Winnipeg,79,3,68,2,57,0,2,211,296
Kildonan--St. Paul/Kildonan--St. Paul,69,Winnipeg,66,4,82,0,52,3,0,207,449
Kildonan--St. Paul/Kildonan--St. Paul,70A,Winnipeg,31,2,30,3,42,1,0,109,290
Kildonan--St. Paul/Kildonan--St. Paul,70B,Winnipeg,37,5,29,2,55,2,2,132,281
Kildonan--St. Paul/Kildonan--St. Paul,71,Winnipeg,87,1,55,2,76,1,0,222,381
Kildonan--St. Paul/Kildonan--St. Paul,72,Winnipeg,69,6,61,6,45,3,0,190,324
Kildonan--St. Paul/Kildonan--St. Paul,73,Winnipeg,38,3,74,5,39,5,0,164,377
Kildonan--St. Paul/Kildonan--St. Paul,74,Winnipeg,52,5,77,1,40,1,0,176,326
Kildonan--St. Paul/Kildonan--St. Paul,75,Winnipeg,72,1,58,0,42,1,0,174,322
Kildonan--St. Paul/Kildonan--St. Paul,76,Winnipeg,62,4,83,1,57,2,0,209,349
Kildonan--St. Paul/Kildonan--St. Paul,77,Winnipeg,58,2,48,2,33,2,0,145,292
Kildonan--St. Paul/Kildonan--St. Paul,78,Winnipeg,61,2,45,1,36,0,0,145,287
Kildonan--St. Paul/Kildonan--St. Paul,79,Winnipeg,49,4,95,6,42,0,0,196,371
Kildonan--St. Paul/Kildonan--St. Paul,80,Winnipeg,60,5,58,2,22,1,1,149,374
Kildonan--St. Paul/Kildonan--St. Paul,81,Winnipeg,49,2,43,1,48,2,1,146,365
Kildonan--St. Paul/Kildonan--St. Paul,82,Winnipeg,43,1,65,2,39,3,1,154,361
Kildonan--St. Paul/Kildonan--St. Paul,83,Winnipeg,61,2,57,0,31,1,0,152,313
Kildonan--St. Paul/Kildonan--St. Paul,84,Winnipeg,49,9,65,0,44,1,1,169,356
Kildonan--St. Paul/Kildonan--St. Paul,85,Winnipeg,68,9,65,0,51,4,0,197,375
Kildonan--St. Paul/Kildonan--St. Paul,86,Winnipeg,53,4,62,3,42,3,1,168,337
Kildonan--St. Paul/Kildonan--St. Paul,87,Winnipeg,69,14,68,1,47,7,0,206,360
Kildonan--St. Paul/Kildonan--St. Paul,88,Winnipeg,68,13,67,2,43,3,0,196,379
Kildonan--St. Paul/Kildonan--St. Paul,89,Winnipeg,59,3,61,1,48,3,2,177,345
Kildonan--St. Paul/Kildonan--St. Paul,90,Winnipeg,33,7,72,1,25,1,0,139,345
Kildonan--St. Paul/Kildonan--St. Paul,91,Winnipeg,76,4,64,1,38,0,0,183,362
Kildonan--St. Paul/Kildonan--St. Paul,92,Winnipeg,55,4,91,0,32,1,0,183,365
Kildonan--St. Paul/Kildonan--St. Paul,93,Winnipeg,56,4,53,1,45,1,0,160,356
Kildonan--St. Paul/Kildonan--St. Paul,94,Winnipeg,44,2,72,1,38,0,2,159,387
Kildonan--St. Paul/Kildonan--St. Paul,95,Winnipeg,68,3,68,1,34,2,0,176,339
Kildonan--St. Paul/Kildonan--St. Paul,96,Winnipeg,62,6,81,4,31,3,0,187,355
Kildonan--St. Paul/Kildonan--St. Paul,97,Winnipeg,69,4,57,1,30,1,1,163,312
Kildonan--St. Paul/Kildonan--St. Paul,98,Winnipeg,58,12,46,0,35,0,0,151,347
Kildonan--St. Paul/Kildonan--St. Paul,99,Winnipeg,52,9,62,0,51,0,0,174,333
Kildonan--St. Paul/Kildonan--St. Paul,100,Winnipeg,53,6,62,1,35,5,2,164,351
Kildonan--St. Paul/Kildonan--St. Paul,101,Winnipeg,89,7,89,0,57,2,0,244,251
Kildonan--St. Paul/Kildonan--St. Paul,102,Winnipeg,Merged with No. 101,,,,,,,,180
Kildonan--St. Paul/Kildonan--St. Paul,103,Winnipeg,29,8,44,1,27,1,1,111,261
Kildonan--St. Paul/Kildonan--St. Paul,104,Winnipeg,31,3,62,1,28,3,0,128,346
Kildonan--St. Paul/Kildonan--St. Paul,105,Winnipeg,72,5,51,0,65,0,0,193,343
Kildonan--St. Paul/Kildonan--St. Paul,106A,Winnipeg,66,0,36,5,83,3,3,196,452
Kildonan--St. Paul/Kildonan--St. Paul,106B,Winnipeg,63,1,21,5,73,1,0,164,417
Kildonan--St. Paul/Kildonan--St. Paul,107,Winnipeg,76,3,38,5,97,0,1,220,348
Kildonan--St. Paul/Kildonan--St. Paul,108,Winnipeg,100,3,40,0,123,1,0,267,392
Kildonan--St. Paul/Kildonan--St. Paul,109,Winnipeg,98,5,34,1,93,1,0,232,354
Kildonan--St. Paul/Kildonan--St. Paul,110,Winnipeg,104,6,61,1,115,2,0,289,435
Kildonan--St. Paul/Kildonan--St. Paul,111,Winnipeg,97,6,87,7,118,1,0,316,484
Kildonan--St. Paul/Kildonan--St. Paul,112,Winnipeg,93,7,61,3,100,2,0,266,451
Kildonan--St. Paul/Kildonan--St. Paul,113,Winnipeg,112,1,33,3,120,5,0,274,426
Kildonan--St. Paul/Kildonan--St. Paul,114,Winnipeg,119,6,35,2,146,2,1,311,446
Kildonan--St. Paul/Kildonan--St. Paul,115,Winnipeg,120,4,16,0,131,1,0,272,419
Kildonan--St. Paul/Kildonan--St. Paul,116,Winnipeg,116,3,46,3,98,3,0,269,430
Kildonan--St. Paul/Kildonan--St. Paul,117,Winnipeg,62,5,44,1,63,1,0,176,373
Kildonan--St. Paul/Kildonan--St. Paul,118,Winnipeg,56,6,58,0,90,3,1,214,401
Kildonan--St. Paul/Kildonan--St. Paul,119,Winnipeg,106,3,53,0,100,2,1,265,431
Kildonan--St. Paul/Kildonan--St. Paul,120,Winnipeg,95,8,49,1,142,1,3,299,505
Kildonan--St. Paul/Kildonan--St. Paul,121,Winnipeg,88,2,32,4,94,1,0,221,361
Kildonan--St. Paul/Kildonan--St. Paul,122,Winnipeg,91,2,48,4,93,1,0,239,442
Kildonan--St. Paul/Kildonan--St. Paul,123,Winnipeg,96,10,28,2,108,7,0,251,431
Kildonan--St. Paul/Kildonan--St. Paul,124,Winnipeg,78,6,31,1,92,3,0,211,361
Kildonan--St. Paul/Kildonan--St. Paul,125,Winnipeg,32,1,41,1,52,2,0,129,395
Kildonan--St. Paul/Kildonan--St. Paul,126,Winnipeg,36,1,30,3,71,0,0,141,282
Kildonan--St. Paul/Kildonan--St. Paul,127,Winnipeg,57,2,40,2,72,2,0,175,327
Kildonan--St. Paul/Kildonan--St. Paul,128,Winnipeg,103,6,49,1,103,5,0,267,207
Kildonan--St. Paul/Kildonan--St. Paul,129,Winnipeg,Merged with No. 128,,,,,,,,197
Kildonan--St. Paul/Kildonan--St. Paul,130,Winnipeg,44,3,46,0,62,2,0,157,338
Kildonan--St. Paul/Kildonan--St. Paul,131,Winnipeg,70,10,58,4,80,7,2,231,496
Kildonan--St. Paul/Kildonan--St. Paul,132,Winnipeg,59,3,30,2,61,0,0,155,423
Kildonan--St. Paul/Kildonan--St. Paul,133,Winnipeg,39,3,42,3,94,2,1,184,446
Kildonan--St. Paul/Kildonan--St. Paul,134,Winnipeg,31,1,35,0,25,0,2,94,226
Kildonan--St. Paul/Kildonan--St. Paul,135A,Winnipeg,61,0,29,2,43,2,0,137,280
Kildonan--St. Paul/Kildonan--St. Paul,135B,Winnipeg,25,1,35,0,41,0,1,103,257
Kildonan--St. Paul/Kildonan--St. Paul,136,Winnipeg,71,1,36,1,62,1,0,172,311
Kildonan--St. Paul/Kildonan--St. Paul,137,Winnipeg,45,7,40,3,82,3,0,180,335
Kildonan--St. Paul/Kildonan--St. Paul,138,Winnipeg,76,10,44,1,83,2,0,216,344
Kildonan--St. Paul/Kildonan--St. Paul,139,Winnipeg,72,11,48,2,88,3,1,225,369
Kildonan--St. Paul/Kildonan--St. Paul,140,Winnipeg,55,6,52,1,85,1,0,200,313
Kildonan--St. Paul/Kildonan--St. Paul,141,Winnipeg,66,7,60,4,85,0,1,223,341
Kildonan--St. Paul/Kildonan--St. Paul,142,Winnipeg,57,5,44,5,48,1,0,160,280
Kildonan--St. Paul/Kildonan--St. Paul,143,Winnipeg,119,4,34,3,139,2,1,302,474
Kildonan--St. Paul/Kildonan--St. Paul,144,Winnipeg,123,3,40,2,149,1,0,318,500
Kildonan--St. Paul/Kildonan--St. Paul,145,Winnipeg,32,4,31,1,57,0,0,125,268
Kildonan--St. Paul/Kildonan--St. Paul,146,Winnipeg,90,4,60,2,53,1,1,211,363
Kildonan--St. Paul/Kildonan--St. Paul,147,Winnipeg,87,2,34,2,61,3,0,189,291
Kildonan--St. Paul/Kildonan--St. Paul,148,Winnipeg,78,3,25,1,66,2,1,176,334
Kildonan--St. Paul/Kildonan--St. Paul,149,Winnipeg,83,4,36,1,117,0,2,243,391
Kildonan--St. Paul/Kildonan--St. Paul,150,Winnipeg,70,3,49,3,65,1,0,191,377
Kildonan--St. Paul/Kildonan--St. Paul,151,Winnipeg,123,2,40,3,148,2,1,319,504
Kildonan--St. Paul/Kildonan--St. Paul,152,Winnipeg,94,5,52,1,60,0,0,212,441
Kildonan--St. Paul/Kildonan--St. Paul,153,Winnipeg,117,6,42,0,118,1,0,284,506
Kildonan--St. Paul/Kildonan--St. Paul,154,Winnipeg,58,5,51,0,73,1,0,188,352
Kildonan--St. Paul/Kildonan--St. Paul,155,Winnipeg,42,1,21,0,80,0,0,144,287
Kildonan--St. Paul/Kildonan--St. Paul,156,Winnipeg,64,2,29,0,88,0,0,183,392
Kildonan--St. Paul/Kildonan--St. Paul,157,Winnipeg,52,2,31,0,57,2,0,144,300
Kildonan--St. Paul/Kildonan--St. Paul,158,Winnipeg,63,1,34,2,70,0,1,171,341
Kildonan--St. Paul/Kildonan--St. Paul,159,Winnipeg,84,4,55,1,97,3,0,244,431
Kildonan--St. Paul/Kildonan--St. Paul,500,Mobile poll/Bureau itinérant,53,2,8,2,34,0,0,99,124
Kildonan--St. Paul/Kildonan--St. Paul,600,West St. Paul,55,4,33,1,117,0,1,211,
Kildonan--St. Paul/Kildonan--St. Paul,601,East St. Paul,118,6,56,1,282,1,1,465,
Kildonan--St. Paul/Kildonan--St. Paul,602,Winnipeg,113,1,42,1,110,2,4,273,
Kildonan--St. Paul/Kildonan--St. Paul,603,Winnipeg,76,6,57,2,76,0,1,218,
Kildonan--St. Paul/Kildonan--St. Paul,604,Winnipeg,83,6,45,1,117,1,0,253,
Kildonan--St. Paul/Kildonan--St. Paul,605,Winnipeg,50,5,58,2,63,1,0,179,
Kildonan--St. Paul/Kildonan--St. Paul,606,Winnipeg,44,1,62,0,51,1,0,159,
Kildonan--St. Paul/Kildonan--St. Paul,607,Winnipeg,132,7,59,2,314,1,0,515,
Kildonan--St. Paul/Kildonan--St. Paul,608,Winnipeg,76,5,54,2,182,2,2,323,
Kildonan--St. Paul/Kildonan--St. Paul,609,Winnipeg,92,2,54,2,218,0,1,369,
Kildonan--St. Paul/Kildonan--St. Paul,,Group 1/Groupe 1,21,4,2,2,24,3,3,59,111
Kildonan--St. Paul/Kildonan--St. Paul,,Group 2/Groupe 2,141,14,97,5,185,2,6,450,
