District,Poll Number,Poll Name,Blaine Armstrong,Carol Hughes,Lindsay Killen,Brent St. Denis,Rejected Ballots,Total Vote,Electors
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,49,Kapuskasing,14,39,5,38,1,97,221
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,50,Kapuskasing,16,43,1,84,0,144,292
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,51,Kapuskasing,22,75,6,94,1,198,419
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,52,Kapuskasing,12,70,3,50,4,139,346
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,53,Kapuskasing,19,57,8,76,4,164,327
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,54,Kapuskasing,9,53,2,62,0,126,312
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,55,Kapuskasing,8,83,0,86,2,179,357
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,56,Kitigan--Kapuskasing,11,63,5,69,2,150,332
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,57,Kapuskasing,20,111,4,99,1,235,512
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,58,Kapuskasing,18,68,5,73,1,165,374
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,59,Moonbeam,42,90,12,113,2,259,475
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,60,Moonbeam,13,85,8,116,3,225,446
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,61,Val Rita,14,44,8,26,2,94,180
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,62,Smooth Rock Falls,12,48,1,88,4,153,317
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,63,Smooth Rock Falls,19,62,6,91,4,182,357
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,64,Smooth Rock Falls,24,67,5,68,2,166,328
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,65,Fauquier,26,117,10,105,1,259,392
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,66,Strickland,5,39,4,39,0,87,175
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,67A,Smooth Rock Falls,20,63,3,76,1,163,219
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,67B,Smooth Rock Falls,7,2,1,0,0,10,133
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,68,Dubreuilville,9,30,3,48,1,91,232
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,69,Dubreuilville,20,78,7,72,3,180,395
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,70,Wawa,25,33,10,51,3,122,327
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,71,Michipicoten,1,9,1,3,0,14,37
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,72,Wawa,24,86,11,64,0,185,461
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,73,Wawa,Void,,,,,,
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,74,Wawa,18,55,4,57,0,134,303
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,75,Wawa,49,41,17,77,2,186,400
