District,Poll Number,Poll Name,Michael James Culkin,Phil Green,Neeraj Jain,Dagmar Sullivan,Paul John Mark Szabo,Rejected Ballots,Total Vote,Electors
Mississauga South/Mississauga-Sud,46,Mississauga,26,40,6,0,47,0,119,341
Mississauga South/Mississauga-Sud,47,Mississauga,29,38,10,1,46,2,126,336
Mississauga South/Mississauga-Sud,48,Mississauga,17,34,3,0,53,2,109,282
Mississauga South/Mississauga-Sud,49,Mississauga,35,89,9,0,82,1,216,483
Mississauga South/Mississauga-Sud,50,Mississauga,9,35,1,0,102,3,150,314
Mississauga South/Mississauga-Sud,51,Mississauga,17,48,7,0,124,0,196,313
Mississauga South/Mississauga-Sud,52,Mississauga,22,15,4,0,26,2,69,247
Mississauga South/Mississauga-Sud,53,Mississauga,18,22,3,0,45,0,88,222
Mississauga South/Mississauga-Sud,54,Mississauga,30,37,3,4,62,0,136,388
Mississauga South/Mississauga-Sud,55,Mississauga,25,63,2,0,66,2,158,350
Mississauga South/Mississauga-Sud,56,Mississauga,55,65,17,0,102,0,239,600
Mississauga South/Mississauga-Sud,57,Mississauga,15,35,6,1,49,0,106,178
Mississauga South/Mississauga-Sud,58,Mississauga,Merged with No. 57,,,,,,,103
Mississauga South/Mississauga-Sud,59,Mississauga,9,81,11,0,118,0,219,361
Mississauga South/Mississauga-Sud,60,Mississauga,6,135,14,0,172,4,331,517
Mississauga South/Mississauga-Sud,61,Mississauga,14,96,8,0,151,0,269,412
Mississauga South/Mississauga-Sud,62,Mississauga,24,87,10,0,125,0,246,408
Mississauga South/Mississauga-Sud,63,Mississauga,7,88,12,0,164,0,271,394
Mississauga South/Mississauga-Sud,64,Mississauga,13,85,17,0,124,0,239,356
Mississauga South/Mississauga-Sud,65,Mississauga,13,60,2,0,92,0,167,275
Mississauga South/Mississauga-Sud,66,Mississauga,27,61,10,1,111,0,210,361
Mississauga South/Mississauga-Sud,67,Mississauga,17,72,18,0,136,0,243,402
Mississauga South/Mississauga-Sud,68,Mississauga,29,59,6,0,78,0,172,292
Mississauga South/Mississauga-Sud,69,Mississauga,27,50,15,0,97,0,189,390
Mississauga South/Mississauga-Sud,70,Mississauga,34,95,16,0,123,1,269,414
Mississauga South/Mississauga-Sud,71,Mississauga,21,56,18,0,108,0,203,386
Mississauga South/Mississauga-Sud,72,Mississauga,17,51,8,0,64,1,141,274
Mississauga South/Mississauga-Sud,73,Mississauga,18,55,12,0,74,0,159,276
Mississauga South/Mississauga-Sud,74,Mississauga,27,37,6,0,78,0,148,251
Mississauga South/Mississauga-Sud,75,Mississauga,34,55,11,0,91,0,191,332
Mississauga South/Mississauga-Sud,76,Mississauga,19,81,10,0,127,3,240,390
Mississauga South/Mississauga-Sud,77,Mississauga,11,59,2,1,127,3,203,327
Mississauga South/Mississauga-Sud,78,Mississauga,5,109,4,0,142,0,260,401
Mississauga South/Mississauga-Sud,79,Mississauga,9,86,5,0,138,0,238,405
Mississauga South/Mississauga-Sud,80,Mississauga,7,109,12,0,102,0,230,366
Mississauga South/Mississauga-Sud,81,Mississauga,9,115,19,1,152,2,298,423
Mississauga South/Mississauga-Sud,82,Mississauga,7,75,4,1,73,0,160,269
Mississauga South/Mississauga-Sud,83,Mississauga,9,117,13,0,138,2,279,438
Mississauga South/Mississauga-Sud,84,Mississauga,10,105,7,1,165,0,288,443
Mississauga South/Mississauga-Sud,85,Mississauga,11,80,8,0,189,0,288,455
Mississauga South/Mississauga-Sud,86,Mississauga,12,110,11,0,146,0,279,436
Mississauga South/Mississauga-Sud,87A,Mississauga,3,90,6,0,155,0,254,389
Mississauga South/Mississauga-Sud,87B,Mississauga,9,91,4,0,133,0,237,355
Mississauga South/Mississauga-Sud,88,Mississauga,3,49,5,0,62,0,119,192
Mississauga South/Mississauga-Sud,89,Mississauga,7,86,8,1,96,2,200,327
Mississauga South/Mississauga-Sud,90,Mississauga,32,43,13,0,70,0,158,329
Mississauga South/Mississauga-Sud,91,Mississauga,24,44,9,0,60,0,137,295
Mississauga South/Mississauga-Sud,92,Mississauga,39,65,9,1,89,1,204,301
Mississauga South/Mississauga-Sud,93,Mississauga,29,40,12,0,77,1,159,378
Mississauga South/Mississauga-Sud,94,Mississauga,25,67,12,0,96,1,201,415
Mississauga South/Mississauga-Sud,95,Mississauga,21,42,16,1,69,2,151,291
Mississauga South/Mississauga-Sud,96,Mississauga,39,68,9,0,81,0,197,355
Mississauga South/Mississauga-Sud,97,Mississauga,32,61,5,1,86,0,185,285
Mississauga South/Mississauga-Sud,98,Mississauga,14,74,9,0,94,2,193,321
Mississauga South/Mississauga-Sud,99,Mississauga,22,61,15,0,77,0,175,330
Mississauga South/Mississauga-Sud,100,Mississauga,17,36,6,0,65,0,124,284
Mississauga South/Mississauga-Sud,101,Mississauga,6,94,10,0,101,0,211,329
Mississauga South/Mississauga-Sud,102,Mississauga,7,119,5,0,178,0,309,497
Mississauga South/Mississauga-Sud,103,Mississauga,15,56,7,0,102,0,180,311
Mississauga South/Mississauga-Sud,104,Mississauga,8,123,4,0,140,0,275,425
Mississauga South/Mississauga-Sud,105,Mississauga,15,86,9,0,176,1,287,417
Mississauga South/Mississauga-Sud,106,Mississauga,12,115,12,0,118,1,258,394
Mississauga South/Mississauga-Sud,107,Mississauga,23,97,7,0,122,1,250,412
Mississauga South/Mississauga-Sud,108,Mississauga,14,120,8,0,190,0,332,514
Mississauga South/Mississauga-Sud,109,Mississauga,14,111,7,0,144,2,278,387
Mississauga South/Mississauga-Sud,110,Mississauga,11,112,6,0,151,0,280,425
Mississauga South/Mississauga-Sud,111,Mississauga,7,52,5,0,99,0,163,256
Mississauga South/Mississauga-Sud,112,Mississauga,5,46,4,0,102,0,157,260
Mississauga South/Mississauga-Sud,113,Mississauga,16,128,13,0,163,0,320,445
Mississauga South/Mississauga-Sud,114,Mississauga,4,116,6,0,104,2,232,341
Mississauga South/Mississauga-Sud,115,Mississauga,3,100,14,0,100,0,217,328
Mississauga South/Mississauga-Sud,116,Mississauga,3,117,5,0,88,0,213,348
Mississauga South/Mississauga-Sud,117,Mississauga,47,94,5,1,114,1,262,597
Mississauga South/Mississauga-Sud,118,Mississauga,13,48,11,0,66,0,138,249
Mississauga South/Mississauga-Sud,119,Mississauga,6,74,8,1,94,0,183,283
Mississauga South/Mississauga-Sud,120,Mississauga,17,102,8,2,121,0,250,401
Mississauga South/Mississauga-Sud,121,Mississauga,24,86,8,0,104,0,222,394
Mississauga South/Mississauga-Sud,122,Mississauga,29,64,10,0,98,0,201,353
Mississauga South/Mississauga-Sud,123,Mississauga,31,64,10,0,114,0,219,432
Mississauga South/Mississauga-Sud,124,Mississauga,23,60,9,1,80,0,173,412
Mississauga South/Mississauga-Sud,125,Mississauga,10,84,7,1,98,0,200,348
Mississauga South/Mississauga-Sud,126,Mississauga,17,88,6,0,165,1,277,408
Mississauga South/Mississauga-Sud,127,Mississauga,12,78,11,0,141,0,242,399
Mississauga South/Mississauga-Sud,128,Mississauga,14,77,6,0,113,0,210,321
Mississauga South/Mississauga-Sud,129,Mississauga,25,104,10,0,189,1,329,475
Mississauga South/Mississauga-Sud,130,Mississauga,3,103,6,1,107,0,220,362
Mississauga South/Mississauga-Sud,131,Mississauga,9,103,16,0,171,2,301,490
Mississauga South/Mississauga-Sud,132,Mississauga,26,82,5,0,92,1,206,324
Mississauga South/Mississauga-Sud,133,Mississauga,17,53,13,1,130,0,214,369
Mississauga South/Mississauga-Sud,134,Mississauga,21,44,12,2,65,1,145,357
Mississauga South/Mississauga-Sud,135,Mississauga,20,60,8,0,118,0,206,334
Mississauga South/Mississauga-Sud,136,Mississauga,23,75,18,0,158,1,275,402
Mississauga South/Mississauga-Sud,137,Mississauga,Merged with No. 136,,,,,,,63
Mississauga South/Mississauga-Sud,138,Mississauga,28,83,13,0,168,1,293,438
Mississauga South/Mississauga-Sud,139,Mississauga,14,61,12,1,92,0,180,310
Mississauga South/Mississauga-Sud,140,Mississauga,14,77,5,1,91,1,189,302
Mississauga South/Mississauga-Sud,141,Mississauga,14,41,14,0,51,0,120,282
Mississauga South/Mississauga-Sud,142,Mississauga,35,48,12,1,132,3,231,446
Mississauga South/Mississauga-Sud,143,Mississauga,49,57,17,1,85,0,209,450
Mississauga South/Mississauga-Sud,144,Mississauga,10,62,15,1,96,1,185,278
Mississauga South/Mississauga-Sud,145,Mississauga,12,71,9,0,103,1,196,336
Mississauga South/Mississauga-Sud,146A,Mississauga,11,65,6,0,87,1,170,244
Mississauga South/Mississauga-Sud,146B,Mobile poll/Bureau itinérant,Merged with No. 501,,,,,,,97
Mississauga South/Mississauga-Sud,147,Mississauga,3,64,3,0,89,3,162,256
Mississauga South/Mississauga-Sud,148,Mississauga,7,84,6,1,128,0,226,334
Mississauga South/Mississauga-Sud,149,Mississauga,15,105,10,0,109,1,240,395
Mississauga South/Mississauga-Sud,150,Mississauga,23,80,10,0,229,0,342,572
Mississauga South/Mississauga-Sud,151,Mississauga,34,80,5,1,180,2,302,553
Mississauga South/Mississauga-Sud,152,Mississauga,11,43,5,0,105,0,164,380
Mississauga South/Mississauga-Sud,153,Mississauga,24,17,3,2,85,0,131,396
Mississauga South/Mississauga-Sud,154,Mississauga,25,24,4,0,56,0,109,299
Mississauga South/Mississauga-Sud,155,Mississauga,12,26,2,0,47,0,87,239
Mississauga South/Mississauga-Sud,156,Mississauga,37,66,6,0,119,0,228,422
Mississauga South/Mississauga-Sud,157,Mississauga,18,50,4,0,107,0,179,285
Mississauga South/Mississauga-Sud,158,Mississauga,18,71,9,1,89,1,189,270
Mississauga South/Mississauga-Sud,159,Mississauga,15,49,4,0,95,1,164,224
Mississauga South/Mississauga-Sud,160,Mississauga,29,62,10,2,106,3,212,409
Mississauga South/Mississauga-Sud,161,Mississauga,20,82,11,1,144,1,259,346
Mississauga South/Mississauga-Sud,162,Mississauga,8,45,3,0,94,0,150,216
Mississauga South/Mississauga-Sud,163,Mississauga,14,43,4,1,86,0,148,230
Mississauga South/Mississauga-Sud,164,Mississauga,16,71,8,1,76,0,172,315
Mississauga South/Mississauga-Sud,165,Mississauga,29,67,8,1,108,0,213,346
Mississauga South/Mississauga-Sud,166,Mississauga,33,67,5,1,123,1,230,376
Mississauga South/Mississauga-Sud,167,Mississauga,21,98,19,2,164,2,306,398
Mississauga South/Mississauga-Sud,168,Mississauga,20,89,12,0,150,0,271,402
Mississauga South/Mississauga-Sud,169,Mississauga,28,69,8,0,134,2,241,417
Mississauga South/Mississauga-Sud,170,Mississauga,27,108,6,1,151,3,296,488
Mississauga South/Mississauga-Sud,171,Mississauga,27,58,18,1,76,0,180,312
Mississauga South/Mississauga-Sud,172,Mississauga,19,51,8,1,92,0,171,290
Mississauga South/Mississauga-Sud,173,Mississauga,12,43,10,1,70,1,137,235
Mississauga South/Mississauga-Sud,174,Mississauga,38,50,7,0,81,0,176,338
Mississauga South/Mississauga-Sud,175,Mississauga,36,97,10,0,106,0,249,415
Mississauga South/Mississauga-Sud,176,Mississauga,19,48,10,1,40,0,118,207
Mississauga South/Mississauga-Sud,177,Mississauga,36,63,12,1,81,3,196,368
Mississauga South/Mississauga-Sud,178,Mississauga,20,14,2,1,41,1,79,231
Mississauga South/Mississauga-Sud,179,Mississauga,36,32,15,0,96,2,181,424
Mississauga South/Mississauga-Sud,180,Mississauga,22,39,10,0,71,0,142,288
Mississauga South/Mississauga-Sud,181,Mississauga,21,75,6,0,89,0,191,353
Mississauga South/Mississauga-Sud,182,Mississauga,48,75,8,1,89,1,222,394
Mississauga South/Mississauga-Sud,183,Mississauga,32,41,10,1,58,1,143,257
Mississauga South/Mississauga-Sud,184,Mississauga,28,65,10,0,96,1,200,369
Mississauga South/Mississauga-Sud,185,Mississauga,42,57,7,0,65,0,171,338
Mississauga South/Mississauga-Sud,186,Mississauga,38,56,8,0,101,0,203,349
Mississauga South/Mississauga-Sud,187,Mississauga,34,61,5,0,80,0,180,350
Mississauga South/Mississauga-Sud,188,Mississauga,17,64,21,0,121,2,225,354
Mississauga South/Mississauga-Sud,189,Mississauga,50,82,18,1,139,0,290,528
Mississauga South/Mississauga-Sud,190,Mississauga,38,49,8,0,69,0,164,300
Mississauga South/Mississauga-Sud,191,Mississauga,32,59,11,0,100,0,202,392
Mississauga South/Mississauga-Sud,192,Mississauga,18,22,7,0,68,1,116,239
Mississauga South/Mississauga-Sud,193,Mississauga,18,34,6,0,64,0,122,262
Mississauga South/Mississauga-Sud,194,Mississauga,48,58,10,1,108,0,225,605
Mississauga South/Mississauga-Sud,195,Mississauga,16,37,6,0,35,0,94,204
Mississauga South/Mississauga-Sud,196,Mississauga,19,31,7,1,90,0,148,337
Mississauga South/Mississauga-Sud,197,Mississauga,10,83,3,1,153,0,250,407
Mississauga South/Mississauga-Sud,400,Mississauga,9,105,5,0,148,0,267,346
Mississauga South/Mississauga-Sud,401,Mississauga,30,74,1,1,113,1,220,309
Mississauga South/Mississauga-Sud,402,Mississauga,44,57,5,0,134,1,241,320
Mississauga South/Mississauga-Sud,403,Mississauga,25,51,13,0,95,0,184,274
Mississauga South/Mississauga-Sud,404,Mississauga,19,24,3,2,79,2,129,387
Mississauga South/Mississauga-Sud,405,Mobile poll/Bureau itinérant,Merged with No. 500,,,,,,,92
Mississauga South/Mississauga-Sud,406,Mississauga,16,32,3,0,49,0,100,297
Mississauga South/Mississauga-Sud,407,Mississauga,13,26,8,0,61,0,108,262
Mississauga South/Mississauga-Sud,408,Mississauga,13,14,3,0,49,0,79,210
Mississauga South/Mississauga-Sud,409,Mississauga,16,43,2,0,54,0,115,292
Mississauga South/Mississauga-Sud,410,Mobile poll/Bureau itinérant,Merged with No. 502,,,,,,,176
Mississauga South/Mississauga-Sud,411,Mississauga,2,12,0,0,30,0,44,251
Mississauga South/Mississauga-Sud,412,Mississauga,28,41,5,1,56,0,131,323
Mississauga South/Mississauga-Sud,500,Mobile poll/Bureau itinérant,6,10,3,2,39,0,60,89
Mississauga South/Mississauga-Sud,501,Mobile poll/Bureau itinérant,7,28,1,0,42,1,79,145
Mississauga South/Mississauga-Sud,502,Mobile poll/Bureau itinérant,31,81,5,4,168,1,290,298
Mississauga South/Mississauga-Sud,600,Mississauga,55,227,20,2,303,2,609,
Mississauga South/Mississauga-Sud,601,Mississauga,73,214,20,0,285,1,593,
Mississauga South/Mississauga-Sud,602,Mississauga,43,220,16,3,287,1,570,
Mississauga South/Mississauga-Sud,603,Mississauga,52,281,12,0,272,2,619,
Mississauga South/Mississauga-Sud,604,Mississauga,38,306,23,0,346,1,714,
Mississauga South/Mississauga-Sud,605,Mississauga,38,289,9,1,364,5,706,
Mississauga South/Mississauga-Sud,606,Mississauga,34,168,8,0,210,1,421,
Mississauga South/Mississauga-Sud,607,Mississauga,81,200,12,5,264,1,563,
Mississauga South/Mississauga-Sud,,Group 1/Groupe 1,2,23,7,0,35,3,70,137
Mississauga South/Mississauga-Sud,,Group 2/Groupe 2,61,297,19,0,277,14,668,
