District,Poll Number,Poll Name,Nancy Clegg,Sukh Dhaliwal,Gurmant Grewal,John Hague,Nazir Rizvi,Rejected Ballots,Total Vote,Electors
Newton--North Delta/Newton--Delta-Nord,137,Surrey,37,64,56,13,1,0,171,334
Newton--North Delta/Newton--Delta-Nord,138,Surrey,98,73,73,7,1,0,252,450
Newton--North Delta/Newton--Delta-Nord,139,Surrey,65,77,74,10,1,1,228,397
Newton--North Delta/Newton--Delta-Nord,140,Surrey,76,55,82,10,1,3,227,431
Newton--North Delta/Newton--Delta-Nord,141,Surrey,52,43,70,7,0,0,172,342
Newton--North Delta/Newton--Delta-Nord,142,Surrey,69,37,78,6,0,2,192,388
Newton--North Delta/Newton--Delta-Nord,143,Surrey,65,48,78,22,0,2,215,392
Newton--North Delta/Newton--Delta-Nord,144,Surrey,76,35,68,19,0,0,198,355
Newton--North Delta/Newton--Delta-Nord,145,Surrey,70,57,58,19,0,0,204,373
Newton--North Delta/Newton--Delta-Nord,146,Surrey,83,139,156,18,1,0,397,630
Newton--North Delta/Newton--Delta-Nord,147,Surrey,34,105,107,15,1,2,264,439
Newton--North Delta/Newton--Delta-Nord,148,Surrey,30,35,49,12,0,1,127,193
Newton--North Delta/Newton--Delta-Nord,149,Surrey,15,41,66,9,0,0,131,208
Newton--North Delta/Newton--Delta-Nord,150,Surrey,31,36,49,5,0,0,121,247
Newton--North Delta/Newton--Delta-Nord,151,Surrey,65,46,79,10,2,2,204,346
Newton--North Delta/Newton--Delta-Nord,152,Surrey,50,53,50,1,0,1,155,295
Newton--North Delta/Newton--Delta-Nord,153,Surrey,78,66,68,19,0,0,231,367
Newton--North Delta/Newton--Delta-Nord,154,Surrey,93,73,73,10,2,1,252,428
Newton--North Delta/Newton--Delta-Nord,155,Surrey,82,94,110,6,0,5,297,528
Newton--North Delta/Newton--Delta-Nord,156,Surrey,69,84,78,6,0,1,238,380
Newton--North Delta/Newton--Delta-Nord,157,Surrey,39,48,60,5,1,1,154,294
Newton--North Delta/Newton--Delta-Nord,158,Surrey,61,157,129,8,0,3,358,615
Newton--North Delta/Newton--Delta-Nord,159,Surrey,50,78,105,19,0,0,252,457
Newton--North Delta/Newton--Delta-Nord,160,Surrey,43,102,78,15,0,0,238,368
Newton--North Delta/Newton--Delta-Nord,161,Surrey,20,80,96,17,0,2,215,311
Newton--North Delta/Newton--Delta-Nord,162,Surrey,68,103,123,21,0,2,317,507
Newton--North Delta/Newton--Delta-Nord,500,Mobile poll/Bureau itinérant,10,9,14,3,1,0,37,43
Newton--North Delta/Newton--Delta-Nord,600,Surrey,119,99,125,26,3,3,375,
Newton--North Delta/Newton--Delta-Nord,601,Surrey,144,138,138,30,3,1,454,
Newton--North Delta/Newton--Delta-Nord,602,Surrey,152,142,184,24,1,3,506,
Newton--North Delta/Newton--Delta-Nord,603,Surrey,66,106,148,30,2,1,353,
Newton--North Delta/Newton--Delta-Nord,604,Surrey,100,303,298,6,5,7,719,
Newton--North Delta/Newton--Delta-Nord,605,Surrey,72,319,199,14,2,5,611,
Newton--North Delta/Newton--Delta-Nord,606,Surrey,116,272,251,19,0,6,664,
Newton--North Delta/Newton--Delta-Nord,607,Surrey,63,158,129,8,1,1,360,
Newton--North Delta/Newton--Delta-Nord,,Group 1/Groupe 1,15,23,30,9,0,1,78,125
Newton--North Delta/Newton--Delta-Nord,,Group 2/Groupe 2,78,93,128,21,0,4,324,
