District,Poll Number,Poll Name,Bruno-Marie Béchard,Serge Cardin,Jeffrey Champagne,Philippe Dion,Réal Leblanc,Rejected Ballots,Total Vote,Electors
Sherbrooke/Sherbrooke,49,Sherbrooke,93,127,8,7,10,5,250,363
Sherbrooke/Sherbrooke,50,Sherbrooke,113,106,4,8,17,2,250,431
Sherbrooke/Sherbrooke,51,Sherbrooke,141,131,7,8,11,3,301,447
Sherbrooke/Sherbrooke,52,Sherbrooke,83,195,15,14,6,4,317,561
Sherbrooke/Sherbrooke,53,Sherbrooke,148,197,17,11,17,4,394,564
Sherbrooke/Sherbrooke,54,Sherbrooke,121,126,7,8,10,1,273,385
Sherbrooke/Sherbrooke,55,Sherbrooke,83,125,12,6,13,6,245,365
Sherbrooke/Sherbrooke,56,Sherbrooke,89,107,4,4,12,1,217,381
Sherbrooke/Sherbrooke,57A,Fleurimont,41,113,4,4,11,4,177,336
Sherbrooke/Sherbrooke,57B,Fleurimont,57,117,8,7,5,1,195,345
Sherbrooke/Sherbrooke,58,Fleurimont,58,155,2,3,3,7,228,406
Sherbrooke/Sherbrooke,59,Fleurimont,58,152,13,4,13,5,245,413
Sherbrooke/Sherbrooke,60,Fleurimont,36,105,5,3,9,5,163,269
Sherbrooke/Sherbrooke,61,Fleurimont,37,164,10,14,12,3,240,471
Sherbrooke/Sherbrooke,62A,Fleurimont,27,123,2,2,4,7,165,293
Sherbrooke/Sherbrooke,62B,Fleurimont,27,125,3,4,8,4,171,297
Sherbrooke/Sherbrooke,63,Fleurimont,58,194,6,8,10,6,282,488
Sherbrooke/Sherbrooke,64,Fleurimont,49,131,7,4,13,0,204,398
Sherbrooke/Sherbrooke,65,Fleurimont,42,116,8,7,8,4,185,422
Sherbrooke/Sherbrooke,66,Fleurimont,71,201,6,3,15,9,305,551
Sherbrooke/Sherbrooke,67A,Fleurimont,51,140,9,11,7,4,222,432
Sherbrooke/Sherbrooke,67B,Fleurimont,38,136,6,2,13,0,195,381
Sherbrooke/Sherbrooke,68,Fleurimont,Void,,,,,,,
Sherbrooke/Sherbrooke,69A,Fleurimont,45,113,3,2,11,5,179,308
Sherbrooke/Sherbrooke,69B,Fleurimont,42,93,10,2,18,5,170,318
Sherbrooke/Sherbrooke,70,Fleurimont,49,159,2,4,11,7,232,451
Sherbrooke/Sherbrooke,71,Fleurimont,56,133,6,4,9,4,212,401
Sherbrooke/Sherbrooke,72,Fleurimont,78,152,6,8,17,6,267,456
Sherbrooke/Sherbrooke,73,Fleurimont,64,149,11,4,11,2,241,392
Sherbrooke/Sherbrooke,74A,Fleurimont,76,155,7,5,9,2,254,428
Sherbrooke/Sherbrooke,74B,Mobile poll/Bureau itinérant,Merged with No. 505,,,,,,,67
Sherbrooke/Sherbrooke,75,Fleurimont,66,170,7,9,10,9,271,434
Sherbrooke/Sherbrooke,76,Fleurimont,97,195,12,5,12,9,330,546
Sherbrooke/Sherbrooke,77,Fleurimont,51,173,9,4,11,2,250,407
Sherbrooke/Sherbrooke,78A,Fleurimont,57,182,3,11,9,3,265,372
Sherbrooke/Sherbrooke,78B,Fleurimont,73,192,11,8,8,7,299,414
Sherbrooke/Sherbrooke,79,Fleurimont,77,225,13,8,15,4,342,578
Sherbrooke/Sherbrooke,80A,Fleurimont,62,168,8,4,7,3,252,365
Sherbrooke/Sherbrooke,80B,Fleurimont,53,184,3,7,6,1,254,359
Sherbrooke/Sherbrooke,81,Fleurimont,94,200,8,5,12,0,319,472
Sherbrooke/Sherbrooke,82,Fleurimont,40,74,5,5,4,4,132,213
Sherbrooke/Sherbrooke,83,Fleurimont,68,129,3,4,8,0,212,320
Sherbrooke/Sherbrooke,84,Sherbrooke,88,81,2,3,4,0,178,326
Sherbrooke/Sherbrooke,85,Sherbrooke,83,194,9,9,7,4,306,436
Sherbrooke/Sherbrooke,86,Sherbrooke,26,113,7,3,6,6,161,373
Sherbrooke/Sherbrooke,87,Sherbrooke,75,90,5,8,7,1,186,406
Sherbrooke/Sherbrooke,88,Sherbrooke,29,100,6,5,3,0,143,300
Sherbrooke/Sherbrooke,89,Sherbrooke,46,116,9,4,6,3,184,382
Sherbrooke/Sherbrooke,90A,Sherbrooke,64,114,0,6,7,9,200,328
Sherbrooke/Sherbrooke,90B,Mobile poll/Bureau itinérant,Merged with No. 506,,,,,,,17
Sherbrooke/Sherbrooke,91,Sherbrooke,58,120,9,8,9,4,208,353
Sherbrooke/Sherbrooke,92,Sherbrooke,32,132,4,2,6,4,180,437
Sherbrooke/Sherbrooke,93,Sherbrooke,35,84,7,0,6,4,136,327
Sherbrooke/Sherbrooke,94,Sherbrooke,36,96,4,5,3,1,145,306
Sherbrooke/Sherbrooke,95,Sherbrooke,46,103,5,5,5,3,167,338
Sherbrooke/Sherbrooke,96,Sherbrooke,21,119,5,4,9,8,166,379
Sherbrooke/Sherbrooke,97,Sherbrooke,43,105,4,4,6,3,165,344
Sherbrooke/Sherbrooke,98,Sherbrooke,37,89,5,5,3,1,140,362
Sherbrooke/Sherbrooke,99,Sherbrooke,49,117,5,5,7,3,186,431
Sherbrooke/Sherbrooke,100,Sherbrooke,92,169,1,4,10,4,280,403
Sherbrooke/Sherbrooke,101,Sherbrooke,33,78,1,4,7,0,123,369
Sherbrooke/Sherbrooke,102,Sherbrooke,39,72,4,3,4,0,122,292
Sherbrooke/Sherbrooke,103,Sherbrooke,26,40,2,3,1,2,74,168
Sherbrooke/Sherbrooke,104A,Sherbrooke,91,128,4,1,11,10,245,517
Sherbrooke/Sherbrooke,104B,Sherbrooke,95,103,1,4,18,2,223,507
Sherbrooke/Sherbrooke,105,Sherbrooke,67,112,5,9,9,0,202,387
Sherbrooke/Sherbrooke,106,Sherbrooke,58,94,2,3,2,1,160,380
Sherbrooke/Sherbrooke,107,Sherbrooke,78,129,11,9,13,4,244,444
Sherbrooke/Sherbrooke,108,Sherbrooke,75,150,10,8,14,5,262,455
Sherbrooke/Sherbrooke,109,Sherbrooke,41,102,8,2,3,2,158,325
Sherbrooke/Sherbrooke,110,Sherbrooke,29,133,8,13,3,1,187,336
Sherbrooke/Sherbrooke,111,Sherbrooke,54,126,12,10,9,6,217,382
Sherbrooke/Sherbrooke,112,Sherbrooke,49,165,5,18,2,1,240,408
Sherbrooke/Sherbrooke,113,Sherbrooke,64,86,16,9,8,0,183,420
Sherbrooke/Sherbrooke,114,Sherbrooke,36,99,2,4,2,1,144,324
Sherbrooke/Sherbrooke,115,Sherbrooke,28,101,8,8,5,3,153,327
Sherbrooke/Sherbrooke,116,Sherbrooke,24,90,10,6,2,1,133,318
Sherbrooke/Sherbrooke,117,Sherbrooke,29,120,5,10,8,0,172,335
Sherbrooke/Sherbrooke,118,Sherbrooke,47,93,5,6,7,2,160,372
Sherbrooke/Sherbrooke,119,Sherbrooke,26,97,6,2,5,4,140,381
Sherbrooke/Sherbrooke,120,Sherbrooke,24,82,21,8,0,4,139,315
Sherbrooke/Sherbrooke,121,Sherbrooke,18,87,15,3,6,4,133,354
Sherbrooke/Sherbrooke,122,Sherbrooke,32,91,14,6,6,0,149,445
Sherbrooke/Sherbrooke,123,Sherbrooke,27,81,2,8,9,5,132,392
Sherbrooke/Sherbrooke,124,Sherbrooke,23,108,5,4,7,4,151,360
Sherbrooke/Sherbrooke,125,Sherbrooke,64,118,12,5,17,5,221,403
Sherbrooke/Sherbrooke,126A,Sherbrooke,55,116,5,2,10,3,191,557
Sherbrooke/Sherbrooke,126B,Mobile poll/Bureau itinérant,Merged with No. 507,,,,,,,44
Sherbrooke/Sherbrooke,127,Sherbrooke,34,100,11,1,11,3,160,375
Sherbrooke/Sherbrooke,128,Sherbrooke,73,130,3,14,9,4,233,376
Sherbrooke/Sherbrooke,129,Sherbrooke,36,117,6,4,5,3,171,380
Sherbrooke/Sherbrooke,130,Sherbrooke,39,103,5,4,3,8,162,356
Sherbrooke/Sherbrooke,131,Sherbrooke,52,123,5,8,8,3,199,388
Sherbrooke/Sherbrooke,132,Sherbrooke,68,106,4,7,7,4,196,324
Sherbrooke/Sherbrooke,133,Sherbrooke,49,118,5,2,12,2,188,331
Sherbrooke/Sherbrooke,134,Sherbrooke,60,75,4,6,12,4,161,322
Sherbrooke/Sherbrooke,135,Sherbrooke,51,86,3,1,7,4,152,344
Sherbrooke/Sherbrooke,136,Sherbrooke,49,65,3,2,5,4,128,245
Sherbrooke/Sherbrooke,137,Sherbrooke,92,117,2,2,1,0,214,438
Sherbrooke/Sherbrooke,138,Sherbrooke,36,93,1,8,8,0,146,348
Sherbrooke/Sherbrooke,139,Sherbrooke,30,106,5,6,4,4,155,327
Sherbrooke/Sherbrooke,140,Sherbrooke,44,133,7,5,11,3,203,521
Sherbrooke/Sherbrooke,141,Sherbrooke,47,99,5,1,13,4,169,410
Sherbrooke/Sherbrooke,142,Sherbrooke,38,168,12,7,7,3,235,434
Sherbrooke/Sherbrooke,143,Sherbrooke,83,143,1,4,11,2,244,393
Sherbrooke/Sherbrooke,144A,Sherbrooke,74,38,2,5,7,3,129,256
Sherbrooke/Sherbrooke,144B,Mobile poll/Bureau itinérant,Merged with No. 507,,,,,,,21
Sherbrooke/Sherbrooke,145,Sherbrooke,71,130,5,3,9,10,228,358
Sherbrooke/Sherbrooke,146,Sherbrooke,53,122,5,5,8,1,194,350
Sherbrooke/Sherbrooke,147,Sherbrooke,70,128,7,5,10,2,222,390
Sherbrooke/Sherbrooke,148,Sherbrooke,51,117,6,10,7,2,193,452
Sherbrooke/Sherbrooke,149,Sherbrooke,96,97,7,9,7,1,217,338
Sherbrooke/Sherbrooke,150,Sherbrooke,52,151,5,6,12,8,234,376
Sherbrooke/Sherbrooke,151,Sherbrooke,60,104,10,8,7,6,195,318
Sherbrooke/Sherbrooke,152,Sherbrooke,84,139,11,6,12,5,257,406
Sherbrooke/Sherbrooke,153,Sherbrooke,63,141,8,7,21,7,247,392
Sherbrooke/Sherbrooke,154,Sherbrooke,60,120,3,7,9,3,202,338
Sherbrooke/Sherbrooke,155,Sherbrooke,32,136,4,8,4,4,188,343
Sherbrooke/Sherbrooke,156,Sherbrooke,26,94,9,11,5,3,148,349
Sherbrooke/Sherbrooke,157,Sherbrooke,39,128,4,10,6,5,192,358
Sherbrooke/Sherbrooke,158,Sherbrooke,50,102,5,2,2,5,166,291
Sherbrooke/Sherbrooke,159,Sherbrooke,61,94,9,8,11,8,191,292
Sherbrooke/Sherbrooke,160,Sherbrooke,34,77,4,6,4,5,130,326
Sherbrooke/Sherbrooke,161,Sherbrooke,44,119,3,9,8,4,187,414
Sherbrooke/Sherbrooke,162,Sherbrooke,37,116,4,6,2,7,172,383
Sherbrooke/Sherbrooke,163,Sherbrooke,41,100,5,13,4,1,164,421
Sherbrooke/Sherbrooke,164,Sherbrooke,47,115,8,3,15,3,191,336
Sherbrooke/Sherbrooke,165,Sherbrooke,56,134,5,6,5,6,212,321
Sherbrooke/Sherbrooke,166,Sherbrooke,45,109,7,4,2,3,170,360
Sherbrooke/Sherbrooke,167,Sherbrooke,40,84,8,4,8,1,145,410
Sherbrooke/Sherbrooke,168,Sherbrooke,18,79,3,7,3,6,116,296
Sherbrooke/Sherbrooke,169,Sherbrooke,35,104,6,4,1,2,152,327
Sherbrooke/Sherbrooke,170,Sherbrooke,52,121,6,3,7,7,196,331
Sherbrooke/Sherbrooke,171,Sherbrooke,56,113,3,7,3,5,187,356
Sherbrooke/Sherbrooke,172,Sherbrooke,52,119,3,3,10,5,192,374
Sherbrooke/Sherbrooke,173,Sherbrooke,39,113,5,8,9,2,176,351
Sherbrooke/Sherbrooke,174A,Sherbrooke,31,70,4,3,8,1,117,291
Sherbrooke/Sherbrooke,174B,Sherbrooke,37,60,6,2,8,4,117,301
Sherbrooke/Sherbrooke,175,Sherbrooke,37,76,4,3,10,2,132,250
Sherbrooke/Sherbrooke,176,Sherbrooke,20,55,5,5,3,3,91,259
Sherbrooke/Sherbrooke,177,Sherbrooke,85,167,15,7,12,4,290,447
Sherbrooke/Sherbrooke,178,Sherbrooke,81,156,8,9,16,4,274,397
Sherbrooke/Sherbrooke,179,Sherbrooke,81,175,9,6,3,1,275,385
Sherbrooke/Sherbrooke,180,Sherbrooke,48,124,6,8,10,2,198,368
Sherbrooke/Sherbrooke,181,Sherbrooke,37,117,9,7,3,3,176,338
Sherbrooke/Sherbrooke,182,Sherbrooke,33,107,5,2,3,1,151,293
Sherbrooke/Sherbrooke,183,Sherbrooke,93,112,4,8,6,3,226,331
Sherbrooke/Sherbrooke,184,Sherbrooke,92,130,4,7,11,3,247,375
Sherbrooke/Sherbrooke,185,Sherbrooke,65,125,15,7,10,1,223,336
Sherbrooke/Sherbrooke,186,Sherbrooke,51,126,11,6,7,2,203,324
Sherbrooke/Sherbrooke,187,Sherbrooke,39,124,3,5,4,5,180,295
Sherbrooke/Sherbrooke,188,Sherbrooke,40,116,8,12,2,5,183,318
Sherbrooke/Sherbrooke,189,Sherbrooke,60,135,7,5,6,6,219,377
Sherbrooke/Sherbrooke,190,Sherbrooke,111,58,5,8,6,4,192,430
Sherbrooke/Sherbrooke,191,Sherbrooke,45,101,7,4,4,8,169,332
Sherbrooke/Sherbrooke,192,Sherbrooke,40,143,7,9,14,3,216,376
Sherbrooke/Sherbrooke,193,Sherbrooke,104,124,6,6,11,5,256,468
Sherbrooke/Sherbrooke,194,Sherbrooke,34,84,8,8,4,3,141,284
Sherbrooke/Sherbrooke,195,Sherbrooke,38,129,7,8,12,2,196,371
Sherbrooke/Sherbrooke,196,Sherbrooke,49,100,9,11,5,2,176,325
Sherbrooke/Sherbrooke,197,Sherbrooke,52,105,12,8,8,3,188,383
Sherbrooke/Sherbrooke,400,Sherbrooke,41,37,0,3,6,1,88,342
Sherbrooke/Sherbrooke,500,Mobile poll/Bureau itinérant,100,40,3,0,9,1,153,183
Sherbrooke/Sherbrooke,501,Mobile poll/Bureau itinérant,53,25,0,2,11,3,94,223
Sherbrooke/Sherbrooke,502,Mobile poll/Bureau itinérant,74,37,0,2,5,8,126,126
Sherbrooke/Sherbrooke,503,Mobile poll/Bureau itinérant,43,34,3,0,8,6,94,150
Sherbrooke/Sherbrooke,504,Mobile poll/Bureau itinérant,47,38,0,0,3,3,91,125
Sherbrooke/Sherbrooke,505,Mobile poll/Bureau itinérant,72,41,3,3,10,5,134,113
Sherbrooke/Sherbrooke,506,Mobile poll/Bureau itinérant,62,46,5,2,5,5,125,216
Sherbrooke/Sherbrooke,507,Mobile poll/Bureau itinérant,140,55,2,1,11,3,212,228
Sherbrooke/Sherbrooke,600,Sherbrooke,104,146,4,3,16,3,276,
Sherbrooke/Sherbrooke,601,Sherbrooke,307,342,16,16,37,10,728,
Sherbrooke/Sherbrooke,602,Sherbrooke,228,280,12,18,25,2,565,
Sherbrooke/Sherbrooke,603,Sherbrooke,187,437,9,17,45,10,705,
Sherbrooke/Sherbrooke,604,Sherbrooke,194,221,9,6,30,5,465,
Sherbrooke/Sherbrooke,605,Sherbrooke,182,288,17,13,26,7,533,
Sherbrooke/Sherbrooke,606,Sherbrooke,169,225,13,10,22,7,446,
Sherbrooke/Sherbrooke,607,Sherbrooke,72,76,1,4,11,2,166,
Sherbrooke/Sherbrooke,608,Sherbrooke,80,175,5,12,10,3,285,
Sherbrooke/Sherbrooke,609,Sherbrooke,127,256,10,11,19,6,429,
Sherbrooke/Sherbrooke,,Group 1/Groupe 1,53,83,9,7,34,5,191,364
Sherbrooke/Sherbrooke,,Group 2/Groupe 2,627,1142,27,49,65,29,1939,
