District,Poll Number,Poll Name,Navdeep Bains,David Gershuny,Parvinder Sandhu,Paul Simas,Larry Taylor,Rejected Ballots,Total Vote,Electors
Mississauga--Brampton South/Mississauga--Brampton-Sud,25,Mississauga,140,0,55,10,39,3,247,464
Mississauga--Brampton South/Mississauga--Brampton-Sud,26,Mississauga,134,1,47,4,21,0,207,419
Mississauga--Brampton South/Mississauga--Brampton-Sud,27,Mississauga,135,1,48,20,34,2,240,452
Mississauga--Brampton South/Mississauga--Brampton-Sud,28,Mississauga,105,1,38,7,23,0,174,328
Mississauga--Brampton South/Mississauga--Brampton-Sud,29,Mississauga,122,1,47,5,21,2,198,358
Mississauga--Brampton South/Mississauga--Brampton-Sud,30,Mississauga,90,1,70,10,31,3,205,366
Mississauga--Brampton South/Mississauga--Brampton-Sud,31,Mississauga,95,2,59,11,30,2,199,340
Mississauga--Brampton South/Mississauga--Brampton-Sud,32,Mississauga,62,0,43,22,27,1,155,318
Mississauga--Brampton South/Mississauga--Brampton-Sud,33,Mississauga,169,2,73,14,23,3,284,487
Mississauga--Brampton South/Mississauga--Brampton-Sud,34,Mississauga,165,0,74,18,47,2,306,569
Mississauga--Brampton South/Mississauga--Brampton-Sud,35,Mississauga,72,1,40,6,31,8,158,327
Mississauga--Brampton South/Mississauga--Brampton-Sud,36,Mississauga,115,1,47,13,41,3,220,408
Mississauga--Brampton South/Mississauga--Brampton-Sud,37,Mississauga,126,0,53,14,34,0,227,493
Mississauga--Brampton South/Mississauga--Brampton-Sud,38,Mississauga,139,2,50,11,35,1,238,480
Mississauga--Brampton South/Mississauga--Brampton-Sud,39,Mississauga,104,1,49,8,22,0,184,334
Mississauga--Brampton South/Mississauga--Brampton-Sud,40,Mississauga,99,5,44,8,26,0,182,338
Mississauga--Brampton South/Mississauga--Brampton-Sud,41A,Mississauga,111,1,56,5,25,3,201,333
Mississauga--Brampton South/Mississauga--Brampton-Sud,41B,Mobile poll/Bureau itinérant,Merged with No. 46B,,,,,,,73
Mississauga--Brampton South/Mississauga--Brampton-Sud,42,Mississauga,98,2,40,11,34,1,186,326
Mississauga--Brampton South/Mississauga--Brampton-Sud,43,Mississauga,156,1,83,12,31,2,285,618
Mississauga--Brampton South/Mississauga--Brampton-Sud,44,Mississauga,110,1,48,7,22,2,190,366
Mississauga--Brampton South/Mississauga--Brampton-Sud,45,Mississauga,188,0,67,11,35,2,303,501
Mississauga--Brampton South/Mississauga--Brampton-Sud,46A,Mississauga,118,0,66,9,24,5,222,411
Mississauga--Brampton South/Mississauga--Brampton-Sud,46B,Mobile poll/Bureau itinérant,29,0,21,2,12,1,65,104
Mississauga--Brampton South/Mississauga--Brampton-Sud,47,Mississauga,136,1,66,13,26,0,242,467
Mississauga--Brampton South/Mississauga--Brampton-Sud,48,Mississauga,74,0,26,5,20,0,125,287
Mississauga--Brampton South/Mississauga--Brampton-Sud,49,Mississauga,90,1,45,8,22,2,168,375
Mississauga--Brampton South/Mississauga--Brampton-Sud,50,Mississauga,131,2,61,8,36,1,239,415
Mississauga--Brampton South/Mississauga--Brampton-Sud,51,Mississauga,100,0,68,4,28,0,200,377
Mississauga--Brampton South/Mississauga--Brampton-Sud,51-1,Mississauga,25,4,11,3,11,4,58,208
Mississauga--Brampton South/Mississauga--Brampton-Sud,52,Mississauga,118,0,49,8,42,2,219,407
Mississauga--Brampton South/Mississauga--Brampton-Sud,53,Mississauga,188,2,58,6,32,1,287,531
Mississauga--Brampton South/Mississauga--Brampton-Sud,54,Mississauga,162,5,52,8,55,0,282,455
Mississauga--Brampton South/Mississauga--Brampton-Sud,55,Mississauga,76,0,36,9,39,3,163,362
Mississauga--Brampton South/Mississauga--Brampton-Sud,56,Mississauga,118,0,31,6,35,0,190,397
Mississauga--Brampton South/Mississauga--Brampton-Sud,57,Mississauga,132,2,74,8,56,1,273,486
Mississauga--Brampton South/Mississauga--Brampton-Sud,58,Mississauga,135,3,51,16,44,3,252,410
Mississauga--Brampton South/Mississauga--Brampton-Sud,59,Mississauga,80,1,46,6,34,3,170,324
Mississauga--Brampton South/Mississauga--Brampton-Sud,60,Mississauga,62,2,37,7,43,2,153,397
Mississauga--Brampton South/Mississauga--Brampton-Sud,61,Mississauga,58,1,39,9,98,0,205,416
Mississauga--Brampton South/Mississauga--Brampton-Sud,62,Mississauga,36,0,13,4,21,1,75,225
Mississauga--Brampton South/Mississauga--Brampton-Sud,63,Mississauga,67,1,20,5,33,4,130,373
Mississauga--Brampton South/Mississauga--Brampton-Sud,64,Mississauga,59,1,51,14,33,0,158,311
Mississauga--Brampton South/Mississauga--Brampton-Sud,65,Mississauga,113,0,59,15,47,0,234,475
Mississauga--Brampton South/Mississauga--Brampton-Sud,66,Mississauga,69,0,41,6,43,2,161,398
Mississauga--Brampton South/Mississauga--Brampton-Sud,67,Mississauga,161,0,68,12,33,2,276,531
Mississauga--Brampton South/Mississauga--Brampton-Sud,68,Mississauga,112,1,55,12,37,4,221,524
Mississauga--Brampton South/Mississauga--Brampton-Sud,69A,Mississauga,82,1,28,5,20,1,137,329
Mississauga--Brampton South/Mississauga--Brampton-Sud,69B,Mississauga,88,1,41,1,25,1,157,344
Mississauga--Brampton South/Mississauga--Brampton-Sud,70,Mississauga,102,0,34,4,10,0,150,335
Mississauga--Brampton South/Mississauga--Brampton-Sud,71,Mississauga,163,2,45,8,45,0,263,508
Mississauga--Brampton South/Mississauga--Brampton-Sud,72,Mississauga,74,1,46,4,23,0,148,347
Mississauga--Brampton South/Mississauga--Brampton-Sud,73,Mississauga,120,2,62,10,40,0,234,444
Mississauga--Brampton South/Mississauga--Brampton-Sud,74,Mississauga,120,1,45,13,37,0,216,439
Mississauga--Brampton South/Mississauga--Brampton-Sud,75,Mississauga,163,0,64,8,33,2,270,566
Mississauga--Brampton South/Mississauga--Brampton-Sud,76,Mississauga,144,0,82,8,54,0,288,611
Mississauga--Brampton South/Mississauga--Brampton-Sud,77,Mississauga,154,3,58,15,87,11,328,707
Mississauga--Brampton South/Mississauga--Brampton-Sud,78,Mississauga,139,0,48,9,52,0,248,580
Mississauga--Brampton South/Mississauga--Brampton-Sud,79,Mississauga,115,0,50,5,51,0,221,603
Mississauga--Brampton South/Mississauga--Brampton-Sud,80,Mississauga,68,5,35,3,28,2,141,329
Mississauga--Brampton South/Mississauga--Brampton-Sud,81,Mississauga,45,0,31,7,16,1,100,205
Mississauga--Brampton South/Mississauga--Brampton-Sud,82,Mississauga,90,1,52,8,46,0,197,422
Mississauga--Brampton South/Mississauga--Brampton-Sud,83,Mississauga,156,0,77,10,39,0,282,590
Mississauga--Brampton South/Mississauga--Brampton-Sud,84,Mississauga,67,0,28,6,24,2,127,295
Mississauga--Brampton South/Mississauga--Brampton-Sud,85,Mississauga,125,1,66,12,42,2,248,481
Mississauga--Brampton South/Mississauga--Brampton-Sud,86,Mississauga,147,1,68,7,28,2,253,489
Mississauga--Brampton South/Mississauga--Brampton-Sud,87,Mississauga,Merged with No. 86,,,,,,,1
Mississauga--Brampton South/Mississauga--Brampton-Sud,88,Mississauga,157,0,52,15,34,3,261,538
Mississauga--Brampton South/Mississauga--Brampton-Sud,89,Mississauga,156,0,57,4,46,2,265,606
Mississauga--Brampton South/Mississauga--Brampton-Sud,89-1,Mississauga,166,1,84,5,18,1,275,533
Mississauga--Brampton South/Mississauga--Brampton-Sud,89-2,Mississauga,126,1,26,5,24,1,183,428
Mississauga--Brampton South/Mississauga--Brampton-Sud,90,Mississauga,141,1,49,4,43,5,243,460
Mississauga--Brampton South/Mississauga--Brampton-Sud,91,Mississauga,157,0,49,2,31,2,241,431
Mississauga--Brampton South/Mississauga--Brampton-Sud,92,Mississauga,142,0,38,7,43,2,232,455
Mississauga--Brampton South/Mississauga--Brampton-Sud,93,Mississauga,131,0,63,5,29,2,230,508
Mississauga--Brampton South/Mississauga--Brampton-Sud,94A,Mississauga,118,0,72,11,25,1,227,469
Mississauga--Brampton South/Mississauga--Brampton-Sud,94B,Mississauga,129,1,68,4,34,2,238,496
Mississauga--Brampton South/Mississauga--Brampton-Sud,94-1A,Mississauga,68,0,58,7,22,1,156,301
Mississauga--Brampton South/Mississauga--Brampton-Sud,94-1B,Mississauga,19,0,4,0,4,0,27,121
Mississauga--Brampton South/Mississauga--Brampton-Sud,95,Mississauga,94,0,66,8,16,1,185,332
Mississauga--Brampton South/Mississauga--Brampton-Sud,96,Mississauga,192,1,123,20,35,1,372,632
Mississauga--Brampton South/Mississauga--Brampton-Sud,97,Mississauga,87,0,35,7,18,0,147,244
Mississauga--Brampton South/Mississauga--Brampton-Sud,98A,Mississauga,160,1,44,3,25,1,234,532
Mississauga--Brampton South/Mississauga--Brampton-Sud,98B,Mississauga,159,1,57,9,40,0,266,533
Mississauga--Brampton South/Mississauga--Brampton-Sud,99,Mississauga,112,0,83,10,23,1,229,399
Mississauga--Brampton South/Mississauga--Brampton-Sud,100,Mississauga,127,0,65,14,25,1,232,398
Mississauga--Brampton South/Mississauga--Brampton-Sud,101,Mississauga,114,1,87,14,37,0,253,476
Mississauga--Brampton South/Mississauga--Brampton-Sud,102,Mississauga,73,0,47,3,13,1,137,334
Mississauga--Brampton South/Mississauga--Brampton-Sud,103,Mississauga,75,0,56,12,21,1,165,350
Mississauga--Brampton South/Mississauga--Brampton-Sud,104,Mississauga,75,0,48,15,15,2,155,331
Mississauga--Brampton South/Mississauga--Brampton-Sud,105,Mississauga,112,1,52,6,26,0,197,397
Mississauga--Brampton South/Mississauga--Brampton-Sud,106,Mississauga,90,0,50,8,34,0,182,346
Mississauga--Brampton South/Mississauga--Brampton-Sud,107,Mississauga,112,0,50,13,20,1,196,356
Mississauga--Brampton South/Mississauga--Brampton-Sud,108,Mississauga,134,0,87,14,74,0,309,551
Mississauga--Brampton South/Mississauga--Brampton-Sud,109,Mississauga,98,0,40,4,11,2,155,264
Mississauga--Brampton South/Mississauga--Brampton-Sud,110,Mississauga,116,1,96,16,44,0,273,525
Mississauga--Brampton South/Mississauga--Brampton-Sud,111A,Mississauga,62,0,52,1,15,3,133,329
Mississauga--Brampton South/Mississauga--Brampton-Sud,111B,Mississauga,118,2,49,9,41,1,220,420
Mississauga--Brampton South/Mississauga--Brampton-Sud,111C,Mississauga,42,3,16,1,14,0,76,166
Mississauga--Brampton South/Mississauga--Brampton-Sud,112,Mississauga,133,0,63,10,35,0,241,243
Mississauga--Brampton South/Mississauga--Brampton-Sud,113,Mississauga,Merged with No. 94-1A,,,,,,,381
Mississauga--Brampton South/Mississauga--Brampton-Sud,114,Mississauga,122,0,46,2,18,0,188,452
Mississauga--Brampton South/Mississauga--Brampton-Sud,115,Mississauga,85,0,47,5,22,2,161,353
Mississauga--Brampton South/Mississauga--Brampton-Sud,116,Mississauga,54,0,42,1,13,1,111,283
Mississauga--Brampton South/Mississauga--Brampton-Sud,117,Mississauga,135,1,54,5,41,0,236,581
Mississauga--Brampton South/Mississauga--Brampton-Sud,118,Mississauga,58,0,25,4,15,1,103,291
Mississauga--Brampton South/Mississauga--Brampton-Sud,119,Mississauga,96,0,46,11,21,0,174,380
Mississauga--Brampton South/Mississauga--Brampton-Sud,120,Mississauga,56,0,39,4,6,2,107,279
Mississauga--Brampton South/Mississauga--Brampton-Sud,121,Mississauga,64,1,31,2,19,2,119,328
Mississauga--Brampton South/Mississauga--Brampton-Sud,122,Mississauga,135,0,49,2,36,0,222,558
Mississauga--Brampton South/Mississauga--Brampton-Sud,123,Mississauga,195,1,56,2,52,1,307,655
Mississauga--Brampton South/Mississauga--Brampton-Sud,124,Mississauga,140,0,31,8,30,0,209,509
Mississauga--Brampton South/Mississauga--Brampton-Sud,125,Mississauga,163,2,48,9,47,0,269,641
Mississauga--Brampton South/Mississauga--Brampton-Sud,126,Mississauga,125,0,35,8,23,3,194,397
Mississauga--Brampton South/Mississauga--Brampton-Sud,127,Mississauga,191,1,45,7,46,2,292,597
Mississauga--Brampton South/Mississauga--Brampton-Sud,128,Mississauga,134,1,34,6,33,6,214,439
Mississauga--Brampton South/Mississauga--Brampton-Sud,129,Mississauga,162,3,48,2,44,2,261,557
Mississauga--Brampton South/Mississauga--Brampton-Sud,130,Mississauga,130,1,49,3,28,2,213,434
Mississauga--Brampton South/Mississauga--Brampton-Sud,131,Mississauga,105,0,38,5,26,2,176,321
Mississauga--Brampton South/Mississauga--Brampton-Sud,132,Mississauga,96,0,24,2,12,1,135,320
Mississauga--Brampton South/Mississauga--Brampton-Sud,133,Mississauga,165,1,44,12,33,2,257,416
Mississauga--Brampton South/Mississauga--Brampton-Sud,134,Mississauga,175,1,50,12,54,1,293,604
Mississauga--Brampton South/Mississauga--Brampton-Sud,135,Mississauga,86,0,46,6,28,2,168,404
Mississauga--Brampton South/Mississauga--Brampton-Sud,136,Mississauga,120,1,37,10,28,1,197,452
Mississauga--Brampton South/Mississauga--Brampton-Sud,137,Mississauga,163,0,55,9,44,1,272,554
Mississauga--Brampton South/Mississauga--Brampton-Sud,138,Mississauga,142,0,66,7,47,0,262,572
Mississauga--Brampton South/Mississauga--Brampton-Sud,139,Mississauga,114,1,45,6,27,2,195,453
Mississauga--Brampton South/Mississauga--Brampton-Sud,140,Mississauga,128,1,37,5,31,2,204,455
Mississauga--Brampton South/Mississauga--Brampton-Sud,141,Mississauga,140,3,28,7,30,0,208,446
Mississauga--Brampton South/Mississauga--Brampton-Sud,142,Mississauga,175,2,38,14,36,0,265,557
Mississauga--Brampton South/Mississauga--Brampton-Sud,143,Mississauga,201,0,36,11,46,0,294,636
Mississauga--Brampton South/Mississauga--Brampton-Sud,144,Mississauga,122,4,46,6,64,0,242,487
Mississauga--Brampton South/Mississauga--Brampton-Sud,145A,Mississauga,81,0,43,10,48,2,184,440
Mississauga--Brampton South/Mississauga--Brampton-Sud,145B,Mississauga,93,1,55,12,31,1,193,415
Mississauga--Brampton South/Mississauga--Brampton-Sud,146,Mississauga,98,1,30,1,44,1,175,348
Mississauga--Brampton South/Mississauga--Brampton-Sud,147,Mississauga,99,0,36,10,34,3,182,422
Mississauga--Brampton South/Mississauga--Brampton-Sud,148,Mississauga,111,2,38,9,31,1,192,540
Mississauga--Brampton South/Mississauga--Brampton-Sud,149,Mississauga,108,1,47,4,41,2,203,524
Mississauga--Brampton South/Mississauga--Brampton-Sud,150,Mississauga,118,0,45,0,31,4,198,438
Mississauga--Brampton South/Mississauga--Brampton-Sud,151,Mississauga,112,1,55,5,52,0,225,495
Mississauga--Brampton South/Mississauga--Brampton-Sud,152,Mississauga,105,0,35,7,23,4,174,401
Mississauga--Brampton South/Mississauga--Brampton-Sud,153,Mississauga,65,1,13,6,16,0,101,221
Mississauga--Brampton South/Mississauga--Brampton-Sud,154,Mississauga,97,0,43,5,46,6,197,389
Mississauga--Brampton South/Mississauga--Brampton-Sud,155A,Mississauga,62,1,24,1,29,0,117,330
Mississauga--Brampton South/Mississauga--Brampton-Sud,155B,Mississauga,124,0,37,13,40,1,215,364
Mississauga--Brampton South/Mississauga--Brampton-Sud,155C,Mississauga,97,3,47,4,16,2,169,339
Mississauga--Brampton South/Mississauga--Brampton-Sud,155D,Mississauga,Merged with No. 156,,,,,,,298
Mississauga--Brampton South/Mississauga--Brampton-Sud,156,Mississauga,103,1,35,10,31,0,180,180
Mississauga--Brampton South/Mississauga--Brampton-Sud,157,Mississauga,101,0,61,6,44,1,213,572
Mississauga--Brampton South/Mississauga--Brampton-Sud,158,Mississauga,72,1,37,9,13,3,135,333
Mississauga--Brampton South/Mississauga--Brampton-Sud,159,Mississauga,104,0,47,9,21,0,181,357
Mississauga--Brampton South/Mississauga--Brampton-Sud,160,Mississauga,151,0,82,7,55,3,298,615
Mississauga--Brampton South/Mississauga--Brampton-Sud,161,Mississauga,100,0,39,5,22,3,169,390
Mississauga--Brampton South/Mississauga--Brampton-Sud,162,Mississauga,104,0,45,8,22,1,180,368
Mississauga--Brampton South/Mississauga--Brampton-Sud,163,Mississauga,46,0,27,0,20,0,93,210
Mississauga--Brampton South/Mississauga--Brampton-Sud,164,Mississauga,93,6,51,7,42,1,200,371
Mississauga--Brampton South/Mississauga--Brampton-Sud,165,Mississauga,84,2,24,8,32,1,151,369
Mississauga--Brampton South/Mississauga--Brampton-Sud,166,Mississauga,109,1,34,7,38,0,189,383
Mississauga--Brampton South/Mississauga--Brampton-Sud,167,Mississauga,148,0,58,10,45,2,263,567
Mississauga--Brampton South/Mississauga--Brampton-Sud,168,Mississauga,70,1,30,3,10,0,114,248
Mississauga--Brampton South/Mississauga--Brampton-Sud,169,Mississauga,132,0,50,3,26,1,212,424
Mississauga--Brampton South/Mississauga--Brampton-Sud,170,Mississauga,148,2,52,8,37,0,247,583
Mississauga--Brampton South/Mississauga--Brampton-Sud,171,Mississauga,154,1,45,4,27,0,231,589
Mississauga--Brampton South/Mississauga--Brampton-Sud,400,Brampton,103,3,37,4,20,3,170,402
Mississauga--Brampton South/Mississauga--Brampton-Sud,401,Brampton,71,2,41,5,22,0,141,283
Mississauga--Brampton South/Mississauga--Brampton-Sud,402,Mississauga,140,0,86,5,24,1,256,442
Mississauga--Brampton South/Mississauga--Brampton-Sud,403,Mississauga,90,0,63,3,37,1,194,371
Mississauga--Brampton South/Mississauga--Brampton-Sud,404,Mississauga,126,0,55,5,24,0,210,465
Mississauga--Brampton South/Mississauga--Brampton-Sud,405,Mississauga,166,0,84,11,30,2,293,515
Mississauga--Brampton South/Mississauga--Brampton-Sud,406 ,Mobile poll/Bureau itinérant,64,1,30,2,16,1,114,150
Mississauga--Brampton South/Mississauga--Brampton-Sud,600,Brampton--Mississauga,984,1,281,11,72,12,1361,
Mississauga--Brampton South/Mississauga--Brampton-Sud,601,Mississauga,473,1,224,21,56,6,781,
Mississauga--Brampton South/Mississauga--Brampton-Sud,602,Mississauga,196,1,67,4,33,4,305,
Mississauga--Brampton South/Mississauga--Brampton-Sud,603,Mississauga,491,3,164,10,78,11,757,
Mississauga--Brampton South/Mississauga--Brampton-Sud,604,Brampton,370,7,129,24,84,5,619,
Mississauga--Brampton South/Mississauga--Brampton-Sud,605,Mississauga,213,1,104,10,60,1,389,
Mississauga--Brampton South/Mississauga--Brampton-Sud,606,Mississauga,204,3,136,9,63,2,417,
Mississauga--Brampton South/Mississauga--Brampton-Sud,607,Brampton,203,1,125,14,51,1,395,
Mississauga--Brampton South/Mississauga--Brampton-Sud,,Group 1/Groupe 1,25,0,8,0,9,0,42,86
Mississauga--Brampton South/Mississauga--Brampton-Sud,,Group 2/Groupe 2,129,2,108,9,37,9,294,
