District,Poll Number,Poll Name,Bob Kilger,Guy Lauzon,Elaine MacDonald,Tom Manley,Rejected Ballots,Total Vote,Electors
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,122,Cornwall,62,29,26,4,0,121,296
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,123,Cornwall,39,37,22,12,1,111,269
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,124,Cornwall,40,52,22,7,1,122,304
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,125,Cornwall,97,41,26,9,1,174,393
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,126,Cornwall,64,43,26,4,1,138,274
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,127,Cornwall,66,27,15,5,1,114,247
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,128,Cornwall,96,56,37,4,5,198,321
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,129,Cornwall,60,41,30,11,0,142,307
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,130,Cornwall,38,39,16,10,1,104,311
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,131,Cornwall,86,54,34,12,2,188,333
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,132,Cornwall,55,60,38,10,0,163,339
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,133,Cornwall,62,37,31,7,0,137,318
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,134,Cornwall,112,70,40,16,3,241,399
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,135,Cornwall,89,56,35,9,0,189,329
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,136,Cornwall,56,64,25,13,0,158,343
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,137,Cornwall,53,37,31,8,0,129,273
