District,Poll Number,Poll Name,Mike Allen,Scott Jones,Jason Mapplebeck,Andy Savoy,Rejected Ballots,Total Vote,Electors
Tobique--Mactaquac/Tobique--Mactaquac,21B,Grand Falls--Grand-Sault,32,2,23,75,5,137,222
Tobique--Mactaquac/Tobique--Mactaquac,22,Grand Falls--Grand-Sault,38,4,22,127,4,195,350
Tobique--Mactaquac/Tobique--Mactaquac,23,Grand Falls--Grand-Sault,32,6,20,155,2,215,438
Tobique--Mactaquac/Tobique--Mactaquac,24,Grand Falls--Grand-Sault,33,5,16,127,10,191,345
Tobique--Mactaquac/Tobique--Mactaquac,25,Tilley,53,1,13,114,0,181,300
Tobique--Mactaquac/Tobique--Mactaquac,26,Tilley,51,1,25,121,0,198,346
Tobique--Mactaquac/Tobique--Mactaquac,27A,Malisseet,1,2,2,129,0,134,296
Tobique--Mactaquac/Tobique--Mactaquac,27B,Malisseet,2,2,0,133,0,137,345
Tobique--Mactaquac/Tobique--Mactaquac,28,Rowena,21,3,6,55,2,87,190
Tobique--Mactaquac/Tobique--Mactaquac,29,Riley Brook,59,3,4,28,1,95,165
Tobique--Mactaquac/Tobique--Mactaquac,30,Burntland Brook,55,3,16,76,0,150,334
Tobique--Mactaquac/Tobique--Mactaquac,31,Sisson Ridge,34,1,7,112,0,154,367
Tobique--Mactaquac/Tobique--Mactaquac,32,McLaughlin,56,1,24,82,1,164,359
Tobique--Mactaquac/Tobique--Mactaquac,33,Plaster Rock,47,2,18,108,2,177,356
Tobique--Mactaquac/Tobique--Mactaquac,34,Plaster Rock,83,3,8,98,1,193,389
Tobique--Mactaquac/Tobique--Mactaquac,35,Plaster Rock,69,1,8,66,1,145,280
Tobique--Mactaquac/Tobique--Mactaquac,36,Arthurette,61,1,27,149,1,239,401
Tobique--Mactaquac/Tobique--Mactaquac,37,Wapske,28,5,12,45,0,90,196
Tobique--Mactaquac/Tobique--Mactaquac,38,Gillespie Settlement,58,5,23,166,2,254,410
Tobique--Mactaquac/Tobique--Mactaquac,39,Aroostook,39,3,15,97,3,157,283
Tobique--Mactaquac/Tobique--Mactaquac,40,Upper California,37,2,17,82,1,139,251
Tobique--Mactaquac/Tobique--Mactaquac,41,Upper California,31,8,13,122,1,175,270
Tobique--Mactaquac/Tobique--Mactaquac,42,Andover,36,3,11,147,1,198,431
Tobique--Mactaquac/Tobique--Mactaquac,43,Bairdsville,44,2,19,72,1,138,247
Tobique--Mactaquac/Tobique--Mactaquac,44,Perth-Andover,44,6,7,126,2,185,341
Tobique--Mactaquac/Tobique--Mactaquac,45,Perth-Andover,41,1,10,103,2,157,323
Tobique--Mactaquac/Tobique--Mactaquac,46,Perth-Andover,24,2,2,115,1,144,292
Tobique--Mactaquac/Tobique--Mactaquac,47,Perth-Andover,31,1,9,168,0,209,363
Tobique--Mactaquac/Tobique--Mactaquac,48,Perth-Andover,18,1,5,64,0,88,204
Tobique--Mactaquac/Tobique--Mactaquac,49,Currie,27,2,8,162,0,199,398
Tobique--Mactaquac/Tobique--Mactaquac,50,Perth,61,6,26,138,2,233,387
Tobique--Mactaquac/Tobique--Mactaquac,51,Juniper,52,4,21,113,4,194,286
Tobique--Mactaquac/Tobique--Mactaquac,52,Juniper,45,4,15,63,1,128,191
Tobique--Mactaquac/Tobique--Mactaquac,53,Johnville,44,5,6,95,0,150,286
Tobique--Mactaquac/Tobique--Mactaquac,54,Glassville,91,13,22,111,2,239,386
Tobique--Mactaquac/Tobique--Mactaquac,55,Upper Kent,61,1,7,42,0,111,204
Tobique--Mactaquac/Tobique--Mactaquac,56,Holmesville,125,0,8,70,1,204,287
Tobique--Mactaquac/Tobique--Mactaquac,57,Upper Kent,88,2,7,82,0,179,340
Tobique--Mactaquac/Tobique--Mactaquac,58,Bath,85,7,11,77,1,181,310
Tobique--Mactaquac/Tobique--Mactaquac,59,Bath,37,2,9,55,1,104,197
Tobique--Mactaquac/Tobique--Mactaquac,60,Bath,63,6,6,66,1,142,245
Tobique--Mactaquac/Tobique--Mactaquac,61,Gordonsville,98,12,20,93,2,225,399
Tobique--Mactaquac/Tobique--Mactaquac,62,Bristol,71,7,4,57,1,140,245
Tobique--Mactaquac/Tobique--Mactaquac,63,Bristol,121,6,14,120,2,263,377
Tobique--Mactaquac/Tobique--Mactaquac,64,Bristol,45,2,6,58,1,112,206
Tobique--Mactaquac/Tobique--Mactaquac,65,Bristol,115,6,20,134,0,275,399
Tobique--Mactaquac/Tobique--Mactaquac,66,Riverbank,82,5,19,90,2,198,330
Tobique--Mactaquac/Tobique--Mactaquac,67,Stickney,67,5,17,60,1,150,234
Tobique--Mactaquac/Tobique--Mactaquac,68,Lansdowne,107,10,12,51,0,180,308
Tobique--Mactaquac/Tobique--Mactaquac,69,Upper Knoxford,51,3,7,23,0,84,140
Tobique--Mactaquac/Tobique--Mactaquac,70,Upper Knoxford,75,6,12,69,0,162,312
Tobique--Mactaquac/Tobique--Mactaquac,71,Wicklow,93,6,18,118,4,239,427
Tobique--Mactaquac/Tobique--Mactaquac,72,Royalton,86,5,7,54,3,155,293
Tobique--Mactaquac/Tobique--Mactaquac,73,Wakem Corner,53,4,6,38,1,102,225
Tobique--Mactaquac/Tobique--Mactaquac,74,Centreville,122,11,13,114,1,261,443
Tobique--Mactaquac/Tobique--Mactaquac,75,Good Corner,92,4,14,92,0,202,333
Tobique--Mactaquac/Tobique--Mactaquac,76,Lakeville,90,11,21,74,4,200,334
Tobique--Mactaquac/Tobique--Mactaquac,77,Simonds,145,8,14,119,1,287,443
Tobique--Mactaquac/Tobique--Mactaquac,78A,Lindsay,101,22,9,44,1,177,296
Tobique--Mactaquac/Tobique--Mactaquac,78B,Lindsay,62,15,5,43,0,125,237
Tobique--Mactaquac/Tobique--Mactaquac,79,Jacksonville,79,12,4,55,0,150,251
Tobique--Mactaquac/Tobique--Mactaquac,80,Jacksonville,106,10,10,78,0,204,368
Tobique--Mactaquac/Tobique--Mactaquac,81,Waterville,119,12,16,91,1,239,405
Tobique--Mactaquac/Tobique--Mactaquac,82,Somerville,131,6,12,98,0,247,465
Tobique--Mactaquac/Tobique--Mactaquac,83,Victoria Corner,98,9,2,40,0,149,217
Tobique--Mactaquac/Tobique--Mactaquac,84,Woodstock,82,27,9,86,1,205,397
Tobique--Mactaquac/Tobique--Mactaquac,85,Windsor,80,4,13,61,1,159,335
Tobique--Mactaquac/Tobique--Mactaquac,86,Carlisle,51,4,10,36,0,101,205
Tobique--Mactaquac/Tobique--Mactaquac,87,Brighton,58,1,7,77,0,143,248
Tobique--Mactaquac/Tobique--Mactaquac,88,Ashland,60,1,8,67,0,136,238
Tobique--Mactaquac/Tobique--Mactaquac,89A,Hartland,98,7,23,131,1,260,449
Tobique--Mactaquac/Tobique--Mactaquac,89B,Mobile poll/Bureau itinérant,Merged with No. 500C,,,,,,7
Tobique--Mactaquac/Tobique--Mactaquac,90,Hartland,64,4,4,66,0,138,289
Tobique--Mactaquac/Tobique--Mactaquac,91,Lower Brighton,89,6,8,66,1,170,372
Tobique--Mactaquac/Tobique--Mactaquac,92A,Woodstock,66,14,11,84,1,176,280
Tobique--Mactaquac/Tobique--Mactaquac,92B,Woodstock,94,18,2,91,1,206,311
Tobique--Mactaquac/Tobique--Mactaquac,93,Woodstock,58,11,8,73,0,150,393
Tobique--Mactaquac/Tobique--Mactaquac,94A,Woodstock,58,4,7,60,1,130,271
Tobique--Mactaquac/Tobique--Mactaquac,94B,Woodstock,50,11,2,79,0,142,241
Tobique--Mactaquac/Tobique--Mactaquac,95,Woodstock,96,26,19,110,1,252,417
Tobique--Mactaquac/Tobique--Mactaquac,96,Woodstock,60,27,18,86,0,191,428
Tobique--Mactaquac/Tobique--Mactaquac,97,Woodstock,44,14,7,48,0,113,266
Tobique--Mactaquac/Tobique--Mactaquac,98,Woodstock,51,11,14,58,1,135,379
Tobique--Mactaquac/Tobique--Mactaquac,99,Woodstock,49,14,16,62,0,141,359
Tobique--Mactaquac/Tobique--Mactaquac,100,Woodstock,77,21,8,80,1,187,427
Tobique--Mactaquac/Tobique--Mactaquac,101,Woodstock,63,14,9,73,0,159,323
Tobique--Mactaquac/Tobique--Mactaquac,102,Richmond,89,17,9,21,1,137,225
Tobique--Mactaquac/Tobique--Mactaquac,103,Richmond,84,19,7,60,1,171,305
Tobique--Mactaquac/Tobique--Mactaquac,104,Debec,160,30,13,78,1,282,431
Tobique--Mactaquac/Tobique--Mactaquac,105,Fosterville,67,2,8,50,0,127,161
Tobique--Mactaquac/Tobique--Mactaquac,106,Bedell,123,21,18,127,3,292,472
Tobique--Mactaquac/Tobique--Mactaquac,107A,Bedell,63,13,8,75,1,160,317
Tobique--Mactaquac/Tobique--Mactaquac,107B,Bedell,38,15,13,81,2,149,297
Tobique--Mactaquac/Tobique--Mactaquac,108,Lower Woodstock,91,23,19,59,0,192,384
Tobique--Mactaquac/Tobique--Mactaquac,109,Meductic,129,18,15,75,0,237,369
Tobique--Mactaquac/Tobique--Mactaquac,110,Canterbury,95,4,7,70,0,176,330
Tobique--Mactaquac/Tobique--Mactaquac,111,Canterbury,119,15,21,78,1,234,338
Tobique--Mactaquac/Tobique--Mactaquac,112,Grafton,136,15,26,113,4,294,504
Tobique--Mactaquac/Tobique--Mactaquac,113,Grafton,94,13,20,43,0,170,328
Tobique--Mactaquac/Tobique--Mactaquac,114,Northampton,157,17,20,116,0,310,471
Tobique--Mactaquac/Tobique--Mactaquac,115,Nortondale,134,5,18,85,1,243,372
Tobique--Mactaquac/Tobique--Mactaquac,116,Millville,78,6,14,54,3,155,231
Tobique--Mactaquac/Tobique--Mactaquac,117,Temperance Vale,119,7,7,36,1,170,298
Tobique--Mactaquac/Tobique--Mactaquac,118,Pinder,74,4,10,61,2,151,264
Tobique--Mactaquac/Tobique--Mactaquac,119,Rossville,76,7,19,62,1,165,349
Tobique--Mactaquac/Tobique--Mactaquac,120,Nackawic,84,7,16,101,1,209,355
Tobique--Mactaquac/Tobique--Mactaquac,121,Nackawic,75,2,16,70,3,166,301
Tobique--Mactaquac/Tobique--Mactaquac,122,Nackawic,42,1,5,59,0,107,179
Tobique--Mactaquac/Tobique--Mactaquac,123,Bloomfield Ridge,69,3,16,44,3,135,210
Tobique--Mactaquac/Tobique--Mactaquac,124,Parker Ridge,119,6,21,70,1,217,400
Tobique--Mactaquac/Tobique--Mactaquac,125,Maple Grove,46,3,9,40,1,99,172
Tobique--Mactaquac/Tobique--Mactaquac,126,McGivney,82,6,18,45,1,152,300
Tobique--Mactaquac/Tobique--Mactaquac,127,Taymouth,89,6,32,62,0,189,343
Tobique--Mactaquac/Tobique--Mactaquac,128A,Durham Bridge,67,4,24,59,4,158,270
Tobique--Mactaquac/Tobique--Mactaquac,128B,Durham Bridge,76,8,20,52,1,157,243
Tobique--Mactaquac/Tobique--Mactaquac,129,Penniac,127,13,46,87,0,273,460
Tobique--Mactaquac/Tobique--Mactaquac,130,Napadogan,83,1,14,44,0,142,221
Tobique--Mactaquac/Tobique--Mactaquac,131,Fredericksburg,71,3,27,40,2,143,235
Tobique--Mactaquac/Tobique--Mactaquac,132,Stanley,62,8,20,51,2,143,242
Tobique--Mactaquac/Tobique--Mactaquac,133,Stanley,116,4,35,67,0,222,372
Tobique--Mactaquac/Tobique--Mactaquac,134,Stanley,117,9,43,113,5,287,478
Tobique--Mactaquac/Tobique--Mactaquac,135A,Nashwaak Village,62,3,27,64,1,157,301
Tobique--Mactaquac/Tobique--Mactaquac,135B,Nashwaak Village,89,6,16,54,0,165,268
Tobique--Mactaquac/Tobique--Mactaquac,136,Royal Road West,128,11,30,83,0,252,489
Tobique--Mactaquac/Tobique--Mactaquac,137A,McLeod Hill,76,7,24,60,2,169,305
Tobique--Mactaquac/Tobique--Mactaquac,137B,McLeod Hill,80,7,18,37,0,142,263
Tobique--Mactaquac/Tobique--Mactaquac,138,McLeod Hill,67,10,25,90,1,193,321
Tobique--Mactaquac/Tobique--Mactaquac,139,Bright,54,4,14,41,0,113,228
Tobique--Mactaquac/Tobique--Mactaquac,140,Springfield,86,4,11,47,1,149,278
Tobique--Mactaquac/Tobique--Mactaquac,141,Bear Island,116,2,15,72,1,206,272
Tobique--Mactaquac/Tobique--Mactaquac,142,Scotch Settlement,138,11,21,50,2,222,322
Tobique--Mactaquac/Tobique--Mactaquac,143,Bear Island,77,3,22,54,0,156,251
Tobique--Mactaquac/Tobique--Mactaquac,144,Brewers Mills,63,6,14,57,1,141,256
Tobique--Mactaquac/Tobique--Mactaquac,145A,Upper Keswick,80,8,18,74,4,184,399
Tobique--Mactaquac/Tobique--Mactaquac,145B,Upper Keswick,68,6,13,71,0,158,352
Tobique--Mactaquac/Tobique--Mactaquac,146,Keswick Ridge,88,5,13,85,0,191,279
Tobique--Mactaquac/Tobique--Mactaquac,147,Tripp Settlement,157,9,41,99,3,309,507
Tobique--Mactaquac/Tobique--Mactaquac,148,Keswick Ridge,120,3,16,116,1,256,371
Tobique--Mactaquac/Tobique--Mactaquac,149,Upper Stoneridge,46,3,12,31,1,93,175
Tobique--Mactaquac/Tobique--Mactaquac,150,Upper Stoneridge,90,6,37,81,1,215,388
Tobique--Mactaquac/Tobique--Mactaquac,151,Birdton,79,10,30,47,1,167,356
Tobique--Mactaquac/Tobique--Mactaquac,152,Jones Forks,85,6,23,81,0,195,318
Tobique--Mactaquac/Tobique--Mactaquac,153,Keswick,121,9,29,98,3,260,441
Tobique--Mactaquac/Tobique--Mactaquac,154,Douglas,136,7,32,137,0,312,473
Tobique--Mactaquac/Tobique--Mactaquac,155A,Douglas,76,7,22,79,1,185,290
Tobique--Mactaquac/Tobique--Mactaquac,155B,Douglas,55,2,28,69,0,154,241
Tobique--Mactaquac/Tobique--Mactaquac,500A,Mobile poll/Bureau itinérant,16,2,8,19,2,47,71
Tobique--Mactaquac/Tobique--Mactaquac,500B,Mobile poll/Bureau itinérant,24,2,3,13,3,45,62
Tobique--Mactaquac/Tobique--Mactaquac,500C,Mobile poll/Bureau itinérant,19,3,1,14,5,42,55
Tobique--Mactaquac/Tobique--Mactaquac,600,Drummond,108,6,27,221,8,370,
Tobique--Mactaquac/Tobique--Mactaquac,601,Grand Falls--Grand-Sault,173,13,44,493,10,733,
Tobique--Mactaquac/Tobique--Mactaquac,602,Plaster Rock,126,7,13,207,0,353,
Tobique--Mactaquac/Tobique--Mactaquac,603,Perth-Andover,72,1,12,203,1,289,
Tobique--Mactaquac/Tobique--Mactaquac,604,Bath,116,6,12,123,1,258,
Tobique--Mactaquac/Tobique--Mactaquac,605,Florenceville,63,2,7,49,0,121,
Tobique--Mactaquac/Tobique--Mactaquac,606,Jacksonville,83,3,7,49,0,142,
Tobique--Mactaquac/Tobique--Mactaquac,607,Hartland,64,6,3,74,1,148,
Tobique--Mactaquac/Tobique--Mactaquac,608,Woodstock,128,15,4,120,1,268,
Tobique--Mactaquac/Tobique--Mactaquac,609,Lower Woodstock,96,7,6,66,1,176,
Tobique--Mactaquac/Tobique--Mactaquac,610,Nackawic,74,2,16,74,2,168,
Tobique--Mactaquac/Tobique--Mactaquac,611,Stanley,97,0,19,80,1,197,
Tobique--Mactaquac/Tobique--Mactaquac,612,Springfield,168,8,24,122,0,322,
Tobique--Mactaquac/Tobique--Mactaquac,,Group 1/Groupe 1,41,2,2,32,0,77,235
Tobique--Mactaquac/Tobique--Mactaquac,,Group 2/Groupe 2,302,16,28,515,24,885,
