District,Poll Number,Poll Name,Pierre Corbeil,François Dionne,Martin Fournier,Yvon Lévesque,Guy St-Julien,Rejected Ballots,Total Vote,Electors
Nunavik--Eeyou/Nunavik--Eeyou,132,Val-d'Or,8,2,2,96,70,7,185,401
Nunavik--Eeyou/Nunavik--Eeyou,133,Val-d'Or,7,3,8,122,78,3,221,439
Nunavik--Eeyou/Nunavik--Eeyou,134,Val-d'Or,6,6,7,90,77,2,188,370
Nunavik--Eeyou/Nunavik--Eeyou,135,Val-d'Or,11,5,2,121,105,6,250,505
Nunavik--Eeyou/Nunavik--Eeyou,136A,Dubuisson,3,6,4,92,36,7,148,294
Nunavik--Eeyou/Nunavik--Eeyou,136B,Dubuisson,4,8,7,88,33,4,144,265
Nunavik--Eeyou/Nunavik--Eeyou,137,Dubuisson,3,10,3,52,24,2,94,186
Nunavik--Eeyou/Nunavik--Eeyou,138A,Dubuisson,Merged with No. 140,,,,,,,139
Nunavik--Eeyou/Nunavik--Eeyou,138B,Dubuisson,7,11,2,114,72,5,211,421
Nunavik--Eeyou/Nunavik--Eeyou,139,Val-d'Or,6,5,5,94,88,1,199,429
Nunavik--Eeyou/Nunavik--Eeyou,140,Val-d'Or,9,8,8,116,70,1,212,257
Nunavik--Eeyou/Nunavik--Eeyou,141,Rivière-Héva,4,9,5,103,59,2,182,376
Nunavik--Eeyou/Nunavik--Eeyou,142,Rivière-Héva,5,14,3,125,59,6,212,413
Nunavik--Eeyou/Nunavik--Eeyou,143,Malartic,7,14,5,114,74,6,220,418
Nunavik--Eeyou/Nunavik--Eeyou,144,Malartic,4,14,6,89,76,7,196,385
Nunavik--Eeyou/Nunavik--Eeyou,145,Malartic,4,5,1,83,58,3,154,297
Nunavik--Eeyou/Nunavik--Eeyou,146,Malartic,3,11,2,49,34,1,100,295
Nunavik--Eeyou/Nunavik--Eeyou,147,Malartic,5,5,5,65,43,8,131,268
Nunavik--Eeyou/Nunavik--Eeyou,148,Malartic,7,4,3,82,44,2,142,280
Nunavik--Eeyou/Nunavik--Eeyou,149,Malartic,6,10,6,64,46,3,135,387
Nunavik--Eeyou/Nunavik--Eeyou,150,Malartic,8,12,3,71,59,5,158,356
Nunavik--Eeyou/Nunavik--Eeyou,151,Malartic,1,1,0,38,28,2,70,130
Nunavik--Eeyou/Nunavik--Eeyou,500,Mobile poll/Bureau itinérant,5,6,1,28,31,4,75,126
Nunavik--Eeyou/Nunavik--Eeyou,501,Mobile poll/Bureau itinérant,4,5,1,25,54,1,90,174
Nunavik--Eeyou/Nunavik--Eeyou,502,Mobile poll/Bureau itinérant,0,2,2,28,70,4,106,148
Nunavik--Eeyou/Nunavik--Eeyou,600,Rivière-Koksoak,12,4,5,10,19,0,50,
Nunavik--Eeyou/Nunavik--Eeyou,601,Baie-James,1,1,0,18,9,1,30,
Nunavik--Eeyou/Nunavik--Eeyou,602,Baie-James,5,14,0,48,28,1,96,
Nunavik--Eeyou/Nunavik--Eeyou,603,Baie-James,15,14,9,239,121,7,405,
Nunavik--Eeyou/Nunavik--Eeyou,604,Lebel-sur-Quévillon,4,11,1,82,31,2,131,
Nunavik--Eeyou/Nunavik--Eeyou,605,Senneterre,4,13,4,71,58,1,151,
Nunavik--Eeyou/Nunavik--Eeyou,606,Val-d'Or,13,14,7,169,119,11,333,
Nunavik--Eeyou/Nunavik--Eeyou,607,Val-d'Or,11,12,7,181,223,8,442,
Nunavik--Eeyou/Nunavik--Eeyou,608,Val-d'Or,11,27,13,227,254,11,543,
Nunavik--Eeyou/Nunavik--Eeyou,609,Lac-Fouillac--Malartic,7,24,8,145,109,7,300,
Nunavik--Eeyou/Nunavik--Eeyou,,Group 1/Groupe 1,2,19,12,19,42,2,96,189
Nunavik--Eeyou/Nunavik--Eeyou,,Group 2/Groupe 2,22,29,8,352,502,30,943,
