District,Poll Number,Poll Name,Ruby Dhalla,Nick Hudson,Sam Hundal,Gurdev Singh Mattu,Kathy Pounder,Rejected Ballots,Total Vote,Electors
Brampton--Springdale/Brampton--Springdale,124,Brampton,104,3,48,0,39,3,197,372
Brampton--Springdale/Brampton--Springdale,125,Brampton,76,9,32,0,53,4,174,443
Brampton--Springdale/Brampton--Springdale,126,Brampton,71,8,47,4,30,0,160,420
Brampton--Springdale/Brampton--Springdale,127,Brampton,77,12,25,0,33,2,149,363
Brampton--Springdale/Brampton--Springdale,128,Brampton,39,4,32,1,42,0,118,279
Brampton--Springdale/Brampton--Springdale,129,Brampton,79,11,44,0,43,1,178,432
Brampton--Springdale/Brampton--Springdale,130,Brampton,75,10,34,1,26,2,148,362
Brampton--Springdale/Brampton--Springdale,131,Brampton,80,21,26,1,35,2,165,380
Brampton--Springdale/Brampton--Springdale,132,Brampton,58,1,32,0,23,2,116,330
Brampton--Springdale/Brampton--Springdale,133A,Brampton,47,6,25,1,28,4,111,265
Brampton--Springdale/Brampton--Springdale,133B,Brampton,48,9,29,0,21,1,108,254
Brampton--Springdale/Brampton--Springdale,134,Brampton,48,12,36,0,51,0,147,328
Brampton--Springdale/Brampton--Springdale,135,Brampton,56,16,63,0,75,0,210,414
Brampton--Springdale/Brampton--Springdale,136,Brampton,56,14,61,0,66,0,197,432
Brampton--Springdale/Brampton--Springdale,137,Brampton,48,14,55,0,47,2,166,325
Brampton--Springdale/Brampton--Springdale,138,Brampton,45,18,44,0,60,1,168,331
Brampton--Springdale/Brampton--Springdale,139,Brampton,54,10,37,1,52,0,154,339
Brampton--Springdale/Brampton--Springdale,140,Brampton,65,13,59,0,76,3,216,426
Brampton--Springdale/Brampton--Springdale,141,Brampton,65,12,74,2,48,2,203,365
Brampton--Springdale/Brampton--Springdale,142,Brampton,63,10,46,1,60,0,180,418
Brampton--Springdale/Brampton--Springdale,143,Brampton,73,13,56,1,50,2,195,451
Brampton--Springdale/Brampton--Springdale,144,Brampton,50,13,33,1,44,1,142,433
Brampton--Springdale/Brampton--Springdale,145,Brampton,67,12,51,0,55,1,186,472
Brampton--Springdale/Brampton--Springdale,146,Brampton,27,3,25,0,18,0,73,303
