District,Poll Number,Poll Name,Stephan Asselin,Dennis Dawson,Jeannine T. Desharnais,Nicolas Frichot,Christian Simard,Xavier Trégan,Rejected Ballots,Total Vote,Electors
Beauport/Beauport,83,Beauport,35,54,3,2,98,6,7,205,484
Beauport/Beauport,84,Beauport,37,44,8,3,94,3,6,195,410
Beauport/Beauport,85,Beauport,23,79,5,2,26,6,12,153,576
Beauport/Beauport,86,Beauport,26,58,6,0,69,2,2,163,370
Beauport/Beauport,87,Beauport,27,51,4,1,100,7,3,193,400
Beauport/Beauport,88,Beauport,28,63,6,4,64,7,1,173,364
Beauport/Beauport,89A,Beauport,44,62,9,1,138,9,4,267,502
Beauport/Beauport,89B,Mobile poll/Bureau itinérant,Merged with No. 96B,,,,,,,,59
Beauport/Beauport,90,Beauport,27,48,3,1,93,10,0,182,399
Beauport/Beauport,91,Beauport,39,76,7,1,115,4,3,245,500
Beauport/Beauport,92,Beauport,22,56,2,3,72,4,4,163,365
Beauport/Beauport,93,Beauport,24,39,5,1,96,5,5,175,439
Beauport/Beauport,94,Beauport,27,46,11,6,62,6,3,161,414
Beauport/Beauport,95,Beauport,35,65,10,1,82,14,7,214,385
Beauport/Beauport,96A,Beauport,15,62,1,1,64,6,5,154,316
Beauport/Beauport,96B,Mobile poll/Bureau itinérant,3,18,1,0,7,0,0,29,94
Beauport/Beauport,97,Beauport,27,41,9,2,78,1,1,159,343
Beauport/Beauport,98,Beauport,18,59,4,1,101,14,3,200,385
Beauport/Beauport,99,Beauport,24,44,2,1,55,8,1,135,315
Beauport/Beauport,100,Beauport,26,37,6,4,60,3,7,143,291
Beauport/Beauport,101,Beauport,39,54,12,3,87,5,4,204,387
Beauport/Beauport,102,Beauport,34,28,2,2,100,1,3,170,344
Beauport/Beauport,103,Beauport,21,70,2,1,60,4,1,159,319
Beauport/Beauport,104,Beauport,16,32,2,1,43,1,4,99,248
Beauport/Beauport,105,Beauport,21,28,2,1,73,4,4,133,374
Beauport/Beauport,106A,Québec,14,65,4,1,56,3,0,143,366
Beauport/Beauport,106B,Mobile poll/Bureau itinérant,5,20,2,0,15,3,0,45,44
Beauport/Beauport,107,Québec,33,61,7,2,69,6,5,183,493
Beauport/Beauport,108,Québec,15,32,6,3,63,6,6,131,304
Beauport/Beauport,109,Québec,22,51,4,3,79,7,3,169,364
Beauport/Beauport,110,Québec,17,21,4,3,78,8,3,134,317
Beauport/Beauport,111,Québec,28,38,6,3,87,10,5,177,331
Beauport/Beauport,112,Québec,33,48,9,1,115,7,3,216,392
Beauport/Beauport,113,Québec,24,40,4,6,75,9,7,165,348
Beauport/Beauport,114,Québec,14,31,5,3,83,3,4,143,372
Beauport/Beauport,115,Québec,24,47,8,1,82,14,1,177,434
Beauport/Beauport,116,Québec,22,30,14,5,115,11,7,204,391
Beauport/Beauport,117,Québec,22,26,8,2,65,9,2,134,325
Beauport/Beauport,118,Québec,11,78,12,3,44,4,2,154,332
Beauport/Beauport,119,Québec,16,38,17,7,105,9,5,197,436
Beauport/Beauport,120,Québec,24,35,16,2,95,10,7,189,413
Beauport/Beauport,121,Québec,12,29,7,2,101,6,0,157,410
Beauport/Beauport,122,Québec,11,47,11,4,114,12,4,203,345
Beauport/Beauport,123,Québec,19,34,19,4,112,12,9,209,417
Beauport/Beauport,124,Québec,22,27,20,4,116,20,4,213,426
Beauport/Beauport,125,Québec,4,28,13,2,84,11,3,145,272
Beauport/Beauport,126,Québec,10,34,11,5,73,8,3,144,335
Beauport/Beauport,127,Québec,11,39,1,0,45,7,3,106,266
Beauport/Beauport,128,Québec,20,44,5,1,95,16,8,189,392
Beauport/Beauport,129,Québec,22,51,22,6,130,4,3,238,483
Beauport/Beauport,130,Québec,11,30,6,4,45,6,5,107,294
Beauport/Beauport,131,Québec,12,30,6,2,71,4,5,130,336
Beauport/Beauport,132,Québec,29,57,4,2,75,8,6,181,392
Beauport/Beauport,133,Québec,29,43,6,5,111,9,7,210,428
Beauport/Beauport,134,Québec,34,32,8,6,108,12,4,204,368
Beauport/Beauport,135,Québec,26,48,6,2,118,9,6,215,403
Beauport/Beauport,136,Québec,29,76,1,3,84,8,9,210,398
Beauport/Beauport,137,Québec,14,63,5,1,85,2,7,177,418
Beauport/Beauport,138,Québec,27,51,4,4,99,8,5,198,490
Beauport/Beauport,139,Québec,29,33,6,4,87,4,7,170,401
Beauport/Beauport,140,Québec,17,33,11,3,99,14,3,180,389
Beauport/Beauport,141,Québec,29,37,3,2,92,10,6,179,389
Beauport/Beauport,142,Québec,29,33,7,1,81,12,10,173,350
Beauport/Beauport,143,Québec,25,49,7,2,97,8,9,197,377
Beauport/Beauport,144,Québec,31,53,4,4,100,11,6,209,510
Beauport/Beauport,145,Québec,36,54,4,3,80,8,5,190,388
Beauport/Beauport,146,Québec,18,37,9,2,65,5,4,140,369
Beauport/Beauport,147,Québec,25,23,4,3,63,6,6,130,413
Beauport/Beauport,148,Québec,27,40,13,8,90,17,8,203,477
Beauport/Beauport,149,Québec,22,25,3,3,71,6,3,133,377
Beauport/Beauport,150,Québec,21,50,8,4,100,11,2,196,370
Beauport/Beauport,151,Québec,35,49,5,1,100,11,11,212,392
Beauport/Beauport,152,Québec,32,71,4,1,96,12,6,222,424
Beauport/Beauport,153,Québec,40,100,4,1,81,7,9,242,491
Beauport/Beauport,154,Québec,23,35,8,4,89,14,2,175,445
Beauport/Beauport,155,Québec,17,36,6,7,96,9,5,176,347
Beauport/Beauport,156,Québec,17,38,5,4,63,7,4,138,310
Beauport/Beauport,157,Québec,12,31,6,1,78,5,1,134,367
Beauport/Beauport,158,Québec,29,50,8,2,104,15,2,210,391
Beauport/Beauport,159,Québec,13,29,8,1,55,3,6,115,261
Beauport/Beauport,160,Québec,20,40,9,2,88,7,7,173,392
Beauport/Beauport,161,Québec,17,40,3,4,71,3,2,140,339
Beauport/Beauport,162,Québec,21,49,10,5,91,12,3,191,374
Beauport/Beauport,163,Québec,33,41,11,4,139,32,5,265,375
Beauport/Beauport,164,Québec,23,50,8,1,65,13,7,167,345
Beauport/Beauport,165,Québec,32,49,6,5,69,6,6,173,322
Beauport/Beauport,166,Québec,20,44,15,0,77,20,6,182,415
Beauport/Beauport,167,Québec,25,43,21,4,129,22,1,245,419
Beauport/Beauport,168,Québec,14,48,10,3,126,16,6,223,451
Beauport/Beauport,169,Québec,21,43,11,2,132,12,9,230,410
Beauport/Beauport,170,Québec,29,61,5,3,51,4,2,155,367
Beauport/Beauport,171,Québec,30,51,3,2,76,5,6,173,366
Beauport/Beauport,172,Québec,25,46,5,1,86,4,6,173,337
Beauport/Beauport,173,Québec,21,46,9,2,85,13,3,179,366
Beauport/Beauport,174,Québec,20,43,4,0,97,2,2,168,428
Beauport/Beauport,175,Québec,18,38,5,2,73,8,6,150,370
Beauport/Beauport,176,Québec,19,55,2,2,80,5,5,168,276
Beauport/Beauport,177,Québec,28,56,7,3,88,12,9,203,416
Beauport/Beauport,178,Québec,31,37,10,4,85,5,0,172,414
Beauport/Beauport,179,Québec,35,79,13,2,84,12,9,234,422
Beauport/Beauport,180,Québec,26,73,6,5,74,7,5,196,372
Beauport/Beauport,181,Québec,36,80,7,6,98,6,8,241,563
Beauport/Beauport,182,Québec,18,43,10,2,76,7,9,165,353
Beauport/Beauport,183,Québec,19,41,8,4,62,10,4,148,340
Beauport/Beauport,184,Québec,16,49,10,0,103,7,2,187,394
Beauport/Beauport,185,Québec,14,32,5,2,80,5,5,143,303
Beauport/Beauport,186,Québec,19,31,15,3,94,9,4,175,369
Beauport/Beauport,187,Québec,22,49,14,1,107,10,4,207,486
Beauport/Beauport,188,Québec,15,50,9,2,106,11,2,195,525
Beauport/Beauport,189,Québec,25,36,8,3,81,5,3,161,323
Beauport/Beauport,190,Québec,19,42,14,1,115,17,4,212,383
Beauport/Beauport,191,Québec,14,36,23,5,117,23,5,223,430
Beauport/Beauport,192,Québec,16,35,8,3,106,16,7,191,415
Beauport/Beauport,193,Québec,23,21,8,6,135,19,3,215,395
Beauport/Beauport,194,Québec,16,34,9,3,92,12,2,168,360
Beauport/Beauport,195,Québec,25,26,10,4,129,13,3,210,381
Beauport/Beauport,196,Québec,13,21,10,3,50,10,0,107,279
Beauport/Beauport,197,Québec,23,34,6,1,100,7,6,177,469
Beauport/Beauport,198,Québec,16,20,3,3,55,6,7,110,261
Beauport/Beauport,199,Québec,38,32,7,1,103,10,2,193,442
Beauport/Beauport,200,Québec,27,33,10,6,95,13,1,185,399
Beauport/Beauport,201,Québec,22,45,6,5,93,20,6,197,448
Beauport/Beauport,202,Québec,23,38,13,2,124,20,2,222,374
Beauport/Beauport,203,Québec,32,42,3,4,81,6,8,176,369
Beauport/Beauport,204,Québec,33,46,2,4,76,9,8,178,356
Beauport/Beauport,205,Québec,30,47,7,3,117,8,9,221,449
Beauport/Beauport,500,Mobile poll/Bureau itinérant,11,37,2,3,27,1,8,89,200
Beauport/Beauport,501,Mobile poll/Bureau itinérant,4,34,1,0,23,2,5,69,100
Beauport/Beauport,502,Mobile poll/Bureau itinérant,13,73,1,0,9,0,4,100,249
Beauport/Beauport,503,Mobile poll/Bureau itinérant,2,10,0,1,11,0,4,28,89
Beauport/Beauport,504,Mobile poll/Bureau itinérant,8,17,4,1,12,1,3,46,81
Beauport/Beauport,600,Québec,134,138,17,5,349,18,9,670,
Beauport/Beauport,601,Québec,135,131,10,2,319,18,9,624,
Beauport/Beauport,602,Québec,119,190,13,2,250,17,8,599,
Beauport/Beauport,603,Québec,91,202,10,4,249,11,0,567,
Beauport/Beauport,604,Québec,93,238,16,5,240,22,5,619,
Beauport/Beauport,605,Québec,50,132,8,3,152,14,6,365,
Beauport/Beauport,606,Québec,46,152,9,3,206,14,13,443,
Beauport/Beauport,607,Québec,87,225,14,2,241,20,5,594,
Beauport/Beauport,608,Québec,82,206,14,2,212,8,13,537,
Beauport/Beauport,609,Québec,49,163,10,4,262,23,14,525,
Beauport/Beauport,,Group 1/Groupe 1,66,61,6,15,90,5,7,250,482
Beauport/Beauport,,Group 2/Groupe 2,95,342,23,10,529,26,20,1045,
