District,Poll Number,Poll Name,Bruce King,Doug McLachlan,James Rajotte,Bruce Sinclair,Rejected Ballots,Total Vote,Electors
Edmonton--Leduc/Edmonton--Leduc,99,Edmonton,48,20,79,10,1,158,328
Edmonton--Leduc/Edmonton--Leduc,100,Edmonton,137,30,198,24,1,390,600
Edmonton--Leduc/Edmonton--Leduc,101,Edmonton,21,20,33,3,1,78,197
Edmonton--Leduc/Edmonton--Leduc,102,Edmonton,13,8,25,9,0,55,120
Edmonton--Leduc/Edmonton--Leduc,103,Edmonton,51,28,68,7,0,154,367
Edmonton--Leduc/Edmonton--Leduc,104,Edmonton,61,18,106,13,0,198,376
Edmonton--Leduc/Edmonton--Leduc,105,Edmonton,36,30,99,20,0,185,492
Edmonton--Leduc/Edmonton--Leduc,106,Edmonton,47,21,82,16,0,166,370
Edmonton--Leduc/Edmonton--Leduc,107,Edmonton,88,28,101,12,0,229,406
Edmonton--Leduc/Edmonton--Leduc,108,Edmonton,69,17,122,4,1,213,342
Edmonton--Leduc/Edmonton--Leduc,109,Edmonton,72,28,149,18,0,267,486
Edmonton--Leduc/Edmonton--Leduc,110,Edmonton,55,14,117,18,1,205,357
Edmonton--Leduc/Edmonton--Leduc,111,Edmonton,71,26,119,5,1,222,345
Edmonton--Leduc/Edmonton--Leduc,112,Edmonton,117,39,122,25,1,304,540
Edmonton--Leduc/Edmonton--Leduc,113,Edmonton,95,16,106,12,0,229,386
Edmonton--Leduc/Edmonton--Leduc,114,Edmonton,67,17,142,23,1,250,402
Edmonton--Leduc/Edmonton--Leduc,115,Edmonton,73,33,139,15,0,260,439
Edmonton--Leduc/Edmonton--Leduc,116A,Edmonton,58,20,111,7,0,196,291
Edmonton--Leduc/Edmonton--Leduc,116B,Edmonton,70,13,113,11,0,207,329
Edmonton--Leduc/Edmonton--Leduc,117,Edmonton,93,15,134,8,0,250,415
Edmonton--Leduc/Edmonton--Leduc,118A,Edmonton,70,10,129,8,0,217,353
Edmonton--Leduc/Edmonton--Leduc,118B,Edmonton,104,13,122,12,0,251,369
Edmonton--Leduc/Edmonton--Leduc,118C,Edmonton,69,17,146,4,0,236,393
Edmonton--Leduc/Edmonton--Leduc,119,Edmonton,90,14,188,17,2,311,494
Edmonton--Leduc/Edmonton--Leduc,120,Edmonton,81,23,147,36,0,287,491
Edmonton--Leduc/Edmonton--Leduc,121A,Edmonton,70,21,143,13,1,248,375
Edmonton--Leduc/Edmonton--Leduc,121B,Edmonton,87,31,139,18,0,275,470
Edmonton--Leduc/Edmonton--Leduc,121C,Edmonton,62,8,89,0,0,159,315
Edmonton--Leduc/Edmonton--Leduc,121D,Edmonton,72,26,75,6,0,179,313
Edmonton--Leduc/Edmonton--Leduc,121E,Mobile poll/Bureau itinérant,42,16,79,1,0,138,110
Edmonton--Leduc/Edmonton--Leduc,122,Edmonton,87,9,167,13,1,277,442
Edmonton--Leduc/Edmonton--Leduc,123,Edmonton,102,23,156,18,0,299,497
Edmonton--Leduc/Edmonton--Leduc,124,Edmonton,76,18,105,10,0,209,346
Edmonton--Leduc/Edmonton--Leduc,125,Edmonton,74,14,106,7,0,201,359
Edmonton--Leduc/Edmonton--Leduc,126,Edmonton,59,5,119,6,1,190,344
Edmonton--Leduc/Edmonton--Leduc,127,Edmonton,89,13,137,10,1,250,427
Edmonton--Leduc/Edmonton--Leduc,128,Edmonton,88,22,160,15,0,285,450
Edmonton--Leduc/Edmonton--Leduc,129A,Edmonton,76,29,52,4,1,162,272
Edmonton--Leduc/Edmonton--Leduc,129B,Edmonton,44,5,61,3,1,114,248
Edmonton--Leduc/Edmonton--Leduc,130,Edmonton,88,21,105,11,1,226,346
Edmonton--Leduc/Edmonton--Leduc,131,Edmonton,66,21,123,15,0,225,267
Edmonton--Leduc/Edmonton--Leduc,132,Edmonton,Merged with No. 131,,,,,,138
Edmonton--Leduc/Edmonton--Leduc,133,Edmonton,44,6,59,11,0,120,244
Edmonton--Leduc/Edmonton--Leduc,134,Edmonton,79,10,112,12,1,214,382
Edmonton--Leduc/Edmonton--Leduc,135A,Edmonton,109,19,122,15,1,266,468
Edmonton--Leduc/Edmonton--Leduc,135B,Edmonton,80,11,167,18,1,277,422
Edmonton--Leduc/Edmonton--Leduc,135C,Edmonton,98,26,170,19,1,314,470
Edmonton--Leduc/Edmonton--Leduc,135D,Edmonton,104,32,171,17,0,324,461
Edmonton--Leduc/Edmonton--Leduc,135E,Edmonton,92,19,121,13,0,245,375
Edmonton--Leduc/Edmonton--Leduc,136,Edmonton,68,10,160,5,0,243,417
Edmonton--Leduc/Edmonton--Leduc,137A,Edmonton,59,14,94,7,1,175,342
Edmonton--Leduc/Edmonton--Leduc,137B,Edmonton,49,22,128,10,0,209,372
Edmonton--Leduc/Edmonton--Leduc,138,Devon,27,26,144,33,2,232,426
Edmonton--Leduc/Edmonton--Leduc,139,Devon,31,27,148,26,0,232,528
Edmonton--Leduc/Edmonton--Leduc,140,Devon,29,19,165,21,1,235,429
Edmonton--Leduc/Edmonton--Leduc,141,Devon,42,36,148,21,1,248,456
Edmonton--Leduc/Edmonton--Leduc,142,Devon,23,25,146,19,1,214,382
Edmonton--Leduc/Edmonton--Leduc,143,Devon,37,28,161,27,2,255,548
Edmonton--Leduc/Edmonton--Leduc,144A,Devon,24,31,136,19,0,210,463
Edmonton--Leduc/Edmonton--Leduc,144B,Devon,16,11,160,15,0,202,368
Edmonton--Leduc/Edmonton--Leduc,144C,Mobile poll/Bureau itinérant,Merged with No. 121E,,,,,,35
Edmonton--Leduc/Edmonton--Leduc,145,Devon,44,16,178,19,1,258,436
Edmonton--Leduc/Edmonton--Leduc,146,Nisku,14,8,106,9,1,138,260
Edmonton--Leduc/Edmonton--Leduc,147,Ireton,18,12,143,16,0,189,307
Edmonton--Leduc/Edmonton--Leduc,148,Leduc,29,21,147,26,0,223,421
Edmonton--Leduc/Edmonton--Leduc,149A,Leduc,17,10,141,11,0,179,332
Edmonton--Leduc/Edmonton--Leduc,149B,Leduc,46,10,159,2,0,217,357
Edmonton--Leduc/Edmonton--Leduc,150,Leduc,29,18,86,19,0,152,359
Edmonton--Leduc/Edmonton--Leduc,151,Leduc,24,14,88,6,0,132,365
Edmonton--Leduc/Edmonton--Leduc,152,Leduc,23,15,148,18,0,204,440
Edmonton--Leduc/Edmonton--Leduc,153,Leduc,40,18,167,8,0,233,525
Edmonton--Leduc/Edmonton--Leduc,154,Leduc,21,33,95,11,1,161,458
Edmonton--Leduc/Edmonton--Leduc,155,Leduc,36,14,86,16,0,152,388
Edmonton--Leduc/Edmonton--Leduc,156,Leduc,25,15,133,12,0,185,327
Edmonton--Leduc/Edmonton--Leduc,157,Leduc,40,26,163,26,1,256,419
Edmonton--Leduc/Edmonton--Leduc,158,Leduc,53,17,205,12,3,290,487
Edmonton--Leduc/Edmonton--Leduc,159,Leduc,21,3,95,3,0,122,198
Edmonton--Leduc/Edmonton--Leduc,160,Leduc,48,22,251,21,0,342,580
Edmonton--Leduc/Edmonton--Leduc,161,Leduc,31,17,157,15,2,222,410
Edmonton--Leduc/Edmonton--Leduc,162,Leduc,16,21,131,12,0,180,348
Edmonton--Leduc/Edmonton--Leduc,163,Leduc,39,23,133,23,0,218,380
Edmonton--Leduc/Edmonton--Leduc,164,Leduc,26,14,141,13,1,195,409
Edmonton--Leduc/Edmonton--Leduc,165,Leduc,21,13,150,13,0,197,359
Edmonton--Leduc/Edmonton--Leduc,166,Leduc,41,21,162,18,1,243,443
Edmonton--Leduc/Edmonton--Leduc,167,Leduc,40,23,210,22,0,295,504
Edmonton--Leduc/Edmonton--Leduc,168,Leduc,29,20,185,21,0,255,421
Edmonton--Leduc/Edmonton--Leduc,169,Leduc,37,24,191,26,0,278,529
Edmonton--Leduc/Edmonton--Leduc,170,Leduc,25,19,163,32,0,239,443
Edmonton--Leduc/Edmonton--Leduc,171,Leduc,21,28,161,19,0,229,400
Edmonton--Leduc/Edmonton--Leduc,172,Leduc,29,13,89,11,0,142,275
Edmonton--Leduc/Edmonton--Leduc,173,Leduc,32,24,145,12,0,213,425
Edmonton--Leduc/Edmonton--Leduc,174,Leduc,41,25,181,27,1,275,430
Edmonton--Leduc/Edmonton--Leduc,175,Leduc,34,11,168,13,0,226,394
Edmonton--Leduc/Edmonton--Leduc,176A,Leduc,39,17,154,17,1,228,279
Edmonton--Leduc/Edmonton--Leduc,176B,Leduc,17,12,160,12,0,201,306
Edmonton--Leduc/Edmonton--Leduc,177,Leduc,Merged with No. 176A,,,,,,18
Edmonton--Leduc/Edmonton--Leduc,400,Edmonton,Merged with No. 401,,,,,,85
Edmonton--Leduc/Edmonton--Leduc,401,Edmonton,53,16,70,7,5,151,152
Edmonton--Leduc/Edmonton--Leduc,500,Mobile poll/Bureau itinérant,28,21,83,6,4,142,157
Edmonton--Leduc/Edmonton--Leduc,501,Mobile poll/Bureau itinérant,45,22,73,9,0,149,155
Edmonton--Leduc/Edmonton--Leduc,600,Edmonton,146,34,223,22,1,426,
Edmonton--Leduc/Edmonton--Leduc,601,Edmonton,135,10,210,18,1,374,
Edmonton--Leduc/Edmonton--Leduc,602,Edmonton,223,27,260,11,0,521,
Edmonton--Leduc/Edmonton--Leduc,603,Edmonton,149,56,245,25,1,476,
Edmonton--Leduc/Edmonton--Leduc,604,Edmonton,129,50,236,29,0,444,
Edmonton--Leduc/Edmonton--Leduc,605,Edmonton,128,53,183,18,2,384,
Edmonton--Leduc/Edmonton--Leduc,606,Edmonton,101,38,269,22,0,430,
Edmonton--Leduc/Edmonton--Leduc,607,Edmonton,194,48,425,37,0,704,
Edmonton--Leduc/Edmonton--Leduc,608,Devon,46,22,206,16,0,290,
Edmonton--Leduc/Edmonton--Leduc,609,Leduc County,58,20,258,18,0,354,
Edmonton--Leduc/Edmonton--Leduc,610,Leduc,63,28,279,24,1,395,
Edmonton--Leduc/Edmonton--Leduc,611,Leduc County,5,1,45,2,0,53,
Edmonton--Leduc/Edmonton--Leduc,,Group 1/Groupe 1,27,14,40,10,1,92,151
Edmonton--Leduc/Edmonton--Leduc,,Group 2/Groupe 2,228,65,444,34,6,777,
