District,Poll Number,Poll Name,Mark Corbiere,Thomas Ichim,Karen Redman,Karol Vesely,Richard Walsh-Bowers,Rejected Ballots,Total Vote,Electors
Kitchener Centre/Kitchener-Centre,29,Kitchener,1,58,77,7,25,0,168,348
Kitchener Centre/Kitchener-Centre,30,Kitchener,0,70,175,7,29,0,281,423
Kitchener Centre/Kitchener-Centre,31,Kitchener,1,45,89,13,62,1,211,409
Kitchener Centre/Kitchener-Centre,32,Kitchener,1,58,119,17,61,3,259,420
Kitchener Centre/Kitchener-Centre,33,Kitchener,0,75,133,20,34,2,264,400
Kitchener Centre/Kitchener-Centre,34,Kitchener,2,56,116,9,33,1,217,324
Kitchener Centre/Kitchener-Centre,35,Kitchener,1,65,160,5,36,4,271,405
Kitchener Centre/Kitchener-Centre,36,Kitchener,0,64,107,5,36,2,214,327
Kitchener Centre/Kitchener-Centre,37,Kitchener,0,61,130,20,40,2,253,414
Kitchener Centre/Kitchener-Centre,38,Kitchener,1,61,125,17,37,1,242,372
Kitchener Centre/Kitchener-Centre,39,Kitchener,1,32,39,4,47,0,123,267
Kitchener Centre/Kitchener-Centre,40,Kitchener,2,50,59,8,41,2,162,316
Kitchener Centre/Kitchener-Centre,41,Kitchener,2,50,62,10,55,0,179,355
Kitchener Centre/Kitchener-Centre,42,Kitchener,2,55,72,9,34,0,172,423
Kitchener Centre/Kitchener-Centre,43,Kitchener,1,56,60,13,48,0,178,307
Kitchener Centre/Kitchener-Centre,44,Kitchener,2,20,42,6,29,2,101,282
Kitchener Centre/Kitchener-Centre,45,Kitchener,2,29,60,4,36,1,132,421
Kitchener Centre/Kitchener-Centre,46,Kitchener,0,35,75,12,33,0,155,359
Kitchener Centre/Kitchener-Centre,47,Kitchener,0,39,55,6,30,1,131,316
Kitchener Centre/Kitchener-Centre,48,Kitchener,0,52,102,8,42,1,205,587
Kitchener Centre/Kitchener-Centre,49,Kitchener,6,65,127,7,46,5,256,380
Kitchener Centre/Kitchener-Centre,50,Kitchener,0,17,41,7,37,1,103,343
Kitchener Centre/Kitchener-Centre,51,Kitchener,0,20,40,4,22,1,87,313
Kitchener Centre/Kitchener-Centre,52,Kitchener,1,31,98,6,52,2,190,408
Kitchener Centre/Kitchener-Centre,53,Kitchener,5,40,67,14,45,0,171,463
Kitchener Centre/Kitchener-Centre,54,Kitchener,2,32,32,6,33,1,106,328
Kitchener Centre/Kitchener-Centre,55,Kitchener,1,57,64,16,53,1,192,403
Kitchener Centre/Kitchener-Centre,56,Kitchener,1,53,73,8,51,0,186,371
Kitchener Centre/Kitchener-Centre,57,Kitchener,1,45,79,14,50,1,190,448
Kitchener Centre/Kitchener-Centre,58,Kitchener,6,48,61,16,66,0,197,418
Kitchener Centre/Kitchener-Centre,59,Kitchener,2,37,63,20,38,1,161,312
Kitchener Centre/Kitchener-Centre,60,Kitchener,2,41,87,15,53,1,199,445
Kitchener Centre/Kitchener-Centre,61,Kitchener,0,25,76,7,59,2,169,394
Kitchener Centre/Kitchener-Centre,62,Kitchener,3,31,75,8,61,0,178,370
Kitchener Centre/Kitchener-Centre,62-1,Kitchener,1,38,112,8,22,5,186,325
Kitchener Centre/Kitchener-Centre,63,Kitchener,4,62,108,17,68,2,261,470
Kitchener Centre/Kitchener-Centre,64,Kitchener,3,75,124,17,60,3,282,512
Kitchener Centre/Kitchener-Centre,65,Kitchener,2,53,80,12,63,1,211,502
Kitchener Centre/Kitchener-Centre,66,Kitchener,0,53,85,17,80,1,236,585
Kitchener Centre/Kitchener-Centre,67,Kitchener,3,39,55,12,70,0,179,383
Kitchener Centre/Kitchener-Centre,68,Kitchener,3,27,97,29,65,0,221,400
Kitchener Centre/Kitchener-Centre,69,Kitchener,0,47,64,19,52,0,182,377
Kitchener Centre/Kitchener-Centre,69-1,Kitchener,0,50,72,14,26,2,164,252
Kitchener Centre/Kitchener-Centre,70,Kitchener,1,49,113,12,83,1,259,432
Kitchener Centre/Kitchener-Centre,71,Kitchener,1,67,70,23,72,0,233,438
Kitchener Centre/Kitchener-Centre,72,Kitchener,2,42,64,12,52,0,172,348
Kitchener Centre/Kitchener-Centre,73,Kitchener,1,58,84,10,64,1,218,408
Kitchener Centre/Kitchener-Centre,74,Kitchener,0,58,100,17,53,0,228,366
Kitchener Centre/Kitchener-Centre,75,Kitchener,2,55,99,10,42,1,209,384
Kitchener Centre/Kitchener-Centre,76,Kitchener,2,39,54,5,33,2,135,371
Kitchener Centre/Kitchener-Centre,77,Kitchener,1,49,112,9,27,0,198,395
Kitchener Centre/Kitchener-Centre,78,Kitchener,2,72,120,15,62,1,272,433
Kitchener Centre/Kitchener-Centre,79,Kitchener,0,74,64,17,53,1,209,387
Kitchener Centre/Kitchener-Centre,80,Kitchener,0,67,148,7,56,0,278,430
Kitchener Centre/Kitchener-Centre,81,Kitchener,1,50,48,12,54,1,166,370
Kitchener Centre/Kitchener-Centre,82,Kitchener,1,52,66,8,67,1,195,430
Kitchener Centre/Kitchener-Centre,83,Kitchener,0,27,82,13,50,2,174,447
Kitchener Centre/Kitchener-Centre,84,Kitchener,1,51,69,9,57,1,188,397
Kitchener Centre/Kitchener-Centre,85,Kitchener,3,18,69,8,50,4,152,326
Kitchener Centre/Kitchener-Centre,86,Kitchener,2,31,52,10,36,1,132,395
Kitchener Centre/Kitchener-Centre,87,Kitchener,1,38,64,20,40,2,165,315
Kitchener Centre/Kitchener-Centre,88,Kitchener,1,52,74,12,41,1,181,426
Kitchener Centre/Kitchener-Centre,89,Kitchener,1,56,69,10,40,3,179,362
Kitchener Centre/Kitchener-Centre,90,Kitchener,0,57,70,9,46,2,184,348
Kitchener Centre/Kitchener-Centre,91,Kitchener,1,56,90,16,25,2,190,379
Kitchener Centre/Kitchener-Centre,92,Kitchener,1,57,131,11,29,2,231,385
Kitchener Centre/Kitchener-Centre,93,Kitchener,2,61,93,13,41,1,211,359
Kitchener Centre/Kitchener-Centre,94,Kitchener,2,40,97,14,54,0,207,423
Kitchener Centre/Kitchener-Centre,95,Kitchener,1,38,97,24,52,3,215,436
Kitchener Centre/Kitchener-Centre,96,Kitchener,1,69,149,13,45,3,280,393
Kitchener Centre/Kitchener-Centre,97,Kitchener,3,64,134,14,51,2,268,412
Kitchener Centre/Kitchener-Centre,98,Kitchener,1,50,131,21,59,1,263,441
Kitchener Centre/Kitchener-Centre,99,Kitchener,0,43,109,20,45,1,218,359
Kitchener Centre/Kitchener-Centre,100,Kitchener,0,45,87,18,32,0,182,308
Kitchener Centre/Kitchener-Centre,101,Kitchener,0,62,103,13,55,1,234,422
Kitchener Centre/Kitchener-Centre,102,Kitchener,1,68,118,10,33,0,230,335
Kitchener Centre/Kitchener-Centre,103,Kitchener,6,46,79,14,48,1,194,439
Kitchener Centre/Kitchener-Centre,104,Kitchener,1,45,78,14,51,1,190,389
Kitchener Centre/Kitchener-Centre,105,Kitchener,2,60,138,15,64,0,279,436
Kitchener Centre/Kitchener-Centre,106,Kitchener,1,61,145,15,60,4,286,420
Kitchener Centre/Kitchener-Centre,107,Kitchener,3,43,135,18,49,2,250,367
Kitchener Centre/Kitchener-Centre,108,Kitchener,1,49,72,13,45,0,180,381
Kitchener Centre/Kitchener-Centre,109,Kitchener,0,47,80,15,43,0,185,440
Kitchener Centre/Kitchener-Centre,110,Kitchener,3,55,92,28,49,1,228,419
Kitchener Centre/Kitchener-Centre,111,Kitchener,2,63,170,20,50,1,306,426
Kitchener Centre/Kitchener-Centre,112,Kitchener,0,49,120,24,53,2,248,409
Kitchener Centre/Kitchener-Centre,113,Kitchener,1,63,103,14,47,1,229,395
Kitchener Centre/Kitchener-Centre,114,Kitchener,3,43,90,12,31,3,182,338
Kitchener Centre/Kitchener-Centre,115,Kitchener,3,75,118,6,42,0,244,394
Kitchener Centre/Kitchener-Centre,116,Kitchener,2,50,98,22,29,2,203,387
Kitchener Centre/Kitchener-Centre,117,Kitchener,0,78,156,13,42,2,291,486
Kitchener Centre/Kitchener-Centre,118,Kitchener,0,38,47,3,26,1,115,250
Kitchener Centre/Kitchener-Centre,119,Kitchener,4,61,138,4,30,0,237,361
Kitchener Centre/Kitchener-Centre,120,Kitchener,0,72,162,4,23,2,263,398
Kitchener Centre/Kitchener-Centre,121,Kitchener,3,69,137,14,32,2,257,357
Kitchener Centre/Kitchener-Centre,122,Kitchener,2,72,129,9,28,1,241,369
Kitchener Centre/Kitchener-Centre,123,Kitchener,0,56,130,12,32,0,230,373
Kitchener Centre/Kitchener-Centre,124,Kitchener,2,67,61,12,47,4,193,332
Kitchener Centre/Kitchener-Centre,125,Kitchener,1,40,95,8,41,0,185,356
Kitchener Centre/Kitchener-Centre,126,Kitchener,1,46,82,11,31,1,172,495
Kitchener Centre/Kitchener-Centre,127,Kitchener,2,47,77,8,22,0,156,283
Kitchener Centre/Kitchener-Centre,128,Kitchener,5,77,85,7,31,0,205,380
Kitchener Centre/Kitchener-Centre,129,Kitchener,1,65,64,20,47,0,197,396
Kitchener Centre/Kitchener-Centre,130,Kitchener,1,61,101,16,35,2,216,392
Kitchener Centre/Kitchener-Centre,131,Kitchener,0,37,86,8,49,2,182,408
Kitchener Centre/Kitchener-Centre,132,Kitchener,1,75,130,7,30,0,243,344
Kitchener Centre/Kitchener-Centre,133,Kitchener,2,97,191,17,56,1,364,589
Kitchener Centre/Kitchener-Centre,134,Kitchener,0,77,126,9,37,0,249,382
Kitchener Centre/Kitchener-Centre,135,Kitchener,1,75,134,11,14,2,237,347
Kitchener Centre/Kitchener-Centre,136,Kitchener,2,60,165,11,37,0,275,426
Kitchener Centre/Kitchener-Centre,137,Kitchener,1,63,129,14,34,1,242,395
Kitchener Centre/Kitchener-Centre,138,Kitchener,1,64,117,18,38,0,238,384
Kitchener Centre/Kitchener-Centre,139,Kitchener,2,48,88,11,29,1,179,332
Kitchener Centre/Kitchener-Centre,140,Kitchener,1,65,93,15,54,2,230,389
Kitchener Centre/Kitchener-Centre,141,Kitchener,0,58,112,14,34,3,221,366
Kitchener Centre/Kitchener-Centre,142,Kitchener,3,68,75,17,54,1,218,353
Kitchener Centre/Kitchener-Centre,143,Kitchener,2,72,129,10,37,1,251,391
Kitchener Centre/Kitchener-Centre,144,Kitchener,0,50,176,5,29,0,260,381
Kitchener Centre/Kitchener-Centre,145,Kitchener,0,71,63,11,10,0,155,294
Kitchener Centre/Kitchener-Centre,146,Kitchener,1,102,142,16,29,0,290,555
Kitchener Centre/Kitchener-Centre,147,Kitchener,0,45,131,6,24,0,206,378
Kitchener Centre/Kitchener-Centre,148,Kitchener,1,64,85,14,29,1,194,374
Kitchener Centre/Kitchener-Centre,149,Kitchener,2,66,103,13,40,2,226,418
Kitchener Centre/Kitchener-Centre,150,Kitchener,2,56,111,11,26,1,207,391
Kitchener Centre/Kitchener-Centre,151,Kitchener,2,95,126,6,42,3,274,419
Kitchener Centre/Kitchener-Centre,152,Kitchener,0,79,98,20,57,0,254,524
Kitchener Centre/Kitchener-Centre,153,Kitchener,2,60,95,13,26,1,197,298
Kitchener Centre/Kitchener-Centre,154,Kitchener,2,64,74,9,39,0,188,437
Kitchener Centre/Kitchener-Centre,155,Kitchener,2,39,67,8,31,1,148,372
Kitchener Centre/Kitchener-Centre,156,Kitchener,1,55,93,16,52,0,217,534
Kitchener Centre/Kitchener-Centre,157,Kitchener,0,34,60,11,41,0,146,318
Kitchener Centre/Kitchener-Centre,158,Kitchener,0,42,58,7,9,3,119,223
Kitchener Centre/Kitchener-Centre,159,Kitchener,2,46,79,7,15,0,149,304
Kitchener Centre/Kitchener-Centre,160,Kitchener,1,71,100,13,14,0,199,398
Kitchener Centre/Kitchener-Centre,161,Kitchener,0,93,77,12,30,0,212,423
Kitchener Centre/Kitchener-Centre,162,Kitchener,4,81,121,5,28,0,239,385
Kitchener Centre/Kitchener-Centre,163,Kitchener,0,78,147,8,20,0,253,416
Kitchener Centre/Kitchener-Centre,164,Kitchener,1,108,213,12,27,3,364,500
Kitchener Centre/Kitchener-Centre,165,Kitchener,0,50,70,10,41,1,172,347
Kitchener Centre/Kitchener-Centre,166,Kitchener,0,32,61,4,11,0,108,331
Kitchener Centre/Kitchener-Centre,167,Kitchener,0,69,88,13,49,0,219,455
Kitchener Centre/Kitchener-Centre,168,Kitchener,0,27,43,8,28,1,107,322
Kitchener Centre/Kitchener-Centre,169,Kitchener,1,63,107,8,34,3,216,363
Kitchener Centre/Kitchener-Centre,170,Kitchener,0,82,134,16,22,1,255,412
Kitchener Centre/Kitchener-Centre,171,Kitchener,0,69,133,12,28,1,243,380
Kitchener Centre/Kitchener-Centre,172,Kitchener,0,54,66,6,20,0,146,288
Kitchener Centre/Kitchener-Centre,173,Kitchener,4,101,153,10,27,1,296,507
Kitchener Centre/Kitchener-Centre,174,Kitchener,1,97,121,10,32,0,261,511
Kitchener Centre/Kitchener-Centre,175,Kitchener,1,97,75,14,64,1,252,543
Kitchener Centre/Kitchener-Centre,176,Kitchener,0,50,65,11,55,1,182,398
Kitchener Centre/Kitchener-Centre,177,Kitchener,2,44,80,14,67,3,210,445
Kitchener Centre/Kitchener-Centre,178,Kitchener,1,43,70,21,72,5,212,440
Kitchener Centre/Kitchener-Centre,179,Kitchener,0,72,93,17,78,0,260,586
Kitchener Centre/Kitchener-Centre,180,Kitchener,0,24,26,6,26,4,86,286
Kitchener Centre/Kitchener-Centre,181,Kitchener,1,41,42,4,37,0,125,389
Kitchener Centre/Kitchener-Centre,182,Kitchener,0,73,148,18,21,1,261,428
Kitchener Centre/Kitchener-Centre,183,Kitchener,0,111,199,14,22,0,346,491
Kitchener Centre/Kitchener-Centre,184,Kitchener,1,67,102,13,27,2,212,330
Kitchener Centre/Kitchener-Centre,185A,Kitchener,0,79,78,18,34,1,210,374
Kitchener Centre/Kitchener-Centre,185B,Mobile poll/Bureau itinérant,4,33,83,3,9,5,137,144
Kitchener Centre/Kitchener-Centre,186,Kitchener,2,37,60,5,60,1,165,352
Kitchener Centre/Kitchener-Centre,187,Kitchener,0,73,73,13,64,1,224,413
Kitchener Centre/Kitchener-Centre,188,Kitchener,0,44,57,10,42,0,153,364
Kitchener Centre/Kitchener-Centre,189,Kitchener,3,41,73,6,33,0,156,370
Kitchener Centre/Kitchener-Centre,189-1,Kitchener,2,33,50,10,26,0,121,294
Kitchener Centre/Kitchener-Centre,190,Kitchener,0,54,83,5,9,1,152,249
Kitchener Centre/Kitchener-Centre,400,Kitchener,3,13,32,1,8,0,57,192
Kitchener Centre/Kitchener-Centre,401,Kitchener,1,18,37,9,33,0,98,240
Kitchener Centre/Kitchener-Centre,500,Mobile poll/Bureau itinérant,2,16,72,3,15,1,109,184
Kitchener Centre/Kitchener-Centre,600,Kitchener,0,192,282,24,62,4,564,
Kitchener Centre/Kitchener-Centre,601,Kitchener,1,90,208,13,37,1,350,
Kitchener Centre/Kitchener-Centre,602,Kitchener,4,37,69,3,42,0,155,
Kitchener Centre/Kitchener-Centre,603,Kitchener,1,34,69,7,44,0,155,
Kitchener Centre/Kitchener-Centre,604,Kitchener,1,98,165,18,75,1,358,
Kitchener Centre/Kitchener-Centre,605,Kitchener,0,53,74,13,45,0,185,
Kitchener Centre/Kitchener-Centre,606,Kitchener,3,118,261,24,87,2,495,
Kitchener Centre/Kitchener-Centre,607,Kitchener,2,114,142,9,36,3,306,
Kitchener Centre/Kitchener-Centre,608,Kitchener,3,87,145,14,35,1,285,
Kitchener Centre/Kitchener-Centre,609,Kitchener,4,179,240,19,59,5,506,
Kitchener Centre/Kitchener-Centre,610,Kitchener,1,132,161,24,40,1,359,
Kitchener Centre/Kitchener-Centre,,Group 1/Groupe 1,1,32,38,7,8,1,87,178
Kitchener Centre/Kitchener-Centre,,Group 2/Groupe 2,0,76,137,12,37,1,263,
