District,Poll Number,Poll Name,Sunny Athwal,Chuck Cadman,Jasbir Singh Cheema,Gerhard Herwig,Joyce Holmes,Jim Karpoff,Dan Sheel,Roy Tyler Whyte,Rejected Ballots,Total Vote,Electors
Surrey North/Surrey-Nord,21,Surrey,2,66,12,1,0,34,24,0,1,140,247
Surrey North/Surrey-Nord,22,Surrey,3,68,17,2,0,50,37,0,0,177,342
Surrey North/Surrey-Nord,23,Surrey,3,123,10,5,0,40,16,1,1,199,390
Surrey North/Surrey-Nord,24,Surrey,3,137,11,3,1,84,31,0,4,274,495
Surrey North/Surrey-Nord,25,Surrey,4,138,46,1,1,45,43,1,2,281,548
Surrey North/Surrey-Nord,26,Surrey,3,104,14,3,0,39,20,0,0,183,296
Surrey North/Surrey-Nord,27,Surrey,8,117,21,1,1,45,34,2,3,232,399
Surrey North/Surrey-Nord,28,Surrey,5,107,19,3,2,33,16,0,1,186,320
Surrey North/Surrey-Nord,29,Surrey,3,117,22,2,0,51,30,0,1,226,400
Surrey North/Surrey-Nord,30,Surrey,3,68,13,2,0,50,14,0,3,153,278
Surrey North/Surrey-Nord,31,Surrey,1,61,15,0,0,37,13,0,1,128,286
Surrey North/Surrey-Nord,32,Surrey,4,145,17,1,1,45,25,1,3,242,422
Surrey North/Surrey-Nord,33,Surrey,8,66,16,3,0,67,14,2,1,177,341
Surrey North/Surrey-Nord,34,Surrey,2,62,5,5,0,36,19,0,0,129,284
Surrey North/Surrey-Nord,35,Surrey,3,121,20,2,0,40,30,0,3,219,400
Surrey North/Surrey-Nord,36,Surrey,2,148,14,1,1,46,19,1,2,234,374
Surrey North/Surrey-Nord,37,Surrey,4,81,11,4,0,63,28,0,0,191,390
Surrey North/Surrey-Nord,38,Surrey,2,148,12,6,1,68,31,0,1,269,432
Surrey North/Surrey-Nord,39,Surrey,2,117,4,1,0,49,21,0,0,194,295
Surrey North/Surrey-Nord,40,Surrey,1,113,16,6,0,36,23,0,1,196,323
Surrey North/Surrey-Nord,41,Surrey,5,76,20,3,0,35,15,1,2,157,255
Surrey North/Surrey-Nord,42,Surrey,4,106,28,3,0,55,39,0,1,236,466
Surrey North/Surrey-Nord,43,Surrey,5,50,18,0,0,22,15,0,1,111,283
Surrey North/Surrey-Nord,44,Surrey,6,132,34,9,0,60,44,2,1,288,565
Surrey North/Surrey-Nord,45,Surrey,2,64,8,9,1,32,22,0,1,139,274
Surrey North/Surrey-Nord,46,Surrey,1,83,15,9,0,35,15,1,0,159,349
Surrey North/Surrey-Nord,47,Surrey,9,89,26,3,0,48,20,0,0,195,419
Surrey North/Surrey-Nord,48,Surrey,4,148,24,8,0,57,26,0,1,268,480
Surrey North/Surrey-Nord,49,Surrey,5,68,11,2,1,46,22,0,0,155,352
Surrey North/Surrey-Nord,50,Surrey,9,48,15,1,1,35,14,0,1,124,339
Surrey North/Surrey-Nord,51,Surrey,7,30,20,0,1,24,16,0,0,98,263
Surrey North/Surrey-Nord,52,Surrey,7,118,26,2,2,42,29,0,4,230,527
Surrey North/Surrey-Nord,53,Surrey,4,48,16,4,1,42,31,0,0,146,334
Surrey North/Surrey-Nord,54,Surrey,9,55,9,2,0,44,23,1,2,145,320
Surrey North/Surrey-Nord,55,Surrey,6,45,21,0,1,52,22,2,0,149,455
Surrey North/Surrey-Nord,56,Surrey,5,31,6,0,0,23,10,0,0,75,238
Surrey North/Surrey-Nord,57,Surrey,1,39,15,2,1,29,7,0,0,94,346
Surrey North/Surrey-Nord,58,Surrey,6,72,22,2,1,47,45,5,2,202,458
Surrey North/Surrey-Nord,59,Surrey,3,116,32,1,0,66,46,1,4,269,505
Surrey North/Surrey-Nord,60A,Surrey,0,64,25,0,0,33,16,0,1,139,305
Surrey North/Surrey-Nord,60B,Surrey,8,78,16,1,0,45,29,1,0,178,334
Surrey North/Surrey-Nord,61,Surrey,1,139,22,3,2,40,43,0,0,250,433
Surrey North/Surrey-Nord,62,Surrey,5,104,35,1,0,64,52,0,1,262,521
Surrey North/Surrey-Nord,63,Surrey,1,98,45,9,0,85,49,0,1,288,516
Surrey North/Surrey-Nord,64,Surrey,1,88,13,3,0,43,19,0,0,167,330
Surrey North/Surrey-Nord,65,Surrey,2,132,5,3,0,38,18,0,0,198,284
Surrey North/Surrey-Nord,66,Surrey,2,100,21,2,0,42,26,0,0,193,331
Surrey North/Surrey-Nord,67,Surrey,5,103,15,3,0,43,21,0,0,190,353
Surrey North/Surrey-Nord,68,Surrey,5,115,41,4,1,48,18,0,0,232,424
Surrey North/Surrey-Nord,69,Surrey,3,106,47,7,1,69,28,0,2,263,498
Surrey North/Surrey-Nord,70,Surrey,9,75,18,4,1,100,33,0,3,243,413
Surrey North/Surrey-Nord,71,Surrey,7,132,19,4,0,37,35,0,0,234,368
Surrey North/Surrey-Nord,72,Surrey,5,149,12,2,0,35,36,1,1,241,376
Surrey North/Surrey-Nord,73,Surrey,8,79,51,4,0,57,55,0,2,256,498
Surrey North/Surrey-Nord,74,Surrey,2,100,32,0,1,58,26,0,0,219,422
Surrey North/Surrey-Nord,75,Surrey,3,77,51,1,0,72,62,0,1,267,542
Surrey North/Surrey-Nord,76,Surrey,5,56,32,0,0,41,37,0,1,172,343
Surrey North/Surrey-Nord,77,Surrey,3,63,16,0,1,44,23,0,1,151,285
Surrey North/Surrey-Nord,78,Surrey,3,150,13,1,1,57,24,0,1,250,386
Surrey North/Surrey-Nord,79,Surrey,3,106,31,1,0,63,34,1,9,248,480
Surrey North/Surrey-Nord,80,Surrey,2,114,14,1,4,40,13,0,0,188,335
Surrey North/Surrey-Nord,81,Surrey,1,81,19,2,0,59,25,0,1,188,358
Surrey North/Surrey-Nord,82,Surrey,1,103,28,1,2,84,41,1,0,261,503
Surrey North/Surrey-Nord,83,Surrey,2,78,33,4,0,72,45,0,5,239,454
Surrey North/Surrey-Nord,84,Surrey,6,86,14,7,1,55,37,0,2,208,417
Surrey North/Surrey-Nord,85,Surrey,2,75,23,7,0,40,36,1,1,185,377
Surrey North/Surrey-Nord,86,Surrey,8,69,27,2,0,49,32,1,3,191,456
Surrey North/Surrey-Nord,87,Surrey,5,66,12,4,0,31,14,0,0,132,296
Surrey North/Surrey-Nord,88,Surrey,1,140,17,8,0,41,42,3,1,253,402
Surrey North/Surrey-Nord,89,Surrey,2,75,19,6,0,41,17,0,0,160,383
Surrey North/Surrey-Nord,90,Surrey,1,28,17,5,1,23,8,0,0,83,205
Surrey North/Surrey-Nord,91,Surrey,5,118,27,4,2,56,42,1,2,257,548
Surrey North/Surrey-Nord,92,Surrey,9,80,31,3,0,48,44,0,2,217,576
Surrey North/Surrey-Nord,93A,Surrey,6,66,24,4,2,26,15,0,0,143,307
Surrey North/Surrey-Nord,93B,Surrey,4,66,18,2,0,27,26,0,0,143,302
Surrey North/Surrey-Nord,94,Surrey,2,89,24,2,1,28,13,0,2,161,326
Surrey North/Surrey-Nord,95,Surrey,6,110,24,2,2,72,31,1,2,250,411
Surrey North/Surrey-Nord,96,Surrey,4,115,28,4,0,55,38,0,3,247,586
Surrey North/Surrey-Nord,97,Surrey,0,88,15,1,2,36,18,0,1,161,323
Surrey North/Surrey-Nord,98,Surrey,2,138,13,5,0,38,46,0,2,244,451
Surrey North/Surrey-Nord,99,Surrey,3,157,36,11,0,67,43,0,0,317,470
Surrey North/Surrey-Nord,100,Surrey,5,148,27,7,1,51,54,0,0,293,544
Surrey North/Surrey-Nord,101,Surrey,1,126,24,5,0,52,39,0,0,247,389
Surrey North/Surrey-Nord,102A,Surrey,2,91,22,1,1,37,43,1,3,201,349
Surrey North/Surrey-Nord,102B,Surrey,4,85,24,4,0,30,45,1,2,195,331
Surrey North/Surrey-Nord,103,Surrey,1,85,18,3,1,37,33,0,6,184,413
Surrey North/Surrey-Nord,104,Surrey,0,130,14,2,3,22,16,0,1,188,302
Surrey North/Surrey-Nord,105,Surrey,2,101,28,2,1,45,15,0,1,195,350
Surrey North/Surrey-Nord,106,Surrey,3,98,19,4,0,27,35,0,0,186,386
Surrey North/Surrey-Nord,107,Surrey,2,60,15,1,0,43,17,0,0,138,318
Surrey North/Surrey-Nord,108,Surrey,6,118,28,2,1,61,44,1,2,263,543
Surrey North/Surrey-Nord,109,Surrey,7,123,49,6,0,61,31,0,5,282,514
Surrey North/Surrey-Nord,110,Surrey,5,77,47,3,2,60,53,0,0,247,501
Surrey North/Surrey-Nord,111A,Surrey,4,29,45,0,1,57,45,2,1,184,359
Surrey North/Surrey-Nord,111B,Surrey,1,38,27,3,0,42,30,0,4,145,289
Surrey North/Surrey-Nord,112,Surrey,1,70,39,1,2,59,28,1,2,203,391
Surrey North/Surrey-Nord,113,Surrey,3,41,35,2,0,55,43,0,5,184,348
Surrey North/Surrey-Nord,114,Surrey,5,94,32,3,2,71,27,1,0,235,442
Surrey North/Surrey-Nord,115,Surrey,5,97,35,1,0,56,35,0,0,229,430
Surrey North/Surrey-Nord,116,Surrey,1,47,40,1,1,68,36,0,4,198,428
Surrey North/Surrey-Nord,117A,Surrey,3,48,29,5,0,60,42,0,0,187,361
Surrey North/Surrey-Nord,117B,Surrey,0,48,18,1,0,43,48,1,2,161,316
Surrey North/Surrey-Nord,118,Surrey,5,100,42,0,1,66,56,0,4,274,597
Surrey North/Surrey-Nord,119,Surrey,6,118,36,4,0,48,48,0,2,262,482
Surrey North/Surrey-Nord,120,Surrey,1,129,30,1,0,66,28,0,0,255,524
Surrey North/Surrey-Nord,121,Surrey,3,141,26,5,0,46,39,0,2,262,512
Surrey North/Surrey-Nord,122A,Surrey,4,72,17,1,0,33,27,1,0,155,349
Surrey North/Surrey-Nord,122B,Surrey,2,89,21,0,0,25,31,2,0,170,354
Surrey North/Surrey-Nord,123,Surrey,2,76,22,1,0,51,32,0,3,187,358
Surrey North/Surrey-Nord,124,Surrey,4,113,33,4,0,55,39,1,3,252,456
Surrey North/Surrey-Nord,125,Surrey,2,54,41,0,0,61,44,0,1,203,417
Surrey North/Surrey-Nord,126,Surrey,1,92,19,1,0,39,29,0,0,181,379
Surrey North/Surrey-Nord,127,Surrey,3,71,73,0,0,97,53,0,4,301,584
Surrey North/Surrey-Nord,128,Surrey,3,40,52,4,1,42,40,0,2,184,399
Surrey North/Surrey-Nord,129,Surrey,6,59,22,1,0,51,21,1,0,161,319
Surrey North/Surrey-Nord,130,Surrey,8,85,19,3,1,54,25,2,1,198,553
Surrey North/Surrey-Nord,131,Surrey,2,65,24,0,2,51,34,1,0,179,392
Surrey North/Surrey-Nord,132,Surrey,7,130,33,1,1,84,54,0,2,312,576
Surrey North/Surrey-Nord,133,Surrey,1,107,33,4,0,47,30,2,0,224,424
Surrey North/Surrey-Nord,134,Surrey,6,90,23,2,1,48,26,1,1,198,409
Surrey North/Surrey-Nord,135,Surrey,3,87,73,1,0,74,67,0,9,314,594
Surrey North/Surrey-Nord,136,Surrey,4,43,56,1,1,63,51,0,4,223,439
Surrey North/Surrey-Nord,137,Surrey,3,42,40,0,0,68,21,0,1,175,375
Surrey North/Surrey-Nord,138,Surrey,3,74,48,0,0,54,48,0,4,231,474
Surrey North/Surrey-Nord,139,Surrey,4,92,49,2,0,60,37,0,3,247,472
Surrey North/Surrey-Nord,140,Surrey,3,147,22,0,0,56,45,0,3,276,454
Surrey North/Surrey-Nord,141,Surrey,3,97,55,1,0,52,56,0,1,265,503
Surrey North/Surrey-Nord,142,Surrey,2,15,62,0,1,60,43,1,4,188,377
Surrey North/Surrey-Nord,143,Surrey,0,11,20,0,0,27,32,0,0,90,214
Surrey North/Surrey-Nord,144,Surrey,8,85,48,5,0,70,56,0,2,274,529
Surrey North/Surrey-Nord,145,Surrey,1,73,36,0,2,44,46,1,1,204,468
Surrey North/Surrey-Nord,146,Surrey,6,25,49,3,1,78,73,2,1,238,525
Surrey North/Surrey-Nord,147,Surrey,1,81,14,5,0,72,37,0,1,211,384
Surrey North/Surrey-Nord,148,Surrey,4,37,70,0,0,75,83,0,9,278,528
Surrey North/Surrey-Nord,400,Surrey,3,57,19,2,0,26,22,0,2,131,230
Surrey North/Surrey-Nord,500,Mobile poll/Bureau itinérant,0,27,7,1,1,15,18,1,2,72,156
Surrey North/Surrey-Nord,501,Mobile poll/Bureau itinérant,4,71,13,5,0,36,22,1,0,152,107
Surrey North/Surrey-Nord,502,Mobile poll/Bureau itinérant,1,19,7,6,1,20,23,1,3,81,150
Surrey North/Surrey-Nord,503,Mobile poll/Bureau itinérant,3,52,30,3,0,36,27,0,1,152,235
Surrey North/Surrey-Nord,600,Surrey,9,161,28,3,0,86,37,2,2,328,
Surrey North/Surrey-Nord,601,Surrey,7,122,19,3,0,49,16,2,1,219,
Surrey North/Surrey-Nord,602,Surrey,4,137,27,1,0,54,24,1,4,252,
Surrey North/Surrey-Nord,603,Surrey,5,156,37,3,2,79,28,1,1,312,
Surrey North/Surrey-Nord,604,Surrey,14,290,41,11,0,77,44,1,0,478,
Surrey North/Surrey-Nord,605,Surrey,4,122,63,2,1,69,51,0,2,314,
Surrey North/Surrey-Nord,606,Surrey,15,192,138,0,1,117,92,1,3,559,
Surrey North/Surrey-Nord,,Group 1/Groupe 1,5,14,20,2,1,17,28,1,3,91,151
Surrey North/Surrey-Nord,,Group 2/Groupe 2,9,181,52,7,3,89,61,4,13,419,
