District,Poll Number,Poll Name,Laurel Denise Fadeeff,Ted Menzies,Chris Shade,Joyce Thomas,Rejected Ballots,Total Vote,Electors
Macleod/Macleod,48,Okotoks,25,168,30,26,0,249,493
Macleod/Macleod,49,Okotoks,15,185,21,20,0,241,475
Macleod/Macleod,50,Okotoks,11,182,22,12,0,227,456
Macleod/Macleod,51,Okotoks,21,323,38,25,1,408,732
Macleod/Macleod,52,Okotoks,16,118,20,10,0,164,317
Macleod/Macleod,53,Okotoks,9,167,18,11,0,205,349
Macleod/Macleod,54,Okotoks,25,191,42,15,1,274,510
Macleod/Macleod,55,Okotoks,17,173,20,11,1,222,419
Macleod/Macleod,56,Okotoks,18,80,11,5,0,114,247
Macleod/Macleod,57,Okotoks,13,166,22,14,2,217,592
Macleod/Macleod,58,Okotoks,20,251,37,21,1,330,637
Macleod/Macleod,59,Okotoks,17,225,27,16,0,285,489
Macleod/Macleod,60,Okotoks,28,257,44,29,0,358,799
Macleod/Macleod,61,Okotoks,18,232,31,16,0,297,536
Macleod/Macleod,62,Okotoks,Void,,,,,,
Macleod/Macleod,63,Okotoks,Void,,,,,,
Macleod/Macleod,64,Okotoks,Void,,,,,,
Macleod/Macleod,65,Okotoks,Void,,,,,,
Macleod/Macleod,66,Okotoks,15,258,17,15,1,306,530
Macleod/Macleod,67,Gladys,16,232,22,13,0,283,412
Macleod/Macleod,68,High River,21,288,32,15,3,359,533
Macleod/Macleod,69,High River,29,394,40,37,0,500,848
Macleod/Macleod,70A,High River,8,261,34,11,1,315,560
Macleod/Macleod,70B,High River,10,265,28,11,1,315,497
Macleod/Macleod,71,High River,31,180,26,14,1,252,461
Macleod/Macleod,72,High River,18,103,16,10,1,148,273
Macleod/Macleod,73,High River,30,189,40,22,0,281,500
Macleod/Macleod,74,High River,28,141,19,19,0,207,450
Macleod/Macleod,75,High River,19,155,22,11,0,207,434
Macleod/Macleod,76,High River,27,149,18,28,3,225,458
Macleod/Macleod,77,High River,33,169,25,21,1,249,563
Macleod/Macleod,78,High River,20,222,23,13,0,278,525
Macleod/Macleod,79,High River,22,160,19,18,0,219,405
Macleod/Macleod,80,High River,23,156,10,12,1,202,348
Macleod/Macleod,81,High River,19,263,27,18,0,327,648
Macleod/Macleod,82,High River,15,246,42,20,0,323,615
Macleod/Macleod,83,High River,13,126,8,5,0,152,256
Macleod/Macleod,84,Blackie,21,237,13,17,0,288,575
Macleod/Macleod,85,Cayley,24,306,15,28,0,373,630
Macleod/Macleod,86,Siksika,3,12,86,7,2,110,452
Macleod/Macleod,87,Siksika,3,9,102,3,0,117,415
Macleod/Macleod,88,Siksika,1,15,42,2,0,60,210
Macleod/Macleod,89,Siksika,1,5,52,3,0,61,201
Macleod/Macleod,90,Gladys,12,140,7,7,0,166,251
Macleod/Macleod,91,Mossleigh,1,185,9,6,1,202,405
Macleod/Macleod,92,Milo,10,189,4,9,1,213,380
Macleod/Macleod,93,Brant,8,138,17,7,0,170,324
Macleod/Macleod,94A,Vulcan,8,212,18,11,0,249,383
Macleod/Macleod,94B,Vulcan,8,86,12,11,0,117,424
Macleod/Macleod,95,Vulcan,9,103,7,14,0,133,234
Macleod/Macleod,96,Vulcan,4,185,20,15,0,224,332
Macleod/Macleod,97,Vulcan,2,169,3,9,0,183,264
Macleod/Macleod,98,Armada,15,163,15,5,0,198,367
Macleod/Macleod,99,Kirkcaldy,8,158,6,7,0,179,275
Macleod/Macleod,100,Champion,9,227,26,14,0,276,407
Macleod/Macleod,101A,Travers,13,166,15,8,0,202,358
Macleod/Macleod,101B,Travers,0,11,0,0,0,11,44
Macleod/Macleod,102,Lundbreck,6,117,7,16,0,146,214
Macleod/Macleod,103,Crowsnest Pass,20,139,31,27,1,218,345
Macleod/Macleod,104,Crowsnest Pass,12,155,41,39,0,247,371
Macleod/Macleod,105,Crowsnest Pass,17,99,25,32,0,173,288
Macleod/Macleod,106A,Crowsnest Pass,20,104,21,20,0,165,361
Macleod/Macleod,106B,Crowsnest Pass,12,113,37,16,1,179,353
Macleod/Macleod,107,Crowsnest Pass,5,85,27,16,0,133,203
Macleod/Macleod,108,Crowsnest Pass,17,110,26,21,1,175,289
Macleod/Macleod,109,Crowsnest Pass,3,78,8,8,0,97,164
Macleod/Macleod,110A,Crowsnest Pass,20,114,23,22,0,179,383
Macleod/Macleod,110B,Crowsnest Pass,15,107,23,26,3,174,426
Macleod/Macleod,111,Crowsnest Pass,12,129,31,33,0,205,314
Macleod/Macleod,112,Crowsnest Pass,13,116,12,20,1,162,244
Macleod/Macleod,113,Crowsnest Pass,13,177,32,40,0,262,479
Macleod/Macleod,114,Crowsnest Pass,28,178,38,48,2,294,531
Macleod/Macleod,115,Lundbreck,23,218,22,25,0,288,479
Macleod/Macleod,116,Nanton,18,294,12,14,2,340,471
Macleod/Macleod,117,Nanton,15,170,30,13,0,228,356
Macleod/Macleod,118A,Nanton,8,149,13,16,0,186,358
Macleod/Macleod,118B,Nanton,23,149,12,22,1,207,369
Macleod/Macleod,119,Nanton,4,69,13,3,0,89,116
Macleod/Macleod,120,Nanton,15,201,23,18,2,259,370
Macleod/Macleod,121,Parkland,11,114,5,13,0,143,291
Macleod/Macleod,122,Stavely,27,156,4,6,0,193,236
Macleod/Macleod,123,Stavely,22,134,14,7,0,177,349
Macleod/Macleod,124,Claresholm,6,119,3,2,0,130,229
Macleod/Macleod,125,Claresholm,9,174,5,8,1,197,303
Macleod/Macleod,126,Claresholm,11,120,12,17,0,160,283
Macleod/Macleod,127,Claresholm,11,140,20,7,0,178,298
Macleod/Macleod,128,Claresholm,6,135,11,13,0,165,253
Macleod/Macleod,129,Claresholm,3,135,8,12,0,158,261
Macleod/Macleod,130,Claresholm,16,192,21,18,2,249,391
Macleod/Macleod,131,Claresholm,3,85,7,17,0,112,188
Macleod/Macleod,132A,Claresholm,10,143,16,7,2,178,406
Macleod/Macleod,132B,Claresholm,5,149,16,16,0,186,398
Macleod/Macleod,132C,Claresholm,10,136,14,11,0,171,416
Macleod/Macleod,133,Granum,7,176,5,19,1,208,303
Macleod/Macleod,134,Pincher Creek,16,169,12,23,1,221,454
Macleod/Macleod,135,Peigan 147,9,3,99,7,0,118,311
Macleod/Macleod,136,Peigan 147,6,4,153,7,0,170,375
Macleod/Macleod,137,Beaver Mines,18,120,20,18,0,176,297
Macleod/Macleod,138,Pincher Creek,21,223,15,14,0,273,493
Macleod/Macleod,139,Pincher Creek,21,127,14,12,0,174,337
Macleod/Macleod,140,Pincher Creek,10,112,17,6,0,145,293
Macleod/Macleod,141,Pincher Creek,5,102,12,25,1,145,274
Macleod/Macleod,142A,Pincher Creek,15,126,25,15,0,181,452
Macleod/Macleod,142B,Pincher Creek,17,95,18,15,1,146,413
Macleod/Macleod,143,Pincher Creek,19,99,22,18,0,158,316
Macleod/Macleod,144,Pincher Creek,17,146,26,19,0,208,337
Macleod/Macleod,145,Pincher Creek,13,128,26,23,0,190,325
Macleod/Macleod,146,Twin Butte,16,96,21,10,0,143,201
Macleod/Macleod,147,Hill Spring,12,203,17,17,1,250,458
Macleod/Macleod,148,Granum,12,197,28,28,1,266,484
Macleod/Macleod,149,Fort Macleod,6,135,21,10,0,172,306
Macleod/Macleod,150,Fort Macleod,11,142,24,9,1,187,367
Macleod/Macleod,151,Fort Macleod,27,209,32,15,1,284,508
Macleod/Macleod,152,Fort Macleod,8,84,20,16,0,128,255
Macleod/Macleod,153,Fort Macleod,5,107,16,12,0,140,259
Macleod/Macleod,154,Fort Macleod,5,64,21,12,1,103,236
Macleod/Macleod,155,Fort Macleod,12,160,25,17,0,214,369
Macleod/Macleod,156,Fort Macleod,6,86,15,12,0,119,266
Macleod/Macleod,157,Fort Macleod,8,263,13,22,1,307,528
Macleod/Macleod,158,Monarch,5,118,11,14,0,148,196
Macleod/Macleod,159,Glenwood,3,191,9,10,1,214,371
Macleod/Macleod,160A,Blood 148,2,1,29,1,0,33,384
Macleod/Macleod,160B,Blood 148,0,1,19,2,0,22,280
Macleod/Macleod,161,Blood 148,0,0,54,2,0,56,518
Macleod/Macleod,162,Blood 148,1,3,108,0,0,112,653
Macleod/Macleod,163A,Blood 148,1,2,13,4,1,21,299
Macleod/Macleod,163B,Blood 148,0,0,24,0,0,24,393
Macleod/Macleod,164A,Blood 148,1,2,84,4,3,94,645
Macleod/Macleod,164B,Blood 148,0,2,46,1,0,49,483
Macleod/Macleod,165A,Blood 148,0,0,69,1,0,70,383
Macleod/Macleod,165B,Blood 148,0,2,93,1,1,97,419
Macleod/Macleod,500,Mobile poll/Bureau itinérant,2,64,13,6,0,85,90
Macleod/Macleod,501,Mobile poll/Bureau itinérant,2,47,11,4,1,65,71
Macleod/Macleod,502,Mobile poll/Bureau itinérant,6,118,25,9,1,159,208
Macleod/Macleod,503,Mobile poll/Bureau itinérant,3,78,26,17,0,124,167
Macleod/Macleod,504,Mobile poll/Bureau itinérant,5,67,16,9,0,97,175
Macleod/Macleod,505,Mobile poll/Bureau itinérant,4,35,12,7,0,58,71
Macleod/Macleod,600,Redwood Meadows--Rockyview 44,40,456,52,16,3,567,
Macleod/Macleod,601,Turner Valley,13,203,11,13,0,240,
Macleod/Macleod,602,Okotoks,40,642,48,48,4,782,
Macleod/Macleod,603,High River,38,490,52,33,0,613,
Macleod/Macleod,604,Vulcan,4,205,20,11,0,240,
Macleod/Macleod,605,Blairmore,18,211,42,33,1,305,
Macleod/Macleod,606,Claresholm,11,362,23,19,0,415,
Macleod/Macleod,607,Pincher Creek,24,241,25,25,0,315,
Macleod/Macleod,608,Fort Macleod,10,147,44,22,0,223,
Macleod/Macleod,,Group 1/Groupe 1,2,45,16,11,3,77,140
Macleod/Macleod,,Group 2/Groupe 2,25,477,51,24,6,583,
