District,Poll Number,Poll Name,Julie C. Baribeau,Nick Discepola,Meili Faille,Bert Markgraf,Robert Ramage,Charles Soucy,Rejected Ballots,Total Vote,Electors
Vaudreuil-Soulanges/Vaudreuil-Soulanges,16,Hudson,9,140,13,13,41,1,1,218,389
Vaudreuil-Soulanges/Vaudreuil-Soulanges,17,Hudson,21,165,9,21,57,3,1,277,451
Vaudreuil-Soulanges/Vaudreuil-Soulanges,18,Hudson,7,149,10,17,40,4,0,227,375
Vaudreuil-Soulanges/Vaudreuil-Soulanges,19,Hudson,12,148,17,17,22,0,1,217,386
Vaudreuil-Soulanges/Vaudreuil-Soulanges,20,Hudson,8,117,8,33,35,1,0,202,331
Vaudreuil-Soulanges/Vaudreuil-Soulanges,21,Hudson,7,95,23,11,25,0,1,162,393
Vaudreuil-Soulanges/Vaudreuil-Soulanges,22,Hudson,21,181,20,14,47,0,2,285,441
Vaudreuil-Soulanges/Vaudreuil-Soulanges,23,Hudson,18,152,13,26,49,4,4,266,418
Vaudreuil-Soulanges/Vaudreuil-Soulanges,24,Hudson,10,113,27,22,44,2,0,218,387
Vaudreuil-Soulanges/Vaudreuil-Soulanges,25,Vaudreuil-Dorion,7,121,40,15,27,1,0,211,386
Vaudreuil-Soulanges/Vaudreuil-Soulanges,26,Vaudreuil-Dorion,5,81,71,3,12,0,2,174,327
Vaudreuil-Soulanges/Vaudreuil-Soulanges,27A,Vaudreuil-Dorion,3,60,60,5,15,0,1,144,235
Vaudreuil-Soulanges/Vaudreuil-Soulanges,27B,Vaudreuil-Dorion,5,89,61,8,18,0,2,183,296
Vaudreuil-Soulanges/Vaudreuil-Soulanges,28,Vaudreuil-sur-le-Lac,9,128,179,8,23,0,3,350,503
Vaudreuil-Soulanges/Vaudreuil-Soulanges,29,L'Île-Cadieux,15,126,143,8,20,1,2,315,469
Vaudreuil-Soulanges/Vaudreuil-Soulanges,30,Vaudreuil-Dorion,9,179,106,7,31,2,4,338,538
Vaudreuil-Soulanges/Vaudreuil-Soulanges,31A,Vaudreuil-Dorion,5,87,72,15,16,2,4,201,328
Vaudreuil-Soulanges/Vaudreuil-Soulanges,31B,Vaudreuil-Dorion,10,106,72,13,20,0,1,222,334
Vaudreuil-Soulanges/Vaudreuil-Soulanges,32,Vaudreuil-Dorion,10,93,144,5,20,0,9,281,421
Vaudreuil-Soulanges/Vaudreuil-Soulanges,33A,Vaudreuil-Dorion,8,62,115,6,8,3,5,207,313
Vaudreuil-Soulanges/Vaudreuil-Soulanges,33B,Vaudreuil-Dorion,7,54,107,6,10,0,6,190,340
Vaudreuil-Soulanges/Vaudreuil-Soulanges,34,Vaudreuil-Dorion,6,81,134,10,20,4,8,263,340
Vaudreuil-Soulanges/Vaudreuil-Soulanges,35A,Vaudreuil-Dorion,5,71,79,12,11,2,2,182,290
Vaudreuil-Soulanges/Vaudreuil-Soulanges,35B,Vaudreuil-Dorion,5,67,86,10,15,2,5,190,296
Vaudreuil-Soulanges/Vaudreuil-Soulanges,36A,Vaudreuil-Dorion,9,62,106,6,15,4,4,206,333
Vaudreuil-Soulanges/Vaudreuil-Soulanges,36B,Mobile poll/Bureau itinérant,Merged with No. 501,,,,,,,,8
Vaudreuil-Soulanges/Vaudreuil-Soulanges,37,Vaudreuil-Dorion,8,112,122,9,25,3,7,286,470
Vaudreuil-Soulanges/Vaudreuil-Soulanges,38A,Vaudreuil-Dorion,10,68,74,9,11,3,1,176,291
Vaudreuil-Soulanges/Vaudreuil-Soulanges,38B,Vaudreuil-Dorion,4,86,91,3,11,1,4,200,296
Vaudreuil-Soulanges/Vaudreuil-Soulanges,39,Vaudreuil-Dorion,8,64,159,12,12,4,5,264,464
Vaudreuil-Soulanges/Vaudreuil-Soulanges,40,Vaudreuil-Dorion,5,68,144,6,15,0,4,242,361
Vaudreuil-Soulanges/Vaudreuil-Soulanges,41A,Vaudreuil-Dorion,3,32,97,9,6,5,3,155,262
Vaudreuil-Soulanges/Vaudreuil-Soulanges,41B,Vaudreuil-Dorion,6,47,101,8,6,2,5,175,284
Vaudreuil-Soulanges/Vaudreuil-Soulanges,42,Vaudreuil-Dorion,12,123,168,20,31,4,4,362,578
Vaudreuil-Soulanges/Vaudreuil-Soulanges,43,Vaudreuil-Dorion,11,83,116,1,11,2,7,231,499
Vaudreuil-Soulanges/Vaudreuil-Soulanges,44,Vaudreuil-Dorion,7,57,177,6,11,2,2,262,444
Vaudreuil-Soulanges/Vaudreuil-Soulanges,45A,Vaudreuil-Dorion,3,38,79,8,10,3,1,142,264
Vaudreuil-Soulanges/Vaudreuil-Soulanges,45B,Vaudreuil-Dorion,6,39,69,4,5,3,0,126,252
Vaudreuil-Soulanges/Vaudreuil-Soulanges,46,Vaudreuil-Dorion,3,35,120,6,5,4,3,176,377
Vaudreuil-Soulanges/Vaudreuil-Soulanges,47,Vaudreuil-Dorion,5,60,104,7,22,1,2,201,348
Vaudreuil-Soulanges/Vaudreuil-Soulanges,48A,Vaudreuil-Dorion,9,49,102,8,6,1,0,175,322
Vaudreuil-Soulanges/Vaudreuil-Soulanges,48B,Vaudreuil-Dorion,2,49,112,10,13,1,3,190,349
Vaudreuil-Soulanges/Vaudreuil-Soulanges,49A,Vaudreuil-Dorion,1,29,54,1,4,1,0,90,250
Vaudreuil-Soulanges/Vaudreuil-Soulanges,49B,Vaudreuil-Dorion,3,26,50,5,5,2,3,94,266
Vaudreuil-Soulanges/Vaudreuil-Soulanges,50,Vaudreuil-Dorion,5,78,88,4,12,1,6,194,352
Vaudreuil-Soulanges/Vaudreuil-Soulanges,51,Vaudreuil-Dorion,6,70,115,6,8,4,7,216,355
Vaudreuil-Soulanges/Vaudreuil-Soulanges,52,Vaudreuil-Dorion,15,53,103,6,6,1,8,192,299
Vaudreuil-Soulanges/Vaudreuil-Soulanges,53,Vaudreuil-Dorion,6,58,111,6,14,1,1,197,324
Vaudreuil-Soulanges/Vaudreuil-Soulanges,54,Vaudreuil-Dorion,6,72,86,7,15,5,5,196,365
Vaudreuil-Soulanges/Vaudreuil-Soulanges,55,Vaudreuil-Dorion,4,59,118,9,15,3,2,210,378
Vaudreuil-Soulanges/Vaudreuil-Soulanges,56,Vaudreuil-Dorion,8,103,98,9,13,3,9,243,395
Vaudreuil-Soulanges/Vaudreuil-Soulanges,57,Vaudreuil-Dorion,6,66,140,6,9,2,8,237,388
Vaudreuil-Soulanges/Vaudreuil-Soulanges,58A,Vaudreuil-Dorion,5,38,65,4,8,3,0,123,237
Vaudreuil-Soulanges/Vaudreuil-Soulanges,58B,Vaudreuil-Dorion,5,45,89,3,17,2,2,163,307
Vaudreuil-Soulanges/Vaudreuil-Soulanges,59,Vaudreuil-Dorion,6,82,118,9,25,1,2,243,435
Vaudreuil-Soulanges/Vaudreuil-Soulanges,60,Vaudreuil-Dorion,9,110,178,15,14,4,10,340,482
Vaudreuil-Soulanges/Vaudreuil-Soulanges,61,Vaudreuil-Dorion,8,73,159,5,18,2,7,272,415
Vaudreuil-Soulanges/Vaudreuil-Soulanges,62,Vaudreuil-Dorion,9,70,141,11,15,5,4,255,371
Vaudreuil-Soulanges/Vaudreuil-Soulanges,63,Vaudreuil-Dorion,12,101,116,7,14,3,4,257,431
Vaudreuil-Soulanges/Vaudreuil-Soulanges,64,Terrasse-Vaudreuil,14,93,87,7,19,5,3,228,335
Vaudreuil-Soulanges/Vaudreuil-Soulanges,65,Terrasse-Vaudreuil,21,101,91,11,13,1,8,246,392
Vaudreuil-Soulanges/Vaudreuil-Soulanges,66,Terrasse-Vaudreuil,15,73,100,8,14,2,6,218,334
Vaudreuil-Soulanges/Vaudreuil-Soulanges,67A,Terrasse-Vaudreuil,6,32,71,2,22,3,0,136,238
Vaudreuil-Soulanges/Vaudreuil-Soulanges,67B,Terrasse-Vaudreuil,11,51,71,5,15,3,8,164,276
Vaudreuil-Soulanges/Vaudreuil-Soulanges,68,Pincourt,19,134,87,20,29,6,3,298,466
Vaudreuil-Soulanges/Vaudreuil-Soulanges,69,Pincourt,7,129,82,10,23,0,2,253,373
Vaudreuil-Soulanges/Vaudreuil-Soulanges,70,Pincourt,13,120,58,10,26,3,4,234,353
Vaudreuil-Soulanges/Vaudreuil-Soulanges,71,Pincourt,10,129,61,11,34,3,3,251,384
Vaudreuil-Soulanges/Vaudreuil-Soulanges,72,Pincourt,10,85,91,10,15,0,4,215,387
Vaudreuil-Soulanges/Vaudreuil-Soulanges,73,Pincourt,5,111,95,10,6,2,6,235,441
Vaudreuil-Soulanges/Vaudreuil-Soulanges,74,Pincourt,10,94,78,13,18,1,3,217,304
Vaudreuil-Soulanges/Vaudreuil-Soulanges,75,Pincourt,9,129,63,15,24,6,2,248,363
Vaudreuil-Soulanges/Vaudreuil-Soulanges,76,Pincourt,15,180,88,8,26,7,1,325,515
Vaudreuil-Soulanges/Vaudreuil-Soulanges,77,Pincourt,2,120,39,14,15,3,5,198,376
Vaudreuil-Soulanges/Vaudreuil-Soulanges,78,Pincourt,14,102,80,13,15,3,7,234,382
Vaudreuil-Soulanges/Vaudreuil-Soulanges,79,Pincourt,7,114,37,14,32,1,0,205,352
Vaudreuil-Soulanges/Vaudreuil-Soulanges,80,Pincourt,12,116,70,10,30,5,3,246,410
Vaudreuil-Soulanges/Vaudreuil-Soulanges,81,Pincourt,14,84,74,12,27,2,2,215,386
Vaudreuil-Soulanges/Vaudreuil-Soulanges,82,Pincourt,3,82,86,10,16,1,9,207,390
Vaudreuil-Soulanges/Vaudreuil-Soulanges,83,Pincourt,5,59,71,6,10,5,5,161,296
Vaudreuil-Soulanges/Vaudreuil-Soulanges,84,Pincourt,7,88,106,13,16,5,5,240,387
Vaudreuil-Soulanges/Vaudreuil-Soulanges,85,Pincourt,4,68,84,9,15,2,0,182,351
Vaudreuil-Soulanges/Vaudreuil-Soulanges,86A,Pincourt,5,38,54,4,13,2,0,116,246
Vaudreuil-Soulanges/Vaudreuil-Soulanges,86B,Pincourt,3,45,61,7,11,0,2,129,261
Vaudreuil-Soulanges/Vaudreuil-Soulanges,87,Pincourt,21,112,99,15,20,8,4,279,517
Vaudreuil-Soulanges/Vaudreuil-Soulanges,88,L'Île-Perrot,8,55,89,5,4,0,4,165,347
Vaudreuil-Soulanges/Vaudreuil-Soulanges,89,L'Île-Perrot,10,66,70,12,8,4,7,177,340
Vaudreuil-Soulanges/Vaudreuil-Soulanges,90,L'Île-Perrot,7,55,90,8,10,2,5,177,345
Vaudreuil-Soulanges/Vaudreuil-Soulanges,91,L'Île-Perrot,8,55,102,7,10,1,8,191,378
Vaudreuil-Soulanges/Vaudreuil-Soulanges,92,L'Île-Perrot,16,87,142,7,20,0,4,276,470
Vaudreuil-Soulanges/Vaudreuil-Soulanges,93,L'Île-Perrot,6,78,123,9,13,4,3,236,438
Vaudreuil-Soulanges/Vaudreuil-Soulanges,94,L'Île-Perrot,12,91,157,17,18,8,9,312,485
Vaudreuil-Soulanges/Vaudreuil-Soulanges,95,L'Île-Perrot,17,71,113,12,10,3,0,226,356
Vaudreuil-Soulanges/Vaudreuil-Soulanges,96,L'Île-Perrot,11,108,125,13,16,1,1,275,443
Vaudreuil-Soulanges/Vaudreuil-Soulanges,97A,L'Île-Perrot,1,49,81,5,12,2,4,154,246
Vaudreuil-Soulanges/Vaudreuil-Soulanges,97B,L'Île-Perrot,9,63,72,6,12,0,6,168,271
Vaudreuil-Soulanges/Vaudreuil-Soulanges,98,L'Île-Perrot,12,77,113,10,8,2,3,225,418
Vaudreuil-Soulanges/Vaudreuil-Soulanges,99,L'Île-Perrot,6,69,135,12,20,4,7,253,428
Vaudreuil-Soulanges/Vaudreuil-Soulanges,100A,L'Île-Perrot,5,69,60,4,9,1,8,156,283
Vaudreuil-Soulanges/Vaudreuil-Soulanges,100B,L'Île-Perrot,6,68,91,2,8,1,5,181,328
Vaudreuil-Soulanges/Vaudreuil-Soulanges,101,L'Île-Perrot,7,80,107,8,11,1,8,222,366
Vaudreuil-Soulanges/Vaudreuil-Soulanges,102,L'Île-Perrot,9,88,110,9,16,6,11,249,423
Vaudreuil-Soulanges/Vaudreuil-Soulanges,103,L'Île-Perrot,4,59,101,5,11,2,3,185,373
Vaudreuil-Soulanges/Vaudreuil-Soulanges,104,L'Île-Perrot,5,71,82,10,17,3,6,194,338
Vaudreuil-Soulanges/Vaudreuil-Soulanges,105,L'Île-Perrot,9,68,75,3,16,1,3,175,301
Vaudreuil-Soulanges/Vaudreuil-Soulanges,106A,Notre-Dame-de-l'Île-Perrot,4,49,63,6,5,1,1,129,252
Vaudreuil-Soulanges/Vaudreuil-Soulanges,106B,Notre-Dame-de-l'Île-Perrot,12,59,71,9,9,0,1,161,289
Vaudreuil-Soulanges/Vaudreuil-Soulanges,107,Notre-Dame-de-l'Île-Perrot,9,53,52,5,15,1,0,135,227
Vaudreuil-Soulanges/Vaudreuil-Soulanges,108,Notre-Dame-de-l'Île-Perrot,3,76,69,0,12,1,1,162,267
Vaudreuil-Soulanges/Vaudreuil-Soulanges,109A,Notre-Dame-de-l'Île-Perrot,7,70,90,12,11,0,2,192,281
Vaudreuil-Soulanges/Vaudreuil-Soulanges,109B,Notre-Dame-de-l'Île-Perrot,5,67,98,9,14,0,3,196,308
Vaudreuil-Soulanges/Vaudreuil-Soulanges,110A,Notre-Dame-de-l'Île-Perrot,7,94,142,5,29,1,4,282,405
Vaudreuil-Soulanges/Vaudreuil-Soulanges,110B,Notre-Dame-de-l'Île-Perrot,14,102,124,15,24,1,6,286,426
Vaudreuil-Soulanges/Vaudreuil-Soulanges,111,Notre-Dame-de-l'Île-Perrot,3,71,103,13,19,2,3,214,329
Vaudreuil-Soulanges/Vaudreuil-Soulanges,112,Notre-Dame-de-l'Île-Perrot,17,100,81,13,23,2,0,236,379
Vaudreuil-Soulanges/Vaudreuil-Soulanges,113,Notre-Dame-de-l'Île-Perrot,14,101,73,14,20,4,13,239,412
Vaudreuil-Soulanges/Vaudreuil-Soulanges,114,Notre-Dame-de-l'Île-Perrot,15,102,122,14,17,7,3,280,428
Vaudreuil-Soulanges/Vaudreuil-Soulanges,115,Notre-Dame-de-l'Île-Perrot,11,84,103,9,16,3,4,230,378
Vaudreuil-Soulanges/Vaudreuil-Soulanges,116,Notre-Dame-de-l'Île-Perrot,8,161,121,12,18,4,2,326,523
Vaudreuil-Soulanges/Vaudreuil-Soulanges,117,Notre-Dame-de-l'Île-Perrot,9,103,139,8,18,0,2,279,466
Vaudreuil-Soulanges/Vaudreuil-Soulanges,118,Notre-Dame-de-l'Île-Perrot,11,84,131,16,16,5,5,268,435
Vaudreuil-Soulanges/Vaudreuil-Soulanges,119,Notre-Dame-de-l'Île-Perrot,18,105,116,14,14,3,8,278,480
Vaudreuil-Soulanges/Vaudreuil-Soulanges,120A,Notre-Dame-de-l'Île-Perrot,6,83,89,7,9,2,1,197,304
Vaudreuil-Soulanges/Vaudreuil-Soulanges,120B,Notre-Dame-de-l'Île-Perrot,7,88,86,3,17,0,2,203,312
Vaudreuil-Soulanges/Vaudreuil-Soulanges,121,Les Cèdres,11,62,131,4,28,2,2,240,443
Vaudreuil-Soulanges/Vaudreuil-Soulanges,122,Les Cèdres,15,75,139,11,20,3,4,267,465
Vaudreuil-Soulanges/Vaudreuil-Soulanges,123A,Les Cèdres,13,37,94,4,13,2,2,165,254
Vaudreuil-Soulanges/Vaudreuil-Soulanges,123B,Les Cèdres,6,51,102,5,12,2,5,183,312
Vaudreuil-Soulanges/Vaudreuil-Soulanges,124A,Les Cèdres,14,35,106,4,8,1,5,173,266
Vaudreuil-Soulanges/Vaudreuil-Soulanges,124B,Les Cèdres,5,43,118,10,9,3,3,191,296
Vaudreuil-Soulanges/Vaudreuil-Soulanges,125,Les Cèdres,14,44,149,9,16,4,4,240,464
Vaudreuil-Soulanges/Vaudreuil-Soulanges,126,Pointe-des-Cascades,4,86,190,9,21,4,9,323,514
Vaudreuil-Soulanges/Vaudreuil-Soulanges,127,Pointe-des-Cascades,11,39,100,4,9,1,5,169,251
Vaudreuil-Soulanges/Vaudreuil-Soulanges,128,Les Cèdres,Void,,,,,,,,
Vaudreuil-Soulanges/Vaudreuil-Soulanges,129,Les Cèdres,10,54,143,5,20,3,8,243,398
Vaudreuil-Soulanges/Vaudreuil-Soulanges,130,Les Cèdres,13,76,211,10,17,3,6,336,496
Vaudreuil-Soulanges/Vaudreuil-Soulanges,131A,Les Cèdres,5,63,122,7,11,3,2,213,336
Vaudreuil-Soulanges/Vaudreuil-Soulanges,131B,Les Cèdres,7,72,131,3,9,4,2,228,371
Vaudreuil-Soulanges/Vaudreuil-Soulanges,132A,Saint-Lazare,7,80,42,5,15,1,1,151,258
Vaudreuil-Soulanges/Vaudreuil-Soulanges,132B,Saint-Lazare,11,96,31,8,32,0,4,182,289
Vaudreuil-Soulanges/Vaudreuil-Soulanges,133,Saint-Lazare,7,95,20,4,14,4,0,144,240
Vaudreuil-Soulanges/Vaudreuil-Soulanges,134,Saint-Lazare,3,194,12,10,26,2,0,247,397
Vaudreuil-Soulanges/Vaudreuil-Soulanges,135,Saint-Lazare,12,182,39,8,53,2,3,299,475
Vaudreuil-Soulanges/Vaudreuil-Soulanges,136,Saint-Lazare,6,70,85,10,15,2,0,188,303
Vaudreuil-Soulanges/Vaudreuil-Soulanges,137,Saint-Lazare,13,114,140,13,18,1,4,303,493
Vaudreuil-Soulanges/Vaudreuil-Soulanges,138,Saint-Lazare,1,51,81,6,9,3,3,154,258
Vaudreuil-Soulanges/Vaudreuil-Soulanges,139,Saint-Lazare,24,93,189,14,16,4,9,349,504
Vaudreuil-Soulanges/Vaudreuil-Soulanges,140,Saint-Lazare,9,102,138,16,30,6,5,306,489
Vaudreuil-Soulanges/Vaudreuil-Soulanges,141,Saint-Lazare,8,105,64,7,37,5,8,234,380
Vaudreuil-Soulanges/Vaudreuil-Soulanges,142A,Saint-Lazare,6,89,58,3,29,1,1,187,302
Vaudreuil-Soulanges/Vaudreuil-Soulanges,142B,Saint-Lazare,8,120,44,2,28,1,0,203,309
Vaudreuil-Soulanges/Vaudreuil-Soulanges,143,Saint-Lazare,6,126,11,3,29,0,1,176,306
Vaudreuil-Soulanges/Vaudreuil-Soulanges,144,Saint-Lazare,7,195,19,11,37,4,1,274,424
Vaudreuil-Soulanges/Vaudreuil-Soulanges,145,Saint-Lazare,9,196,20,14,57,5,1,302,489
Vaudreuil-Soulanges/Vaudreuil-Soulanges,146A,Saint-Lazare,5,114,37,6,12,1,1,176,296
Vaudreuil-Soulanges/Vaudreuil-Soulanges,146B,Saint-Lazare,6,98,32,8,19,2,1,166,291
Vaudreuil-Soulanges/Vaudreuil-Soulanges,147,Saint-Lazare,4,143,57,7,45,2,1,259,409
Vaudreuil-Soulanges/Vaudreuil-Soulanges,148A,Saint-Lazare,8,70,44,8,19,4,0,153,241
Vaudreuil-Soulanges/Vaudreuil-Soulanges,148B,Saint-Lazare,11,87,49,7,12,1,3,170,251
Vaudreuil-Soulanges/Vaudreuil-Soulanges,149,Saint-Lazare,12,104,115,10,22,1,3,267,400
Vaudreuil-Soulanges/Vaudreuil-Soulanges,150,Saint-Lazare,5,74,75,6,24,1,4,189,303
Vaudreuil-Soulanges/Vaudreuil-Soulanges,151,Saint-Lazare,6,74,101,6,18,0,3,208,320
Vaudreuil-Soulanges/Vaudreuil-Soulanges,152,Saint-Lazare,7,56,110,4,17,2,6,202,352
Vaudreuil-Soulanges/Vaudreuil-Soulanges,153A,Saint-Lazare,6,71,74,14,16,0,2,183,296
Vaudreuil-Soulanges/Vaudreuil-Soulanges,153B,Saint-Lazare,14,71,85,5,24,1,6,206,321
Vaudreuil-Soulanges/Vaudreuil-Soulanges,154,Saint-Lazare,13,91,100,12,24,3,1,244,406
Vaudreuil-Soulanges/Vaudreuil-Soulanges,155,Saint-Lazare,11,121,60,8,18,1,6,225,382
Vaudreuil-Soulanges/Vaudreuil-Soulanges,156A,Saint-Lazare,10,94,62,7,20,3,0,196,322
Vaudreuil-Soulanges/Vaudreuil-Soulanges,156B,Saint-Lazare,12,81,60,11,24,4,3,195,328
Vaudreuil-Soulanges/Vaudreuil-Soulanges,157A,Saint-Clet,8,48,86,4,12,4,5,167,253
Vaudreuil-Soulanges/Vaudreuil-Soulanges,157B,Saint-Clet,6,64,108,4,11,0,5,198,291
Vaudreuil-Soulanges/Vaudreuil-Soulanges,158,Saint-Clet,8,102,141,5,19,5,5,285,382
Vaudreuil-Soulanges/Vaudreuil-Soulanges,159,Saint-Clet,4,30,118,5,9,5,2,173,288
Vaudreuil-Soulanges/Vaudreuil-Soulanges,160,Coteau-du-Lac,0,27,53,4,5,1,2,92,174
Vaudreuil-Soulanges/Vaudreuil-Soulanges,161A,Coteau-du-Lac,3,51,78,5,9,0,3,149,252
Vaudreuil-Soulanges/Vaudreuil-Soulanges,161B,Coteau-du-Lac,6,59,122,6,13,4,4,214,351
Vaudreuil-Soulanges/Vaudreuil-Soulanges,162,Coteau-du-Lac,9,36,69,1,7,3,3,128,178
Vaudreuil-Soulanges/Vaudreuil-Soulanges,163,Coteau-du-Lac,1,24,51,5,6,0,2,89,112
Vaudreuil-Soulanges/Vaudreuil-Soulanges,164A,Coteau-du-Lac,5,50,106,5,9,2,3,180,246
Vaudreuil-Soulanges/Vaudreuil-Soulanges,164B,Coteau-du-Lac,10,55,120,5,8,1,0,199,305
Vaudreuil-Soulanges/Vaudreuil-Soulanges,165,Coteau-du-Lac,6,63,94,2,8,1,6,180,319
Vaudreuil-Soulanges/Vaudreuil-Soulanges,166,Coteau-du-Lac,6,61,154,12,6,6,6,251,408
Vaudreuil-Soulanges/Vaudreuil-Soulanges,167,Coteau-du-Lac,6,69,137,8,15,3,6,244,382
Vaudreuil-Soulanges/Vaudreuil-Soulanges,168A,Coteau-du-Lac,4,52,98,2,8,1,5,170,252
Vaudreuil-Soulanges/Vaudreuil-Soulanges,168B,Coteau-du-Lac,4,52,117,1,11,0,6,191,271
Vaudreuil-Soulanges/Vaudreuil-Soulanges,169,Coteau-du-Lac,7,48,165,4,8,0,4,236,442
Vaudreuil-Soulanges/Vaudreuil-Soulanges,170,Les Coteaux,4,60,133,8,5,1,2,213,414
Vaudreuil-Soulanges/Vaudreuil-Soulanges,171,Coteau-du-Lac,10,102,167,3,22,0,3,307,469
Vaudreuil-Soulanges/Vaudreuil-Soulanges,172A,Les Coteaux,5,45,86,2,9,0,3,150,230
Vaudreuil-Soulanges/Vaudreuil-Soulanges,172B,Les Coteaux,5,47,134,5,12,1,7,211,344
Vaudreuil-Soulanges/Vaudreuil-Soulanges,173A,Les Coteaux,4,62,97,5,14,2,2,186,288
Vaudreuil-Soulanges/Vaudreuil-Soulanges,173B,Les Coteaux,1,56,111,6,18,1,3,196,321
Vaudreuil-Soulanges/Vaudreuil-Soulanges,174A,Les Coteaux,5,43,109,1,3,2,7,170,292
Vaudreuil-Soulanges/Vaudreuil-Soulanges,174B,Les Coteaux,2,37,102,3,5,3,7,159,303
Vaudreuil-Soulanges/Vaudreuil-Soulanges,175A,Les Coteaux,1,41,83,5,4,3,0,137,237
Vaudreuil-Soulanges/Vaudreuil-Soulanges,175B,Les Coteaux,1,48,112,7,3,2,4,177,289
Vaudreuil-Soulanges/Vaudreuil-Soulanges,176,Les Coteaux,1,37,97,6,10,2,9,162,307
Vaudreuil-Soulanges/Vaudreuil-Soulanges,177,Très-Saint-Rédempteur,13,84,153,11,9,5,5,280,479
Vaudreuil-Soulanges/Vaudreuil-Soulanges,178,Sainte-Marthe,9,43,29,3,15,2,9,110,160
Vaudreuil-Soulanges/Vaudreuil-Soulanges,179A,Sainte-Marthe,5,96,86,9,18,5,2,221,353
Vaudreuil-Soulanges/Vaudreuil-Soulanges,179B,Sainte-Marthe,7,86,94,8,11,1,3,210,328
Vaudreuil-Soulanges/Vaudreuil-Soulanges,180,Sainte-Justine-de-Newton,10,54,102,8,11,1,4,190,353
Vaudreuil-Soulanges/Vaudreuil-Soulanges,181,Sainte-Justine-de-Newton,17,50,91,10,19,3,9,199,363
Vaudreuil-Soulanges/Vaudreuil-Soulanges,182,Saint-Télesphore,2,51,63,5,13,5,2,141,260
Vaudreuil-Soulanges/Vaudreuil-Soulanges,183,Saint-Polycarpe,4,66,162,5,8,5,3,253,400
Vaudreuil-Soulanges/Vaudreuil-Soulanges,184,Saint-Polycarpe,9,71,146,12,9,6,6,259,421
Vaudreuil-Soulanges/Vaudreuil-Soulanges,185,Saint-Polycarpe,5,65,114,10,8,5,5,212,333
Vaudreuil-Soulanges/Vaudreuil-Soulanges,186,Saint-Télesphore,6,76,129,11,10,1,4,237,397
Vaudreuil-Soulanges/Vaudreuil-Soulanges,187,Rivière-Beaudette,9,70,92,12,14,4,5,206,364
Vaudreuil-Soulanges/Vaudreuil-Soulanges,188,Rivière-Beaudette,7,68,121,12,21,3,6,238,400
Vaudreuil-Soulanges/Vaudreuil-Soulanges,189,Saint-Zotique,6,68,153,5,26,3,4,265,468
Vaudreuil-Soulanges/Vaudreuil-Soulanges,190,Saint-Zotique,9,76,163,6,15,1,5,275,419
Vaudreuil-Soulanges/Vaudreuil-Soulanges,191,Saint-Zotique,6,91,177,6,23,5,11,319,572
Vaudreuil-Soulanges/Vaudreuil-Soulanges,192,Saint-Zotique,11,59,128,3,8,3,8,220,376
Vaudreuil-Soulanges/Vaudreuil-Soulanges,193,Saint-Zotique,3,58,120,9,14,1,6,211,409
Vaudreuil-Soulanges/Vaudreuil-Soulanges,194,Saint-Zotique,5,103,163,8,18,4,2,303,530
Vaudreuil-Soulanges/Vaudreuil-Soulanges,195A,Saint-Zotique,1,30,73,2,10,0,2,118,216
