District,Poll Number,Poll Name,Conrad A. Bitangcol,Mike Melymick,Moe Saeed,John Williams,Rejected Ballots,Total Vote,Electors
Edmonton--St. Albert/Edmonton--St. Albert,43,St. Albert,14,25,30,135,2,206,351
Edmonton--St. Albert/Edmonton--St. Albert,44,St. Albert,27,16,36,105,0,184,335
Edmonton--St. Albert/Edmonton--St. Albert,45,St. Albert,14,31,78,194,2,319,495
Edmonton--St. Albert/Edmonton--St. Albert,46,St. Albert,10,22,80,235,0,347,548
Edmonton--St. Albert/Edmonton--St. Albert,46-1,St. Albert,17,27,59,190,0,293,534
Edmonton--St. Albert/Edmonton--St. Albert,47,St. Albert,19,15,28,115,0,177,299
Edmonton--St. Albert/Edmonton--St. Albert,48,St. Albert,22,38,34,110,1,205,357
Edmonton--St. Albert/Edmonton--St. Albert,49,St. Albert,22,34,38,119,0,213,332
Edmonton--St. Albert/Edmonton--St. Albert,50,St. Albert,25,35,52,143,0,255,424
Edmonton--St. Albert/Edmonton--St. Albert,51,St. Albert,24,31,56,141,0,252,384
Edmonton--St. Albert/Edmonton--St. Albert,52,St. Albert,30,38,75,167,0,310,471
Edmonton--St. Albert/Edmonton--St. Albert,53,St. Albert,27,23,101,162,1,314,443
Edmonton--St. Albert/Edmonton--St. Albert,54,St. Albert,18,28,82,151,0,279,459
Edmonton--St. Albert/Edmonton--St. Albert,55,St. Albert,16,18,41,113,1,189,315
Edmonton--St. Albert/Edmonton--St. Albert,56,St. Albert,29,32,60,132,0,253,404
Edmonton--St. Albert/Edmonton--St. Albert,57,St. Albert,23,14,41,128,0,206,314
Edmonton--St. Albert/Edmonton--St. Albert,58,St. Albert,37,40,35,147,0,259,490
Edmonton--St. Albert/Edmonton--St. Albert,59,St. Albert,18,20,34,114,0,186,352
Edmonton--St. Albert/Edmonton--St. Albert,60,St. Albert,25,25,43,144,0,237,361
Edmonton--St. Albert/Edmonton--St. Albert,61,St. Albert,23,30,67,157,1,278,482
Edmonton--St. Albert/Edmonton--St. Albert,62,St. Albert,7,11,33,63,1,115,195
Edmonton--St. Albert/Edmonton--St. Albert,63,St. Albert,25,16,41,140,0,222,361
Edmonton--St. Albert/Edmonton--St. Albert,64,St. Albert,32,27,33,116,0,208,447
Edmonton--St. Albert/Edmonton--St. Albert,65,St. Albert,12,33,45,139,1,230,370
Edmonton--St. Albert/Edmonton--St. Albert,66,St. Albert,16,26,37,163,2,244,411
Edmonton--St. Albert/Edmonton--St. Albert,67,St. Albert,17,26,52,172,0,267,434
Edmonton--St. Albert/Edmonton--St. Albert,68,St. Albert,8,21,38,105,0,172,332
Edmonton--St. Albert/Edmonton--St. Albert,69,St. Albert,11,24,39,96,0,170,400
Edmonton--St. Albert/Edmonton--St. Albert,70,St. Albert,8,20,28,114,2,172,334
Edmonton--St. Albert/Edmonton--St. Albert,71,St. Albert,18,26,56,157,0,257,493
Edmonton--St. Albert/Edmonton--St. Albert,72,St. Albert,10,9,47,98,0,164,291
Edmonton--St. Albert/Edmonton--St. Albert,73,St. Albert,14,17,39,110,0,180,322
Edmonton--St. Albert/Edmonton--St. Albert,74,St. Albert,12,12,31,148,0,203,325
Edmonton--St. Albert/Edmonton--St. Albert,75,St. Albert,10,21,31,132,3,197,353
Edmonton--St. Albert/Edmonton--St. Albert,76,St. Albert,9,21,24,108,0,162,288
Edmonton--St. Albert/Edmonton--St. Albert,77,St. Albert,9,20,23,126,0,178,360
Edmonton--St. Albert/Edmonton--St. Albert,78,St. Albert,9,14,47,152,0,222,359
Edmonton--St. Albert/Edmonton--St. Albert,79,St. Albert,19,19,52,121,0,211,367
Edmonton--St. Albert/Edmonton--St. Albert,80,St. Albert,16,13,49,160,0,238,389
Edmonton--St. Albert/Edmonton--St. Albert,81,St. Albert,11,23,33,80,0,147,238
Edmonton--St. Albert/Edmonton--St. Albert,82,St. Albert,13,19,35,84,0,151,256
Edmonton--St. Albert/Edmonton--St. Albert,83,St. Albert,28,26,39,126,0,219,342
Edmonton--St. Albert/Edmonton--St. Albert,84,St. Albert,16,25,59,163,0,263,437
Edmonton--St. Albert/Edmonton--St. Albert,85,St. Albert,11,8,63,115,1,198,303
Edmonton--St. Albert/Edmonton--St. Albert,86,St. Albert,6,9,41,123,0,179,256
Edmonton--St. Albert/Edmonton--St. Albert,87,St. Albert,11,20,32,96,0,159,238
Edmonton--St. Albert/Edmonton--St. Albert,88,St. Albert,10,16,18,66,1,111,206
Edmonton--St. Albert/Edmonton--St. Albert,89,St. Albert,11,17,26,114,0,168,329
Edmonton--St. Albert/Edmonton--St. Albert,90,St. Albert,4,14,34,107,0,159,250
Edmonton--St. Albert/Edmonton--St. Albert,91,St. Albert,30,28,43,107,1,209,342
Edmonton--St. Albert/Edmonton--St. Albert,92,St. Albert,20,30,58,132,0,240,418
Edmonton--St. Albert/Edmonton--St. Albert,93,St. Albert,12,8,49,133,0,202,314
Edmonton--St. Albert/Edmonton--St. Albert,94,St. Albert,8,21,29,113,0,171,286
Edmonton--St. Albert/Edmonton--St. Albert,95,St. Albert,8,20,35,72,0,135,250
Edmonton--St. Albert/Edmonton--St. Albert,96,St. Albert,30,24,57,197,0,308,506
Edmonton--St. Albert/Edmonton--St. Albert,97,St. Albert,13,35,32,140,0,220,370
Edmonton--St. Albert/Edmonton--St. Albert,98,St. Albert,18,22,49,170,0,259,456
Edmonton--St. Albert/Edmonton--St. Albert,99,St. Albert,13,19,47,139,2,220,369
Edmonton--St. Albert/Edmonton--St. Albert,100,St. Albert,11,9,11,47,2,80,225
Edmonton--St. Albert/Edmonton--St. Albert,101,St. Albert,25,26,36,150,1,238,372
Edmonton--St. Albert/Edmonton--St. Albert,102,St. Albert,32,21,49,132,1,235,384
Edmonton--St. Albert/Edmonton--St. Albert,103,St. Albert,7,23,38,117,0,185,321
Edmonton--St. Albert/Edmonton--St. Albert,104,St. Albert,28,45,58,187,1,319,504
Edmonton--St. Albert/Edmonton--St. Albert,105,Edmonton,7,6,17,86,0,116,263
Edmonton--St. Albert/Edmonton--St. Albert,106,Edmonton,17,36,34,88,1,176,428
Edmonton--St. Albert/Edmonton--St. Albert,107,Edmonton,Void,,,,,,
Edmonton--St. Albert/Edmonton--St. Albert,108,Edmonton,10,41,45,113,1,210,377
Edmonton--St. Albert/Edmonton--St. Albert,109,Edmonton,14,40,52,116,0,222,352
Edmonton--St. Albert/Edmonton--St. Albert,110,Edmonton,11,29,34,126,0,200,355
Edmonton--St. Albert/Edmonton--St. Albert,111,Edmonton,10,25,34,131,0,200,362
Edmonton--St. Albert/Edmonton--St. Albert,112,Edmonton,20,37,51,117,1,226,399
Edmonton--St. Albert/Edmonton--St. Albert,113,Edmonton,17,38,52,147,1,255,522
Edmonton--St. Albert/Edmonton--St. Albert,114,Edmonton,10,26,47,113,1,197,348
Edmonton--St. Albert/Edmonton--St. Albert,115,Edmonton,10,16,21,40,1,88,285
Edmonton--St. Albert/Edmonton--St. Albert,116,Edmonton,14,16,77,84,2,193,366
Edmonton--St. Albert/Edmonton--St. Albert,117,Edmonton,20,26,49,100,1,196,351
Edmonton--St. Albert/Edmonton--St. Albert,118,Edmonton,20,30,66,119,0,235,449
Edmonton--St. Albert/Edmonton--St. Albert,119A,Edmonton,22,45,98,211,2,378,770
Edmonton--St. Albert/Edmonton--St. Albert,119B,Edmonton,20,35,92,183,3,333,708
Edmonton--St. Albert/Edmonton--St. Albert,120,Edmonton,12,34,60,89,0,195,470
Edmonton--St. Albert/Edmonton--St. Albert,121,Edmonton,9,18,49,79,0,155,343
Edmonton--St. Albert/Edmonton--St. Albert,122,Edmonton,18,34,75,123,0,250,457
Edmonton--St. Albert/Edmonton--St. Albert,123,Edmonton,3,28,20,47,0,98,271
Edmonton--St. Albert/Edmonton--St. Albert,124,Edmonton,9,18,32,71,1,131,386
Edmonton--St. Albert/Edmonton--St. Albert,125,Edmonton,20,22,86,160,1,289,583
Edmonton--St. Albert/Edmonton--St. Albert,126,Edmonton,5,11,30,52,0,98,353
Edmonton--St. Albert/Edmonton--St. Albert,127,Edmonton,15,21,59,98,0,193,395
Edmonton--St. Albert/Edmonton--St. Albert,128,Edmonton,20,28,82,112,0,242,524
Edmonton--St. Albert/Edmonton--St. Albert,129,Edmonton,14,18,74,133,0,239,528
Edmonton--St. Albert/Edmonton--St. Albert,130,Edmonton,14,27,49,118,1,209,498
Edmonton--St. Albert/Edmonton--St. Albert,131,Edmonton,24,25,69,133,1,252,534
Edmonton--St. Albert/Edmonton--St. Albert,132,Edmonton,4,29,39,82,0,154,347
Edmonton--St. Albert/Edmonton--St. Albert,133,Edmonton,12,24,14,54,1,105,246
Edmonton--St. Albert/Edmonton--St. Albert,134,Edmonton,12,35,67,90,0,204,403
Edmonton--St. Albert/Edmonton--St. Albert,135,Edmonton,15,47,85,117,3,267,557
Edmonton--St. Albert/Edmonton--St. Albert,136,Edmonton,6,25,75,87,0,193,362
Edmonton--St. Albert/Edmonton--St. Albert,137,Edmonton,16,28,57,120,0,221,478
Edmonton--St. Albert/Edmonton--St. Albert,138,Edmonton,22,45,86,184,0,337,717
Edmonton--St. Albert/Edmonton--St. Albert,139,Edmonton,13,29,86,142,2,272,636
Edmonton--St. Albert/Edmonton--St. Albert,140,Edmonton,11,27,66,121,1,226,456
Edmonton--St. Albert/Edmonton--St. Albert,141,Edmonton,20,56,170,265,1,512,903
Edmonton--St. Albert/Edmonton--St. Albert,142,Edmonton,8,23,63,151,0,245,491
Edmonton--St. Albert/Edmonton--St. Albert,143,Edmonton,6,19,65,117,0,207,362
Edmonton--St. Albert/Edmonton--St. Albert,144,Edmonton,6,20,83,78,0,187,322
Edmonton--St. Albert/Edmonton--St. Albert,145,Edmonton,11,28,58,138,1,236,508
Edmonton--St. Albert/Edmonton--St. Albert,146,Edmonton,16,34,50,110,0,210,424
Edmonton--St. Albert/Edmonton--St. Albert,147,Edmonton,10,33,74,153,0,270,493
Edmonton--St. Albert/Edmonton--St. Albert,148,Edmonton,7,28,64,122,0,221,432
Edmonton--St. Albert/Edmonton--St. Albert,149,Edmonton,13,22,46,82,0,163,295
Edmonton--St. Albert/Edmonton--St. Albert,150,Edmonton,13,26,46,95,0,180,360
Edmonton--St. Albert/Edmonton--St. Albert,151,Edmonton,19,37,50,102,0,208,375
Edmonton--St. Albert/Edmonton--St. Albert,152,Edmonton,9,39,57,94,2,201,428
Edmonton--St. Albert/Edmonton--St. Albert,153,Edmonton,9,22,37,84,3,155,337
Edmonton--St. Albert/Edmonton--St. Albert,154,Edmonton,3,20,49,69,3,144,300
Edmonton--St. Albert/Edmonton--St. Albert,155,Edmonton,3,18,44,59,0,124,265
Edmonton--St. Albert/Edmonton--St. Albert,156,Edmonton,8,27,50,96,0,181,355
Edmonton--St. Albert/Edmonton--St. Albert,157,Edmonton,17,8,25,37,0,87,237
Edmonton--St. Albert/Edmonton--St. Albert,158,Edmonton,9,25,70,70,0,174,398
Edmonton--St. Albert/Edmonton--St. Albert,159,Edmonton,20,43,102,136,0,301,594
Edmonton--St. Albert/Edmonton--St. Albert,160,Edmonton,13,25,73,116,0,227,460
Edmonton--St. Albert/Edmonton--St. Albert,161,Edmonton,15,23,122,102,0,262,485
Edmonton--St. Albert/Edmonton--St. Albert,162,Edmonton,6,24,76,91,0,197,408
Edmonton--St. Albert/Edmonton--St. Albert,163,Edmonton,11,28,41,83,0,163,302
Edmonton--St. Albert/Edmonton--St. Albert,164,Edmonton,8,40,106,219,2,375,723
Edmonton--St. Albert/Edmonton--St. Albert,165,Edmonton,12,21,73,111,0,217,443
Edmonton--St. Albert/Edmonton--St. Albert,166,Edmonton,6,13,42,52,0,113,367
Edmonton--St. Albert/Edmonton--St. Albert,167,Edmonton,26,35,87,109,1,258,579
Edmonton--St. Albert/Edmonton--St. Albert,168,Edmonton,5,20,94,69,0,188,350
Edmonton--St. Albert/Edmonton--St. Albert,169,Edmonton,7,19,74,107,0,207,379
Edmonton--St. Albert/Edmonton--St. Albert,170,Edmonton,6,44,39,100,0,189,436
Edmonton--St. Albert/Edmonton--St. Albert,171,Edmonton,9,19,77,98,0,203,413
Edmonton--St. Albert/Edmonton--St. Albert,172,Edmonton,23,54,79,156,1,313,608
Edmonton--St. Albert/Edmonton--St. Albert,173,Edmonton,16,15,63,80,1,175,367
Edmonton--St. Albert/Edmonton--St. Albert,174,Edmonton,6,29,74,99,0,208,360
Edmonton--St. Albert/Edmonton--St. Albert,175,Edmonton,8,21,37,99,1,166,484
Edmonton--St. Albert/Edmonton--St. Albert,176,Edmonton,15,19,57,111,0,202,386
Edmonton--St. Albert/Edmonton--St. Albert,177,Edmonton,7,27,45,66,0,145,314
Edmonton--St. Albert/Edmonton--St. Albert,178,Edmonton,11,26,63,107,0,207,378
Edmonton--St. Albert/Edmonton--St. Albert,179,Edmonton,10,46,63,93,1,213,497
Edmonton--St. Albert/Edmonton--St. Albert,180,Edmonton,19,21,90,62,0,192,363
Edmonton--St. Albert/Edmonton--St. Albert,181,Edmonton,9,18,55,68,0,150,349
Edmonton--St. Albert/Edmonton--St. Albert,182,Edmonton,9,18,54,96,1,178,351
Edmonton--St. Albert/Edmonton--St. Albert,183,Edmonton,6,17,16,34,0,73,322
Edmonton--St. Albert/Edmonton--St. Albert,184,Edmonton,5,9,22,55,1,92,153
Edmonton--St. Albert/Edmonton--St. Albert,185,Edmonton,9,41,49,163,1,263,458
Edmonton--St. Albert/Edmonton--St. Albert,186,Edmonton,9,33,43,102,0,187,373
Edmonton--St. Albert/Edmonton--St. Albert,187,Edmonton,6,14,46,119,1,186,308
Edmonton--St. Albert/Edmonton--St. Albert,188,Edmonton,17,29,48,113,0,207,378
Edmonton--St. Albert/Edmonton--St. Albert,189,Edmonton,9,29,36,110,1,185,317
Edmonton--St. Albert/Edmonton--St. Albert,190,Edmonton,6,17,25,72,0,120,243
Edmonton--St. Albert/Edmonton--St. Albert,191,Edmonton,7,27,35,51,1,121,303
Edmonton--St. Albert/Edmonton--St. Albert,192,Edmonton,16,36,108,232,6,398,553
Edmonton--St. Albert/Edmonton--St. Albert,193,Edmonton,13,18,21,61,1,114,210
Edmonton--St. Albert/Edmonton--St. Albert,194,Edmonton,15,39,49,120,1,224,419
Edmonton--St. Albert/Edmonton--St. Albert,195,Edmonton,16,34,61,93,1,205,410
Edmonton--St. Albert/Edmonton--St. Albert,196,Edmonton,9,11,26,56,1,103,225
Edmonton--St. Albert/Edmonton--St. Albert,197,Edmonton,6,32,30,71,0,139,264
Edmonton--St. Albert/Edmonton--St. Albert,198,Edmonton,10,20,59,65,0,154,378
Edmonton--St. Albert/Edmonton--St. Albert,199,Edmonton,14,41,51,86,1,193,373
Edmonton--St. Albert/Edmonton--St. Albert,200,Edmonton,4,14,30,63,0,111,226
Edmonton--St. Albert/Edmonton--St. Albert,201,Edmonton,8,17,28,46,1,100,215
Edmonton--St. Albert/Edmonton--St. Albert,202,Edmonton,9,37,38,112,0,196,440
Edmonton--St. Albert/Edmonton--St. Albert,203,Edmonton,10,33,36,69,0,148,400
Edmonton--St. Albert/Edmonton--St. Albert,204,Edmonton,16,40,40,71,0,167,403
Edmonton--St. Albert/Edmonton--St. Albert,205,Edmonton,12,38,45,96,0,191,420
Edmonton--St. Albert/Edmonton--St. Albert,206,Edmonton,6,31,75,84,0,196,413
Edmonton--St. Albert/Edmonton--St. Albert,207,Edmonton,10,24,42,113,0,189,357
Edmonton--St. Albert/Edmonton--St. Albert,208,Edmonton,10,28,35,104,0,177,376
Edmonton--St. Albert/Edmonton--St. Albert,209,Edmonton,6,26,21,67,1,121,365
Edmonton--St. Albert/Edmonton--St. Albert,210,Edmonton,8,28,44,92,0,172,344
Edmonton--St. Albert/Edmonton--St. Albert,211,Edmonton,9,25,37,73,0,144,407
Edmonton--St. Albert/Edmonton--St. Albert,400,Edmonton,Void,,,,,,
Edmonton--St. Albert/Edmonton--St. Albert,401,St. Albert,No poll held,,,,,,27
Edmonton--St. Albert/Edmonton--St. Albert,500,Mobile poll/Bureau itinérant,9,4,30,60,2,105,133
Edmonton--St. Albert/Edmonton--St. Albert,501,Mobile poll/Bureau itinérant,0,23,29,55,6,113,153
Edmonton--St. Albert/Edmonton--St. Albert,502,Mobile poll/Bureau itinérant,6,17,42,64,0,129,150
Edmonton--St. Albert/Edmonton--St. Albert,600,St. Albert,51,49,155,482,0,737,
Edmonton--St. Albert/Edmonton--St. Albert,601,St. Albert,28,37,114,459,0,638,
Edmonton--St. Albert/Edmonton--St. Albert,602,St. Albert,27,31,106,347,1,512,
Edmonton--St. Albert/Edmonton--St. Albert,603,St. Albert,16,46,78,240,0,380,
Edmonton--St. Albert/Edmonton--St. Albert,604,Edmonton,8,27,37,91,1,164,
Edmonton--St. Albert/Edmonton--St. Albert,605,Edmonton,29,94,238,393,3,757,
Edmonton--St. Albert/Edmonton--St. Albert,606,Edmonton,22,68,240,459,1,790,
Edmonton--St. Albert/Edmonton--St. Albert,607,Edmonton,8,44,73,188,0,313,
Edmonton--St. Albert/Edmonton--St. Albert,608,Edmonton,10,34,53,153,0,250,
Edmonton--St. Albert/Edmonton--St. Albert,,Group 1/Groupe 1,17,18,45,158,3,241,590
Edmonton--St. Albert/Edmonton--St. Albert,,Group 2/Groupe 2,41,61,154,432,17,705,
