District,Poll Number,Poll Name,Justin Dollimont,Bill Matthews,Des McGrath,Larry Peckford,Rejected Ballots,Total Vote,Electors
Random--Burin--St. George's/Random--Burin--St. George's,207,Grand Bank,0,105,14,4,1,124,270
Random--Burin--St. George's/Random--Burin--St. George's,208,Grand Bank,1,93,19,15,2,130,318
Random--Burin--St. George's/Random--Burin--St. George's,209,Grand Beach,0,15,6,1,0,22,59
Random--Burin--St. George's/Random--Burin--St. George's,210,Point May,1,69,38,9,2,119,279
Random--Burin--St. George's/Random--Burin--St. George's,211,Lamaline,1,84,20,12,0,117,225
Random--Burin--St. George's/Random--Burin--St. George's,212,Point au Gaul,1,18,16,4,0,39,70
Random--Burin--St. George's/Random--Burin--St. George's,213,Lord's Cove,1,40,13,14,1,69,151
Random--Burin--St. George's/Random--Burin--St. George's,214,Lawn,0,55,29,11,0,95,249
Random--Burin--St. George's/Random--Burin--St. George's,215,Lawn,1,70,42,20,0,133,329
Random--Burin--St. George's/Random--Burin--St. George's,216,St. Lawrence,0,56,35,4,0,95,195
Random--Burin--St. George's/Random--Burin--St. George's,217,St. Lawrence,2,99,50,18,1,170,431
Random--Burin--St. George's/Random--Burin--St. George's,218,St. Lawrence,1,106,45,15,0,167,287
Random--Burin--St. George's/Random--Burin--St. George's,219,St. Lawrence,1,83,35,22,0,141,301
Random--Burin--St. George's/Random--Burin--St. George's,500,Mobile poll/Bureau itinérant,0,34,10,6,0,50,136
Random--Burin--St. George's/Random--Burin--St. George's,501,Mobile poll/Bureau itinérant,0,44,6,6,1,57,126
Random--Burin--St. George's/Random--Burin--St. George's,600,Kippens,0,20,33,34,0,87,
Random--Burin--St. George's/Random--Burin--St. George's,601,Stephenville,7,60,79,57,1,204,
Random--Burin--St. George's/Random--Burin--St. George's,602,Stephenville Crossing--Gallants,0,11,13,15,1,40,
Random--Burin--St. George's/Random--Burin--St. George's,603,St. George's,0,12,17,7,0,36,
Random--Burin--St. George's/Random--Burin--St. George's,604,Heatherton,0,12,9,10,0,31,
Random--Burin--St. George's/Random--Burin--St. George's,605,Codroy,0,5,19,1,0,25,
Random--Burin--St. George's/Random--Burin--St. George's,606,Burnt Islands,0,10,2,0,0,12,
Random--Burin--St. George's/Random--Burin--St. George's,607,Channel-Port aux Basques,0,21,7,20,0,48,
Random--Burin--St. George's/Random--Burin--St. George's,608,Burgeo,0,31,12,14,0,57,
Random--Burin--St. George's/Random--Burin--St. George's,609,Ramea,0,11,3,17,0,31,
Random--Burin--St. George's/Random--Burin--St. George's,610,Harbour Breton,0,16,15,8,0,39,
Random--Burin--St. George's/Random--Burin--St. George's,611,St. Alban's,3,43,15,16,1,78,
Random--Burin--St. George's/Random--Burin--St. George's,612,Terrenceville,0,6,2,3,0,11,
Random--Burin--St. George's/Random--Burin--St. George's,613,Clarenville,5,66,29,58,1,159,
Random--Burin--St. George's/Random--Burin--St. George's,614,Abrahams Cove,3,11,2,14,0,30,
Random--Burin--St. George's/Random--Burin--St. George's,615,Belleoram,0,28,3,3,0,34,
Random--Burin--St. George's/Random--Burin--St. George's,616,Bay L'Argent,0,9,6,2,0,17,
Random--Burin--St. George's/Random--Burin--St. George's,617,Marystown,2,34,42,31,0,109,
Random--Burin--St. George's/Random--Burin--St. George's,618,Grand Bank,2,93,16,16,1,128,
Random--Burin--St. George's/Random--Burin--St. George's,619,St. Lawrence,0,38,8,5,1,52,
Random--Burin--St. George's/Random--Burin--St. George's,620,Burin,0,27,24,13,0,64,
Random--Burin--St. George's/Random--Burin--St. George's,,Group 1/Groupe 1,7,142,17,124,7,297,995
Random--Burin--St. George's/Random--Burin--St. George's,,Group 2/Groupe 2,8,203,78,86,2,377,
