District,Poll Number,Poll Name,Mario Bernier,Pierre Bibeau,Benoit Bouvier,Rolf Bramann,Christine Dandenault,David Gagnon,Réal Ménard,Antoine Théorêt-Poupart,Rejected Ballots,Total Vote,Electors
Hochelaga/Hochelaga,83,Montréal,9,2,36,1,1,7,158,2,2,218,385
Hochelaga/Hochelaga,84,Montréal,2,0,27,4,1,3,95,0,7,139,254
Hochelaga/Hochelaga,85A,Montréal,4,0,36,3,1,5,80,1,5,135,319
Hochelaga/Hochelaga,85B,Montréal,5,0,34,1,0,6,106,1,1,154,284
Hochelaga/Hochelaga,86,Montréal,8,1,38,3,1,7,78,1,6,143,313
Hochelaga/Hochelaga,87,Montréal,9,1,38,8,2,9,132,1,7,207,459
Hochelaga/Hochelaga,88,Montréal,0,2,20,3,0,17,122,2,3,169,359
Hochelaga/Hochelaga,89,Montréal,4,2,42,10,0,18,159,4,6,245,579
Hochelaga/Hochelaga,90,Montréal,6,0,44,4,0,9,111,0,3,177,296
Hochelaga/Hochelaga,91,Montréal,7,0,54,13,0,25,155,2,6,262,385
Hochelaga/Hochelaga,92,Montréal,3,0,36,3,0,15,127,4,1,189,399
Hochelaga/Hochelaga,93,Montréal,2,1,50,14,0,14,172,2,5,260,546
Hochelaga/Hochelaga,94,Montréal,11,0,62,8,0,10,179,3,4,277,427
Hochelaga/Hochelaga,95,Montréal,3,0,37,10,0,8,188,4,3,253,578
Hochelaga/Hochelaga,96,Montréal,5,1,21,4,0,14,143,4,8,200,487
Hochelaga/Hochelaga,97,Montréal,7,0,30,7,0,19,204,2,5,274,554
Hochelaga/Hochelaga,98,Montréal,2,0,14,4,0,15,124,6,6,171,433
Hochelaga/Hochelaga,99,Montréal,6,0,20,6,0,15,166,5,2,220,476
Hochelaga/Hochelaga,100,Montréal,3,1,25,13,0,16,183,8,3,252,497
Hochelaga/Hochelaga,101,Montréal,1,1,44,5,2,12,106,3,4,178,414
Hochelaga/Hochelaga,102,Montréal,5,0,30,2,0,15,158,4,4,218,439
Hochelaga/Hochelaga,103,Montréal,4,0,8,1,0,2,58,0,0,73,218
Hochelaga/Hochelaga,104,Montréal,3,0,18,2,1,13,145,1,2,185,390
Hochelaga/Hochelaga,105,Montréal,4,1,31,13,0,15,146,3,0,213,472
Hochelaga/Hochelaga,106,Montréal,5,0,17,5,2,9,123,2,5,168,358
Hochelaga/Hochelaga,107,Montréal,4,1,19,7,2,10,118,2,4,167,332
Hochelaga/Hochelaga,108,Montréal,5,0,25,4,0,15,146,1,4,200,387
Hochelaga/Hochelaga,109,Montréal,4,0,14,4,0,18,126,3,8,177,389
Hochelaga/Hochelaga,110,Montréal,4,1,23,9,2,9,121,4,3,176,366
Hochelaga/Hochelaga,111,Montréal,3,0,25,14,1,13,216,1,9,282,492
Hochelaga/Hochelaga,112,Montréal,7,2,32,13,1,14,175,6,3,253,458
Hochelaga/Hochelaga,113,Montréal,8,1,37,5,1,16,165,4,3,240,524
Hochelaga/Hochelaga,114,Montréal,7,2,18,10,2,27,155,5,6,232,490
Hochelaga/Hochelaga,115,Montréal,3,0,20,6,0,25,153,3,4,214,411
Hochelaga/Hochelaga,116,Montréal,5,2,41,2,1,17,125,1,6,200,457
Hochelaga/Hochelaga,117,Montréal,8,0,27,6,0,13,122,4,7,187,408
Hochelaga/Hochelaga,118,Montréal,5,0,37,8,0,18,196,6,12,282,550
Hochelaga/Hochelaga,119,Montréal,3,1,13,3,0,12,121,2,2,157,318
Hochelaga/Hochelaga,120,Montréal,9,3,39,5,0,16,200,3,6,281,540
Hochelaga/Hochelaga,121,Montréal,1,0,27,9,1,6,165,0,0,209,473
Hochelaga/Hochelaga,122,Montréal,4,0,20,6,0,4,146,3,2,185,439
Hochelaga/Hochelaga,123,Montréal,4,0,17,2,0,15,105,2,4,149,426
Hochelaga/Hochelaga,124,Montréal,3,2,18,4,0,15,198,5,4,249,582
Hochelaga/Hochelaga,125,Montréal,4,1,22,7,1,3,167,2,5,212,393
Hochelaga/Hochelaga,126,Montréal,8,0,48,6,0,7,128,1,2,200,385
Hochelaga/Hochelaga,127,Montréal,6,1,47,8,2,18,149,5,3,239,537
Hochelaga/Hochelaga,128,Montréal,3,1,30,3,0,11,133,2,4,187,421
Hochelaga/Hochelaga,129,Montréal,9,1,26,8,0,13,168,7,4,236,523
Hochelaga/Hochelaga,130,Montréal,7,2,19,5,0,12,129,4,3,181,408
Hochelaga/Hochelaga,131,Montréal,5,1,13,4,0,7,116,4,5,155,349
Hochelaga/Hochelaga,132,Montréal,11,0,23,7,1,9,126,3,7,187,373
Hochelaga/Hochelaga,133,Montréal,13,0,23,7,0,13,153,6,7,222,472
Hochelaga/Hochelaga,134,Montréal,3,2,25,13,2,13,181,4,5,248,506
Hochelaga/Hochelaga,135,Montréal,4,0,25,5,0,14,140,3,7,198,484
Hochelaga/Hochelaga,136,Montréal,4,0,16,4,1,10,89,3,3,130,307
Hochelaga/Hochelaga,137,Montréal,3,1,33,12,0,14,152,1,4,220,479
Hochelaga/Hochelaga,138,Montréal,5,1,24,4,2,21,192,0,8,257,578
Hochelaga/Hochelaga,139,Montréal,1,0,19,11,0,13,133,3,3,183,366
Hochelaga/Hochelaga,140,Montréal,5,1,18,9,1,14,138,5,3,194,394
Hochelaga/Hochelaga,141,Montréal,5,0,14,6,0,0,114,5,2,146,344
Hochelaga/Hochelaga,142,Montréal,3,1,28,3,0,3,57,0,4,99,161
Hochelaga/Hochelaga,143,Montréal,8,1,26,9,0,12,118,2,6,182,351
Hochelaga/Hochelaga,144,Montréal,11,1,16,6,0,4,142,6,6,192,424
Hochelaga/Hochelaga,145,Montréal,0,0,26,6,1,17,111,3,4,168,323
Hochelaga/Hochelaga,146,Montréal,4,1,20,1,0,9,142,3,6,186,357
Hochelaga/Hochelaga,147,Montréal,6,0,39,4,0,12,154,2,5,222,384
Hochelaga/Hochelaga,148,Montréal,7,0,50,9,0,7,174,2,4,253,449
Hochelaga/Hochelaga,149,Montréal,4,0,30,11,0,14,113,3,3,178,415
Hochelaga/Hochelaga,150,Montréal,10,1,55,7,1,12,136,2,4,228,447
Hochelaga/Hochelaga,151A,Montréal,7,1,42,6,0,20,109,1,4,190,326
Hochelaga/Hochelaga,151B,Montréal,5,0,35,9,0,8,116,1,4,178,313
Hochelaga/Hochelaga,152,Montréal,5,1,27,9,0,10,147,5,2,206,390
Hochelaga/Hochelaga,153,Montréal,1,1,45,4,1,5,127,4,2,190,341
Hochelaga/Hochelaga,154,Montréal,5,0,22,5,0,20,91,2,5,150,398
Hochelaga/Hochelaga,155,Montréal,6,0,52,11,1,14,124,1,5,214,472
Hochelaga/Hochelaga,156,Montréal,6,0,26,4,1,23,170,3,0,233,510
Hochelaga/Hochelaga,157,Montréal,9,0,23,7,0,13,114,3,0,169,339
Hochelaga/Hochelaga,158,Montréal,5,2,17,4,0,10,96,2,3,139,389
Hochelaga/Hochelaga,159,Montréal,3,0,27,7,0,15,100,3,3,158,346
Hochelaga/Hochelaga,160,Montréal,6,3,35,4,0,20,183,3,6,260,562
Hochelaga/Hochelaga,161,Montréal,7,0,34,13,0,17,94,2,1,168,319
Hochelaga/Hochelaga,162,Montréal,7,2,58,7,0,19,132,2,4,231,451
Hochelaga/Hochelaga,163,Montréal,2,0,23,7,2,14,137,0,2,187,353
Hochelaga/Hochelaga,164,Montréal,0,0,13,3,1,14,110,5,6,152,374
Hochelaga/Hochelaga,165,Montréal,5,1,30,9,0,9,168,1,4,227,425
Hochelaga/Hochelaga,166,Montréal,1,0,21,8,0,15,149,4,4,202,421
Hochelaga/Hochelaga,167,Montréal,2,1,24,3,0,15,146,3,4,198,402
Hochelaga/Hochelaga,168,Montréal,4,0,28,12,1,13,113,3,2,176,339
Hochelaga/Hochelaga,169,Montréal,5,0,54,8,2,18,136,1,1,225,431
Hochelaga/Hochelaga,170,Montréal,10,0,46,9,2,15,104,7,0,193,424
Hochelaga/Hochelaga,171,Montréal,5,0,32,9,0,15,160,3,7,231,450
Hochelaga/Hochelaga,172,Montréal,10,1,34,9,0,9,110,4,2,179,457
Hochelaga/Hochelaga,173,Montréal,12,2,74,5,0,11,64,1,6,175,351
Hochelaga/Hochelaga,174,Montréal,3,2,30,4,1,15,143,8,6,212,480
Hochelaga/Hochelaga,175,Montréal,6,1,30,10,0,12,138,6,14,217,409
Hochelaga/Hochelaga,176,Montréal,10,2,45,11,2,9,125,6,4,214,412
Hochelaga/Hochelaga,177,Montréal,6,2,37,3,0,15,163,1,7,234,415
Hochelaga/Hochelaga,178,Montréal,9,2,43,14,0,15,105,0,1,189,347
Hochelaga/Hochelaga,179,Montréal,4,1,24,3,2,13,119,3,3,172,473
Hochelaga/Hochelaga,180,Montréal,5,1,41,9,0,18,117,7,2,200,487
Hochelaga/Hochelaga,181,Montréal,2,0,28,15,1,25,162,5,4,242,388
Hochelaga/Hochelaga,182,Montréal,4,2,24,6,1,13,131,6,6,193,400
Hochelaga/Hochelaga,183,Montréal,3,1,20,7,0,9,115,3,3,161,299
Hochelaga/Hochelaga,184,Montréal,7,0,46,7,2,8,112,6,2,190,387
Hochelaga/Hochelaga,185,Montréal,13,4,93,2,0,6,131,1,6,256,334
Hochelaga/Hochelaga,186,Montréal,16,3,65,12,0,13,121,4,5,239,503
Hochelaga/Hochelaga,187,Montréal,7,2,32,7,1,10,118,3,2,182,445
Hochelaga/Hochelaga,188,Montréal,10,1,68,5,1,9,140,2,7,243,557
Hochelaga/Hochelaga,189,Montréal,6,1,20,7,0,19,109,7,1,170,350
Hochelaga/Hochelaga,190,Montréal,3,1,24,6,1,16,115,3,2,171,417
Hochelaga/Hochelaga,400,Montréal,10,0,69,1,0,3,83,0,2,168,341
Hochelaga/Hochelaga,401,Montréal,3,0,68,3,0,4,58,1,4,141,332
Hochelaga/Hochelaga,402,Montréal,13,1,59,2,0,13,56,0,2,146,328
Hochelaga/Hochelaga,403,Montréal,5,0,76,4,0,5,78,0,4,172,333
Hochelaga/Hochelaga,404,Montréal,23,2,93,5,2,7,128,1,8,269,372
Hochelaga/Hochelaga,405,Montréal,18,2,71,2,1,4,128,3,3,232,355
Hochelaga/Hochelaga,500,Mobile poll/Bureau itinérant,9,1,67,1,1,1,5,1,5,91,186
Hochelaga/Hochelaga,501,Mobile poll/Bureau itinérant,9,0,30,2,1,1,16,0,3,62,237
Hochelaga/Hochelaga,502,Mobile poll/Bureau itinérant,16,2,55,1,0,2,25,0,4,105,122
Hochelaga/Hochelaga,503,Mobile poll/Bureau itinérant,5,1,50,2,0,6,21,1,5,91,124
Hochelaga/Hochelaga,504,Mobile poll/Bureau itinérant,8,5,44,2,5,5,50,1,12,132,245
Hochelaga/Hochelaga,600,Montréal,11,1,96,1,0,4,113,0,4,230,
Hochelaga/Hochelaga,601,Montréal,50,6,241,7,1,16,297,4,19,641,
Hochelaga/Hochelaga,602,Montréal,11,0,58,5,0,17,113,1,5,210,
Hochelaga/Hochelaga,603,Montréal,50,1,331,8,1,17,273,1,6,688,
Hochelaga/Hochelaga,604,Montréal,11,0,32,3,0,10,99,2,2,159,
Hochelaga/Hochelaga,605,Montréal,17,1,85,15,1,18,311,2,10,460,
Hochelaga/Hochelaga,606,Montréal,3,0,16,7,0,17,113,5,3,164,
Hochelaga/Hochelaga,607,Montréal,13,2,61,11,0,16,181,2,15,301,
Hochelaga/Hochelaga,608,Montréal,15,0,55,7,0,20,209,1,3,310,
Hochelaga/Hochelaga,609,Montréal,13,1,65,7,1,19,172,2,7,287,
Hochelaga/Hochelaga,,Group 1/Groupe 1,18,2,37,6,0,8,53,6,4,134,199
Hochelaga/Hochelaga,,Group 2/Groupe 2,38,1,285,30,2,69,611,7,29,1072,
