District,Poll Number,Poll Name,Steve Boudrias,Gianni Chiazzese,Hélène Héroux,Richard Lahaie,François Pilon,Pablo Rodriguez,Éric St-Hilaire,Rejected Ballots,Total Vote,Electors
Honoré-Mercier/Honoré-Mercier,24,Montréal,1,17,1,7,9,114,82,11,242,436
Honoré-Mercier/Honoré-Mercier,25,Montréal,7,6,0,2,4,124,9,0,152,261
Honoré-Mercier/Honoré-Mercier,26,Montréal,2,10,0,2,6,153,33,9,215,392
Honoré-Mercier/Honoré-Mercier,27,Montréal,3,16,2,3,12,78,44,3,161,282
Honoré-Mercier/Honoré-Mercier,28,Montréal,3,12,1,4,5,132,27,1,185,304
Honoré-Mercier/Honoré-Mercier,29,Montréal,8,17,1,6,9,203,34,4,282,455
Honoré-Mercier/Honoré-Mercier,30,Montréal,9,11,0,3,15,80,63,2,183,479
Honoré-Mercier/Honoré-Mercier,31,Montréal,1,9,0,5,5,114,10,1,145,316
Honoré-Mercier/Honoré-Mercier,32,Montréal,1,6,0,5,6,141,7,1,167,320
Honoré-Mercier/Honoré-Mercier,33,Montréal,6,8,1,5,4,93,80,2,199,426
Honoré-Mercier/Honoré-Mercier,34A,Montréal,4,16,0,5,6,103,59,2,195,332
Honoré-Mercier/Honoré-Mercier,34B,Montréal,0,6,0,4,6,107,31,3,157,292
Honoré-Mercier/Honoré-Mercier,35,Montréal,4,19,0,4,6,146,69,3,251,390
Honoré-Mercier/Honoré-Mercier,36,Montréal,1,18,0,2,6,69,41,3,140,223
Honoré-Mercier/Honoré-Mercier,37,Montréal,0,11,1,2,10,69,41,3,137,235
Honoré-Mercier/Honoré-Mercier,38,Montréal,2,16,0,4,4,155,26,9,216,338
Honoré-Mercier/Honoré-Mercier,39,Montréal,2,11,0,2,7,111,57,3,193,330
Honoré-Mercier/Honoré-Mercier,40,Montréal,3,10,0,2,15,84,115,6,235,579
Honoré-Mercier/Honoré-Mercier,41,Montréal,4,12,0,3,5,120,10,2,156,285
Honoré-Mercier/Honoré-Mercier,42,Montréal,2,9,0,0,4,149,9,3,176,307
Honoré-Mercier/Honoré-Mercier,43,Montréal,2,9,0,0,1,104,24,1,141,371
Honoré-Mercier/Honoré-Mercier,44,Montréal,1,21,2,2,4,152,6,0,188,304
Honoré-Mercier/Honoré-Mercier,45,Montréal,4,18,0,7,7,214,17,4,271,407
Honoré-Mercier/Honoré-Mercier,46,Montréal,11,25,2,4,14,246,47,7,356,545
Honoré-Mercier/Honoré-Mercier,47,Montréal,1,19,0,4,7,162,39,6,238,419
Honoré-Mercier/Honoré-Mercier,48,Montréal,6,18,0,8,4,92,87,7,222,427
Honoré-Mercier/Honoré-Mercier,49,Montréal,4,12,1,1,9,162,36,9,234,428
Honoré-Mercier/Honoré-Mercier,50,Montréal,5,16,0,4,3,116,16,0,160,236
Honoré-Mercier/Honoré-Mercier,51,Montréal,4,20,0,1,3,151,16,1,196,292
Honoré-Mercier/Honoré-Mercier,52,Montréal,0,20,0,3,6,87,14,0,130,221
Honoré-Mercier/Honoré-Mercier,53,Montréal,2,9,0,1,6,64,76,2,160,299
Honoré-Mercier/Honoré-Mercier,54,Montréal,1,17,0,4,6,88,44,1,161,283
Honoré-Mercier/Honoré-Mercier,55,Montréal,6,13,4,3,8,146,40,0,220,530
Honoré-Mercier/Honoré-Mercier,56,Montréal,3,12,0,7,6,136,14,2,180,340
Honoré-Mercier/Honoré-Mercier,57,Montréal,6,20,1,2,7,199,19,3,257,409
Honoré-Mercier/Honoré-Mercier,58,Montréal,4,15,0,2,8,123,5,1,158,235
Honoré-Mercier/Honoré-Mercier,59,Montréal,4,24,2,1,6,161,28,5,231,370
Honoré-Mercier/Honoré-Mercier,60,Montréal,7,16,2,5,8,140,21,6,205,392
Honoré-Mercier/Honoré-Mercier,61,Montréal,5,30,3,3,9,238,21,5,314,520
Honoré-Mercier/Honoré-Mercier,62,Montréal,3,15,0,3,8,130,21,4,184,421
Honoré-Mercier/Honoré-Mercier,63,Montréal,7,19,2,1,9,182,27,4,251,421
Honoré-Mercier/Honoré-Mercier,64,Montréal,8,21,0,1,11,161,39,2,243,481
Honoré-Mercier/Honoré-Mercier,65,Montréal,3,17,1,6,4,188,76,2,297,504
Honoré-Mercier/Honoré-Mercier,66,Montréal,5,14,0,4,10,156,15,0,204,404
Honoré-Mercier/Honoré-Mercier,67,Montréal,4,18,0,5,6,124,36,3,196,395
Honoré-Mercier/Honoré-Mercier,68,Montréal,4,14,1,2,14,135,45,5,220,494
Honoré-Mercier/Honoré-Mercier,69,Montréal,1,7,1,1,4,67,51,7,139,329
Honoré-Mercier/Honoré-Mercier,70,Montréal,6,16,1,6,17,178,46,2,272,564
Honoré-Mercier/Honoré-Mercier,71,Montréal,4,25,3,4,5,160,37,2,240,461
Honoré-Mercier/Honoré-Mercier,72,Montréal,4,18,1,2,6,142,10,4,187,305
Honoré-Mercier/Honoré-Mercier,73,Montréal,2,10,3,3,5,99,35,6,163,341
Honoré-Mercier/Honoré-Mercier,74,Montréal,4,18,1,4,8,173,48,3,259,418
Honoré-Mercier/Honoré-Mercier,75,Montréal,8,22,4,7,16,166,65,7,295,500
Honoré-Mercier/Honoré-Mercier,76,Montréal,0,21,0,5,14,137,82,8,267,454
Honoré-Mercier/Honoré-Mercier,77,Montréal,2,19,1,4,10,240,14,6,296,451
Honoré-Mercier/Honoré-Mercier,78,Montréal,22,2,1,1,14,160,42,3,245,482
Honoré-Mercier/Honoré-Mercier,79,Montréal,5,20,0,4,2,205,34,5,275,471
Honoré-Mercier/Honoré-Mercier,80,Anjou,4,11,0,4,17,61,165,5,267,457
Honoré-Mercier/Honoré-Mercier,81,Anjou,9,8,1,8,12,72,117,2,229,438
Honoré-Mercier/Honoré-Mercier,82,Anjou,2,20,0,5,14,89,112,6,248,371
Honoré-Mercier/Honoré-Mercier,83,Anjou,4,11,2,3,6,132,79,4,241,418
Honoré-Mercier/Honoré-Mercier,84,Anjou,3,16,3,7,10,123,108,2,272,445
Honoré-Mercier/Honoré-Mercier,85,Anjou,2,9,0,2,13,115,97,0,238,448
Honoré-Mercier/Honoré-Mercier,86,Anjou,4,15,0,0,13,109,100,5,246,400
Honoré-Mercier/Honoré-Mercier,87,Anjou,3,11,1,4,7,99,99,5,229,361
Honoré-Mercier/Honoré-Mercier,88,Anjou,2,10,2,3,8,40,85,1,151,260
Honoré-Mercier/Honoré-Mercier,89,Anjou,3,10,0,1,11,32,71,1,129,273
Honoré-Mercier/Honoré-Mercier,90,Anjou,3,13,2,4,8,98,73,2,203,349
Honoré-Mercier/Honoré-Mercier,91,Anjou,3,4,0,3,4,83,36,1,134,228
Honoré-Mercier/Honoré-Mercier,92,Anjou,1,5,0,0,6,58,52,6,128,256
Honoré-Mercier/Honoré-Mercier,93,Anjou,3,16,2,4,4,80,70,0,179,287
Honoré-Mercier/Honoré-Mercier,94A,Anjou,1,12,1,4,7,82,92,4,203,311
Honoré-Mercier/Honoré-Mercier,94B,Anjou,2,7,0,5,5,72,91,3,185,314
Honoré-Mercier/Honoré-Mercier,95,Anjou,0,7,0,2,7,46,61,3,126,239
Honoré-Mercier/Honoré-Mercier,96,Anjou,2,5,0,3,7,64,79,2,162,247
Honoré-Mercier/Honoré-Mercier,97,Anjou,2,25,1,5,5,143,96,7,284,444
Honoré-Mercier/Honoré-Mercier,98,Anjou,2,12,0,9,19,105,90,6,243,419
Honoré-Mercier/Honoré-Mercier,99,Anjou,0,10,0,6,9,88,94,3,210,375
Honoré-Mercier/Honoré-Mercier,100,Anjou,2,15,1,4,7,83,88,9,209,409
Honoré-Mercier/Honoré-Mercier,101,Anjou,2,7,0,3,13,57,90,6,178,401
Honoré-Mercier/Honoré-Mercier,102,Anjou,6,9,1,2,17,68,79,6,188,414
Honoré-Mercier/Honoré-Mercier,103,Anjou,5,19,1,4,11,89,90,4,223,456
Honoré-Mercier/Honoré-Mercier,104,Anjou,0,7,0,4,12,46,89,2,160,237
Honoré-Mercier/Honoré-Mercier,105,Anjou,1,6,1,6,11,72,160,5,262,446
Honoré-Mercier/Honoré-Mercier,106,Anjou,1,7,0,4,10,50,129,0,201,339
Honoré-Mercier/Honoré-Mercier,107,Anjou,1,13,1,1,7,65,96,0,184,432
Honoré-Mercier/Honoré-Mercier,108,Anjou,2,11,0,7,9,55,173,5,262,456
Honoré-Mercier/Honoré-Mercier,109,Anjou,6,20,4,3,10,75,118,3,239,471
Honoré-Mercier/Honoré-Mercier,110,Montréal,3,6,0,4,8,69,206,8,304,467
Honoré-Mercier/Honoré-Mercier,111,Montréal,1,7,1,6,12,76,198,2,303,451
Honoré-Mercier/Honoré-Mercier,112,Montréal,4,3,0,3,9,75,143,4,241,342
Honoré-Mercier/Honoré-Mercier,113,Montréal,1,5,1,5,3,33,113,4,165,346
Honoré-Mercier/Honoré-Mercier,114,Montréal,4,14,1,3,13,67,134,6,242,471
Honoré-Mercier/Honoré-Mercier,115,Montréal,3,3,2,2,5,40,147,4,206,390
Honoré-Mercier/Honoré-Mercier,116,Montréal,5,7,0,6,5,55,142,4,224,373
Honoré-Mercier/Honoré-Mercier,117,Montréal,4,7,0,1,10,66,153,9,250,464
Honoré-Mercier/Honoré-Mercier,118,Anjou,5,10,0,2,6,60,98,5,186,369
Honoré-Mercier/Honoré-Mercier,119,Anjou,6,9,3,2,4,52,132,3,211,383
Honoré-Mercier/Honoré-Mercier,120,Anjou,0,8,0,2,3,62,146,8,229,416
Honoré-Mercier/Honoré-Mercier,121,Anjou,3,5,0,4,4,32,103,4,155,331
Honoré-Mercier/Honoré-Mercier,122,Anjou,3,19,0,2,14,70,133,8,249,429
Honoré-Mercier/Honoré-Mercier,123,Anjou,2,19,2,3,7,72,159,5,269,460
Honoré-Mercier/Honoré-Mercier,124,Anjou,2,8,0,2,7,35,130,3,187,376
Honoré-Mercier/Honoré-Mercier,125,Anjou,3,11,0,3,6,51,87,7,168,338
Honoré-Mercier/Honoré-Mercier,126,Anjou,2,5,1,1,13,87,105,3,217,347
Honoré-Mercier/Honoré-Mercier,127,Anjou,1,15,0,7,10,70,115,9,227,381
Honoré-Mercier/Honoré-Mercier,128,Anjou,4,12,0,4,9,82,153,4,268,394
Honoré-Mercier/Honoré-Mercier,129,Anjou,3,16,2,5,13,98,116,5,258,407
Honoré-Mercier/Honoré-Mercier,130,Anjou,1,4,0,4,12,66,130,6,223,439
Honoré-Mercier/Honoré-Mercier,131,Anjou,0,7,1,6,8,99,108,0,229,386
Honoré-Mercier/Honoré-Mercier,132,Anjou,0,15,2,5,12,100,124,4,262,398
Honoré-Mercier/Honoré-Mercier,133,Anjou,3,28,1,5,14,101,142,3,297,452
Honoré-Mercier/Honoré-Mercier,134,Anjou,2,16,0,2,7,116,96,4,243,479
Honoré-Mercier/Honoré-Mercier,135,Anjou,3,8,1,3,11,76,97,3,202,353
Honoré-Mercier/Honoré-Mercier,136,Anjou,5,14,2,3,8,73,73,5,183,347
Honoré-Mercier/Honoré-Mercier,137,Anjou,4,12,1,6,10,118,147,4,302,474
Honoré-Mercier/Honoré-Mercier,138,Anjou,6,8,0,3,9,69,69,0,164,356
Honoré-Mercier/Honoré-Mercier,139,Anjou,0,16,2,10,11,89,89,1,218,328
Honoré-Mercier/Honoré-Mercier,140,Anjou,0,15,0,5,6,60,117,3,206,357
Honoré-Mercier/Honoré-Mercier,141,Anjou,2,15,0,1,5,56,76,5,160,430
Honoré-Mercier/Honoré-Mercier,142,Anjou,0,18,1,2,18,78,105,0,222,379
Honoré-Mercier/Honoré-Mercier,143,Anjou,3,4,1,4,10,59,87,6,174,344
Honoré-Mercier/Honoré-Mercier,144,Anjou,2,7,1,4,12,122,82,7,237,420
Honoré-Mercier/Honoré-Mercier,145,Anjou,4,13,0,3,11,109,82,11,233,391
Honoré-Mercier/Honoré-Mercier,146,Anjou,2,13,0,4,10,120,90,0,239,380
Honoré-Mercier/Honoré-Mercier,147,Anjou,0,14,1,2,5,120,87,5,234,357
Honoré-Mercier/Honoré-Mercier,148,Anjou,2,18,1,7,11,109,107,2,257,388
Honoré-Mercier/Honoré-Mercier,149,Montréal,3,3,0,3,8,52,137,4,210,362
Honoré-Mercier/Honoré-Mercier,150,Montréal,3,6,1,0,6,80,106,5,207,371
Honoré-Mercier/Honoré-Mercier,151,Montréal,3,7,2,0,4,29,56,1,102,376
Honoré-Mercier/Honoré-Mercier,152,Montréal,2,15,0,2,15,68,160,3,265,415
Honoré-Mercier/Honoré-Mercier,153,Montréal,5,17,0,6,8,56,150,1,243,433
Honoré-Mercier/Honoré-Mercier,154,Anjou,3,3,0,0,4,46,99,5,160,309
Honoré-Mercier/Honoré-Mercier,155,Anjou,0,9,0,5,20,67,142,1,244,365
Honoré-Mercier/Honoré-Mercier,156,Anjou,0,3,0,3,12,61,103,1,183,343
Honoré-Mercier/Honoré-Mercier,157,Anjou,2,9,0,7,17,56,124,4,219,381
Honoré-Mercier/Honoré-Mercier,158,Montréal,1,12,1,5,8,44,170,5,246,458
Honoré-Mercier/Honoré-Mercier,159,Montréal,2,8,3,8,7,61,81,4,174,390
Honoré-Mercier/Honoré-Mercier,160,Montréal,5,9,0,2,14,69,115,1,215,334
Honoré-Mercier/Honoré-Mercier,161,Montréal,1,10,1,1,5,72,81,4,175,310
Honoré-Mercier/Honoré-Mercier,162,Montréal,1,17,1,8,19,81,191,7,325,568
Honoré-Mercier/Honoré-Mercier,163,Montréal,3,11,1,6,18,81,123,8,251,417
Honoré-Mercier/Honoré-Mercier,164,Anjou,0,4,0,3,13,68,129,5,222,365
Honoré-Mercier/Honoré-Mercier,165,Anjou,2,11,1,2,8,82,98,3,207,325
Honoré-Mercier/Honoré-Mercier,166,Anjou,1,3,0,4,6,66,117,8,205,346
Honoré-Mercier/Honoré-Mercier,167,Anjou,2,11,1,11,11,59,87,3,185,415
Honoré-Mercier/Honoré-Mercier,168,Montréal,3,8,1,4,16,92,84,3,211,520
Honoré-Mercier/Honoré-Mercier,169,Montréal,2,11,0,5,11,88,98,7,222,421
Honoré-Mercier/Honoré-Mercier,170,Anjou,3,10,0,4,13,76,100,1,207,362
Honoré-Mercier/Honoré-Mercier,171,Anjou,3,9,0,4,9,99,112,3,239,416
Honoré-Mercier/Honoré-Mercier,172,Anjou,2,6,0,3,1,84,62,4,162,259
Honoré-Mercier/Honoré-Mercier,173,Anjou,3,12,0,4,14,71,112,1,217,533
Honoré-Mercier/Honoré-Mercier,174,Anjou,2,7,0,4,10,100,110,2,235,396
Honoré-Mercier/Honoré-Mercier,175,Anjou,3,13,0,2,1,120,100,2,241,411
Honoré-Mercier/Honoré-Mercier,176,Anjou,2,9,0,2,5,69,48,1,136,217
Honoré-Mercier/Honoré-Mercier,177,Anjou,2,30,2,9,10,211,126,11,401,593
Honoré-Mercier/Honoré-Mercier,178A,Anjou,1,17,0,3,8,120,99,3,251,382
Honoré-Mercier/Honoré-Mercier,178B,Anjou,0,13,0,2,8,130,100,7,260,395
Honoré-Mercier/Honoré-Mercier,179,Anjou,2,28,0,4,4,86,112,8,244,393
Honoré-Mercier/Honoré-Mercier,180,Anjou,0,17,1,7,12,94,121,6,258,391
Honoré-Mercier/Honoré-Mercier,181,Anjou,1,8,0,5,14,110,118,1,257,426
Honoré-Mercier/Honoré-Mercier,182,Montréal,1,13,0,4,20,57,105,4,204,480
Honoré-Mercier/Honoré-Mercier,183,Montréal,1,10,0,1,12,122,50,2,198,406
Honoré-Mercier/Honoré-Mercier,184,Montréal,1,19,0,4,8,95,61,0,188,384
Honoré-Mercier/Honoré-Mercier,185,Montréal,1,18,1,2,7,77,89,1,196,382
Honoré-Mercier/Honoré-Mercier,186,Montréal,3,11,0,1,6,77,38,4,140,282
Honoré-Mercier/Honoré-Mercier,187,Montréal,2,15,0,5,5,112,34,7,180,349
Honoré-Mercier/Honoré-Mercier,188,Montréal,1,9,0,1,6,172,52,3,244,402
Honoré-Mercier/Honoré-Mercier,189,Montréal,1,5,0,3,8,98,93,0,208,419
Honoré-Mercier/Honoré-Mercier,190,Montréal,0,8,0,2,2,52,11,1,76,144
Honoré-Mercier/Honoré-Mercier,191,Montréal,3,10,0,3,11,96,135,8,266,497
Honoré-Mercier/Honoré-Mercier,192,Montréal,4,8,0,3,21,96,132,0,264,436
Honoré-Mercier/Honoré-Mercier,193,Montréal,6,14,0,6,10,112,140,2,290,421
Honoré-Mercier/Honoré-Mercier,194,Montréal,3,9,1,4,14,94,102,4,231,372
Honoré-Mercier/Honoré-Mercier,195,Montréal,1,3,0,1,7,81,107,1,201,353
Honoré-Mercier/Honoré-Mercier,196,Montréal,1,14,1,7,9,95,117,6,250,359
Honoré-Mercier/Honoré-Mercier,197,Montréal,1,5,2,3,10,85,112,5,223,367
Honoré-Mercier/Honoré-Mercier,198,Montréal,2,22,1,10,12,118,158,4,327,524
Honoré-Mercier/Honoré-Mercier,199,Montréal,0,10,2,6,17,86,164,5,290,440
Honoré-Mercier/Honoré-Mercier,200,Montréal,2,4,0,10,19,44,111,1,191,310
Honoré-Mercier/Honoré-Mercier,400,Montréal,9,7,6,8,9,34,44,3,120,215
Honoré-Mercier/Honoré-Mercier,600,Montréal,6,22,0,7,10,122,153,3,323,
Honoré-Mercier/Honoré-Mercier,601,Montréal,4,36,1,13,15,257,89,8,423,
Honoré-Mercier/Honoré-Mercier,602,Montréal,6,42,1,4,11,210,105,3,382,
Honoré-Mercier/Honoré-Mercier,603,Montréal,6,31,3,10,13,166,356,14,599,
Honoré-Mercier/Honoré-Mercier,604,Montréal,9,46,4,20,43,350,392,18,882,
Honoré-Mercier/Honoré-Mercier,605,Montréal,4,74,2,9,7,421,318,9,844,
Honoré-Mercier/Honoré-Mercier,606,Montréal,0,41,3,16,25,256,296,3,640,
Honoré-Mercier/Honoré-Mercier,,Group 1/Groupe 1,3,6,1,1,4,33,26,3,77,140
Honoré-Mercier/Honoré-Mercier,,Group 2/Groupe 2,5,21,0,7,14,206,215,16,484,
