District,Poll Number,Poll Name,John Hugh Edwards,Mark Eyking,B. Chris Gallant,Howie MacDonald,Chris Milburn,Cathy Thériault,Rejected Ballots,Total Vote,Electors
Sydney--Victoria/Sydney--Victoria,155,Scotchtown,85,77,10,22,2,1,0,197,463
Sydney--Victoria/Sydney--Victoria,156,Lingan,103,126,3,23,5,6,1,267,466
Sydney--Victoria/Sydney--Victoria,157,Cape Breton,65,86,3,26,3,5,1,189,431
Sydney--Victoria/Sydney--Victoria,158,Cape Breton,87,66,5,32,1,1,2,194,387
Sydney--Victoria/Sydney--Victoria,159,Cape Breton,54,41,2,4,2,0,1,104,280
Sydney--Victoria/Sydney--Victoria,160,Cape Breton,61,61,1,14,2,1,2,142,356
Sydney--Victoria/Sydney--Victoria,161,Cape Breton,76,96,2,18,2,2,1,197,349
Sydney--Victoria/Sydney--Victoria,162,Cape Breton,72,56,7,27,0,1,0,163,341
Sydney--Victoria/Sydney--Victoria,163,Cape Breton,33,43,1,21,1,2,0,101,195
Sydney--Victoria/Sydney--Victoria,164,Cape Breton,72,68,9,23,2,1,0,175,339
Sydney--Victoria/Sydney--Victoria,165,Cape Breton,70,69,3,27,1,1,0,171,374
Sydney--Victoria/Sydney--Victoria,166,Cape Breton,60,70,2,21,0,2,3,158,354
Sydney--Victoria/Sydney--Victoria,167,Cape Breton,77,80,4,19,1,5,1,187,392
Sydney--Victoria/Sydney--Victoria,168,Cape Breton,59,55,2,14,0,4,0,134,283
Sydney--Victoria/Sydney--Victoria,169,Cape Breton,79,97,10,30,3,2,2,223,370
Sydney--Victoria/Sydney--Victoria,170,Cape Breton,57,78,6,29,4,4,1,179,384
Sydney--Victoria/Sydney--Victoria,171,Cape Breton,73,91,4,27,0,3,2,200,396
Sydney--Victoria/Sydney--Victoria,400,Cape Breton,0,0,0,0,0,0,0,0,27
Sydney--Victoria/Sydney--Victoria,401,Cape Breton,15,52,3,22,1,1,6,100,287
Sydney--Victoria/Sydney--Victoria,402,Cape Breton,3,17,1,4,1,2,3,31,39
Sydney--Victoria/Sydney--Victoria,500,Mobile poll/Bureau itinérant,3,20,0,19,2,1,1,46,88
Sydney--Victoria/Sydney--Victoria,501,Mobile poll/Bureau itinérant,12,26,0,13,0,1,1,53,100
Sydney--Victoria/Sydney--Victoria,502,Mobile poll/Bureau itinérant,16,77,3,36,2,1,4,139,297
Sydney--Victoria/Sydney--Victoria,600,Pleasant Bay,7,17,0,8,0,0,0,32,
Sydney--Victoria/Sydney--Victoria,601,Ingonish,6,29,1,2,0,1,1,40,
Sydney--Victoria/Sydney--Victoria,602,Englishtown,5,5,0,11,0,0,0,21,
Sydney--Victoria/Sydney--Victoria,603,Baddeck,29,68,0,52,4,0,2,155,
Sydney--Victoria/Sydney--Victoria,604,Florence,111,167,3,33,2,3,1,320,
Sydney--Victoria/Sydney--Victoria,605,Gannon,24,53,0,41,4,1,0,123,
Sydney--Victoria/Sydney--Victoria,606,Sydney Mines,168,297,2,90,4,4,7,572,
Sydney--Victoria/Sydney--Victoria,607,North Sydney,64,276,1,84,6,2,0,433,
Sydney--Victoria/Sydney--Victoria,608,Westmount,64,233,0,106,6,4,5,418,
Sydney--Victoria/Sydney--Victoria,609,Membertou,120,343,2,118,23,2,2,610,
Sydney--Victoria/Sydney--Victoria,610,Sydney,86,230,0,61,10,0,0,387,
Sydney--Victoria/Sydney--Victoria,611,Sydney,120,185,1,37,3,2,3,351,
Sydney--Victoria/Sydney--Victoria,612,New Victoria,54,109,3,18,3,2,0,189,
Sydney--Victoria/Sydney--Victoria,613,New Waterford,101,169,6,54,4,4,4,342,
Sydney--Victoria/Sydney--Victoria,,Group 1/Groupe 1,15,89,3,99,9,17,1,233,732
Sydney--Victoria/Sydney--Victoria,,Group 2/Groupe 2,170,334,1,95,13,3,28,644,
