District,Poll Number,Poll Name,Romeo De La Pena,Russ Hiebert,Judy Higginbotham,H. Pummy Kaur,Pat Taylor,Rejected Ballots,Total Vote,Electors
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,24A,Surrey,4,78,66,35,0,0,183,299
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,24B,Surrey,2,73,41,19,0,0,135,205
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,25,Surrey,13,135,120,44,1,2,315,450
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,26,Surrey,9,95,47,27,2,2,182,304
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,27,Surrey,10,102,91,38,0,2,243,409
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,28,Surrey,15,142,102,44,1,0,304,474
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,29,Surrey,5,82,48,33,0,0,168,266
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,30,Surrey,11,103,64,32,3,0,213,372
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,31,Surrey,18,80,55,34,2,1,190,296
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,32,Surrey,20,89,50,53,2,0,214,360
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,33,Surrey,16,107,73,43,6,0,245,474
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,34,Surrey,16,116,73,56,1,0,262,413
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,35,Surrey,11,128,93,30,0,1,263,433
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,36,Surrey,8,130,75,34,0,1,248,420
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,37,Surrey,17,124,95,43,1,0,280,438
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,38,Surrey,15,102,77,42,4,1,241,370
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,39,Surrey,10,93,87,40,2,0,232,377
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,40,Surrey,23,136,71,55,3,1,289,485
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,41,Surrey,18,109,68,59,2,1,257,401
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,42,Surrey,19,86,58,58,3,2,226,420
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,43,Surrey,5,122,60,26,1,0,214,368
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,44,Surrey,15,88,47,26,2,0,178,324
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,45,Surrey,7,73,74,29,2,2,187,384
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,46,Surrey,13,88,79,16,2,0,198,299
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,47,Surrey,15,94,110,38,1,0,258,414
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,48,Surrey,25,106,116,57,1,1,306,400
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,49,Surrey,22,77,81,37,1,1,219,349
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,50,Surrey,20,131,116,29,0,1,297,461
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,51,Surrey,25,85,85,37,2,0,234,344
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,52,Surrey,14,60,67,27,1,0,169,243
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,53,Surrey,13,107,47,44,0,1,212,309
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,54,Surrey,14,104,101,24,0,0,243,411
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,55,Surrey,12,127,104,13,1,2,259,408
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,56,Surrey,13,99,79,21,3,0,215,317
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,57,Surrey,22,114,89,30,0,0,255,400
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,58,Surrey,2,93,94,8,3,0,200,289
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,59,Surrey,9,59,76,9,1,0,154,257
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,60,Surrey,19,83,94,20,0,0,216,367
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,61,Surrey,12,156,123,20,1,2,314,515
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,62A,Surrey,8,147,119,15,2,0,291,465
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,62B,Surrey,3,105,87,22,0,0,217,338
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,63,Surrey,13,127,129,31,0,0,300,458
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,64,Surrey,12,103,60,29,3,0,207,341
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,65,Surrey,11,95,107,13,0,0,226,305
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,66,Surrey,12,120,127,22,0,1,282,449
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,67,Surrey,7,100,68,40,0,0,215,323
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,68,Surrey,11,107,110,24,1,0,253,397
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,69,Surrey,17,95,75,32,2,0,221,397
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,70,Surrey,29,98,120,64,1,0,312,495
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,71,Surrey,15,85,58,29,1,1,189,313
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,72A,Surrey,15,133,150,32,1,0,331,469
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,72B,Surrey,14,101,134,22,1,0,272,376
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,73,Surrey,15,84,72,30,1,2,204,310
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,74,Surrey,13,72,61,38,1,1,186,264
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,75,Surrey,20,94,146,23,0,0,283,401
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,76,Surrey,16,93,135,31,0,0,275,413
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,77,Surrey,16,118,117,29,1,0,281,407
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,78,Surrey,22,87,117,39,0,1,266,381
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,79,Surrey,22,108,126,15,0,0,271,379
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,80,Surrey,13,89,105,31,0,0,238,355
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,81,Surrey,12,102,111,40,2,0,267,424
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,82,Surrey,14,79,45,18,0,0,156,253
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,83,Surrey,16,108,106,38,1,0,269,400
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,84,Surrey,20,92,116,22,1,0,251,408
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,85,Surrey,13,70,109,46,1,1,240,362
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,86,Surrey,5,105,128,23,2,0,263,357
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,87,Surrey,16,130,109,17,0,1,273,411
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,88,Surrey,8,123,103,12,0,1,247,444
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,89,Surrey,6,103,87,11,0,0,207,329
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,90,Surrey,9,129,138,16,0,1,293,417
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,91,Surrey,27,90,136,36,0,0,289,389
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,92,Surrey,15,134,101,25,1,0,276,435
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,93,Surrey,13,101,106,29,0,0,249,395
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,94,Surrey,8,110,121,20,0,0,259,382
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,95,Surrey,7,134,95,26,0,1,263,421
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,96,Surrey,11,127,104,17,5,0,264,432
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,97,Surrey,8,116,85,10,0,0,219,328
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,98,Surrey,6,41,47,8,0,1,103,153
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,99,Surrey,11,87,77,17,0,1,193,303
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,100,Surrey,13,149,108,30,1,2,303,466
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,101,Surrey,8,115,85,33,1,0,242,341
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,102,Surrey,8,78,105,42,0,1,234,323
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,103,Surrey,16,101,122,44,1,1,285,406
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,104,Surrey,25,100,108,47,0,1,281,426
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,105,Surrey,4,75,55,24,1,0,159,249
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,106,Surrey,13,61,60,26,1,0,161,269
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,107,Surrey,9,71,75,28,1,0,184,316
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,108,Surrey,6,73,55,20,0,1,155,247
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,109,Surrey,8,69,59,37,1,0,174,341
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,110,Surrey,5,59,60,33,1,0,158,310
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,111,Surrey,15,84,95,52,0,0,246,363
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,112,Surrey,1,61,72,15,2,0,151,246
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,113A,Surrey,6,106,93,15,1,0,221,336
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,113B,Surrey,7,95,92,18,1,3,216,300
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,114,Surrey,11,87,92,49,0,0,239,440
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,115,Surrey,14,50,63,28,1,0,156,258
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,116,Surrey,19,57,60,23,0,0,159,276
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,117,Surrey,16,83,72,54,3,0,228,373
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,118,Surrey,15,136,86,44,1,2,284,426
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,119A,Surrey,11,70,80,22,0,1,184,279
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,119B,Surrey,7,45,58,17,2,2,131,220
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,120,Surrey,9,59,54,31,2,0,155,246
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,121,Surrey,15,73,93,26,1,1,209,366
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,122,Surrey,16,81,89,37,1,0,224,430
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,123,Surrey,17,69,84,70,3,0,243,368
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,124,Surrey,18,63,72,88,1,0,242,390
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,125,Surrey,8,53,37,28,0,0,126,212
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,126,Surrey,15,57,67,35,1,2,177,315
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,127,Surrey,10,102,60,69,1,2,244,349
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,128,Surrey,3,84,63,39,2,1,192,309
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,129,Surrey,11,103,70,57,2,3,246,351
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,130A,Surrey,6,109,72,8,0,0,195,278
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,130B,Surrey,7,73,74,4,1,0,159,250
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,131A,Surrey,6,183,94,15,0,2,300,435
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,131B,Surrey,6,143,99,7,0,0,255,344
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,132,Surrey,3,137,92,9,0,0,241,375
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,133,Surrey,7,78,66,19,0,0,170,347
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,134,Surrey,13,115,82,29,1,0,240,396
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,135,Surrey,22,117,82,18,0,0,239,375
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,136,Surrey,5,54,58,21,1,0,139,189
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,137,Surrey,10,101,99,30,1,0,241,366
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,138,Surrey,15,83,64,35,0,0,197,321
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,139,Surrey,17,127,108,35,2,1,290,486
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,140,Surrey,9,75,42,11,3,0,140,241
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,141,Surrey,17,77,61,29,0,0,184,294
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,142,Surrey,19,73,62,40,3,1,198,309
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,143,Surrey,17,106,77,30,1,0,231,406
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,144,Surrey,21,115,73,25,1,2,237,433
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,145,Surrey,19,121,92,33,3,0,268,423
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,146,Surrey,15,64,70,31,2,0,182,296
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,147A,Surrey,4,43,29,11,0,0,87,168
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,147B,Mobile poll/Bureau itinérant,Merged with No. 504A,,,,,,,137
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,148,Surrey,8,54,56,15,0,0,133,205
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,149A,Surrey,16,73,86,35,0,0,210,328
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,149B,Surrey,5,59,75,26,1,0,166,289
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,150,Surrey,9,86,75,36,2,0,208,281
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,151,Surrey,10,128,144,40,2,0,324,437
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,152,Surrey,6,67,80,23,1,0,177,314
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,153,Surrey,11,91,78,27,2,1,210,326
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,154,Surrey,19,110,126,35,2,1,293,410
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,155,Surrey,6,68,91,38,3,1,207,335
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,156,Surrey,5,11,13,28,0,0,57,108
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,157,White Rock,20,65,81,40,2,2,210,323
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,158,White Rock,12,96,83,29,0,1,221,353
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,159,White Rock,19,85,72,26,0,2,204,329
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,160,White Rock,22,92,78,29,3,0,224,361
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,161,White Rock,17,100,92,33,1,0,243,391
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,162,White Rock,14,79,81,23,1,0,198,314
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,163A,White Rock,9,72,89,17,0,0,187,325
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,163B,White Rock,14,71,62,16,0,1,164,282
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,164,White Rock,17,66,82,38,0,1,204,364
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,165,White Rock,9,101,71,20,4,4,209,295
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,166,White Rock,13,91,92,46,0,0,242,412
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,167,White Rock,7,62,63,21,1,0,154,276
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,168,White Rock,9,75,72,54,0,0,210,402
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,169,White Rock,8,74,74,20,1,0,177,271
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,170,White Rock,13,79,76,38,2,1,209,410
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,171,White Rock,11,50,69,33,0,2,165,308
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,172,White Rock,14,71,67,26,1,2,181,341
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,173,White Rock,8,86,106,27,0,0,227,391
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,174,White Rock,16,105,96,38,2,1,258,441
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,175,White Rock,16,76,125,34,0,1,252,448
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,176,White Rock,6,81,78,44,1,0,210,397
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,177,White Rock,17,76,82,39,3,0,217,334
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,178,White Rock,7,90,64,32,0,1,194,432
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,179,White Rock,11,83,90,47,0,0,231,382
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,180,White Rock,8,69,70,26,1,0,174,329
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,181,White Rock,10,68,71,18,1,0,168,285
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,182,White Rock,28,63,95,39,2,0,227,380
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,183,White Rock,19,91,98,49,1,0,258,408
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,184,White Rock,33,84,74,55,1,1,248,348
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,185,White Rock,29,100,103,40,1,0,273,406
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,186,White Rock,18,79,71,40,2,0,210,330
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,187A,White Rock,9,72,71,43,3,0,198,304
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,187B,White Rock,5,57,72,34,0,1,169,271
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,188,White Rock,16,63,76,23,2,0,180,330
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,189,White Rock,15,80,97,48,3,0,243,419
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,190,White Rock,18,86,105,26,0,0,235,334
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,191A,White Rock,19,64,69,27,0,0,179,298
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,191B,Mobile poll/Bureau itinérant,Merged with No. 503,,,,,,,53
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,192,White Rock,21,54,74,40,1,0,190,352
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,193,White Rock,12,69,82,39,0,1,203,379
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,194,White Rock,7,87,113,41,1,1,250,439
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,400,Surrey,13,84,74,40,0,0,211,466
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,401,Mobile poll/Bureau itinérant,Merged with No. 502B,,,,,,,51
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,500,Mobile poll/Bureau itinérant,6,51,55,14,2,2,130,198
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,501,Mobile poll/Bureau itinérant,4,66,65,14,2,0,151,220
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,502A,Mobile poll/Bureau itinérant,2,18,22,10,3,4,59,116
