District,Poll Number,Poll Name,Lawrence MacAulay,Dave MacKinnon,Peter McQuaid,Jeremy Stiles,Rejected Ballots,Total Vote,Electors
Cardigan/Cardigan,30,Georgetown North,98,23,114,4,0,239,358
Cardigan/Cardigan,31,Georgetown South,117,22,115,4,5,263,372
Cardigan/Cardigan,32,Lower Montague,144,28,65,6,1,244,363
Cardigan/Cardigan,33,Brudenell,99,19,48,0,0,166,263
Cardigan/Cardigan,34,Montague East,67,22,51,2,3,145,290
Cardigan/Cardigan,35,Montague Southeast,152,24,70,7,1,254,403
Cardigan/Cardigan,36,Montague Southwest,105,22,58,4,0,189,385
Cardigan/Cardigan,37,Montague West,92,18,57,9,0,176,340
Cardigan/Cardigan,38,Mellish Road,135,21,74,5,2,237,392
Cardigan/Cardigan,39,New Perth,104,18,59,4,2,187,250
Cardigan/Cardigan,40,Victoria Cross,130,25,103,6,2,266,396
Cardigan/Cardigan,41,Kilmuir,168,27,110,2,4,311,399
Cardigan/Cardigan,42,Sturgeon,107,14,47,2,1,171,275
Cardigan/Cardigan,43,Pembroke,134,10,62,7,0,213,353
Cardigan/Cardigan,44,Peters Road,91,10,66,7,2,176,252
Cardigan/Cardigan,45,Milltown Cross,94,15,58,9,1,177,267
Cardigan/Cardigan,46,Johnstons River,129,23,105,11,5,273,439
Cardigan/Cardigan,47,Watervale,118,22,108,8,0,256,369
Cardigan/Cardigan,48,Avondale,163,22,134,21,4,344,473
Cardigan/Cardigan,49,Mermaid,179,17,77,13,3,289,431
Cardigan/Cardigan,50,Hazelbrook,135,37,86,12,3,273,428
Cardigan/Cardigan,51,Fullertons Marsh,129,46,70,17,0,262,510
Cardigan/Cardigan,52,Stratford,156,28,75,6,3,268,376
Cardigan/Cardigan,53,Stratford,84,19,36,3,1,143,270
Cardigan/Cardigan,54,Stratford,129,42,100,11,4,286,439
Cardigan/Cardigan,55,Stratford,150,43,81,12,2,288,487
Cardigan/Cardigan,56A,Stratford,120,30,82,10,2,244,350
Cardigan/Cardigan,56B,Stratford,112,22,66,11,0,211,317
Cardigan/Cardigan,57,Stratford,114,17,49,7,1,188,267
Cardigan/Cardigan,58,Stratford,137,35,71,17,0,260,352
Cardigan/Cardigan,59,Stratford,116,16,60,14,0,206,290
Cardigan/Cardigan,60A,Stratford,117,32,76,17,3,245,321
Cardigan/Cardigan,60B,Stratford,110,25,68,8,1,212,312
Cardigan/Cardigan,61,Stratford,94,23,50,13,1,181,275
Cardigan/Cardigan,62,Stratford,170,32,75,18,1,296,399
Cardigan/Cardigan,63,Stratford,100,26,69,12,0,207,303
Cardigan/Cardigan,64,Alexandra,133,25,73,14,2,247,313
Cardigan/Cardigan,65,Village Green,174,30,80,12,0,296,440
Cardigan/Cardigan,66,Cherry Valley,120,19,73,11,0,223,293
Cardigan/Cardigan,67,Kinross,125,29,83,9,2,248,326
Cardigan/Cardigan,68,Iona,145,32,153,19,6,355,495
Cardigan/Cardigan,69,Point Prim,134,33,57,9,2,235,335
Cardigan/Cardigan,70,Pinette,102,14,98,6,1,221,294
Cardigan/Cardigan,71,Wood Islands,117,51,105,11,2,286,409
Cardigan/Cardigan,72,Dover,119,27,84,9,1,240,361
Cardigan/Cardigan,73,Murray River South,102,28,78,8,2,218,348
Cardigan/Cardigan,74,Murray Harbour,93,26,81,1,2,203,327
Cardigan/Cardigan,75,Beach Point,98,12,97,6,2,215,343
Cardigan/Cardigan,76,High Bank,106,22,55,9,1,193,284
Cardigan/Cardigan,500,Mobile poll/Bureau itinérant,20,3,16,0,0,39,76
Cardigan/Cardigan,501,Mobile poll/Bureau itinérant,62,4,37,0,2,105,162
Cardigan/Cardigan,600,Souris,203,29,122,3,2,359,
Cardigan/Cardigan,601,Mount Stewart,112,24,83,2,0,221,
Cardigan/Cardigan,602,Montague,213,30,173,12,0,428,
Cardigan/Cardigan,603,Stratford,307,55,235,24,1,622,
Cardigan/Cardigan,604,Wood Islands,61,5,35,1,0,102,
Cardigan/Cardigan,,Group 1/Groupe 1,35,5,33,1,0,74,161
Cardigan/Cardigan,,Group 2/Groupe 2,186,20,128,7,1,342,
