District,Poll Number,Poll Name,Bob Besner,Aisha Coghlan,Ron Gray,Rollie L. Keith,Dorothy-Jean O'Donnell,Norm Siefken,Chuck Strahl,Rejected Ballots,Total Vote,Electors
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,56,Silver Creek,34,2,5,54,0,1,86,0,182,355
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,57,Silver Creek,19,4,4,56,1,6,83,0,173,334
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,58,Silver Creek,29,12,1,76,0,4,73,5,200,429
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,59,Sunshine Valley,Void,,,,,,,,,
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,60,Laidlaw,12,1,0,19,0,0,31,0,63,145
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,61A,Popkum,57,8,7,46,0,3,145,0,266,438
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,61B,Popkum,44,6,7,52,1,3,172,1,286,419
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,62,Chilliwack,34,9,6,24,0,1,139,0,213,363
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,63,Chilliwack,52,12,5,43,0,1,159,0,272,404
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,64,Chilliwack,68,13,5,33,2,1,150,0,272,411
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,65,Chilliwack,61,9,8,38,0,1,167,1,285,454
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,66A,Chilliwack,46,0,5,25,0,1,86,0,163,256
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,66B,Chilliwack,40,3,0,28,0,0,91,0,162,261
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,67,Chilliwack,57,9,2,38,0,1,172,0,279,429
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,68A,Chilliwack,47,4,2,31,0,1,149,0,234,358
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,68B,Chilliwack,46,2,5,30,0,1,139,0,223,365
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,69,Chilliwack,45,3,6,55,0,2,111,0,222,455
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,70,Chilliwack,39,1,7,50,0,1,129,0,227,406
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,71A,Chilliwack,54,7,2,39,0,2,120,0,224,377
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,71B,Chilliwack,53,6,4,32,2,1,128,0,226,368
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,72,Chilliwack,38,1,3,41,0,0,52,1,136,232
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,73,Chilliwack,31,6,3,42,0,3,84,0,169,368
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,74,Chilliwack,36,6,5,53,0,3,88,0,191,450
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,75,Chilliwack,47,2,2,52,0,6,108,0,217,482
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,76A,Chilliwack,29,3,1,27,0,2,98,1,161,277
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,76B,Chilliwack,16,3,4,34,0,2,98,1,158,278
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,77,Chilliwack,48,6,3,49,0,3,172,1,282,474
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,78,Chilliwack,37,3,4,45,0,0,85,0,174,266
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,79,Chilliwack,43,10,9,47,0,2,164,1,276,457
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,80,Chilliwack,30,4,4,52,1,1,175,0,267,455
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,81,Chilliwack,71,6,2,33,0,1,126,0,239,383
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,82,Chilliwack,56,4,14,50,0,2,139,1,266,458
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,83,Chilliwack,48,3,6,62,0,4,166,0,289,497
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,84A,Chilliwack,36,4,4,25,0,2,107,1,179,269
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,84B,Chilliwack,29,5,4,25,0,1,82,0,146,264
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,85,Chilliwack,50,8,4,50,0,3,138,1,254,458
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,86,Chilliwack,19,3,3,19,0,2,92,0,138,302
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,87A,Chilliwack,37,2,1,45,0,1,106,0,192,336
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,87B,Chilliwack,32,5,4,33,0,0,89,0,163,327
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,88,Chilliwack,35,1,8,44,0,6,127,0,221,407
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,89,Chilliwack,81,6,1,42,0,0,162,0,292,449
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,90A,Chilliwack,45,2,6,26,0,1,133,0,213,323
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,90B,Chilliwack,53,7,3,34,1,4,114,1,217,329
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,90C,Mobile poll/Bureau itinérant,Merged with No. 124B,,,,,,,,,13
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,91,Chilliwack,44,4,2,40,0,1,139,0,230,351
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,92,Chilliwack,52,2,2,36,0,2,142,1,237,404
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,93A,Chilliwack,30,5,8,21,1,0,104,0,169,281
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,93B,Chilliwack,40,3,3,22,0,2,87,0,157,297
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,94,Chilliwack,26,4,18,28,0,2,181,0,259,492
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,95A,Chilliwack,22,4,8,19,1,4,94,0,152,275
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,95B,Chilliwack,33,9,13,24,1,3,101,1,185,273
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,96,Chilliwack,29,3,23,38,0,4,151,0,248,457
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,97,Chilliwack,22,4,33,35,0,0,170,0,264,442
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,98,Chilliwack,20,9,22,49,0,4,165,0,269,476
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,99,Chilliwack,32,4,19,38,0,2,174,0,269,473
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,100,Chilliwack,10,1,15,12,0,2,233,0,273,445
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,101,Chilliwack,55,2,31,19,0,2,233,0,342,484
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,102,Chilliwack,41,8,14,42,0,4,190,1,300,433
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,103,Chilliwack,31,3,4,45,1,2,132,0,218,472
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,104,Chilliwack,24,6,4,38,0,2,75,0,149,378
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,105,Chilliwack,62,8,7,23,0,0,180,2,282,457
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,106,Chilliwack,47,3,8,27,0,0,135,0,220,478
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,107,Chilliwack,32,3,3,26,0,0,107,0,171,319
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,108,Chilliwack,46,5,2,33,0,3,131,3,223,387
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,109,Chilliwack,53,7,3,45,0,1,129,0,238,405
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,110,Chilliwack,37,11,7,46,0,5,84,0,190,384
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,111,Chilliwack,21,5,7,46,0,1,90,0,170,447
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,112,Chilliwack,33,5,3,26,0,0,141,0,208,330
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,113,Chilliwack,54,4,8,42,1,2,172,1,284,434
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,114,Chilliwack,39,5,3,34,0,3,116,0,200,397
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,115,Chilliwack,34,9,3,37,1,2,150,0,236,370
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,116,Chilliwack,36,8,7,33,0,2,126,1,213,365
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,117,Chilliwack,22,8,8,44,0,3,120,1,206,393
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,118,Chilliwack,28,3,10,52,0,1,120,0,214,336
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,119,Chilliwack,46,3,7,38,0,1,119,0,214,386
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,120,Chilliwack,26,1,3,33,0,1,67,0,131,308
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,121,Chilliwack,25,4,5,26,0,6,72,0,138,304
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,122,Chilliwack,39,4,1,46,0,12,100,1,203,436
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,123,Chilliwack,30,6,6,21,0,1,86,1,151,302
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,124A,Chilliwack,48,2,4,44,0,2,119,0,219,365
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,124B,Mobile poll/Bureau itinérant,35,0,2,9,0,1,86,3,136,165
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,125,Chilliwack,28,5,6,54,1,3,119,1,217,407
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,126,Chilliwack,39,7,1,47,0,4,87,0,185,365
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,127,Chilliwack,34,3,3,39,1,6,88,0,174,351
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,128A,Chilliwack,44,4,3,36,0,3,80,0,170,292
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,128B,Chilliwack,42,5,3,34,1,0,55,0,140,282
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,129,Chilliwack,26,1,11,24,0,2,103,0,167,339
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,130,Chilliwack,41,12,7,44,0,7,88,2,201,413
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,131,Chilliwack,23,2,5,41,0,6,67,1,145,387
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,132,Chilliwack,52,4,4,53,0,2,71,0,186,378
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,133,Chilliwack,29,3,2,41,0,4,98,0,177,350
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,134,Chilliwack,34,9,2,54,0,4,106,0,209,411
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,135,Chilliwack,50,7,11,49,0,3,104,1,225,366
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,136,Chilliwack,20,4,8,27,0,2,83,0,144,302
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,137,Chilliwack,16,3,4,35,0,1,49,1,109,287
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,138,Chilliwack,19,2,3,62,0,2,54,0,142,315
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,139,Chilliwack,37,6,11,45,1,3,139,1,243,395
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,140,Chilliwack,41,10,7,24,0,1,140,0,223,346
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,141,Chilliwack,22,8,2,52,0,3,145,0,232,371
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,142,Chilliwack,33,4,8,36,0,2,125,0,208,398
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,143,Chilliwack,32,4,4,38,0,3,122,1,204,319
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,144,Chilliwack,34,11,6,50,0,2,152,0,255,388
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,145,Chilliwack,48,5,5,54,1,0,175,0,288,467
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,146,Chilliwack,37,2,8,30,1,1,94,1,174,305
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,147,Chilliwack,22,1,0,16,0,1,71,0,111,216
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,148,Chilliwack,20,6,3,33,3,4,43,0,112,242
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,149,Chilliwack,61,6,8,51,0,4,159,0,289,480
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,150,Chilliwack,41,5,9,48,0,1,105,0,209,423
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,151A,Chilliwack,18,6,5,29,1,2,63,0,124,262
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,151B,Chilliwack,19,1,6,25,0,6,83,1,141,268
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,152,Chilliwack,27,6,5,32,1,3,150,2,226,412
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,153,Chilliwack,62,6,4,48,0,7,126,0,253,430
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,154,Chilliwack,38,1,17,37,0,1,156,0,250,433
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,155A,Chilliwack,49,2,2,22,0,0,110,0,185,298
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,155B,Chilliwack,36,2,6,33,0,1,137,0,215,314
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,156,Dewdney,34,7,1,68,0,6,83,1,200,399
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,157,Dewdney,13,0,0,9,0,0,31,0,53,100
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,158,Dewdney,26,5,5,26,0,2,83,0,147,253
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,159,Nicomen,49,7,3,64,2,6,114,0,245,417
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,160A,Deroche,29,7,2,56,1,3,60,0,158,271
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,160B,Deroche,29,10,4,67,1,4,46,0,161,273
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,161,Lake Errock,30,9,1,56,0,1,58,0,155,342
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,162,Chilliwack,33,8,18,33,0,3,170,0,265,444
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,163,Chilliwack,39,4,18,23,0,0,220,0,304,459
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,164,Chilliwack,30,6,13,17,0,2,147,0,215,344
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,165,Chilliwack,43,10,5,43,1,3,161,1,267,464
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,166,Chilliwack,66,10,11,52,0,0,182,0,321,508
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,167,Chilliwack,57,7,13,57,0,2,163,0,299,461
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,168A,Chilliwack,30,2,4,30,0,0,107,0,173,267
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,168B,Chilliwack,38,2,1,24,0,3,100,0,168,268
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,169A,Chilliwack,31,3,3,23,0,1,112,0,173,319
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,169B,Chilliwack,28,3,8,25,0,4,153,0,221,326
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,170,Chilliwack,33,5,2,51,0,6,121,0,218,360
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,171,Chilliwack,28,6,5,20,1,3,94,1,158,298
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,172,Chilliwack,31,7,11,39,1,4,165,0,258,403
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,173,Chilliwack,28,6,9,45,0,0,163,0,251,416
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,174,Chilliwack,30,9,8,30,0,3,155,0,235,384
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,175,Chilliwack,20,9,2,31,1,4,209,0,276,444
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,176,Cultus Lake,47,8,1,64,1,1,101,1,224,342
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,177,Cultus Lake,14,3,0,13,0,1,7,0,38,89
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,178A,Cultus Lake,27,9,2,47,0,6,88,1,180,317
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,178B,Cultus Lake,32,8,7,42,0,1,85,0,175,303
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,179,Lindell Beach,65,12,3,35,0,0,132,0,247,444
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,180,Slesse Park,49,7,4,42,0,3,155,1,261,388
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,181,Slesse Park,11,6,2,22,1,3,74,0,119,189
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,182,Slesse Park,48,14,6,54,0,4,120,1,247,406
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,500,Mobile poll/Bureau itinérant,10,3,4,10,2,2,17,0,48,52
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,501,Mobile poll/Bureau itinérant,7,3,3,8,3,0,15,1,40,118
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,502,Mobile poll/Bureau itinérant,12,0,5,14,1,0,57,4,93,125
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,503,Mobile poll/Bureau itinérant,16,2,2,9,3,0,45,2,79,102
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,504,Mobile poll/Bureau itinérant,14,3,3,8,0,0,35,1,64,166
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,505,Mobile poll/Bureau itinérant,4,0,0,9,0,0,4,0,17,17
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,600,Squamish--Lillooet West,13,11,0,27,1,3,22,1,78,
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,601,Squamish--Lillooet East,32,6,4,94,0,4,123,0,263,
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,602,Thompson--Nicola West,26,4,0,27,0,1,100,0,158,
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,603,Kent,41,8,9,41,0,3,175,0,277,
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,604,Boston Bar,14,2,1,18,0,1,38,0,74,
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,605,Hope,40,7,6,75,0,2,134,1,265,
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,606,Chilliwack,55,13,7,52,1,4,234,0,366,
Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon,607,Chilliwack,102,7,9,69,0,1,334,2,524,
