District,Poll Number,Poll Name,Barry Bell,Gulzar Cheema,Nina Grewal,Joseph Theriault,David Walters,Rejected Ballots,Total Vote,Electors
Fleetwood--Port Kells/Fleetwood--Port Kells,36,Surrey,75,61,51,0,22,0,209,417
Fleetwood--Port Kells/Fleetwood--Port Kells,37,Surrey,33,45,56,1,12,2,149,360
Fleetwood--Port Kells/Fleetwood--Port Kells,38,Surrey,64,68,63,2,14,1,212,432
Fleetwood--Port Kells/Fleetwood--Port Kells,39,Surrey,79,75,63,2,14,2,235,421
Fleetwood--Port Kells/Fleetwood--Port Kells,40,Surrey,71,66,98,0,19,0,254,460
Fleetwood--Port Kells/Fleetwood--Port Kells,41,Surrey,64,52,72,0,14,1,203,370
Fleetwood--Port Kells/Fleetwood--Port Kells,42,Surrey,66,49,57,0,16,4,192,343
Fleetwood--Port Kells/Fleetwood--Port Kells,43,Surrey,78,80,69,0,11,0,238,471
Fleetwood--Port Kells/Fleetwood--Port Kells,44,Surrey,76,96,74,0,12,1,259,515
Fleetwood--Port Kells/Fleetwood--Port Kells,45,Surrey,63,54,51,0,15,1,184,291
Fleetwood--Port Kells/Fleetwood--Port Kells,46,Surrey,89,87,88,1,13,5,283,472
Fleetwood--Port Kells/Fleetwood--Port Kells,47A,Surrey,53,40,52,0,7,0,152,263
Fleetwood--Port Kells/Fleetwood--Port Kells,47B,Surrey,39,42,42,0,9,1,133,261
Fleetwood--Port Kells/Fleetwood--Port Kells,48,Surrey,73,86,161,1,18,3,342,495
Fleetwood--Port Kells/Fleetwood--Port Kells,49,Surrey,75,58,67,17,1,2,220,438
Fleetwood--Port Kells/Fleetwood--Port Kells,50,Surrey,59,70,112,1,10,4,256,486
Fleetwood--Port Kells/Fleetwood--Port Kells,51,Surrey,40,36,52,1,7,0,136,272
Fleetwood--Port Kells/Fleetwood--Port Kells,52,Surrey,70,50,75,0,24,3,222,439
Fleetwood--Port Kells/Fleetwood--Port Kells,53A,Surrey,51,64,80,0,5,0,200,352
Fleetwood--Port Kells/Fleetwood--Port Kells,53B,Surrey,64,76,65,0,18,3,226,375
Fleetwood--Port Kells/Fleetwood--Port Kells,54,Surrey,65,103,106,0,25,0,299,494
Fleetwood--Port Kells/Fleetwood--Port Kells,55,Surrey,70,53,44,0,11,1,179,284
Fleetwood--Port Kells/Fleetwood--Port Kells,56,Surrey,24,33,62,0,6,1,126,253
Fleetwood--Port Kells/Fleetwood--Port Kells,57,Surrey,31,77,95,0,14,1,218,406
Fleetwood--Port Kells/Fleetwood--Port Kells,58,Surrey,44,62,45,1,10,1,163,244
Fleetwood--Port Kells/Fleetwood--Port Kells,59,Surrey,34,46,54,1,12,1,148,229
Fleetwood--Port Kells/Fleetwood--Port Kells,60,Surrey,13,21,36,0,8,0,78,149
Fleetwood--Port Kells/Fleetwood--Port Kells,61A,Surrey,26,50,67,0,4,0,147,287
Fleetwood--Port Kells/Fleetwood--Port Kells,61B,Surrey,30,62,67,0,18,1,178,297
Fleetwood--Port Kells/Fleetwood--Port Kells,62,Surrey,40,80,85,0,13,0,218,422
Fleetwood--Port Kells/Fleetwood--Port Kells,63A,Surrey,32,72,89,0,13,1,207,378
Fleetwood--Port Kells/Fleetwood--Port Kells,63B,Surrey,44,59,97,1,9,0,210,365
Fleetwood--Port Kells/Fleetwood--Port Kells,64,Surrey,41,56,47,0,14,1,159,293
Fleetwood--Port Kells/Fleetwood--Port Kells,65,Surrey,47,40,64,0,9,0,160,328
Fleetwood--Port Kells/Fleetwood--Port Kells,66,Surrey,41,49,91,0,18,0,199,391
Fleetwood--Port Kells/Fleetwood--Port Kells,67,Surrey,26,35,47,1,13,0,122,239
Fleetwood--Port Kells/Fleetwood--Port Kells,68,Surrey,44,44,103,0,26,0,217,437
Fleetwood--Port Kells/Fleetwood--Port Kells,69,Surrey,23,73,124,2,22,2,246,476
Fleetwood--Port Kells/Fleetwood--Port Kells,70,Surrey,31,56,59,1,22,0,169,295
Fleetwood--Port Kells/Fleetwood--Port Kells,71,Surrey,46,35,63,0,13,0,157,277
Fleetwood--Port Kells/Fleetwood--Port Kells,72,Surrey,33,52,50,3,16,0,154,256
Fleetwood--Port Kells/Fleetwood--Port Kells,73A,Surrey,44,64,80,0,8,0,196,317
Fleetwood--Port Kells/Fleetwood--Port Kells,73B,Surrey,50,44,113,1,16,0,224,346
Fleetwood--Port Kells/Fleetwood--Port Kells,74,Surrey,22,16,34,0,6,0,78,155
Fleetwood--Port Kells/Fleetwood--Port Kells,75,Surrey,43,46,123,0,16,1,229,434
Fleetwood--Port Kells/Fleetwood--Port Kells,76,Surrey,106,50,55,0,15,0,226,429
Fleetwood--Port Kells/Fleetwood--Port Kells,77,Surrey,68,67,61,0,16,1,213,382
Fleetwood--Port Kells/Fleetwood--Port Kells,78,Surrey,87,63,71,2,11,5,239,426
Fleetwood--Port Kells/Fleetwood--Port Kells,79,Surrey,41,85,50,2,8,0,186,411
Fleetwood--Port Kells/Fleetwood--Port Kells,80,Surrey,20,41,39,0,4,1,105,250
Fleetwood--Port Kells/Fleetwood--Port Kells,81,Surrey,72,91,72,0,7,1,243,432
Fleetwood--Port Kells/Fleetwood--Port Kells,82,Surrey,107,69,97,2,24,0,299,520
Fleetwood--Port Kells/Fleetwood--Port Kells,83,Surrey,52,44,39,0,11,0,146,276
Fleetwood--Port Kells/Fleetwood--Port Kells,84,Surrey,53,40,89,0,4,1,187,325
Fleetwood--Port Kells/Fleetwood--Port Kells,85,Surrey,65,75,66,17,1,0,224,514
Fleetwood--Port Kells/Fleetwood--Port Kells,86,Surrey,42,27,24,0,9,0,102,187
Fleetwood--Port Kells/Fleetwood--Port Kells,87,Surrey,63,50,50,1,11,1,176,368
Fleetwood--Port Kells/Fleetwood--Port Kells,88,Surrey,44,70,76,0,9,2,201,400
Fleetwood--Port Kells/Fleetwood--Port Kells,89A,Surrey,38,53,41,0,10,0,142,268
Fleetwood--Port Kells/Fleetwood--Port Kells,89B,Surrey,39,54,43,0,6,2,144,266
Fleetwood--Port Kells/Fleetwood--Port Kells,90,Surrey,68,104,67,1,10,3,253,512
Fleetwood--Port Kells/Fleetwood--Port Kells,91A,Surrey,39,53,58,0,10,0,160,289
Fleetwood--Port Kells/Fleetwood--Port Kells,91B,Surrey,29,56,59,0,14,2,160,286
Fleetwood--Port Kells/Fleetwood--Port Kells,92,Surrey,14,29,39,0,4,0,86,182
Fleetwood--Port Kells/Fleetwood--Port Kells,93,Surrey,64,92,57,1,8,0,222,501
Fleetwood--Port Kells/Fleetwood--Port Kells,94,Surrey,15,18,12,0,5,0,50,80
Fleetwood--Port Kells/Fleetwood--Port Kells,95A,Surrey,52,73,87,0,13,2,227,327
Fleetwood--Port Kells/Fleetwood--Port Kells,95B,Surrey,50,71,62,1,12,1,197,312
Fleetwood--Port Kells/Fleetwood--Port Kells,96,Surrey,57,83,98,1,16,1,256,369
Fleetwood--Port Kells/Fleetwood--Port Kells,97,Surrey,64,48,54,0,14,1,181,305
Fleetwood--Port Kells/Fleetwood--Port Kells,98,Surrey,35,42,55,1,9,1,143,245
Fleetwood--Port Kells/Fleetwood--Port Kells,99A,Surrey,47,51,33,0,6,1,138,290
Fleetwood--Port Kells/Fleetwood--Port Kells,99B,Surrey,62,31,33,0,6,0,132,274
Fleetwood--Port Kells/Fleetwood--Port Kells,100,Surrey,29,20,27,0,8,2,86,221
Fleetwood--Port Kells/Fleetwood--Port Kells,101,Surrey,47,52,43,1,8,0,151,359
Fleetwood--Port Kells/Fleetwood--Port Kells,102,Surrey,42,91,56,0,7,1,197,334
Fleetwood--Port Kells/Fleetwood--Port Kells,103,Surrey,62,140,77,1,6,1,287,512
Fleetwood--Port Kells/Fleetwood--Port Kells,104,Surrey,77,94,61,0,10,0,242,472
Fleetwood--Port Kells/Fleetwood--Port Kells,105,Surrey,83,77,53,1,8,3,225,434
Fleetwood--Port Kells/Fleetwood--Port Kells,106,Surrey,78,58,61,1,9,0,207,387
Fleetwood--Port Kells/Fleetwood--Port Kells,107,Surrey,71,64,80,0,16,1,232,476
Fleetwood--Port Kells/Fleetwood--Port Kells,108,Surrey,81,44,47,3,22,2,199,331
Fleetwood--Port Kells/Fleetwood--Port Kells,109,Surrey,61,44,62,3,20,0,190,351
Fleetwood--Port Kells/Fleetwood--Port Kells,110A,Surrey,47,71,43,0,6,1,168,313
Fleetwood--Port Kells/Fleetwood--Port Kells,110B,Surrey,44,48,57,2,9,1,161,302
Fleetwood--Port Kells/Fleetwood--Port Kells,111,Surrey,24,47,58,1,21,2,153,251
Fleetwood--Port Kells/Fleetwood--Port Kells,112,Surrey,72,88,63,2,10,0,235,448
Fleetwood--Port Kells/Fleetwood--Port Kells,113,Surrey,47,92,84,2,8,2,235,423
Fleetwood--Port Kells/Fleetwood--Port Kells,114,Surrey,50,47,34,2,5,1,139,315
Fleetwood--Port Kells/Fleetwood--Port Kells,115,Surrey,61,97,60,1,19,0,238,491
Fleetwood--Port Kells/Fleetwood--Port Kells,116,Surrey,62,64,73,1,13,1,214,475
Fleetwood--Port Kells/Fleetwood--Port Kells,117,Surrey,88,44,68,0,19,2,221,424
Fleetwood--Port Kells/Fleetwood--Port Kells,118,Surrey,54,18,51,0,5,1,129,235
Fleetwood--Port Kells/Fleetwood--Port Kells,119,Surrey,111,38,53,0,15,1,218,427
Fleetwood--Port Kells/Fleetwood--Port Kells,120,Surrey,77,49,67,2,15,4,214,372
Fleetwood--Port Kells/Fleetwood--Port Kells,121A,Surrey,62,25,24,0,8,0,119,276
Fleetwood--Port Kells/Fleetwood--Port Kells,121B,Surrey,60,16,41,0,20,0,137,286
Fleetwood--Port Kells/Fleetwood--Port Kells,121C,Mobile poll/Bureau itinérant,Merged with No. 500,,,,,,,97
Fleetwood--Port Kells/Fleetwood--Port Kells,122,Surrey,87,66,82,0,20,2,257,499
Fleetwood--Port Kells/Fleetwood--Port Kells,123,Surrey,49,29,50,1,6,2,137,304
Fleetwood--Port Kells/Fleetwood--Port Kells,124,Surrey,35,26,29,1,13,0,104,228
Fleetwood--Port Kells/Fleetwood--Port Kells,125,Surrey,86,29,63,1,12,2,193,352
Fleetwood--Port Kells/Fleetwood--Port Kells,126,Surrey,117,44,90,0,25,0,276,498
Fleetwood--Port Kells/Fleetwood--Port Kells,127,Surrey,78,55,55,0,14,0,202,448
Fleetwood--Port Kells/Fleetwood--Port Kells,128A,Surrey,41,48,39,0,13,3,144,271
Fleetwood--Port Kells/Fleetwood--Port Kells,128B,Surrey,46,35,39,1,14,0,135,292
Fleetwood--Port Kells/Fleetwood--Port Kells,129,Surrey,97,54,102,0,17,0,270,517
Fleetwood--Port Kells/Fleetwood--Port Kells,130,Surrey,72,54,85,3,23,1,238,432
Fleetwood--Port Kells/Fleetwood--Port Kells,131,Surrey,53,42,88,0,18,3,204,388
Fleetwood--Port Kells/Fleetwood--Port Kells,132,Surrey,55,95,57,1,8,3,219,489
Fleetwood--Port Kells/Fleetwood--Port Kells,133A,Surrey,45,80,46,2,7,1,181,312
Fleetwood--Port Kells/Fleetwood--Port Kells,133B,Surrey,38,59,46,0,4,2,149,283
Fleetwood--Port Kells/Fleetwood--Port Kells,134,Surrey,51,121,129,2,15,1,319,448
Fleetwood--Port Kells/Fleetwood--Port Kells,135,Surrey,86,108,60,1,16,1,272,467
Fleetwood--Port Kells/Fleetwood--Port Kells,136,Surrey,84,95,97,1,24,0,301,509
Fleetwood--Port Kells/Fleetwood--Port Kells,137,Surrey,61,35,57,0,8,4,165,316
Fleetwood--Port Kells/Fleetwood--Port Kells,138,Surrey,76,24,61,2,7,0,170,358
Fleetwood--Port Kells/Fleetwood--Port Kells,139,Surrey,50,36,31,0,8,0,125,254
Fleetwood--Port Kells/Fleetwood--Port Kells,140,Surrey,84,45,71,1,17,1,219,410
Fleetwood--Port Kells/Fleetwood--Port Kells,141,Surrey,37,41,53,3,6,0,140,251
Fleetwood--Port Kells/Fleetwood--Port Kells,142,Surrey,78,97,124,1,14,4,318,483
Fleetwood--Port Kells/Fleetwood--Port Kells,143,Surrey,87,46,65,3,15,2,218,417
Fleetwood--Port Kells/Fleetwood--Port Kells,144,Surrey,64,42,37,0,18,0,161,313
Fleetwood--Port Kells/Fleetwood--Port Kells,145,Surrey,101,51,78,2,10,1,243,434
Fleetwood--Port Kells/Fleetwood--Port Kells,146,Surrey,95,47,88,0,6,1,237,445
Fleetwood--Port Kells/Fleetwood--Port Kells,147,Surrey,59,81,73,2,13,4,232,474
Fleetwood--Port Kells/Fleetwood--Port Kells,148A,Surrey,38,29,50,0,10,1,128,246
Fleetwood--Port Kells/Fleetwood--Port Kells,148B,Surrey,45,25,57,2,7,0,136,281
Fleetwood--Port Kells/Fleetwood--Port Kells,149,Surrey,86,38,68,0,5,0,197,402
Fleetwood--Port Kells/Fleetwood--Port Kells,150,Surrey,45,23,66,1,3,1,139,276
Fleetwood--Port Kells/Fleetwood--Port Kells,151,Surrey,40,32,55,0,10,0,137,253
Fleetwood--Port Kells/Fleetwood--Port Kells,152A,Surrey,42,53,60,2,5,0,162,310
Fleetwood--Port Kells/Fleetwood--Port Kells,152B,Surrey,48,52,51,1,7,1,160,323
Fleetwood--Port Kells/Fleetwood--Port Kells,153,Surrey,81,70,74,2,13,1,241,486
Fleetwood--Port Kells/Fleetwood--Port Kells,154,Surrey,74,97,80,0,9,0,260,515
Fleetwood--Port Kells/Fleetwood--Port Kells,155,Surrey,62,50,84,1,13,1,211,368
Fleetwood--Port Kells/Fleetwood--Port Kells,156,Surrey,54,97,98,0,7,0,256,382
Fleetwood--Port Kells/Fleetwood--Port Kells,157,Surrey,42,123,103,2,21,0,291,428
Fleetwood--Port Kells/Fleetwood--Port Kells,158A,Surrey,32,80,94,0,18,0,224,371
Fleetwood--Port Kells/Fleetwood--Port Kells,158B,Surrey,39,83,89,0,17,0,228,363
Fleetwood--Port Kells/Fleetwood--Port Kells,159A,Surrey,30,59,72,1,15,0,177,307
Fleetwood--Port Kells/Fleetwood--Port Kells,159B,Surrey,52,57,67,0,17,0,193,304
Fleetwood--Port Kells/Fleetwood--Port Kells,160,Surrey,32,36,60,0,13,1,142,288
Fleetwood--Port Kells/Fleetwood--Port Kells,500,Mobile poll/Bureau itinérant,43,35,54,2,17,3,154,93
Fleetwood--Port Kells/Fleetwood--Port Kells,600,Greater Vancouver--Surrey,94,109,259,1,30,2,495,
Fleetwood--Port Kells/Fleetwood--Port Kells,601,Surrey,150,103,171,1,34,3,462,
Fleetwood--Port Kells/Fleetwood--Port Kells,602,Surrey,79,114,208,1,31,1,434,
Fleetwood--Port Kells/Fleetwood--Port Kells,603,Surrey,43,40,115,0,8,0,206,
Fleetwood--Port Kells/Fleetwood--Port Kells,604,Surrey,108,157,180,2,20,7,474,
Fleetwood--Port Kells/Fleetwood--Port Kells,605,Surrey,128,112,138,0,17,6,401,
Fleetwood--Port Kells/Fleetwood--Port Kells,606,Surrey,95,90,147,1,29,1,363,
Fleetwood--Port Kells/Fleetwood--Port Kells,607,Surrey,109,116,207,0,27,3,462,
Fleetwood--Port Kells/Fleetwood--Port Kells,,Group 1/Groupe 1,7,8,15,0,7,2,39,88
Fleetwood--Port Kells/Fleetwood--Port Kells,,Group 2/Groupe 2,145,152,285,1,32,10,625,
