District,Poll Number,Poll Name,Dan Harris,Heather Jewell,Elizabeth Rowley,Peter Van Dalen,Tom Wappel,Rejected Ballots,Total Vote,Electors
Scarborough Southwest/Scarborough-Sud-Ouest,45,Scarborough,56,50,2,7,150,0,265,511
Scarborough Southwest/Scarborough-Sud-Ouest,46,Scarborough,55,60,2,6,157,4,284,527
Scarborough Southwest/Scarborough-Sud-Ouest,47,Scarborough,67,51,1,10,91,1,221,412
Scarborough Southwest/Scarborough-Sud-Ouest,48,Scarborough,37,38,1,6,67,0,149,303
Scarborough Southwest/Scarborough-Sud-Ouest,49,Scarborough,67,42,1,6,118,0,234,451
Scarborough Southwest/Scarborough-Sud-Ouest,50,Scarborough,16,17,1,2,73,3,112,285
Scarborough Southwest/Scarborough-Sud-Ouest,51,Scarborough,20,10,2,1,76,1,110,235
Scarborough Southwest/Scarborough-Sud-Ouest,52,Scarborough,45,31,4,8,61,0,149,321
Scarborough Southwest/Scarborough-Sud-Ouest,53,Scarborough,73,32,2,1,178,1,287,674
Scarborough Southwest/Scarborough-Sud-Ouest,54,Scarborough,41,41,0,2,84,2,170,337
Scarborough Southwest/Scarborough-Sud-Ouest,55,Scarborough,41,51,3,5,107,0,207,428
Scarborough Southwest/Scarborough-Sud-Ouest,56,Scarborough,61,54,0,5,196,0,316,612
Scarborough Southwest/Scarborough-Sud-Ouest,57,Scarborough,24,56,0,10,104,0,194,352
Scarborough Southwest/Scarborough-Sud-Ouest,58,Scarborough,40,55,0,11,57,0,163,249
Scarborough Southwest/Scarborough-Sud-Ouest,59,Scarborough,31,61,0,6,87,0,185,315
Scarborough Southwest/Scarborough-Sud-Ouest,60,Scarborough,45,59,3,6,100,3,216,364
Scarborough Southwest/Scarborough-Sud-Ouest,61,Scarborough,23,27,0,5,82,0,137,324
Scarborough Southwest/Scarborough-Sud-Ouest,62,Scarborough,41,47,1,7,133,1,230,405
Scarborough Southwest/Scarborough-Sud-Ouest,63,Scarborough,33,43,0,9,86,0,171,275
Scarborough Southwest/Scarborough-Sud-Ouest,64,Scarborough,40,60,1,7,120,0,228,369
Scarborough Southwest/Scarborough-Sud-Ouest,65,Scarborough,57,55,0,11,113,1,237,392
Scarborough Southwest/Scarborough-Sud-Ouest,66,Scarborough,27,36,0,7,68,1,139,237
Scarborough Southwest/Scarborough-Sud-Ouest,67,Scarborough,24,72,1,11,117,0,225,376
Scarborough Southwest/Scarborough-Sud-Ouest,68,Scarborough,32,29,0,3,34,0,98,216
Scarborough Southwest/Scarborough-Sud-Ouest,69,Scarborough,29,40,0,1,37,0,107,267
Scarborough Southwest/Scarborough-Sud-Ouest,70,Scarborough,Merged with No. 71,,,,,,,64
Scarborough Southwest/Scarborough-Sud-Ouest,71,Scarborough,35,50,0,4,61,1,151,246
Scarborough Southwest/Scarborough-Sud-Ouest,72,Scarborough,77,107,1,7,155,0,347,666
Scarborough Southwest/Scarborough-Sud-Ouest,73,Scarborough,31,66,0,20,109,0,226,345
Scarborough Southwest/Scarborough-Sud-Ouest,74,Scarborough,28,26,0,1,53,0,108,346
Scarborough Southwest/Scarborough-Sud-Ouest,75,Scarborough,20,91,0,14,105,0,230,386
Scarborough Southwest/Scarborough-Sud-Ouest,76,Scarborough,38,82,0,21,116,0,257,386
Scarborough Southwest/Scarborough-Sud-Ouest,77,Scarborough,50,72,0,8,132,1,263,385
Scarborough Southwest/Scarborough-Sud-Ouest,78,Scarborough,43,85,0,12,97,0,237,372
Scarborough Southwest/Scarborough-Sud-Ouest,79,Scarborough,18,72,0,19,111,0,220,353
Scarborough Southwest/Scarborough-Sud-Ouest,80,Scarborough,39,53,1,5,92,0,190,295
Scarborough Southwest/Scarborough-Sud-Ouest,81,Scarborough,49,67,0,7,81,1,205,313
Scarborough Southwest/Scarborough-Sud-Ouest,82,Scarborough,52,88,1,15,138,5,299,598
Scarborough Southwest/Scarborough-Sud-Ouest,83,Scarborough,47,61,0,12,116,3,239,411
Scarborough Southwest/Scarborough-Sud-Ouest,84,Scarborough,44,59,0,8,87,0,198,337
Scarborough Southwest/Scarborough-Sud-Ouest,85,Scarborough,48,50,1,16,95,2,212,400
Scarborough Southwest/Scarborough-Sud-Ouest,86,Scarborough,73,63,0,7,94,0,237,480
Scarborough Southwest/Scarborough-Sud-Ouest,87,Scarborough,71,72,1,18,118,1,281,486
Scarborough Southwest/Scarborough-Sud-Ouest,88,Scarborough,53,29,1,11,93,0,187,337
Scarborough Southwest/Scarborough-Sud-Ouest,89,Scarborough,34,41,2,10,90,1,178,327
Scarborough Southwest/Scarborough-Sud-Ouest,90,Scarborough,55,61,0,14,80,1,211,381
Scarborough Southwest/Scarborough-Sud-Ouest,91,Scarborough,67,60,1,8,111,2,249,502
Scarborough Southwest/Scarborough-Sud-Ouest,92,Scarborough,34,38,1,17,59,1,150,273
Scarborough Southwest/Scarborough-Sud-Ouest,93,Scarborough,56,51,1,6,91,1,206,381
Scarborough Southwest/Scarborough-Sud-Ouest,94,Scarborough,50,69,1,11,119,1,251,458
Scarborough Southwest/Scarborough-Sud-Ouest,95,Scarborough,26,48,0,6,79,2,161,271
Scarborough Southwest/Scarborough-Sud-Ouest,96,Scarborough,40,38,2,9,83,1,173,304
Scarborough Southwest/Scarborough-Sud-Ouest,97,Scarborough,56,77,0,19,109,1,262,387
Scarborough Southwest/Scarborough-Sud-Ouest,98,Scarborough,75,86,1,10,168,0,340,647
Scarborough Southwest/Scarborough-Sud-Ouest,99,Scarborough,62,55,1,13,85,0,216,416
Scarborough Southwest/Scarborough-Sud-Ouest,100,Scarborough,80,36,0,9,85,2,212,377
Scarborough Southwest/Scarborough-Sud-Ouest,101,Scarborough,40,56,0,6,51,0,153,235
Scarborough Southwest/Scarborough-Sud-Ouest,102,Scarborough,57,39,1,11,70,0,178,380
Scarborough Southwest/Scarborough-Sud-Ouest,103,Scarborough,50,37,2,9,105,0,203,371
Scarborough Southwest/Scarborough-Sud-Ouest,104,Scarborough,6,16,0,2,48,0,72,112
Scarborough Southwest/Scarborough-Sud-Ouest,105,Scarborough,63,58,1,16,117,1,256,465
Scarborough Southwest/Scarborough-Sud-Ouest,106,Scarborough,62,41,2,10,111,0,226,435
Scarborough Southwest/Scarborough-Sud-Ouest,107,Scarborough,41,27,0,3,89,3,163,505
Scarborough Southwest/Scarborough-Sud-Ouest,108,Scarborough,64,47,0,10,86,1,208,430
Scarborough Southwest/Scarborough-Sud-Ouest,109,Scarborough,38,31,1,4,95,0,169,417
Scarborough Southwest/Scarborough-Sud-Ouest,110,Scarborough,34,42,0,6,145,3,230,409
Scarborough Southwest/Scarborough-Sud-Ouest,111,Scarborough,53,48,1,11,112,2,227,399
Scarborough Southwest/Scarborough-Sud-Ouest,112,Scarborough,46,39,2,5,98,0,190,389
Scarborough Southwest/Scarborough-Sud-Ouest,113,Scarborough,38,33,1,14,98,2,186,336
Scarborough Southwest/Scarborough-Sud-Ouest,114,Scarborough,43,39,3,11,95,3,194,444
Scarborough Southwest/Scarborough-Sud-Ouest,115,Scarborough,66,46,1,8,104,0,225,448
Scarborough Southwest/Scarborough-Sud-Ouest,116,Scarborough,40,51,1,6,93,4,195,405
Scarborough Southwest/Scarborough-Sud-Ouest,117,Scarborough,42,68,1,5,83,0,199,390
Scarborough Southwest/Scarborough-Sud-Ouest,118,Scarborough,72,53,1,10,96,2,234,429
Scarborough Southwest/Scarborough-Sud-Ouest,119,Scarborough,65,61,1,11,95,0,233,368
Scarborough Southwest/Scarborough-Sud-Ouest,120,Scarborough,46,30,0,10,65,1,152,250
Scarborough Southwest/Scarborough-Sud-Ouest,121,Scarborough,68,55,0,8,84,2,217,388
Scarborough Southwest/Scarborough-Sud-Ouest,122,Scarborough,79,53,1,16,97,1,247,383
Scarborough Southwest/Scarborough-Sud-Ouest,123,Scarborough,34,66,1,23,108,0,232,437
Scarborough Southwest/Scarborough-Sud-Ouest,124,Scarborough,58,62,3,13,106,1,243,402
Scarborough Southwest/Scarborough-Sud-Ouest,125,Scarborough,63,60,0,10,74,1,208,318
Scarborough Southwest/Scarborough-Sud-Ouest,126,Scarborough,38,36,1,3,80,1,159,378
Scarborough Southwest/Scarborough-Sud-Ouest,127,Scarborough,43,52,0,8,101,1,205,367
Scarborough Southwest/Scarborough-Sud-Ouest,128,Scarborough,64,67,1,12,144,3,291,517
Scarborough Southwest/Scarborough-Sud-Ouest,129,Scarborough,45,56,1,7,103,0,212,349
Scarborough Southwest/Scarborough-Sud-Ouest,130,Scarborough,26,47,1,7,112,1,194,483
Scarborough Southwest/Scarborough-Sud-Ouest,131,Scarborough,40,27,1,5,88,1,162,325
Scarborough Southwest/Scarborough-Sud-Ouest,132,Scarborough,30,16,0,6,47,3,102,216
Scarborough Southwest/Scarborough-Sud-Ouest,133,Scarborough,24,17,0,2,35,0,78,109
Scarborough Southwest/Scarborough-Sud-Ouest,134,Scarborough,58,21,3,4,142,5,233,636
Scarborough Southwest/Scarborough-Sud-Ouest,135,Scarborough,28,16,1,3,76,1,125,281
Scarborough Southwest/Scarborough-Sud-Ouest,136,Scarborough,51,42,0,8,102,1,204,340
Scarborough Southwest/Scarborough-Sud-Ouest,137,Scarborough,81,23,1,3,176,7,291,503
Scarborough Southwest/Scarborough-Sud-Ouest,138,Scarborough,44,27,0,4,103,1,179,480
Scarborough Southwest/Scarborough-Sud-Ouest,139,Scarborough,47,42,0,8,91,1,189,322
Scarborough Southwest/Scarborough-Sud-Ouest,140,Scarborough,60,47,1,2,127,4,241,419
Scarborough Southwest/Scarborough-Sud-Ouest,141,Scarborough,37,32,0,10,55,3,137,283
Scarborough Southwest/Scarborough-Sud-Ouest,142,Scarborough,45,23,1,6,107,1,183,331
Scarborough Southwest/Scarborough-Sud-Ouest,143,Scarborough,40,30,2,1,70,0,143,328
Scarborough Southwest/Scarborough-Sud-Ouest,144,Scarborough,42,42,1,6,134,2,227,480
Scarborough Southwest/Scarborough-Sud-Ouest,145,Scarborough,45,27,1,5,67,0,145,288
Scarborough Southwest/Scarborough-Sud-Ouest,146,Scarborough,20,35,0,6,76,3,140,323
Scarborough Southwest/Scarborough-Sud-Ouest,147,Scarborough,86,45,0,12,100,1,244,354
Scarborough Southwest/Scarborough-Sud-Ouest,148,Scarborough,65,38,0,17,97,2,219,357
Scarborough Southwest/Scarborough-Sud-Ouest,149,Scarborough,49,60,2,8,146,2,267,419
Scarborough Southwest/Scarborough-Sud-Ouest,150,Scarborough,59,61,1,12,106,2,241,386
Scarborough Southwest/Scarborough-Sud-Ouest,151,Scarborough,51,77,1,26,125,1,281,469
Scarborough Southwest/Scarborough-Sud-Ouest,152,Scarborough,53,35,2,12,84,3,189,313
Scarborough Southwest/Scarborough-Sud-Ouest,153,Scarborough,59,50,0,6,73,1,189,330
Scarborough Southwest/Scarborough-Sud-Ouest,154,Scarborough,48,40,0,14,89,1,192,354
Scarborough Southwest/Scarborough-Sud-Ouest,155,Scarborough,55,42,1,16,69,0,183,293
Scarborough Southwest/Scarborough-Sud-Ouest,156,Scarborough,64,62,1,10,71,0,208,419
Scarborough Southwest/Scarborough-Sud-Ouest,157,Scarborough,43,58,1,15,110,0,227,337
Scarborough Southwest/Scarborough-Sud-Ouest,158,Scarborough,53,43,0,10,85,1,192,276
Scarborough Southwest/Scarborough-Sud-Ouest,159,Scarborough,63,58,0,12,91,0,224,341
Scarborough Southwest/Scarborough-Sud-Ouest,160,Scarborough,60,57,0,23,117,0,257,376
Scarborough Southwest/Scarborough-Sud-Ouest,161,Scarborough,65,45,1,22,73,2,208,319
Scarborough Southwest/Scarborough-Sud-Ouest,162,Scarborough,26,37,0,19,65,0,147,249
Scarborough Southwest/Scarborough-Sud-Ouest,163,Scarborough,44,61,0,6,91,0,202,322
Scarborough Southwest/Scarborough-Sud-Ouest,400,Scarborough,4,8,2,1,36,3,54,140
Scarborough Southwest/Scarborough-Sud-Ouest,401,Scarborough,40,53,1,5,153,0,252,506
Scarborough Southwest/Scarborough-Sud-Ouest,402,Scarborough,34,23,0,2,87,1,147,364
Scarborough Southwest/Scarborough-Sud-Ouest,403,Scarborough,28,44,0,9,138,2,221,524
Scarborough Southwest/Scarborough-Sud-Ouest,404,Scarborough,49,56,1,8,130,1,245,531
Scarborough Southwest/Scarborough-Sud-Ouest,405,Scarborough,34,36,0,5,124,2,201,454
Scarborough Southwest/Scarborough-Sud-Ouest,406,Scarborough,25,19,0,4,82,12,142,364
Scarborough Southwest/Scarborough-Sud-Ouest,407,Scarborough,29,13,0,3,40,2,87,314
Scarborough Southwest/Scarborough-Sud-Ouest,408,Scarborough,31,19,2,2,57,1,112,313
Scarborough Southwest/Scarborough-Sud-Ouest,409,Scarborough,38,32,2,5,86,5,168,370
Scarborough Southwest/Scarborough-Sud-Ouest,410,Scarborough,19,15,1,0,95,1,131,333
Scarborough Southwest/Scarborough-Sud-Ouest,411,Scarborough,18,5,0,2,82,0,107,340
Scarborough Southwest/Scarborough-Sud-Ouest,412,Scarborough,20,17,1,2,50,0,90,289
Scarborough Southwest/Scarborough-Sud-Ouest,413,Scarborough,34,17,0,2,63,1,117,269
Scarborough Southwest/Scarborough-Sud-Ouest,414,Scarborough,36,54,1,11,103,0,205,287
Scarborough Southwest/Scarborough-Sud-Ouest,600,Toronto,43,79,1,7,106,5,241,
Scarborough Southwest/Scarborough-Sud-Ouest,601,Toronto,61,114,2,5,122,0,304,
Scarborough Southwest/Scarborough-Sud-Ouest,602,Toronto,90,90,1,6,232,3,422,
Scarborough Southwest/Scarborough-Sud-Ouest,603,Toronto,79,179,1,13,221,1,494,
Scarborough Southwest/Scarborough-Sud-Ouest,604,Toronto,103,109,3,14,160,0,389,
Scarborough Southwest/Scarborough-Sud-Ouest,605,Toronto,87,98,1,16,155,0,357,
Scarborough Southwest/Scarborough-Sud-Ouest,606,Toronto,86,84,2,10,157,0,339,
Scarborough Southwest/Scarborough-Sud-Ouest,607,Toronto,99,114,0,18,169,0,400,
Scarborough Southwest/Scarborough-Sud-Ouest,,Group 1/Groupe 1,9,13,1,4,29,4,60,98
Scarborough Southwest/Scarborough-Sud-Ouest,,Group 2/Groupe 2,80,149,0,19,180,4,432,
