District,Poll Number,Poll Name,Patrick Clune,Normand Fournier,Monique Garcia,Diane Joubert,Maka Kotto,Yolande Thibeault,Rejected Ballots,Total Vote,Electors
Saint-Lambert/Saint-Lambert,36,Longueuil,10,1,18,5,163,48,3,248,440
Saint-Lambert/Saint-Lambert,37,Longueuil,10,3,8,5,127,39,6,198,395
Saint-Lambert/Saint-Lambert,38,Longueuil,2,2,8,3,97,32,1,145,369
Saint-Lambert/Saint-Lambert,39,Longueuil,12,0,4,3,122,38,8,187,350
Saint-Lambert/Saint-Lambert,40,Longueuil,11,2,9,7,149,48,5,231,486
Saint-Lambert/Saint-Lambert,41,Longueuil,11,5,8,8,135,55,5,227,485
Saint-Lambert/Saint-Lambert,42,Longueuil,6,3,9,6,87,34,4,149,361
Saint-Lambert/Saint-Lambert,43,Longueuil,6,1,7,3,100,37,5,159,341
Saint-Lambert/Saint-Lambert,44,Longueuil,4,0,5,3,116,33,4,165,383
Saint-Lambert/Saint-Lambert,45,Longueuil,6,1,0,3,96,19,8,133,344
Saint-Lambert/Saint-Lambert,46A,Longueuil,8,1,6,2,124,32,3,176,408
Saint-Lambert/Saint-Lambert,46B,Longueuil,4,0,6,10,111,20,8,159,414
Saint-Lambert/Saint-Lambert,47,Longueuil,8,3,10,3,120,41,5,190,428
Saint-Lambert/Saint-Lambert,48,Longueuil,14,1,6,1,133,19,3,177,360
Saint-Lambert/Saint-Lambert,49,Longueuil,Void,,,,,,,,
Saint-Lambert/Saint-Lambert,50,Longueuil,7,1,9,4,120,42,6,189,407
Saint-Lambert/Saint-Lambert,51,Longueuil,11,0,14,8,149,56,5,243,452
Saint-Lambert/Saint-Lambert,52,Longueuil,11,1,4,4,121,21,9,171,449
Saint-Lambert/Saint-Lambert,53,Longueuil,7,0,2,6,68,18,6,107,282
Saint-Lambert/Saint-Lambert,54,Longueuil,5,1,13,4,101,24,2,150,399
Saint-Lambert/Saint-Lambert,55,Longueuil,10,0,7,3,109,42,4,175,452
Saint-Lambert/Saint-Lambert,56,Longueuil,10,1,7,3,138,27,11,197,397
Saint-Lambert/Saint-Lambert,57,Longueuil,7,2,5,2,90,24,9,139,380
Saint-Lambert/Saint-Lambert,58,Longueuil,6,1,6,2,128,45,7,195,444
Saint-Lambert/Saint-Lambert,59,Longueuil,8,0,14,8,125,33,6,194,391
Saint-Lambert/Saint-Lambert,60,Longueuil,13,1,7,4,124,57,6,212,489
Saint-Lambert/Saint-Lambert,61,Longueuil,7,1,5,2,99,38,6,158,365
Saint-Lambert/Saint-Lambert,62,Longueuil,10,0,6,3,98,21,9,147,300
Saint-Lambert/Saint-Lambert,63,Longueuil,12,1,3,4,93,31,6,150,377
Saint-Lambert/Saint-Lambert,64,Longueuil,3,0,8,6,97,39,5,158,363
Saint-Lambert/Saint-Lambert,65,Longueuil,9,0,9,2,88,25,3,136,383
Saint-Lambert/Saint-Lambert,66,Longueuil,15,2,8,11,154,66,8,264,498
Saint-Lambert/Saint-Lambert,67,Longueuil,10,0,11,3,88,28,4,144,321
Saint-Lambert/Saint-Lambert,68,Longueuil,2,0,5,1,100,67,2,177,374
Saint-Lambert/Saint-Lambert,69,Longueuil,14,1,10,5,106,66,5,207,375
Saint-Lambert/Saint-Lambert,70,Longueuil,4,0,1,7,65,27,3,107,285
Saint-Lambert/Saint-Lambert,71,Longueuil,5,4,6,6,92,41,11,165,495
Saint-Lambert/Saint-Lambert,72,Longueuil,6,2,9,3,120,42,5,187,421
Saint-Lambert/Saint-Lambert,73,Longueuil,11,0,9,2,125,70,0,217,354
Saint-Lambert/Saint-Lambert,74,Longueuil,11,1,7,5,101,26,7,158,404
Saint-Lambert/Saint-Lambert,75,Longueuil,2,0,14,5,134,62,2,219,423
Saint-Lambert/Saint-Lambert,76,Longueuil,8,0,6,8,130,85,6,243,378
Saint-Lambert/Saint-Lambert,77,Longueuil,11,1,11,6,129,57,6,221,386
Saint-Lambert/Saint-Lambert,78,Longueuil,12,1,11,4,122,37,7,194,441
Saint-Lambert/Saint-Lambert,79,Longueuil,15,2,16,5,133,55,5,231,465
Saint-Lambert/Saint-Lambert,80,Longueuil,7,1,11,3,124,43,6,195,432
Saint-Lambert/Saint-Lambert,81,Longueuil,13,3,15,5,146,56,7,245,518
Saint-Lambert/Saint-Lambert,82,Longueuil,4,0,13,12,119,57,10,215,419
Saint-Lambert/Saint-Lambert,83,Longueuil,8,1,5,1,95,25,5,140,275
Saint-Lambert/Saint-Lambert,84,Longueuil,7,0,4,3,82,63,1,160,309
Saint-Lambert/Saint-Lambert,85,Longueuil,11,0,8,3,90,61,4,177,327
Saint-Lambert/Saint-Lambert,86,Longueuil,8,0,8,4,93,47,2,162,320
Saint-Lambert/Saint-Lambert,87,Longueuil,15,0,17,9,97,55,7,200,327
Saint-Lambert/Saint-Lambert,88,Longueuil,14,0,12,8,142,41,0,217,525
Saint-Lambert/Saint-Lambert,89,Longueuil,16,1,12,8,136,85,5,263,389
Saint-Lambert/Saint-Lambert,90,Longueuil,13,2,15,5,220,74,9,338,515
Saint-Lambert/Saint-Lambert,91,Longueuil,19,2,11,9,174,146,11,372,511
Saint-Lambert/Saint-Lambert,92,Longueuil,3,1,10,2,112,23,5,156,382
Saint-Lambert/Saint-Lambert,93,Longueuil,12,0,14,4,161,48,9,248,408
Saint-Lambert/Saint-Lambert,94,Longueuil,6,1,9,6,125,20,5,172,400
Saint-Lambert/Saint-Lambert,95,Longueuil,3,0,4,4,104,21,7,143,289
Saint-Lambert/Saint-Lambert,96,Longueuil,14,1,10,10,149,43,6,233,414
Saint-Lambert/Saint-Lambert,97,Longueuil,4,2,4,4,125,59,8,206,357
Saint-Lambert/Saint-Lambert,98,Longueuil,6,0,4,3,131,31,3,178,320
Saint-Lambert/Saint-Lambert,99,Longueuil,15,0,14,7,109,70,2,217,364
Saint-Lambert/Saint-Lambert,100,Longueuil,8,0,12,1,139,47,6,213,347
Saint-Lambert/Saint-Lambert,101,Longueuil,2,1,7,9,131,57,9,216,351
Saint-Lambert/Saint-Lambert,102,Longueuil,12,0,13,4,222,43,4,298,431
Saint-Lambert/Saint-Lambert,103,Saint-Lambert,17,1,14,13,87,104,0,236,367
Saint-Lambert/Saint-Lambert,104,Saint-Lambert,7,0,19,16,129,92,2,265,383
Saint-Lambert/Saint-Lambert,105,LeMoyne,4,0,5,4,68,30,2,113,304
Saint-Lambert/Saint-Lambert,106,LeMoyne,10,0,9,3,149,38,6,215,426
Saint-Lambert/Saint-Lambert,107,Saint-Lambert,15,0,5,10,122,109,4,265,486
Saint-Lambert/Saint-Lambert,108,LeMoyne,7,2,4,4,94,55,3,169,393
Saint-Lambert/Saint-Lambert,109,LeMoyne,5,0,7,10,98,26,7,153,294
Saint-Lambert/Saint-Lambert,110,Saint-Lambert,12,0,19,13,104,106,1,255,381
Saint-Lambert/Saint-Lambert,111,Saint-Lambert,18,0,15,11,125,106,3,278,413
Saint-Lambert/Saint-Lambert,112,Saint-Lambert,19,0,22,26,105,113,1,286,387
Saint-Lambert/Saint-Lambert,113,Saint-Lambert,8,0,15,7,110,56,4,200,334
Saint-Lambert/Saint-Lambert,114,Saint-Lambert,18,0,12,12,122,122,3,289,424
Saint-Lambert/Saint-Lambert,115,Saint-Lambert,12,0,17,12,166,77,3,287,447
Saint-Lambert/Saint-Lambert,116,Saint-Lambert,12,0,15,22,94,107,2,252,388
Saint-Lambert/Saint-Lambert,117,Saint-Lambert,9,0,17,8,114,59,4,211,353
Saint-Lambert/Saint-Lambert,118,Saint-Lambert,2,1,19,9,151,68,3,253,433
Saint-Lambert/Saint-Lambert,119,Saint-Lambert,10,0,5,6,44,92,2,159,323
Saint-Lambert/Saint-Lambert,120,Saint-Lambert,4,0,15,14,112,92,1,238,440
Saint-Lambert/Saint-Lambert,121,Saint-Lambert,13,0,9,7,65,89,9,192,447
Saint-Lambert/Saint-Lambert,122,Saint-Lambert,15,0,4,9,56,132,2,218,402
Saint-Lambert/Saint-Lambert,123,Saint-Lambert,7,0,7,6,63,91,3,177,405
Saint-Lambert/Saint-Lambert,124,Saint-Lambert,6,0,7,4,62,63,6,148,289
Saint-Lambert/Saint-Lambert,125A,Saint-Lambert,8,0,14,4,89,94,2,211,329
Saint-Lambert/Saint-Lambert,125B,Saint-Lambert,22,0,11,6,101,93,1,234,356
Saint-Lambert/Saint-Lambert,126A,Saint-Lambert,9,0,9,13,90,65,0,186,307
Saint-Lambert/Saint-Lambert,126B,Saint-Lambert,8,0,5,12,93,60,0,178,311
Saint-Lambert/Saint-Lambert,127,Saint-Lambert,14,0,23,12,111,113,1,274,450
Saint-Lambert/Saint-Lambert,128,Saint-Lambert,19,2,15,15,87,96,3,237,375
Saint-Lambert/Saint-Lambert,129,Saint-Lambert,19,0,13,11,99,82,5,229,376
Saint-Lambert/Saint-Lambert,130,Saint-Lambert,14,0,8,9,52,126,0,209,325
Saint-Lambert/Saint-Lambert,131,Saint-Lambert,15,0,19,6,58,125,3,226,375
Saint-Lambert/Saint-Lambert,132,Saint-Lambert,10,0,9,11,45,139,2,216,334
Saint-Lambert/Saint-Lambert,133,Saint-Lambert,21,0,4,3,79,139,2,248,394
Saint-Lambert/Saint-Lambert,134,Saint-Lambert,4,0,6,2,31,105,6,154,338
Saint-Lambert/Saint-Lambert,135A,Saint-Lambert,14,0,3,7,48,121,3,196,314
Saint-Lambert/Saint-Lambert,135B,Saint-Lambert,19,0,2,3,44,130,2,200,331
Saint-Lambert/Saint-Lambert,136,Saint-Lambert,9,0,6,7,48,96,0,166,280
Saint-Lambert/Saint-Lambert,137,Saint-Lambert,12,0,5,13,57,109,0,196,275
Saint-Lambert/Saint-Lambert,138,Saint-Lambert,19,1,12,5,95,194,2,328,541
Saint-Lambert/Saint-Lambert,139,Saint-Lambert,16,0,15,11,67,104,4,217,341
Saint-Lambert/Saint-Lambert,140,Saint-Lambert,23,0,5,5,60,91,2,186,321
Saint-Lambert/Saint-Lambert,141,Saint-Lambert,13,1,9,10,59,102,4,198,322
Saint-Lambert/Saint-Lambert,142,Saint-Lambert,15,0,7,7,64,129,3,225,361
Saint-Lambert/Saint-Lambert,143,Saint-Lambert,22,5,13,2,63,233,6,344,527
Saint-Lambert/Saint-Lambert,144,Saint-Lambert,35,0,22,10,80,103,2,252,541
Saint-Lambert/Saint-Lambert,145,Saint-Lambert,21,1,13,10,68,116,3,232,449
Saint-Lambert/Saint-Lambert,146,Saint-Lambert,7,0,12,11,65,87,1,183,453
Saint-Lambert/Saint-Lambert,147,Saint-Lambert,11,0,7,1,49,62,1,131,310
Saint-Lambert/Saint-Lambert,148,Saint-Lambert,13,0,15,10,113,104,4,259,444
Saint-Lambert/Saint-Lambert,149,Saint-Lambert,17,0,23,8,110,111,3,272,477
Saint-Lambert/Saint-Lambert,150,LeMoyne,7,0,11,5,112,32,2,169,350
Saint-Lambert/Saint-Lambert,151,LeMoyne,12,0,7,9,170,66,9,273,510
Saint-Lambert/Saint-Lambert,152,LeMoyne,17,1,13,4,113,56,10,214,415
Saint-Lambert/Saint-Lambert,153,LeMoyne,2,3,5,4,126,38,0,178,421
Saint-Lambert/Saint-Lambert,154,LeMoyne,5,1,2,5,63,48,3,127,238
Saint-Lambert/Saint-Lambert,155,LeMoyne,11,1,4,2,125,68,7,218,391
Saint-Lambert/Saint-Lambert,156,LeMoyne,17,0,4,8,124,44,5,202,363
Saint-Lambert/Saint-Lambert,157,Greenfield Park,18,0,20,11,112,100,0,261,434
Saint-Lambert/Saint-Lambert,158,Greenfield Park,4,0,13,2,56,75,2,152,292
Saint-Lambert/Saint-Lambert,159,Greenfield Park,10,0,13,9,92,84,2,210,433
Saint-Lambert/Saint-Lambert,160,Greenfield Park,12,0,10,1,80,115,2,220,455
Saint-Lambert/Saint-Lambert,161,Greenfield Park,8,1,6,9,45,83,0,152,408
Saint-Lambert/Saint-Lambert,162,Greenfield Park,14,0,23,14,121,97,4,273,536
Saint-Lambert/Saint-Lambert,163,Greenfield Park,13,2,17,6,92,91,2,223,450
Saint-Lambert/Saint-Lambert,164,Greenfield Park,8,0,15,18,70,97,0,208,340
Saint-Lambert/Saint-Lambert,165,Greenfield Park,12,0,18,9,53,82,0,174,284
Saint-Lambert/Saint-Lambert,166A,Greenfield Park,7,0,9,11,62,54,3,146,321
Saint-Lambert/Saint-Lambert,166B,Greenfield Park,10,0,9,2,62,61,3,147,327
Saint-Lambert/Saint-Lambert,167,Greenfield Park,16,1,5,2,87,107,2,220,388
Saint-Lambert/Saint-Lambert,168,Greenfield Park,11,0,9,6,69,105,3,203,346
Saint-Lambert/Saint-Lambert,169,Greenfield Park,20,0,16,3,55,137,3,234,451
Saint-Lambert/Saint-Lambert,170,Greenfield Park,19,0,6,9,38,100,2,174,331
Saint-Lambert/Saint-Lambert,171,Greenfield Park,14,0,15,7,51,154,2,243,417
Saint-Lambert/Saint-Lambert,172,Greenfield Park,12,1,11,5,70,107,0,206,401
Saint-Lambert/Saint-Lambert,173,Greenfield Park,7,0,6,6,28,114,0,161,267
Saint-Lambert/Saint-Lambert,174,Greenfield Park,7,3,7,2,39,117,3,178,411
Saint-Lambert/Saint-Lambert,175,Greenfield Park,13,0,15,12,33,138,0,211,380
Saint-Lambert/Saint-Lambert,176,Greenfield Park,19,0,7,7,38,116,1,188,313
Saint-Lambert/Saint-Lambert,177,Greenfield Park,14,1,5,5,59,79,2,165,345
Saint-Lambert/Saint-Lambert,178A,Greenfield Park,12,1,10,8,67,70,2,170,307
Saint-Lambert/Saint-Lambert,178B,Greenfield Park,8,0,12,6,48,78,1,153,301
Saint-Lambert/Saint-Lambert,179,Greenfield Park,21,0,8,6,27,115,3,180,306
Saint-Lambert/Saint-Lambert,180,Greenfield Park,26,1,10,9,88,94,5,233,397
Saint-Lambert/Saint-Lambert,181,Greenfield Park,19,0,10,6,82,70,3,190,410
Saint-Lambert/Saint-Lambert,182,Greenfield Park,16,0,13,5,57,100,0,191,309
Saint-Lambert/Saint-Lambert,183A,Greenfield Park,7,0,4,4,47,83,3,148,268
Saint-Lambert/Saint-Lambert,183B,Greenfield Park,14,1,15,4,54,92,3,183,350
Saint-Lambert/Saint-Lambert,184,Greenfield Park,20,0,18,6,61,140,0,245,414
Saint-Lambert/Saint-Lambert,185,Greenfield Park,20,0,5,0,104,60,2,191,402
Saint-Lambert/Saint-Lambert,186,Greenfield Park,24,0,13,6,64,95,4,206,369
Saint-Lambert/Saint-Lambert,187,Greenfield Park,34,1,17,6,89,156,2,305,521
Saint-Lambert/Saint-Lambert,188,Greenfield Park,16,1,10,4,100,106,3,240,451
Saint-Lambert/Saint-Lambert,189,Greenfield Park,15,1,9,5,95,93,4,222,365
Saint-Lambert/Saint-Lambert,500A,Mobile poll/Bureau itinérant,5,3,1,1,11,22,4,47,55
Saint-Lambert/Saint-Lambert,500B,Mobile poll/Bureau itinérant,7,3,3,0,12,22,1,48,73
Saint-Lambert/Saint-Lambert,600,Longueuil,45,3,20,12,261,210,4,555,
Saint-Lambert/Saint-Lambert,601,Longueuil,31,1,16,10,243,145,9,455,
Saint-Lambert/Saint-Lambert,602,Longueuil,26,3,19,17,254,113,12,444,
Saint-Lambert/Saint-Lambert,603,Longueuil,44,1,16,8,255,174,13,511,
Saint-Lambert/Saint-Lambert,604,Longueuil,28,0,18,10,266,122,9,453,
Saint-Lambert/Saint-Lambert,605,Longueuil,50,2,32,31,270,488,11,884,
Saint-Lambert/Saint-Lambert,606,Longueuil,82,0,31,27,248,592,8,988,
Saint-Lambert/Saint-Lambert,607,Longueuil,83,2,26,18,213,408,3,753,
Saint-Lambert/Saint-Lambert,608,Longueuil,47,1,12,6,104,200,2,372,
Saint-Lambert/Saint-Lambert,,Group 1/Groupe 1,16,0,4,11,32,45,4,112,204
Saint-Lambert/Saint-Lambert,,Group 2/Groupe 2,57,1,29,18,341,466,22,934,
