District,Poll Number,Poll Name,Normand Beaudet,Diane Bourgeois,Martin Drapeau,Pierre Gingras,Patrick Légaré,Rejected Ballots,Total Vote,Electors
Terrebonne--Blainville/Terrebonne--Blainville,92,Terrebonne,9,220,10,60,16,10,325,558
Terrebonne--Blainville/Terrebonne--Blainville,93,Terrebonne,13,198,8,38,14,10,281,461
Terrebonne--Blainville/Terrebonne--Blainville,94,Terrebonne,9,172,11,34,14,10,250,417
Terrebonne--Blainville/Terrebonne--Blainville,95,Terrebonne,0,69,1,19,2,0,91,124
Terrebonne--Blainville/Terrebonne--Blainville,96,Terrebonne,12,229,10,35,9,12,307,550
Terrebonne--Blainville/Terrebonne--Blainville,97,Terrebonne,8,196,5,25,11,11,256,468
Terrebonne--Blainville/Terrebonne--Blainville,98,Terrebonne,9,280,10,51,23,14,387,622
Terrebonne--Blainville/Terrebonne--Blainville,99,Terrebonne,5,119,10,17,13,7,171,311
Terrebonne--Blainville/Terrebonne--Blainville,100,Terrebonne,7,154,11,44,18,9,243,429
Terrebonne--Blainville/Terrebonne--Blainville,101,Terrebonne,4,118,8,27,16,6,179,360
Terrebonne--Blainville/Terrebonne--Blainville,102,Terrebonne,6,144,16,33,12,10,221,406
Terrebonne--Blainville/Terrebonne--Blainville,103,Terrebonne,5,214,10,40,13,13,295,572
Terrebonne--Blainville/Terrebonne--Blainville,104,Blainville,9,168,8,53,17,5,260,464
Terrebonne--Blainville/Terrebonne--Blainville,105,Blainville,1,149,5,84,15,5,259,441
Terrebonne--Blainville/Terrebonne--Blainville,106,Blainville,13,183,13,93,22,7,331,468
Terrebonne--Blainville/Terrebonne--Blainville,107,Blainville,9,203,8,66,13,0,299,455
Terrebonne--Blainville/Terrebonne--Blainville,108,Blainville,5,136,11,67,8,4,231,390
Terrebonne--Blainville/Terrebonne--Blainville,109,Blainville,10,253,9,95,22,2,391,643
Terrebonne--Blainville/Terrebonne--Blainville,110A,Blainville,9,124,4,68,13,7,225,352
Terrebonne--Blainville/Terrebonne--Blainville,110B,Blainville,8,174,4,54,15,7,262,438
Terrebonne--Blainville/Terrebonne--Blainville,111A,Blainville,3,151,8,52,8,1,223,348
Terrebonne--Blainville/Terrebonne--Blainville,111B,Blainville,7,186,10,48,14,9,274,463
Terrebonne--Blainville/Terrebonne--Blainville,112,Blainville,18,250,9,77,16,8,378,603
Terrebonne--Blainville/Terrebonne--Blainville,113,Blainville,6,107,2,34,3,6,158,259
Terrebonne--Blainville/Terrebonne--Blainville,114A,Blainville,6,194,9,50,13,5,277,435
Terrebonne--Blainville/Terrebonne--Blainville,114B,Blainville,4,189,16,68,16,11,304,538
Terrebonne--Blainville/Terrebonne--Blainville,115,Blainville,8,202,11,57,15,13,306,490
Terrebonne--Blainville/Terrebonne--Blainville,116,Blainville,7,164,11,42,20,8,252,409
Terrebonne--Blainville/Terrebonne--Blainville,117,Blainville,3,145,10,42,13,13,226,363
Terrebonne--Blainville/Terrebonne--Blainville,118,Blainville,6,156,8,64,16,2,252,411
Terrebonne--Blainville/Terrebonne--Blainville,119,Blainville,7,218,15,48,6,5,299,496
Terrebonne--Blainville/Terrebonne--Blainville,120,Blainville,13,146,6,54,11,4,234,350
Terrebonne--Blainville/Terrebonne--Blainville,121,Blainville,11,160,13,54,10,4,252,453
Terrebonne--Blainville/Terrebonne--Blainville,122,Blainville,5,158,10,47,14,8,242,376
Terrebonne--Blainville/Terrebonne--Blainville,123,Blainville,6,197,4,62,20,5,294,528
Terrebonne--Blainville/Terrebonne--Blainville,124,Blainville,6,129,3,52,13,4,207,377
Terrebonne--Blainville/Terrebonne--Blainville,125,Blainville,9,148,12,57,11,3,240,363
Terrebonne--Blainville/Terrebonne--Blainville,126,Blainville,8,120,9,54,14,7,212,406
Terrebonne--Blainville/Terrebonne--Blainville,127,Blainville,2,174,6,33,5,6,226,410
