District,Poll Number,Poll Name,Alice Brown,Gordon Campbell,K. No. Daniels,Claire A. Foss,Will Hansma,Blair T. Longley,Erin Nelson,Darrel Stinson,Rejected Ballots,Total Vote,Electors
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,16A,Sorrento,46,2,0,0,33,1,2,92,1,177,285
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,16B,Sorrento,31,0,0,1,37,3,6,74,0,152,249
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,17,Sorrento,26,2,1,1,61,1,8,88,0,188,311
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,18,Notch Hill,54,5,0,1,58,4,15,163,2,302,478
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,19A,Blind Bay ,33,2,0,1,40,2,7,62,0,147,249
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,19B,Blind Bay ,30,2,0,0,33,1,4,54,0,124,234
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,20,Blind Bay ,56,2,0,0,58,1,9,144,1,271,453
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,21A,Blind Bay ,18,0,0,0,47,3,3,99,0,170,274
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,21B,Blind Bay ,24,0,0,1,37,1,9,96,1,169,287
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,21C,Blind Bay ,28,0,0,0,53,0,5,105,2,193,310
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,22A,Eagle Bay,36,1,0,1,32,1,6,76,1,154,255
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,22B,Eagle Bay,43,0,0,2,30,1,4,71,1,152,260
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,23,White Lake,69,1,0,1,73,3,17,124,1,289,405
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,24A,Tappen,51,5,0,0,28,0,8,56,0,148,277
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,24B,Tappen,43,1,2,0,20,1,7,70,0,144,253
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,24C,Tappen,48,1,0,0,24,1,12,64,0,150,269
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,25,Sunnybrae,42,0,0,0,54,1,14,102,1,214,322
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,26,Canoe ,52,0,0,0,20,3,11,58,0,144,250
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,27,Sicamous ,61,1,0,0,45,2,14,88,0,211,410
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,28,Six Mile Point,26,1,0,1,33,3,5,76,0,145,361
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,29,Sicamous ,61,4,0,1,61,2,9,80,1,219,385
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,30,Sicamous ,34,0,0,0,46,3,11,94,1,189,346
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,31,Malakwa,61,9,1,6,65,6,13,87,1,249,440
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,32,Three Valley,Void,,,,,,,,,,
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,33A,Sicamous,35,2,0,1,36,2,6,73,1,156,297
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,33B,Sicamous,40,0,1,1,34,5,10,75,1,167,288
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,34,Sicamous,67,0,0,2,50,4,7,100,2,232,417
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,35A,Salmon Arm--Switzemalph,50,2,0,1,28,4,7,53,1,146,261
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,35B,Salmon Arm--Switzemalph,30,2,0,0,36,3,3,44,0,118,241
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,36A,Salmon Arm,52,1,0,1,41,0,7,87,0,189,363
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,36B,Salmon Arm,43,3,0,0,34,2,4,78,2,166,349
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,37,Canoe,54,0,0,0,76,1,9,102,0,242,378
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,38A,Canoe ,63,1,1,2,33,1,14,83,0,198,291
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,38B,Canoe ,58,3,0,2,32,3,8,94,0,200,310
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,39,Salmon Arm--Lakeshore,75,0,0,0,79,0,14,84,0,252,368
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,40,Canoe ,76,4,1,1,30,2,7,82,1,204,344
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,41,Salmon Arm--Lakeshore,63,1,1,1,46,2,10,63,0,187,321
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,42,Salmon Arm,96,4,0,2,74,2,16,128,0,322,465
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,43A,Salmon Arm,59,0,0,2,33,1,4,81,1,181,295
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,43B,Salmon Arm,36,0,0,1,28,0,4,65,0,134,274
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,44,Salmon Arm ,24,0,1,1,27,1,8,42,0,104,191
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,45A,Salmon Arm ,57,1,0,0,21,0,7,43,1,130,272
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,45B,Salmon Arm,51,0,1,0,22,1,7,54,0,136,269
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,46A,Salmon Arm,39,1,0,1,27,1,3,55,1,128,246
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,46B,Salmon Arm,33,1,0,2,24,2,0,62,0,124,245
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,47A,Salmon Arm,43,1,0,0,34,1,8,64,1,152,228
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,47B,Salmon Arm,45,0,0,0,30,0,6,72,1,154,234
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,48,Salmon Arm,51,0,0,0,28,1,17,51,2,150,392
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,49,Salmon Arm,67,2,0,0,35,1,11,67,0,183,381
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,50,Salmon Arm ,84,0,0,1,59,0,10,89,0,243,417
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,51,Salmon Arm,54,2,0,3,72,4,15,98,1,249,404
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,52A,Salmon Arm,34,1,0,0,42,0,10,56,0,143,250
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,52B,Salmon Arm,40,1,0,0,42,0,6,59,5,153,244
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,53,Salmon Arm,78,0,0,1,58,3,18,124,0,282,482
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,54,Salmon Arm,66,4,1,1,34,3,12,72,2,195,407
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,55A,Salmon Arm,30,4,1,0,37,0,9,48,1,130,242
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,55B,Salmon Arm,39,0,0,0,31,0,3,66,0,139,246
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,56,Salmon Arm,100,4,0,0,47,1,9,100,1,262,454
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,57,Salmon Arm,15,2,0,0,14,1,6,40,0,78,164
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,58,Salmon Arm,56,1,1,1,40,3,7,97,1,207,395
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,59,Salmon Arm,67,2,0,0,71,0,14,119,0,273,452
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,60A,Salmon Arm,30,2,0,0,23,1,6,79,1,142,259
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,60B,Salmon Arm,36,1,1,1,20,1,1,79,0,140,258
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,61,Silver Creek,52,3,1,0,41,4,12,113,1,227,394
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,62,Gardom lake,87,2,1,3,48,0,13,107,1,262,465
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,63,Ranchero,52,1,0,1,39,2,4,83,1,183,343
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,64A,Falkland,42,1,1,3,31,3,10,110,0,201,319
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,64B,Falkland,39,3,1,0,22,3,22,104,1,195,301
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,65,Yankee Flats,54,2,0,1,39,6,16,76,0,194,315
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,66A,Deep Creek ,40,2,0,0,33,2,2,73,0,152,281
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,66B,Deep Creek ,42,0,0,0,26,0,5,69,0,142,275
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,67,Glenemma,27,1,0,1,37,1,4,72,0,143,257
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,68,Enderby 2--Salmon River 1,39,0,0,0,11,4,7,13,0,74,165
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,69,Grandview Bench,68,0,0,4,47,8,17,133,0,277,500
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,70,Mara,50,1,0,0,31,0,9,85,0,176,314
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,71,Grindrod,56,2,1,0,49,7,10,159,0,284,452
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,72,Kingfisher,30,2,0,0,19,2,6,59,0,118,212
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,73,Enderby,56,3,0,1,26,1,11,96,0,194,338
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,74,Ashton Creek,86,3,1,0,48,5,7,115,1,266,470
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,75,Mabel Lake,24,0,0,1,17,4,10,38,0,94,191
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,76,Enderby West,47,0,0,2,44,2,4,102,1,202,335
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,77,Enderby ,59,4,3,3,53,3,4,137,0,266,425
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,78A,Enderby ,32,2,2,5,21,2,3,88,1,156,235
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,78B,Enderby ,34,1,1,0,26,1,8,82,0,153,253
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,79,Enderby ,44,3,0,0,47,1,7,87,0,189,384
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,80,Enderby ,63,2,2,2,41,0,11,125,1,247,440
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,81,Spallumcheen--Hullcar,52,0,0,0,49,4,6,111,0,222,396
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,82,Spallumcheen,40,1,0,0,50,2,3,119,0,215,361
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,83,Spallumcheen,36,0,1,0,61,2,7,157,1,265,377
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,84A,Spallumcheen,56,0,1,1,40,2,11,89,0,200,352
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,84B,Spallumcheen,37,0,0,1,51,2,5,97,0,193,333
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,85,Spallumcheen,36,0,0,2,16,2,10,110,1,177,395
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,86,Spallumcheen--Otter Lake,29,0,0,2,36,2,5,128,0,202,390
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,87,Spallumcheen,33,1,1,0,39,2,6,125,1,208,385
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,88,Spallumcheen,33,1,0,0,46,0,8,90,1,179,382
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,89A,Armstrong,64,0,1,1,45,2,6,86,2,207,357
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,89B,Armstrong,42,1,0,1,41,0,10,104,0,199,365
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,90A,Armstrong,53,1,4,0,47,2,9,88,0,204,321
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,90B,Armstrong,41,0,0,0,37,1,8,109,0,196,335
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,91A,Armstrong,46,1,0,0,28,0,6,72,0,153,256
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,91B,Armstrong,43,1,0,0,24,1,5,88,0,162,268
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,92,Armstrong,44,1,3,0,31,0,2,80,0,161,307
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,93A,Armstrong,44,0,0,0,29,0,5,46,1,125,261
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,93B,Armstrong,30,1,1,0,26,3,5,71,0,137,267
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,94,Armstrong ,45,0,0,0,42,1,6,94,0,188,356
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,95,Armstrong ,27,0,0,0,72,1,6,123,0,229,383
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,96,Six Mile Creek,83,5,0,1,66,2,12,123,0,292,451
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,97A,Head of the Lake,65,5,0,0,44,4,8,70,0,196,343
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,97B,Head of the Lake ,47,1,0,1,39,2,7,73,0,170,337
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,98,Desert Cove,39,3,1,2,57,2,5,131,1,241,354
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,99,Goose Lake,61,2,0,2,41,1,12,117,1,237,441
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,100,Swan Lake,44,0,0,1,56,4,9,112,0,226,421
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,101,Cools,47,0,0,2,37,1,5,111,0,203,358
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,102A,Swan Lake,30,0,0,2,29,0,10,52,0,123,249
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,102B,Swan Lake,22,0,0,0,25,1,4,72,1,125,244
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,103,Vernon,55,2,0,0,45,0,9,90,0,201,365
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,104,Vernon,27,0,0,0,44,2,9,95,0,177,275
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,105,Vernon,51,3,0,0,59,0,12,95,0,220,373
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,106,Vernon,50,2,1,0,67,1,7,129,1,258,479
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,107,Kedleston,70,0,1,3,76,3,12,95,2,262,449
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,108A,Silver Star,39,1,1,2,27,1,8,55,2,136,255
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,108B,Silver Star,30,0,0,1,21,3,10,60,0,125,284
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,109,Vernon,60,1,1,1,42,2,15,120,0,242,420
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,110,Vernon,65,0,0,1,66,1,13,103,1,250,423
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,111,Vernon,61,5,1,3,48,2,13,101,0,234,400
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,112,Vernon,27,2,0,0,82,2,11,63,2,189,321
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,113,Vernon,43,1,0,1,69,0,10,91,0,215,323
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,114A,Vernon,20,1,2,1,59,1,10,74,1,169,294
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,114B,Vernon,32,1,0,1,57,0,9,84,0,184,297
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,115A,Vernon,25,0,1,1,39,1,7,53,0,127,254
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,115B,Vernon,38,1,0,0,34,3,9,65,0,150,256
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,116A,Vernon,30,0,0,4,23,1,4,61,0,123,236
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,116B,Vernon,22,0,0,3,44,0,5,70,0,144,251
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,117,Vernon,Merged with No. 113,,,,,,,,,,43
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,118A,Vernon,53,2,0,3,44,0,7,66,1,176,326
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,118B,Vernon,50,1,2,1,43,4,6,67,0,174,324
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,118C,Vernon,40,1,0,0,33,1,3,103,0,181,308
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,119,Vernon,65,0,3,2,67,0,6,105,0,248,393
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,120,Vernon,56,0,0,0,37,1,4,85,1,184,351
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,121,Vernon,71,2,0,0,53,2,13,122,2,265,481
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,122,Vernon,54,6,0,1,49,3,19,102,4,238,479
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,123,Vernon,61,1,1,2,39,1,4,77,1,187,358
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,124,Vernon,59,1,0,1,41,4,13,93,2,214,380
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,125A,Vernon,41,0,0,2,35,0,6,68,0,152,263
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,125B,Vernon,32,5,0,1,46,2,2,55,1,144,244
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,126A,Vernon,29,1,0,0,28,2,6,59,0,125,275
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,126B,Vernon,29,2,0,2,51,0,6,62,1,153,270
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,127A,Vernon,16,0,0,0,32,1,6,55,0,110,264
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,127B,Vernon,30,1,1,0,23,0,5,50,2,112,254
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,128,Vernon,59,3,0,0,41,2,9,94,2,210,451
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,129A,Vernon,54,0,0,0,37,2,8,87,2,190,367
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,129B,Vernon,32,2,1,1,39,3,5,66,3,152,348
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,130,Vernon,18,0,0,0,12,5,4,26,0,65,129
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,131,Vernon,52,3,0,3,26,0,7,68,1,160,318
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,132A,Vernon,50,0,0,1,18,1,10,42,0,122,255
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,132B,Vernon,51,2,0,0,25,0,6,28,0,112,269
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,133,Vernon,82,3,0,0,54,1,15,69,1,225,394
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,134,Vernon,67,3,0,0,61,6,15,74,0,226,428
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,135A,Vernon,40,0,1,0,47,1,3,66,0,158,290
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,135B,Vernon,41,0,0,0,26,1,9,64,0,141,285
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,136,Vernon,53,0,0,0,57,4,12,114,2,242,394
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,137,Vernon,40,1,2,0,67,1,8,82,1,202,371
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,138,Vernon,77,2,2,0,41,13,7,91,0,233,500
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,139,Vernon,38,0,0,0,48,2,14,82,0,184,416
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,140,Vernon,82,2,1,3,65,3,12,125,0,293,465
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,141,Vernon,54,2,2,1,82,0,15,122,0,278,474
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,142A,Vernon,35,1,1,1,30,2,1,66,1,138,305
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,142B,Vernon,41,0,1,1,28,1,8,54,0,134,297
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,143A,Vernon,32,0,0,1,23,3,3,72,0,134,268
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,143B,Vernon,42,3,0,0,29,0,5,58,1,138,264
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,144A,Vernon,32,1,0,0,20,5,7,68,1,134,288
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,144B,Vernon,41,0,0,0,17,0,6,66,0,130,294
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,145,Vernon,26,1,0,2,26,0,5,65,1,126,323
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,146A,Vernon,47,1,0,0,46,2,10,59,0,165,284
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,146B,Vernon,54,3,1,3,44,1,8,51,0,165,284
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,147,Vernon,34,0,0,1,31,1,3,54,0,124,284
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,148,Vernon,36,2,0,0,70,2,13,103,1,227,440
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,149,Vernon,40,0,0,1,55,0,5,81,1,183,352
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,150,Vernon,54,1,0,0,24,3,6,65,0,153,405
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,151,Vernon,58,1,0,2,39,4,12,85,1,202,379
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,152A,Vernon,30,1,1,1,23,1,8,52,2,119,294
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,152B,Vernon,36,0,0,0,47,3,5,53,0,144,304
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,153A,Vernon,35,0,1,1,22,4,11,59,0,133,305
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,153B,Vernon,37,1,1,1,30,3,8,48,0,129,292
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,154,Vernon,46,0,0,0,34,3,8,76,0,167,368
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,155,Vernon,47,4,0,0,33,2,11,45,0,142,371
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,156,Vernon,58,3,0,0,26,2,9,60,1,159,325
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,157A,Vernon,31,1,1,2,38,4,11,51,2,141,330
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,157B,Vernon,35,2,0,1,26,4,3,41,1,113,301
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,158,Vernon,48,1,1,0,57,0,14,57,1,179,344
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,159,Vernon,85,3,2,0,64,1,11,67,0,233,394
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,160A,Vernon,39,0,2,0,35,0,6,64,0,146,271
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,160B,Vernon,36,2,1,2,34,2,7,71,0,155,252
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,161A,Vernon,29,3,0,1,29,0,6,68,0,136,240
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,161B,Vernon,31,2,0,0,43,0,2,65,0,143,243
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,162,Vernon,23,1,0,3,40,5,5,67,2,146,348
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,163,Vernon,23,0,0,0,43,1,5,81,0,153,295
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,164,Vernon,19,0,0,0,21,2,7,41,0,90,236
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,165,Vernon,40,2,0,0,79,0,9,86,1,217,385
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,166A,Vernon,31,0,0,1,48,0,5,73,1,159,289
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,166B,Vernon,41,2,0,1,44,1,9,63,0,161,295
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,166C,Vernon,24,0,0,0,53,0,9,80,0,166,285
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,167,Vernon,21,2,0,0,41,0,2,69,1,136,197
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,168,Kalamalka,11,0,0,0,32,0,4,43,0,90,135
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,169A,Coldstream--Cousins Bay,43,0,0,0,49,0,10,46,0,148,249
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,169B,Coldstream--Cousins Bay,32,0,0,0,48,1,6,59,0,146,253
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,170,Coldstream Lookout,50,2,0,0,75,3,12,113,0,255,417
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,171,Coldstream College,32,1,0,0,32,1,13,79,1,159,258
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,172,Coldstream Lookout,17,1,0,0,51,0,9,70,0,148,231
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,173A,Coldstream--Orchard Ridge,27,5,0,1,65,0,6,84,0,188,313
North Okanagan--Shuswap/Okanagan-Nord--Shuswap,173B,Coldstream--Orchard Ridge,29,2,0,0,57,0,10,88,2,188,327
