District,Poll Number,Poll Name,Charles Isaac Hubbard,Michael J. Morrison,Hilaire Rousselle,Garry Sanipass,Rejected Ballots,Total Vote,Electors
Miramichi/Miramichi,31,Boom Road,89,65,24,14,1,193,299
Miramichi/Miramichi,32,Whitney,68,66,14,7,3,158,216
Miramichi/Miramichi,33,Strathadam,106,41,17,8,0,172,260
Miramichi/Miramichi,34,Eel Ground,78,11,8,22,1,120,340
Miramichi/Miramichi,35A,Bellefond--Beaver Brook,61,37,34,2,0,134,237
Miramichi/Miramichi,35B,Bellefond--Beaver Brook,58,41,61,9,2,171,243
Miramichi/Miramichi,36,Lower Newcastle,70,48,37,7,0,162,283
Miramichi/Miramichi,37A,Lavillette,120,17,60,4,6,207,347
Miramichi/Miramichi,37B,Lavillette,84,19,44,1,1,149,267
Miramichi/Miramichi,38,Bartibog Bridge,111,80,23,12,3,229,409
Miramichi/Miramichi,39,New Jersey,71,78,28,3,0,180,244
Miramichi/Miramichi,40,Lagacéville,162,41,80,2,4,289,452
Miramichi/Miramichi,41,Saint-Wilfred,104,24,65,2,1,196,285
Miramichi/Miramichi,42A,Fairisle,105,9,46,3,2,165,281
Miramichi/Miramichi,42B,Fairisle,104,26,60,9,1,200,293
Miramichi/Miramichi,43,Tabusintac 9,114,76,25,8,2,225,309
Miramichi/Miramichi,44A,Covedell,88,21,36,7,2,154,262
Miramichi/Miramichi,44B,Covedell,77,40,33,4,1,155,265
Miramichi/Miramichi,45,Brantville,59,13,49,6,4,131,205
Miramichi/Miramichi,46,Brantville,89,19,51,3,5,167,242
Miramichi/Miramichi,47,Pontgravé,129,37,82,7,11,266,384
Miramichi/Miramichi,48A,Brantville,135,23,65,7,2,232,317
Miramichi/Miramichi,48B,Brantville,122,24,67,5,3,221,335
Miramichi/Miramichi,49A,Rivière-du-Portage,92,24,67,1,4,188,303
Miramichi/Miramichi,49B,Rivière-du-Portage,69,27,57,6,2,161,251
Miramichi/Miramichi,50A,Burnt Church 14,34,6,1,12,0,53,347
Miramichi/Miramichi,50B,Burnt Church 14,23,4,3,11,1,42,310
Miramichi/Miramichi,51,Neguac,113,22,28,3,3,169,255
Miramichi/Miramichi,52,Neguac,110,42,45,8,6,211,310
Miramichi/Miramichi,53,Lower Neguac,156,35,68,6,5,270,387
Miramichi/Miramichi,54,Lower Neguac,156,25,58,3,8,250,407
Miramichi/Miramichi,55,Miramichi,90,54,15,10,4,173,284
Miramichi/Miramichi,56,Miramichi,118,81,31,12,2,244,335
Miramichi/Miramichi,57,Miramichi,79,55,15,5,2,156,296
Miramichi/Miramichi,58,Miramichi,88,32,17,2,0,139,316
Miramichi/Miramichi,59,Miramichi,113,72,25,11,5,226,408
Miramichi/Miramichi,60,Miramichi,73,55,24,5,0,157,326
Miramichi/Miramichi,61,Miramichi,90,46,15,13,1,165,298
Miramichi/Miramichi,62A,Miramichi,89,50,11,6,5,161,258
Miramichi/Miramichi,62B,Miramichi,93,44,14,3,0,154,253
Miramichi/Miramichi,63,Miramichi,119,65,37,2,2,225,404
