District,Poll Number,Poll Name,Ken Dryden,Peter Flaherty,Constantine Kritsonis,Michael Mostyn,Max Royz,Rejected Ballots,Total Vote,Electors
York Centre/York-Centre,117,North York,124,23,4,16,2,1,170,250
York Centre/York-Centre,118,North York,144,39,4,20,1,5,213,367
York Centre/York-Centre,119,North York,136,21,7,14,2,2,182,325
York Centre/York-Centre,120,North York,92,25,6,24,0,0,147,369
York Centre/York-Centre,121,North York,160,29,9,47,2,1,248,452
York Centre/York-Centre,122,North York,156,29,6,36,2,3,232,398
York Centre/York-Centre,123,North York,91,29,4,30,2,0,156,334
York Centre/York-Centre,124,North York,165,38,12,46,3,7,271,423
York Centre/York-Centre,125,North York,109,36,5,30,1,1,182,454
York Centre/York-Centre,126,North York,173,48,2,28,2,6,259,432
York Centre/York-Centre,127,North York,119,42,4,13,0,0,178,486
York Centre/York-Centre,128,North York,145,40,7,26,2,1,221,477
York Centre/York-Centre,129,North York,135,58,6,16,3,2,220,394
York Centre/York-Centre,130,North York,192,29,12,18,0,1,252,420
York Centre/York-Centre,131,North York,69,31,7,20,1,0,128,385
York Centre/York-Centre,132,North York,127,43,5,44,0,2,221,404
York Centre/York-Centre,133,North York,99,49,3,33,2,1,187,380
York Centre/York-Centre,134,North York,148,43,4,31,0,2,228,418
York Centre/York-Centre,135,North York,101,24,6,15,2,0,148,277
York Centre/York-Centre,136,North York,67,32,4,24,0,1,128,349
York Centre/York-Centre,137,North York,133,44,12,22,1,2,214,421
York Centre/York-Centre,138,North York,97,34,4,17,1,3,156,280
York Centre/York-Centre,139,North York,132,75,8,31,4,4,254,442
York Centre/York-Centre,140,North York,163,38,9,16,3,2,231,535
York Centre/York-Centre,141,North York,95,32,6,20,1,0,154,380
York Centre/York-Centre,142,North York,140,39,5,22,3,3,212,407
York Centre/York-Centre,143,North York,103,56,4,19,3,3,188,383
York Centre/York-Centre,144,North York,110,48,7,21,1,2,189,382
York Centre/York-Centre,145,North York,125,53,4,28,0,1,211,457
York Centre/York-Centre,146,North York,171,40,8,39,6,0,264,455
York Centre/York-Centre,147,North York,123,25,6,27,1,0,182,310
York Centre/York-Centre,148,North York,143,53,4,25,3,4,232,378
York Centre/York-Centre,149,North York,104,38,5,20,0,6,173,316
York Centre/York-Centre,150,North York,111,37,6,39,3,4,200,305
York Centre/York-Centre,151,North York,162,20,9,23,0,2,216,329
York Centre/York-Centre,152,North York,108,31,0,34,0,1,174,501
York Centre/York-Centre,153,North York,146,51,7,26,8,1,239,370
York Centre/York-Centre,154,North York,146,30,9,19,1,1,206,346
York Centre/York-Centre,155,North York,106,37,10,24,0,5,182,348
York Centre/York-Centre,156,North York,117,39,9,31,0,4,200,336
York Centre/York-Centre,157,North York,69,35,4,13,3,1,125,241
York Centre/York-Centre,158,North York,87,28,6,17,0,3,141,259
York Centre/York-Centre,159,North York,149,50,7,34,1,1,242,443
York Centre/York-Centre,160,North York,79,43,3,23,2,4,154,496
York Centre/York-Centre,161,North York,122,37,3,22,7,8,199,389
York Centre/York-Centre,162,North York,131,34,6,22,0,0,193,318
York Centre/York-Centre,163,North York,171,33,4,18,1,4,231,447
York Centre/York-Centre,164,North York,151,22,3,33,3,5,217,404
York Centre/York-Centre,165,North York,145,45,6,26,1,4,227,486
York Centre/York-Centre,166,North York,71,22,3,29,5,0,130,321
York Centre/York-Centre,167,North York,42,24,2,11,0,0,79,197
York Centre/York-Centre,168,North York,90,42,10,29,2,0,173,438
York Centre/York-Centre,169,North York,113,35,4,29,1,0,182,369
York Centre/York-Centre,170,North York,144,42,14,32,3,6,241,482
York Centre/York-Centre,171,North York,86,28,3,22,2,3,144,389
York Centre/York-Centre,400,North York,137,21,10,65,20,2,255,456
York Centre/York-Centre,401,North York,97,12,2,86,7,3,207,313
York Centre/York-Centre,402,North York,109,14,1,85,11,3,223,332
York Centre/York-Centre,403,North York,41,9,4,35,13,5,107,241
York Centre/York-Centre,404,North York,102,36,10,41,7,0,196,389
York Centre/York-Centre,405,North York,88,21,2,108,1,1,221,339
York Centre/York-Centre,406,North York,50,23,4,40,6,0,123,283
York Centre/York-Centre,407,North York,66,10,5,96,17,11,205,320
York Centre/York-Centre,500,Mobile poll/Bureau itinérant,46,6,1,6,2,0,61,68
York Centre/York-Centre,600,Toronto,303,68,15,143,9,1,539,
York Centre/York-Centre,601,Toronto,206,34,9,117,5,0,371,
York Centre/York-Centre,602,Toronto,363,65,23,221,2,3,677,
York Centre/York-Centre,603,Toronto,274,50,10,163,7,3,507,
York Centre/York-Centre,604,Toronto,104,41,6,67,0,0,218,
York Centre/York-Centre,605,Toronto,158,52,3,40,2,1,256,
York Centre/York-Centre,606,Toronto,176,61,11,74,7,0,329,
York Centre/York-Centre,,Group 1/Groupe 1,33,5,5,31,0,5,79,189
York Centre/York-Centre,,Group 2/Groupe 2,196,33,8,121,1,3,362,
