District,Poll Number,Poll Name,Rosie The Clown Elston,Janina Fisher Balfour,Rob Hutchison,Blair MacLean,Terry Marshall,Peter Milliken,Don Rogers,Karl Eric Walker,Rejected Ballots,Total Vote,Electors
Kingston and the Islands/Kingston et les Îles,43,Kingston,2,13,35,47,4,87,0,0,1,189,326
Kingston and the Islands/Kingston et les Îles,44,Kingston,2,5,44,38,1,102,1,0,1,194,391
Kingston and the Islands/Kingston et les Îles,45,Kingston,1,3,29,30,6,50,0,2,0,121,367
Kingston and the Islands/Kingston et les Îles,46,Kingston,0,10,52,37,3,86,0,1,0,189,395
Kingston and the Islands/Kingston et les Îles,47,Kingston,1,5,56,39,0,94,0,0,0,195,432
Kingston and the Islands/Kingston et les Îles,48,Kingston,1,7,55,44,0,68,0,1,0,176,430
Kingston and the Islands/Kingston et les Îles,49,Kingston,0,11,41,34,2,37,0,2,0,127,331
Kingston and the Islands/Kingston et les Îles,50,Kingston,1,12,48,60,8,71,1,0,0,201,467
Kingston and the Islands/Kingston et les Îles,51,Kingston,0,8,28,44,3,98,0,1,0,182,357
Kingston and the Islands/Kingston et les Îles,52,Kingston,1,4,28,37,2,39,0,2,0,113,411
Kingston and the Islands/Kingston et les Îles,53,Kingston,1,2,47,7,2,47,0,0,2,108,395
Kingston and the Islands/Kingston et les Îles,54,Kingston,0,3,52,16,2,32,0,1,0,106,352
Kingston and the Islands/Kingston et les Îles,55,Kingston,1,3,42,34,1,69,1,1,1,153,384
Kingston and the Islands/Kingston et les Îles,56,Kingston,1,5,57,81,0,120,0,0,1,265,493
Kingston and the Islands/Kingston et les Îles,57,Kingston,2,15,43,53,4,123,4,0,5,249,595
Kingston and the Islands/Kingston et les Îles,58,Kingston,2,6,60,23,3,74,2,0,4,174,444
Kingston and the Islands/Kingston et les Îles,59,Kingston,1,10,50,30,1,74,2,0,0,168,415
Kingston and the Islands/Kingston et les Îles,60,Kingston,0,13,27,23,2,93,0,2,0,160,346
Kingston and the Islands/Kingston et les Îles,61,Kingston,3,13,53,35,2,83,1,1,1,192,420
Kingston and the Islands/Kingston et les Îles,62,Kingston,2,11,31,28,1,66,2,0,1,142,334
Kingston and the Islands/Kingston et les Îles,63,Kingston,0,1,45,32,1,63,0,0,0,142,321
Kingston and the Islands/Kingston et les Îles,64,Kingston,1,11,54,36,0,57,3,2,0,164,392
Kingston and the Islands/Kingston et les Îles,65,Kingston,1,10,49,40,3,114,0,0,0,217,538
Kingston and the Islands/Kingston et les Îles,66,Kingston,1,8,29,36,5,70,0,0,1,150,476
Kingston and the Islands/Kingston et les Îles,67,Kingston,Void,,,,,,,,,,
Kingston and the Islands/Kingston et les Îles,68,Kingston,1,18,18,59,1,133,1,2,0,233,427
Kingston and the Islands/Kingston et les Îles,69,Kingston,1,8,26,36,1,105,0,1,1,179,385
Kingston and the Islands/Kingston et les Îles,70,Kingston,2,10,55,44,3,66,0,0,0,180,388
Kingston and the Islands/Kingston et les Îles,71,Kingston,0,9,38,50,0,131,0,0,0,228,425
Kingston and the Islands/Kingston et les Îles,72,Kingston,3,12,53,65,5,132,4,1,0,275,464
Kingston and the Islands/Kingston et les Îles,73,Kingston,0,12,22,52,3,130,0,0,0,219,387
Kingston and the Islands/Kingston et les Îles,74,Kingston,1,11,27,56,1,135,1,0,1,233,388
Kingston and the Islands/Kingston et les Îles,75,Kingston,0,11,34,41,2,99,0,0,0,187,347
Kingston and the Islands/Kingston et les Îles,76,Kingston,1,10,27,25,0,60,1,1,0,125,346
Kingston and the Islands/Kingston et les Îles,77,Kingston,2,9,23,73,6,121,0,0,0,234,370
Kingston and the Islands/Kingston et les Îles,78,Kingston,0,10,35,78,1,139,0,0,2,265,449
Kingston and the Islands/Kingston et les Îles,79,Kingston,3,6,29,59,4,158,1,0,0,260,391
Kingston and the Islands/Kingston et les Îles,80,Kingston,1,6,25,38,0,146,0,0,1,217,389
Kingston and the Islands/Kingston et les Îles,81,Kingston,0,11,27,76,5,119,0,0,0,238,397
Kingston and the Islands/Kingston et les Îles,82,Kingston,1,16,32,35,2,154,3,0,1,244,409
Kingston and the Islands/Kingston et les Îles,83,Kingston,3,12,31,72,0,146,0,1,0,265,506
Kingston and the Islands/Kingston et les Îles,84,Kingston,0,15,26,61,3,125,0,0,0,230,445
Kingston and the Islands/Kingston et les Îles,85,Kingston,1,7,25,32,3,57,2,0,1,128,271
Kingston and the Islands/Kingston et les Îles,86,Kingston,2,18,25,60,2,126,0,1,2,236,416
Kingston and the Islands/Kingston et les Îles,87,Kingston,1,3,16,31,1,67,0,0,0,119,248
Kingston and the Islands/Kingston et les Îles,88,Kingston,1,7,38,44,2,137,2,0,0,231,393
Kingston and the Islands/Kingston et les Îles,89,Kingston,1,6,43,37,1,72,1,1,1,163,415
Kingston and the Islands/Kingston et les Îles,90,Kingston,2,8,21,45,1,152,1,0,0,230,358
Kingston and the Islands/Kingston et les Îles,91,Kingston,2,18,26,67,7,174,0,0,0,294,410
Kingston and the Islands/Kingston et les Îles,92,Kingston,0,8,33,64,1,150,1,1,0,258,382
Kingston and the Islands/Kingston et les Îles,93,Kingston,0,11,41,16,0,57,0,0,0,125,441
Kingston and the Islands/Kingston et les Îles,94,Kingston,0,14,41,64,3,207,0,1,2,332,506
Kingston and the Islands/Kingston et les Îles,95,Kingston,1,14,24,60,4,125,0,0,1,229,423
Kingston and the Islands/Kingston et les Îles,96,Kingston,2,16,31,57,4,107,0,2,0,219,427
Kingston and the Islands/Kingston et les Îles,97,Kingston,1,9,31,44,2,90,0,0,1,178,332
Kingston and the Islands/Kingston et les Îles,98,Kingston,1,14,29,55,2,113,0,1,0,215,397
Kingston and the Islands/Kingston et les Îles,99,Kingston,1,11,62,101,1,229,0,2,0,407,767
Kingston and the Islands/Kingston et les Îles,100,Kingston,0,5,47,63,2,141,0,0,1,259,537
Kingston and the Islands/Kingston et les Îles,101,Kingston,0,19,37,55,4,120,0,1,1,237,462
Kingston and the Islands/Kingston et les Îles,102A,Kingston,0,18,46,38,0,86,0,0,0,188,311
Kingston and the Islands/Kingston et les Îles,102B,Mobile poll/Bureau itinérant,1,2,12,14,2,50,0,1,1,83,141
Kingston and the Islands/Kingston et les Îles,103,Kingston,0,4,31,39,1,73,2,0,0,150,236
Kingston and the Islands/Kingston et les Îles,104,Kingston,3,10,28,43,7,118,0,0,1,210,373
Kingston and the Islands/Kingston et les Îles,105,Kingston,0,16,50,22,6,69,0,1,0,164,348
Kingston and the Islands/Kingston et les Îles,106,Kingston,0,12,27,42,3,143,0,0,0,227,376
Kingston and the Islands/Kingston et les Îles,107,Kingston,2,13,37,33,5,93,2,0,1,186,460
Kingston and the Islands/Kingston et les Îles,108,Kingston,3,13,37,36,4,102,1,1,0,197,503
Kingston and the Islands/Kingston et les Îles,109,Kingston,2,5,45,64,4,148,0,2,1,271,624
Kingston and the Islands/Kingston et les Îles,110,Kingston,1,6,19,69,1,110,1,0,0,207,431
Kingston and the Islands/Kingston et les Îles,111,Kingston,0,8,19,76,5,110,1,0,0,219,413
Kingston and the Islands/Kingston et les Îles,112,Kingston,1,11,46,90,3,150,1,0,0,302,580
Kingston and the Islands/Kingston et les Îles,113,Kingston,1,15,22,62,0,133,0,0,0,233,450
Kingston and the Islands/Kingston et les Îles,114,Kingston,0,10,23,41,1,56,1,0,1,133,290
Kingston and the Islands/Kingston et les Îles,115,Kingston,1,4,27,30,0,95,1,0,2,160,304
Kingston and the Islands/Kingston et les Îles,116,Kingston,1,16,33,64,5,175,0,0,0,294,459
Kingston and the Islands/Kingston et les Îles,117,Kingston,2,17,15,46,4,143,0,0,0,227,352
Kingston and the Islands/Kingston et les Îles,118,Kingston,1,10,16,38,1,160,0,0,0,226,398
Kingston and the Islands/Kingston et les Îles,119,Kingston,0,5,7,60,1,131,0,0,0,204,331
Kingston and the Islands/Kingston et les Îles,120,Kingston,3,8,24,64,1,101,0,0,0,201,380
Kingston and the Islands/Kingston et les Îles,121,Kingston,0,17,36,79,3,175,0,0,0,310,567
Kingston and the Islands/Kingston et les Îles,122,Kingston,3,11,26,42,1,136,0,0,1,220,355
Kingston and the Islands/Kingston et les Îles,123,Kingston,1,12,16,49,1,107,1,2,1,190,340
Kingston and the Islands/Kingston et les Îles,124,Kingston,2,9,28,32,2,102,1,2,0,178,319
Kingston and the Islands/Kingston et les Îles,125,Kingston,0,12,15,34,3,114,2,0,0,180,343
Kingston and the Islands/Kingston et les Îles,126,Kingston,0,4,41,56,3,152,3,0,1,260,435
Kingston and the Islands/Kingston et les Îles,127,Kingston,0,4,39,46,3,140,0,0,1,233,371
Kingston and the Islands/Kingston et les Îles,128,Kingston,2,14,14,56,5,150,0,0,1,242,349
Kingston and the Islands/Kingston et les Îles,129,Kingston,2,14,31,51,3,124,0,0,1,226,351
Kingston and the Islands/Kingston et les Îles,130,Kingston,2,26,45,39,1,152,0,0,1,266,408
Kingston and the Islands/Kingston et les Îles,131,Kingston,0,5,32,47,5,119,0,3,1,212,470
Kingston and the Islands/Kingston et les Îles,132,Kingston,0,8,22,15,0,43,1,1,0,90,304
Kingston and the Islands/Kingston et les Îles,133,Kingston,2,4,30,34,1,52,2,0,0,125,284
Kingston and the Islands/Kingston et les Îles,134,Kingston,0,7,39,39,1,81,0,0,0,167,389
Kingston and the Islands/Kingston et les Îles,135,Kingston,0,9,50,35,1,82,1,1,0,179,436
Kingston and the Islands/Kingston et les Îles,136,Kingston,2,9,44,27,0,61,3,2,0,148,342
Kingston and the Islands/Kingston et les Îles,137,Kingston,0,13,34,37,1,75,1,1,1,163,319
Kingston and the Islands/Kingston et les Îles,138,Kingston,1,6,53,30,0,104,0,0,0,194,371
Kingston and the Islands/Kingston et les Îles,139,Kingston,0,8,48,17,1,47,0,0,0,121,290
Kingston and the Islands/Kingston et les Îles,140,Kingston,1,21,29,48,2,126,0,0,1,228,328
Kingston and the Islands/Kingston et les Îles,141,Kingston,0,18,42,54,1,157,0,0,1,273,416
Kingston and the Islands/Kingston et les Îles,142,Kingston,0,9,33,34,2,139,3,0,1,221,353
Kingston and the Islands/Kingston et les Îles,143,Kingston,6,11,27,53,3,133,2,3,0,238,353
Kingston and the Islands/Kingston et les Îles,144,Kingston,0,16,38,23,1,108,1,1,1,189,306
Kingston and the Islands/Kingston et les Îles,145,Kingston,2,13,41,56,2,126,0,0,0,240,631
Kingston and the Islands/Kingston et les Îles,146,Kingston,0,3,9,11,0,19,2,0,1,45,118
Kingston and the Islands/Kingston et les Îles,147,Kingston,3,16,48,34,2,137,1,1,1,243,430
Kingston and the Islands/Kingston et les Îles,148,Kingston,0,23,49,16,1,58,1,0,0,148,400
Kingston and the Islands/Kingston et les Îles,149,Kingston,0,18,48,30,2,91,1,0,1,191,398
Kingston and the Islands/Kingston et les Îles,150,Kingston,1,8,35,30,1,65,0,0,1,141,317
Kingston and the Islands/Kingston et les Îles,151,Kingston,2,16,44,21,3,79,2,0,0,167,297
Kingston and the Islands/Kingston et les Îles,152,Kingston,0,18,27,87,0,196,2,2,0,332,622
Kingston and the Islands/Kingston et les Îles,153,Kingston,1,19,32,55,0,145,1,0,0,253,415
Kingston and the Islands/Kingston et les Îles,154,Kingston,3,10,26,54,4,151,0,0,2,250,432
Kingston and the Islands/Kingston et les Îles,155,Kingston,0,19,27,28,3,65,1,0,0,143,337
Kingston and the Islands/Kingston et les Îles,156,Kingston,2,16,32,16,0,57,0,0,1,124,336
Kingston and the Islands/Kingston et les Îles,157,Kingston,0,12,41,15,3,57,1,0,0,129,337
Kingston and the Islands/Kingston et les Îles,158,Kingston,2,16,48,20,0,72,1,0,1,160,323
Kingston and the Islands/Kingston et les Îles,159,Kingston,1,19,42,26,2,52,0,0,1,143,395
Kingston and the Islands/Kingston et les Îles,160,Kingston,2,18,42,8,1,57,0,1,0,129,259
Kingston and the Islands/Kingston et les Îles,161,Kingston,1,14,32,6,1,37,1,0,2,94,206
Kingston and the Islands/Kingston et les Îles,162,Kingston,0,10,29,13,1,49,1,0,0,103,234
Kingston and the Islands/Kingston et les Îles,163,Kingston,0,27,23,14,0,47,0,0,0,111,215
Kingston and the Islands/Kingston et les Îles,164,Kingston,1,21,32,20,1,56,0,1,0,132,309
Kingston and the Islands/Kingston et les Îles,165,Kingston,1,8,40,22,0,75,1,1,1,149,309
Kingston and the Islands/Kingston et les Îles,166,Kingston,1,11,26,21,3,64,0,1,2,129,285
Kingston and the Islands/Kingston et les Îles,167,Kingston,1,29,23,32,1,99,2,0,1,188,305
Kingston and the Islands/Kingston et les Îles,168,Kingston,1,21,38,25,3,102,1,0,1,192,365
Kingston and the Islands/Kingston et les Îles,169,Kingston,0,25,38,24,1,115,2,0,0,205,346
Kingston and the Islands/Kingston et les Îles,170,Kingston,0,22,47,14,1,81,1,1,0,167,270
Kingston and the Islands/Kingston et les Îles,171,Kingston,0,26,36,20,0,68,0,0,0,150,304
Kingston and the Islands/Kingston et les Îles,172,Kingston,1,11,40,7,1,63,0,0,0,123,339
Kingston and the Islands/Kingston et les Îles,173,Kingston,0,17,30,8,0,70,1,0,0,126,400
Kingston and the Islands/Kingston et les Îles,174,Kingston,1,8,35,37,5,94,1,0,2,183,558
Kingston and the Islands/Kingston et les Îles,175,Kingston,0,11,39,27,2,57,1,0,1,138,319
Kingston and the Islands/Kingston et les Îles,176,Kingston,0,14,44,16,1,51,1,0,0,127,377
Kingston and the Islands/Kingston et les Îles,177,Kingston,5,20,64,20,2,84,0,3,0,198,398
Kingston and the Islands/Kingston et les Îles,178,Kingston,1,17,67,37,4,85,2,1,1,215,443
Kingston and the Islands/Kingston et les Îles,179,Kingston,0,23,50,26,0,55,3,0,0,157,297
Kingston and the Islands/Kingston et les Îles,180,Kingston,0,35,89,13,0,83,1,0,2,223,469
Kingston and the Islands/Kingston et les Îles,181,Kingston,0,19,77,12,1,56,0,1,2,168,372
Kingston and the Islands/Kingston et les Îles,182,Kingston,0,7,36,7,0,53,1,0,0,104,221
Kingston and the Islands/Kingston et les Îles,183,Kingston,1,27,49,13,0,59,0,0,1,150,299
Kingston and the Islands/Kingston et les Îles,184,Kingston,0,22,67,8,0,64,0,0,0,161,263
Kingston and the Islands/Kingston et les Îles,185,Kingston,2,26,69,55,1,121,5,1,1,281,517
Kingston and the Islands/Kingston et les Îles,186,Kingston,0,16,32,25,0,85,0,0,0,158,326
Kingston and the Islands/Kingston et les Îles,187,Kingston,2,18,55,24,3,90,0,0,3,195,392
Kingston and the Islands/Kingston et les Îles,188,Kingston,0,17,59,18,0,93,0,0,0,187,351
Kingston and the Islands/Kingston et les Îles,189,Kingston,0,9,24,14,1,43,1,0,0,92,194
Kingston and the Islands/Kingston et les Îles,190,Kingston,0,26,49,24,0,74,0,0,2,175,344
Kingston and the Islands/Kingston et les Îles,191,Kingston,2,28,50,48,2,142,1,0,0,273,419
Kingston and the Islands/Kingston et les Îles,192,Kingston,0,29,32,22,0,138,0,0,0,221,381
Kingston and the Islands/Kingston et les Îles,193,Kingston,0,16,38,28,0,135,0,0,1,218,395
Kingston and the Islands/Kingston et les Îles,194,Kingston,1,10,27,23,0,64,1,0,0,126,246
Kingston and the Islands/Kingston et les Îles,195,Kingston,0,14,40,21,1,96,2,1,0,175,321
Kingston and the Islands/Kingston et les Îles,196,Kingston,0,26,50,18,0,94,0,1,0,189,457
Kingston and the Islands/Kingston et les Îles,197,Kingston,0,17,49,20,0,94,0,0,1,181,484
Kingston and the Islands/Kingston et les Îles,198,Kingston,0,11,35,19,3,80,3,0,1,152,267
Kingston and the Islands/Kingston et les Îles,199,Kingston,1,7,30,14,0,52,1,0,0,105,236
Kingston and the Islands/Kingston et les Îles,200,Kingston,0,9,20,42,1,115,0,0,0,187,327
Kingston and the Islands/Kingston et les Îles,201,Kingston,0,9,43,43,0,149,0,0,1,245,439
Kingston and the Islands/Kingston et les Îles,202,Kingston,1,23,46,26,1,135,1,0,0,233,423
Kingston and the Islands/Kingston et les Îles,203,Kingston,0,27,53,22,0,137,6,0,1,246,441
Kingston and the Islands/Kingston et les Îles,204,Kingston,1,19,35,8,0,53,2,0,0,118,211
Kingston and the Islands/Kingston et les Îles,205,Kingston,0,15,33,23,0,90,2,0,1,164,288
Kingston and the Islands/Kingston et les Îles,206,Kingston,1,16,19,21,0,75,2,0,0,134,367
Kingston and the Islands/Kingston et les Îles,207,Kingston,2,13,21,81,0,157,0,0,1,275,487
Kingston and the Islands/Kingston et les Îles,208,Kingston,0,15,41,74,1,136,0,0,1,268,394
Kingston and the Islands/Kingston et les Îles,209,Kingston,1,11,15,58,1,91,0,0,0,177,361
Kingston and the Islands/Kingston et les Îles,210,Kingston,1,22,39,63,1,164,0,0,3,293,557
Kingston and the Islands/Kingston et les Îles,211,Kingston,0,15,23,28,0,79,1,0,0,146,1010
Kingston and the Islands/Kingston et les Îles,212,Kingston,1,17,26,72,2,162,0,0,1,281,501
Kingston and the Islands/Kingston et les Îles,213,Kingston,0,4,10,54,0,29,0,1,0,98,335
Kingston and the Islands/Kingston et les Îles,214,Kingston,1,5,15,52,1,15,0,0,0,89,316
Kingston and the Islands/Kingston et les Îles,215,Kingston,0,9,17,49,0,52,0,0,0,127,295
Kingston and the Islands/Kingston et les Îles,216,Kingston,0,6,20,38,0,66,0,1,2,133,224
Kingston and the Islands/Kingston et les Îles,217,Kingston,1,23,26,73,0,131,0,0,0,254,413
Kingston and the Islands/Kingston et les Îles,218,Kingston,0,18,50,108,3,150,0,0,0,329,525
Kingston and the Islands/Kingston et les Îles,219,Kingston,1,7,16,46,0,134,0,0,0,204,343
Kingston and the Islands/Kingston et les Îles,220,Kingston,0,14,18,32,0,91,1,0,0,156,307
Kingston and the Islands/Kingston et les Îles,221,Kingston,1,23,42,137,5,254,0,0,3,465,717
Kingston and the Islands/Kingston et les Îles,222,Kingston,3,13,36,118,2,152,2,1,0,327,610
Kingston and the Islands/Kingston et les Îles,223,Kingston,4,17,49,70,0,165,0,2,0,307,473
Kingston and the Islands/Kingston et les Îles,224,Howe Island,2,15,33,76,1,186,0,0,2,315,446
Kingston and the Islands/Kingston et les Îles,225,Wolfe Island,2,13,32,68,3,108,0,0,2,228,329
Kingston and the Islands/Kingston et les Îles,226,Wolfe Island,1,41,39,94,2,247,0,1,0,425,597
Kingston and the Islands/Kingston et les Îles,400,Kingston,0,0,2,2,2,26,0,1,0,33,169
Kingston and the Islands/Kingston et les Îles,401,Kingston,0,3,8,16,5,76,0,1,4,113,286
Kingston and the Islands/Kingston et les Îles,402,Kingston,Merged with No. 206,,,,,,,,,,1
Kingston and the Islands/Kingston et les Îles,403,Kingston,Merged with No. 206,,,,,,,,,,1
Kingston and the Islands/Kingston et les Îles,404,Kingston,Merged with No. 146,,,,,,,,,,1
Kingston and the Islands/Kingston et les Îles,405,Kingston,Merged with No. 146,,,,,,,,,,12
Kingston and the Islands/Kingston et les Îles,406,Kingston,0,0,0,0,0,0,0,0,0,0,34
Kingston and the Islands/Kingston et les Îles,407,Kingston,2,2,9,17,1,23,2,1,0,57,145
Kingston and the Islands/Kingston et les Îles,500,Mobile poll/Bureau itinérant,2,5,4,21,0,56,0,1,4,93,168
Kingston and the Islands/Kingston et les Îles,501,Mobile poll/Bureau itinérant,1,1,14,37,2,90,0,0,7,152,207
Kingston and the Islands/Kingston et les Îles,502,Mobile poll/Bureau itinérant,2,6,3,25,0,24,0,1,0,61,90
Kingston and the Islands/Kingston et les Îles,600,Pittsburgh,0,5,15,46,1,34,0,0,0,101,
Kingston and the Islands/Kingston et les Îles,601,Kingston,2,19,53,191,6,242,1,2,0,516,
Kingston and the Islands/Kingston et les Îles,602,High Gate Park,2,49,99,137,2,413,2,0,0,704,
Kingston and the Islands/Kingston et les Îles,603,Rideau Heights,3,29,109,194,8,285,1,1,2,632,
Kingston and the Islands/Kingston et les Îles,604,Bayridge,3,24,70,181,7,332,3,0,2,622,
Kingston and the Islands/Kingston et les Îles,605,Strathcona Park,3,47,107,257,9,572,3,1,0,999,
Kingston and the Islands/Kingston et les Îles,606,Lakeland Acres,1,46,84,271,4,604,3,1,0,1014,
Kingston and the Islands/Kingston et les Îles,607,Polson Park,1,44,111,244,4,448,2,0,2,856,
Kingston and the Islands/Kingston et les Îles,608,Kingston,3,51,94,97,4,308,1,1,1,560,
Kingston and the Islands/Kingston et les Îles,609,Kingston,0,45,97,56,2,136,2,2,2,342,
Kingston and the Islands/Kingston et les Îles,610,Kingston,0,53,81,105,0,345,5,0,1,590,
Kingston and the Islands/Kingston et les Îles,611,Pittsburgh,0,22,33,163,2,256,1,0,3,480,
Kingston and the Islands/Kingston et les Îles,612,Pittsburgh,0,15,29,122,0,178,1,0,0,345,
Kingston and the Islands/Kingston et les Îles,,Group 1/Groupe 1,2,27,37,186,3,218,0,1,3,477,1013
Kingston and the Islands/Kingston et les Îles,,Group 2/Groupe 2,1,49,109,170,3,327,2,1,8,670,
