District,Poll Number,Poll Name,Mike Bocking,Scott Etches,Blanche Juneau,Randy Kamp,Tammy Lea Meyer,Rejected Ballots,Total Vote,Electors
Dewdney--Alouette/Dewdney--Alouette,142,Mission,32,3,10,33,2,0,80,131
Dewdney--Alouette/Dewdney--Alouette,143,Mission,68,5,29,51,9,1,163,323
Dewdney--Alouette/Dewdney--Alouette,144,Mission,125,2,60,98,13,0,298,517
Dewdney--Alouette/Dewdney--Alouette,145,Mission,115,8,54,85,16,1,279,522
Dewdney--Alouette/Dewdney--Alouette,146,Mission,78,4,69,105,10,0,266,465
Dewdney--Alouette/Dewdney--Alouette,147A,Mission,34,3,30,74,8,0,149,261
Dewdney--Alouette/Dewdney--Alouette,147B,Mission,62,4,34,56,7,0,163,279
Dewdney--Alouette/Dewdney--Alouette,148,Mission,55,4,65,105,8,1,238,407
Dewdney--Alouette/Dewdney--Alouette,148-1,Mission,63,4,57,119,12,1,256,474
Dewdney--Alouette/Dewdney--Alouette,149,Mission,67,8,52,135,13,0,275,463
Dewdney--Alouette/Dewdney--Alouette,150,Mission,23,3,23,65,6,0,120,190
Dewdney--Alouette/Dewdney--Alouette,151,Mission,59,1,47,79,10,0,196,303
Dewdney--Alouette/Dewdney--Alouette,152,Mission,73,7,58,107,25,0,270,412
Dewdney--Alouette/Dewdney--Alouette,153,Mission,111,4,57,115,11,0,298,489
Dewdney--Alouette/Dewdney--Alouette,154,Mission,86,9,71,113,8,0,287,444
Dewdney--Alouette/Dewdney--Alouette,155,Mission,12,1,3,18,5,0,39,59
Dewdney--Alouette/Dewdney--Alouette,156,Mission,82,4,32,97,13,1,229,450
Dewdney--Alouette/Dewdney--Alouette,157,Mission,79,3,38,60,4,0,184,355
Dewdney--Alouette/Dewdney--Alouette,158A,Mission,48,5,16,40,4,0,113,269
Dewdney--Alouette/Dewdney--Alouette,158B,Mission,52,4,31,55,9,1,152,295
Dewdney--Alouette/Dewdney--Alouette,159,Mission,50,6,17,39,7,0,119,249
Dewdney--Alouette/Dewdney--Alouette,160,Mission,59,6,52,94,13,0,224,459
Dewdney--Alouette/Dewdney--Alouette,161,Mission,70,15,19,54,8,1,167,314
Dewdney--Alouette/Dewdney--Alouette,162,Mission,37,7,35,50,10,0,139,340
Dewdney--Alouette/Dewdney--Alouette,163,Mission,63,5,31,121,14,1,235,413
Dewdney--Alouette/Dewdney--Alouette,164,Mission,98,9,42,84,8,1,242,417
Dewdney--Alouette/Dewdney--Alouette,165,Mission,45,4,40,66,11,0,166,299
Dewdney--Alouette/Dewdney--Alouette,166A,Mission,54,5,44,69,11,1,184,350
Dewdney--Alouette/Dewdney--Alouette,166B,Mission,54,2,32,73,5,0,166,274
Dewdney--Alouette/Dewdney--Alouette,167,Mission,65,4,22,55,7,2,155,259
Dewdney--Alouette/Dewdney--Alouette,168,Mission,45,10,22,68,8,0,153,329
Dewdney--Alouette/Dewdney--Alouette,169A,Mission,56,4,31,50,10,0,151,300
Dewdney--Alouette/Dewdney--Alouette,169B,Mission,51,2,18,45,7,1,124,289
Dewdney--Alouette/Dewdney--Alouette,170,Mission,76,9,45,62,10,0,202,419
Dewdney--Alouette/Dewdney--Alouette,171,Mission,66,5,33,51,10,0,165,387
Dewdney--Alouette/Dewdney--Alouette,172,Mission,81,8,57,90,25,1,262,482
Dewdney--Alouette/Dewdney--Alouette,173,Mission,59,5,39,52,13,0,168,313
Dewdney--Alouette/Dewdney--Alouette,174,Mission,90,4,75,76,13,1,259,477
Dewdney--Alouette/Dewdney--Alouette,175,Mission,54,7,21,63,11,0,156,335
Dewdney--Alouette/Dewdney--Alouette,176,Mission,58,7,66,94,9,0,234,387
Dewdney--Alouette/Dewdney--Alouette,177,Mission,60,5,40,56,10,0,171,401
Dewdney--Alouette/Dewdney--Alouette,178,Mission,85,7,25,73,7,0,197,383
Dewdney--Alouette/Dewdney--Alouette,179,Mission,70,7,29,54,7,0,167,338
Dewdney--Alouette/Dewdney--Alouette,400,Maple Ridge,Void,,,,,,,
Dewdney--Alouette/Dewdney--Alouette,500,Mobile poll/Bureau itinérant,20,5,14,24,7,0,70,130
Dewdney--Alouette/Dewdney--Alouette,501,Mobile poll/Bureau itinérant,21,2,33,36,5,0,97,158
Dewdney--Alouette/Dewdney--Alouette,502,Mobile poll/Bureau itinérant,48,6,23,31,5,1,114,110
Dewdney--Alouette/Dewdney--Alouette,503,Mobile poll/Bureau itinérant,25,2,17,26,2,3,75,77
Dewdney--Alouette/Dewdney--Alouette,600,Hatzic,7,0,7,18,0,0,32,
Dewdney--Alouette/Dewdney--Alouette,601,Pitt Meadows,107,5,65,161,15,0,353,
Dewdney--Alouette/Dewdney--Alouette,602,Maple Ridge,165,2,118,328,27,2,642,
Dewdney--Alouette/Dewdney--Alouette,603,Maple Ridge,130,3,82,186,19,1,421,
Dewdney--Alouette/Dewdney--Alouette,604,Maple Ridge,176,2,86,217,30,2,513,
Dewdney--Alouette/Dewdney--Alouette,605,Maple Ridge,216,7,166,339,35,0,763,
Dewdney--Alouette/Dewdney--Alouette,606,Mission,124,6,104,246,29,5,514,
Dewdney--Alouette/Dewdney--Alouette,607,Mission,168,14,114,224,25,4,549,
Dewdney--Alouette/Dewdney--Alouette,,Group 1/Groupe 1,14,1,21,30,8,1,75,142
Dewdney--Alouette/Dewdney--Alouette,,Group 2/Groupe 2,141,2,90,258,28,10,529,
