District,Poll Number,Poll Name,Hilary Crowley,Harley J. Harasym,Jay Hill,Michael Hunter,Tara Rimstad,Arleene Thorpe,Rejected Ballots,Total Vote,Electors
Prince George--Peace River/Prince George--Peace River,32,Rose Prairie,0,0,148,8,0,6,0,162,275
Prince George--Peace River/Prince George--Peace River,33,Montney,7,0,95,6,0,6,0,114,275
Prince George--Peace River/Prince George--Peace River,34,Bear Flat,26,0,396,39,0,33,3,497,1001
Prince George--Peace River/Prince George--Peace River,35,Charlie Lake,6,1,94,7,0,18,0,126,217
Prince George--Peace River/Prince George--Peace River,36,Charlie Lake,8,0,136,14,1,20,0,179,347
Prince George--Peace River/Prince George--Peace River,37,Charlie Lake,10,1,138,18,1,17,0,185,444
Prince George--Peace River/Prince George--Peace River,38,North Pine,2,1,97,8,0,5,0,113,210
Prince George--Peace River/Prince George--Peace River,39,Grand Haven,6,0,167,11,0,11,1,196,347
Prince George--Peace River/Prince George--Peace River,40,Grand Haven,7,1,151,21,1,9,0,190,349
Prince George--Peace River/Prince George--Peace River,41,Fort St. John,5,0,144,16,0,15,0,180,321
Prince George--Peace River/Prince George--Peace River,42,Fort St. John,10,0,219,16,1,15,1,262,587
Prince George--Peace River/Prince George--Peace River,43,Two Rivers,9,0,170,15,0,6,5,205,401
Prince George--Peace River/Prince George--Peace River,44,Taylor,9,0,105,10,1,8,0,133,266
Prince George--Peace River/Prince George--Peace River,45,Taylor,15,1,234,29,0,16,1,296,587
Prince George--Peace River/Prince George--Peace River,46,Cecil Lake,6,0,175,14,0,9,0,204,343
Prince George--Peace River/Prince George--Peace River,47,Flatrock,2,0,116,6,0,0,0,124,231
Prince George--Peace River/Prince George--Peace River,48,Fort St. John,9,0,159,33,1,36,0,238,424
Prince George--Peace River/Prince George--Peace River,49,Fort St. John,11,1,180,32,1,31,2,258,530
Prince George--Peace River/Prince George--Peace River,50,Fort St. John,12,1,155,29,0,23,0,220,456
Prince George--Peace River/Prince George--Peace River,51,Fort St. John,8,0,152,31,0,24,1,216,437
Prince George--Peace River/Prince George--Peace River,52,Fort St. John,7,0,108,14,2,10,0,141,313
Prince George--Peace River/Prince George--Peace River,53,Fort St. John,6,0,175,50,1,23,0,255,483
Prince George--Peace River/Prince George--Peace River,54,Fort St. John,12,0,152,28,0,11,0,203,383
Prince George--Peace River/Prince George--Peace River,55A,Fort St. John,2,1,138,14,1,19,1,176,352
Prince George--Peace River/Prince George--Peace River,55B,Fort St. John,3,1,74,21,0,20,1,120,278
Prince George--Peace River/Prince George--Peace River,56,Fort St. John,6,4,114,32,0,20,3,179,403
Prince George--Peace River/Prince George--Peace River,57,Fort St. John,3,2,103,28,1,12,0,149,495
Prince George--Peace River/Prince George--Peace River,58,Fort St. John,4,0,124,20,0,21,0,169,380
Prince George--Peace River/Prince George--Peace River,59,Fort St. John,5,1,43,14,0,9,0,72,340
Prince George--Peace River/Prince George--Peace River,60,Fort St. John,9,0,96,24,0,19,1,149,443
Prince George--Peace River/Prince George--Peace River,61,Fort St. John,18,2,98,29,2,13,2,164,385
Prince George--Peace River/Prince George--Peace River,62,Fort St. John,9,0,83,23,0,17,0,132,413
Prince George--Peace River/Prince George--Peace River,63,Fort St. John,9,3,102,34,0,26,1,175,414
Prince George--Peace River/Prince George--Peace River,64,Fort St. John,5,2,133,31,0,21,1,193,455
Prince George--Peace River/Prince George--Peace River,65,Fort St. John,11,0,132,25,1,18,1,188,406
Prince George--Peace River/Prince George--Peace River,66,Fort St. John,10,1,139,30,0,9,0,189,506
Prince George--Peace River/Prince George--Peace River,67,Fort St. John,4,0,62,12,0,4,0,82,177
Prince George--Peace River/Prince George--Peace River,68,Fort St. John,10,1,90,25,0,11,0,137,355
Prince George--Peace River/Prince George--Peace River,69,Fort St. John,8,0,86,26,0,13,0,133,457
Prince George--Peace River/Prince George--Peace River,70,Fort St. John,12,1,136,31,0,15,0,195,515
Prince George--Peace River/Prince George--Peace River,71,Fort St. John,4,2,95,17,0,14,0,132,306
Prince George--Peace River/Prince George--Peace River,72A,Fort St. John,11,0,83,17,0,11,1,123,406
Prince George--Peace River/Prince George--Peace River,72B,Fort St. John,11,0,61,13,0,12,0,97,294
Prince George--Peace River/Prince George--Peace River,73,Lemoray,0,0,9,1,0,1,0,11,15
Prince George--Peace River/Prince George--Peace River,74,Hudson's Hope,6,1,103,31,1,15,0,157,264
Prince George--Peace River/Prince George--Peace River,75,Hudson's Hope,32,4,200,58,1,22,3,320,512
Prince George--Peace River/Prince George--Peace River,76,Moberly Lake,13,0,54,51,0,27,0,145,325
Prince George--Peace River/Prince George--Peace River,77,Jackfish Lake,2,0,71,17,0,11,0,101,219
Prince George--Peace River/Prince George--Peace River,78,Chetwynd,10,1,112,24,2,19,2,170,312
Prince George--Peace River/Prince George--Peace River,79,Chetwynd,3,2,134,44,0,28,1,212,382
Prince George--Peace River/Prince George--Peace River,80,Commotion Creek,7,3,117,41,0,20,0,188,534
Prince George--Peace River/Prince George--Peace River,81,Chetwynd,9,1,85,35,1,20,0,151,362
Prince George--Peace River/Prince George--Peace River,82,Chetwynd,6,1,106,51,1,22,0,187,366
Prince George--Peace River/Prince George--Peace River,83,Chetwynd,11,2,182,58,1,31,0,285,524
Prince George--Peace River/Prince George--Peace River,84,Lone Prairie,2,0,34,4,0,2,0,42,117
Prince George--Peace River/Prince George--Peace River,85,Bear Lake,21,1,53,6,1,7,2,91,189
Prince George--Peace River/Prince George--Peace River,86A,Reid Lake,13,2,87,30,0,32,0,164,342
Prince George--Peace River/Prince George--Peace River,86B,Reid Lake,12,2,79,57,0,23,1,174,337
Prince George--Peace River/Prince George--Peace River,87,Nukko Lake,11,1,129,44,1,44,1,231,385
Prince George--Peace River/Prince George--Peace River,88A,Nukko Lake,9,1,91,27,1,41,1,171,380
Prince George--Peace River/Prince George--Peace River,88B,Nukko Lake,9,0,73,31,2,20,0,135,315
Prince George--Peace River/Prince George--Peace River,89,Salmon Valley,15,3,109,44,0,38,0,209,360
Prince George--Peace River/Prince George--Peace River,90,Willow River,12,1,60,26,1,12,2,114,237
Prince George--Peace River/Prince George--Peace River,91,Ferndale,14,5,99,40,0,32,0,190,349
Prince George--Peace River/Prince George--Peace River,92,Shelley,12,2,78,27,0,25,1,145,256
Prince George--Peace River/Prince George--Peace River,93A,Prince George,14,2,68,34,0,28,0,146,317
Prince George--Peace River/Prince George--Peace River,93B,Prince George,8,4,64,20,0,25,1,122,282
Prince George--Peace River/Prince George--Peace River,94,Prince George,9,2,87,51,1,25,1,176,361
Prince George--Peace River/Prince George--Peace River,95,Prince George,9,3,70,34,0,21,0,137,304
Prince George--Peace River/Prince George--Peace River,96,Tabor,14,4,116,57,0,49,1,241,447
Prince George--Peace River/Prince George--Peace River,97,Pineview,11,3,154,48,0,50,4,270,494
Prince George--Peace River/Prince George--Peace River,98,Pineview,9,3,144,40,1,34,0,231,407
Prince George--Peace River/Prince George--Peace River,99,Prince George,10,3,80,30,0,20,0,143,261
Prince George--Peace River/Prince George--Peace River,100,Pineview,14,1,74,19,1,36,1,146,240
Prince George--Peace River/Prince George--Peace River,101,Buckhorn,7,1,83,30,0,26,0,147,237
Prince George--Peace River/Prince George--Peace River,102,Buckhorn,15,1,105,40,0,34,0,195,333
Prince George--Peace River/Prince George--Peace River,103,Stoner,6,0,46,28,0,16,0,96,192
Prince George--Peace River/Prince George--Peace River,104,Buckhorn,8,0,91,40,0,33,0,172,273
Prince George--Peace River/Prince George--Peace River,105,Upper Fraser,4,0,25,21,0,13,0,63,101
Prince George--Peace River/Prince George--Peace River,106,Longworth,Merged with No. 105,,,,,,,,29
Prince George--Peace River/Prince George--Peace River,107,Prince George,10,1,126,44,0,43,0,224,470
Prince George--Peace River/Prince George--Peace River,108,Prince George,13,1,102,42,1,22,0,181,343
Prince George--Peace River/Prince George--Peace River,109,Prince George,14,5,112,60,0,38,0,229,545
Prince George--Peace River/Prince George--Peace River,110,Prince George,8,5,112,56,0,24,0,205,424
Prince George--Peace River/Prince George--Peace River,111,Prince George,13,4,92,64,0,35,0,208,489
Prince George--Peace River/Prince George--Peace River,112,Prince George,14,1,103,61,1,36,0,216,456
Prince George--Peace River/Prince George--Peace River,113,Prince George,21,1,128,38,0,70,2,260,454
Prince George--Peace River/Prince George--Peace River,114,Prince George,20,1,124,58,0,49,0,252,461
Prince George--Peace River/Prince George--Peace River,115,Prince George,5,0,36,32,1,13,0,87,254
Prince George--Peace River/Prince George--Peace River,116,Prince George,8,3,113,51,0,33,0,208,347
Prince George--Peace River/Prince George--Peace River,117,Prince George,18,1,116,37,0,46,1,219,384
Prince George--Peace River/Prince George--Peace River,118,Prince George,8,3,131,52,1,39,0,234,481
Prince George--Peace River/Prince George--Peace River,119A,Prince George,8,0,83,29,1,45,0,166,313
Prince George--Peace River/Prince George--Peace River,119B,Prince George,5,0,107,47,0,34,0,193,327
Prince George--Peace River/Prince George--Peace River,120,Prince George,11,1,94,70,1,40,1,218,431
Prince George--Peace River/Prince George--Peace River,121,Prince George,5,1,105,79,0,51,0,241,532
Prince George--Peace River/Prince George--Peace River,122,Prince George,18,3,114,57,0,57,0,249,513
Prince George--Peace River/Prince George--Peace River,123,Prince George,9,3,94,50,1,44,1,202,463
Prince George--Peace River/Prince George--Peace River,124,Prince George,6,1,73,62,0,33,1,176,310
Prince George--Peace River/Prince George--Peace River,125,Prince George,12,1,101,47,1,37,2,201,349
Prince George--Peace River/Prince George--Peace River,126,Prince George,20,0,144,41,5,75,1,286,517
Prince George--Peace River/Prince George--Peace River,127A,Prince George,10,3,85,53,0,40,1,192,422
Prince George--Peace River/Prince George--Peace River,127B,Prince George,7,1,87,35,1,30,2,163,354
Prince George--Peace River/Prince George--Peace River,128,Prince George,18,0,124,64,1,38,0,245,494
Prince George--Peace River/Prince George--Peace River,129,Prince George,3,2,49,25,0,26,0,105,233
Prince George--Peace River/Prince George--Peace River,130,Prince George,15,2,95,45,0,29,1,187,405
Prince George--Peace River/Prince George--Peace River,131,Prince George,7,1,72,39,0,31,0,150,347
Prince George--Peace River/Prince George--Peace River,132,Prince George,11,0,53,33,0,19,0,116,251
Prince George--Peace River/Prince George--Peace River,133,Prince George,21,4,101,63,1,53,0,243,425
Prince George--Peace River/Prince George--Peace River,134,Prince George,12,3,47,66,3,23,1,155,368
Prince George--Peace River/Prince George--Peace River,135,Prince George,21,3,68,61,0,38,0,191,496
Prince George--Peace River/Prince George--Peace River,136,Prince George,12,1,82,66,1,48,2,212,440
Prince George--Peace River/Prince George--Peace River,137,Prince George,7,2,45,54,0,22,3,133,330
Prince George--Peace River/Prince George--Peace River,138,Prince George,8,2,46,46,2,19,0,123,363
Prince George--Peace River/Prince George--Peace River,139,Prince George,8,0,64,49,1,36,0,158,341
Prince George--Peace River/Prince George--Peace River,140,Prince George,17,2,63,60,0,32,2,176,349
Prince George--Peace River/Prince George--Peace River,141,Prince George,11,4,67,55,0,35,0,172,296
Prince George--Peace River/Prince George--Peace River,142,Prince George,16,0,75,44,0,55,1,191,396
Prince George--Peace River/Prince George--Peace River,143,Prince George,16,0,51,49,0,50,2,168,328
Prince George--Peace River/Prince George--Peace River,144,Prince George,17,0,51,56,0,20,0,144,261
Prince George--Peace River/Prince George--Peace River,145,Prince George,10,3,41,52,0,21,0,127,281
Prince George--Peace River/Prince George--Peace River,146,Prince George,18,2,73,77,2,49,3,224,504
Prince George--Peace River/Prince George--Peace River,147,Prince George,Void,,,,,,,,
Prince George--Peace River/Prince George--Peace River,148,Willow Valley,3,0,60,25,0,3,0,91,170
Prince George--Peace River/Prince George--Peace River,149,South Taylor,4,0,51,15,0,8,1,79,206
Prince George--Peace River/Prince George--Peace River,150,Doe River,5,0,73,9,0,12,0,99,319
Prince George--Peace River/Prince George--Peace River,151,Rolla,4,1,94,20,0,8,0,127,200
Prince George--Peace River/Prince George--Peace River,152,Farmington,13,1,117,15,0,9,1,156,241
Prince George--Peace River/Prince George--Peace River,153,Bessborough,21,3,137,40,0,19,1,221,493
Prince George--Peace River/Prince George--Peace River,154,Groundbirch,4,0,57,23,0,2,0,86,151
Prince George--Peace River/Prince George--Peace River,155,Progress,2,0,71,16,0,5,0,94,171
Prince George--Peace River/Prince George--Peace River,156,Arras,7,1,87,27,0,8,0,130,276
Prince George--Peace River/Prince George--Peace River,157,South Dawson,14,8,145,60,1,23,1,252,446
Prince George--Peace River/Prince George--Peace River,158,Kilkerran,3,0,71,11,0,3,0,88,113
Prince George--Peace River/Prince George--Peace River,159,Briar Ridge,4,2,111,33,1,13,3,167,237
Prince George--Peace River/Prince George--Peace River,160,Pouce Coupe,9,4,129,39,0,13,0,194,386
Prince George--Peace River/Prince George--Peace River,161,Pouce Coupe,16,6,132,27,2,11,1,195,333
Prince George--Peace River/Prince George--Peace River,162,Pouce Coupe,4,6,120,21,0,13,0,164,295
Prince George--Peace River/Prince George--Peace River,163,Tomslake,4,1,85,26,0,17,1,134,201
Prince George--Peace River/Prince George--Peace River,164,Tupper,4,1,43,13,0,3,0,64,102
Prince George--Peace River/Prince George--Peace River,165,Fellers Heights,4,0,81,13,0,12,0,110,105
Prince George--Peace River/Prince George--Peace River,166,Tumbler Ridge,6,4,140,75,0,28,1,254,547
Prince George--Peace River/Prince George--Peace River,167,Tumbler Ridge,3,0,43,27,1,7,0,81,183
Prince George--Peace River/Prince George--Peace River,168,Tumbler Ridge,5,0,36,43,0,11,1,96,211
Prince George--Peace River/Prince George--Peace River,169,Tumbler Ridge,3,0,27,20,0,8,0,58,146
Prince George--Peace River/Prince George--Peace River,170,Tumbler Ridge,2,0,51,25,0,10,1,89,214
Prince George--Peace River/Prince George--Peace River,171,Tumbler Ridge,4,0,39,29,0,8,0,80,153
Prince George--Peace River/Prince George--Peace River,172,Kelly Lake,5,0,7,15,0,32,0,59,85
Prince George--Peace River/Prince George--Peace River,173,Dawson Creek,20,4,133,34,0,37,0,228,406
Prince George--Peace River/Prince George--Peace River,174,Dawson Creek,16,2,97,54,2,20,3,194,428
Prince George--Peace River/Prince George--Peace River,175,Dawson Creek,11,3,96,40,1,8,0,159,361
Prince George--Peace River/Prince George--Peace River,176A,Dawson Creek,16,0,85,34,1,18,1,155,305
Prince George--Peace River/Prince George--Peace River,176B,Dawson Creek,11,0,51,25,0,17,0,104,236
Prince George--Peace River/Prince George--Peace River,177,Dawson Creek,10,2,126,20,0,24,0,182,356
Prince George--Peace River/Prince George--Peace River,178,Dawson Creek,13,1,132,20,0,27,0,193,418
Prince George--Peace River/Prince George--Peace River,179,Dawson Creek,5,5,147,36,0,19,1,213,468
Prince George--Peace River/Prince George--Peace River,180,Dawson Creek,10,0,76,39,0,10,1,136,356
Prince George--Peace River/Prince George--Peace River,181,Dawson Creek,10,0,91,26,1,19,0,147,339
Prince George--Peace River/Prince George--Peace River,182,Dawson Creek,12,5,119,53,0,27,3,219,491
Prince George--Peace River/Prince George--Peace River,183,Dawson Creek,13,1,129,46,0,36,0,225,460
Prince George--Peace River/Prince George--Peace River,184,Dawson Creek,2,2,82,39,0,11,1,137,293
Prince George--Peace River/Prince George--Peace River,185,Dawson Creek,4,4,118,42,0,18,0,186,365
Prince George--Peace River/Prince George--Peace River,186,Dawson Creek,15,1,87,40,0,11,0,154,391
Prince George--Peace River/Prince George--Peace River,187,Dawson Creek,9,1,98,37,0,32,1,178,346
Prince George--Peace River/Prince George--Peace River,188,Dawson Creek,9,1,103,47,0,25,1,186,455
Prince George--Peace River/Prince George--Peace River,189,Dawson Creek,7,1,56,26,1,9,3,103,327
Prince George--Peace River/Prince George--Peace River,190,Dawson Creek,9,3,69,29,1,16,0,127,321
Prince George--Peace River/Prince George--Peace River,191,Dome Creek,6,0,10,10,0,4,0,30,41
Prince George--Peace River/Prince George--Peace River,192,Crescent Spur,4,0,12,3,0,1,0,20,34
Prince George--Peace River/Prince George--Peace River,193,Lamming Mills,20,0,154,84,0,40,0,298,431
Prince George--Peace River/Prince George--Peace River,194,McBride,10,1,77,56,0,26,0,170,340
Prince George--Peace River/Prince George--Peace River,195,McBride,8,1,40,26,2,24,1,102,179
Prince George--Peace River/Prince George--Peace River,196,Dunster,24,0,51,29,2,11,0,117,184
Prince George--Peace River/Prince George--Peace River,197,Mount Robson,0,0,0,0,0,0,0,0,0
Prince George--Peace River/Prince George--Peace River,500,Mobile poll/Bureau itinérant,2,1,96,11,1,16,1,128,169
Prince George--Peace River/Prince George--Peace River,501,Mobile poll/Bureau itinérant,5,1,64,14,0,11,0,95,117
Prince George--Peace River/Prince George--Peace River,502,Mobile poll/Bureau itinérant,4,6,62,34,0,38,1,145,175
Prince George--Peace River/Prince George--Peace River,503,Mobile poll/Bureau itinérant,6,2,10,14,1,12,2,47,103
Prince George--Peace River/Prince George--Peace River,600,Fort Nelson,4,0,80,30,1,11,0,126,
Prince George--Peace River/Prince George--Peace River,601,Mackenzie,7,4,129,54,1,49,0,244,
Prince George--Peace River/Prince George--Peace River,602,Charlie Lake--Taylor,6,1,180,16,0,8,0,211,
Prince George--Peace River/Prince George--Peace River,603,Fort St. John,3,0,111,10,0,0,3,127,
Prince George--Peace River/Prince George--Peace River,604,Chetwynd,18,2,353,68,1,53,2,497,
Prince George--Peace River/Prince George--Peace River,605,Prince George,8,0,71,17,0,14,0,110,
Prince George--Peace River/Prince George--Peace River,606,Prince George,26,0,135,45,0,20,0,226,
Prince George--Peace River/Prince George--Peace River,607,Prince George,50,2,345,163,2,107,3,672,
Prince George--Peace River/Prince George--Peace River,608,Dawson Creek--Tumbler Ridge,14,3,84,25,0,39,1,166,
Prince George--Peace River/Prince George--Peace River,609,Dawson Creek,9,0,134,19,0,7,0,169,
Prince George--Peace River/Prince George--Peace River,610,Prince George,5,0,44,12,0,4,0,65,
Prince George--Peace River/Prince George--Peace River,611,Tumbler Ridge,2,0,53,84,1,11,0,151,
Prince George--Peace River/Prince George--Peace River,612,Dawson Creek,21,2,252,79,0,44,7,405,
Prince George--Peace River/Prince George--Peace River,613,Prince George,2,1,26,12,0,7,0,48,
Prince George--Peace River/Prince George--Peace River,,Group 1/Groupe 1,20,2,36,28,0,34,1,121,203
Prince George--Peace River/Prince George--Peace River,,Group 2/Groupe 2,43,5,332,130,5,99,17,631,
