District,Poll Number,Poll Name,Daniel Bouchard,Jean-François Coderre,Marco Geoffroy,Wendy Gorchinsky,Pierre A. Paquette,Jacques Trudeau,Rejected Ballots,Total Vote,Electors
Joliette/Joliette,71B,Sainte-Mélanie,23,55,6,8,164,11,13,280,538
Joliette/Joliette,72,Sainte-Mélanie,19,51,7,7,176,17,6,283,391
Joliette/Joliette,73,Sainte-Mélanie,34,86,3,5,217,12,13,370,559
Joliette/Joliette,74,Sainte-Mélanie,20,47,1,2,159,10,16,255,449
Joliette/Joliette,75,Notre-Dame-de-Lourdes,13,36,6,3,192,4,8,262,404
Joliette/Joliette,76A,Notre-Dame-de-Lourdes,Merged with No. 78,,,,,,,,213
Joliette/Joliette,76B,Notre-Dame-de-Lourdes,17,48,5,4,185,7,12,278,474
Joliette/Joliette,77,Notre-Dame-de-Lourdes,13,26,3,3,201,5,8,259,544
Joliette/Joliette,78,Notre-Dame-de-Lourdes,11,57,3,2,176,12,4,265,226
Joliette/Joliette,79,Saint-Ambroise-de-Kildare,7,27,2,2,158,6,1,203,392
Joliette/Joliette,80,Saint-Ambroise-de-Kildare,14,18,3,3,179,11,9,237,420
Joliette/Joliette,81,Saint-Ambroise-de-Kildare,16,38,5,5,191,6,7,268,518
Joliette/Joliette,82,Saint-Ambroise-de-Kildare,16,69,5,9,204,8,8,319,557
Joliette/Joliette,83,Saint-Ambroise-de-Kildare,15,36,8,8,157,9,4,237,414
Joliette/Joliette,84,Saint-Ambroise-de-Kildare,18,47,2,5,106,7,3,188,362
Joliette/Joliette,85,Saint-Félix-de-Valois,18,41,8,5,142,5,0,219,414
Joliette/Joliette,86,Saint-Félix-de-Valois,Merged with No. 93,,,,,,,,261
Joliette/Joliette,87,Saint-Félix-de-Valois,17,38,5,3,122,6,7,198,352
Joliette/Joliette,88,Saint-Félix-de-Valois,20,46,4,1,94,5,10,180,356
Joliette/Joliette,89,Saint-Félix-de-Valois,12,35,4,1,106,0,4,162,348
Joliette/Joliette,90,Saint-Félix-de-Valois,28,49,8,5,209,15,19,333,301
Joliette/Joliette,91,Saint-Félix-de-Valois,22,43,6,7,139,6,11,234,396
Joliette/Joliette,92,Saint-Félix-de-Valois,9,39,2,2,124,2,3,181,372
Joliette/Joliette,93,Saint-Félix-de-Valois,12,34,9,8,203,6,13,285,293
Joliette/Joliette,94,Saint-Félix-de-Valois,Merged with No. 90,,,,,,,,281
Joliette/Joliette,95,Saint-Félix-de-Valois,17,30,2,5,185,5,6,250,435
Joliette/Joliette,96,Saint-Félix-de-Valois,23,48,3,3,165,6,11,259,542
Joliette/Joliette,97,Saint-Charles-Borromée,21,46,5,5,141,15,5,238,442
Joliette/Joliette,98,Saint-Charles-Borromée,17,59,5,11,181,6,5,284,455
Joliette/Joliette,99,Saint-Charles-Borromée,10,51,3,1,195,11,10,281,585
Joliette/Joliette,100,Saint-Charles-Borromée,13,55,4,12,252,16,11,363,572
Joliette/Joliette,101,Saint-Charles-Borromée,16,44,1,7,167,12,9,256,465
Joliette/Joliette,102,Saint-Charles-Borromée,9,38,3,8,144,23,6,231,356
Joliette/Joliette,103,Saint-Charles-Borromée,10,25,1,5,186,15,6,248,440
Joliette/Joliette,104,Saint-Charles-Borromée,11,36,5,9,131,6,7,205,332
Joliette/Joliette,105,Saint-Charles-Borromée,7,56,3,7,141,6,7,227,389
Joliette/Joliette,106,Saint-Charles-Borromée,12,36,6,4,202,13,5,278,480
Joliette/Joliette,107,Saint-Charles-Borromée,21,52,2,4,130,5,8,222,439
Joliette/Joliette,108,Saint-Charles-Borromée,22,75,2,6,188,15,7,315,450
Joliette/Joliette,109,Saint-Charles-Borromée,7,44,4,4,117,7,8,191,435
Joliette/Joliette,110,Saint-Charles-Borromée,15,62,1,5,123,7,5,218,300
Joliette/Joliette,111,Saint-Charles-Borromée,Merged with No. 110,,,,,,,,219
Joliette/Joliette,112A,Saint-Charles-Borromée,6,36,2,2,61,5,4,116,327
Joliette/Joliette,112B,Saint-Charles-Borromée,8,17,1,2,13,2,3,46,119
Joliette/Joliette,113,Saint-Charles-Borromée,14,48,2,6,128,2,9,209,489
Joliette/Joliette,114,Saint-Charles-Borromée,2,25,2,4,133,8,8,182,325
Joliette/Joliette,115,Saint-Charles-Borromée,17,65,6,7,141,12,9,257,389
Joliette/Joliette,116,Saint-Charles-Borromée,16,59,2,17,259,10,18,381,645
Joliette/Joliette,117,Saint-Charles-Borromée,13,53,2,6,132,12,7,225,402
Joliette/Joliette,118A,Joliette,Merged with No. 119,,,,,,,,156
Joliette/Joliette,118B,Joliette,Merged with No. 127,,,,,,,,124
Joliette/Joliette,119,Joliette,16,59,5,7,158,7,8,260,347
Joliette/Joliette,120,Joliette,9,85,2,7,103,8,5,219,495
Joliette/Joliette,121,Joliette,13,49,4,7,142,8,12,235,660
Joliette/Joliette,122,Joliette,7,30,6,4,83,5,4,139,344
Joliette/Joliette,123A,Joliette,Merged with No. 124,,,,,,,,123
Joliette/Joliette,123B,Joliette,19,36,3,10,101,9,2,180,576
Joliette/Joliette,124,Joliette,11,24,7,6,95,4,7,154,250
Joliette/Joliette,125,Joliette,7,44,2,9,107,13,2,184,398
Joliette/Joliette,126,Joliette,19,72,3,7,159,4,7,271,454
Joliette/Joliette,127,Joliette,6,75,4,10,128,7,7,237,319
Joliette/Joliette,128,Joliette,9,57,2,4,83,15,2,172,282
Joliette/Joliette,129,Joliette,10,48,5,4,126,5,7,205,364
Joliette/Joliette,130,Joliette,9,69,5,12,143,10,7,255,532
Joliette/Joliette,131,Joliette,7,23,2,1,111,4,4,152,398
Joliette/Joliette,132,Joliette,14,47,5,3,80,12,10,171,316
Joliette/Joliette,133,Joliette,10,55,1,9,122,5,7,209,382
Joliette/Joliette,134,Joliette,4,43,3,3,72,7,9,141,296
Joliette/Joliette,135,Joliette,9,63,3,2,89,13,5,184,321
Joliette/Joliette,136,Joliette,15,84,2,4,171,9,7,292,537
Joliette/Joliette,137,Joliette,14,74,3,8,161,12,5,277,521
Joliette/Joliette,138,Notre-Dame-des-Prairies,14,44,0,8,210,13,1,290,514
Joliette/Joliette,139,Notre-Dame-des-Prairies,12,32,1,4,141,1,6,197,321
Joliette/Joliette,140,Notre-Dame-des-Prairies,16,38,5,5,233,8,12,317,548
Joliette/Joliette,141,Notre-Dame-des-Prairies,Merged with No. 142,,,,,,,,279
Joliette/Joliette,142,Notre-Dame-des-Prairies,16,68,6,8,208,12,4,322,318
Joliette/Joliette,143,Notre-Dame-des-Prairies,18,92,1,9,145,12,10,287,480
Joliette/Joliette,144,Notre-Dame-des-Prairies,21,83,4,9,141,9,9,276,485
Joliette/Joliette,145,Notre-Dame-des-Prairies,16,37,2,2,111,11,9,188,337
Joliette/Joliette,146,Notre-Dame-des-Prairies,11,45,7,7,140,13,9,232,377
Joliette/Joliette,147,Notre-Dame-des-Prairies,8,33,2,5,145,8,10,211,353
Joliette/Joliette,148,Notre-Dame-des-Prairies,13,40,2,0,175,14,9,253,304
Joliette/Joliette,149,Notre-Dame-des-Prairies,7,40,5,7,150,10,0,219,394
Joliette/Joliette,150,Notre-Dame-des-Prairies,11,37,2,6,237,10,0,303,482
Joliette/Joliette,151A,Notre-Dame-des-Prairies,Merged with No. 148,,,,,,,,169
Joliette/Joliette,151B,Notre-Dame-des-Prairies,14,47,4,2,206,7,10,290,515
Joliette/Joliette,152,Notre-Dame-des-Prairies,16,57,5,4,118,9,12,221,409
Joliette/Joliette,153,Saint-Thomas,Merged with No. 156,,,,,,,,124
Joliette/Joliette,154,Saint-Thomas,10,39,5,1,204,15,5,279,445
Joliette/Joliette,155,Saint-Thomas,13,49,5,5,173,11,9,265,414
Joliette/Joliette,156,Saint-Thomas,23,45,3,7,191,10,13,292,377
Joliette/Joliette,157,Saint-Thomas,20,39,6,13,164,18,15,275,504
Joliette/Joliette,158,Saint-Thomas,14,29,2,7,156,6,7,221,396
Joliette/Joliette,159,Joliette,15,54,3,7,89,4,9,181,274
Joliette/Joliette,160,Joliette,13,29,4,9,190,6,14,265,501
Joliette/Joliette,161,Joliette,8,57,5,11,126,3,6,216,376
Joliette/Joliette,162,Joliette,13,69,6,9,153,7,0,257,461
Joliette/Joliette,163A,Joliette,15,46,1,1,92,11,19,185,334
Joliette/Joliette,163B,Joliette,Merged with No. 159,,,,,,,,67
Joliette/Joliette,164,Joliette,9,47,2,9,110,14,6,197,385
Joliette/Joliette,165,Joliette,8,26,5,5,95,7,0,146,310
Joliette/Joliette,166,Joliette,7,46,7,7,127,5,6,205,388
Joliette/Joliette,167,Joliette,14,38,2,2,84,9,9,158,323
Joliette/Joliette,168,Joliette,5,25,8,3,113,5,6,165,325
Joliette/Joliette,169,Joliette,12,44,2,10,103,8,5,184,322
Joliette/Joliette,170,Joliette,5,26,6,2,75,2,3,119,292
Joliette/Joliette,171,Joliette,7,35,2,1,124,4,1,174,309
Joliette/Joliette,172,Joliette,13,76,1,11,196,10,17,324,382
Joliette/Joliette,173,Joliette,21,47,4,7,175,13,12,279,471
Joliette/Joliette,174A,Joliette,Merged with No. 172,,,,,,,,179
Joliette/Joliette,174B,Joliette,17,44,4,10,209,13,12,309,597
Joliette/Joliette,175,Joliette,23,65,6,7,210,5,9,325,477
Joliette/Joliette,176,Saint-Pierre,Merged with No. 179,,,,,,,,197
Joliette/Joliette,177,Saint-Paul,24,66,2,8,182,4,5,291,572
Joliette/Joliette,178,Saint-Paul,17,28,2,2,162,13,12,236,393
Joliette/Joliette,179,Saint-Paul,24,32,5,4,150,16,4,235,301
Joliette/Joliette,180,Saint-Paul,17,39,2,2,137,7,11,215,402
Joliette/Joliette,181,Saint-Paul,9,32,6,1,145,17,9,219,408
Joliette/Joliette,182,Crabtree,17,36,8,8,85,6,13,173,341
Joliette/Joliette,183,Crabtree,7,30,5,4,180,13,5,244,408
Joliette/Joliette,184,Crabtree,18,52,8,10,212,10,21,331,470
Joliette/Joliette,185,Crabtree,14,51,2,5,176,8,11,267,421
Joliette/Joliette,186,Crabtree,26,50,1,7,158,13,15,270,483
Joliette/Joliette,187,Crabtree,11,40,5,6,178,10,11,261,413
Joliette/Joliette,188,Saint-Paul,15,43,6,5,156,19,3,247,483
Joliette/Joliette,189,Saint-Paul,10,30,2,3,129,8,4,186,377
Joliette/Joliette,500,Mobile poll/Bureau itinérant,3,18,2,3,8,1,0,35,122
Joliette/Joliette,501,Mobile poll/Bureau itinérant,1,5,2,0,4,0,0,12,36
Joliette/Joliette,502,Mobile poll/Bureau itinérant,13,54,1,0,45,1,6,120,149
Joliette/Joliette,503,Mobile poll/Bureau itinérant,15,104,3,0,75,3,11,211,399
Joliette/Joliette,600,Manawan,1,5,1,0,2,0,0,9,
Joliette/Joliette,601,Saint-Michel-des-Saints--Saint Zénon,10,39,1,4,108,5,8,175,
Joliette/Joliette,602,Saint-Donat--Notre-Dame-de-la-Merci,32,100,1,2,218,5,4,362,
Joliette/Joliette,603,Saint-Jean-de-Matha--Saint-Damien,25,83,2,6,226,4,9,355,
Joliette/Joliette,604,Rawdon,57,281,5,26,321,25,16,731,
Joliette/Joliette,605,Chertsey--Entrelacs,38,83,3,9,237,11,10,391,
Joliette/Joliette,606,Saint-Ambroise-de-Kildare--Sainte-Mélanie,23,71,1,6,174,12,8,295,
Joliette/Joliette,607,Saint-Félix-de-Valois,11,73,1,3,141,8,9,246,
Joliette/Joliette,608,Saint-Alphonse-Rodriguez--Saint-Côme,26,65,5,3,168,12,6,285,
Joliette/Joliette,609,Saint-Thomas,4,19,0,0,47,2,0,72,
Joliette/Joliette,610,Crabtree--Saint-Paul,21,43,4,1,154,5,6,234,
Joliette/Joliette,611,Saint-Charles-Borromée,68,213,8,8,395,22,15,729,
Joliette/Joliette,612,Notre-Dame-des-Prairies,29,126,3,9,277,12,8,464,
Joliette/Joliette,613,Joliette,32,206,6,7,330,15,23,619,
Joliette/Joliette,614,Joliette,17,69,4,11,154,6,6,267,
Joliette/Joliette,,Group 1/Groupe 1,31,27,6,2,41,6,2,115,203
Joliette/Joliette,,Group 2/Groupe 2,32,154,5,12,329,21,17,570,
