District,Poll Number,Poll Name,Piper Huggins,Louise Martineau,Christian Ouellet,Denis Paradis,Peter Stastny,Rejected Ballots,Total Vote,Electors
Brome--Missisquoi/Brome--Missisquoi,87,Cowansville,7,14,65,147,24,1,258,379
Brome--Missisquoi/Brome--Missisquoi,88,Cowansville,9,14,88,132,32,4,279,450
Brome--Missisquoi/Brome--Missisquoi,89,Cowansville,3,7,116,64,21,7,218,399
Brome--Missisquoi/Brome--Missisquoi,90,Lac-Brome,15,25,66,117,30,2,255,517
Brome--Missisquoi/Brome--Missisquoi,91,Lac-Brome,13,16,112,180,40,1,362,553
Brome--Missisquoi/Brome--Missisquoi,92,Lac-Brome,5,12,72,145,30,1,265,449
Brome--Missisquoi/Brome--Missisquoi,93,Bolton-Ouest,0,11,18,65,13,2,109,159
Brome--Missisquoi/Brome--Missisquoi,94,Bolton-Ouest,10,25,30,150,26,2,243,418
Brome--Missisquoi/Brome--Missisquoi,95,Lac-Brome,10,18,20,165,29,2,244,455
Brome--Missisquoi/Brome--Missisquoi,96,Lac-Brome,6,13,15,174,28,0,236,425
Brome--Missisquoi/Brome--Missisquoi,97,Lac-Brome,10,18,96,195,38,5,362,620
Brome--Missisquoi/Brome--Missisquoi,98,Lac-Brome,8,25,33,271,44,2,383,734
Brome--Missisquoi/Brome--Missisquoi,99,Brome,1,10,18,74,17,2,122,240
Brome--Missisquoi/Brome--Missisquoi,100,Lac-Brome,9,11,26,110,27,5,188,333
Brome--Missisquoi/Brome--Missisquoi,101,Lac-Brome,7,5,35,99,14,1,161,362
Brome--Missisquoi/Brome--Missisquoi,102,Sutton,14,23,96,182,37,4,356,564
Brome--Missisquoi/Brome--Missisquoi,103,Abercorn,8,18,37,97,26,4,190,268
Brome--Missisquoi/Brome--Missisquoi,104,Sutton,8,12,73,105,34,1,233,374
Brome--Missisquoi/Brome--Missisquoi,105,Sutton,6,15,51,148,43,3,266,436
Brome--Missisquoi/Brome--Missisquoi,106,Sutton,9,9,59,163,48,3,291,503
Brome--Missisquoi/Brome--Missisquoi,107,Sutton,7,21,59,152,50,3,292,457
Brome--Missisquoi/Brome--Missisquoi,108,Sutton,12,37,102,187,39,5,382,630
Brome--Missisquoi/Brome--Missisquoi,109,Potton,1,10,33,57,18,1,120,234
Brome--Missisquoi/Brome--Missisquoi,110,Potton,1,4,31,107,35,1,179,303
Brome--Missisquoi/Brome--Missisquoi,111,Potton,4,13,29,94,28,3,171,286
Brome--Missisquoi/Brome--Missisquoi,112,Potton,8,10,38,112,21,1,190,337
Brome--Missisquoi/Brome--Missisquoi,113,Potton,9,7,39,134,23,1,213,340
Brome--Missisquoi/Brome--Missisquoi,114,Stukely-Sud,4,18,103,45,18,3,191,315
Brome--Missisquoi/Brome--Missisquoi,115,Stukely-Sud,5,13,81,114,15,14,242,451
Brome--Missisquoi/Brome--Missisquoi,116,Stukely-Sud,8,22,129,90,21,2,272,431
Brome--Missisquoi/Brome--Missisquoi,117,Orford,19,13,195,129,24,5,385,628
Brome--Missisquoi/Brome--Missisquoi,118,Orford,8,25,188,112,21,4,358,660
Brome--Missisquoi/Brome--Missisquoi,119,Orford,0,3,19,4,2,0,28,56
Brome--Missisquoi/Brome--Missisquoi,120,Orford,2,3,28,7,0,0,40,57
Brome--Missisquoi/Brome--Missisquoi,121,Orford,12,17,218,132,27,1,407,665
Brome--Missisquoi/Brome--Missisquoi,122,Magog,4,9,136,67,17,4,237,472
Brome--Missisquoi/Brome--Missisquoi,123,Omerville,7,10,146,114,30,7,314,493
Brome--Missisquoi/Brome--Missisquoi,124,Omerville,5,10,187,55,33,9,299,595
Brome--Missisquoi/Brome--Missisquoi,125,Omerville,7,12,238,88,31,0,376,767
Brome--Missisquoi/Brome--Missisquoi,126,Magog,3,8,69,42,23,0,145,325
Brome--Missisquoi/Brome--Missisquoi,127,Magog,8,8,121,92,25,6,260,410
Brome--Missisquoi/Brome--Missisquoi,128,Magog,11,20,192,125,29,1,378,791
Brome--Missisquoi/Brome--Missisquoi,129,Magog,5,6,124,116,13,4,268,453
Brome--Missisquoi/Brome--Missisquoi,130,Magog,7,10,95,67,13,2,194,398
