District,Poll Number,Poll Name,C. Nella Cotrupi,Ellena Lam,Pete Merrifield,Tim Rudkins,Bryon Wilfert,Rejected Ballots,Total Vote,Electors
Richmond Hill/Richmond Hill,106,Richmond Hill,18,5,38,1,125,0,187,391
Richmond Hill/Richmond Hill,107,Richmond Hill,32,8,62,4,186,0,292,574
Richmond Hill/Richmond Hill,108,Richmond Hill,30,18,56,7,155,2,268,555
Richmond Hill/Richmond Hill,109,Richmond Hill,30,7,44,21,154,1,257,518
Richmond Hill/Richmond Hill,110A,Richmond Hill,18,11,34,5,109,1,178,363
Richmond Hill/Richmond Hill,110B,Richmond Hill,22,7,66,8,109,1,213,412
Richmond Hill/Richmond Hill,111,Richmond Hill,26,11,48,6,112,0,203,371
Richmond Hill/Richmond Hill,112,Richmond Hill,14,9,40,9,152,0,224,483
Richmond Hill/Richmond Hill,113,Richmond Hill,23,2,55,4,177,1,262,499
Richmond Hill/Richmond Hill,114,Richmond Hill,11,2,46,10,164,1,234,523
Richmond Hill/Richmond Hill,115,Richmond Hill,16,1,34,8,86,1,146,363
Richmond Hill/Richmond Hill,116,Richmond Hill,13,7,30,4,139,0,193,380
Richmond Hill/Richmond Hill,117,Richmond Hill,19,10,46,0,130,0,205,472
Richmond Hill/Richmond Hill,118,Richmond Hill,14,16,48,3,193,0,274,646
Richmond Hill/Richmond Hill,119,Richmond Hill,12,6,54,7,195,0,274,532
Richmond Hill/Richmond Hill,120,Richmond Hill,7,11,49,7,162,0,236,442
Richmond Hill/Richmond Hill,121,Richmond Hill,5,5,46,4,141,0,201,361
Richmond Hill/Richmond Hill,122,Richmond Hill,8,13,63,2,150,2,238,445
Richmond Hill/Richmond Hill,123,Richmond Hill,9,6,80,10,199,0,304,552
Richmond Hill/Richmond Hill,124,Richmond Hill,5,7,47,2,147,1,209,439
Richmond Hill/Richmond Hill,125,Richmond Hill,9,7,54,2,152,2,226,551
Richmond Hill/Richmond Hill,126,Richmond Hill,12,9,47,4,193,0,265,580
Richmond Hill/Richmond Hill,127,Richmond Hill,17,3,56,13,159,2,250,514
Richmond Hill/Richmond Hill,128,Richmond Hill,14,3,85,13,146,0,261,558
Richmond Hill/Richmond Hill,129,Richmond Hill,16,6,88,19,216,2,347,590
Richmond Hill/Richmond Hill,130,Richmond Hill,11,2,61,11,167,1,253,500
Richmond Hill/Richmond Hill,131,Richmond Hill,20,3,40,17,146,4,230,410
Richmond Hill/Richmond Hill,132,Richmond Hill,22,2,58,10,177,2,271,497
Richmond Hill/Richmond Hill,133,Richmond Hill,16,3,59,10,123,2,213,400
Richmond Hill/Richmond Hill,134,Richmond Hill,19,3,77,14,162,3,278,435
Richmond Hill/Richmond Hill,135,Richmond Hill,15,3,40,8,246,5,317,515
Richmond Hill/Richmond Hill,136,Richmond Hill,33,5,38,17,192,4,289,524
Richmond Hill/Richmond Hill,137A,Richmond Hill,30,7,50,10,122,0,219,451
Richmond Hill/Richmond Hill,137B,Richmond Hill,24,7,65,15,137,0,248,568
Richmond Hill/Richmond Hill,137-1,Richmond Hill,30,8,65,13,115,1,232,404
Richmond Hill/Richmond Hill,138,Richmond Hill,29,21,62,11,169,1,293,508
Richmond Hill/Richmond Hill,139A,Richmond Hill,9,0,37,4,127,0,177,309
Richmond Hill/Richmond Hill,139B,Richmond Hill,13,4,51,5,107,0,180,333
Richmond Hill/Richmond Hill,140,Richmond Hill,9,5,27,2,113,0,156,429
Richmond Hill/Richmond Hill,141,Richmond Hill,8,4,14,2,51,1,80,235
Richmond Hill/Richmond Hill,142,Richmond Hill,9,5,21,1,96,0,132,404
Richmond Hill/Richmond Hill,143,Richmond Hill,13,3,44,4,92,0,156,385
Richmond Hill/Richmond Hill,144A,Richmond Hill,22,9,48,8,103,0,190,373
Richmond Hill/Richmond Hill,144B,Richmond Hill,38,9,65,8,122,3,245,498
Richmond Hill/Richmond Hill,144-1,Richmond Hill,39,13,79,2,206,1,340,615
Richmond Hill/Richmond Hill,145,Richmond Hill,33,10,69,15,173,0,300,527
Richmond Hill/Richmond Hill,146,Richmond Hill,41,12,53,6,150,0,262,584
Richmond Hill/Richmond Hill,147,Richmond Hill,25,5,78,10,183,1,302,560
Richmond Hill/Richmond Hill,148,Richmond Hill,30,3,50,7,128,0,218,406
Richmond Hill/Richmond Hill,149,Richmond Hill,12,5,59,4,134,0,214,426
Richmond Hill/Richmond Hill,150,Richmond Hill,11,4,38,2,166,0,221,442
Richmond Hill/Richmond Hill,151,Richmond Hill,8,6,25,2,69,1,111,260
Richmond Hill/Richmond Hill,152,Richmond Hill,19,12,64,5,190,4,294,558
Richmond Hill/Richmond Hill,153,Richmond Hill,9,0,40,3,111,0,163,313
Richmond Hill/Richmond Hill,154,Richmond Hill,24,17,61,13,148,0,263,603
Richmond Hill/Richmond Hill,155,Richmond Hill,15,3,49,10,156,3,236,523
Richmond Hill/Richmond Hill,156,Richmond Hill,19,4,38,2,146,0,209,465
Richmond Hill/Richmond Hill,157,Richmond Hill,21,4,60,4,190,1,280,599
Richmond Hill/Richmond Hill,158,Richmond Hill,9,3,25,0,88,0,125,229
Richmond Hill/Richmond Hill,159A,Richmond Hill,38,4,43,18,120,0,223,311
Richmond Hill/Richmond Hill,159B,Richmond Hill,16,10,42,11,135,0,214,370
Richmond Hill/Richmond Hill,160,Richmond Hill,15,6,39,6,108,0,174,389
Richmond Hill/Richmond Hill,161,Richmond Hill,16,5,29,4,153,1,208,404
Richmond Hill/Richmond Hill,162,Richmond Hill,7,4,11,3,74,0,99,233
Richmond Hill/Richmond Hill,163,Richmond Hill,15,9,51,3,125,1,204,446
Richmond Hill/Richmond Hill,164,Richmond Hill,16,11,28,0,142,1,198,407
Richmond Hill/Richmond Hill,165A,Richmond Hill,12,3,22,4,69,0,110,253
Richmond Hill/Richmond Hill,165B,Richmond Hill,11,2,24,4,102,0,143,288
Richmond Hill/Richmond Hill,166A,Richmond Hill,18,9,46,2,126,0,201,472
Richmond Hill/Richmond Hill,166B,Richmond Hill,28,13,48,8,180,1,278,640
Richmond Hill/Richmond Hill,400,Richmond Hill,7,3,51,7,91,1,160,336
Richmond Hill/Richmond Hill,401,Richmond Hill,8,2,41,6,98,0,155,251
Richmond Hill/Richmond Hill,402,Richmond Hill,29,3,52,11,98,3,196,302
Richmond Hill/Richmond Hill,403,Richmond Hill,16,2,57,3,139,0,217,320
Richmond Hill/Richmond Hill,404,Richmond Hill,19,4,54,6,108,3,194,296
Richmond Hill/Richmond Hill,405,Richmond Hill,22,1,19,2,47,0,91,203
Richmond Hill/Richmond Hill,406A,Richmond Hill,Merged with No. 159B,,,,,,,36
Richmond Hill/Richmond Hill,406B,Richmond Hill,Merged with No. 159A,,,,,,,174
Richmond Hill/Richmond Hill,407,Richmond Hill,Merged with No. 57,,,,,,,5
Richmond Hill/Richmond Hill,500,Mobile poll/Bureau itinérant,11,6,24,2,28,0,71,219
Richmond Hill/Richmond Hill,600,Richmond Hill,26,5,142,14,240,7,434,
Richmond Hill/Richmond Hill,601,Richmond Hill,36,8,192,45,316,3,600,
Richmond Hill/Richmond Hill,602,Richmond Hill,53,5,133,43,196,6,436,
Richmond Hill/Richmond Hill,603,Richmond Hill,71,13,227,15,346,1,673,
Richmond Hill/Richmond Hill,604,Richmond Hill,53,8,178,25,323,1,588,
Richmond Hill/Richmond Hill,605,Richmond Hill,34,36,252,20,597,3,942,
Richmond Hill/Richmond Hill,606,Richmond Hill,33,18,187,22,297,1,558,
Richmond Hill/Richmond Hill,607,Richmond Hill,31,15,96,13,318,0,473,
Richmond Hill/Richmond Hill,,Group 1/Groupe 1,1,2,11,1,17,1,33,60
Richmond Hill/Richmond Hill,,Group 2/Groupe 2,44,7,125,19,228,6,429,
