District,Poll Number,Poll Name,Sheila Fougere,Kevin Leslie Keefe,Alexa McDonough,Michael Oddy,Rejected Ballots,Total Vote,Electors
Halifax/Halifax,109,Halifax,85,14,112,18,0,229,458
Halifax/Halifax,110,Halifax,79,23,92,4,1,199,307
Halifax/Halifax,111,Halifax,72,15,86,10,1,184,361
Halifax/Halifax,112,Halifax,76,24,66,13,0,179,311
Halifax/Halifax,113,Halifax,108,28,71,15,3,225,387
Halifax/Halifax,114,Halifax,108,37,84,18,1,248,450
Halifax/Halifax,115,Halifax,162,59,99,16,0,336,535
Halifax/Halifax,116,Halifax,120,75,79,13,3,290,512
Halifax/Halifax,117,Halifax,122,56,49,7,0,234,361
Halifax/Halifax,118,Halifax,168,54,90,14,1,327,487
Halifax/Halifax,119,Halifax,134,48,84,23,0,289,450
Halifax/Halifax,120,Halifax,146,69,67,5,1,288,463
Halifax/Halifax,121,Halifax,122,40,79,17,4,262,548
Halifax/Halifax,122A,Halifax,76,25,42,5,0,148,247
Halifax/Halifax,122B,Halifax,93,45,36,8,0,182,288
Halifax/Halifax,123,Halifax,89,38,30,3,0,160,279
Halifax/Halifax,124,Halifax,124,36,94,14,3,271,424
Halifax/Halifax,125,Halifax,75,28,121,16,2,242,399
Halifax/Halifax,126,Halifax,122,56,113,15,4,310,578
Halifax/Halifax,127,Halifax,129,52,151,14,2,348,613
Halifax/Halifax,128,Halifax,64,33,74,3,0,174,390
Halifax/Halifax,129,Halifax,34,21,79,9,0,143,350
Halifax/Halifax,130,Halifax,62,33,92,3,0,190,381
Halifax/Halifax,131,Halifax,74,29,71,5,1,180,388
Halifax/Halifax,132,Halifax,110,39,58,4,5,216,440
Halifax/Halifax,133,Halifax,107,43,75,10,0,235,336
Halifax/Halifax,134,Halifax,131,63,77,8,1,280,388
Halifax/Halifax,135,Halifax,44,30,79,3,1,157,296
Halifax/Halifax,136,Halifax,91,42,67,5,0,205,334
Halifax/Halifax,137,Halifax,94,27,162,9,1,293,610
Halifax/Halifax,138,Halifax,53,26,127,9,1,216,502
Halifax/Halifax,139,Halifax,38,19,58,2,1,118,230
Halifax/Halifax,140,Halifax,28,20,75,3,1,127,302
Halifax/Halifax,141,Halifax,Void,,,,,,
Halifax/Halifax,142,Halifax,63,31,73,3,0,170,278
Halifax/Halifax,143,Halifax,70,38,65,5,1,179,311
Halifax/Halifax,144,Halifax,74,40,106,9,1,230,356
Halifax/Halifax,145,Halifax,39,17,68,7,2,133,390
Halifax/Halifax,146,Halifax,40,25,124,7,0,196,411
Halifax/Halifax,147,Halifax,48,28,95,8,1,180,291
Halifax/Halifax,148,Halifax,120,56,81,14,0,271,444
Halifax/Halifax,149,Halifax,135,57,118,19,2,331,469
Halifax/Halifax,150,Halifax,107,42,118,7,0,274,452
Halifax/Halifax,151,Halifax,56,38,96,6,0,196,336
Halifax/Halifax,152,Halifax,54,22,91,5,1,173,351
Halifax/Halifax,153,Halifax,29,28,82,3,0,142,378
Halifax/Halifax,154,Halifax,43,20,114,0,0,177,414
Halifax/Halifax,155,Halifax,22,24,67,5,2,120,352
Halifax/Halifax,156,Halifax,38,21,39,4,1,103,217
Halifax/Halifax,157,Halifax,100,48,91,15,1,255,419
Halifax/Halifax,158,Halifax,24,8,73,3,0,108,364
Halifax/Halifax,159,Halifax,21,7,53,0,2,83,312
Halifax/Halifax,160,Halifax,35,12,27,2,0,76,243
Halifax/Halifax,161,Halifax,47,36,82,9,0,174,307
Halifax/Halifax,162,Halifax,46,17,73,4,1,141,275
Halifax/Halifax,163,Herring Cove,118,57,108,14,1,298,481
Halifax/Halifax,164,Herring Cove,107,57,102,9,0,275,465
Halifax/Halifax,165,Harrietsfield,30,20,58,4,2,114,254
Halifax/Halifax,166,Harrietsfield,34,43,84,8,4,173,401
Halifax/Halifax,167,Herring Cove,40,28,76,8,2,154,265
Halifax/Halifax,168,Herring Cove,60,49,48,5,0,162,263
Halifax/Halifax,169,Herring Cove,49,23,70,9,1,152,282
Halifax/Halifax,170,Portuguese Cove,70,39,102,12,1,224,361
Halifax/Halifax,171A,Williamswood,55,31,106,4,1,197,405
Halifax/Halifax,171B,Williamswood,78,30,85,9,1,203,385
Halifax/Halifax,172,Williamswood,53,36,88,4,1,182,321
Halifax/Halifax,173,Pennant,49,30,112,9,1,201,373
Halifax/Halifax,174,Sambro,67,47,73,5,0,192,337
Halifax/Halifax,175,Ketch Harbour,48,27,89,9,0,173,247
Halifax/Halifax,176,Halifax,Merged with No. 95,,,,,,2
Halifax/Halifax,600,Halifax,149,55,191,23,4,422,
Halifax/Halifax,601,Halifax,142,84,133,13,1,373,
Halifax/Halifax,602,Halifax,146,56,164,14,1,381,
Halifax/Halifax,603,Halifax,80,23,153,22,3,281,
Halifax/Halifax,604,Halifax,103,48,126,13,0,290,
Halifax/Halifax,605,Halifax,241,70,182,22,2,517,
Halifax/Halifax,606,Halifax,125,64,93,25,0,307,
Halifax/Halifax,607,Halifax,449,232,332,26,4,1043,
Halifax/Halifax,608,Halifax,No poll held,,,,,,
Halifax/Halifax,609,Halifax,84,68,150,17,0,319,
Halifax/Halifax,610,Herring Cove--Sambro,68,50,71,8,1,198,
Halifax/Halifax,611,Sable Island,No poll held,,,,,,
Halifax/Halifax,,Group 1/Groupe 1,127,117,110,20,11,385,926
Halifax/Halifax,,Group 2/Groupe 2,304,120,327,43,9,803,
