District,Poll Number,Poll Name,John Cummins,Shelley Leonhardt,Dana L. Miller,Itrath Syed,Rejected Ballots,Total Vote,Electors
Delta--Richmond East/Delta--Richmond-Est,44,Richmond,90,77,22,24,4,217,390
Delta--Richmond East/Delta--Richmond-Est,45,Richmond,97,76,14,27,1,215,345
Delta--Richmond East/Delta--Richmond-Est,46,Richmond,65,47,12,25,2,151,299
Delta--Richmond East/Delta--Richmond-Est,47,Richmond,87,91,14,28,2,222,427
Delta--Richmond East/Delta--Richmond-Est,48,Richmond,52,66,17,37,0,172,354
Delta--Richmond East/Delta--Richmond-Est,49,Richmond,76,94,17,44,0,231,423
Delta--Richmond East/Delta--Richmond-Est,50,Richmond,51,81,11,19,0,162,337
Delta--Richmond East/Delta--Richmond-Est,51,Richmond,93,96,11,48,0,248,430
Delta--Richmond East/Delta--Richmond-Est,52,Richmond,92,119,13,45,5,274,523
Delta--Richmond East/Delta--Richmond-Est,53,Richmond,81,107,15,46,0,249,409
Delta--Richmond East/Delta--Richmond-Est,54,Richmond,107,152,18,50,0,327,497
Delta--Richmond East/Delta--Richmond-Est,55,Richmond,58,58,18,30,0,164,277
Delta--Richmond East/Delta--Richmond-Est,56,Richmond,65,67,11,30,2,175,289
Delta--Richmond East/Delta--Richmond-Est,57,Richmond,76,89,16,34,2,217,413
Delta--Richmond East/Delta--Richmond-Est,58,Richmond,73,84,15,71,2,245,420
Delta--Richmond East/Delta--Richmond-Est,59,Richmond,68,82,7,49,0,206,381
Delta--Richmond East/Delta--Richmond-Est,60,Richmond,81,61,16,52,0,210,432
Delta--Richmond East/Delta--Richmond-Est,61,Richmond,104,87,10,56,1,258,461
Delta--Richmond East/Delta--Richmond-Est,62,Richmond,88,98,19,35,0,240,432
Delta--Richmond East/Delta--Richmond-Est,63,Richmond,107,100,23,59,0,289,510
Delta--Richmond East/Delta--Richmond-Est,64,Richmond,114,78,14,38,1,245,419
Delta--Richmond East/Delta--Richmond-Est,65,Richmond,88,62,10,45,1,206,402
Delta--Richmond East/Delta--Richmond-Est,66,Richmond,97,102,9,52,0,260,405
Delta--Richmond East/Delta--Richmond-Est,67,Richmond,132,123,23,36,0,314,498
Delta--Richmond East/Delta--Richmond-Est,68,Richmond,134,100,26,72,1,333,533
Delta--Richmond East/Delta--Richmond-Est,69,Richmond,115,149,22,65,1,352,568
Delta--Richmond East/Delta--Richmond-Est,70,Richmond,134,105,14,68,0,321,572
Delta--Richmond East/Delta--Richmond-Est,71,Richmond,80,67,20,44,2,213,326
Delta--Richmond East/Delta--Richmond-Est,72,Richmond,60,66,20,66,0,212,371
Delta--Richmond East/Delta--Richmond-Est,73,Richmond,114,103,21,48,0,286,420
Delta--Richmond East/Delta--Richmond-Est,74,Richmond,123,127,26,38,1,315,504
Delta--Richmond East/Delta--Richmond-Est,75,Richmond,89,79,17,48,2,235,462
Delta--Richmond East/Delta--Richmond-Est,76,Richmond,78,82,9,30,1,200,349
Delta--Richmond East/Delta--Richmond-Est,77,Richmond,131,157,16,17,0,321,489
Delta--Richmond East/Delta--Richmond-Est,78,Richmond,91,88,8,20,0,207,313
Delta--Richmond East/Delta--Richmond-Est,79,Richmond,91,99,21,24,0,235,392
Delta--Richmond East/Delta--Richmond-Est,80,Richmond,129,115,14,44,0,302,428
Delta--Richmond East/Delta--Richmond-Est,81,Richmond,106,101,15,26,3,251,373
Delta--Richmond East/Delta--Richmond-Est,82,Richmond,46,86,9,7,0,148,197
Delta--Richmond East/Delta--Richmond-Est,83,Richmond,114,143,23,24,2,306,454
Delta--Richmond East/Delta--Richmond-Est,84,Richmond,112,102,20,30,0,264,445
Delta--Richmond East/Delta--Richmond-Est,85,Richmond,134,133,6,43,2,318,543
Delta--Richmond East/Delta--Richmond-Est,86,Richmond,80,67,20,50,1,218,349
Delta--Richmond East/Delta--Richmond-Est,87,Richmond,80,80,17,44,2,223,384
Delta--Richmond East/Delta--Richmond-Est,88,Richmond,96,88,23,46,0,253,419
Delta--Richmond East/Delta--Richmond-Est,89,Richmond,152,121,29,45,1,348,609
Delta--Richmond East/Delta--Richmond-Est,90,Delta,Merged with No. 26B,,,,,,6
Delta--Richmond East/Delta--Richmond-Est,91,Delta,188,61,23,38,0,310,472
Delta--Richmond East/Delta--Richmond-Est,92,Delta,209,111,20,47,0,387,585
Delta--Richmond East/Delta--Richmond-Est,93,Delta,167,97,13,27,2,306,456
Delta--Richmond East/Delta--Richmond-Est,94,Delta,145,39,24,39,1,248,358
Delta--Richmond East/Delta--Richmond-Est,95,Delta,161,63,19,48,2,293,467
Delta--Richmond East/Delta--Richmond-Est,96,Delta,83,54,20,53,0,210,408
Delta--Richmond East/Delta--Richmond-Est,97,Delta,167,68,13,44,0,292,434
Delta--Richmond East/Delta--Richmond-Est,98,Delta,170,87,14,35,0,306,444
Delta--Richmond East/Delta--Richmond-Est,99,Delta,81,47,13,35,0,176,286
Delta--Richmond East/Delta--Richmond-Est,100,Delta,111,61,23,28,1,224,333
Delta--Richmond East/Delta--Richmond-Est,101,Delta,143,57,23,35,0,258,409
Delta--Richmond East/Delta--Richmond-Est,102,Delta,123,52,13,58,3,249,444
Delta--Richmond East/Delta--Richmond-Est,103,Delta,142,72,26,44,0,284,422
Delta--Richmond East/Delta--Richmond-Est,104,Delta,121,69,19,53,1,263,425
Delta--Richmond East/Delta--Richmond-Est,105,Delta,67,36,10,36,0,149,311
Delta--Richmond East/Delta--Richmond-Est,106,Delta,89,50,22,46,0,207,306
Delta--Richmond East/Delta--Richmond-Est,107,Delta,108,46,17,36,0,207,327
Delta--Richmond East/Delta--Richmond-Est,108,Delta,121,58,27,53,0,259,379
Delta--Richmond East/Delta--Richmond-Est,109,Delta,84,52,51,22,2,211,328
Delta--Richmond East/Delta--Richmond-Est,110,Delta,103,50,17,55,0,225,375
Delta--Richmond East/Delta--Richmond-Est,111,Delta,75,23,12,41,3,154,302
Delta--Richmond East/Delta--Richmond-Est,112,Delta,91,67,19,35,1,213,340
Delta--Richmond East/Delta--Richmond-Est,113,Delta,99,49,20,51,0,219,332
Delta--Richmond East/Delta--Richmond-Est,114,Delta,113,60,20,43,2,238,331
Delta--Richmond East/Delta--Richmond-Est,115,Delta,83,51,11,11,0,156,274
Delta--Richmond East/Delta--Richmond-Est,116,Delta,112,50,9,35,0,206,406
Delta--Richmond East/Delta--Richmond-Est,117,Delta,124,61,23,61,1,270,453
Delta--Richmond East/Delta--Richmond-Est,118,Delta,33,21,8,14,0,76,135
Delta--Richmond East/Delta--Richmond-Est,119,Delta,196,100,32,74,0,402,616
Delta--Richmond East/Delta--Richmond-Est,120,Delta,149,64,16,60,1,290,460
Delta--Richmond East/Delta--Richmond-Est,121,Delta,157,90,21,57,1,326,476
Delta--Richmond East/Delta--Richmond-Est,122,Delta,104,64,17,47,0,232,378
Delta--Richmond East/Delta--Richmond-Est,123,Delta,105,42,18,39,0,204,359
Delta--Richmond East/Delta--Richmond-Est,124,Delta,117,74,11,42,0,244,431
Delta--Richmond East/Delta--Richmond-Est,125,Delta,96,45,17,42,2,202,327
Delta--Richmond East/Delta--Richmond-Est,126,Delta,207,109,8,56,2,382,556
Delta--Richmond East/Delta--Richmond-Est,127,Delta,116,53,9,53,0,231,346
Delta--Richmond East/Delta--Richmond-Est,128,Delta,132,60,9,26,1,228,328
Delta--Richmond East/Delta--Richmond-Est,129,Delta,155,85,17,53,0,310,442
Delta--Richmond East/Delta--Richmond-Est,130,Delta,153,119,15,37,1,325,485
Delta--Richmond East/Delta--Richmond-Est,131,Delta,145,66,14,52,2,279,473
Delta--Richmond East/Delta--Richmond-Est,132,Delta,138,92,20,29,2,281,418
Delta--Richmond East/Delta--Richmond-Est,133,Delta,111,37,11,19,0,178,385
Delta--Richmond East/Delta--Richmond-Est,134,Delta,50,42,12,16,0,120,283
Delta--Richmond East/Delta--Richmond-Est,135,Delta,207,96,15,35,1,354,583
Delta--Richmond East/Delta--Richmond-Est,136,Delta,117,51,17,18,0,203,323
Delta--Richmond East/Delta--Richmond-Est,137,Delta,102,65,18,43,1,229,416
Delta--Richmond East/Delta--Richmond-Est,138,Delta,93,61,23,39,0,216,310
Delta--Richmond East/Delta--Richmond-Est,139,Delta,126,94,39,26,0,285,401
Delta--Richmond East/Delta--Richmond-Est,140,Delta,152,97,31,36,1,317,450
Delta--Richmond East/Delta--Richmond-Est,141,Delta,130,66,23,32,0,251,374
Delta--Richmond East/Delta--Richmond-Est,142,Delta,93,55,21,17,0,186,272
Delta--Richmond East/Delta--Richmond-Est,143,Delta,71,43,20,34,2,170,341
Delta--Richmond East/Delta--Richmond-Est,144,Delta,129,77,24,45,0,275,496
Delta--Richmond East/Delta--Richmond-Est,145,Delta,156,80,18,27,0,281,480
Delta--Richmond East/Delta--Richmond-Est,146,Delta,133,77,36,35,2,283,400
Delta--Richmond East/Delta--Richmond-Est,147,Delta,129,100,23,44,0,296,473
Delta--Richmond East/Delta--Richmond-Est,148,Delta,199,109,24,16,1,349,536
Delta--Richmond East/Delta--Richmond-Est,149,Delta,110,60,17,24,1,212,303
Delta--Richmond East/Delta--Richmond-Est,150,Delta,148,83,28,27,0,286,437
Delta--Richmond East/Delta--Richmond-Est,151,Delta,128,64,18,23,1,234,386
Delta--Richmond East/Delta--Richmond-Est,152,Delta,139,88,24,34,0,285,428
Delta--Richmond East/Delta--Richmond-Est,153,Delta,96,60,16,25,0,197,296
Delta--Richmond East/Delta--Richmond-Est,154,Delta,140,73,13,32,0,258,375
Delta--Richmond East/Delta--Richmond-Est,155,Delta,129,78,18,17,1,243,396
Delta--Richmond East/Delta--Richmond-Est,156,Delta,86,38,14,27,0,165,268
Delta--Richmond East/Delta--Richmond-Est,157,Delta,138,84,18,36,1,277,453
Delta--Richmond East/Delta--Richmond-Est,158,Delta,148,71,10,25,0,254,389
Delta--Richmond East/Delta--Richmond-Est,159,Delta,182,97,11,25,1,316,468
Delta--Richmond East/Delta--Richmond-Est,160,Delta,145,71,28,36,1,281,404
Delta--Richmond East/Delta--Richmond-Est,161,Delta,137,59,31,39,0,266,388
Delta--Richmond East/Delta--Richmond-Est,162,Delta,139,90,14,23,0,266,397
Delta--Richmond East/Delta--Richmond-Est,163,Delta,102,85,17,30,0,234,374
Delta--Richmond East/Delta--Richmond-Est,164,Delta,153,86,13,13,0,265,411
Delta--Richmond East/Delta--Richmond-Est,165,Delta,126,113,19,24,0,282,436
Delta--Richmond East/Delta--Richmond-Est,166,Delta,143,82,22,23,0,270,429
Delta--Richmond East/Delta--Richmond-Est,167,Delta,124,86,21,27,0,258,394
Delta--Richmond East/Delta--Richmond-Est,168,Delta,150,68,20,21,0,259,411
Delta--Richmond East/Delta--Richmond-Est,169,Delta,168,93,13,23,0,297,466
Delta--Richmond East/Delta--Richmond-Est,170,Delta,173,100,8,19,0,300,452
Delta--Richmond East/Delta--Richmond-Est,171,Delta,106,56,7,11,0,180,314
Delta--Richmond East/Delta--Richmond-Est,172,Delta,120,86,23,36,0,265,400
Delta--Richmond East/Delta--Richmond-Est,173,Delta,195,91,13,25,0,324,445
Delta--Richmond East/Delta--Richmond-Est,174,Delta,127,53,23,21,0,224,344
Delta--Richmond East/Delta--Richmond-Est,500,Mobile poll/Bureau itinérant,20,10,3,6,2,41,93
Delta--Richmond East/Delta--Richmond-Est,501,Mobile poll/Bureau itinérant,94,33,6,15,2,150,158
Delta--Richmond East/Delta--Richmond-Est,502,Mobile poll/Bureau itinérant,18,18,2,9,2,49,77
Delta--Richmond East/Delta--Richmond-Est,503,Mobile poll/Bureau itinérant,22,11,2,7,0,42,48
Delta--Richmond East/Delta--Richmond-Est,600,Richmond,184,139,16,55,3,397,
Delta--Richmond East/Delta--Richmond-Est,601,Richmond--Delta,65,33,5,20,0,123,
Delta--Richmond East/Delta--Richmond-Est,602,Richmond,136,96,15,32,1,280,
Delta--Richmond East/Delta--Richmond-Est,603,Richmond,101,86,9,32,0,228,
Delta--Richmond East/Delta--Richmond-Est,604,Richmond,136,84,13,51,1,285,
Delta--Richmond East/Delta--Richmond-Est,605,Richmond,131,109,15,26,3,284,
Delta--Richmond East/Delta--Richmond-Est,606,Delta,280,110,27,73,2,492,
Delta--Richmond East/Delta--Richmond-Est,607,Delta,204,76,13,25,2,320,
Delta--Richmond East/Delta--Richmond-Est,608,Delta,369,121,26,56,0,572,
Delta--Richmond East/Delta--Richmond-Est,609,Delta,347,104,27,41,2,521,
Delta--Richmond East/Delta--Richmond-Est,,Group 1/Groupe 1,36,22,5,7,2,72,126
Delta--Richmond East/Delta--Richmond-Est,,Group 2/Groupe 2,290,92,30,70,5,487,
