District,Poll Number,Poll Name,Olivia Chow,Tristan Alexander Downe-Dewdney,Asif Hossain,Tony Ianno,Daniel Knezetic,Nick Lin,Mark Viitala,David Watters,Rejected Ballots,Total Vote,Electors
Trinity--Spadina/Trinity--Spadina,120,Toronto,87,1,3,66,1,0,8,9,4,179,394
Trinity--Spadina/Trinity--Spadina,121,Toronto,45,0,0,40,0,0,2,13,1,101,381
Trinity--Spadina/Trinity--Spadina,122,Toronto,63,1,2,105,0,0,8,33,4,216,428
Trinity--Spadina/Trinity--Spadina,123,Toronto,70,0,6,133,0,0,15,38,4,266,436
Trinity--Spadina/Trinity--Spadina,124A,Toronto,40,0,0,50,0,1,3,8,0,102,124
Trinity--Spadina/Trinity--Spadina,124B,Toronto,67,0,1,188,2,0,11,43,1,313,542
Trinity--Spadina/Trinity--Spadina,125,Toronto,107,0,2,79,0,1,8,19,3,219,431
Trinity--Spadina/Trinity--Spadina,126,Toronto,150,1,2,117,2,0,13,12,1,298,525
Trinity--Spadina/Trinity--Spadina,127,Toronto,116,0,0,63,0,2,10,7,1,199,422
Trinity--Spadina/Trinity--Spadina,128,Toronto,142,1,2,62,0,0,8,13,0,228,397
Trinity--Spadina/Trinity--Spadina,129,Toronto,115,1,5,93,3,0,4,13,2,236,455
Trinity--Spadina/Trinity--Spadina,130,Toronto,109,0,1,107,0,0,3,10,1,231,382
Trinity--Spadina/Trinity--Spadina,131,Toronto,91,1,1,91,2,1,14,9,0,210,424
Trinity--Spadina/Trinity--Spadina,132,Toronto,90,1,5,174,1,1,2,17,2,293,548
Trinity--Spadina/Trinity--Spadina,133,Toronto,100,3,3,89,8,4,2,7,0,216,375
Trinity--Spadina/Trinity--Spadina,134,Toronto,94,0,3,132,1,1,6,8,3,248,517
Trinity--Spadina/Trinity--Spadina,135,Toronto,104,1,2,76,0,1,3,9,2,198,398
Trinity--Spadina/Trinity--Spadina,136,Toronto,81,0,0,94,0,0,6,6,2,189,411
Trinity--Spadina/Trinity--Spadina,137,Toronto,146,0,4,132,0,0,16,18,1,317,566
Trinity--Spadina/Trinity--Spadina,138,Toronto,72,1,1,122,0,0,5,24,2,227,247
Trinity--Spadina/Trinity--Spadina,139,Toronto,95,0,0,72,0,1,10,13,0,191,362
Trinity--Spadina/Trinity--Spadina,140,Toronto,82,1,1,168,3,1,3,18,2,279,454
Trinity--Spadina/Trinity--Spadina,141,Toronto,122,0,0,142,0,0,14,22,1,301,530
Trinity--Spadina/Trinity--Spadina,142,Toronto,108,0,2,156,0,3,9,37,3,318,619
Trinity--Spadina/Trinity--Spadina,143,Toronto,Merged with No. 138,,,,,,,,,,159
Trinity--Spadina/Trinity--Spadina,144,Toronto,77,0,4,125,0,0,6,28,3,243,515
Trinity--Spadina/Trinity--Spadina,145,Toronto,Merged with No. 163,,,,,,,,,,136
Trinity--Spadina/Trinity--Spadina,146,Toronto,55,0,2,85,0,1,7,22,2,174,309
Trinity--Spadina/Trinity--Spadina,147,Toronto,104,0,1,70,1,1,14,6,1,198,348
Trinity--Spadina/Trinity--Spadina,148,Toronto,43,0,2,51,0,0,6,16,0,118,192
Trinity--Spadina/Trinity--Spadina,149,Toronto,55,0,3,107,0,0,5,18,0,188,281
Trinity--Spadina/Trinity--Spadina,150,Toronto,175,0,6,212,0,1,23,52,2,471,749
Trinity--Spadina/Trinity--Spadina,151,Toronto,89,0,2,97,0,0,7,13,0,208,356
Trinity--Spadina/Trinity--Spadina,152,Toronto,118,1,2,105,0,0,11,10,3,250,481
Trinity--Spadina/Trinity--Spadina,153,Toronto,118,0,2,107,0,1,6,17,0,251,475
Trinity--Spadina/Trinity--Spadina,154,Toronto,71,1,4,121,1,1,15,15,0,229,345
Trinity--Spadina/Trinity--Spadina,155,Toronto,102,0,3,137,1,0,8,21,4,276,482
Trinity--Spadina/Trinity--Spadina,156,Toronto,135,2,2,75,0,0,14,21,0,249,454
Trinity--Spadina/Trinity--Spadina,157,Toronto,149,1,1,174,0,0,27,42,3,397,651
Trinity--Spadina/Trinity--Spadina,158,Toronto,98,0,2,127,0,0,7,39,0,273,459
Trinity--Spadina/Trinity--Spadina,159,Toronto,83,1,7,146,0,0,13,21,2,273,560
Trinity--Spadina/Trinity--Spadina,160,Toronto,71,0,4,42,0,0,11,6,0,134,224
Trinity--Spadina/Trinity--Spadina,161,Toronto,69,0,2,98,0,0,7,25,0,201,327
Trinity--Spadina/Trinity--Spadina,162,Toronto,90,0,8,140,0,0,26,20,1,285,397
Trinity--Spadina/Trinity--Spadina,163,Toronto,40,0,2,50,0,0,8,21,0,121,207
Trinity--Spadina/Trinity--Spadina,164,Toronto,Merged with No. 167C,,,,,,,,,,192
Trinity--Spadina/Trinity--Spadina,165,Toronto,92,0,2,154,0,0,25,44,0,317,558
Trinity--Spadina/Trinity--Spadina,166,Toronto,98,0,1,121,0,0,10,16,0,246,386
Trinity--Spadina/Trinity--Spadina,167A,Toronto,62,1,1,62,1,0,6,8,0,141,544
Trinity--Spadina/Trinity--Spadina,167B,Toronto,61,0,4,135,0,0,4,39,1,244,262
Trinity--Spadina/Trinity--Spadina,167C,Toronto,137,0,8,146,0,0,33,42,3,369,256
Trinity--Spadina/Trinity--Spadina,168,Toronto,47,0,2,84,0,0,9,16,2,160,325
Trinity--Spadina/Trinity--Spadina,169,Toronto,65,1,1,139,0,0,14,53,0,273,481
Trinity--Spadina/Trinity--Spadina,170,Toronto,Void,,,,,,,,,,
Trinity--Spadina/Trinity--Spadina,171A,Toronto,31,1,6,85,0,0,6,34,2,165,271
Trinity--Spadina/Trinity--Spadina,171B,Toronto,26,0,5,80,0,0,4,33,0,148,344
Trinity--Spadina/Trinity--Spadina,171C,Toronto,53,0,3,69,0,0,8,21,0,154,237
Trinity--Spadina/Trinity--Spadina,172,Toronto,120,0,3,89,0,2,5,17,7,243,432
Trinity--Spadina/Trinity--Spadina,173,Toronto,78,0,9,75,0,0,7,28,0,197,291
Trinity--Spadina/Trinity--Spadina,174,Toronto,184,0,4,72,0,0,8,12,0,280,464
Trinity--Spadina/Trinity--Spadina,175,Toronto,265,5,2,46,0,0,17,21,2,358,503
Trinity--Spadina/Trinity--Spadina,400,Toronto,40,1,0,56,0,1,3,8,1,110,212
Trinity--Spadina/Trinity--Spadina,401,Toronto,Merged with No. 47,,,,,,,,,,31
Trinity--Spadina/Trinity--Spadina,402,Toronto,112,1,3,142,0,2,5,13,9,287,441
Trinity--Spadina/Trinity--Spadina,403,Toronto,77,0,5,96,1,1,7,15,1,203,353
Trinity--Spadina/Trinity--Spadina,404,Toronto,15,1,1,23,0,0,0,5,2,47,164
Trinity--Spadina/Trinity--Spadina,405,Toronto,Void,,,,,,,,,,
Trinity--Spadina/Trinity--Spadina,406,Toronto,68,0,1,100,0,0,11,41,1,222,320
Trinity--Spadina/Trinity--Spadina,407,Toronto,9,0,3,46,0,0,1,28,0,87,146
Trinity--Spadina/Trinity--Spadina,408,Toronto,40,0,4,85,0,0,9,24,0,162,246
Trinity--Spadina/Trinity--Spadina,409,Toronto,69,1,2,110,0,0,6,23,0,211,284
Trinity--Spadina/Trinity--Spadina,410,Toronto,39,0,4,82,0,0,3,28,0,156,260
Trinity--Spadina/Trinity--Spadina,411,Toronto,62,0,3,102,0,0,8,25,2,202,335
Trinity--Spadina/Trinity--Spadina,412,Toronto,Merged with No. 428,,,,,,,,,,220
Trinity--Spadina/Trinity--Spadina,413,Toronto,51,0,8,112,0,0,5,38,0,214,330
Trinity--Spadina/Trinity--Spadina,414,Toronto,Merged with No. 169,,,,,,,,,,54
Trinity--Spadina/Trinity--Spadina,415,Toronto,Merged with No. 430,,,,,,,,,,183
Trinity--Spadina/Trinity--Spadina,416,Toronto,70,1,4,117,0,1,12,33,0,238,327
Trinity--Spadina/Trinity--Spadina,417,Toronto,44,0,8,98,1,1,7,25,1,185,255
Trinity--Spadina/Trinity--Spadina,418,Toronto,41,0,3,85,1,0,5,15,0,150,229
Trinity--Spadina/Trinity--Spadina,419,Toronto,Merged with No. 167B,,,,,,,,,,77
Trinity--Spadina/Trinity--Spadina,420,Toronto,Merged with No. 167B,,,,,,,,,,47
Trinity--Spadina/Trinity--Spadina,421,Toronto,36,0,2,78,0,0,1,19,0,136,205
Trinity--Spadina/Trinity--Spadina,422,Toronto,31,0,1,85,0,0,5,17,0,139,245
Trinity--Spadina/Trinity--Spadina,423,Toronto,38,0,5,90,0,0,6,15,0,154,256
Trinity--Spadina/Trinity--Spadina,424,Toronto,22,0,4,63,0,0,5,20,0,114,231
Trinity--Spadina/Trinity--Spadina,425,Toronto,Void,,,,,,,,,,
Trinity--Spadina/Trinity--Spadina,426,Toronto,32,0,6,121,0,1,5,53,0,218,200
Trinity--Spadina/Trinity--Spadina,427,Toronto,Merged with No. 426,,,,,,,,,,114
Trinity--Spadina/Trinity--Spadina,428,Toronto,66,0,8,196,0,1,13,55,1,340,259
Trinity--Spadina/Trinity--Spadina,429,Toronto,53,1,4,105,0,0,11,35,0,209,289
Trinity--Spadina/Trinity--Spadina,430,Toronto,70,1,6,153,0,0,10,40,1,281,223
Trinity--Spadina/Trinity--Spadina,431,Toronto,54,0,5,80,1,0,11,25,1,177,332
Trinity--Spadina/Trinity--Spadina,432,Toronto,41,1,8,99,0,0,12,22,1,184,245
Trinity--Spadina/Trinity--Spadina,433,Toronto,25,0,0,94,0,0,9,29,0,157,277
Trinity--Spadina/Trinity--Spadina,434,Toronto,64,0,2,153,0,0,11,64,0,294,481
Trinity--Spadina/Trinity--Spadina,435,Toronto,28,1,9,88,1,0,5,35,1,168,292
Trinity--Spadina/Trinity--Spadina,436,Toronto,44,0,7,61,0,0,5,14,0,131,90
Trinity--Spadina/Trinity--Spadina,437,Toronto,Merged with No. 436,,,,,,,,,,64
Trinity--Spadina/Trinity--Spadina,438,Toronto,Merged with No. 441,,,,,,,,,,7
Trinity--Spadina/Trinity--Spadina,439,Toronto,35,0,2,102,0,0,9,20,1,169,263
Trinity--Spadina/Trinity--Spadina,440,Toronto,35,0,3,82,1,0,8,26,1,156,268
Trinity--Spadina/Trinity--Spadina,441,Toronto,35,0,6,108,0,0,5,42,0,196,117
Trinity--Spadina/Trinity--Spadina,442,Toronto,Merged with No. 441,,,,,,,,,,96
Trinity--Spadina/Trinity--Spadina,443,Toronto,Void,,,,,,,,,,
Trinity--Spadina/Trinity--Spadina,444,Toronto,61,1,7,127,0,0,8,65,0,269,458
Trinity--Spadina/Trinity--Spadina,445,Toronto,80,0,4,217,1,2,12,74,2,392,569
Trinity--Spadina/Trinity--Spadina,446,Toronto,36,1,4,146,0,0,4,54,0,245,377
Trinity--Spadina/Trinity--Spadina,447,Toronto,38,0,5,82,0,1,7,53,1,187,316
Trinity--Spadina/Trinity--Spadina,448,Toronto,43,0,2,122,0,1,9,49,0,226,387
Trinity--Spadina/Trinity--Spadina,449,Toronto,52,1,5,122,0,0,17,76,0,273,425
Trinity--Spadina/Trinity--Spadina,450,Toronto,27,0,6,111,0,1,5,36,0,186,283
Trinity--Spadina/Trinity--Spadina,500,Mobile poll/Bureau itinérant,12,0,1,15,0,0,1,3,0,32,64
Trinity--Spadina/Trinity--Spadina,501,Mobile poll/Bureau itinérant,13,3,0,19,2,3,2,9,1,52,71
Trinity--Spadina/Trinity--Spadina,502,Mobile poll/Bureau itinérant,20,0,3,30,2,1,2,8,7,73,284
Trinity--Spadina/Trinity--Spadina,503,Mobile poll/Bureau itinérant,Merged with No. 501,,,,,,,,,,18
Trinity--Spadina/Trinity--Spadina,504,Mobile poll/Bureau itinérant,15,2,4,35,3,0,0,8,0,67,124
Trinity--Spadina/Trinity--Spadina,600,Toronto,405,1,0,168,0,2,30,23,4,633,
Trinity--Spadina/Trinity--Spadina,601,Toronto,260,0,3,165,0,0,18,48,1,495,
Trinity--Spadina/Trinity--Spadina,602,Toronto,223,0,4,206,0,0,13,82,0,528,
Trinity--Spadina/Trinity--Spadina,603,Toronto,213,1,3,128,0,0,16,11,1,373,
Trinity--Spadina/Trinity--Spadina,604,Toronto,179,0,1,93,0,1,9,11,0,294,
Trinity--Spadina/Trinity--Spadina,605,Toronto,271,0,4,167,0,1,17,27,3,490,
Trinity--Spadina/Trinity--Spadina,606,Toronto,288,0,5,265,2,2,29,81,8,680,
Trinity--Spadina/Trinity--Spadina,607,Toronto,88,0,3,95,1,0,4,19,0,210,
Trinity--Spadina/Trinity--Spadina,608,Toronto,97,0,5,95,1,1,21,37,2,259,
Trinity--Spadina/Trinity--Spadina,609,Toronto,162,0,10,183,0,1,13,100,1,470,
Trinity--Spadina/Trinity--Spadina,,Group 1/Groupe 1,84,1,0,58,0,0,4,18,10,175,247
Trinity--Spadina/Trinity--Spadina,,Group 2/Groupe 2,343,1,7,227,1,0,23,62,12,676,
