District,Poll Number,Poll Name,Anna-Celestrya Carr,Robert Eng,Robin (Pilar) Faye,Pat Martin,David Northcott,Douglas Edward Schweitzer,John M. Siedleski,Rejected Ballots,Total Vote,Electors
Winnipeg Centre/Winnipeg-Centre,133,Winnipeg,0,20,5,57,65,1,2,3,153,352
Winnipeg Centre/Winnipeg-Centre,134,Winnipeg,2,19,8,36,42,0,1,1,109,419
Winnipeg Centre/Winnipeg-Centre,135,Winnipeg,1,47,6,89,122,0,4,0,269,641
Winnipeg Centre/Winnipeg-Centre,136,Winnipeg,Void,,,,,,,,,
Winnipeg Centre/Winnipeg-Centre,137,Winnipeg,2,52,9,51,115,0,1,0,230,376
Winnipeg Centre/Winnipeg-Centre,138,Winnipeg,1,51,4,71,156,3,1,0,287,341
Winnipeg Centre/Winnipeg-Centre,139,Winnipeg,1,30,6,31,61,0,0,0,129,307
Winnipeg Centre/Winnipeg-Centre,400,Winnipeg,1,36,2,40,50,0,3,1,133,274
Winnipeg Centre/Winnipeg-Centre,401,Winnipeg,2,29,1,84,47,1,2,5,171,325
Winnipeg Centre/Winnipeg-Centre,402,Winnipeg,0,24,1,57,52,0,2,4,140,318
Winnipeg Centre/Winnipeg-Centre,403,Winnipeg,3,7,1,15,21,1,3,2,53,278
Winnipeg Centre/Winnipeg-Centre,404,Winnipeg,0,14,1,43,62,0,0,1,121,177
Winnipeg Centre/Winnipeg-Centre,405,Winnipeg,0,19,1,41,57,1,0,2,121,145
Winnipeg Centre/Winnipeg-Centre,500,Mobile poll/Bureau itinérant,0,11,1,49,24,0,0,0,85,168
Winnipeg Centre/Winnipeg-Centre,501,Mobile poll/Bureau itinérant,1,20,2,33,29,1,0,2,88,145
Winnipeg Centre/Winnipeg-Centre,502,Mobile poll/Bureau itinérant,1,19,2,37,51,1,1,3,115,116
Winnipeg Centre/Winnipeg-Centre,503,Mobile poll/Bureau itinérant,1,26,1,53,32,2,1,4,120,296
Winnipeg Centre/Winnipeg-Centre,504,Mobile poll/Bureau itinérant,Merged with No. 501,,,,,,,,,88
Winnipeg Centre/Winnipeg-Centre,600,Winnipeg,0,9,1,39,10,1,2,0,62,
Winnipeg Centre/Winnipeg-Centre,601,Winnipeg,0,47,7,61,49,2,2,4,172,
Winnipeg Centre/Winnipeg-Centre,602,Winnipeg,1,33,5,120,73,0,2,0,234,
Winnipeg Centre/Winnipeg-Centre,603,Winnipeg,1,33,4,74,50,1,2,2,167,
Winnipeg Centre/Winnipeg-Centre,604,Winnipeg,2,9,2,46,63,0,4,5,131,
Winnipeg Centre/Winnipeg-Centre,605,Winnipeg,2,56,8,143,91,1,3,2,306,
Winnipeg Centre/Winnipeg-Centre,606,Winnipeg,1,32,32,198,77,1,0,0,341,
Winnipeg Centre/Winnipeg-Centre,607,Winnipeg,1,41,15,78,94,1,1,1,232,
Winnipeg Centre/Winnipeg-Centre,,Group 1/Groupe 1,1,34,8,48,69,0,30,8,198,325
Winnipeg Centre/Winnipeg-Centre,,Group 2/Groupe 2,2,73,20,206,115,3,5,12,436,
