District,Poll Number,Poll Name,Gordon Guyatt,David Januczkowski,Russ Powers,David Sweet,Rejected Ballots,Total Vote,Electors
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,30,Flamborough,37,19,49,103,0,208,274
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,31,Flamborough,32,6,46,81,0,165,303
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,32,Flamborough,37,16,76,108,0,237,344
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,33,Flamborough,29,17,71,108,1,226,311
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,34,Flamborough,25,7,54,105,2,193,303
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,35,Flamborough,24,18,39,61,0,142,270
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,36,Flamborough,56,13,73,89,3,234,370
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,37,Flamborough,28,14,82,88,1,213,351
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,38,Flamborough,74,13,80,124,0,291,455
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,39,Flamborough,40,14,95,94,2,245,373
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,40,Flamborough,57,9,111,98,1,276,412
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,41,Flamborough,50,11,103,72,1,237,335
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,42,Flamborough,43,14,108,107,2,274,408
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,43,Flamborough,34,9,46,112,0,201,304
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,44,Flamborough,25,7,63,102,1,198,321
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,45,Flamborough,33,8,90,93,5,229,395
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,46,Flamborough,33,15,69,108,0,225,392
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,47,Flamborough,19,9,67,72,0,167,302
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,48,Flamborough,42,6,109,124,1,282,467
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,49,Flamborough,23,9,64,56,1,153,257
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,50,Flamborough,33,21,80,107,0,241,408
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,51,Flamborough,21,9,84,80,0,194,334
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,52,Flamborough,30,22,85,91,1,229,372
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,53,Flamborough,42,14,59,82,0,197,357
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,54,Flamborough,25,7,75,89,0,196,338
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,55,Flamborough,26,12,41,52,1,132,212
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,56,Flamborough,40,7,32,68,0,147,269
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,57,Flamborough,27,10,56,90,0,183,299
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,58,Flamborough,22,10,38,54,1,125,294
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,59,Flamborough,37,21,104,103,4,269,437
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,60,Flamborough,18,8,82,55,0,163,268
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,61,Flamborough,24,14,33,36,2,109,266
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,62,Flamborough,22,10,125,104,3,264,412
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,63,Flamborough,35,9,91,97,2,234,404
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,64,Flamborough,28,7,125,127,1,288,557
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,65,Flamborough,37,11,86,97,1,232,422
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,66,Flamborough,19,12,74,109,0,214,349
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,67,Flamborough,43,24,112,104,1,284,484
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,68,Flamborough,15,3,51,68,1,138,211
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,69,Flamborough,43,16,99,81,1,240,375
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,70,Flamborough,18,12,50,67,1,148,247
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,71,Flamborough,29,10,100,104,2,245,425
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,72,Flamborough,27,12,122,83,0,244,391
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,73,Flamborough,21,7,77,52,3,160,274
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,74,Flamborough,25,13,48,52,1,139,259
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,75,Flamborough,30,22,106,120,2,280,527
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,76,Dundas,69,19,69,55,3,215,347
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,77,Dundas,43,11,72,97,0,223,341
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,78,Hamilton,Void,,,,,,
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,79,Dundas,37,19,124,59,0,239,419
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,80,Dundas,44,11,162,66,4,287,437
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,81,Dundas,92,12,112,52,0,268,426
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,82,Dundas,77,16,101,56,0,250,406
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,83,Dundas,81,12,103,47,2,245,399
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,84,Dundas,61,9,70,47,0,187,334
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,85,Dundas,60,9,50,30,1,150,305
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,86,Dundas,63,16,106,52,2,239,373
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,87,Dundas,81,12,97,45,2,237,356
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,88,Dundas,43,5,35,39,0,122,249
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,89,Dundas,60,2,42,28,0,132,336
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,90,Dundas,58,8,82,41,0,189,317
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,91,Dundas,75,15,139,87,3,319,461
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,91-1,Dundas,11,2,18,14,0,45,176
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,92,Dundas,76,14,105,71,1,267,371
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,93,Dundas,54,11,88,58,4,215,351
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,94,Dundas,43,9,126,68,3,249,384
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,95,Dundas,51,7,107,51,2,218,341
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,96,Dundas,70,22,106,74,3,275,447
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,97,Dundas,72,11,108,72,2,265,431
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,98,Hamilton,102,11,67,31,2,213,311
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,99,Hamilton,80,10,59,36,0,185,283
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,100,Hamilton,90,18,101,33,1,243,331
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,101,Hamilton,99,9,130,47,3,288,459
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,102,Hamilton,82,11,41,21,0,155,258
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,103,Hamilton,97,12,77,17,1,204,332
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,104,Hamilton,73,15,67,22,0,177,304
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,105,Hamilton,88,11,71,8,1,179,316
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,106,Hamilton,80,6,73,29,0,188,321
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,107,Hamilton,79,12,86,25,0,202,329
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,108,Hamilton,105,17,82,28,0,232,337
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,109,Hamilton,62,8,54,14,1,139,290
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,110,Hamilton,72,12,47,23,1,155,306
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,111,Hamilton,78,5,70,21,1,175,492
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,112,Hamilton,45,4,67,25,0,141,274
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,113,Hamilton,76,13,74,27,0,190,306
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,114,Hamilton,39,6,41,22,1,109,204
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,115,Hamilton,54,14,72,33,0,173,333
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,116,Hamilton,61,9,56,34,0,160,296
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,117,Hamilton,77,13,55,35,1,181,325
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,118,Hamilton,69,9,50,42,3,173,308
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,119,Hamilton,81,15,99,62,3,260,423
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,120,Hamilton,57,7,56,30,0,150,325
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,121,Hamilton,85,8,52,18,0,163,345
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,122,Hamilton,61,10,70,50,0,191,338
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,123A,Hamilton,60,11,56,31,0,158,284
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,123B,Mobile poll/Bureau itinérant,Merged with No. 508,,,,,,2
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,124,Hamilton,62,7,56,33,0,158,304
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,125,Hamilton,60,10,82,44,0,196,362
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,126,Hamilton,68,7,101,59,0,235,329
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,127,Hamilton,57,5,61,24,2,149,266
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,128,Hamilton,70,18,88,61,2,239,377
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,129,Hamilton,60,12,87,61,0,220,344
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,130,Hamilton,93,12,51,42,2,200,341
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,131,Hamilton,57,5,65,35,1,163,248
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,132A,Dundas,28,3,52,33,0,116,307
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,132B,Dundas,31,4,44,41,0,120,303
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,133,Dundas,46,6,145,94,3,294,458
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,134,Dundas,83,9,77,50,0,219,357
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,135,Dundas,131,24,132,70,1,358,510
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,136,Dundas,94,7,98,35,5,239,368
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,137,Dundas,72,11,60,39,0,182,345
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,138,Dundas,67,10,68,53,1,199,339
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,139,Dundas,85,17,87,41,2,232,376
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,140,Dundas,73,11,71,58,0,213,380
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,141,Dundas,108,26,104,79,2,319,501
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,142,Dundas,63,9,84,57,1,214,379
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,143,Dundas,62,9,116,41,1,229,404
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,144,Dundas,67,6,103,59,0,235,415
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,145,Dundas,74,11,104,77,1,267,468
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,146,Dundas,76,15,104,74,2,271,476
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,147,Dundas,49,9,148,59,0,265,419
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,148,Dundas,56,11,156,56,1,280,460
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,149,Dundas,28,5,111,75,0,219,298
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,150,Dundas,43,5,76,55,1,180,314
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,151,Dundas,52,6,51,56,0,165,280
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,152,Dundas,47,15,183,76,0,321,522
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,153,Dundas,46,12,97,59,0,214,357
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,154,Dundas,71,18,74,44,0,207,357
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,155,Dundas,39,12,70,55,1,177,327
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,156,Ancaster,50,18,150,95,1,314,524
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,157,Ancaster,58,12,117,86,0,273,417
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,158,Ancaster,21,6,116,73,3,219,347
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,159,Ancaster,27,14,133,105,0,279,432
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,160,Ancaster,39,16,158,89,1,303,454
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,161,Ancaster,36,10,189,109,0,344,578
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,162,Ancaster,31,6,146,96,0,279,473
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,163,Ancaster,38,11,150,98,3,300,477
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,164,Ancaster,23,10,129,89,0,251,440
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,165,Ancaster,38,14,111,82,1,246,383
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,166,Ancaster,33,9,140,84,1,267,454
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,167,Ancaster,40,7,101,67,0,215,379
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,168,Ancaster,8,0,32,19,0,59,99
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,169,Ancaster,28,17,135,88,1,269,403
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,170,Ancaster,29,14,182,116,4,345,517
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,171,Ancaster,39,13,120,92,1,265,385
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,172,Ancaster,28,15,107,94,0,244,366
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,173,Ancaster,51,13,113,66,0,243,390
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,174,Ancaster,43,11,191,81,2,328,498
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,175,Ancaster,30,9,95,78,1,213,308
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,176,Ancaster,23,7,66,45,0,141,226
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,177,Ancaster,64,15,137,101,1,318,477
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,178,Ancaster,48,14,119,83,2,266,438
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,179,Ancaster,61,9,124,103,0,297,443
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,180,Ancaster,50,6,168,83,1,308,466
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,181,Ancaster,83,8,94,112,1,298,434
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,182,Flamborough,33,13,46,92,0,184,283
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,183,Flamborough,51,13,56,91,0,211,354
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,184,Flamborough,46,6,65,91,0,208,364
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,185,Flamborough,31,9,83,83,0,206,290
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,186,Ancaster,46,20,87,94,0,247,393
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,187,Ancaster,46,4,70,145,2,267,423
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,188,Ancaster,49,21,86,119,0,275,442
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,189,Ancaster,49,15,88,91,0,243,382
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,190,Ancaster,55,8,122,59,1,245,465
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,191,Ancaster,36,9,128,73,4,250,438
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,192A,Ancaster,31,4,61,39,0,135,277
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,192B,Ancaster,17,4,20,22,1,64,109
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,193,Ancaster,34,11,134,116,1,296,434
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,194A,Ancaster,26,4,103,54,1,188,333
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,194B,Ancaster,34,7,96,86,0,223,362
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,195,Ancaster,34,6,152,103,0,295,443
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,196,Ancaster,30,9,61,69,2,171,313
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,197A,Ancaster,30,2,114,46,0,192,326
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,197B,Ancaster,34,8,103,88,0,233,353
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,198,Ancaster,15,5,86,37,0,143,262
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,199,Ancaster,43,4,112,103,2,264,438
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,200,Ancaster,32,16,98,63,1,210,327
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,201,Ancaster,32,7,135,123,1,298,507
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,202,Ancaster,30,13,134,117,0,294,461
Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,203,Ancaster,53,19,142,136,0,350,528
