District,Poll Number,Poll Name,David Raymond Amos,Karin Bach,Pat Hanratty,John Herron,Rob Moore,Rejected Ballots,Total Vote,Electors
Fundy/Fundy,132A,Quispamsis,0,2,10,46,62,1,121,252
Fundy/Fundy,132B,Quispamsis,2,4,24,58,87,0,175,275
Fundy/Fundy,133A,Quispamsis,1,5,15,48,66,1,136,226
Fundy/Fundy,133B,Quispamsis,2,6,11,59,54,2,134,232
Fundy/Fundy,134,Quispamsis,0,3,29,124,98,1,255,418
Fundy/Fundy,135A,Quispamsis,1,7,21,140,83,0,252,367
Fundy/Fundy,135B,Quispamsis,1,4,22,145,100,0,272,420
Fundy/Fundy,136A,Quispamsis,3,6,19,65,50,2,145,231
Fundy/Fundy,136B,Quispamsis,1,3,14,71,48,1,138,242
Fundy/Fundy,137,Quispamsis,1,9,36,135,84,0,265,433
Fundy/Fundy,138A,Quispamsis,0,6,13,66,44,0,129,232
Fundy/Fundy,138B,Quispamsis,0,4,19,72,53,0,148,272
Fundy/Fundy,139,Quispamsis,1,4,39,110,88,0,242,420
Fundy/Fundy,500,Mobile poll/Bureau itinérant,2,3,6,18,15,1,45,136
Fundy/Fundy,501,Mobile poll/Bureau itinérant,2,1,2,6,19,1,31,93
Fundy/Fundy,502,Mobile poll/Bureau itinérant,1,1,5,25,17,3,52,122
Fundy/Fundy,600,Cumberland Bay,0,0,4,11,23,0,38,
Fundy/Fundy,601,Petitcodiac,4,1,28,62,151,0,246,
Fundy/Fundy,602,Salisbury,1,15,26,59,176,0,277,
Fundy/Fundy,603,Riverview,1,2,28,83,101,1,216,
Fundy/Fundy,604,Riverview,1,6,14,67,98,2,188,
Fundy/Fundy,605,Hillsborough,0,2,13,31,68,0,114,
Fundy/Fundy,606,Riverside-Albert,1,6,17,23,35,2,84,
Fundy/Fundy,607,Sussex Corner,2,4,26,80,92,0,204,
Fundy/Fundy,608,Sussex,3,4,27,123,162,1,320,
Fundy/Fundy,609,St. Martins,0,0,5,18,50,1,74,
Fundy/Fundy,610,Simonds,0,4,24,33,79,1,141,
Fundy/Fundy,611,Norton,0,3,16,55,90,0,164,
Fundy/Fundy,612,Hampton,0,5,55,165,213,0,438,
Fundy/Fundy,613,Kingston,0,4,22,45,75,0,146,
Fundy/Fundy,614,Quispamsis,1,4,51,147,161,1,365,
Fundy/Fundy,615,Quispamsis,1,9,32,117,172,0,331,
Fundy/Fundy,,Group 1/Groupe 1,0,7,8,38,60,4,117,292
Fundy/Fundy,,Group 2/Groupe 2,0,5,28,126,149,3,311,
