District,Poll Number,Poll Name,Paul Forseth,Dave Haggard,Jack Hummelman,Steve McClurg,Carli Travers,Rejected Ballots,Total Vote,Electors
New Westminster--Coquitlam/New Westminster--Coquitlam,64,Coquitlam,112,73,0,94,13,0,292,443
New Westminster--Coquitlam/New Westminster--Coquitlam,65,Coquitlam,82,62,1,64,8,0,217,329
New Westminster--Coquitlam/New Westminster--Coquitlam,66,Coquitlam,96,89,2,63,9,0,259,445
New Westminster--Coquitlam/New Westminster--Coquitlam,67,Coquitlam,100,74,6,92,23,0,295,469
New Westminster--Coquitlam/New Westminster--Coquitlam,68,Coquitlam,84,107,1,47,6,1,246,424
New Westminster--Coquitlam/New Westminster--Coquitlam,69,Coquitlam,100,70,2,70,21,1,264,486
New Westminster--Coquitlam/New Westminster--Coquitlam,70,Coquitlam,72,76,7,43,14,1,213,459
New Westminster--Coquitlam/New Westminster--Coquitlam,71,Coquitlam,Merged with No. 70,,,,,,,71
New Westminster--Coquitlam/New Westminster--Coquitlam,72A,Coquitlam,52,64,1,73,12,0,202,320
New Westminster--Coquitlam/New Westminster--Coquitlam,72B,Coquitlam,40,39,1,54,5,0,139,250
New Westminster--Coquitlam/New Westminster--Coquitlam,73,Coquitlam,80,58,3,110,15,4,270,442
New Westminster--Coquitlam/New Westminster--Coquitlam,74,Coquitlam,87,60,2,72,8,0,229,349
New Westminster--Coquitlam/New Westminster--Coquitlam,75,Coquitlam,125,85,3,74,9,1,297,445
New Westminster--Coquitlam/New Westminster--Coquitlam,76,Coquitlam,115,74,3,74,14,1,281,432
New Westminster--Coquitlam/New Westminster--Coquitlam,77,Coquitlam,65,61,2,61,6,2,197,293
New Westminster--Coquitlam/New Westminster--Coquitlam,78,Coquitlam,68,58,3,80,17,1,227,412
New Westminster--Coquitlam/New Westminster--Coquitlam,79,Coquitlam,68,47,4,89,12,0,220,442
New Westminster--Coquitlam/New Westminster--Coquitlam,80,Coquitlam,50,42,2,58,10,1,163,335
New Westminster--Coquitlam/New Westminster--Coquitlam,81,Coquitlam,80,63,5,86,8,1,243,472
New Westminster--Coquitlam/New Westminster--Coquitlam,82,Coquitlam,54,37,2,64,11,0,168,350
New Westminster--Coquitlam/New Westminster--Coquitlam,83,Coquitlam,58,67,4,74,7,1,211,363
New Westminster--Coquitlam/New Westminster--Coquitlam,84,Coquitlam,96,73,3,66,14,0,252,441
New Westminster--Coquitlam/New Westminster--Coquitlam,85,Coquitlam,87,53,4,70,10,0,224,356
New Westminster--Coquitlam/New Westminster--Coquitlam,86,Coquitlam,80,38,4,60,7,0,189,295
New Westminster--Coquitlam/New Westminster--Coquitlam,87,Coquitlam,84,79,2,68,12,0,245,406
New Westminster--Coquitlam/New Westminster--Coquitlam,88,Coquitlam,41,46,3,55,7,0,152,372
New Westminster--Coquitlam/New Westminster--Coquitlam,89,Coquitlam,31,27,3,46,18,0,125,321
New Westminster--Coquitlam/New Westminster--Coquitlam,90,Coquitlam,61,57,1,56,9,1,185,462
New Westminster--Coquitlam/New Westminster--Coquitlam,91,Coquitlam,84,73,1,71,8,2,239,431
New Westminster--Coquitlam/New Westminster--Coquitlam,92,Coquitlam,100,54,2,71,12,0,239,370
New Westminster--Coquitlam/New Westminster--Coquitlam,93,Coquitlam,117,112,1,64,18,0,312,466
New Westminster--Coquitlam/New Westminster--Coquitlam,94,Coquitlam,123,60,9,73,9,1,275,442
New Westminster--Coquitlam/New Westminster--Coquitlam,95,Coquitlam,43,56,2,48,5,0,154,264
New Westminster--Coquitlam/New Westminster--Coquitlam,96,Coquitlam,56,69,3,47,5,0,180,287
New Westminster--Coquitlam/New Westminster--Coquitlam,97,Coquitlam,67,40,0,51,9,0,167,357
New Westminster--Coquitlam/New Westminster--Coquitlam,98,Coquitlam,90,61,6,71,11,0,239,402
New Westminster--Coquitlam/New Westminster--Coquitlam,99,Coquitlam,34,37,2,52,13,0,138,303
New Westminster--Coquitlam/New Westminster--Coquitlam,100,Coquitlam,40,51,3,92,9,1,196,347
New Westminster--Coquitlam/New Westminster--Coquitlam,101,Coquitlam,28,39,0,47,9,0,123,309
New Westminster--Coquitlam/New Westminster--Coquitlam,102,Coquitlam,71,54,8,80,13,0,226,413
New Westminster--Coquitlam/New Westminster--Coquitlam,103A,Coquitlam,69,60,3,44,9,2,187,300
New Westminster--Coquitlam/New Westminster--Coquitlam,103B,Coquitlam,44,40,1,45,17,0,147,246
New Westminster--Coquitlam/New Westminster--Coquitlam,104,Coquitlam,96,108,2,77,13,1,297,458
New Westminster--Coquitlam/New Westminster--Coquitlam,105,Coquitlam,76,57,1,75,14,1,224,366
New Westminster--Coquitlam/New Westminster--Coquitlam,106,Coquitlam,85,65,5,78,5,1,239,408
New Westminster--Coquitlam/New Westminster--Coquitlam,107,Coquitlam,77,81,1,92,15,0,266,412
New Westminster--Coquitlam/New Westminster--Coquitlam,108A,Coquitlam,42,32,4,46,8,0,132,272
New Westminster--Coquitlam/New Westminster--Coquitlam,108B,Coquitlam,35,29,1,49,15,0,129,269
New Westminster--Coquitlam/New Westminster--Coquitlam,109,Coquitlam,54,68,4,78,4,1,209,361
New Westminster--Coquitlam/New Westminster--Coquitlam,110,Coquitlam,53,64,1,52,10,0,180,297
New Westminster--Coquitlam/New Westminster--Coquitlam,111,Coquitlam,63,67,9,91,19,2,251,454
New Westminster--Coquitlam/New Westminster--Coquitlam,112,Coquitlam,84,86,5,82,14,0,271,519
New Westminster--Coquitlam/New Westminster--Coquitlam,113,Coquitlam,90,54,4,120,21,0,289,480
New Westminster--Coquitlam/New Westminster--Coquitlam,114,Coquitlam,Void,,,,,,,
New Westminster--Coquitlam/New Westminster--Coquitlam,115,Coquitlam,86,65,4,96,14,0,265,420
New Westminster--Coquitlam/New Westminster--Coquitlam,116,Coquitlam,67,56,6,87,16,0,232,377
New Westminster--Coquitlam/New Westminster--Coquitlam,117,Coquitlam,41,38,1,49,8,0,137,253
New Westminster--Coquitlam/New Westminster--Coquitlam,118,Coquitlam,32,44,2,35,4,0,117,244
New Westminster--Coquitlam/New Westminster--Coquitlam,119,Coquitlam,37,51,2,26,3,0,119,239
New Westminster--Coquitlam/New Westminster--Coquitlam,120,Coquitlam,93,87,2,47,10,0,239,394
New Westminster--Coquitlam/New Westminster--Coquitlam,121,Coquitlam,35,23,1,44,5,0,108,257
New Westminster--Coquitlam/New Westminster--Coquitlam,122A,Coquitlam,89,52,4,68,7,2,222,433
New Westminster--Coquitlam/New Westminster--Coquitlam,122B,Mobile poll/Bureau itinérant,47,33,14,32,7,5,138,159
New Westminster--Coquitlam/New Westminster--Coquitlam,123,Coquitlam,52,47,0,51,10,0,160,349
New Westminster--Coquitlam/New Westminster--Coquitlam,124,Coquitlam,47,35,0,32,6,1,121,229
New Westminster--Coquitlam/New Westminster--Coquitlam,125,Coquitlam,67,75,1,40,12,0,195,315
New Westminster--Coquitlam/New Westminster--Coquitlam,126,Coquitlam,93,106,5,114,15,0,333,510
New Westminster--Coquitlam/New Westminster--Coquitlam,127,Coquitlam,69,82,3,85,21,1,261,430
New Westminster--Coquitlam/New Westminster--Coquitlam,128,Coquitlam,106,83,1,93,17,0,300,509
New Westminster--Coquitlam/New Westminster--Coquitlam,129,Coquitlam,89,72,2,79,13,0,255,378
New Westminster--Coquitlam/New Westminster--Coquitlam,130,Coquitlam,64,58,2,68,18,3,213,368
New Westminster--Coquitlam/New Westminster--Coquitlam,131,Coquitlam,72,65,8,70,9,1,225,382
New Westminster--Coquitlam/New Westminster--Coquitlam,132A,Coquitlam,72,52,2,88,15,1,230,426
New Westminster--Coquitlam/New Westminster--Coquitlam,132B,Mobile poll/Bureau itinérant,Merged with No. 122B,,,,,,,41
New Westminster--Coquitlam/New Westminster--Coquitlam,133,Coquitlam,74,89,2,89,18,0,272,427
New Westminster--Coquitlam/New Westminster--Coquitlam,134A,Coquitlam,40,33,3,56,17,0,149,302
New Westminster--Coquitlam/New Westminster--Coquitlam,134B,Coquitlam,19,28,2,40,8,1,98,237
New Westminster--Coquitlam/New Westminster--Coquitlam,135,Coquitlam,58,68,6,106,11,2,251,474
New Westminster--Coquitlam/New Westminster--Coquitlam,136A,Coquitlam,54,52,3,56,12,0,177,343
New Westminster--Coquitlam/New Westminster--Coquitlam,136B,Mobile poll/Bureau itinérant,Merged with No. 122B,,,,,,,14
New Westminster--Coquitlam/New Westminster--Coquitlam,137,Coquitlam,82,80,9,71,13,1,256,448
New Westminster--Coquitlam/New Westminster--Coquitlam,138,Coquitlam,89,64,3,115,16,0,287,499
New Westminster--Coquitlam/New Westminster--Coquitlam,139,Coquitlam,46,56,8,67,7,1,185,384
New Westminster--Coquitlam/New Westminster--Coquitlam,140,Coquitlam,83,91,2,107,21,3,307,536
New Westminster--Coquitlam/New Westminster--Coquitlam,141,New Westminster,89,62,0,48,16,0,215,295
New Westminster--Coquitlam/New Westminster--Coquitlam,142,New Westminster,45,66,8,55,10,1,185,284
New Westminster--Coquitlam/New Westminster--Coquitlam,143,New Westminster,68,84,17,91,14,1,275,416
New Westminster--Coquitlam/New Westminster--Coquitlam,144,New Westminster,93,75,7,102,14,0,291,444
New Westminster--Coquitlam/New Westminster--Coquitlam,145,New Westminster,57,65,2,111,14,1,250,417
New Westminster--Coquitlam/New Westminster--Coquitlam,146,New Westminster,127,106,7,91,20,0,351,540
New Westminster--Coquitlam/New Westminster--Coquitlam,147,New Westminster,100,62,5,74,12,0,253,380
New Westminster--Coquitlam/New Westminster--Coquitlam,148,New Westminster,79,49,2,62,14,0,206,309
New Westminster--Coquitlam/New Westminster--Coquitlam,149,New Westminster,38,29,2,77,9,1,156,295
New Westminster--Coquitlam/New Westminster--Coquitlam,150,New Westminster,52,28,7,88,14,0,189,315
New Westminster--Coquitlam/New Westminster--Coquitlam,151,New Westminster,45,41,3,114,21,3,227,371
New Westminster--Coquitlam/New Westminster--Coquitlam,152,New Westminster,62,60,1,132,14,2,271,402
New Westminster--Coquitlam/New Westminster--Coquitlam,153,New Westminster,50,47,5,83,11,0,196,321
New Westminster--Coquitlam/New Westminster--Coquitlam,154,New Westminster,50,31,2,76,11,1,171,330
New Westminster--Coquitlam/New Westminster--Coquitlam,155,New Westminster,73,38,13,103,18,0,245,354
New Westminster--Coquitlam/New Westminster--Coquitlam,156,New Westminster,73,55,1,117,17,1,264,423
New Westminster--Coquitlam/New Westminster--Coquitlam,157,New Westminster,63,48,6,89,18,0,224,392
New Westminster--Coquitlam/New Westminster--Coquitlam,158,New Westminster,54,59,1,34,7,0,155,236
New Westminster--Coquitlam/New Westminster--Coquitlam,159,New Westminster,43,38,0,29,7,0,117,190
New Westminster--Coquitlam/New Westminster--Coquitlam,160,New Westminster,61,75,4,40,14,0,194,288
New Westminster--Coquitlam/New Westminster--Coquitlam,161,New Westminster,95,63,3,59,10,0,230,321
New Westminster--Coquitlam/New Westminster--Coquitlam,162,New Westminster,108,72,1,78,16,0,275,395
New Westminster--Coquitlam/New Westminster--Coquitlam,163,New Westminster,90,80,10,95,13,1,289,435
New Westminster--Coquitlam/New Westminster--Coquitlam,164,New Westminster,88,73,5,106,10,0,282,444
New Westminster--Coquitlam/New Westminster--Coquitlam,165,New Westminster,117,58,6,147,11,1,340,508
New Westminster--Coquitlam/New Westminster--Coquitlam,166,New Westminster,94,105,7,144,20,1,371,547
New Westminster--Coquitlam/New Westminster--Coquitlam,167,New Westminster,103,72,5,153,19,1,353,536
New Westminster--Coquitlam/New Westminster--Coquitlam,168,New Westminster,89,93,6,142,26,0,356,505
New Westminster--Coquitlam/New Westminster--Coquitlam,169,New Westminster,70,75,2,107,12,0,266,461
New Westminster--Coquitlam/New Westminster--Coquitlam,170,New Westminster,73,52,2,73,17,1,218,362
New Westminster--Coquitlam/New Westminster--Coquitlam,171,New Westminster,50,63,3,46,10,0,172,318
New Westminster--Coquitlam/New Westminster--Coquitlam,172,New Westminster,63,50,1,88,9,0,211,373
New Westminster--Coquitlam/New Westminster--Coquitlam,173,New Westminster,51,41,6,70,13,0,181,299
New Westminster--Coquitlam/New Westminster--Coquitlam,174,New Westminster,89,87,1,83,7,2,269,388
New Westminster--Coquitlam/New Westminster--Coquitlam,175,New Westminster,98,67,8,65,8,0,246,351
New Westminster--Coquitlam/New Westminster--Coquitlam,176,New Westminster,70,57,9,97,11,0,244,438
New Westminster--Coquitlam/New Westminster--Coquitlam,177,New Westminster,26,21,2,55,3,0,107,191
New Westminster--Coquitlam/New Westminster--Coquitlam,178,New Westminster,42,50,4,111,13,1,221,451
New Westminster--Coquitlam/New Westminster--Coquitlam,179,New Westminster,35,40,2,68,10,2,157,316
New Westminster--Coquitlam/New Westminster--Coquitlam,180,New Westminster,84,57,4,75,11,0,231,388
New Westminster--Coquitlam/New Westminster--Coquitlam,181,New Westminster,93,81,1,74,10,0,259,424
New Westminster--Coquitlam/New Westminster--Coquitlam,182,New Westminster,44,58,2,134,6,0,244,470
New Westminster--Coquitlam/New Westminster--Coquitlam,183,New Westminster,35,43,2,87,11,0,178,293
New Westminster--Coquitlam/New Westminster--Coquitlam,184,New Westminster,46,40,6,87,8,4,191,368
New Westminster--Coquitlam/New Westminster--Coquitlam,185,New Westminster,98,76,1,95,18,0,288,410
New Westminster--Coquitlam/New Westminster--Coquitlam,186,New Westminster,101,93,7,65,21,0,287,436
New Westminster--Coquitlam/New Westminster--Coquitlam,187,New Westminster,51,47,2,102,15,1,218,457
New Westminster--Coquitlam/New Westminster--Coquitlam,188,New Westminster,32,52,1,83,12,1,181,332
New Westminster--Coquitlam/New Westminster--Coquitlam,189,New Westminster,39,30,4,69,20,1,163,356
New Westminster--Coquitlam/New Westminster--Coquitlam,190A,New Westminster,40,55,3,86,11,0,195,344
New Westminster--Coquitlam/New Westminster--Coquitlam,190B,New Westminster,37,37,0,35,15,0,124,215
New Westminster--Coquitlam/New Westminster--Coquitlam,191,New Westminster,43,50,3,77,14,1,188,322
New Westminster--Coquitlam/New Westminster--Coquitlam,192,New Westminster,31,44,2,60,11,1,149,282
New Westminster--Coquitlam/New Westminster--Coquitlam,193,New Westminster,61,32,2,52,15,0,162,340
New Westminster--Coquitlam/New Westminster--Coquitlam,194,New Westminster,51,40,0,82,18,1,192,339
New Westminster--Coquitlam/New Westminster--Coquitlam,195,New Westminster,38,41,1,78,16,0,174,341
New Westminster--Coquitlam/New Westminster--Coquitlam,500,Mobile poll/Bureau itinérant,23,14,15,14,1,2,69,134
New Westminster--Coquitlam/New Westminster--Coquitlam,501,Mobile poll/Bureau itinérant,24,24,4,29,17,0,98,102
New Westminster--Coquitlam/New Westminster--Coquitlam,502,Mobile poll/Bureau itinérant,32,17,0,45,5,1,100,194
New Westminster--Coquitlam/New Westminster--Coquitlam,600,Port Moody,114,66,1,78,23,1,283,
New Westminster--Coquitlam/New Westminster--Coquitlam,601,Coquitlam,163,110,2,89,16,1,381,
New Westminster--Coquitlam/New Westminster--Coquitlam,602,Coquitlam,199,86,5,83,23,0,396,
New Westminster--Coquitlam/New Westminster--Coquitlam,603,Coquitlam,66,47,2,54,8,2,179,
New Westminster--Coquitlam/New Westminster--Coquitlam,604,Coquitlam,61,16,5,46,5,0,133,
New Westminster--Coquitlam/New Westminster--Coquitlam,605,Coquitlam,74,51,6,61,13,0,205,
New Westminster--Coquitlam/New Westminster--Coquitlam,606,New Westminster,151,68,9,126,17,2,373,
New Westminster--Coquitlam/New Westminster--Coquitlam,607,New Westminster,161,107,10,177,27,2,484,
New Westminster--Coquitlam/New Westminster--Coquitlam,608,New Westminster,76,52,3,83,15,0,229,
New Westminster--Coquitlam/New Westminster--Coquitlam,,Group 1/Groupe 1,37,27,2,31,11,0,108,176
New Westminster--Coquitlam/New Westminster--Coquitlam,,Group 2/Groupe 2,312,147,6,263,38,12,778,
