District,Poll Number,Poll Name,Christopher Bojanowski,Yonnel Bonaventure,Jean-Guy Carignan,Bernard Cleary,Michel Fragasso,Henri Gauvin,Dominique Théberge,Josée Verner,Rejected Ballots,Total Vote,Electors
Louis-Saint-Laurent/Louis-Saint-Laurent,164,L'Ancienne-Lorette,11,9,3,85,38,1,2,72,3,224,405
Louis-Saint-Laurent/Louis-Saint-Laurent,165,L'Ancienne-Lorette,4,7,2,68,43,0,0,61,0,185,340
Louis-Saint-Laurent/Louis-Saint-Laurent,166,L'Ancienne-Lorette,5,2,11,93,48,7,0,59,6,231,429
Louis-Saint-Laurent/Louis-Saint-Laurent,167,L'Ancienne-Lorette,6,2,10,75,38,2,0,54,5,192,395
Louis-Saint-Laurent/Louis-Saint-Laurent,168,L'Ancienne-Lorette,3,10,6,85,55,2,0,79,4,244,434
Louis-Saint-Laurent/Louis-Saint-Laurent,169,L'Ancienne-Lorette,5,7,6,106,52,2,0,109,5,292,495
Louis-Saint-Laurent/Louis-Saint-Laurent,170,L'Ancienne-Lorette,10,2,3,74,63,1,0,65,3,221,410
Louis-Saint-Laurent/Louis-Saint-Laurent,171,L'Ancienne-Lorette,7,13,8,128,55,3,1,100,6,321,538
Louis-Saint-Laurent/Louis-Saint-Laurent,172,L'Ancienne-Lorette,6,3,22,76,73,5,1,56,4,246,397
Louis-Saint-Laurent/Louis-Saint-Laurent,173,L'Ancienne-Lorette,9,11,4,107,64,1,0,73,4,273,481
Louis-Saint-Laurent/Louis-Saint-Laurent,174,L'Ancienne-Lorette,3,3,2,70,26,1,0,64,4,173,414
Louis-Saint-Laurent/Louis-Saint-Laurent,175,L'Ancienne-Lorette,3,2,1,26,21,1,0,20,1,75,205
Louis-Saint-Laurent/Louis-Saint-Laurent,176,L'Ancienne-Lorette,6,9,4,73,76,1,0,58,5,232,456
Louis-Saint-Laurent/Louis-Saint-Laurent,500A,Mobile poll/Bureau itinérant,1,2,3,5,18,2,2,12,2,47,101
Louis-Saint-Laurent/Louis-Saint-Laurent,500B,Mobile poll/Bureau itinérant,4,1,5,29,59,0,0,15,3,116,107
Louis-Saint-Laurent/Louis-Saint-Laurent,501A,Mobile poll/Bureau itinérant,4,0,3,13,23,0,0,15,1,59,88
Louis-Saint-Laurent/Louis-Saint-Laurent,501B,Mobile poll/Bureau itinérant,3,1,7,18,40,3,1,11,2,86,100
Louis-Saint-Laurent/Louis-Saint-Laurent,600,Québec,18,8,2,271,179,1,0,208,10,697,
Louis-Saint-Laurent/Louis-Saint-Laurent,601,Québec--Wendake,24,24,9,263,199,3,3,233,19,777,
Louis-Saint-Laurent/Louis-Saint-Laurent,602,Québec,26,16,10,331,219,2,3,246,10,863,
Louis-Saint-Laurent/Louis-Saint-Laurent,603,Québec,18,9,7,216,103,2,1,209,8,573,
Louis-Saint-Laurent/Louis-Saint-Laurent,604,Québec,24,19,27,394,314,10,1,357,17,1163,
Louis-Saint-Laurent/Louis-Saint-Laurent,605,Québec,18,11,7,258,181,3,0,156,8,642,
Louis-Saint-Laurent/Louis-Saint-Laurent,606,Québec,12,14,7,244,136,3,0,205,8,629,
Louis-Saint-Laurent/Louis-Saint-Laurent,607,Québec,9,5,8,114,68,1,1,104,5,315,
Louis-Saint-Laurent/Louis-Saint-Laurent,,Group 1/Groupe 1,7,16,7,143,148,3,1,194,24,543,1389
Louis-Saint-Laurent/Louis-Saint-Laurent,,Group 2/Groupe 2,25,15,7,362,166,4,1,153,7,740,
