District,Poll Number,Poll Name,Margaret Peggy Askin,John Chan,Michael Falconar,Mark MacGillivray,Cathy McClusky,Jim Prentice,Rejected Ballots,Total Vote,Electors
Calgary North Centre/Calgary-Centre-Nord,136,Calgary,1,20,3,13,27,96,0,160,349
Calgary North Centre/Calgary-Centre-Nord,137,Calgary,0,23,0,4,21,58,0,106,344
Calgary North Centre/Calgary-Centre-Nord,138,Calgary,0,22,3,22,16,82,0,145,370
Calgary North Centre/Calgary-Centre-Nord,139,Calgary,1,22,3,21,53,91,2,193,416
Calgary North Centre/Calgary-Centre-Nord,140,Calgary,2,49,0,24,49,99,1,224,393
Calgary North Centre/Calgary-Centre-Nord,141,Calgary,0,36,3,27,59,123,1,249,421
Calgary North Centre/Calgary-Centre-Nord,142,Calgary,2,32,0,22,45,92,0,193,323
Calgary North Centre/Calgary-Centre-Nord,143,Calgary,1,37,1,17,64,116,0,236,474
Calgary North Centre/Calgary-Centre-Nord,144,Calgary,2,19,1,27,36,115,2,202,383
Calgary North Centre/Calgary-Centre-Nord,145,Calgary,1,40,1,16,38,94,1,191,383
Calgary North Centre/Calgary-Centre-Nord,146,Calgary,3,23,2,20,42,131,1,222,382
Calgary North Centre/Calgary-Centre-Nord,147,Calgary,0,20,1,20,41,82,0,164,349
Calgary North Centre/Calgary-Centre-Nord,148,Calgary,1,30,1,27,52,98,0,209,309
Calgary North Centre/Calgary-Centre-Nord,149,Calgary,1,30,2,36,32,82,1,184,326
Calgary North Centre/Calgary-Centre-Nord,150,Calgary,1,21,0,34,40,84,1,181,294
Calgary North Centre/Calgary-Centre-Nord,151,Calgary,0,28,1,30,51,103,1,214,364
Calgary North Centre/Calgary-Centre-Nord,152,Calgary,1,27,1,22,42,73,0,166,288
Calgary North Centre/Calgary-Centre-Nord,153,Calgary,0,29,1,32,41,91,0,194,326
Calgary North Centre/Calgary-Centre-Nord,154,Calgary,0,14,0,36,32,74,1,157,297
Calgary North Centre/Calgary-Centre-Nord,155,Calgary,1,21,2,36,69,208,0,337,501
Calgary North Centre/Calgary-Centre-Nord,156,Calgary,1,22,2,25,54,147,1,252,385
Calgary North Centre/Calgary-Centre-Nord,157,Calgary,1,18,1,31,51,138,0,240,338
Calgary North Centre/Calgary-Centre-Nord,158,Calgary,0,27,3,34,39,129,0,232,360
Calgary North Centre/Calgary-Centre-Nord,159,Calgary,0,26,1,47,65,117,0,256,437
Calgary North Centre/Calgary-Centre-Nord,160,Calgary,0,30,2,29,67,114,0,242,415
Calgary North Centre/Calgary-Centre-Nord,161,Calgary,4,28,2,46,56,94,0,230,398
Calgary North Centre/Calgary-Centre-Nord,162,Calgary,0,19,2,38,43,84,0,186,332
Calgary North Centre/Calgary-Centre-Nord,163,Calgary,0,29,2,29,53,108,0,221,403
Calgary North Centre/Calgary-Centre-Nord,164,Calgary,0,47,0,52,59,118,0,276,458
Calgary North Centre/Calgary-Centre-Nord,165,Calgary,1,38,2,34,59,128,0,262,425
Calgary North Centre/Calgary-Centre-Nord,166,Calgary,0,28,2,27,54,78,0,189,422
Calgary North Centre/Calgary-Centre-Nord,167,Calgary,0,18,1,24,43,56,0,142,210
Calgary North Centre/Calgary-Centre-Nord,168,Calgary,0,36,1,44,71,100,0,252,435
Calgary North Centre/Calgary-Centre-Nord,169,Calgary,0,15,1,23,31,77,0,147,245
Calgary North Centre/Calgary-Centre-Nord,170,Calgary,0,21,0,35,44,79,0,179,328
Calgary North Centre/Calgary-Centre-Nord,171,Calgary,0,38,0,56,58,116,2,270,472
Calgary North Centre/Calgary-Centre-Nord,172,Calgary,1,23,1,28,45,90,1,189,291
Calgary North Centre/Calgary-Centre-Nord,173,Calgary,0,26,1,24,62,118,0,231,407
Calgary North Centre/Calgary-Centre-Nord,174,Calgary,1,23,1,40,64,118,1,248,406
Calgary North Centre/Calgary-Centre-Nord,175,Calgary,2,48,0,42,54,110,0,256,404
Calgary North Centre/Calgary-Centre-Nord,176,Calgary,2,44,1,34,65,104,0,250,475
Calgary North Centre/Calgary-Centre-Nord,177,Calgary,1,11,1,19,36,46,0,114,273
Calgary North Centre/Calgary-Centre-Nord,178,Calgary,0,31,1,34,40,76,0,182,338
Calgary North Centre/Calgary-Centre-Nord,179,Calgary,1,16,3,24,29,66,1,140,242
Calgary North Centre/Calgary-Centre-Nord,180,Calgary,1,42,1,43,64,84,0,235,358
Calgary North Centre/Calgary-Centre-Nord,181,Calgary,0,41,1,38,81,134,1,296,423
Calgary North Centre/Calgary-Centre-Nord,182,Calgary,0,35,0,34,55,112,0,236,344
Calgary North Centre/Calgary-Centre-Nord,183,Calgary,0,25,0,27,56,190,0,298,405
Calgary North Centre/Calgary-Centre-Nord,184,Calgary,1,85,1,47,69,87,0,290,446
Calgary North Centre/Calgary-Centre-Nord,185,Calgary,0,24,1,57,48,63,0,193,345
Calgary North Centre/Calgary-Centre-Nord,186,Calgary,1,45,2,36,64,112,1,261,441
Calgary North Centre/Calgary-Centre-Nord,187,Calgary,1,41,1,39,56,75,2,215,358
Calgary North Centre/Calgary-Centre-Nord,188,Calgary,0,32,1,40,71,83,1,228,441
Calgary North Centre/Calgary-Centre-Nord,189,Calgary,0,38,0,35,44,55,0,172,287
Calgary North Centre/Calgary-Centre-Nord,190,Calgary,1,26,0,35,55,49,2,168,320
Calgary North Centre/Calgary-Centre-Nord,191,Calgary,1,39,0,30,58,64,0,192,366
Calgary North Centre/Calgary-Centre-Nord,192,Calgary,0,34,0,29,39,43,1,146,264
Calgary North Centre/Calgary-Centre-Nord,193,Calgary,2,44,2,35,53,56,0,192,311
Calgary North Centre/Calgary-Centre-Nord,194,Calgary,0,29,2,23,56,64,1,175,345
Calgary North Centre/Calgary-Centre-Nord,195,Calgary,1,41,1,35,63,72,1,214,354
Calgary North Centre/Calgary-Centre-Nord,196,Calgary,0,32,0,32,43,100,0,207,379
Calgary North Centre/Calgary-Centre-Nord,197,Calgary,0,45,0,40,45,93,3,226,430
Calgary North Centre/Calgary-Centre-Nord,198,Calgary,0,21,2,23,47,79,1,173,364
Calgary North Centre/Calgary-Centre-Nord,199,Calgary,0,17,2,14,38,103,2,176,321
Calgary North Centre/Calgary-Centre-Nord,200,Calgary,1,22,3,23,31,89,1,170,293
Calgary North Centre/Calgary-Centre-Nord,201,Calgary,0,16,1,14,35,103,1,170,386
Calgary North Centre/Calgary-Centre-Nord,202,Calgary,5,29,1,24,56,95,1,211,409
Calgary North Centre/Calgary-Centre-Nord,203,Calgary,1,44,3,28,38,61,0,175,372
Calgary North Centre/Calgary-Centre-Nord,204,Calgary,1,30,1,39,49,106,0,226,388
Calgary North Centre/Calgary-Centre-Nord,205,Calgary,0,26,0,25,58,50,0,159,313
Calgary North Centre/Calgary-Centre-Nord,206,Calgary,2,32,1,26,58,123,0,242,485
Calgary North Centre/Calgary-Centre-Nord,207,Calgary,0,32,0,23,48,92,0,195,385
Calgary North Centre/Calgary-Centre-Nord,208,Calgary,0,45,0,33,56,105,0,239,460
Calgary North Centre/Calgary-Centre-Nord,209,Calgary,1,38,1,23,60,108,1,232,382
Calgary North Centre/Calgary-Centre-Nord,210,Calgary,0,29,1,24,57,108,2,221,399
Calgary North Centre/Calgary-Centre-Nord,211,Calgary,1,29,1,23,51,79,1,185,322
Calgary North Centre/Calgary-Centre-Nord,212,Calgary,0,26,1,23,44,92,0,186,370
Calgary North Centre/Calgary-Centre-Nord,213,Calgary,0,22,1,11,17,31,0,82,199
Calgary North Centre/Calgary-Centre-Nord,214,Calgary,0,20,1,23,38,47,1,130,286
Calgary North Centre/Calgary-Centre-Nord,215,Calgary,1,27,5,25,41,102,2,203,472
Calgary North Centre/Calgary-Centre-Nord,216,Calgary,0,30,2,20,46,181,0,279,424
Calgary North Centre/Calgary-Centre-Nord,217,Calgary,2,18,3,19,45,77,6,170,390
Calgary North Centre/Calgary-Centre-Nord,218,Calgary,0,13,0,5,24,100,1,143,252
Calgary North Centre/Calgary-Centre-Nord,219,Calgary,2,42,3,31,50,108,1,237,438
Calgary North Centre/Calgary-Centre-Nord,220,Calgary,2,41,4,41,55,104,1,248,407
Calgary North Centre/Calgary-Centre-Nord,221,Calgary,2,28,2,31,59,93,0,215,394
Calgary North Centre/Calgary-Centre-Nord,222,Calgary,0,29,1,28,19,127,0,204,325
Calgary North Centre/Calgary-Centre-Nord,223,Calgary,1,19,2,20,34,102,0,178,355
Calgary North Centre/Calgary-Centre-Nord,224,Calgary,1,15,1,24,30,90,1,162,280
Calgary North Centre/Calgary-Centre-Nord,225,Calgary,0,20,0,24,48,122,0,214,378
Calgary North Centre/Calgary-Centre-Nord,226,Calgary,0,43,4,37,70,130,0,284,529
Calgary North Centre/Calgary-Centre-Nord,227,Calgary,0,29,0,27,45,61,3,165,378
Calgary North Centre/Calgary-Centre-Nord,228,Calgary,1,32,1,26,47,85,1,193,350
Calgary North Centre/Calgary-Centre-Nord,229,Calgary,1,23,0,29,32,60,1,146,291
Calgary North Centre/Calgary-Centre-Nord,230,Calgary,1,44,1,37,47,103,1,234,509
Calgary North Centre/Calgary-Centre-Nord,231,Calgary,1,57,1,22,76,94,2,253,451
Calgary North Centre/Calgary-Centre-Nord,232,Calgary,1,35,2,33,58,92,0,221,410
Calgary North Centre/Calgary-Centre-Nord,233,Calgary,2,44,1,34,49,84,2,216,411
Calgary North Centre/Calgary-Centre-Nord,234,Calgary,3,35,1,13,27,130,0,209,375
Calgary North Centre/Calgary-Centre-Nord,235,Calgary,Merged with No. 238,,,,,,,,149
Calgary North Centre/Calgary-Centre-Nord,236,Calgary,1,23,4,28,41,113,0,210,488
Calgary North Centre/Calgary-Centre-Nord,237,Calgary,1,25,0,14,26,59,0,125,320
Calgary North Centre/Calgary-Centre-Nord,238,Calgary,2,18,1,16,45,120,1,203,168
Calgary North Centre/Calgary-Centre-Nord,400,Calgary,3,2,0,2,25,34,1,67,446
Calgary North Centre/Calgary-Centre-Nord,401,Calgary,Merged with No. 180,,,,,,,,18
Calgary North Centre/Calgary-Centre-Nord,500,Mobile poll/Bureau itinérant,1,16,1,8,29,161,5,221,284
Calgary North Centre/Calgary-Centre-Nord,501,Mobile poll/Bureau itinérant,1,11,0,3,40,116,5,176,240
Calgary North Centre/Calgary-Centre-Nord,502,Mobile poll/Bureau itinérant,1,10,2,0,19,71,0,103,212
Calgary North Centre/Calgary-Centre-Nord,503,Mobile poll/Bureau itinérant,Merged with No. 504,,,,,,,,212
Calgary North Centre/Calgary-Centre-Nord,504,Mobile poll/Bureau itinérant,7,11,4,6,53,151,9,241,326
Calgary North Centre/Calgary-Centre-Nord,600,Calgary,0,13,0,8,37,97,0,155,
Calgary North Centre/Calgary-Centre-Nord,601,Calgary,1,34,1,22,54,248,1,361,
Calgary North Centre/Calgary-Centre-Nord,602,Calgary,5,30,2,22,56,257,0,372,
Calgary North Centre/Calgary-Centre-Nord,603,Calgary,0,17,6,18,29,172,0,242,
Calgary North Centre/Calgary-Centre-Nord,604,Calgary,0,32,3,26,57,229,1,348,
Calgary North Centre/Calgary-Centre-Nord,605,Calgary,0,23,1,38,67,252,2,383,
Calgary North Centre/Calgary-Centre-Nord,606,Calgary,1,18,0,24,43,143,0,229,
Calgary North Centre/Calgary-Centre-Nord,607,Calgary,2,47,4,28,74,246,0,401,
Calgary North Centre/Calgary-Centre-Nord,608,Calgary,3,49,4,62,108,255,0,481,
Calgary North Centre/Calgary-Centre-Nord,609,Calgary,3,72,4,101,107,190,4,481,
Calgary North Centre/Calgary-Centre-Nord,610,Calgary,3,61,0,40,84,157,1,346,
Calgary North Centre/Calgary-Centre-Nord,611,Calgary,1,40,4,48,70,203,1,367,
Calgary North Centre/Calgary-Centre-Nord,,Group 1/Groupe 1,1,28,0,13,47,62,3,154,250
Calgary North Centre/Calgary-Centre-Nord,,Group 2/Groupe 2,0,88,2,56,136,329,16,627,
