District,Poll Number,Poll Name,Michel Bédard,Richard Bélisle,David Fiset,Nicole Fournier-Sylvester,Robert Gladu,Caroline St-Hilaire,Rejected Ballots,Total Vote,Electors
Longueuil/Longueuil,62,Longueuil,3,11,2,26,57,150,5,254,422
Longueuil/Longueuil,63,Longueuil,1,5,1,7,41,134,4,193,403
Longueuil/Longueuil,64A,Longueuil,8,32,0,8,94,137,1,280,430
Longueuil/Longueuil,64B,Longueuil,3,28,0,11,101,119,7,269,423
Longueuil/Longueuil,65,Longueuil,5,8,1,4,37,90,2,147,297
Longueuil/Longueuil,66,Longueuil,7,10,4,7,39,140,3,210,428
Longueuil/Longueuil,67,Longueuil,10,9,1,20,43,201,3,287,457
Longueuil/Longueuil,68,Longueuil,1,11,4,14,36,153,5,224,443
Longueuil/Longueuil,69,Longueuil,10,11,2,5,42,183,6,259,487
Longueuil/Longueuil,70,Longueuil,2,6,1,6,32,83,2,132,232
Longueuil/Longueuil,71,Longueuil,7,13,1,11,81,185,4,302,464
Longueuil/Longueuil,72,Longueuil,5,15,1,11,73,167,3,275,515
Longueuil/Longueuil,73,Longueuil,7,11,2,13,61,153,4,251,391
Longueuil/Longueuil,74,Longueuil,4,4,0,9,80,74,1,172,292
Longueuil/Longueuil,75,Longueuil,8,10,0,11,56,142,1,228,437
Longueuil/Longueuil,76,Longueuil,13,17,0,27,106,187,4,354,526
Longueuil/Longueuil,77,Longueuil,10,4,1,8,70,145,1,239,385
Longueuil/Longueuil,78,Longueuil,11,9,3,7,74,118,2,224,363
Longueuil/Longueuil,79,Longueuil,4,9,1,7,23,103,2,149,236
Longueuil/Longueuil,80,Longueuil,6,11,0,13,70,177,3,280,479
Longueuil/Longueuil,81,Longueuil,5,10,1,5,54,153,0,228,381
Longueuil/Longueuil,82,Longueuil,9,23,1,10,35,167,0,245,363
Longueuil/Longueuil,83,Longueuil,10,19,2,7,60,182,9,289,440
Longueuil/Longueuil,84,Longueuil,9,14,1,37,86,200,1,348,487
Longueuil/Longueuil,85,Longueuil,9,13,0,9,64,211,4,310,463
Longueuil/Longueuil,86,Longueuil,13,11,5,27,91,172,4,323,484
Longueuil/Longueuil,87,Longueuil,2,15,2,12,45,169,3,248,358
Longueuil/Longueuil,88,Longueuil,4,17,5,13,67,165,9,280,422
Longueuil/Longueuil,89,Longueuil,6,8,4,11,37,149,9,224,467
Longueuil/Longueuil,90,Longueuil,7,13,4,13,63,143,7,250,477
Longueuil/Longueuil,91,Longueuil,3,10,2,5,48,148,4,220,370
Longueuil/Longueuil,92,Longueuil,15,11,4,18,72,139,5,264,429
Longueuil/Longueuil,93,Longueuil,7,6,4,8,34,165,2,226,549
Longueuil/Longueuil,94,Longueuil,4,15,1,5,58,94,6,183,328
Longueuil/Longueuil,95,Longueuil,7,5,5,6,81,96,4,204,334
Longueuil/Longueuil,96,Longueuil,1,5,3,4,21,120,2,156,433
Longueuil/Longueuil,97,Longueuil,4,6,4,8,32,96,6,156,400
Longueuil/Longueuil,98,Longueuil,6,9,3,7,45,150,2,222,424
Longueuil/Longueuil,99,Longueuil,3,6,1,9,22,82,2,125,362
Longueuil/Longueuil,100,Longueuil,3,5,3,11,32,120,8,182,332
Longueuil/Longueuil,101,Longueuil,10,4,1,4,54,113,4,190,358
Longueuil/Longueuil,102,Longueuil,3,6,2,5,38,94,3,151,369
Longueuil/Longueuil,103,Longueuil,2,10,2,3,32,72,0,121,339
Longueuil/Longueuil,104,Longueuil,8,8,1,14,41,157,3,232,477
Longueuil/Longueuil,105,Longueuil,3,1,0,10,22,118,5,159,316
Longueuil/Longueuil,106,Longueuil,9,18,2,13,39,143,4,228,396
Longueuil/Longueuil,107,Longueuil,6,4,3,9,55,102,4,183,384
Longueuil/Longueuil,108,Longueuil,9,19,3,17,37,147,3,235,461
Longueuil/Longueuil,109,Longueuil,8,7,3,15,61,116,5,215,353
Longueuil/Longueuil,110,Longueuil,11,3,0,21,69,160,1,265,465
Longueuil/Longueuil,111,Longueuil,8,11,1,9,81,116,5,231,398
Longueuil/Longueuil,112,Longueuil,3,1,0,2,60,33,0,99,369
Longueuil/Longueuil,113,Longueuil,6,6,1,14,59,98,3,187,267
Longueuil/Longueuil,114,Longueuil,9,10,0,12,35,102,7,175,378
Longueuil/Longueuil,115,Longueuil,6,4,1,9,47,98,4,169,498
Longueuil/Longueuil,116,Longueuil,5,10,2,5,31,138,10,201,508
Longueuil/Longueuil,117,Longueuil,2,11,1,8,19,78,1,120,337
Longueuil/Longueuil,118,Longueuil,1,6,2,10,31,116,3,169,437
Longueuil/Longueuil,119,Longueuil,3,1,2,7,43,145,8,209,466
Longueuil/Longueuil,120,Longueuil,1,4,2,5,39,92,7,150,460
Longueuil/Longueuil,121,Longueuil,5,29,0,8,83,134,0,259,405
Longueuil/Longueuil,122,Longueuil,6,12,1,5,42,128,5,199,349
Longueuil/Longueuil,123,Longueuil,2,10,2,5,86,88,6,199,402
Longueuil/Longueuil,124,Longueuil,1,12,4,6,30,107,2,162,324
Longueuil/Longueuil,125,Longueuil,5,14,3,8,39,88,1,158,346
Longueuil/Longueuil,126,Longueuil,4,3,1,6,28,124,4,170,369
Longueuil/Longueuil,127,Longueuil,1,3,1,7,55,138,2,207,394
Longueuil/Longueuil,128,Longueuil,3,10,3,11,37,131,5,200,440
Longueuil/Longueuil,129,Longueuil,2,15,1,7,39,122,5,191,374
Longueuil/Longueuil,130,Longueuil,5,2,0,11,32,117,0,167,333
Longueuil/Longueuil,131,Longueuil,3,10,4,11,35,104,6,173,449
Longueuil/Longueuil,132,Longueuil,8,6,2,14,42,133,5,210,488
Longueuil/Longueuil,133,Longueuil,1,7,3,9,28,103,4,155,501
Longueuil/Longueuil,134,Longueuil,6,12,2,10,32,121,8,191,400
Longueuil/Longueuil,135,Longueuil,2,7,2,10,53,124,3,201,365
Longueuil/Longueuil,136,Longueuil,13,21,2,17,60,181,1,295,472
Longueuil/Longueuil,137A,Longueuil,3,3,1,7,43,115,5,177,311
Longueuil/Longueuil,137B,Longueuil,3,9,1,8,36,106,0,163,311
Longueuil/Longueuil,138,Longueuil,3,7,3,14,56,229,3,315,433
Longueuil/Longueuil,139,Longueuil,5,5,1,15,42,130,10,208,325
Longueuil/Longueuil,140,Longueuil,2,6,2,14,43,112,2,181,391
Longueuil/Longueuil,141,Longueuil,4,10,0,10,50,127,3,204,338
Longueuil/Longueuil,142,Longueuil,3,12,2,7,58,139,0,221,352
Longueuil/Longueuil,143,Longueuil,1,5,3,1,17,94,1,122,422
Longueuil/Longueuil,144A,Longueuil,2,5,2,4,24,55,0,92,277
Longueuil/Longueuil,144B,Longueuil,1,5,0,0,20,56,8,90,328
Longueuil/Longueuil,145,Longueuil,6,4,3,5,27,98,4,147,519
Longueuil/Longueuil,146,Longueuil,6,11,6,6,47,187,2,265,373
Longueuil/Longueuil,147,Longueuil,2,3,3,9,60,182,4,263,440
Longueuil/Longueuil,148,Longueuil,11,13,3,15,36,140,1,219,344
Longueuil/Longueuil,149,Longueuil,3,19,2,15,44,192,4,279,483
Longueuil/Longueuil,150,Longueuil,12,13,2,19,69,217,3,335,499
Longueuil/Longueuil,151,Longueuil,6,7,0,8,36,87,5,149,222
Longueuil/Longueuil,152,Longueuil,5,6,2,15,61,155,6,250,389
Longueuil/Longueuil,153,Longueuil,5,13,3,15,65,156,3,260,472
Longueuil/Longueuil,154,Longueuil,0,2,1,6,24,62,1,96,407
Longueuil/Longueuil,155,Longueuil,1,1,1,3,13,63,1,83,279
Longueuil/Longueuil,156,Longueuil,4,2,1,10,38,86,1,142,399
Longueuil/Longueuil,157,Longueuil,2,3,0,4,29,41,1,80,244
Longueuil/Longueuil,158,Longueuil,4,13,4,7,41,149,7,225,517
Longueuil/Longueuil,159,Longueuil,5,13,2,8,59,157,6,250,426
Longueuil/Longueuil,160,Longueuil,5,3,0,8,47,87,2,152,286
Longueuil/Longueuil,161,Longueuil,5,10,1,10,31,80,3,140,247
Longueuil/Longueuil,162,Longueuil,Void,,,,,,,,
Longueuil/Longueuil,163,Longueuil,7,4,5,11,60,129,1,217,410
Longueuil/Longueuil,164,Longueuil,3,9,0,10,61,145,3,231,420
Longueuil/Longueuil,165,Longueuil,11,8,1,11,31,94,4,160,400
Longueuil/Longueuil,166,Longueuil,5,5,2,10,32,139,5,198,302
Longueuil/Longueuil,167,Longueuil,12,8,3,24,40,186,3,276,413
Longueuil/Longueuil,168,Longueuil,11,7,0,32,40,170,7,267,429
Longueuil/Longueuil,169,Longueuil,14,7,4,19,45,158,3,250,407
Longueuil/Longueuil,170,Longueuil,8,2,3,10,57,99,2,181,333
Longueuil/Longueuil,171,Longueuil,4,3,0,6,41,63,2,119,350
Longueuil/Longueuil,172,Longueuil,1,5,0,4,81,44,5,140,365
Longueuil/Longueuil,173,Longueuil,9,5,1,14,67,142,3,241,392
Longueuil/Longueuil,174,Longueuil,4,6,1,21,127,118,2,279,521
Longueuil/Longueuil,175,Longueuil,5,5,1,19,42,138,4,214,371
Longueuil/Longueuil,176,Longueuil,9,8,2,11,50,127,2,209,353
Longueuil/Longueuil,177,Longueuil,10,5,1,13,26,136,2,193,385
Longueuil/Longueuil,178,Longueuil,3,5,2,14,38,100,2,164,275
Longueuil/Longueuil,179,Longueuil,5,8,1,19,41,122,5,201,372
Longueuil/Longueuil,180,Longueuil,5,11,1,11,32,152,6,218,445
Longueuil/Longueuil,181,Longueuil,5,6,3,4,28,128,4,178,353
Longueuil/Longueuil,182,Longueuil,2,12,3,10,38,122,2,189,373
Longueuil/Longueuil,183,Longueuil,7,7,1,14,50,123,5,207,387
Longueuil/Longueuil,184,Longueuil,7,10,4,13,28,115,6,183,366
Longueuil/Longueuil,185,Longueuil,4,14,1,18,27,149,6,219,400
Longueuil/Longueuil,186,Longueuil,11,4,0,19,32,145,4,215,303
Longueuil/Longueuil,187,Longueuil,4,1,1,21,44,131,4,206,354
Longueuil/Longueuil,188,Longueuil,11,4,0,32,46,112,3,208,323
Longueuil/Longueuil,189,Longueuil,6,8,2,10,27,135,0,188,332
Longueuil/Longueuil,190,Longueuil,4,13,0,16,51,110,5,199,356
Longueuil/Longueuil,191,Longueuil,3,14,2,11,27,83,8,148,288
Longueuil/Longueuil,192,Longueuil,10,11,1,8,46,113,3,192,373
Longueuil/Longueuil,193,Longueuil,3,6,5,6,28,107,1,156,336
Longueuil/Longueuil,500,Mobile poll/Bureau itinérant,2,2,0,2,7,15,1,29,82
Longueuil/Longueuil,600,Longueuil,13,26,3,26,166,257,8,499,
Longueuil/Longueuil,601,Longueuil,8,55,8,28,224,343,9,675,
Longueuil/Longueuil,602,Longueuil,16,47,4,20,208,380,9,684,
Longueuil/Longueuil,603,Longueuil,20,52,2,31,248,459,8,820,
Longueuil/Longueuil,604,Longueuil,8,29,5,21,168,272,9,512,
Longueuil/Longueuil,605,Longueuil,6,27,4,9,74,222,10,352,
Longueuil/Longueuil,606,Longueuil,10,40,2,13,122,345,14,546,
Longueuil/Longueuil,607,Longueuil,7,31,2,19,256,286,4,605,
Longueuil/Longueuil,608,Longueuil,13,18,2,18,82,255,6,394,
Longueuil/Longueuil,,Group 1/Groupe 1,2,13,7,4,35,53,6,120,214
Longueuil/Longueuil,,Group 2/Groupe 2,11,58,6,37,424,772,22,1330,
