District,Poll Number,Poll Name,Robert Cree,Doug Faulkner,Ian Hopfe,Brian Jean,Rejected Ballots,Total Vote,Electors
Athabasca/Athabasca,112,Slave Lake,16,9,2,38,0,65,355
Athabasca/Athabasca,113,Slave Lake,21,20,19,151,2,213,263
Athabasca/Athabasca,114,Slave Lake,20,20,12,92,1,145,414
Athabasca/Athabasca,115,Slave Lake,17,24,2,110,0,153,324
Athabasca/Athabasca,116,Slave Lake,Merged with No. 113,,,,,,247
Athabasca/Athabasca,117,Slave Lake,15,28,7,105,0,155,373
Athabasca/Athabasca,118,Slave Lake,Merged with No. 120,,,,,,231
Athabasca/Athabasca,119,Slave Lake,12,24,4,140,0,180,453
Athabasca/Athabasca,120,Slave Lake,21,71,14,138,0,244,273
Athabasca/Athabasca,121,Slave Lake,12,26,10,80,1,129,437
Athabasca/Athabasca,122,Slave Lake,11,44,8,176,0,239,536
Athabasca/Athabasca,123,Slave Lake,13,20,10,114,0,157,417
Athabasca/Athabasca,124,Slave Lake,6,21,8,96,0,131,276
Athabasca/Athabasca,125,Moose Portage,3,4,6,51,0,64,104
Athabasca/Athabasca,126,Smith,19,23,10,202,0,254,450
Athabasca/Athabasca,127,Flatbush,19,18,14,178,0,229,353
Athabasca/Athabasca,128,Grosmont,36,30,14,207,1,288,446
Athabasca/Athabasca,129,Athabasca,20,38,23,231,0,312,527
Athabasca/Athabasca,130,Athabasca,46,29,18,171,0,264,471
Athabasca/Athabasca,131,Amber Valley,19,16,3,146,0,184,307
Athabasca/Athabasca,132,Grassland,26,40,11,219,1,297,523
Athabasca/Athabasca,133,Athabasca,22,20,6,157,1,206,383
Athabasca/Athabasca,134,Athabasca,19,26,18,96,1,160,302
Athabasca/Athabasca,135,Athabasca,26,25,16,146,0,213,574
Athabasca/Athabasca,136,Athabasca,20,23,15,109,0,167,366
Athabasca/Athabasca,137,Athabasca,35,49,16,160,1,261,496
Athabasca/Athabasca,138,Athabasca,44,40,23,223,1,331,638
Athabasca/Athabasca,139,Athabasca,14,15,6,122,0,157,299
Athabasca/Athabasca,140,Colinton,21,29,12,164,0,226,407
Athabasca/Athabasca,141,Colinton,15,18,18,137,0,188,298
Athabasca/Athabasca,142,Boyle,22,28,18,232,0,300,637
Athabasca/Athabasca,143A,Boyle,14,29,8,137,0,188,378
Athabasca/Athabasca,143B,Boyle,20,34,4,122,2,182,354
Athabasca/Athabasca,144,Boyle,17,27,5,147,0,196,296
Athabasca/Athabasca,145,Perryvale,16,16,6,94,0,132,214
Athabasca/Athabasca,146,Ellscott,8,3,1,50,0,62,86
Athabasca/Athabasca,147,Rochester,29,22,16,200,0,267,496
Athabasca/Athabasca,148,Breynat,11,22,6,131,1,171,290
Athabasca/Athabasca,149,Plamondon,11,46,5,151,0,213,352
Athabasca/Athabasca,150,Owl River,5,24,6,80,2,117,267
Athabasca/Athabasca,151,Plamondon,Void,,,,,,
Athabasca/Athabasca,152,Plamondon,Void,,,,,,
Athabasca/Athabasca,153,Plamondon,Void,,,,,,
Athabasca/Athabasca,154,Plamondon,13,43,4,131,1,192,444
Athabasca/Athabasca,155,Lac La Biche Mission,17,38,6,104,0,165,365
Athabasca/Athabasca,156,Lac La Biche Mission,9,37,15,91,0,152,270
Athabasca/Athabasca,157,Lac La Biche,32,52,11,84,0,179,526
Athabasca/Athabasca,158,Lac La Biche,19,67,6,85,1,178,506
Athabasca/Athabasca,159,Lac La Biche,11,39,14,87,0,151,248
Athabasca/Athabasca,160,Lac La Biche,16,44,4,41,0,105,227
Athabasca/Athabasca,161,Lac La Biche,15,35,11,83,0,144,284
Athabasca/Athabasca,162,Lac La Biche,6,17,2,53,0,78,145
Athabasca/Athabasca,163,Barnegat,16,27,6,102,0,151,252
Athabasca/Athabasca,164,Lac La Biche,24,67,15,199,1,306,564
Athabasca/Athabasca,165,Hylo ,12,35,5,130,0,182,329
Athabasca/Athabasca,166,Beaver Lake 131,10,20,6,57,1,94,252
Athabasca/Athabasca,400,Fort McMurray,Merged with No. 57,,,,,,17
Athabasca/Athabasca,500,Mobile poll/Bureau itinérant,7,25,2,18,1,53,113
Athabasca/Athabasca,501,Mobile poll/Bureau itinérant,10,16,2,26,0,54,73
Athabasca/Athabasca,502,Mobile poll/Bureau itinérant,8,18,4,19,0,49,64
Athabasca/Athabasca,503,Mobile poll/Bureau itinérant,5,8,3,35,2,53,70
Athabasca/Athabasca,504,Mobile poll/Bureau itinérant,10,17,4,34,3,68,107
Athabasca/Athabasca,600,Wabasca-Desmarais,1,4,0,8,0,13,
Athabasca/Athabasca,601,Fort Chipewyan,4,13,4,30,0,51,
Athabasca/Athabasca,602,Fort McMurray,33,114,17,282,0,446,
Athabasca/Athabasca,603,Fort McMurray,48,126,20,258,0,452,
Athabasca/Athabasca,604,Fort McMurray,27,76,13,129,0,245,
Athabasca/Athabasca,605,Fort McMurray,20,50,16,127,0,213,
Athabasca/Athabasca,606,Big Lakes,14,39,8,148,0,209,
Athabasca/Athabasca,607,Lesser Slave River 124,21,34,9,227,1,292,
Athabasca/Athabasca,608,Athabasca County No. 12,39,54,21,351,1,466,
Athabasca/Athabasca,609,Lakeland County,39,55,7,179,4,284,
Athabasca/Athabasca,,Group 1/Groupe 1,13,27,11,27,1,79,107
Athabasca/Athabasca,,Group 2/Groupe 2,49,91,14,281,13,448,
