District,Poll Number,Poll Name,Jean-François Breton,Howard M. Bruce,Guy Côté,Claude Duplain,Pierre Poulin,Rejected Ballots,Total Vote,Electors
Portneuf/Portneuf,41,Saint-Raymond,5,40,68,108,6,2,229,377
Portneuf/Portneuf,42,Saint-Raymond,2,34,47,85,7,4,179,289
Portneuf/Portneuf,43,Saint-Raymond,4,38,56,95,3,1,197,345
Portneuf/Portneuf,44,Saint-Raymond,8,58,97,84,13,3,263,422
Portneuf/Portneuf,45,Saint-Raymond,8,47,89,132,7,14,297,494
Portneuf/Portneuf,46,Saint-Raymond,4,37,46,42,2,9,140,207
Portneuf/Portneuf,47,Saint-Raymond,2,36,89,68,6,7,208,341
Portneuf/Portneuf,48A,Saint-Raymond,4,35,63,50,3,8,163,277
Portneuf/Portneuf,48B,Saint-Raymond,5,54,58,52,4,10,183,321
Portneuf/Portneuf,49,Saint-Raymond,14,79,104,86,8,16,307,532
Portneuf/Portneuf,50,Saint-Léonard-de-Portneuf,8,43,89,79,9,4,232,381
Portneuf/Portneuf,51,Saint-Léonard-de-Portneuf,6,47,126,51,17,10,257,435
Portneuf/Portneuf,52,Rivière-à-Pierre,1,16,54,63,1,8,143,247
Portneuf/Portneuf,53,Sainte-Christine,6,34,75,45,8,6,174,297
Portneuf/Portneuf,54A,Shannon,1,35,30,54,11,5,136,312
Portneuf/Portneuf,54B,Shannon,3,38,34,45,5,6,131,297
Portneuf/Portneuf,55,Shannon,0,29,28,11,4,2,74,326
Portneuf/Portneuf,56,Shannon,4,41,34,18,3,5,105,467
Portneuf/Portneuf,57A,Shannon,13,45,50,76,19,5,208,507
Portneuf/Portneuf,57B,Shannon,4,60,67,79,9,4,223,505
Portneuf/Portneuf,58,Shannon,Merged with No. 59,,,,,,,63
Portneuf/Portneuf,59,Shannon,9,54,57,75,11,5,211,393
Portneuf/Portneuf,60A,Lac-Saint-Joseph,5,43,71,61,8,5,193,309
Portneuf/Portneuf,60B,Lac-Saint-Joseph,3,39,77,62,9,6,196,328
Portneuf/Portneuf,61,Fossambault-sur-le-Lac,7,36,89,61,10,5,208,411
Portneuf/Portneuf,62,Lac-Saint-Joseph,3,34,36,49,1,1,124,192
Portneuf/Portneuf,63,Sainte-Catherine-de-la-Jacques-Cartier,3,48,44,32,10,5,142,275
Portneuf/Portneuf,64A,Sainte-Catherine-de-la-Jacques-Cartier,1,37,51,29,2,6,126,288
Portneuf/Portneuf,64B,Sainte-Catherine-de-la-Jacques-Cartier,1,34,52,32,8,3,130,319
Portneuf/Portneuf,65,Sainte-Catherine-de-la-Jacques-Cartier,10,45,81,57,11,3,207,428
Portneuf/Portneuf,66,Sainte-Catherine-de-la-Jacques-Cartier,12,67,96,80,17,3,275,527
Portneuf/Portneuf,67,Sainte-Catherine-de-la-Jacques-Cartier,12,65,95,69,18,11,270,514
Portneuf/Portneuf,68,Sainte-Catherine-de-la-Jacques-Cartier,Merged with No. 70,,,,,,,168
Portneuf/Portneuf,69A,Sainte-Catherine-de-la-Jacques-Cartier,9,54,101,31,11,6,212,484
Portneuf/Portneuf,69B,Sainte-Catherine-de-la-Jacques-Cartier,2,63,92,45,8,2,212,461
Portneuf/Portneuf,70,Sainte-Catherine-de-la-Jacques-Cartier,7,48,68,47,6,8,184,190
Portneuf/Portneuf,71,Saint-Augustin-de-Desmaures,6,50,84,36,12,7,195,419
Portneuf/Portneuf,72,Saint-Augustin-de-Desmaures,9,66,90,47,12,2,226,427
Portneuf/Portneuf,73,Saint-Augustin-de-Desmaures,10,33,59,37,11,3,153,280
Portneuf/Portneuf,74,Saint-Augustin-de-Desmaures,14,86,111,56,18,14,299,516
Portneuf/Portneuf,75,Saint-Augustin-de-Desmaures,10,59,140,55,18,9,291,429
Portneuf/Portneuf,76,Saint-Augustin-de-Desmaures,8,47,151,47,13,8,274,429
Portneuf/Portneuf,77,Saint-Augustin-de-Desmaures,15,36,113,39,8,5,216,382
Portneuf/Portneuf,78,Saint-Augustin-de-Desmaures,17,53,111,55,20,7,263,424
Portneuf/Portneuf,79,Saint-Augustin-de-Desmaures,16,76,95,56,8,6,257,437
Portneuf/Portneuf,80,Saint-Augustin-de-Desmaures,8,48,88,48,11,3,206,359
Portneuf/Portneuf,81,Saint-Augustin-de-Desmaures,16,51,121,59,20,9,276,465
Portneuf/Portneuf,82,Saint-Augustin-de-Desmaures,11,43,120,43,8,4,229,378
Portneuf/Portneuf,83A,Saint-Augustin-de-Desmaures,10,60,92,50,14,2,228,359
Portneuf/Portneuf,83B,Saint-Augustin-de-Desmaures,9,54,75,44,10,3,195,343
Portneuf/Portneuf,84,Saint-Augustin-de-Desmaures,10,39,103,74,11,12,249,465
Portneuf/Portneuf,85,Saint-Augustin-de-Desmaures,16,52,91,72,9,16,256,478
Portneuf/Portneuf,86,Saint-Augustin-de-Desmaures,10,45,92,47,9,8,211,424
Portneuf/Portneuf,87A,Saint-Augustin-de-Desmaures,6,41,68,66,10,7,198,318
Portneuf/Portneuf,87B,Saint-Augustin-de-Desmaures,11,33,63,56,8,4,175,273
Portneuf/Portneuf,88,Saint-Augustin-de-Desmaures,8,32,77,34,5,2,158,332
Portneuf/Portneuf,89,Saint-Augustin-de-Desmaures,7,29,58,43,6,2,145,248
Portneuf/Portneuf,90,Saint-Augustin-de-Desmaures,13,52,113,74,7,5,264,447
Portneuf/Portneuf,91A,Saint-Augustin-de-Desmaures,15,25,95,45,7,4,191,305
Portneuf/Portneuf,91B,Saint-Augustin-de-Desmaures,10,33,73,56,10,2,184,280
Portneuf/Portneuf,92,Saint-Augustin-de-Desmaures,2,29,120,60,8,5,224,364
Portneuf/Portneuf,93,Saint-Augustin-de-Desmaures,9,40,120,56,6,0,231,347
Portneuf/Portneuf,94,Saint-Augustin-de-Desmaures,8,54,93,70,0,5,230,390
Portneuf/Portneuf,95,Saint-Augustin-de-Desmaures,9,26,108,75,10,6,234,426
Portneuf/Portneuf,96,Saint-Augustin-de-Desmaures,11,27,117,67,13,2,237,388
Portneuf/Portneuf,97,Saint-Augustin-de-Desmaures,9,47,80,98,13,5,252,381
Portneuf/Portneuf,98A,Saint-Augustin-de-Desmaures,5,38,75,58,9,0,185,311
Portneuf/Portneuf,98B,Saint-Augustin-de-Desmaures,6,26,57,68,3,0,160,285
Portneuf/Portneuf,99,Pont-Rouge,13,33,97,33,7,7,190,491
Portneuf/Portneuf,100,Pont-Rouge,4,68,97,40,8,3,220,368
Portneuf/Portneuf,101,Pont-Rouge,7,35,123,31,11,7,214,500
Portneuf/Portneuf,102,Neuville,10,49,78,30,8,6,181,339
Portneuf/Portneuf,103,Neuville,7,64,155,49,14,5,294,479
Portneuf/Portneuf,104,Neuville,8,58,145,59,13,14,297,434
Portneuf/Portneuf,105,Neuville,14,50,128,91,16,3,302,492
Portneuf/Portneuf,106,Neuville,10,33,115,61,17,4,240,352
Portneuf/Portneuf,107,Neuville,11,51,110,57,11,13,253,408
Portneuf/Portneuf,108,Neuville,15,54,71,51,10,9,210,369
Portneuf/Portneuf,109,Pont-Rouge,9,49,107,84,7,8,264,455
Portneuf/Portneuf,110,Pont-Rouge,1,31,72,87,8,9,208,373
Portneuf/Portneuf,111,Pont-Rouge,5,57,96,53,12,9,232,391
Portneuf/Portneuf,112,Pont-Rouge,3,68,94,40,13,13,231,432
Portneuf/Portneuf,113,Pont-Rouge,7,45,99,49,9,9,218,346
Portneuf/Portneuf,114,Pont-Rouge,11,76,163,56,11,9,326,511
Portneuf/Portneuf,115,Pont-Rouge,10,50,117,59,7,4,247,412
Portneuf/Portneuf,116,Pont-Rouge,11,77,120,37,13,16,274,480
Portneuf/Portneuf,117,Pont-Rouge,5,49,107,54,7,12,234,467
Portneuf/Portneuf,118,Pont-Rouge,5,53,126,58,8,4,254,438
Portneuf/Portneuf,119,Saint-Basile,9,63,126,64,8,6,276,503
Portneuf/Portneuf,120,Saint-Basile,6,62,111,51,12,9,251,418
Portneuf/Portneuf,121,Saint-Basile,4,71,83,92,11,4,265,403
Portneuf/Portneuf,122,Saint-Basile,10,56,114,88,12,8,288,428
Portneuf/Portneuf,123,Saint-Basile,7,48,73,48,4,11,191,307
Portneuf/Portneuf,124,Cap-Santé,10,38,126,60,13,5,252,444
Portneuf/Portneuf,125,Donnacona,4,47,130,53,17,4,255,502
Portneuf/Portneuf,126A,Donnacona,4,32,76,46,4,4,166,276
Portneuf/Portneuf,126B,Donnacona,3,40,89,34,2,11,179,293
Portneuf/Portneuf,127,Donnacona,3,56,138,73,11,13,294,542
Portneuf/Portneuf,128,Donnacona,10,62,139,62,6,9,288,471
Portneuf/Portneuf,129,Donnacona,9,29,71,62,2,3,176,319
Portneuf/Portneuf,130,Donnacona,5,35,81,50,4,6,181,326
Portneuf/Portneuf,131,Donnacona,6,26,82,32,4,0,150,347
Portneuf/Portneuf,132,Donnacona,0,25,61,46,6,3,141,289
Portneuf/Portneuf,133,Donnacona,1,38,83,57,5,3,187,307
Portneuf/Portneuf,134,Cap-Santé,8,49,123,31,12,6,229,396
Portneuf/Portneuf,135,Donnacona,6,27,63,34,6,13,149,311
Portneuf/Portneuf,136,Donnacona,6,27,80,62,2,10,187,368
Portneuf/Portneuf,137,Cap-Santé,5,38,113,54,15,1,226,393
Portneuf/Portneuf,138,Cap-Santé,4,56,119,66,7,10,262,462
Portneuf/Portneuf,139,Cap-Santé,8,43,136,50,6,4,247,410
Portneuf/Portneuf,140,Portneuf,11,49,105,64,12,4,245,452
Portneuf/Portneuf,141,Portneuf,13,55,118,48,7,2,243,386
Portneuf/Portneuf,142,Portneuf,9,66,107,60,7,11,260,488
Portneuf/Portneuf,143,Portneuf,8,29,58,46,9,5,155,270
Portneuf/Portneuf,144,Portneuf,4,39,112,55,12,7,229,379
Portneuf/Portneuf,145,Portneuf,1,18,50,18,0,3,90,154
Portneuf/Portneuf,146,Portneuf,10,65,107,59,8,12,261,426
Portneuf/Portneuf,147,Saint-Alban,12,69,110,70,16,11,288,496
Portneuf/Portneuf,148,Saint-Alban,6,52,88,54,17,10,227,417
Portneuf/Portneuf,149,Saint-Gilbert,7,32,52,39,5,2,137,229
Portneuf/Portneuf,150,Deschambault-Grondines,7,58,135,64,13,8,285,480
Portneuf/Portneuf,151,Deschambault-Grondines,8,36,90,57,11,3,205,334
Portneuf/Portneuf,152,Deschambault-Grondines,5,36,59,35,12,5,152,226
Portneuf/Portneuf,153,Saint-Marc-des-Carrières,7,33,88,42,2,7,179,353
Portneuf/Portneuf,154,Saint-Marc-des-Carrières,3,52,104,45,7,4,215,395
Portneuf/Portneuf,155,Saint-Marc-des-Carrières,5,43,108,61,7,8,232,400
Portneuf/Portneuf,156,Saint-Marc-des-Carrières,3,49,108,68,5,9,242,413
Portneuf/Portneuf,157,Saint-Marc-des-Carrières,1,71,103,52,7,7,241,424
Portneuf/Portneuf,158,Saint-Marc-des-Carrières,5,38,62,62,4,5,176,318
Portneuf/Portneuf,159,Deschambault-Grondines,6,22,95,40,8,3,174,272
Portneuf/Portneuf,160,Deschambault-Grondines,15,36,91,45,7,11,205,310
Portneuf/Portneuf,161,Saint-Ubalde,3,46,120,65,11,5,250,450
Portneuf/Portneuf,162,Saint-Ubalde,5,45,73,33,8,0,164,292
Portneuf/Portneuf,163,Saint-Ubalde,1,90,84,88,5,8,276,424
Portneuf/Portneuf,164,Saint-Thuribe,3,55,42,38,7,5,150,227
Portneuf/Portneuf,165,Saint-Casimir,5,46,75,25,8,1,160,306
Portneuf/Portneuf,166,Saint-Casimir,6,39,74,70,1,5,195,366
Portneuf/Portneuf,167,Saint-Casimir,6,52,71,45,3,4,181,332
Portneuf/Portneuf,168,Saint-Casimir,1,32,48,25,1,3,110,228
Portneuf/Portneuf,500,Mobile poll/Bureau itinérant,0,12,23,37,2,2,76,170
Portneuf/Portneuf,501,Mobile poll/Bureau itinérant,2,10,13,62,3,3,93,272
Portneuf/Portneuf,502,Mobile poll/Bureau itinérant,3,7,13,27,1,1,52,161
Portneuf/Portneuf,503,Mobile poll/Bureau itinérant,3,10,22,31,3,2,71,159
Portneuf/Portneuf,600,Stoneham-et-Tewkesbury,12,81,140,66,18,3,320,
Portneuf/Portneuf,601,Saint-Gabriel-de-Valcartier,1,20,20,25,4,1,71,
Portneuf/Portneuf,602,Sainte-Brigitte-de-Laval,2,30,55,26,10,3,126,
Portneuf/Portneuf,603,Lac-Beauport,9,45,145,84,24,4,311,
Portneuf/Portneuf,604,Saint-Raymond,7,90,186,175,11,9,478,
Portneuf/Portneuf,605,Sainte-Catherine-de-la-Jacques-Cartier,11,86,143,105,13,9,367,
Portneuf/Portneuf,606,Saint-Augustin-de-Desmaures,17,95,203,109,12,10,446,
Portneuf/Portneuf,607,Saint-Augustin-de-Desmaures,22,84,214,144,12,9,485,
Portneuf/Portneuf,608,Pont-Rouge,14,79,220,126,13,1,453,
Portneuf/Portneuf,609,Donnacona,14,84,200,138,10,9,455,
Portneuf/Portneuf,610,Portneuf,1,20,52,36,4,0,113,
Portneuf/Portneuf,611,Saint-Marc-des-Carrières,8,37,113,82,6,1,247,
Portneuf/Portneuf,612,Saint-Casimir,3,41,59,52,3,3,161,
Portneuf/Portneuf,,Group 1/Groupe 1,24,150,105,123,23,19,444,1075
Portneuf/Portneuf,,Group 2/Groupe 2,6,41,162,182,9,11,411,
