District,Poll Number,Poll Name,Josh Cooper,Benjamin Fitzerman,Lloyd Helferty,Simion Iron,Susan Kadis,Rick Morelli,Rejected Ballots,Total Vote,Electors
Thornhill/Thornhill,43,Vaughan,26,2,15,0,135,43,4,225,442
Thornhill/Thornhill,44,Vaughan,35,4,4,1,128,14,3,189,297
Thornhill/Thornhill,45,Vaughan,77,0,13,5,178,26,2,301,543
Thornhill/Thornhill,46,Vaughan,67,3,10,1,165,23,2,271,479
Thornhill/Thornhill,47,Vaughan,41,1,4,2,113,16,2,179,357
Thornhill/Thornhill,48,Vaughan,21,1,4,0,111,17,2,156,265
Thornhill/Thornhill,49,Vaughan,45,1,3,0,85,14,0,148,288
Thornhill/Thornhill,50,Vaughan,52,0,6,0,107,17,0,182,333
Thornhill/Thornhill,51,Vaughan,90,1,7,0,95,18,0,211,357
Thornhill/Thornhill,52,Vaughan,77,0,2,2,102,17,0,200,382
Thornhill/Thornhill,53,Vaughan,70,0,0,0,106,12,0,188,328
Thornhill/Thornhill,54,Vaughan,104,0,6,0,123,16,1,250,463
Thornhill/Thornhill,55,Vaughan,51,1,6,1,119,15,0,193,359
Thornhill/Thornhill,56,Vaughan,42,4,6,0,57,11,0,120,298
Thornhill/Thornhill,57,Vaughan,56,0,5,0,125,16,1,203,397
Thornhill/Thornhill,58,Vaughan,48,1,3,2,137,28,1,220,487
Thornhill/Thornhill,59,Vaughan,52,0,6,4,169,34,5,270,450
Thornhill/Thornhill,60,Vaughan,68,1,9,0,180,26,0,284,489
Thornhill/Thornhill,61,Vaughan,64,2,7,0,159,26,0,258,451
Thornhill/Thornhill,62,Vaughan,58,0,5,1,201,18,1,284,506
Thornhill/Thornhill,63,Vaughan,65,0,4,0,141,27,1,238,459
Thornhill/Thornhill,64,Vaughan,64,0,3,2,113,15,1,198,404
Thornhill/Thornhill,65,Vaughan,81,1,3,1,112,14,2,214,411
Thornhill/Thornhill,66,Vaughan,85,1,0,4,121,20,0,231,452
Thornhill/Thornhill,67,Vaughan,78,0,6,2,100,17,1,204,367
Thornhill/Thornhill,68,Vaughan,132,2,11,2,172,17,2,338,562
Thornhill/Thornhill,69,Vaughan,106,2,7,1,139,9,2,266,481
Thornhill/Thornhill,70,Vaughan,113,8,7,1,143,15,2,289,432
Thornhill/Thornhill,71,Vaughan,107,1,19,5,105,48,5,290,521
Thornhill/Thornhill,72,Vaughan,117,3,5,1,147,21,4,298,485
Thornhill/Thornhill,73,Vaughan,73,2,3,0,151,26,0,255,443
Thornhill/Thornhill,74,Vaughan,88,1,3,3,127,20,3,245,427
Thornhill/Thornhill,75,Vaughan,49,2,7,1,91,14,0,164,425
Thornhill/Thornhill,76,Vaughan,59,0,4,3,52,4,0,122,251
Thornhill/Thornhill,77,Vaughan,48,1,6,0,95,18,0,168,294
Thornhill/Thornhill,78,Vaughan,206,3,16,2,92,5,2,326,526
Thornhill/Thornhill,79,Vaughan,174,0,5,1,121,9,3,313,525
Thornhill/Thornhill,80A,Vaughan,108,1,2,0,61,2,0,174,313
Thornhill/Thornhill,80B,Vaughan,89,1,1,0,58,3,3,155,296
Thornhill/Thornhill,81,Vaughan,63,1,3,0,90,4,0,161,259
Thornhill/Thornhill,82,Vaughan,66,0,2,1,130,6,1,206,339
Thornhill/Thornhill,83,Vaughan,122,0,3,0,145,5,0,275,455
Thornhill/Thornhill,84,Vaughan,127,1,5,2,164,10,0,309,519
Thornhill/Thornhill,85A,Vaughan,69,1,1,0,97,7,0,175,376
Thornhill/Thornhill,85B,Vaughan,58,0,5,1,82,11,0,157,333
Thornhill/Thornhill,86,Vaughan,78,0,4,0,121,7,0,210,328
Thornhill/Thornhill,87,Vaughan,92,0,11,7,129,14,1,254,505
Thornhill/Thornhill,88,Vaughan,115,1,2,2,142,11,1,274,452
Thornhill/Thornhill,89,Vaughan,59,0,10,0,77,2,1,149,260
Thornhill/Thornhill,90,Vaughan,60,3,8,0,102,19,0,192,310
Thornhill/Thornhill,91,Vaughan,125,1,2,4,157,6,0,295,438
Thornhill/Thornhill,92A,Vaughan,109,1,5,0,52,6,0,173,344
Thornhill/Thornhill,92B,Vaughan,103,0,3,0,56,12,0,174,309
Thornhill/Thornhill,93,Vaughan,132,1,8,1,108,12,1,263,440
Thornhill/Thornhill,94,Vaughan,134,0,4,0,47,8,0,193,333
Thornhill/Thornhill,95,Vaughan,146,1,3,2,113,10,1,276,436
Thornhill/Thornhill,96,Vaughan,136,1,20,0,82,27,1,267,537
Thornhill/Thornhill,97,Vaughan,15,0,0,0,34,2,0,51,146
Thornhill/Thornhill,98A,Vaughan,58,3,3,1,133,4,6,208,322
Thornhill/Thornhill,98B,Vaughan,57,4,2,2,107,11,2,185,338
Thornhill/Thornhill,99A,Vaughan,29,0,2,2,46,8,0,87,157
Thornhill/Thornhill,99B,Vaughan,31,2,3,1,36,4,1,78,141
Thornhill/Thornhill,99C,Vaughan,30,0,1,0,33,16,1,81,158
Thornhill/Thornhill,99D,Vaughan,27,3,3,2,44,5,2,86,188
Thornhill/Thornhill,99E,Vaughan,29,0,0,0,37,10,0,76,192
Thornhill/Thornhill,100,Vaughan,Merged with No. 101,,,,,,,,108
Thornhill/Thornhill,101,Vaughan,31,0,7,2,115,13,3,171,211
Thornhill/Thornhill,102,Vaughan,49,1,1,4,167,10,0,232,424
Thornhill/Thornhill,103,Vaughan,39,0,3,0,110,17,2,171,322
Thornhill/Thornhill,104,Vaughan,36,1,3,3,95,9,1,148,286
Thornhill/Thornhill,105,Markham,30,0,4,0,78,14,0,126,256
Thornhill/Thornhill,106,Markham,42,0,13,2,101,15,0,173,313
Thornhill/Thornhill,107,Markham,65,0,10,1,144,10,0,230,415
Thornhill/Thornhill,108,Markham,90,0,12,0,157,18,0,277,441
Thornhill/Thornhill,109,Markham,73,2,5,0,106,8,4,198,284
Thornhill/Thornhill,110,Markham,55,0,16,0,138,20,1,230,428
Thornhill/Thornhill,111,Markham,41,0,9,0,62,22,0,134,363
Thornhill/Thornhill,112,Markham,81,0,7,0,134,16,0,238,307
Thornhill/Thornhill,113,Markham,56,0,16,0,99,12,0,183,354
Thornhill/Thornhill,114,Markham,74,1,6,0,139,7,0,227,357
Thornhill/Thornhill,115,Markham,82,0,15,1,105,27,0,230,401
Thornhill/Thornhill,116,Markham,57,0,19,1,166,18,0,261,429
Thornhill/Thornhill,117,Markham,77,0,12,1,133,6,2,231,341
Thornhill/Thornhill,118,Markham,78,0,14,0,181,15,0,288,521
Thornhill/Thornhill,119,Markham,53,0,4,1,102,23,0,183,392
Thornhill/Thornhill,120,Markham,60,0,7,1,88,14,0,170,382
Thornhill/Thornhill,121A,Markham,Merged with No. 154,,,,,,,,76
Thornhill/Thornhill,121B,Mobile poll/Bureau itinérant,13,0,8,1,19,7,0,48,41
Thornhill/Thornhill,122,Markham,74,0,8,0,122,8,3,215,377
Thornhill/Thornhill,123A,Markham,31,0,2,0,77,12,1,123,162
Thornhill/Thornhill,123B,Markham,39,2,6,0,76,8,0,131,252
Thornhill/Thornhill,124,Markham,28,0,5,0,81,10,1,125,418
Thornhill/Thornhill,125,Markham,52,0,4,0,99,22,0,177,582
Thornhill/Thornhill,126A,Markham,36,0,4,1,66,12,0,119,261
Thornhill/Thornhill,126B,Markham,26,1,6,1,81,6,0,121,323
Thornhill/Thornhill,126C,Markham,34,1,3,0,87,20,1,146,310
Thornhill/Thornhill,127,Markham,75,5,3,1,179,18,0,281,484
Thornhill/Thornhill,128,Markham,56,8,8,1,212,15,0,300,532
Thornhill/Thornhill,129,Markham,104,3,6,0,181,24,0,318,569
Thornhill/Thornhill,130,Markham,88,0,5,0,166,11,1,271,465
Thornhill/Thornhill,131,Markham,87,1,7,0,165,16,0,276,465
Thornhill/Thornhill,132,Markham,148,1,8,1,167,14,6,345,573
Thornhill/Thornhill,133,Markham,128,1,16,0,187,1,2,335,582
Thornhill/Thornhill,134,Markham,76,3,22,0,183,17,1,302,471
Thornhill/Thornhill,135,Markham,62,1,16,0,144,13,0,236,411
Thornhill/Thornhill,136,Markham,39,0,7,0,111,9,1,167,249
Thornhill/Thornhill,137,Markham,99,1,5,1,143,14,2,265,408
Thornhill/Thornhill,138,Markham,79,3,31,0,152,10,1,276,516
Thornhill/Thornhill,139,Markham,91,2,12,0,177,28,0,310,551
Thornhill/Thornhill,140A,Markham,34,1,6,0,87,8,1,137,269
Thornhill/Thornhill,140B,Markham,8,1,2,2,40,3,2,58,93
Thornhill/Thornhill,141,Markham,73,4,8,0,175,14,0,274,445
Thornhill/Thornhill,142,Markham,78,2,12,0,185,24,1,302,485
Thornhill/Thornhill,143A,Markham,53,1,7,0,115,4,0,180,339
Thornhill/Thornhill,143B,Markham,68,1,9,0,106,13,0,197,354
Thornhill/Thornhill,144,Markham,43,1,4,1,92,13,1,155,289
Thornhill/Thornhill,145,Markham,64,0,11,0,166,13,0,254,454
Thornhill/Thornhill,146,Markham,33,0,6,0,82,7,2,130,209
Thornhill/Thornhill,147,Markham,78,0,6,1,94,27,0,206,494
Thornhill/Thornhill,148,Markham,85,0,8,0,113,11,0,217,351
Thornhill/Thornhill,149,Markham,65,1,4,1,128,18,2,219,383
Thornhill/Thornhill,150,Markham,56,0,11,0,142,13,1,223,349
Thornhill/Thornhill,151,Markham,62,0,11,0,96,5,3,177,303
Thornhill/Thornhill,152,Markham,63,0,9,3,93,23,0,191,417
Thornhill/Thornhill,153,Markham,12,0,7,0,61,17,0,97,239
Thornhill/Thornhill,154,Markham,17,1,6,0,76,29,0,129,181
Thornhill/Thornhill,155,Markham,63,1,23,0,139,28,1,255,498
Thornhill/Thornhill,156,Markham,43,1,6,0,65,35,1,151,312
Thornhill/Thornhill,157,Markham,55,0,10,1,126,29,0,221,409
Thornhill/Thornhill,158,Markham,56,4,11,0,99,21,1,192,351
Thornhill/Thornhill,159,Markham,61,0,9,0,117,14,0,201,385
Thornhill/Thornhill,160,Markham,50,0,10,1,130,11,1,203,327
Thornhill/Thornhill,161,Markham,69,1,9,0,155,20,0,254,360
Thornhill/Thornhill,162,Markham,78,1,13,0,125,28,1,246,475
Thornhill/Thornhill,163,Markham,45,1,6,2,132,29,1,216,417
Thornhill/Thornhill,164,Markham,47,1,7,0,76,28,2,161,278
Thornhill/Thornhill,165,Markham,50,6,14,0,83,38,0,191,352
Thornhill/Thornhill,166,Markham,50,0,2,0,118,9,0,179,358
Thornhill/Thornhill,167,Markham,90,1,9,0,121,7,2,230,384
Thornhill/Thornhill,168,Markham,107,2,7,0,136,6,0,258,420
Thornhill/Thornhill,169,Markham,97,0,8,0,144,10,0,259,431
Thornhill/Thornhill,170,Markham,88,0,13,1,159,12,1,274,462
Thornhill/Thornhill,171,Markham,36,4,1,0,66,20,0,127,300
Thornhill/Thornhill,172,Markham,74,2,6,0,126,8,0,216,349
Thornhill/Thornhill,173,Markham,48,1,8,1,81,16,3,158,325
Thornhill/Thornhill,174,Markham,86,0,4,1,103,5,1,200,358
Thornhill/Thornhill,175,Markham,57,0,7,0,149,19,2,234,490
Thornhill/Thornhill,176,Markham,90,2,13,0,184,19,1,309,543
Thornhill/Thornhill,177,Markham,105,4,14,1,157,4,1,286,450
Thornhill/Thornhill,178,Markham,97,3,10,0,127,10,0,247,368
Thornhill/Thornhill,179,Markham,70,1,11,1,150,24,1,258,412
Thornhill/Thornhill,180A,Markham,46,1,6,0,115,9,0,177,276
Thornhill/Thornhill,180B,Markham,28,0,9,1,101,20,3,162,287
Thornhill/Thornhill,181,Markham,67,1,9,1,136,9,2,225,365
Thornhill/Thornhill,182,Markham,80,1,13,1,170,23,1,289,467
Thornhill/Thornhill,183,Markham,57,1,14,1,143,24,2,242,425
Thornhill/Thornhill,400A,Markham,38,1,2,0,99,8,0,148,311
Thornhill/Thornhill,400B,Markham,36,0,4,1,70,9,0,120,272
Thornhill/Thornhill,401,Markham,64,0,8,3,125,8,1,209,429
Thornhill/Thornhill,402A,Markham,27,0,1,1,75,10,5,119,273
Thornhill/Thornhill,402B,Markham,32,1,2,2,86,11,3,137,335
Thornhill/Thornhill,403,Vaughan,55,0,4,1,112,6,1,179,262
Thornhill/Thornhill,404,Vaughan,Void,,,,,,,,
Thornhill/Thornhill,405,Vaughan,68,0,2,0,102,11,2,185,280
Thornhill/Thornhill,406,Vaughan,73,3,4,0,154,13,4,251,387
Thornhill/Thornhill,407,Vaughan,70,3,4,2,79,7,0,165,295
Thornhill/Thornhill,408,Vaughan,63,2,0,2,113,5,5,190,288
Thornhill/Thornhill,409,Vaughan,67,1,0,2,85,12,1,168,255
Thornhill/Thornhill,410,Vaughan,50,2,3,8,31,7,1,102,169
Thornhill/Thornhill,411,Vaughan,38,1,4,2,93,16,1,155,283
Thornhill/Thornhill,412,Vaughan,81,0,0,0,90,2,0,173,316
Thornhill/Thornhill,600,Vaughan,162,2,7,2,161,22,1,357,
Thornhill/Thornhill,601,Vaughan,302,0,12,2,314,19,0,649,
Thornhill/Thornhill,602,Vaughan,141,1,13,5,299,46,0,505,
Thornhill/Thornhill,603,Vaughan,177,0,12,0,282,35,4,510,
Thornhill/Thornhill,604,Vaughan,421,0,27,1,415,45,3,912,
Thornhill/Thornhill,605,Markham,338,2,19,5,425,36,5,830,
Thornhill/Thornhill,606,Markham,298,4,15,2,519,48,2,888,
Thornhill/Thornhill,607,Markham,176,0,18,2,162,32,0,390,
Thornhill/Thornhill,608,Markham,282,1,24,3,287,45,2,644,
Thornhill/Thornhill,,Group 1/Groupe 1,15,1,3,0,27,7,2,55,94
Thornhill/Thornhill,,Group 2/Groupe 2,216,3,26,1,259,43,10,558,
