District,Poll Number,Poll Name,John Chandler,Gordon Earle,Gerald Keddy,Katie Morris Boudreau,Rejected Ballots,Total Vote,Electors
South Shore--St. Margaret's/South Shore--St. Margaret's,56,Lower Northfield,48,35,71,11,1,166,269
South Shore--St. Margaret's/South Shore--St. Margaret's,57,Branch LaHave--New Canada,74,60,81,8,3,226,436
South Shore--St. Margaret's/South Shore--St. Margaret's,58,Hemford--Nineveh,57,61,111,8,1,238,444
South Shore--St. Margaret's/South Shore--St. Margaret's,59,Clearland,40,26,41,7,1,115,203
South Shore--St. Margaret's/South Shore--St. Margaret's,60,Martins River,48,68,87,12,1,216,385
South Shore--St. Margaret's/South Shore--St. Margaret's,61,Indian Point,86,42,70,9,1,208,301
South Shore--St. Margaret's/South Shore--St. Margaret's,62,Mahone Bay,112,69,79,19,1,280,464
South Shore--St. Margaret's/South Shore--St. Margaret's,63,Mahone Bay,93,61,98,13,2,267,417
South Shore--St. Margaret's/South Shore--St. Margaret's,64,Maders Cove,89,61,94,13,4,261,364
South Shore--St. Margaret's/South Shore--St. Margaret's,65,Blockhouse,39,39,74,11,1,164,277
South Shore--St. Margaret's/South Shore--St. Margaret's,66,Blockhouse,53,58,88,12,0,211,366
South Shore--St. Margaret's/South Shore--St. Margaret's,67,Maitland,57,69,99,14,0,239,467
South Shore--St. Margaret's/South Shore--St. Margaret's,68,West Northfield,58,23,58,8,0,147,234
South Shore--St. Margaret's/South Shore--St. Margaret's,69,Pine Grove,88,77,73,16,4,258,424
South Shore--St. Margaret's/South Shore--St. Margaret's,70,Oakhill,62,79,99,13,1,254,419
South Shore--St. Margaret's/South Shore--St. Margaret's,71,Martins Brook--Second Peninsula,32,32,46,6,1,117,209
South Shore--St. Margaret's/South Shore--St. Margaret's,72,Second Peninsula,30,33,61,7,0,131,216
South Shore--St. Margaret's/South Shore--St. Margaret's,73,Garden Lots,61,72,73,20,0,226,359
South Shore--St. Margaret's/South Shore--St. Margaret's,74,Blue Rock,53,59,58,6,1,177,306
South Shore--St. Margaret's/South Shore--St. Margaret's,75,Centre,70,80,73,11,0,234,396
South Shore--St. Margaret's/South Shore--St. Margaret's,76,Lunenburg,109,81,113,9,2,314,479
South Shore--St. Margaret's/South Shore--St. Margaret's,77,Lunenburg,108,54,94,13,2,271,404
South Shore--St. Margaret's/South Shore--St. Margaret's,78,Lunenburg,62,31,63,12,1,169,289
South Shore--St. Margaret's/South Shore--St. Margaret's,79,Lunenburg,49,59,82,20,1,211,341
South Shore--St. Margaret's/South Shore--St. Margaret's,80,Lunenburg,88,60,64,10,3,225,399
South Shore--St. Margaret's/South Shore--St. Margaret's,81,First South,44,45,55,11,0,155,253
South Shore--St. Margaret's/South Shore--St. Margaret's,82,Indian Path--Roseway,38,55,60,3,0,156,261
South Shore--St. Margaret's/South Shore--St. Margaret's,83,Rhodes Corner,67,79,87,4,0,237,395
South Shore--St. Margaret's/South Shore--St. Margaret's,84,Dayspring,48,77,100,18,0,243,399
South Shore--St. Margaret's/South Shore--St. Margaret's,85,Upper LaHave--Crouses Settlement,49,56,73,13,1,192,310
South Shore--St. Margaret's/South Shore--St. Margaret's,86,Middle LaHave,45,48,48,10,0,151,229
South Shore--St. Margaret's/South Shore--St. Margaret's,87,Riverport,68,70,58,15,3,214,322
South Shore--St. Margaret's/South Shore--St. Margaret's,88,Riverport,70,72,32,6,0,180,275
South Shore--St. Margaret's/South Shore--St. Margaret's,89,Bridgewater,37,41,60,15,0,153,352
South Shore--St. Margaret's/South Shore--St. Margaret's,90,Bridgewater,30,58,47,5,1,141,376
South Shore--St. Margaret's/South Shore--St. Margaret's,91,Bridgewater,68,76,98,6,0,248,435
South Shore--St. Margaret's/South Shore--St. Margaret's,92A,Bridgewater,67,53,63,7,0,190,339
South Shore--St. Margaret's/South Shore--St. Margaret's,92B,Bridgewater,48,47,45,7,1,148,280
South Shore--St. Margaret's/South Shore--St. Margaret's,93,Bridgewater,131,51,138,12,3,335,511
South Shore--St. Margaret's/South Shore--St. Margaret's,94,Bridgewater,89,31,129,6,2,257,414
South Shore--St. Margaret's/South Shore--St. Margaret's,95,Bridgewater,44,37,21,8,0,110,211
South Shore--St. Margaret's/South Shore--St. Margaret's,96,Bridgewater,85,58,89,12,0,244,365
South Shore--St. Margaret's/South Shore--St. Margaret's,97,Bridgewater,85,64,64,11,1,225,394
South Shore--St. Margaret's/South Shore--St. Margaret's,98,Bridgewater,62,44,78,4,0,188,317
South Shore--St. Margaret's/South Shore--St. Margaret's,99,Bridgewater,74,46,66,16,3,205,460
South Shore--St. Margaret's/South Shore--St. Margaret's,100,Bridgewater,96,44,84,7,3,234,393
South Shore--St. Margaret's/South Shore--St. Margaret's,101,Bridgewater,82,56,58,13,0,209,385
South Shore--St. Margaret's/South Shore--St. Margaret's,102,Bridgewater,55,48,73,10,0,186,386
South Shore--St. Margaret's/South Shore--St. Margaret's,103,Bridgewater,65,41,57,13,1,177,358
South Shore--St. Margaret's/South Shore--St. Margaret's,104,Bridgewater,160,57,123,10,0,350,483
South Shore--St. Margaret's/South Shore--St. Margaret's,105,Auburndale--Branch LaHave,72,78,107,10,3,270,470
South Shore--St. Margaret's/South Shore--St. Margaret's,106,Lower Branch,61,42,88,6,3,200,354
South Shore--St. Margaret's/South Shore--St. Margaret's,107,Wileville,77,33,53,5,0,168,285
South Shore--St. Margaret's/South Shore--St. Margaret's,108,Bakers Settlement,36,21,96,6,0,159,311
South Shore--St. Margaret's/South Shore--St. Margaret's,109,Newcombville,45,21,85,10,0,161,253
South Shore--St. Margaret's/South Shore--St. Margaret's,110,Wileville,58,35,75,10,1,179,412
South Shore--St. Margaret's/South Shore--St. Margaret's,111,Chelsea,32,42,111,9,1,195,370
South Shore--St. Margaret's/South Shore--St. Margaret's,112,Camperdown--Waterloo,30,28,35,9,1,103,189
South Shore--St. Margaret's/South Shore--St. Margaret's,113,Conquerall Bank,86,40,88,10,0,224,390
South Shore--St. Margaret's/South Shore--St. Margaret's,114,Pleasantville,59,59,67,14,3,202,328
South Shore--St. Margaret's/South Shore--St. Margaret's,115,Pleasantville,76,46,88,14,0,224,335
South Shore--St. Margaret's/South Shore--St. Margaret's,116,LaHave,72,42,53,8,0,175,273
South Shore--St. Margaret's/South Shore--St. Margaret's,117,Hebbville,83,53,79,6,0,221,364
South Shore--St. Margaret's/South Shore--St. Margaret's,118,Hebbville,51,34,45,5,0,135,299
South Shore--St. Margaret's/South Shore--St. Margaret's,119,Conquerall Mills,103,59,91,11,2,266,482
South Shore--St. Margaret's/South Shore--St. Margaret's,120,Lake Centre--New Cumberland,30,22,26,11,0,89,226
South Shore--St. Margaret's/South Shore--St. Margaret's,121,West Dublin--LaHave Island,63,71,46,14,0,194,325
South Shore--St. Margaret's/South Shore--St. Margaret's,122,Hebbs Cross,43,59,71,3,0,176,284
South Shore--St. Margaret's/South Shore--St. Margaret's,123,Italy Cross,32,50,47,8,1,138,271
South Shore--St. Margaret's/South Shore--St. Margaret's,124,Petite Rivière--Crousetown,85,71,92,13,0,261,377
South Shore--St. Margaret's/South Shore--St. Margaret's,125,Camperdown--Waterloo,18,42,60,8,0,128,241
South Shore--St. Margaret's/South Shore--St. Margaret's,126,Middlewood,48,50,25,7,2,132,330
South Shore--St. Margaret's/South Shore--St. Margaret's,127,Voglers Cove--Broad Cove--Cherry Hill,56,67,84,16,1,224,361
South Shore--St. Margaret's/South Shore--St. Margaret's,128,North Brookfield,32,28,91,6,1,158,337
South Shore--St. Margaret's/South Shore--St. Margaret's,129,Kempt,52,19,40,4,0,115,221
South Shore--St. Margaret's/South Shore--St. Margaret's,130,Westfield,42,58,73,3,1,177,342
South Shore--St. Margaret's/South Shore--St. Margaret's,131,Greenfield,118,75,115,12,0,320,478
South Shore--St. Margaret's/South Shore--St. Margaret's,132,Caledonia,85,67,101,12,0,265,435
South Shore--St. Margaret's/South Shore--St. Margaret's,133,Charleston,22,46,34,1,0,103,176
South Shore--St. Margaret's/South Shore--St. Margaret's,134,Mill Village--Danesville,54,89,81,8,1,233,437
South Shore--St. Margaret's/South Shore--St. Margaret's,135,Port Medway,38,50,39,6,0,133,209
South Shore--St. Margaret's/South Shore--St. Margaret's,136,West Berlin,26,32,47,3,0,108,185
South Shore--St. Margaret's/South Shore--St. Margaret's,137,Milton,31,52,48,4,2,137,280
South Shore--St. Margaret's/South Shore--St. Margaret's,138,Milton,33,45,59,4,0,141,300
South Shore--St. Margaret's/South Shore--St. Margaret's,139,Sandy Cove,42,66,68,4,0,180,373
South Shore--St. Margaret's/South Shore--St. Margaret's,140,Brooklyn,52,99,123,4,1,279,394
South Shore--St. Margaret's/South Shore--St. Margaret's,141,Beach Meadows,39,39,62,6,1,147,239
South Shore--St. Margaret's/South Shore--St. Margaret's,142,Milton,75,110,136,6,1,328,536
South Shore--St. Margaret's/South Shore--St. Margaret's,143,Liverpool,43,101,104,7,1,256,481
South Shore--St. Margaret's/South Shore--St. Margaret's,144,Liverpool,60,71,75,14,0,220,474
South Shore--St. Margaret's/South Shore--St. Margaret's,145,Mersey Point,79,66,74,2,1,222,343
South Shore--St. Margaret's/South Shore--St. Margaret's,146,Liverpool,35,65,94,4,2,200,388
South Shore--St. Margaret's/South Shore--St. Margaret's,147,Liverpool,70,63,67,5,2,207,328
South Shore--St. Margaret's/South Shore--St. Margaret's,148,Liverpool,41,65,74,4,1,185,339
South Shore--St. Margaret's/South Shore--St. Margaret's,149,Liverpool,20,62,81,5,0,168,345
South Shore--St. Margaret's/South Shore--St. Margaret's,150,Mersey Point,31,51,54,5,0,141,305
South Shore--St. Margaret's/South Shore--St. Margaret's,151,Hunts Point,32,49,52,3,1,137,263
South Shore--St. Margaret's/South Shore--St. Margaret's,152,Summerville,25,25,37,2,1,90,169
South Shore--St. Margaret's/South Shore--St. Margaret's,153,Port Mouton,50,55,77,4,1,187,344
South Shore--St. Margaret's/South Shore--St. Margaret's,154,South West Port Mouton,18,33,28,6,1,86,197
South Shore--St. Margaret's/South Shore--St. Margaret's,155,Port Joli,31,23,21,0,0,75,137
South Shore--St. Margaret's/South Shore--St. Margaret's,156,Middle Ohio,92,33,88,8,3,224,392
South Shore--St. Margaret's/South Shore--St. Margaret's,157,Jordan Falls,76,60,105,13,3,257,478
South Shore--St. Margaret's/South Shore--St. Margaret's,158,Shelburne,72,27,73,8,1,181,321
South Shore--St. Margaret's/South Shore--St. Margaret's,159,Shelburne,45,23,43,7,2,120,226
South Shore--St. Margaret's/South Shore--St. Margaret's,160,Shelburne,65,22,52,4,1,144,350
South Shore--St. Margaret's/South Shore--St. Margaret's,161,Shelburne,75,34,68,7,4,188,336
South Shore--St. Margaret's/South Shore--St. Margaret's,162,Shelburne,54,38,47,11,2,152,363
South Shore--St. Margaret's/South Shore--St. Margaret's,163,Birchtown--Gunning Cove,86,57,78,9,0,230,433
South Shore--St. Margaret's/South Shore--St. Margaret's,164,Sandy Point,80,55,113,11,0,259,512
South Shore--St. Margaret's/South Shore--St. Margaret's,165,Jordan Bay,24,15,40,3,2,84,173
South Shore--St. Margaret's/South Shore--St. Margaret's,166,Clyde River--Port Saxon,64,18,55,8,2,147,251
South Shore--St. Margaret's/South Shore--St. Margaret's,167,North West Harbour--Ingomar,41,23,55,8,0,127,265
South Shore--St. Margaret's/South Shore--St. Margaret's,168,Sable River,39,44,55,3,2,143,212
South Shore--St. Margaret's/South Shore--St. Margaret's,169,Little Harbour,25,33,33,5,4,100,180
South Shore--St. Margaret's/South Shore--St. Margaret's,170,West Green Harbour,42,27,42,8,1,120,215
South Shore--St. Margaret's/South Shore--St. Margaret's,171,East Green Harbour,33,38,46,9,2,128,263
South Shore--St. Margaret's/South Shore--St. Margaret's,172,Lockeport,41,36,41,8,1,127,240
South Shore--St. Margaret's/South Shore--St. Margaret's,173,Lockeport,77,59,87,10,0,233,444
South Shore--St. Margaret's/South Shore--St. Margaret's,174,Thomasville,30,17,68,4,0,119,313
South Shore--St. Margaret's/South Shore--St. Margaret's,175,Charlesville--Woods Harbour,18,7,65,1,0,91,214
South Shore--St. Margaret's/South Shore--St. Margaret's,176,Lower Woods Harbour,34,16,89,0,0,139,296
South Shore--St. Margaret's/South Shore--St. Margaret's,177,Lower Woods Harbour,46,23,97,2,0,168,378
South Shore--St. Margaret's/South Shore--St. Margaret's,178,Shag Harbour,46,5,55,1,0,107,193
South Shore--St. Margaret's/South Shore--St. Margaret's,179,Shag Harbour,36,21,88,6,0,151,429
South Shore--St. Margaret's/South Shore--St. Margaret's,180,Barrington Passage,50,25,74,5,1,155,378
South Shore--St. Margaret's/South Shore--St. Margaret's,181,Crowell,44,19,73,8,0,144,350
South Shore--St. Margaret's/South Shore--St. Margaret's,182,Barrington West,28,16,49,0,0,93,267
South Shore--St. Margaret's/South Shore--St. Margaret's,183,Barrington,64,25,80,2,0,171,417
South Shore--St. Margaret's/South Shore--St. Margaret's,184,Port La Tour,44,30,55,5,2,136,285
South Shore--St. Margaret's/South Shore--St. Margaret's,185,Baccaro,23,25,41,4,1,94,228
South Shore--St. Margaret's/South Shore--St. Margaret's,186,North East Point,84,31,110,10,0,235,566
South Shore--St. Margaret's/South Shore--St. Margaret's,187,Stoney Island,60,23,115,1,0,199,458
South Shore--St. Margaret's/South Shore--St. Margaret's,188,Newellton,38,18,103,5,1,165,420
South Shore--St. Margaret's/South Shore--St. Margaret's,189A,Lower Clarks Harbour,27,5,46,3,0,81,213
South Shore--St. Margaret's/South Shore--St. Margaret's,189B,Lower Clarks Harbour,49,21,70,6,1,147,379
South Shore--St. Margaret's/South Shore--St. Margaret's,190,West Head,39,22,63,2,0,126,218
South Shore--St. Margaret's/South Shore--St. Margaret's,191,Clark's Harbour,35,9,65,3,1,113,237
South Shore--St. Margaret's/South Shore--St. Margaret's,192,Clark's Harbour,34,10,47,0,0,91,217
South Shore--St. Margaret's/South Shore--St. Margaret's,500,Mobile poll/Bureau itinérant,39,24,38,3,0,104,210
South Shore--St. Margaret's/South Shore--St. Margaret's,501,Mobile poll/Bureau itinérant,15,4,16,3,2,40,102
South Shore--St. Margaret's/South Shore--St. Margaret's,502,Mobile poll/Bureau itinérant,25,4,39,2,2,72,122
South Shore--St. Margaret's/South Shore--St. Margaret's,503,Mobile poll/Bureau itinérant,27,4,18,2,1,52,129
South Shore--St. Margaret's/South Shore--St. Margaret's,600,Hubley Centre--Queensland,68,53,35,4,0,160,
South Shore--St. Margaret's/South Shore--St. Margaret's,601,Tantallon--Bayside,37,22,27,1,0,87,
South Shore--St. Margaret's/South Shore--St. Margaret's,602,Chester--Mill Road,15,6,36,2,0,59,
South Shore--St. Margaret's/South Shore--St. Margaret's,603,Chester--Windsor Road,84,59,113,9,1,266,
South Shore--St. Margaret's/South Shore--St. Margaret's,604,Chester--Blandford,23,34,20,6,0,83,
South Shore--St. Margaret's/South Shore--St. Margaret's,605,New Germany,36,19,76,7,0,138,
South Shore--St. Margaret's/South Shore--St. Margaret's,606,Mahone Bay,54,28,55,8,0,145,
South Shore--St. Margaret's/South Shore--St. Margaret's,607,Lunenburg,66,57,61,9,1,194,
South Shore--St. Margaret's/South Shore--St. Margaret's,608,Bridgewater,79,26,93,6,2,206,
South Shore--St. Margaret's/South Shore--St. Margaret's,609,Auburndale--Waterloo,14,13,27,2,0,56,
South Shore--St. Margaret's/South Shore--St. Margaret's,610,Hebbville,35,26,35,5,0,101,
South Shore--St. Margaret's/South Shore--St. Margaret's,611,Caledonia,9,9,24,0,1,43,
South Shore--St. Margaret's/South Shore--St. Margaret's,612,Milton,21,12,40,2,0,75,
South Shore--St. Margaret's/South Shore--St. Margaret's,613,Liverpool,48,36,103,2,1,190,
South Shore--St. Margaret's/South Shore--St. Margaret's,614,Shelburne,53,19,66,9,0,147,
South Shore--St. Margaret's/South Shore--St. Margaret's,615,Lockeport,15,17,17,5,0,54,
South Shore--St. Margaret's/South Shore--St. Margaret's,616,Barrington,54,11,79,6,0,150,
South Shore--St. Margaret's/South Shore--St. Margaret's,,Group 1/Groupe 1,45,21,58,8,0,132,392
South Shore--St. Margaret's/South Shore--St. Margaret's,,Group 2/Groupe 2,195,100,197,16,6,514,
