District,Poll Number,Poll Name,Brian Carroll,Grant Fraser,Betty Hinton,John O'Fee,Arjun Singh,Rejected Ballots,Total Vote,Electors
Kamloops--Thompson/Kamloops--Thompson,10,Forest Grove,99,21,147,46,3,1,317,582
Kamloops--Thompson/Kamloops--Thompson,11,Canim Lake,89,18,95,37,2,0,241,354
Kamloops--Thompson/Kamloops--Thompson,12,Horse Lake,103,15,147,55,0,1,321,518
Kamloops--Thompson/Kamloops--Thompson,13,Lone Butte,111,22,210,63,0,2,408,600
Kamloops--Thompson/Kamloops--Thompson,14,Deka Lake,71,8,100,32,0,0,211,363
Kamloops--Thompson/Kamloops--Thompson,15,Interlakes,75,19,129,66,1,5,295,390
Kamloops--Thompson/Kamloops--Thompson,16A,Clinton ,53,11,124,57,1,1,247,444
Kamloops--Thompson/Kamloops--Thompson,16B,Clinton ,44,14,111,48,1,0,218,398
Kamloops--Thompson/Kamloops--Thompson,17,70 Mile House,94,28,199,84,1,2,408,655
Kamloops--Thompson/Kamloops--Thompson,18,Loon Lake,18,2,61,26,1,0,108,155
Kamloops--Thompson/Kamloops--Thompson,19,Little Fort--Darfield,46,8,74,26,1,1,156,256
Kamloops--Thompson/Kamloops--Thompson,20,Chu Chua,36,7,6,15,1,0,65,111
Kamloops--Thompson/Kamloops--Thompson,21A,Barrière,89,19,159,69,2,4,342,589
Kamloops--Thompson/Kamloops--Thompson,21B,Barrière,64,8,151,58,1,1,283,519
Kamloops--Thompson/Kamloops--Thompson,21C,Barrière,51,12,147,69,1,1,281,476
Kamloops--Thompson/Kamloops--Thompson,21D,Barrière ,62,3,118,32,1,2,218,404
Kamloops--Thompson/Kamloops--Thompson,22,McLure,35,5,47,28,0,0,115,191
Kamloops--Thompson/Kamloops--Thompson,23,Kamloops,Merged with No. 24,,,,,,,7
Kamloops--Thompson/Kamloops--Thompson,24,Kamloops--Heffley Creek,31,21,104,84,1,0,241,385
Kamloops--Thompson/Kamloops--Thompson,25,Kamloops ,84,32,199,96,0,0,411,654
Kamloops--Thompson/Kamloops--Thompson,26,Kamloops ,73,10,118,61,3,0,265,446
Kamloops--Thompson/Kamloops--Thompson,27,Kamloops ,72,10,106,70,4,2,264,443
Kamloops--Thompson/Kamloops--Thompson,28A,Kamloops,63,14,123,94,0,2,296,313
Kamloops--Thompson/Kamloops--Thompson,28B,Kamloops,76,10,117,98,7,0,308,341
Kamloops--Thompson/Kamloops--Thompson,29,Kamloops ,75,9,93,75,4,0,256,377
Kamloops--Thompson/Kamloops--Thompson,30,Kamloops ,59,0,52,37,1,0,149,249
Kamloops--Thompson/Kamloops--Thompson,31,Kamloops 1,38,8,62,49,0,0,157,316
Kamloops--Thompson/Kamloops--Thompson,32A,Kamloops 1,72,20,63,73,2,0,230,507
Kamloops--Thompson/Kamloops--Thompson,32B,Kamloops 1,56,8,76,45,2,0,187,454
Kamloops--Thompson/Kamloops--Thompson,33,Kamloops--LaFarge,32,7,85,40,1,2,167,328
Kamloops--Thompson/Kamloops--Thompson,34,Pinantan Lake,84,15,86,84,1,3,273,415
Kamloops--Thompson/Kamloops--Thompson,35,Black Pines,16,3,45,22,0,0,86,146
Kamloops--Thompson/Kamloops--Thompson,36A,Kamloops,Merged with No. 28A,,,,,,,197
Kamloops--Thompson/Kamloops--Thompson,36B,Kamloops,Merged with No. 28B,,,,,,,181
Kamloops--Thompson/Kamloops--Thompson,37,Kamloops ,72,9,69,61,1,0,212,357
Kamloops--Thompson/Kamloops--Thompson,38,Kamloops ,91,10,80,61,2,1,245,381
Kamloops--Thompson/Kamloops--Thompson,39,Kamloops ,87,9,65,69,5,0,235,399
Kamloops--Thompson/Kamloops--Thompson,40,Kamloops ,97,13,93,93,4,0,300,513
Kamloops--Thompson/Kamloops--Thompson,41,Kamloops ,70,9,102,72,1,1,255,466
Kamloops--Thompson/Kamloops--Thompson,42,Kamloops ,42,11,80,65,4,0,202,334
Kamloops--Thompson/Kamloops--Thompson,43,Kamloops ,51,5,68,34,1,0,159,284
Kamloops--Thompson/Kamloops--Thompson,44,Kamloops ,74,7,100,54,6,1,242,421
Kamloops--Thompson/Kamloops--Thompson,45,Kamloops ,82,8,86,105,4,0,285,541
Kamloops--Thompson/Kamloops--Thompson,46,Kamloops ,63,2,68,33,0,0,166,329
Kamloops--Thompson/Kamloops--Thompson,47,Kamloops ,97,4,100,38,6,1,246,483
Kamloops--Thompson/Kamloops--Thompson,48,Kamloops ,35,5,79,40,1,0,160,351
Kamloops--Thompson/Kamloops--Thompson,49A,Kamloops ,54,2,71,52,2,0,181,345
Kamloops--Thompson/Kamloops--Thompson,49B,Kamloops ,39,10,76,56,1,0,182,370
Kamloops--Thompson/Kamloops--Thompson,50,Kamloops ,73,5,79,92,1,1,251,492
Kamloops--Thompson/Kamloops--Thompson,51,Kamloops ,45,2,76,52,3,0,178,318
Kamloops--Thompson/Kamloops--Thompson,52,Kamloops ,52,9,78,79,5,1,224,402
Kamloops--Thompson/Kamloops--Thompson,53,Criss Creek--Red Lake,17,2,16,10,1,0,46,59
Kamloops--Thompson/Kamloops--Thompson,54,Kamloops ,59,6,103,40,4,0,212,393
Kamloops--Thompson/Kamloops--Thompson,55,Kamloops ,63,7,98,54,1,0,223,454
Kamloops--Thompson/Kamloops--Thompson,56,Kamloops ,65,6,52,65,1,0,189,369
Kamloops--Thompson/Kamloops--Thompson,57,Kamloops ,53,4,68,62,6,0,193,344
Kamloops--Thompson/Kamloops--Thompson,58,Kamloops ,55,16,72,46,1,0,190,370
Kamloops--Thompson/Kamloops--Thompson,59,Kamloops ,83,8,114,76,2,1,284,444
Kamloops--Thompson/Kamloops--Thompson,60,Kamloops ,53,4,61,48,0,0,166,290
Kamloops--Thompson/Kamloops--Thompson,61,Kamloops ,80,16,89,90,5,0,280,464
Kamloops--Thompson/Kamloops--Thompson,62,Kamloops ,55,6,57,61,1,1,181,342
Kamloops--Thompson/Kamloops--Thompson,63,Kamloops ,84,9,102,71,1,2,269,484
Kamloops--Thompson/Kamloops--Thompson,64,Kamloops ,112,13,85,55,4,0,269,542
Kamloops--Thompson/Kamloops--Thompson,65,Kamloops ,87,7,88,86,3,0,271,527
Kamloops--Thompson/Kamloops--Thompson,66,Kamloops ,79,6,60,46,4,1,196,341
Kamloops--Thompson/Kamloops--Thompson,67,Kamloops ,94,12,73,57,0,1,237,445
Kamloops--Thompson/Kamloops--Thompson,68,Kamloops ,84,8,84,67,9,0,252,490
Kamloops--Thompson/Kamloops--Thompson,69,Kamloops ,44,5,40,44,5,0,138,393
Kamloops--Thompson/Kamloops--Thompson,70,Kamloops ,61,15,68,55,3,0,202,448
Kamloops--Thompson/Kamloops--Thompson,71,Kamloops ,49,1,52,90,3,0,195,342
Kamloops--Thompson/Kamloops--Thompson,72,Kamloops ,60,6,60,70,4,0,200,419
Kamloops--Thompson/Kamloops--Thompson,73,Kamloops ,61,9,49,32,4,0,155,338
Kamloops--Thompson/Kamloops--Thompson,74,Kamloops ,48,7,63,53,5,1,177,356
Kamloops--Thompson/Kamloops--Thompson,75,Kamloops ,68,7,62,52,0,1,190,322
Kamloops--Thompson/Kamloops--Thompson,76,Kamloops ,68,7,51,46,1,1,174,359
Kamloops--Thompson/Kamloops--Thompson,77,Kamloops ,90,9,68,42,2,3,214,436
Kamloops--Thompson/Kamloops--Thompson,78,Kamloops ,58,4,77,100,2,2,243,466
Kamloops--Thompson/Kamloops--Thompson,79,Kamloops ,88,8,53,69,2,0,220,433
Kamloops--Thompson/Kamloops--Thompson,80,Kamloops ,46,2,67,55,3,0,173,350
Kamloops--Thompson/Kamloops--Thompson,81,Kamloops ,55,6,37,39,0,0,137,259
Kamloops--Thompson/Kamloops--Thompson,82,Kamloops ,48,10,60,35,4,1,158,273
Kamloops--Thompson/Kamloops--Thompson,83,Kamloops ,72,6,53,38,3,0,172,385
Kamloops--Thompson/Kamloops--Thompson,84,Kamloops ,41,6,55,24,0,1,127,268
Kamloops--Thompson/Kamloops--Thompson,85,Kamloops ,79,8,63,62,1,0,213,507
Kamloops--Thompson/Kamloops--Thompson,86,Kamloops ,44,9,51,22,4,1,131,287
Kamloops--Thompson/Kamloops--Thompson,87,Kamloops ,53,6,59,37,0,1,156,318
Kamloops--Thompson/Kamloops--Thompson,88,Kamloops ,77,4,69,62,0,0,212,430
Kamloops--Thompson/Kamloops--Thompson,89,Kamloops ,42,15,40,33,4,0,134,330
Kamloops--Thompson/Kamloops--Thompson,90,Kamloops ,66,6,42,47,2,1,164,335
Kamloops--Thompson/Kamloops--Thompson,91,Kamloops ,52,11,54,47,5,0,169,355
Kamloops--Thompson/Kamloops--Thompson,92,Kamloops,62,6,53,22,1,2,146,351
Kamloops--Thompson/Kamloops--Thompson,93,Kamloops ,61,11,82,52,6,1,213,443
Kamloops--Thompson/Kamloops--Thompson,94,Kamloops ,64,6,52,23,0,1,146,312
Kamloops--Thompson/Kamloops--Thompson,95,Kamloops ,80,9,62,47,0,0,198,387
Kamloops--Thompson/Kamloops--Thompson,96,Kamloops ,63,12,105,92,3,1,276,491
Kamloops--Thompson/Kamloops--Thompson,97,Kamloops ,72,13,73,42,1,0,201,485
Kamloops--Thompson/Kamloops--Thompson,98,Kamloops ,76,15,43,55,3,1,193,439
Kamloops--Thompson/Kamloops--Thompson,99,Kamloops ,65,15,60,77,2,1,220,449
Kamloops--Thompson/Kamloops--Thompson,100,Kamloops,43,13,66,93,2,1,218,366
Kamloops--Thompson/Kamloops--Thompson,101,Kamloops ,96,25,83,107,1,4,316,525
Kamloops--Thompson/Kamloops--Thompson,102,Kamloops ,53,15,58,66,0,0,192,365
Kamloops--Thompson/Kamloops--Thompson,103,Kamloops ,81,20,105,121,8,0,335,624
Kamloops--Thompson/Kamloops--Thompson,104,Kamloops,38,9,61,39,1,1,149,284
Kamloops--Thompson/Kamloops--Thompson,105,Kamloops ,73,30,46,84,3,1,237,462
Kamloops--Thompson/Kamloops--Thompson,106,Kamloops ,83,15,83,92,4,1,278,543
Kamloops--Thompson/Kamloops--Thompson,107,Kamloops,71,6,41,76,2,1,197,323
Kamloops--Thompson/Kamloops--Thompson,108,Kamloops ,60,13,56,69,3,1,202,327
Kamloops--Thompson/Kamloops--Thompson,109,Kamloops ,51,18,58,60,1,0,188,300
Kamloops--Thompson/Kamloops--Thompson,110,Kamloops ,55,14,59,58,1,1,188,330
Kamloops--Thompson/Kamloops--Thompson,111,Kamloops ,49,7,64,67,2,1,190,398
Kamloops--Thompson/Kamloops--Thompson,112,Kamloops ,55,9,53,96,0,2,215,315
Kamloops--Thompson/Kamloops--Thompson,113,Kamloops ,62,4,56,70,3,0,195,339
Kamloops--Thompson/Kamloops--Thompson,114,Kamloops ,59,4,71,55,3,0,192,319
Kamloops--Thompson/Kamloops--Thompson,115,Kamloops ,82,15,118,145,2,2,364,654
Kamloops--Thompson/Kamloops--Thompson,116,Kamloops ,75,13,74,91,4,2,259,509
Kamloops--Thompson/Kamloops--Thompson,117,Kamloops ,65,9,53,67,1,1,196,353
Kamloops--Thompson/Kamloops--Thompson,118,Kamloops ,73,10,136,117,0,0,336,591
Kamloops--Thompson/Kamloops--Thompson,119,Kamloops ,78,20,65,102,5,0,270,507
Kamloops--Thompson/Kamloops--Thompson,120,Kamloops ,74,13,148,177,6,5,423,594
Kamloops--Thompson/Kamloops--Thompson,121,Kamloops ,46,8,35,33,1,0,123,220
Kamloops--Thompson/Kamloops--Thompson,122,Kamloops ,72,15,64,117,1,0,269,441
Kamloops--Thompson/Kamloops--Thompson,123,Kamloops ,35,6,77,97,2,0,217,367
Kamloops--Thompson/Kamloops--Thompson,124,Kamloops ,52,9,78,103,1,1,244,404
Kamloops--Thompson/Kamloops--Thompson,125,Kamloops ,42,11,100,97,1,0,251,431
Kamloops--Thompson/Kamloops--Thompson,126A,Kamloops ,46,3,81,75,0,0,205,355
Kamloops--Thompson/Kamloops--Thompson,126B,Kamloops,38,3,65,79,2,2,189,324
Kamloops--Thompson/Kamloops--Thompson,127,Kamloops ,44,6,27,44,0,0,121,214
Kamloops--Thompson/Kamloops--Thompson,128,Kamloops ,40,5,129,150,0,0,324,463
Kamloops--Thompson/Kamloops--Thompson,129,Kamloops ,24,1,49,57,1,0,132,217
Kamloops--Thompson/Kamloops--Thompson,130,Kamloops,86,6,151,126,3,0,372,639
Kamloops--Thompson/Kamloops--Thompson,131,Savona,110,20,208,62,2,0,402,664
Kamloops--Thompson/Kamloops--Thompson,132,Cherry Creek,43,10,96,55,2,0,206,320
Kamloops--Thompson/Kamloops--Thompson,133A,Kamloops ,36,7,66,73,1,0,183,327
Kamloops--Thompson/Kamloops--Thompson,133B,Kamloops,41,16,71,80,5,0,213,362
Kamloops--Thompson/Kamloops--Thompson,134,Kamloops ,69,15,125,92,1,0,302,555
Kamloops--Thompson/Kamloops--Thompson,135,Kamloops,73,10,113,106,2,1,305,510
Kamloops--Thompson/Kamloops--Thompson,136,Kamloops ,63,11,85,90,3,0,252,501
Kamloops--Thompson/Kamloops--Thompson,137,Kamloops,53,10,116,116,1,0,296,505
Kamloops--Thompson/Kamloops--Thompson,138,Kamloops ,44,12,78,124,5,1,264,388
Kamloops--Thompson/Kamloops--Thompson,139,Kamloops ,66,3,150,159,3,3,384,588
Kamloops--Thompson/Kamloops--Thompson,140,Kamloops ,64,8,168,162,2,2,406,616
Kamloops--Thompson/Kamloops--Thompson,141,Kamloops ,44,7,76,86,2,0,215,318
Kamloops--Thompson/Kamloops--Thompson,142,Kamloops,52,12,77,88,4,0,233,362
Kamloops--Thompson/Kamloops--Thompson,143,Kamloops ,53,9,92,92,3,1,250,360
Kamloops--Thompson/Kamloops--Thompson,144,Kamloops,32,10,60,61,0,0,163,336
Kamloops--Thompson/Kamloops--Thompson,145,Kamloops ,70,10,119,171,3,0,373,616
Kamloops--Thompson/Kamloops--Thompson,146,Knutsford--Lac Le Jeune,48,11,149,79,1,1,289,479
Kamloops--Thompson/Kamloops--Thompson,147,Kamloops ,62,8,110,75,4,2,261,411
Kamloops--Thompson/Kamloops--Thompson,148,Kamloops,33,7,84,75,4,0,203,392
Kamloops--Thompson/Kamloops--Thompson,149,Kamloops ,55,14,139,97,2,1,308,498
Kamloops--Thompson/Kamloops--Thompson,150,Kamloops ,81,7,107,80,0,0,275,521
Kamloops--Thompson/Kamloops--Thompson,151,Kamloops ,34,6,88,92,2,0,222,383
Kamloops--Thompson/Kamloops--Thompson,152,Kamloops ,76,12,110,127,4,1,330,510
Kamloops--Thompson/Kamloops--Thompson,153A,Kamloops ,30,10,66,118,2,0,226,351
Kamloops--Thompson/Kamloops--Thompson,153B,Kamloops ,59,7,80,78,3,0,227,364
Kamloops--Thompson/Kamloops--Thompson,154,Kamloops,50,15,103,84,3,0,255,456
Kamloops--Thompson/Kamloops--Thompson,155,Kamloops,68,13,131,97,2,0,311,454
Kamloops--Thompson/Kamloops--Thompson,156,Kamloops,61,8,116,71,0,0,256,466
Kamloops--Thompson/Kamloops--Thompson,157,Kamloops ,74,3,156,53,2,0,288,520
Kamloops--Thompson/Kamloops--Thompson,158,Kamloops ,100,10,115,88,1,1,315,527
Kamloops--Thompson/Kamloops--Thompson,159,Kamloops ,60,11,95,50,2,0,218,428
Kamloops--Thompson/Kamloops--Thompson,160,Kamloops ,50,7,93,60,5,1,216,365
Kamloops--Thompson/Kamloops--Thompson,161,Kamloops ,52,14,81,63,1,0,211,368
Kamloops--Thompson/Kamloops--Thompson,162,Kamloops ,53,7,123,71,3,0,257,412
Kamloops--Thompson/Kamloops--Thompson,163,Kamloops ,46,16,101,60,0,1,224,355
Kamloops--Thompson/Kamloops--Thompson,164A,Kamloops ,56,5,115,58,5,0,239,394
Kamloops--Thompson/Kamloops--Thompson,164B,Kamloops ,37,8,82,57,0,0,184,354
Kamloops--Thompson/Kamloops--Thompson,165,Kamloops--Rivershore,41,3,146,94,6,0,290,422
Kamloops--Thompson/Kamloops--Thompson,166A,Pritchard ,74,11,147,47,1,1,281,441
Kamloops--Thompson/Kamloops--Thompson,166B,Pritchard ,39,8,136,45,0,1,229,333
Kamloops--Thompson/Kamloops--Thompson,167,Kamloops ,43,6,135,94,2,0,280,441
Kamloops--Thompson/Kamloops--Thompson,168,Monte Lake--Westwold,44,15,140,32,0,0,231,383
Kamloops--Thompson/Kamloops--Thompson,500,Mobile poll/Bureau itinérant,31,5,37,17,1,6,97,283
Kamloops--Thompson/Kamloops--Thompson,501,Mobile poll/Bureau itinérant,25,6,29,20,0,2,82,110
Kamloops--Thompson/Kamloops--Thompson,502,Mobile poll/Bureau itinérant,35,2,35,22,0,0,94,119
Kamloops--Thompson/Kamloops--Thompson,600,Thompson-Nicola,11,6,63,13,0,1,94,
Kamloops--Thompson/Kamloops--Thompson,601,Bluewater--Clearwater,51,8,110,35,0,1,205,
Kamloops--Thompson/Kamloops--Thompson,602,One Hundred Mile House,16,2,66,35,0,0,119,
Kamloops--Thompson/Kamloops--Thompson,603,North Thompson--Squaam,47,12,118,45,1,0,223,
Kamloops--Thompson/Kamloops--Thompson,604,Canoe Creek--Clinton,28,2,66,16,0,0,112,
Kamloops--Thompson/Kamloops--Thompson,605,Little Fort--McClure,26,1,43,8,0,0,78,
Kamloops--Thompson/Kamloops--Thompson,606,Kamloops Westsyde,48,4,99,28,3,0,182,
Kamloops--Thompson/Kamloops--Thompson,607,Kamloops Brockelhurst,42,11,84,41,0,0,178,
Kamloops--Thompson/Kamloops--Thompson,608,Kamloops North,115,14,264,110,4,0,507,
Kamloops--Thompson/Kamloops--Thompson,609,Kamloops Central,88,16,241,88,5,2,440,
Kamloops--Thompson/Kamloops--Thompson,610,Kamloops--Sahali--Aberdeen,169,12,256,146,9,2,594,
Kamloops--Thompson/Kamloops--Thompson,611,Kamloops East,141,24,258,196,3,0,622,
Kamloops--Thompson/Kamloops--Thompson,612,Kamloops,89,11,261,169,4,1,535,
Kamloops--Thompson/Kamloops--Thompson,613,Kamloops,82,15,237,124,2,1,461,
Kamloops--Thompson/Kamloops--Thompson,614,Kamloops,116,20,289,118,5,0,548,
Kamloops--Thompson/Kamloops--Thompson,,Group 1/Groupe 1,23,16,65,20,2,1,127,213
Kamloops--Thompson/Kamloops--Thompson,,Group 2/Groupe 2,259,56,475,237,5,10,1042,
