District,Poll Number,Poll Name,Terry Albright,Jonathan Cormier,Bob McVicar,Tom Oland,Jim Wood,Paul Zed,Rejected Ballots,Total Vote,Electors
Saint John/Saint John,130,Saint John,33,8,64,2,4,59,0,170,378
Saint John/Saint John,131,Saint John,25,11,58,2,0,86,1,183,383
Saint John/Saint John,132,Saint John,40,5,66,2,2,120,0,235,407
Saint John/Saint John,133,Saint John,53,7,43,2,4,58,0,167,352
Saint John/Saint John,134,Saint John,50,1,62,1,4,116,3,237,452
Saint John/Saint John,135,Saint John,24,1,84,1,0,130,1,241,385
Saint John/Saint John,136,Saint John,31,4,79,1,1,81,1,198,361
Saint John/Saint John,137,Saint John,28,2,29,1,0,50,2,112,278
Saint John/Saint John,138,Saint John,33,3,42,2,1,46,1,128,343
Saint John/Saint John,139,Saint John,36,1,78,0,0,98,0,213,344
Saint John/Saint John,140,Saint John,42,5,70,0,2,93,2,214,381
Saint John/Saint John,141,Saint John,71,3,64,2,3,148,0,291,531
Saint John/Saint John,142A,Saint John,22,0,76,0,1,60,2,161,260
Saint John/Saint John,142B,Saint John,25,7,63,1,3,116,0,215,341
Saint John/Saint John,143,Saint John,26,8,74,3,4,103,2,220,401
Saint John/Saint John,144,Saint John,20,8,78,0,2,88,0,196,320
Saint John/Saint John,145,Saint John,35,2,77,1,2,108,2,227,426
Saint John/Saint John,146A,Saint John,25,1,64,2,2,84,1,179,306
Saint John/Saint John,146B,Saint John,26,3,65,1,2,72,0,169,300
Saint John/Saint John,147,Saint John,54,4,32,2,0,34,0,126,275
Saint John/Saint John,148,Saint John,54,3,59,3,1,69,0,189,486
Saint John/Saint John,149,Saint John,42,0,48,3,2,42,0,137,345
Saint John/Saint John,150,Saint John,29,3,41,3,5,38,0,119,341
Saint John/Saint John,151,Saint John,30,1,26,1,1,32,0,91,223
Saint John/Saint John,152,Saint John,44,1,44,1,4,49,2,145,314
Saint John/Saint John,153,Saint John,36,2,58,0,4,60,1,161,324
Saint John/Saint John,154,Saint John,36,7,36,0,0,38,0,117,237
Saint John/Saint John,155,Saint John,30,4,60,2,4,102,0,202,411
Saint John/Saint John,156,Saint John,66,9,53,1,3,70,0,202,426
Saint John/Saint John,157,Saint John,43,3,48,1,1,78,2,176,331
Saint John/Saint John,158,Saint John,43,3,66,0,2,82,0,196,414
Saint John/Saint John,159A,Saint John,67,1,60,1,2,74,2,207,376
Saint John/Saint John,159B,Saint John,15,2,46,1,1,71,0,136,289
Saint John/Saint John,160,Saint John,37,5,55,2,1,86,0,186,348
Saint John/Saint John,161,Saint John,47,5,94,1,4,112,2,265,494
Saint John/Saint John,162,Saint John,36,5,58,0,2,70,1,172,351
Saint John/Saint John,163,Saint John,59,5,75,2,2,50,0,193,383
Saint John/Saint John,164,Saint John,49,4,61,4,0,113,1,232,425
Saint John/Saint John,165,Saint John,35,4,57,1,5,55,1,158,309
Saint John/Saint John,166,Saint John,54,5,60,6,8,53,2,188,306
Saint John/Saint John,167,Saint John,29,3,92,2,1,54,1,182,310
Saint John/Saint John,168,Saint John,50,4,88,4,3,62,1,212,382
Saint John/Saint John,169,Saint John,55,4,74,1,3,63,0,200,407
Saint John/Saint John,170,Saint John,33,7,65,3,1,88,0,197,388
Saint John/Saint John,171,Saint John,42,0,52,1,2,28,0,125,225
Saint John/Saint John,172,Saint John,43,7,68,3,5,35,1,162,335
Saint John/Saint John,500,Mobile poll/Bureau itinérant,11,2,35,0,1,32,2,83,157
Saint John/Saint John,501,Mobile poll/Bureau itinérant,10,3,45,2,0,25,1,86,129
Saint John/Saint John,502,Mobile poll/Bureau itinérant,17,3,44,3,0,42,2,111,284
Saint John/Saint John,503,Mobile poll/Bureau itinérant,5,0,27,1,0,67,2,102,219
Saint John/Saint John,600,Quispamsis,33,11,193,2,0,180,2,421,
Saint John/Saint John,601,Rothesay,46,6,174,1,4,261,1,493,
Saint John/Saint John,602,Saint John East,67,10,184,1,1,142,2,407,
Saint John/Saint John,603,Saint John East,73,7,201,10,2,192,3,488,
Saint John/Saint John,604,Saint John East,22,3,58,0,0,47,0,130,
Saint John/Saint John,605,Saint John,23,3,83,0,0,128,3,240,
Saint John/Saint John,606,Saint John,46,4,108,2,2,159,3,324,
Saint John/Saint John,607,Saint John,19,7,63,2,2,122,0,215,
Saint John/Saint John,608,Saint John,23,4,72,0,0,60,1,160,
Saint John/Saint John,609,Saint John West,46,7,149,3,3,214,1,423,
Saint John/Saint John,610,Saint John West,59,10,200,1,1,160,1,432,
Saint John/Saint John,611,Saint John,19,2,57,2,1,40,0,121,
Saint John/Saint John,,Group 1/Groupe 1,15,7,87,2,10,65,0,186,513
Saint John/Saint John,,Group 2/Groupe 2,99,11,232,1,6,476,15,840,
