District,Poll Number,Poll Name,John Baloun,Laurie Hawn,Lyle Kenny,Anne McLellan,Meghan McMaster,Peggy Morton,David J. Parker,Sean Tisdall,Rejected Ballots,Total Vote,Electors
Edmonton Centre/Edmonton-Centre,206,Edmonton,0,121,0,135,6,0,24,1,0,287,463
Edmonton Centre/Edmonton-Centre,207,Edmonton,1,119,2,131,18,0,10,1,0,282,407
Edmonton Centre/Edmonton-Centre,208,Edmonton,0,79,3,59,20,0,6,0,1,168,369
Edmonton Centre/Edmonton-Centre,209,Edmonton,1,112,2,125,24,0,17,1,1,283,404
Edmonton Centre/Edmonton-Centre,210,Edmonton,0,116,0,166,15,1,10,3,3,314,465
Edmonton Centre/Edmonton-Centre,211,Edmonton,0,129,4,126,6,0,12,1,0,278,391
Edmonton Centre/Edmonton-Centre,212,Edmonton,1,122,0,181,3,0,14,0,2,323,499
Edmonton Centre/Edmonton-Centre,213,Edmonton,2,118,4,170,11,0,12,0,1,318,463
Edmonton Centre/Edmonton-Centre,214,Edmonton,0,146,1,166,11,0,9,1,0,334,431
Edmonton Centre/Edmonton-Centre,400A,Edmonton,2,91,3,65,12,0,0,2,1,176,250
Edmonton Centre/Edmonton-Centre,400B,Edmonton,2,89,2,59,17,0,1,4,2,176,231
Edmonton Centre/Edmonton-Centre,401,Edmonton,3,70,4,99,21,1,7,3,3,211,300
Edmonton Centre/Edmonton-Centre,402,Edmonton,0,21,0,37,7,0,3,0,3,71,90
Edmonton Centre/Edmonton-Centre,403,Edmonton,1,14,1,40,3,1,2,2,2,66,82
Edmonton Centre/Edmonton-Centre,404,Edmonton,1,10,2,23,7,0,2,1,2,48,105
Edmonton Centre/Edmonton-Centre,500,Mobile poll/Bureau itinérant,5,49,1,56,8,0,4,1,3,127,182
Edmonton Centre/Edmonton-Centre,501,Mobile poll/Bureau itinérant,3,94,2,108,15,0,10,6,2,240,255
Edmonton Centre/Edmonton-Centre,502,Mobile poll/Bureau itinérant,1,89,3,103,10,0,2,2,8,218,282
Edmonton Centre/Edmonton-Centre,503,Mobile poll/Bureau itinérant,1,52,1,44,5,0,1,0,1,105,139
Edmonton Centre/Edmonton-Centre,504,Mobile poll/Bureau itinérant,3,86,0,61,7,1,1,1,2,162,69
Edmonton Centre/Edmonton-Centre,505,Mobile poll/Bureau itinérant,1,63,1,117,11,0,5,3,0,201,228
Edmonton Centre/Edmonton-Centre,506A,Mobile poll/Bureau itinérant,Merged with No. 505,,,,,,,,,,37
Edmonton Centre/Edmonton-Centre,506B,Mobile poll/Bureau itinérant,0,24,0,106,7,1,1,2,0,141,140
Edmonton Centre/Edmonton-Centre,507,Mobile poll/Bureau itinérant,4,54,1,57,15,1,2,2,0,136,314
Edmonton Centre/Edmonton-Centre,508,Mobile poll/Bureau itinérant,Merged with No. 507,,,,,,,,,,101
Edmonton Centre/Edmonton-Centre,600,Edmonton,4,248,0,145,38,2,27,1,3,468,
Edmonton Centre/Edmonton-Centre,601,Edmonton,2,153,0,88,40,1,15,3,3,305,
Edmonton Centre/Edmonton-Centre,602,Edmonton,0,255,1,105,33,0,5,2,1,402,
Edmonton Centre/Edmonton-Centre,603,Edmonton,0,282,1,283,36,0,15,1,1,619,
Edmonton Centre/Edmonton-Centre,604,Edmonton,3,182,1,205,37,0,21,6,2,457,
Edmonton Centre/Edmonton-Centre,605,Edmonton,2,472,6,566,111,0,36,6,5,1204,
Edmonton Centre/Edmonton-Centre,606,Edmonton,1,136,3,164,38,0,22,4,1,369,
Edmonton Centre/Edmonton-Centre,607,Edmonton,2,167,1,99,16,0,7,3,3,298,
Edmonton Centre/Edmonton-Centre,608,Edmonton,1,180,0,149,19,0,10,0,0,359,
Edmonton Centre/Edmonton-Centre,609,Edmonton,5,262,2,147,17,0,10,3,1,447,
Edmonton Centre/Edmonton-Centre,610,Edmonton,0,260,0,182,14,0,5,2,2,465,
Edmonton Centre/Edmonton-Centre,,Group 1/Groupe 1,2,63,33,90,18,1,19,4,7,237,345
Edmonton Centre/Edmonton-Centre,,Group 2/Groupe 2,5,421,7,420,66,1,38,3,13,974,
