District,Poll Number,Poll Name,Tony Backhurst,Raymond Cho,Kathryn Holloway,Fauzia Khan,Derek Lee,Rejected Ballots,Total Vote,Electors
Scarborough--Rouge River/Scarborough--Rouge River,117,Scarborough,14,26,2,20,74,0,136,337
Scarborough--Rouge River/Scarborough--Rouge River,118A,Scarborough,31,28,2,15,82,2,160,387
Scarborough--Rouge River/Scarborough--Rouge River,118B,Scarborough,26,21,0,10,66,0,123,287
Scarborough--Rouge River/Scarborough--Rouge River,119,Scarborough,28,35,4,25,60,2,154,308
Scarborough--Rouge River/Scarborough--Rouge River,120,Scarborough,36,53,4,26,111,1,231,435
Scarborough--Rouge River/Scarborough--Rouge River,121,Scarborough,14,48,4,15,94,0,175,373
Scarborough--Rouge River/Scarborough--Rouge River,122,Scarborough,41,72,4,25,103,0,245,475
Scarborough--Rouge River/Scarborough--Rouge River,123,Scarborough,30,42,3,30,63,2,170,422
Scarborough--Rouge River/Scarborough--Rouge River,124,Scarborough,22,79,3,14,88,2,208,418
Scarborough--Rouge River/Scarborough--Rouge River,125,Scarborough,20,60,3,32,103,1,219,461
Scarborough--Rouge River/Scarborough--Rouge River,126,Scarborough,17,25,3,18,64,0,127,323
Scarborough--Rouge River/Scarborough--Rouge River,127,Scarborough,28,57,1,19,93,1,199,411
Scarborough--Rouge River/Scarborough--Rouge River,128,Scarborough,23,69,3,17,134,4,250,500
Scarborough--Rouge River/Scarborough--Rouge River,129,Scarborough,22,46,2,11,158,2,241,497
Scarborough--Rouge River/Scarborough--Rouge River,130,Scarborough,18,52,4,32,108,2,216,483
Scarborough--Rouge River/Scarborough--Rouge River,131,Scarborough,11,51,3,25,153,0,243,482
Scarborough--Rouge River/Scarborough--Rouge River,132,Scarborough,23,55,1,28,159,1,267,554
Scarborough--Rouge River/Scarborough--Rouge River,133,Scarborough,31,65,2,36,121,3,258,513
Scarborough--Rouge River/Scarborough--Rouge River,134,Scarborough,26,79,2,14,84,2,207,482
Scarborough--Rouge River/Scarborough--Rouge River,135,Scarborough,22,61,2,23,161,2,271,588
Scarborough--Rouge River/Scarborough--Rouge River,136,Scarborough,40,77,3,27,159,1,307,571
Scarborough--Rouge River/Scarborough--Rouge River,137,Scarborough,27,31,6,24,53,0,141,395
Scarborough--Rouge River/Scarborough--Rouge River,138,Scarborough,21,72,2,27,86,3,211,502
Scarborough--Rouge River/Scarborough--Rouge River,139,Scarborough,9,37,3,14,58,4,125,340
Scarborough--Rouge River/Scarborough--Rouge River,140,Scarborough,10,23,1,16,43,0,93,217
Scarborough--Rouge River/Scarborough--Rouge River,141,Scarborough,18,27,2,26,123,0,196,525
Scarborough--Rouge River/Scarborough--Rouge River,142,Scarborough,28,44,5,14,113,1,205,447
Scarborough--Rouge River/Scarborough--Rouge River,143,Scarborough,33,84,1,26,92,4,240,461
Scarborough--Rouge River/Scarborough--Rouge River,144,Scarborough,31,77,4,24,90,5,231,424
Scarborough--Rouge River/Scarborough--Rouge River,145,Scarborough,36,63,3,21,136,4,263,500
Scarborough--Rouge River/Scarborough--Rouge River,146,Scarborough,15,51,1,36,101,2,206,429
Scarborough--Rouge River/Scarborough--Rouge River,147,Scarborough,30,64,4,21,119,0,238,499
Scarborough--Rouge River/Scarborough--Rouge River,148,Scarborough,27,56,2,26,99,0,210,437
Scarborough--Rouge River/Scarborough--Rouge River,149,Scarborough,27,54,3,26,157,0,267,543
Scarborough--Rouge River/Scarborough--Rouge River,150,Scarborough,21,1,11,9,16,0,58,124
Scarborough--Rouge River/Scarborough--Rouge River,150-1,Scarborough,22,35,6,15,57,1,136,402
Scarborough--Rouge River/Scarborough--Rouge River,400,Scarborough,8,5,3,6,116,0,138,185
Scarborough--Rouge River/Scarborough--Rouge River,401,Scarborough,19,7,1,6,93,0,126,430
Scarborough--Rouge River/Scarborough--Rouge River,402,Scarborough,19,7,0,5,76,2,109,413
Scarborough--Rouge River/Scarborough--Rouge River,403,Scarborough,14,7,0,6,87,0,114,378
Scarborough--Rouge River/Scarborough--Rouge River,404,Scarborough,27,9,3,14,94,0,147,433
Scarborough--Rouge River/Scarborough--Rouge River,405,Scarborough,23,5,3,12,100,0,143,475
Scarborough--Rouge River/Scarborough--Rouge River,406,Scarborough,22,9,5,16,70,3,125,424
Scarborough--Rouge River/Scarborough--Rouge River,407,Scarborough,2,3,1,17,80,0,103,293
Scarborough--Rouge River/Scarborough--Rouge River,408,Scarborough,11,7,2,10,60,0,90,266
Scarborough--Rouge River/Scarborough--Rouge River,409,Scarborough,20,10,3,19,118,0,170,412
Scarborough--Rouge River/Scarborough--Rouge River,410,Scarborough,19,4,3,21,83,1,131,338
Scarborough--Rouge River/Scarborough--Rouge River,411,Scarborough,35,38,4,22,128,0,227,544
Scarborough--Rouge River/Scarborough--Rouge River,412,Scarborough,28,25,3,5,91,4,156,217
Scarborough--Rouge River/Scarborough--Rouge River,413,Scarborough,10,25,3,11,59,2,110,353
Scarborough--Rouge River/Scarborough--Rouge River,414,Scarborough,7,23,3,19,71,0,123,345
Scarborough--Rouge River/Scarborough--Rouge River,415,Scarborough,12,33,1,6,68,0,120,344
Scarborough--Rouge River/Scarborough--Rouge River,416,Scarborough,18,29,2,25,107,0,181,417
Scarborough--Rouge River/Scarborough--Rouge River,417,Scarborough,11,25,2,14,60,3,115,288
Scarborough--Rouge River/Scarborough--Rouge River,418,Scarborough,0,0,0,0,4,0,4,4
Scarborough--Rouge River/Scarborough--Rouge River,600,Toronto,84,28,9,20,240,0,381,
Scarborough--Rouge River/Scarborough--Rouge River,601,Toronto,88,57,10,39,357,2,553,
Scarborough--Rouge River/Scarborough--Rouge River,602,Toronto,46,49,9,37,280,2,423,
Scarborough--Rouge River/Scarborough--Rouge River,603,Toronto,85,27,6,30,277,2,427,
Scarborough--Rouge River/Scarborough--Rouge River,604,Toronto,43,174,4,31,175,3,430,
Scarborough--Rouge River/Scarborough--Rouge River,605,Toronto,74,95,10,43,183,4,409,
Scarborough--Rouge River/Scarborough--Rouge River,606,Toronto,36,89,8,27,173,3,336,
Scarborough--Rouge River/Scarborough--Rouge River,607,Toronto,24,36,4,14,61,1,140,
Scarborough--Rouge River/Scarborough--Rouge River,,Group 1/Groupe 1,9,2,2,5,25,1,44,76
Scarborough--Rouge River/Scarborough--Rouge River,,Group 2/Groupe 2,46,66,9,16,120,2,259,
