District,Poll Number,Poll Name,Andres Esteban Barker,Don H. Bell,Michael Hill,John Nelson,Peggy Stortz,Ted White,Rejected Ballots,Total Vote,Electors
North Vancouver/North Vancouver,98,North Vancouver,4,95,0,35,20,85,1,240,400
North Vancouver/North Vancouver,99,North Vancouver,0,97,2,29,9,108,1,246,405
North Vancouver/North Vancouver,100,North Vancouver,2,146,0,28,21,141,0,338,493
North Vancouver/North Vancouver,101,North Vancouver,0,82,0,38,16,126,1,263,375
North Vancouver/North Vancouver,102,North Vancouver,0,143,1,22,20,130,0,316,454
North Vancouver/North Vancouver,103,North Vancouver,0,112,1,18,8,131,0,270,439
North Vancouver/North Vancouver,104,North Vancouver,0,135,1,20,9,113,0,278,445
North Vancouver/North Vancouver,105,North Vancouver,0,86,0,42,10,93,0,231,365
North Vancouver/North Vancouver,106,North Vancouver,0,82,0,36,6,53,0,177,305
North Vancouver/North Vancouver,107,North Vancouver,0,109,0,27,10,129,0,275,467
North Vancouver/North Vancouver,108A,North Vancouver,0,85,0,46,14,39,0,184,313
North Vancouver/North Vancouver,108B,North Vancouver,1,93,0,49,29,64,1,237,382
North Vancouver/North Vancouver,109,North Vancouver,0,113,0,27,21,96,1,258,397
North Vancouver/North Vancouver,110,North Vancouver,0,123,0,48,22,96,1,290,473
North Vancouver/North Vancouver,111,North Vancouver,0,55,0,17,3,74,0,149,217
North Vancouver/North Vancouver,112,North Vancouver,2,93,0,49,10,95,0,249,377
North Vancouver/North Vancouver,113,North Vancouver,1,66,0,13,5,95,0,180,291
North Vancouver/North Vancouver,114,North Vancouver,3,130,0,54,23,95,0,305,467
North Vancouver/North Vancouver,115A,North Vancouver,0,82,1,25,14,71,0,193,305
North Vancouver/North Vancouver,115B,North Vancouver,0,93,1,25,14,71,0,204,330
North Vancouver/North Vancouver,116,North Vancouver,0,101,0,44,24,113,0,282,460
North Vancouver/North Vancouver,117,North Vancouver,0,92,0,40,15,86,0,233,366
North Vancouver/North Vancouver,118,North Vancouver,1,100,0,32,16,92,0,241,376
North Vancouver/North Vancouver,119,North Vancouver,1,93,0,29,16,117,0,256,380
North Vancouver/North Vancouver,120,North Vancouver,0,102,0,24,19,72,1,218,334
North Vancouver/North Vancouver,121,North Vancouver,0,75,0,37,19,76,1,208,328
North Vancouver/North Vancouver,122,North Vancouver,0,110,0,32,19,117,0,278,389
North Vancouver/North Vancouver,123,North Vancouver,1,137,0,23,11,107,2,281,422
North Vancouver/North Vancouver,124,North Vancouver,0,117,0,73,36,83,0,309,472
North Vancouver/North Vancouver,125,North Vancouver,0,155,0,47,25,90,0,317,471
North Vancouver/North Vancouver,126,North Vancouver,0,131,0,42,18,117,0,308,455
North Vancouver/North Vancouver,127,North Vancouver,1,97,0,56,24,65,1,244,459
North Vancouver/North Vancouver,128,North Vancouver,2,112,0,46,19,81,1,261,417
North Vancouver/North Vancouver,129,North Vancouver,0,94,0,16,9,120,0,239,329
North Vancouver/North Vancouver,130,North Vancouver,1,131,0,32,18,81,0,263,420
North Vancouver/North Vancouver,131,North Vancouver,0,65,0,27,13,60,1,166,279
North Vancouver/North Vancouver,132,North Vancouver,Merged with No. 135A,,,,,,,,129
North Vancouver/North Vancouver,133,North Vancouver,5,149,0,54,21,94,0,323,503
North Vancouver/North Vancouver,134,North Vancouver,2,106,2,88,16,82,1,297,496
North Vancouver/North Vancouver,135A,North Vancouver,1,79,0,27,14,60,0,181,217
North Vancouver/North Vancouver,135B,North Vancouver,2,75,0,42,11,33,1,164,300
North Vancouver/North Vancouver,136,North Vancouver,Merged with No. 144,,,,,,,,241
North Vancouver/North Vancouver,137,North Vancouver,0,68,0,40,14,72,0,194,306
North Vancouver/North Vancouver,138,North Vancouver,0,116,0,60,24,72,2,274,457
North Vancouver/North Vancouver,139,North Vancouver,0,66,0,24,8,80,0,178,279
North Vancouver/North Vancouver,140,North Vancouver,0,101,0,35,12,75,0,223,417
North Vancouver/North Vancouver,141,North Vancouver,0,102,0,47,18,79,2,248,425
North Vancouver/North Vancouver,142,North Vancouver,5,99,1,50,12,93,0,260,418
North Vancouver/North Vancouver,143,North Vancouver,0,59,0,37,26,84,0,206,360
North Vancouver/North Vancouver,144,North Vancouver,1,136,2,49,30,82,0,300,262
North Vancouver/North Vancouver,145,North Vancouver,2,80,1,53,9,49,2,196,327
North Vancouver/North Vancouver,146,North Vancouver,2,55,0,75,19,27,0,178,414
North Vancouver/North Vancouver,147,North Vancouver,0,60,0,50,21,51,1,183,346
North Vancouver/North Vancouver,148,North Vancouver,0,77,0,47,14,66,0,204,345
North Vancouver/North Vancouver,149,North Vancouver,1,102,0,56,15,80,1,255,459
North Vancouver/North Vancouver,150A,North Vancouver,1,107,1,55,25,65,0,254,422
North Vancouver/North Vancouver,150B,North Vancouver,Merged with No. 151,,,,,,,,140
North Vancouver/North Vancouver,151,North Vancouver,2,88,0,62,21,71,4,248,300
North Vancouver/North Vancouver,152,North Vancouver,0,65,0,50,14,54,1,184,335
North Vancouver/North Vancouver,153,North Vancouver,1,95,2,61,29,62,2,252,484
North Vancouver/North Vancouver,154,North Vancouver,0,95,0,49,9,82,1,236,401
North Vancouver/North Vancouver,155,North Vancouver,0,78,1,37,22,77,0,215,357
North Vancouver/North Vancouver,156A,North Vancouver,2,71,1,53,18,71,0,216,369
North Vancouver/North Vancouver,156B,Mobile poll/Bureau itinérant,Merged with No. 500,,,,,,,,97
North Vancouver/North Vancouver,157,North Vancouver,2,98,1,64,21,120,1,307,505
North Vancouver/North Vancouver,158,North Vancouver,1,50,0,32,11,40,0,134,264
North Vancouver/North Vancouver,159,North Vancouver,Merged with No. 160,,,,,,,,203
North Vancouver/North Vancouver,160,North Vancouver,3,85,2,70,31,73,0,264,278
North Vancouver/North Vancouver,161,North Vancouver,2,62,1,32,17,66,1,181,312
North Vancouver/North Vancouver,162,North Vancouver,1,92,0,52,13,100,0,258,431
North Vancouver/North Vancouver,163,North Vancouver,0,59,0,56,10,61,1,187,350
North Vancouver/North Vancouver,164,North Vancouver,0,141,0,48,9,107,2,307,523
North Vancouver/North Vancouver,165,North Vancouver,1,87,0,51,15,68,0,222,497
North Vancouver/North Vancouver,166,North Vancouver,2,75,0,42,7,54,1,181,296
North Vancouver/North Vancouver,167,North Vancouver,0,83,0,57,22,51,1,214,371
North Vancouver/North Vancouver,168,North Vancouver,1,117,1,70,23,55,0,267,451
North Vancouver/North Vancouver,169,North Vancouver,0,93,0,31,17,92,0,233,373
North Vancouver/North Vancouver,170,North Vancouver,0,71,0,38,13,52,2,176,306
North Vancouver/North Vancouver,171,North Vancouver,Merged with No. 196,,,,,,,,264
North Vancouver/North Vancouver,172,North Vancouver,3,93,1,60,24,53,0,234,416
North Vancouver/North Vancouver,173,North Vancouver,0,63,0,52,16,57,1,189,325
North Vancouver/North Vancouver,174,North Vancouver,0,73,0,48,8,56,1,186,351
North Vancouver/North Vancouver,175,North Vancouver,0,55,0,45,15,43,3,161,304
North Vancouver/North Vancouver,176,North Vancouver,0,47,0,64,17,38,0,166,336
North Vancouver/North Vancouver,177,North Vancouver,No poll held,,,,,,,,65
North Vancouver/North Vancouver,178,North Vancouver,1,59,0,50,16,60,0,186,303
North Vancouver/North Vancouver,179,North Vancouver,0,94,1,56,28,98,2,279,438
North Vancouver/North Vancouver,180,North Vancouver,1,120,1,56,27,105,2,312,432
North Vancouver/North Vancouver,181,North Vancouver,1,117,0,39,22,72,1,252,394
North Vancouver/North Vancouver,182,North Vancouver,2,59,1,47,17,63,1,190,354
North Vancouver/North Vancouver,183,North Vancouver,0,82,0,53,13,61,0,209,327
North Vancouver/North Vancouver,184,North Vancouver,0,95,1,48,19,65,1,229,398
North Vancouver/North Vancouver,185,North Vancouver,2,101,0,54,22,80,2,261,457
North Vancouver/North Vancouver,186,North Vancouver,0,119,1,56,26,83,2,287,529
North Vancouver/North Vancouver,187,North Vancouver,1,107,2,55,21,94,1,281,477
North Vancouver/North Vancouver,188,North Vancouver,0,56,1,61,13,57,0,188,361
North Vancouver/North Vancouver,189,North Vancouver,1,128,0,79,25,84,1,318,496
North Vancouver/North Vancouver,190,North Vancouver,1,82,1,66,23,52,1,226,427
North Vancouver/North Vancouver,191,North Vancouver,1,109,1,45,29,94,2,281,413
North Vancouver/North Vancouver,192,North Vancouver,0,133,1,63,23,71,3,294,433
North Vancouver/North Vancouver,193,North Vancouver,2,87,0,47,18,90,0,244,434
North Vancouver/North Vancouver,194,North Vancouver,0,61,0,31,12,93,1,198,366
North Vancouver/North Vancouver,195,North Vancouver,0,112,0,49,25,88,3,277,431
North Vancouver/North Vancouver,196,North Vancouver,0,115,2,68,40,108,0,333,343
North Vancouver/North Vancouver,197,North Vancouver,0,108,0,32,24,95,2,261,442
North Vancouver/North Vancouver,198,North Vancouver,0,138,1,23,8,102,0,272,445
North Vancouver/North Vancouver,199,North Vancouver,1,120,0,49,22,100,3,295,464
North Vancouver/North Vancouver,200,North Vancouver,Merged with No. 79,,,,,,,,88
North Vancouver/North Vancouver,201,North Vancouver,1,102,1,43,20,103,0,270,427
North Vancouver/North Vancouver,202,North Vancouver,0,109,0,45,29,80,0,263,392
North Vancouver/North Vancouver,203,North Vancouver,3,106,0,71,14,72,0,266,387
North Vancouver/North Vancouver,204,North Vancouver,1,51,0,53,18,56,1,180,324
North Vancouver/North Vancouver,205,North Vancouver,1,83,0,84,20,71,2,261,435
North Vancouver/North Vancouver,206,North Vancouver,3,85,0,30,25,80,0,223,340
North Vancouver/North Vancouver,207,North Vancouver,1,106,0,48,31,90,0,276,257
North Vancouver/North Vancouver,400,North Vancouver,1,10,2,14,2,26,0,55,64
North Vancouver/North Vancouver,500,Mobile poll/Bureau itinérant,0,71,1,23,5,44,3,147,79
North Vancouver/North Vancouver,600,North Vancouver,1,166,0,32,18,212,0,429,
North Vancouver/North Vancouver,601,North Vancouver,1,124,0,15,27,169,4,340,
North Vancouver/North Vancouver,602,North Vancouver,1,161,1,42,29,199,0,433,
North Vancouver/North Vancouver,603,North Vancouver,3,207,1,78,49,241,2,581,
North Vancouver/North Vancouver,604,North Vancouver,1,138,0,59,34,154,1,387,
North Vancouver/North Vancouver,605,North Vancouver,3,137,0,57,27,197,2,423,
North Vancouver/North Vancouver,606,North Vancouver,0,116,2,58,24,138,0,338,
North Vancouver/North Vancouver,607,North Vancouver,5,117,0,104,38,171,0,435,
North Vancouver/North Vancouver,608,North Vancouver,1,173,0,61,37,217,0,489,
North Vancouver/North Vancouver,609,North Vancouver,2,278,0,95,31,397,3,806,
North Vancouver/North Vancouver,,Group 1/Groupe 1,1,55,1,18,11,44,1,131,183
North Vancouver/North Vancouver,,Group 2/Groupe 2,2,273,2,96,62,347,12,794,
