District,Poll Number,Poll Name,Rob Anders,James S. Kohut,Tim Patterson,Danielle Roberts,Justin Thompson,André Vachon,Rejected Ballots,Total Vote,Electors
Calgary West/Calgary-Ouest,16B,Calgary,117,1,7,8,65,0,0,198,312
Calgary West/Calgary-Ouest,17A,Calgary,101,4,7,12,48,0,1,173,241
Calgary West/Calgary-Ouest,17B,Calgary,105,2,10,12,52,1,3,185,279
Calgary West/Calgary-Ouest,18,Calgary,117,0,9,22,58,0,0,206,323
Calgary West/Calgary-Ouest,19,Calgary,177,1,14,9,103,0,0,304,493
Calgary West/Calgary-Ouest,20,Calgary,141,2,10,20,92,0,0,265,422
Calgary West/Calgary-Ouest,21,Calgary,152,2,14,23,104,1,1,297,438
Calgary West/Calgary-Ouest,22,Calgary,92,2,5,8,60,0,0,167,236
Calgary West/Calgary-Ouest,23,Calgary,137,4,19,19,72,0,2,253,380
Calgary West/Calgary-Ouest,24,Calgary,92,1,6,14,52,0,0,165,277
Calgary West/Calgary-Ouest,25,Calgary,148,2,6,14,80,0,0,250,424
Calgary West/Calgary-Ouest,26,Calgary,165,0,16,25,95,0,1,302,483
Calgary West/Calgary-Ouest,27,Calgary,144,0,22,22,80,0,1,269,449
Calgary West/Calgary-Ouest,28,Calgary,158,0,18,22,75,0,0,273,455
Calgary West/Calgary-Ouest,29,Calgary,130,1,13,22,50,0,1,217,333
Calgary West/Calgary-Ouest,30,Calgary,145,1,14,20,64,0,2,246,384
Calgary West/Calgary-Ouest,31,Calgary,146,2,26,20,69,0,1,264,384
Calgary West/Calgary-Ouest,32,Calgary,73,0,11,10,32,0,1,127,248
Calgary West/Calgary-Ouest,33A,Calgary,84,2,11,26,43,0,0,166,272
Calgary West/Calgary-Ouest,33B,Calgary,83,1,18,17,27,1,1,148,230
Calgary West/Calgary-Ouest,34,Calgary,150,1,11,22,118,0,1,303,445
Calgary West/Calgary-Ouest,35,Calgary,131,0,19,34,75,0,0,259,402
Calgary West/Calgary-Ouest,36,Calgary,150,0,18,20,56,1,1,246,368
Calgary West/Calgary-Ouest,37,Calgary,161,2,11,26,72,1,0,273,425
Calgary West/Calgary-Ouest,38,Calgary,129,1,23,20,81,1,0,255,365
Calgary West/Calgary-Ouest,39A,Calgary,178,0,20,11,54,0,0,263,409
Calgary West/Calgary-Ouest,39B,Calgary,147,0,11,7,69,1,1,236,407
Calgary West/Calgary-Ouest,40,Calgary,220,5,10,8,68,0,0,311,488
Calgary West/Calgary-Ouest,41,Calgary,138,2,10,6,53,0,0,209,328
Calgary West/Calgary-Ouest,42,Calgary,123,2,19,9,51,0,0,204,320
Calgary West/Calgary-Ouest,43A,Calgary,99,1,4,9,25,0,0,138,245
Calgary West/Calgary-Ouest,43B,Calgary,103,1,12,13,57,0,2,188,320
Calgary West/Calgary-Ouest,44A,Calgary,114,1,14,7,76,1,0,213,372
Calgary West/Calgary-Ouest,44B,Calgary,123,1,13,4,80,0,1,222,357
Calgary West/Calgary-Ouest,45,Calgary,Merged with No. 44B,,,,,,,,5
Calgary West/Calgary-Ouest,46A,Calgary,150,1,18,15,28,2,0,214,350
Calgary West/Calgary-Ouest,46B,Calgary,182,3,18,18,40,1,1,263,411
Calgary West/Calgary-Ouest,47,Calgary,113,2,11,14,41,1,2,184,329
Calgary West/Calgary-Ouest,48,Calgary,118,2,18,23,37,0,2,200,359
Calgary West/Calgary-Ouest,49,Calgary,88,3,18,18,43,0,0,170,306
Calgary West/Calgary-Ouest,50,Calgary,116,2,22,35,54,1,1,231,418
Calgary West/Calgary-Ouest,51,Calgary,74,2,18,13,19,1,0,127,297
Calgary West/Calgary-Ouest,52,Calgary,84,1,9,24,21,0,1,140,338
Calgary West/Calgary-Ouest,53,Calgary,73,3,13,9,33,0,1,132,349
Calgary West/Calgary-Ouest,54,Calgary,90,0,19,24,19,0,3,155,269
Calgary West/Calgary-Ouest,55,Calgary,129,3,23,16,28,2,1,202,232
Calgary West/Calgary-Ouest,56,Calgary,129,2,13,24,34,0,1,203,373
Calgary West/Calgary-Ouest,57,Calgary,119,2,18,13,34,1,0,187,363
Calgary West/Calgary-Ouest,58,Calgary,116,2,25,25,27,0,1,196,318
Calgary West/Calgary-Ouest,59,Calgary,Merged with No. 55,,,,,,,,208
Calgary West/Calgary-Ouest,60,Calgary,94,1,18,16,22,0,0,151,343
Calgary West/Calgary-Ouest,61,Calgary,116,2,25,15,38,1,0,197,447
Calgary West/Calgary-Ouest,62,Calgary,153,2,22,20,28,0,3,228,456
Calgary West/Calgary-Ouest,63A,Calgary,54,1,15,12,21,1,0,104,246
Calgary West/Calgary-Ouest,63B,Calgary,80,0,13,21,12,0,2,128,284
Calgary West/Calgary-Ouest,64,Calgary,54,0,16,12,24,1,0,107,269
Calgary West/Calgary-Ouest,65,Calgary,136,2,22,11,77,0,1,249,347
Calgary West/Calgary-Ouest,66,Calgary,144,1,36,23,87,0,0,291,422
Calgary West/Calgary-Ouest,67,Calgary,130,2,19,38,70,0,0,259,398
Calgary West/Calgary-Ouest,68,Calgary,111,2,30,30,70,0,1,244,366
Calgary West/Calgary-Ouest,69,Calgary,141,2,18,26,76,0,0,263,410
Calgary West/Calgary-Ouest,70,Calgary,125,0,14,30,100,0,0,269,425
Calgary West/Calgary-Ouest,71,Calgary,163,1,11,18,96,0,1,290,422
Calgary West/Calgary-Ouest,72,Calgary,123,0,3,7,68,0,1,202,366
Calgary West/Calgary-Ouest,73,Calgary,155,1,10,16,92,0,3,277,403
Calgary West/Calgary-Ouest,74,Calgary,177,2,15,18,100,0,0,312,508
Calgary West/Calgary-Ouest,75,Calgary,100,0,9,18,74,0,2,203,331
Calgary West/Calgary-Ouest,76,Calgary,121,0,17,26,81,1,0,246,364
Calgary West/Calgary-Ouest,77,Calgary,105,0,9,24,70,0,0,208,335
Calgary West/Calgary-Ouest,78,Calgary,109,3,23,26,88,1,3,253,357
Calgary West/Calgary-Ouest,79,Calgary,71,2,31,13,60,1,1,179,299
Calgary West/Calgary-Ouest,80,Calgary,169,1,5,20,108,2,2,307,439
Calgary West/Calgary-Ouest,81,Calgary,123,0,22,19,76,0,0,240,403
Calgary West/Calgary-Ouest,82,Calgary,136,1,19,21,75,1,0,253,387
Calgary West/Calgary-Ouest,83,Calgary,133,0,11,14,46,2,0,206,318
Calgary West/Calgary-Ouest,84A,Calgary,83,0,11,9,52,0,0,155,257
Calgary West/Calgary-Ouest,84B,Calgary,98,0,19,13,47,0,0,177,288
Calgary West/Calgary-Ouest,85,Calgary,82,1,16,15,63,0,2,179,258
Calgary West/Calgary-Ouest,86,Calgary,Void,,,,,,,,
Calgary West/Calgary-Ouest,87,Calgary,105,1,25,29,74,0,0,234,403
Calgary West/Calgary-Ouest,88,Calgary,60,1,17,14,38,0,0,130,254
Calgary West/Calgary-Ouest,89,Calgary,99,0,15,23,83,1,0,221,343
Calgary West/Calgary-Ouest,90,Calgary,95,0,8,11,52,1,1,168,280
Calgary West/Calgary-Ouest,91,Calgary,120,0,14,18,66,0,0,218,304
Calgary West/Calgary-Ouest,92,Calgary,118,1,14,21,101,1,0,256,458
Calgary West/Calgary-Ouest,93A,Calgary,63,2,12,13,36,0,0,126,236
Calgary West/Calgary-Ouest,93B,Calgary,70,1,15,16,40,0,0,142,275
Calgary West/Calgary-Ouest,94,Calgary,117,1,12,25,54,1,1,211,312
Calgary West/Calgary-Ouest,95,Calgary,127,2,24,23,59,2,0,237,440
Calgary West/Calgary-Ouest,96A,Calgary,45,2,13,9,35,0,0,104,209
Calgary West/Calgary-Ouest,96B,Mobile poll/Bureau itinérant,Merged with No. 505,,,,,,,,42
Calgary West/Calgary-Ouest,97,Calgary,95,2,28,30,28,0,2,185,370
Calgary West/Calgary-Ouest,98,Calgary,81,1,34,28,38,2,1,185,381
Calgary West/Calgary-Ouest,99,Calgary,87,7,24,20,70,1,1,210,341
Calgary West/Calgary-Ouest,100A,Calgary,73,4,24,15,27,0,0,143,267
Calgary West/Calgary-Ouest,100B,Calgary,73,8,15,24,26,0,0,146,258
Calgary West/Calgary-Ouest,101,Calgary,99,1,21,19,53,0,0,193,338
Calgary West/Calgary-Ouest,102,Calgary,35,0,17,12,32,0,1,97,222
Calgary West/Calgary-Ouest,103,Calgary,Merged with No. 102,,,,,,,,72
Calgary West/Calgary-Ouest,104,Calgary,128,0,10,28,137,1,5,309,449
Calgary West/Calgary-Ouest,105,Calgary,93,1,11,22,95,0,0,222,306
Calgary West/Calgary-Ouest,106,Calgary,26,0,6,8,30,0,0,70,156
Calgary West/Calgary-Ouest,107,Calgary,37,0,13,12,42,0,0,104,196
Calgary West/Calgary-Ouest,108,Calgary,81,0,32,18,73,1,1,206,357
Calgary West/Calgary-Ouest,109,Calgary,Void,,,,,,,,
Calgary West/Calgary-Ouest,110,Calgary,69,1,16,13,53,0,1,153,264
Calgary West/Calgary-Ouest,111,Calgary,61,0,5,18,35,0,1,120,207
Calgary West/Calgary-Ouest,112,Calgary,87,5,12,24,74,0,0,202,312
Calgary West/Calgary-Ouest,113,Calgary,75,2,7,21,76,0,0,181,292
Calgary West/Calgary-Ouest,114,Calgary,65,3,17,22,70,0,1,178,291
Calgary West/Calgary-Ouest,115,Mobile poll/Bureau itinérant,Merged with No. 503,,,,,,,,145
Calgary West/Calgary-Ouest,116,Calgary,Merged with No. 117,,,,,,,,104
Calgary West/Calgary-Ouest,117,Calgary,52,1,17,18,64,0,0,152,217
Calgary West/Calgary-Ouest,118,Calgary,93,0,14,13,104,1,0,225,349
Calgary West/Calgary-Ouest,119,Calgary,71,0,16,24,120,0,1,232,345
Calgary West/Calgary-Ouest,120,Calgary,84,2,19,29,82,0,1,217,326
Calgary West/Calgary-Ouest,121,Calgary,88,0,15,28,92,0,2,225,388
Calgary West/Calgary-Ouest,122,Calgary,90,2,19,25,64,0,0,200,339
Calgary West/Calgary-Ouest,123,Calgary,96,1,22,23,110,1,0,253,391
Calgary West/Calgary-Ouest,124,Calgary,106,0,22,30,96,0,1,255,416
Calgary West/Calgary-Ouest,125,Calgary,107,0,24,27,62,0,0,220,435
Calgary West/Calgary-Ouest,126,Calgary,110,0,12,23,67,0,1,213,390
Calgary West/Calgary-Ouest,127A,Calgary,79,1,11,14,36,0,0,141,244
Calgary West/Calgary-Ouest,127B,Calgary,89,1,9,14,42,1,0,156,251
Calgary West/Calgary-Ouest,128,Calgary,89,3,14,14,41,0,0,161,269
Calgary West/Calgary-Ouest,129,Calgary,105,2,15,29,47,3,3,204,351
Calgary West/Calgary-Ouest,130A,Calgary,25,0,9,2,13,0,0,49,117
Calgary West/Calgary-Ouest,130B,Mobile poll/Bureau itinérant,Merged with No. 503,,,,,,,,76
Calgary West/Calgary-Ouest,131,Calgary,77,1,17,12,58,0,1,166,434
Calgary West/Calgary-Ouest,132,Calgary,80,1,13,5,36,0,1,136,221
Calgary West/Calgary-Ouest,133,Calgary,118,0,18,26,30,0,0,192,379
Calgary West/Calgary-Ouest,134,Calgary,119,2,15,23,30,0,0,189,341
Calgary West/Calgary-Ouest,135,Calgary,95,4,24,14,47,2,0,186,364
Calgary West/Calgary-Ouest,136A,Calgary,48,1,13,7,24,1,1,95,169
Calgary West/Calgary-Ouest,136B,Mobile poll/Bureau itinérant,Merged with No. 501,,,,,,,,67
Calgary West/Calgary-Ouest,137,Calgary,115,2,15,27,70,0,1,230,409
Calgary West/Calgary-Ouest,138,Calgary,82,1,2,6,34,0,0,125,254
Calgary West/Calgary-Ouest,139,Calgary,124,0,13,5,79,0,0,221,390
Calgary West/Calgary-Ouest,140,Calgary,85,2,10,17,36,1,1,152,226
Calgary West/Calgary-Ouest,141A,Calgary,61,1,8,9,45,0,0,124,240
Calgary West/Calgary-Ouest,141B,Calgary,78,0,11,3,51,1,0,144,261
Calgary West/Calgary-Ouest,142A,Calgary,109,0,7,8,50,0,0,174,322
Calgary West/Calgary-Ouest,142B,Calgary,113,0,4,10,41,1,0,169,307
Calgary West/Calgary-Ouest,143,Calgary,134,0,11,15,76,0,0,236,439
Calgary West/Calgary-Ouest,144A,Calgary,83,2,13,10,41,0,2,151,272
Calgary West/Calgary-Ouest,144B,Calgary,69,1,18,8,31,0,0,127,258
Calgary West/Calgary-Ouest,145,Calgary,91,2,17,12,48,0,1,171,258
Calgary West/Calgary-Ouest,146,Calgary,127,7,27,18,71,1,0,251,401
Calgary West/Calgary-Ouest,147,Calgary,67,0,4,24,51,0,0,146,241
Calgary West/Calgary-Ouest,148,Calgary,94,4,6,5,58,0,2,169,283
Calgary West/Calgary-Ouest,149,Calgary,167,1,9,18,87,0,1,283,478
Calgary West/Calgary-Ouest,150,Calgary,73,0,19,12,43,1,0,148,323
Calgary West/Calgary-Ouest,151A,Calgary,102,1,13,29,65,0,2,212,339
Calgary West/Calgary-Ouest,151B,Calgary,66,0,8,9,39,0,0,122,171
Calgary West/Calgary-Ouest,152,Calgary,146,1,20,35,96,0,2,300,389
Calgary West/Calgary-Ouest,153,Calgary,161,0,10,26,88,1,1,287,375
Calgary West/Calgary-Ouest,154,Calgary,98,0,11,28,38,1,0,176,293
Calgary West/Calgary-Ouest,155,Calgary,112,3,27,37,57,1,2,239,338
Calgary West/Calgary-Ouest,156A,Calgary,185,1,19,21,96,1,2,325,480
Calgary West/Calgary-Ouest,156B,Calgary,185,1,15,16,110,0,3,330,541
Calgary West/Calgary-Ouest,156C,Calgary,119,1,9,11,86,0,1,227,384
Calgary West/Calgary-Ouest,156D,Calgary,178,3,22,16,108,0,0,327,498
Calgary West/Calgary-Ouest,156E,Calgary,138,3,13,14,81,0,0,249,398
Calgary West/Calgary-Ouest,156F,Calgary,101,0,8,10,59,0,0,178,294
Calgary West/Calgary-Ouest,157,Calgary,97,4,8,9,38,0,0,156,194
Calgary West/Calgary-Ouest,158A,Calgary,170,0,13,18,98,0,1,300,533
Calgary West/Calgary-Ouest,158B,Calgary,165,2,10,19,99,0,1,296,509
Calgary West/Calgary-Ouest,159A,Calgary,148,1,8,19,87,0,0,263,463
Calgary West/Calgary-Ouest,159B,Calgary,197,2,7,16,96,0,0,318,505
Calgary West/Calgary-Ouest,160A,Calgary,179,2,19,25,69,0,1,295,479
Calgary West/Calgary-Ouest,160B,Calgary,188,1,9,21,65,1,0,285,453
Calgary West/Calgary-Ouest,161A,Calgary,147,1,6,19,59,0,1,233,352
Calgary West/Calgary-Ouest,161B,Calgary,160,0,8,9,82,0,0,259,392
Calgary West/Calgary-Ouest,162A,Calgary,142,2,16,11,82,0,0,253,410
Calgary West/Calgary-Ouest,162B,Calgary,168,1,11,22,66,0,1,269,444
Calgary West/Calgary-Ouest,163A,Calgary,94,2,4,13,43,0,0,156,291
Calgary West/Calgary-Ouest,163B,Calgary,85,0,4,6,35,0,1,131,246
Calgary West/Calgary-Ouest,164A,Calgary,150,0,8,7,47,0,1,213,356
Calgary West/Calgary-Ouest,164B,Calgary,150,0,7,8,55,0,0,220,365
Calgary West/Calgary-Ouest,165A,Calgary,110,1,9,7,48,0,0,175,298
Calgary West/Calgary-Ouest,165B,Calgary,102,1,8,11,78,0,0,200,320
Calgary West/Calgary-Ouest,166,Calgary,147,1,14,19,100,3,2,286,458
Calgary West/Calgary-Ouest,167,Calgary,66,0,12,8,63,0,1,150,256
Calgary West/Calgary-Ouest,168,Calgary,110,1,17,27,75,1,0,231,425
Calgary West/Calgary-Ouest,169,Calgary,114,1,7,20,81,0,0,223,312
Calgary West/Calgary-Ouest,170,Calgary,109,1,9,25,93,0,1,238,352
Calgary West/Calgary-Ouest,171,Calgary,163,2,8,21,89,0,1,284,412
Calgary West/Calgary-Ouest,172,Calgary,125,0,22,19,103,1,0,270,457
Calgary West/Calgary-Ouest,173,Calgary,141,0,11,25,77,0,0,254,402
Calgary West/Calgary-Ouest,174,Calgary,156,2,16,15,97,0,1,287,500
Calgary West/Calgary-Ouest,175A,Calgary,92,0,8,6,42,0,0,148,248
Calgary West/Calgary-Ouest,175B,Calgary,97,0,5,10,43,0,0,155,255
Calgary West/Calgary-Ouest,176,Calgary,96,1,8,11,66,1,0,183,305
Calgary West/Calgary-Ouest,177,Calgary,62,1,4,5,34,0,0,106,225
Calgary West/Calgary-Ouest,178A,Calgary,100,0,6,18,58,0,0,182,339
Calgary West/Calgary-Ouest,178B,Calgary,98,0,2,13,42,0,1,156,287
Calgary West/Calgary-Ouest,179,Calgary,141,3,10,21,72,0,1,248,505
Calgary West/Calgary-Ouest,180A,Calgary,95,0,5,4,55,0,0,159,299
Calgary West/Calgary-Ouest,180B,Calgary,84,0,5,2,39,0,0,130,285
Calgary West/Calgary-Ouest,181,Calgary,112,0,17,5,77,1,1,213,316
Calgary West/Calgary-Ouest,182,Calgary,163,0,9,19,76,0,0,267,395
Calgary West/Calgary-Ouest,183A,Calgary,125,1,7,20,85,0,2,240,373
Calgary West/Calgary-Ouest,183B,Calgary,128,2,5,11,64,0,1,211,378
Calgary West/Calgary-Ouest,184,Calgary,159,1,10,11,86,1,2,270,386
Calgary West/Calgary-Ouest,185,Calgary,184,1,17,14,68,0,0,284,413
Calgary West/Calgary-Ouest,186,Calgary,81,0,3,5,40,1,0,130,204
Calgary West/Calgary-Ouest,187A,Calgary,85,0,3,17,45,0,0,150,273
Calgary West/Calgary-Ouest,187B,Calgary,78,0,6,6,37,1,0,128,245
Calgary West/Calgary-Ouest,188,Calgary,91,1,10,15,90,1,1,209,388
Calgary West/Calgary-Ouest,189,Calgary,108,1,7,12,79,0,0,207,402
Calgary West/Calgary-Ouest,190,Calgary,212,0,20,21,58,0,2,313,311
Calgary West/Calgary-Ouest,191,Calgary,Merged with No. 190,,,,,,,,244
Calgary West/Calgary-Ouest,192,Calgary,134,0,10,11,59,0,1,215,368
Calgary West/Calgary-Ouest,193,Calgary,97,0,10,16,69,0,3,195,355
Calgary West/Calgary-Ouest,194,Calgary,156,2,13,13,96,0,0,280,358
Calgary West/Calgary-Ouest,195,Calgary,171,2,23,15,92,0,0,303,453
Calgary West/Calgary-Ouest,196,Calgary,133,2,17,15,82,0,0,249,372
Calgary West/Calgary-Ouest,197,Calgary,77,0,8,12,62,0,1,160,233
Calgary West/Calgary-Ouest,198,Calgary,120,1,14,16,61,0,1,213,454
Calgary West/Calgary-Ouest,199,Calgary,120,0,10,15,45,1,0,191,369
Calgary West/Calgary-Ouest,400,Calgary,77,2,11,6,54,0,0,150,171
Calgary West/Calgary-Ouest,500,Mobile poll/Bureau itinérant,91,1,8,5,42,0,6,153,200
Calgary West/Calgary-Ouest,501,Mobile poll/Bureau itinérant,92,4,14,5,47,2,4,168,180
Calgary West/Calgary-Ouest,502,Mobile poll/Bureau itinérant,56,1,3,4,12,0,0,76,99
Calgary West/Calgary-Ouest,503,Mobile poll/Bureau itinérant,148,5,24,6,67,2,5,257,91
Calgary West/Calgary-Ouest,504,Mobile poll/Bureau itinérant,62,2,5,3,31,0,4,107,149
Calgary West/Calgary-Ouest,505,Mobile poll/Bureau itinérant,83,1,6,3,37,0,0,130,121
Calgary West/Calgary-Ouest,600,Calgary,715,7,69,57,232,0,2,1082,
Calgary West/Calgary-Ouest,601,Calgary,297,1,36,30,84,0,2,450,
Calgary West/Calgary-Ouest,602,Calgary,218,1,25,22,104,2,0,372,
Calgary West/Calgary-Ouest,603,Calgary,234,1,40,57,124,0,0,456,
Calgary West/Calgary-Ouest,604,Calgary,188,1,31,37,139,1,0,397,
Calgary West/Calgary-Ouest,605,Calgary,310,1,20,24,128,1,2,486,
Calgary West/Calgary-Ouest,606,Calgary,387,2,19,21,129,0,0,558,
Calgary West/Calgary-Ouest,607,Calgary,376,2,15,39,157,1,1,591,
Calgary West/Calgary-Ouest,608,Calgary,390,1,13,29,118,1,1,553,
Calgary West/Calgary-Ouest,,Group 1/Groupe 1,43,0,11,3,29,0,6,92,175
Calgary West/Calgary-Ouest,,Group 2/Groupe 2,508,3,64,62,216,1,11,865,
