District,Poll Number,Poll Name,Rodger Cuzner,Seumas Gibson,Shirley Hartery,Kenzie MacNeil,Rejected Ballots,Total Vote,Electors
Cape Breton--Canso/Cape Breton--Canso,42,Port Hawkesbury,145,3,97,48,0,293,422
Cape Breton--Canso/Cape Breton--Canso,43,Port Hawkesbury,86,4,119,58,2,269,456
Cape Breton--Canso/Cape Breton--Canso,44,Port Hawkesbury,72,4,30,29,3,138,247
Cape Breton--Canso/Cape Breton--Canso,45,Port Hawkesbury,117,8,97,46,0,268,437
Cape Breton--Canso/Cape Breton--Canso,46,Port Hawkesbury,77,5,99,31,1,213,349
Cape Breton--Canso/Cape Breton--Canso,47,Port Hawkesbury,79,1,59,25,1,165,324
Cape Breton--Canso/Cape Breton--Canso,48,Port Hawkesbury,98,6,89,35,0,228,516
Cape Breton--Canso/Cape Breton--Canso,49,Cleveland,43,3,56,25,0,127,197
Cape Breton--Canso/Cape Breton--Canso,50,Cleveland,141,3,93,61,0,298,482
Cape Breton--Canso/Cape Breton--Canso,51,St. Georges Channel,60,8,62,63,0,193,293
Cape Breton--Canso/Cape Breton--Canso,52,Sampsonville,88,1,76,99,3,267,403
Cape Breton--Canso/Cape Breton--Canso,53,River Bourgeois,97,8,44,51,5,205,333
Cape Breton--Canso/Cape Breton--Canso,54,Louisdale,90,5,26,44,1,166,265
Cape Breton--Canso/Cape Breton--Canso,55,River Bourgeois,95,4,47,54,5,205,316
Cape Breton--Canso/Cape Breton--Canso,56,St. Peter's,152,8,58,86,2,306,474
Cape Breton--Canso/Cape Breton--Canso,57,Louisdale,48,3,21,38,1,111,183
Cape Breton--Canso/Cape Breton--Canso,58,Louisdale,173,3,45,53,0,274,461
Cape Breton--Canso/Cape Breton--Canso,59,Janvrin Harbour,55,2,46,37,1,141,234
Cape Breton--Canso/Cape Breton--Canso,60,D'Escousse,117,5,55,36,3,216,381
Cape Breton--Canso/Cape Breton--Canso,61,D'Escousse,91,7,70,33,4,205,307
Cape Breton--Canso/Cape Breton--Canso,62,Arichat,102,3,41,66,3,215,359
Cape Breton--Canso/Cape Breton--Canso,63,Arichat,149,7,61,57,3,277,422
Cape Breton--Canso/Cape Breton--Canso,64,Arichat,128,3,86,42,4,263,417
Cape Breton--Canso/Cape Breton--Canso,65A,Petit-de-Grat,120,6,25,14,0,165,318
Cape Breton--Canso/Cape Breton--Canso,65B,Petit-de-Grat,112,2,43,30,3,190,309
Cape Breton--Canso/Cape Breton--Canso,66,Petit-de-Grat,38,0,11,3,0,52,81
Cape Breton--Canso/Cape Breton--Canso,67,Sampsons Cove,101,0,30,29,1,161,286
Cape Breton--Canso/Cape Breton--Canso,68,Johnstown,54,4,21,29,2,110,134
Cape Breton--Canso/Cape Breton--Canso,69,Chapel Island 5,43,6,43,27,0,119,333
Cape Breton--Canso/Cape Breton--Canso,70,Rockdale,131,6,51,48,2,238,406
Cape Breton--Canso/Cape Breton--Canso,71,L'Ardoise,101,0,18,38,2,159,263
Cape Breton--Canso/Cape Breton--Canso,72,L'Ardoise,91,8,31,37,3,170,293
Cape Breton--Canso/Cape Breton--Canso,73,Grand River,30,0,20,37,0,87,138
Cape Breton--Canso/Cape Breton--Canso,74,Framboise,27,1,6,13,0,47,96
Cape Breton--Canso/Cape Breton--Canso,75,Mira Road,133,5,63,47,2,250,454
Cape Breton--Canso/Cape Breton--Canso,76,Mira Road,132,4,52,20,0,208,313
Cape Breton--Canso/Cape Breton--Canso,77,Dutch Brook,83,3,66,41,3,196,313
Cape Breton--Canso/Cape Breton--Canso,78,Hillside,195,7,46,60,1,309,544
Cape Breton--Canso/Cape Breton--Canso,79,Sydney Forks,129,8,41,36,2,216,333
Cape Breton--Canso/Cape Breton--Canso,80,Sydney Forks,172,7,52,49,3,283,440
Cape Breton--Canso/Cape Breton--Canso,81,Sydney Forks,174,13,24,56,0,267,411
Cape Breton--Canso/Cape Breton--Canso,82,Sydney Forks,151,5,51,46,1,254,425
Cape Breton--Canso/Cape Breton--Canso,83,Sydney Forks,147,8,61,22,2,240,402
Cape Breton--Canso/Cape Breton--Canso,84,Sydney Forks,39,2,26,11,0,78,134
Cape Breton--Canso/Cape Breton--Canso,85,Dutch Brook,76,10,22,22,1,131,195
Cape Breton--Canso/Cape Breton--Canso,86,Sydney Forks,125,2,77,39,1,244,432
Cape Breton--Canso/Cape Breton--Canso,87,Sydney Forks,158,3,50,52,1,264,448
Cape Breton--Canso/Cape Breton--Canso,88,Sydney Forks,121,4,35,29,0,189,334
Cape Breton--Canso/Cape Breton--Canso,89,Sydney Forks,121,4,50,28,2,205,344
Cape Breton--Canso/Cape Breton--Canso,90,Sydney Forks,91,2,28,23,2,146,245
Cape Breton--Canso/Cape Breton--Canso,91,Dutch Brook,103,7,46,46,1,203,323
Cape Breton--Canso/Cape Breton--Canso,92,Sydney Forks,130,8,71,48,2,259,424
Cape Breton--Canso/Cape Breton--Canso,93,Blacketts Lake,133,6,45,38,0,222,341
Cape Breton--Canso/Cape Breton--Canso,94,Big Pond,150,2,42,28,3,225,369
Cape Breton--Canso/Cape Breton--Canso,95,Huntington,92,2,28,26,2,150,268
Cape Breton--Canso/Cape Breton--Canso,96,Catalone,143,6,63,59,1,272,445
Cape Breton--Canso/Cape Breton--Canso,97,Main-à-Dieu,83,2,43,30,0,158,293
Cape Breton--Canso/Cape Breton--Canso,98,Bateston,160,3,69,35,0,267,470
Cape Breton--Canso/Cape Breton--Canso,99,Louisbourg,96,2,28,25,1,152,264
Cape Breton--Canso/Cape Breton--Canso,100,Louisbourg,89,2,25,23,2,141,245
Cape Breton--Canso/Cape Breton--Canso,101,Louisbourg,104,4,42,22,2,174,322
Cape Breton--Canso/Cape Breton--Canso,102,Trout Brook,110,6,47,50,2,215,330
Cape Breton--Canso/Cape Breton--Canso,103,Grand Mira South,121,4,34,42,0,201,338
Cape Breton--Canso/Cape Breton--Canso,104,Gabarus,47,4,16,24,0,91,158
Cape Breton--Canso/Cape Breton--Canso,105,Gardiner Mines,78,9,93,19,1,200,348
Cape Breton--Canso/Cape Breton--Canso,106,Gardiner Mines,181,7,92,23,0,303,563
Cape Breton--Canso/Cape Breton--Canso,107,Reserve Mines,113,1,69,12,1,196,410
Cape Breton--Canso/Cape Breton--Canso,108,Reserve Mines,97,5,53,27,0,182,337
Cape Breton--Canso/Cape Breton--Canso,109,Reserve Mines,116,4,69,20,2,211,367
Cape Breton--Canso/Cape Breton--Canso,110,Grand Lake Road,134,3,49,20,3,209,357
Cape Breton--Canso/Cape Breton--Canso,111,Grand Lake Road,125,7,41,21,4,198,290
Cape Breton--Canso/Cape Breton--Canso,112,Gardiner Mines,137,3,76,13,0,229,378
Cape Breton--Canso/Cape Breton--Canso,113,Cape Breton,79,3,69,24,2,177,300
Cape Breton--Canso/Cape Breton--Canso,114,Cape Breton,105,3,85,24,1,218,378
Cape Breton--Canso/Cape Breton--Canso,115,Cape Breton,117,3,65,28,0,213,357
Cape Breton--Canso/Cape Breton--Canso,116,Cape Breton,53,0,52,5,0,110,239
Cape Breton--Canso/Cape Breton--Canso,117,Cape Breton,134,3,80,14,1,232,373
Cape Breton--Canso/Cape Breton--Canso,118,Cape Breton,92,2,58,15,1,168,311
Cape Breton--Canso/Cape Breton--Canso,119,Cape Breton,100,7,107,15,2,231,422
Cape Breton--Canso/Cape Breton--Canso,120,Cape Breton,110,2,100,28,1,241,499
Cape Breton--Canso/Cape Breton--Canso,121,Cape Breton,100,3,67,12,0,182,314
Cape Breton--Canso/Cape Breton--Canso,122,Cape Breton,110,2,62,15,0,189,308
Cape Breton--Canso/Cape Breton--Canso,123,Cape Breton,81,2,20,9,1,113,204
Cape Breton--Canso/Cape Breton--Canso,124,Cape Breton,75,0,59,6,4,144,285
Cape Breton--Canso/Cape Breton--Canso,125,Glace Bay,123,4,50,11,3,191,350
Cape Breton--Canso/Cape Breton--Canso,126,Cape Breton,203,8,85,30,1,327,530
Cape Breton--Canso/Cape Breton--Canso,127,Cape Breton,104,2,50,17,2,175,326
Cape Breton--Canso/Cape Breton--Canso,128,Cape Breton,121,0,62,16,4,203,331
Cape Breton--Canso/Cape Breton--Canso,129,Cape Breton,111,1,35,15,4,166,281
Cape Breton--Canso/Cape Breton--Canso,130,Cape Breton,116,6,67,25,5,219,393
Cape Breton--Canso/Cape Breton--Canso,131,Cape Breton,88,0,46,20,4,158,245
Cape Breton--Canso/Cape Breton--Canso,132,Cape Breton,186,4,64,22,2,278,461
Cape Breton--Canso/Cape Breton--Canso,133,Cape Breton,162,4,53,23,0,242,440
Cape Breton--Canso/Cape Breton--Canso,134,Cape Breton,113,6,58,21,0,198,366
Cape Breton--Canso/Cape Breton--Canso,135,Cape Breton,121,4,48,32,5,210,375
Cape Breton--Canso/Cape Breton--Canso,136,Cape Breton,106,3,31,22,1,163,295
Cape Breton--Canso/Cape Breton--Canso,137,Cape Breton,78,3,51,14,4,150,279
Cape Breton--Canso/Cape Breton--Canso,138,Cape Breton,77,3,27,14,2,123,263
Cape Breton--Canso/Cape Breton--Canso,139,Cape Breton,118,2,37,37,1,195,339
Cape Breton--Canso/Cape Breton--Canso,140,Cape Breton,87,1,55,16,2,161,331
Cape Breton--Canso/Cape Breton--Canso,141,Cape Breton,61,5,29,13,2,110,247
Cape Breton--Canso/Cape Breton--Canso,142,Cape Breton,98,0,37,16,5,156,315
Cape Breton--Canso/Cape Breton--Canso,143,Cape Breton,125,3,47,30,1,206,341
Cape Breton--Canso/Cape Breton--Canso,144,Cape Breton,71,2,33,11,5,122,310
Cape Breton--Canso/Cape Breton--Canso,145,Cape Breton,115,5,51,26,1,198,343
Cape Breton--Canso/Cape Breton--Canso,146,Cape Breton,95,6,58,32,1,192,341
Cape Breton--Canso/Cape Breton--Canso,147,Cape Breton,110,3,32,25,3,173,310
Cape Breton--Canso/Cape Breton--Canso,148,Cape Breton,125,3,57,12,0,197,359
Cape Breton--Canso/Cape Breton--Canso,149,Cape Breton,105,1,35,13,3,157,267
Cape Breton--Canso/Cape Breton--Canso,150,Cape Breton,135,5,97,31,8,276,533
Cape Breton--Canso/Cape Breton--Canso,151,Cape Breton,104,1,43,10,0,158,341
Cape Breton--Canso/Cape Breton--Canso,152,Cape Breton,63,0,51,8,3,125,256
Cape Breton--Canso/Cape Breton--Canso,153,Cape Breton,121,1,42,21,1,186,336
Cape Breton--Canso/Cape Breton--Canso,154,Cape Breton,92,5,47,13,2,159,292
Cape Breton--Canso/Cape Breton--Canso,155,Cape Breton,63,5,41,9,1,119,279
Cape Breton--Canso/Cape Breton--Canso,156,Donkin,88,4,73,34,2,201,375
Cape Breton--Canso/Cape Breton--Canso,157,Donkin,74,5,52,16,4,151,304
Cape Breton--Canso/Cape Breton--Canso,158,Port Morien,127,4,46,31,0,208,322
Cape Breton--Canso/Cape Breton--Canso,159,Port Morien,101,8,41,37,2,189,288
Cape Breton--Canso/Cape Breton--Canso,160,Table Head,46,5,63,13,1,128,234
Cape Breton--Canso/Cape Breton--Canso,161,Birch Grove,122,7,39,25,2,195,316
Cape Breton--Canso/Cape Breton--Canso,162,Mira Road,96,2,50,50,2,200,311
Cape Breton--Canso/Cape Breton--Canso,163,Mulgrave,68,5,63,55,5,196,309
Cape Breton--Canso/Cape Breton--Canso,164,Havre Boucher,78,7,95,37,4,221,425
Cape Breton--Canso/Cape Breton--Canso,165,Hadleyville,47,1,22,34,0,104,159
Cape Breton--Canso/Cape Breton--Canso,166,St. Francis Harbour,42,2,15,40,1,100,161
Cape Breton--Canso/Cape Breton--Canso,167,Havre Boucher,100,4,29,116,2,251,403
Cape Breton--Canso/Cape Breton--Canso,168,Boylston,28,1,14,49,0,92,159
Cape Breton--Canso/Cape Breton--Canso,169,Hazel Hill,45,4,41,52,1,143,255
Cape Breton--Canso/Cape Breton--Canso,170,Canso,48,4,51,36,2,141,306
Cape Breton--Canso/Cape Breton--Canso,171,Canso,25,2,20,25,1,73,214
Cape Breton--Canso/Cape Breton--Canso,172,Canso,41,3,38,36,3,121,231
Cape Breton--Canso/Cape Breton--Canso,173,Little Dover,74,2,46,42,4,168,313
Cape Breton--Canso/Cape Breton--Canso,174,Halfway Cove,44,2,41,56,1,144,300
Cape Breton--Canso/Cape Breton--Canso,175,Port Felix,46,4,39,43,1,133,258
Cape Breton--Canso/Cape Breton--Canso,176,Guysborough,97,7,30,85,1,220,388
Cape Breton--Canso/Cape Breton--Canso,177,Guysborough,59,5,28,41,0,133,248
Cape Breton--Canso/Cape Breton--Canso,178,Charlos Cove,84,2,30,44,0,160,230
Cape Breton--Canso/Cape Breton--Canso,179,Torbay,63,5,19,52,0,139,271
Cape Breton--Canso/Cape Breton--Canso,180,Goshen,39,3,6,57,1,106,148
Cape Breton--Canso/Cape Breton--Canso,181,Goldboro,13,2,24,38,5,82,147
Cape Breton--Canso/Cape Breton--Canso,182,Isaacs Harbour,29,7,30,42,1,109,173
Cape Breton--Canso/Cape Breton--Canso,183,Aspen,91,2,34,58,5,190,341
Cape Breton--Canso/Cape Breton--Canso,184,Port Bickerton,Void,,,,,,
Cape Breton--Canso/Cape Breton--Canso,500,Mobile poll/Bureau itinérant,37,1,2,18,3,61,118
Cape Breton--Canso/Cape Breton--Canso,501,Mobile poll/Bureau itinérant,40,1,8,12,1,62,195
Cape Breton--Canso/Cape Breton--Canso,502,Mobile poll/Bureau itinérant,34,2,8,19,2,65,87
Cape Breton--Canso/Cape Breton--Canso,503,Mobile poll/Bureau itinérant,25,1,7,9,1,43,89
Cape Breton--Canso/Cape Breton--Canso,600,Chéticamp,74,7,15,40,1,137,
Cape Breton--Canso/Cape Breton--Canso,601,Inverness,69,2,18,28,1,118,
Cape Breton--Canso/Cape Breton--Canso,602,Port Hawkesbury,132,6,88,53,4,283,
Cape Breton--Canso/Cape Breton--Canso,603,Arichat,88,2,27,44,0,161,
Cape Breton--Canso/Cape Breton--Canso,604,Rockdale,27,3,17,31,3,81,
Cape Breton--Canso/Cape Breton--Canso,605,Sydney Forks,284,7,82,75,0,448,
Cape Breton--Canso/Cape Breton--Canso,606,Louisbourg,74,3,21,30,0,128,
Cape Breton--Canso/Cape Breton--Canso,607,Reserve Mines,31,0,20,9,1,61,
Cape Breton--Canso/Cape Breton--Canso,608,Glace Bay,178,5,83,48,2,316,
Cape Breton--Canso/Cape Breton--Canso,609,Glace Bay,198,9,76,70,6,359,
Cape Breton--Canso/Cape Breton--Canso,610,Donkin,51,2,21,18,0,92,
Cape Breton--Canso/Cape Breton--Canso,611,Guysborough,18,1,4,22,0,45,
Cape Breton--Canso/Cape Breton--Canso,612,Canso,17,2,14,16,0,49,
Cape Breton--Canso/Cape Breton--Canso,613,Guysborough,25,1,6,37,0,69,
Cape Breton--Canso/Cape Breton--Canso,,Group 1/Groupe 1,84,3,29,79,4,199,752
Cape Breton--Canso/Cape Breton--Canso,,Group 2/Groupe 2,347,8,118,122,11,606,
