District,Poll Number,Poll Name,Frank Ellis,Edwin Laryea,Ciprian Mihalcea,Pauline Richards,Steve Strauss,Andrew Telegdi,Rejected Ballots,Total Vote,Electors
Kitchener--Waterloo/Kitchener--Waterloo,603,Waterloo,2,56,2,17,148,159,0,384,
Kitchener--Waterloo/Kitchener--Waterloo,604,Waterloo,2,80,0,41,239,361,1,724,
Kitchener--Waterloo/Kitchener--Waterloo,605,Waterloo,4,65,0,26,210,247,0,552,
Kitchener--Waterloo/Kitchener--Waterloo,606,Waterloo,2,75,0,24,127,245,2,475,
Kitchener--Waterloo/Kitchener--Waterloo,607,Waterloo,4,76,0,20,187,266,2,555,
Kitchener--Waterloo/Kitchener--Waterloo,608,Waterloo,1,45,0,12,156,171,1,386,
Kitchener--Waterloo/Kitchener--Waterloo,609,Waterloo,1,57,0,15,63,105,1,242,
Kitchener--Waterloo/Kitchener--Waterloo,610,Waterloo,1,53,3,21,125,146,0,349,
Kitchener--Waterloo/Kitchener--Waterloo,,Group 1/Groupe 1,6,14,0,9,31,45,3,108,192
Kitchener--Waterloo/Kitchener--Waterloo,,Group 2/Groupe 2,2,78,0,24,201,252,6,563,
