District,Poll Number,Poll Name,Rick Casson,Erin Marie Matthews,Ken Nicol,Dustin Sobie,Melanee Thomas,Ken Vanden Broek,Rejected Ballots,Total Vote,Electors
Lethbridge/Lethbridge,114,Lethbridge,159,8,94,2,35,8,2,308,483
Lethbridge/Lethbridge,115,Lethbridge,144,6,77,3,33,3,0,266,436
Lethbridge/Lethbridge,116,Lethbridge,137,3,70,0,13,1,0,224,381
Lethbridge/Lethbridge,117,Lethbridge,147,11,62,3,20,3,0,246,373
Lethbridge/Lethbridge,118,Lethbridge,132,5,79,3,19,1,0,239,408
Lethbridge/Lethbridge,119,Lethbridge,79,3,42,0,13,4,0,141,288
Lethbridge/Lethbridge,120,Lethbridge,128,3,61,4,21,0,0,217,370
Lethbridge/Lethbridge,121,Lethbridge,78,1,52,1,9,0,0,141,233
Lethbridge/Lethbridge,122,Lethbridge,151,10,68,1,24,4,2,260,433
Lethbridge/Lethbridge,123,Lethbridge,116,6,54,4,19,3,2,204,372
Lethbridge/Lethbridge,124,Lethbridge,93,15,54,2,24,0,0,188,329
Lethbridge/Lethbridge,125,Lethbridge,99,8,58,3,21,1,1,191,325
Lethbridge/Lethbridge,126,Lethbridge,99,10,54,5,26,2,0,196,372
Lethbridge/Lethbridge,127,Lethbridge,141,7,49,2,25,1,0,225,357
Lethbridge/Lethbridge,128,Lethbridge,117,8,63,2,11,2,0,203,362
Lethbridge/Lethbridge,129,Lethbridge,140,8,73,4,19,1,1,246,421
Lethbridge/Lethbridge,130,Lethbridge,151,12,82,0,18,6,0,269,388
Lethbridge/Lethbridge,131,Lethbridge,143,8,74,4,25,7,0,261,429
Lethbridge/Lethbridge,132,Lethbridge,132,4,51,1,9,1,1,199,323
Lethbridge/Lethbridge,133,Lethbridge,115,2,44,1,24,2,3,191,301
Lethbridge/Lethbridge,134,Lethbridge,109,7,27,1,19,5,1,169,298
Lethbridge/Lethbridge,135,Lethbridge,96,4,53,2,13,1,1,170,356
Lethbridge/Lethbridge,136,Lethbridge,121,4,55,1,18,0,2,201,357
Lethbridge/Lethbridge,137,Lethbridge,171,3,74,3,20,2,1,274,459
Lethbridge/Lethbridge,138,Lethbridge,98,7,40,2,20,1,0,168,320
Lethbridge/Lethbridge,139,Lethbridge,351,4,101,3,26,7,0,492,763
Lethbridge/Lethbridge,140,Lethbridge,191,2,34,0,13,1,3,244,393
Lethbridge/Lethbridge,141,Lethbridge,260,3,95,0,22,1,0,381,548
Lethbridge/Lethbridge,142,Lethbridge,155,6,81,5,11,7,2,267,421
Lethbridge/Lethbridge,143,Lethbridge,194,13,104,0,11,1,0,323,479
Lethbridge/Lethbridge,144,Lethbridge,43,4,16,2,11,2,1,79,174
Lethbridge/Lethbridge,145,Lethbridge,99,8,68,5,25,2,2,209,388
Lethbridge/Lethbridge,146,Lethbridge,Merged with No. 147,,,,,,,,25
Lethbridge/Lethbridge,147,Lethbridge,198,6,98,2,25,3,0,332,489
Lethbridge/Lethbridge,148,Lethbridge,188,8,67,3,49,1,0,316,623
Lethbridge/Lethbridge,149,Lethbridge,78,8,24,4,13,4,0,131,283
Lethbridge/Lethbridge,150,Lethbridge,102,5,55,0,33,1,0,196,358
Lethbridge/Lethbridge,151,Lethbridge,53,2,21,5,22,2,2,107,211
Lethbridge/Lethbridge,152,Lethbridge,71,8,40,3,34,5,0,161,325
Lethbridge/Lethbridge,153,Lethbridge,100,9,49,1,41,2,0,202,349
Lethbridge/Lethbridge,154,Lethbridge,36,5,27,1,34,0,0,103,200
Lethbridge/Lethbridge,155,Lethbridge,36,3,32,0,21,2,0,94,203
Lethbridge/Lethbridge,156,Lethbridge,76,4,45,0,27,4,1,157,269
Lethbridge/Lethbridge,157,Lethbridge,129,6,75,5,25,3,0,243,418
Lethbridge/Lethbridge,158,Lethbridge,104,7,55,1,24,0,1,192,331
Lethbridge/Lethbridge,159,Lethbridge,57,10,35,2,23,1,2,130,271
Lethbridge/Lethbridge,160,Lethbridge,97,13,47,1,23,5,3,189,339
Lethbridge/Lethbridge,161,Lethbridge,96,10,51,3,20,2,0,182,334
Lethbridge/Lethbridge,162,Lethbridge,114,7,73,3,35,2,0,234,400
Lethbridge/Lethbridge,163,Lethbridge,109,10,38,0,28,1,0,186,349
Lethbridge/Lethbridge,164,Lethbridge,90,3,50,0,31,1,1,176,342
Lethbridge/Lethbridge,165,Lethbridge,247,5,85,6,43,4,1,391,676
Lethbridge/Lethbridge,166,Lethbridge,205,10,69,2,38,0,1,325,542
Lethbridge/Lethbridge,167,Lethbridge,195,9,86,4,48,2,0,344,552
Lethbridge/Lethbridge,168,Waterton Park,83,24,38,4,21,1,0,171,202
Lethbridge/Lethbridge,169,Mountain View,197,3,9,0,5,1,0,215,327
Lethbridge/Lethbridge,170,Leavitt,159,0,4,0,5,1,0,169,250
Lethbridge/Lethbridge,171,Aetna,173,0,9,4,3,0,1,190,314
Lethbridge/Lethbridge,172A,Cardston,261,3,11,1,0,4,0,280,429
Lethbridge/Lethbridge,172B,Mobile poll/Bureau itinérant,Merged with No. 506,,,,,,,,17
Lethbridge/Lethbridge,173,Cardston,200,3,9,2,6,2,1,223,395
Lethbridge/Lethbridge,174,Cardston,160,3,7,1,4,4,1,180,311
Lethbridge/Lethbridge,175,Cardston,107,4,12,1,8,2,0,134,389
Lethbridge/Lethbridge,176,Cardston,73,2,2,1,5,1,0,84,250
Lethbridge/Lethbridge,177,Cardston,160,3,6,1,6,0,0,176,290
Lethbridge/Lethbridge,178,Cardston,159,0,18,1,8,1,0,187,367
Lethbridge/Lethbridge,179,Jefferson,73,0,7,0,4,0,0,84,192
Lethbridge/Lethbridge,180,Spring Coulee,93,0,5,0,4,0,0,102,359
Lethbridge/Lethbridge,181,Magrath,149,2,17,2,9,1,0,180,284
Lethbridge/Lethbridge,182,Magrath,174,8,17,5,12,4,0,220,329
Lethbridge/Lethbridge,183,Magrath,178,4,15,4,10,4,0,215,402
Lethbridge/Lethbridge,184,Magrath,185,3,13,1,14,3,0,219,371
Lethbridge/Lethbridge,185,Magrath,55,1,1,0,4,1,0,62,93
Lethbridge/Lethbridge,186,Welling,150,4,12,1,8,1,0,176,353
Lethbridge/Lethbridge,187,Raymond,192,2,28,2,9,3,0,236,581
Lethbridge/Lethbridge,188,Raymond,132,5,21,5,14,2,0,179,342
Lethbridge/Lethbridge,189,Raymond,89,4,22,2,12,2,0,131,277
Lethbridge/Lethbridge,190,Raymond,249,3,33,4,20,7,3,319,576
Lethbridge/Lethbridge,191,Raymond,125,4,8,0,7,5,0,149,258
Lethbridge/Lethbridge,192,Raymond,123,0,7,5,13,5,0,153,289
Lethbridge/Lethbridge,193,Raymond,160,4,18,3,4,2,2,193,347
Lethbridge/Lethbridge,194,Stirling,249,8,27,8,23,3,3,321,581
Lethbridge/Lethbridge,195,Stirling,149,6,17,2,10,4,1,189,385
Lethbridge/Lethbridge,196,Warner,87,0,5,2,3,2,0,99,219
Lethbridge/Lethbridge,197,Warner,119,2,14,1,12,2,0,150,253
Lethbridge/Lethbridge,198,Warner,74,1,4,0,3,0,0,82,308
Lethbridge/Lethbridge,199,Del Bonita,65,0,8,0,0,1,0,74,160
Lethbridge/Lethbridge,200,Warner,103,7,9,2,5,3,0,129,209
Lethbridge/Lethbridge,201,Milk River,139,5,30,2,10,2,1,189,417
Lethbridge/Lethbridge,202,Milk River,116,2,17,2,8,0,0,145,236
Lethbridge/Lethbridge,203,Coutts,127,5,16,1,15,1,1,166,276
Lethbridge/Lethbridge,204,Allerston,113,0,9,1,6,1,0,130,182
Lethbridge/Lethbridge,500,Mobile poll/Bureau itinérant,31,1,18,3,6,3,1,63,154
Lethbridge/Lethbridge,501,Mobile poll/Bureau itinérant,45,2,16,3,4,2,1,73,162
Lethbridge/Lethbridge,502,Mobile poll/Bureau itinérant,110,3,65,0,14,1,6,199,284
Lethbridge/Lethbridge,503,Mobile poll/Bureau itinérant,44,3,25,4,6,2,2,86,88
Lethbridge/Lethbridge,504,Mobile poll/Bureau itinérant,26,2,24,0,2,4,0,58,147
Lethbridge/Lethbridge,505,Mobile poll/Bureau itinérant,23,2,23,1,0,0,2,51,147
Lethbridge/Lethbridge,506,Mobile poll/Bureau itinérant,86,1,9,1,2,0,1,100,89
Lethbridge/Lethbridge,600,Lethbridge County,210,7,34,2,27,17,0,297,
Lethbridge/Lethbridge,601,Lethbridge,270,8,118,2,50,9,0,457,
Lethbridge/Lethbridge,602,Lethbridge,311,8,113,4,39,2,1,478,
Lethbridge/Lethbridge,603,Lethbridge,154,2,62,2,29,2,3,254,
Lethbridge/Lethbridge,604,Lethbridge,321,12,115,4,48,3,0,503,
Lethbridge/Lethbridge,605,Lethbridge,345,10,122,2,43,7,2,531,
Lethbridge/Lethbridge,606,Lethbridge,196,13,111,4,27,1,2,354,
Lethbridge/Lethbridge,607,Lethbridge,299,7,116,3,28,4,0,457,
Lethbridge/Lethbridge,608,Lethbridge County,331,2,50,2,26,29,1,441,
Lethbridge/Lethbridge,609,Cardston County--Warner County No.5,201,4,23,1,6,3,0,238,
Lethbridge/Lethbridge,610,Blood 148A--Cardston County,173,1,6,1,3,0,0,184,
Lethbridge/Lethbridge,611,Warner County No.5,117,1,10,1,7,0,1,137,
Lethbridge/Lethbridge,,Group 1/Groupe 1,46,5,32,7,4,0,0,94,145
Lethbridge/Lethbridge,,Group 2/Groupe 2,468,15,177,4,71,6,5,746,
