District,Poll Number,Poll Name,Rona Ambrose,Neil Mather,Jerry Paschen,Hayley Phillips,Rejected Ballots,Total Vote,Electors
Edmonton--Spruce Grove/Edmonton--Spruce Grove,92B,Edmonton,66,44,1,5,0,116,139
Edmonton--Spruce Grove/Edmonton--Spruce Grove,93,Edmonton,135,82,9,18,1,245,466
Edmonton--Spruce Grove/Edmonton--Spruce Grove,94,Edmonton,123,82,10,26,0,241,505
Edmonton--Spruce Grove/Edmonton--Spruce Grove,95,Edmonton,102,83,7,21,0,213,372
Edmonton--Spruce Grove/Edmonton--Spruce Grove,96,Edmonton,121,73,13,10,0,217,345
Edmonton--Spruce Grove/Edmonton--Spruce Grove,97,Edmonton,121,73,10,33,3,240,464
Edmonton--Spruce Grove/Edmonton--Spruce Grove,98,Edmonton,88,43,10,17,0,158,428
Edmonton--Spruce Grove/Edmonton--Spruce Grove,99,Edmonton,112,80,12,28,0,232,424
Edmonton--Spruce Grove/Edmonton--Spruce Grove,100,Edmonton,64,47,8,17,0,136,399
Edmonton--Spruce Grove/Edmonton--Spruce Grove,101,Edmonton,162,89,7,18,0,276,446
Edmonton--Spruce Grove/Edmonton--Spruce Grove,102,Edmonton,201,112,22,21,0,356,558
Edmonton--Spruce Grove/Edmonton--Spruce Grove,103,Edmonton,111,64,13,27,1,216,490
Edmonton--Spruce Grove/Edmonton--Spruce Grove,104,Edmonton,116,99,11,22,0,248,448
Edmonton--Spruce Grove/Edmonton--Spruce Grove,105,Edmonton,94,48,11,14,0,167,259
Edmonton--Spruce Grove/Edmonton--Spruce Grove,106,Edmonton,98,71,5,15,0,189,421
Edmonton--Spruce Grove/Edmonton--Spruce Grove,107,Edmonton,75,67,11,23,0,176,321
Edmonton--Spruce Grove/Edmonton--Spruce Grove,108,Edmonton,64,49,11,15,0,139,295
Edmonton--Spruce Grove/Edmonton--Spruce Grove,109,Edmonton,98,37,4,18,0,157,258
Edmonton--Spruce Grove/Edmonton--Spruce Grove,110,Edmonton,155,75,14,21,0,265,486
Edmonton--Spruce Grove/Edmonton--Spruce Grove,111,Edmonton,116,119,14,22,0,271,462
Edmonton--Spruce Grove/Edmonton--Spruce Grove,112,Edmonton,144,72,5,28,1,250,515
Edmonton--Spruce Grove/Edmonton--Spruce Grove,113,Edmonton,77,44,9,28,0,158,407
Edmonton--Spruce Grove/Edmonton--Spruce Grove,114,Edmonton,130,79,18,25,0,252,479
Edmonton--Spruce Grove/Edmonton--Spruce Grove,115,Edmonton,137,88,14,13,0,252,445
Edmonton--Spruce Grove/Edmonton--Spruce Grove,116,Edmonton,116,90,12,20,0,238,407
Edmonton--Spruce Grove/Edmonton--Spruce Grove,117,Edmonton,103,82,9,28,1,223,432
Edmonton--Spruce Grove/Edmonton--Spruce Grove,118,Edmonton,88,48,6,19,3,164,452
Edmonton--Spruce Grove/Edmonton--Spruce Grove,119,Edmonton,99,45,10,10,1,165,368
Edmonton--Spruce Grove/Edmonton--Spruce Grove,120,Edmonton,108,104,12,22,1,247,432
Edmonton--Spruce Grove/Edmonton--Spruce Grove,121,Edmonton,73,55,7,20,2,157,317
Edmonton--Spruce Grove/Edmonton--Spruce Grove,122,Edmonton,108,100,20,34,0,262,561
Edmonton--Spruce Grove/Edmonton--Spruce Grove,123,Edmonton,69,48,16,27,0,160,385
Edmonton--Spruce Grove/Edmonton--Spruce Grove,124,Edmonton,68,56,11,21,3,159,357
Edmonton--Spruce Grove/Edmonton--Spruce Grove,125,Edmonton,Merged with No. 77,,,,,,201
Edmonton--Spruce Grove/Edmonton--Spruce Grove,126,Edmonton,92,89,15,21,1,218,421
Edmonton--Spruce Grove/Edmonton--Spruce Grove,127,Edmonton,144,71,8,19,1,243,383
Edmonton--Spruce Grove/Edmonton--Spruce Grove,128,Edmonton,122,69,11,14,3,219,446
Edmonton--Spruce Grove/Edmonton--Spruce Grove,129,Edmonton,150,62,8,24,0,244,419
Edmonton--Spruce Grove/Edmonton--Spruce Grove,130A,Edmonton,158,55,5,21,1,240,446
Edmonton--Spruce Grove/Edmonton--Spruce Grove,130B,Edmonton,151,77,20,23,2,273,462
Edmonton--Spruce Grove/Edmonton--Spruce Grove,131,Edmonton,117,80,9,14,0,220,456
Edmonton--Spruce Grove/Edmonton--Spruce Grove,132,Edmonton,166,109,19,24,0,318,350
Edmonton--Spruce Grove/Edmonton--Spruce Grove,133,Edmonton,129,85,20,29,0,263,496
Edmonton--Spruce Grove/Edmonton--Spruce Grove,134,Edmonton,121,99,19,23,0,262,493
Edmonton--Spruce Grove/Edmonton--Spruce Grove,135A,Edmonton,130,82,10,26,1,249,478
Edmonton--Spruce Grove/Edmonton--Spruce Grove,135B,Edmonton,126,75,5,27,0,233,457
Edmonton--Spruce Grove/Edmonton--Spruce Grove,136,Edmonton,Merged with No. 132,,,,,,225
Edmonton--Spruce Grove/Edmonton--Spruce Grove,137,Edmonton,Merged with No. 139,,,,,,169
Edmonton--Spruce Grove/Edmonton--Spruce Grove,138,Edmonton,161,104,13,22,1,301,460
Edmonton--Spruce Grove/Edmonton--Spruce Grove,139,Edmonton,176,94,13,18,0,301,291
Edmonton--Spruce Grove/Edmonton--Spruce Grove,140,Edmonton,91,70,6,11,0,178,332
Edmonton--Spruce Grove/Edmonton--Spruce Grove,141A,Edmonton,152,72,9,23,0,256,402
Edmonton--Spruce Grove/Edmonton--Spruce Grove,141B,Edmonton,183,74,13,29,0,299,437
Edmonton--Spruce Grove/Edmonton--Spruce Grove,141C,Edmonton,177,66,21,13,0,277,449
Edmonton--Spruce Grove/Edmonton--Spruce Grove,142,Edmonton,Merged with No. 143,,,,,,136
Edmonton--Spruce Grove/Edmonton--Spruce Grove,143,Edmonton,153,49,9,18,0,229,236
Edmonton--Spruce Grove/Edmonton--Spruce Grove,144,Edmonton,89,43,18,27,0,177,350
Edmonton--Spruce Grove/Edmonton--Spruce Grove,145,Edmonton,49,30,9,26,0,114,335
Edmonton--Spruce Grove/Edmonton--Spruce Grove,146,Edmonton,68,56,18,17,0,159,332
Edmonton--Spruce Grove/Edmonton--Spruce Grove,147,Edmonton,149,106,9,15,1,280,449
Edmonton--Spruce Grove/Edmonton--Spruce Grove,148,Edmonton,187,106,6,25,0,324,521
Edmonton--Spruce Grove/Edmonton--Spruce Grove,149,Edmonton,136,81,18,26,0,261,431
Edmonton--Spruce Grove/Edmonton--Spruce Grove,150,Edmonton,133,80,14,22,0,249,428
Edmonton--Spruce Grove/Edmonton--Spruce Grove,151,Edmonton,145,71,19,23,0,258,419
Edmonton--Spruce Grove/Edmonton--Spruce Grove,152,Edmonton,169,127,15,11,0,322,513
Edmonton--Spruce Grove/Edmonton--Spruce Grove,153A,Edmonton,86,57,9,8,0,160,296
Edmonton--Spruce Grove/Edmonton--Spruce Grove,153B,Edmonton,103,77,20,11,0,211,343
Edmonton--Spruce Grove/Edmonton--Spruce Grove,154,Edmonton,144,102,11,14,0,271,481
Edmonton--Spruce Grove/Edmonton--Spruce Grove,155,Edmonton,158,98,9,21,0,286,468
Edmonton--Spruce Grove/Edmonton--Spruce Grove,156,Edmonton,125,112,13,9,3,262,443
Edmonton--Spruce Grove/Edmonton--Spruce Grove,157A,Edmonton,117,66,9,8,0,200,322
Edmonton--Spruce Grove/Edmonton--Spruce Grove,157B,Edmonton,107,78,6,18,1,210,327
Edmonton--Spruce Grove/Edmonton--Spruce Grove,158,Edmonton,97,61,6,8,0,172,297
Edmonton--Spruce Grove/Edmonton--Spruce Grove,159,Edmonton,121,73,4,14,0,212,376
Edmonton--Spruce Grove/Edmonton--Spruce Grove,160,Edmonton,74,67,3,13,0,157,274
Edmonton--Spruce Grove/Edmonton--Spruce Grove,161,Edmonton,195,125,13,15,0,348,573
Edmonton--Spruce Grove/Edmonton--Spruce Grove,162,Edmonton,110,74,8,15,1,208,413
Edmonton--Spruce Grove/Edmonton--Spruce Grove,163,Edmonton,134,101,12,22,1,270,446
Edmonton--Spruce Grove/Edmonton--Spruce Grove,164,Edmonton,118,79,19,24,0,240,431
Edmonton--Spruce Grove/Edmonton--Spruce Grove,165,Edmonton,54,51,14,30,1,150,360
Edmonton--Spruce Grove/Edmonton--Spruce Grove,166,Edmonton,61,63,12,23,0,159,338
Edmonton--Spruce Grove/Edmonton--Spruce Grove,167,Edmonton,111,66,10,25,0,212,375
Edmonton--Spruce Grove/Edmonton--Spruce Grove,168A,Edmonton,78,45,11,14,0,148,381
Edmonton--Spruce Grove/Edmonton--Spruce Grove,168B,Edmonton,72,53,7,12,0,144,370
Edmonton--Spruce Grove/Edmonton--Spruce Grove,169,Edmonton,69,50,15,22,0,156,388
Edmonton--Spruce Grove/Edmonton--Spruce Grove,170A,Edmonton,38,41,5,14,0,98,343
Edmonton--Spruce Grove/Edmonton--Spruce Grove,170B,Edmonton,46,29,8,19,0,102,309
Edmonton--Spruce Grove/Edmonton--Spruce Grove,171,Edmonton,59,45,3,12,0,119,341
Edmonton--Spruce Grove/Edmonton--Spruce Grove,172,Edmonton,88,39,11,17,0,155,269
Edmonton--Spruce Grove/Edmonton--Spruce Grove,173,Edmonton,Merged with No. 77,,,,,,90
Edmonton--Spruce Grove/Edmonton--Spruce Grove,174A,Edmonton,75,38,8,14,0,135,348
Edmonton--Spruce Grove/Edmonton--Spruce Grove,174B,Edmonton,55,50,13,12,0,130,349
Edmonton--Spruce Grove/Edmonton--Spruce Grove,175,Edmonton,118,78,20,24,2,242,484
Edmonton--Spruce Grove/Edmonton--Spruce Grove,176,Edmonton,150,89,13,32,0,284,531
Edmonton--Spruce Grove/Edmonton--Spruce Grove,177,Edmonton,131,115,15,20,0,281,403
Edmonton--Spruce Grove/Edmonton--Spruce Grove,178,Edmonton,75,55,11,19,0,160,361
Edmonton--Spruce Grove/Edmonton--Spruce Grove,179,Edmonton,133,98,6,11,1,249,385
Edmonton--Spruce Grove/Edmonton--Spruce Grove,180,Edmonton,118,72,12,14,0,216,349
Edmonton--Spruce Grove/Edmonton--Spruce Grove,181,Edmonton,126,108,26,15,2,277,383
Edmonton--Spruce Grove/Edmonton--Spruce Grove,182,Edmonton,126,74,11,21,1,233,381
Edmonton--Spruce Grove/Edmonton--Spruce Grove,183,Edmonton,49,49,10,9,0,117,306
Edmonton--Spruce Grove/Edmonton--Spruce Grove,184,Edmonton,122,77,21,22,1,243,370
Edmonton--Spruce Grove/Edmonton--Spruce Grove,185,Edmonton,116,86,22,31,0,255,373
Edmonton--Spruce Grove/Edmonton--Spruce Grove,186,Edmonton,132,88,5,9,1,235,367
Edmonton--Spruce Grove/Edmonton--Spruce Grove,187,Edmonton,132,90,21,15,0,258,339
Edmonton--Spruce Grove/Edmonton--Spruce Grove,188,Edmonton,138,103,19,7,0,267,406
Edmonton--Spruce Grove/Edmonton--Spruce Grove,189,Edmonton,186,143,15,19,0,363,514
Edmonton--Spruce Grove/Edmonton--Spruce Grove,190,Edmonton,132,124,21,19,0,296,472
Edmonton--Spruce Grove/Edmonton--Spruce Grove,191,Edmonton,168,105,18,14,0,305,443
Edmonton--Spruce Grove/Edmonton--Spruce Grove,192,Edmonton,Merged with No. 193,,,,,,208
Edmonton--Spruce Grove/Edmonton--Spruce Grove,193,Edmonton,144,117,9,10,1,281,262
Edmonton--Spruce Grove/Edmonton--Spruce Grove,194,Edmonton,181,113,7,6,0,307,491
Edmonton--Spruce Grove/Edmonton--Spruce Grove,400,Edmonton,42,33,1,6,2,84,106
Edmonton--Spruce Grove/Edmonton--Spruce Grove,500,Mobile poll/Bureau itinérant,57,14,2,5,2,80,126
Edmonton--Spruce Grove/Edmonton--Spruce Grove,501,Mobile poll/Bureau itinérant,24,8,1,7,1,41,47
Edmonton--Spruce Grove/Edmonton--Spruce Grove,600,Parkland County,179,21,6,7,1,214,
Edmonton--Spruce Grove/Edmonton--Spruce Grove,601,Stony Plain,432,82,23,39,1,577,
Edmonton--Spruce Grove/Edmonton--Spruce Grove,602,Spruce Grove,505,100,27,57,2,691,
Edmonton--Spruce Grove/Edmonton--Spruce Grove,603,Parkland County,148,24,5,15,0,192,
Edmonton--Spruce Grove/Edmonton--Spruce Grove,604,Arkland County--Stony Plain 135,253,44,13,25,0,335,
Edmonton--Spruce Grove/Edmonton--Spruce Grove,605,Edmonton,355,143,19,41,2,560,
Edmonton--Spruce Grove/Edmonton--Spruce Grove,606,Edmonton,284,186,20,30,3,523,
Edmonton--Spruce Grove/Edmonton--Spruce Grove,607,Edmonton,175,77,5,16,0,273,
Edmonton--Spruce Grove/Edmonton--Spruce Grove,608,Edmonton,274,127,17,14,0,432,
Edmonton--Spruce Grove/Edmonton--Spruce Grove,609,Edmonton,83,37,5,9,0,134,
Edmonton--Spruce Grove/Edmonton--Spruce Grove,610,Edmonton,90,44,7,11,0,152,
Edmonton--Spruce Grove/Edmonton--Spruce Grove,611,Edmonton,107,76,8,10,0,201,
Edmonton--Spruce Grove/Edmonton--Spruce Grove,612,Edmonton,112,60,7,4,0,183,
Edmonton--Spruce Grove/Edmonton--Spruce Grove,,Group 1/Groupe 1,64,27,10,15,2,118,204
Edmonton--Spruce Grove/Edmonton--Spruce Grove,,Group 2/Groupe 2,382,155,22,56,17,632,
