District,Poll Number,Poll Name,Leo Bonomi,Elaine Couto,Jim Fannon,Linda Klassen,Walt Lastewka,Ted Mouradian,Jane Elizabeth Paxton,Rejected Ballots,Total Vote,Electors
St. Catharines/St. Catharines,77,St. Catharines,16,0,7,0,24,30,2,0,79,206
St. Catharines/St. Catharines,78,St. Catharines,82,1,9,6,62,55,0,0,215,453
St. Catharines/St. Catharines,79,St. Catharines,65,0,8,3,112,40,0,0,228,333
St. Catharines/St. Catharines,80,St. Catharines,106,0,13,3,105,53,3,2,285,407
St. Catharines/St. Catharines,81,St. Catharines,80,0,8,5,112,39,0,2,246,383
St. Catharines/St. Catharines,82,St. Catharines,82,2,12,6,95,36,0,2,235,396
St. Catharines/St. Catharines,83,St. Catharines,76,0,12,4,111,32,2,2,239,392
St. Catharines/St. Catharines,84,St. Catharines,79,0,5,8,83,30,0,0,205,340
St. Catharines/St. Catharines,85,St. Catharines,86,0,3,4,106,53,1,1,254,402
St. Catharines/St. Catharines,86,St. Catharines,90,1,9,2,89,56,2,0,249,389
St. Catharines/St. Catharines,87,St. Catharines,92,1,6,8,68,37,0,1,213,345
St. Catharines/St. Catharines,88,St. Catharines,136,1,14,5,102,57,0,1,316,521
St. Catharines/St. Catharines,89,St. Catharines,97,0,9,5,78,41,0,2,232,371
St. Catharines/St. Catharines,90,St. Catharines,83,0,5,5,96,37,1,2,229,343
St. Catharines/St. Catharines,91,St. Catharines,56,0,7,2,85,28,0,0,178,294
St. Catharines/St. Catharines,92,St. Catharines,71,0,10,7,89,34,2,1,214,348
St. Catharines/St. Catharines,93,St. Catharines,71,1,10,4,70,59,0,1,216,334
St. Catharines/St. Catharines,94,St. Catharines,181,2,8,12,97,18,1,3,322,449
St. Catharines/St. Catharines,95,St. Catharines,91,1,7,7,139,63,4,2,314,583
St. Catharines/St. Catharines,96,St. Catharines,24,0,3,1,25,16,0,0,69,105
St. Catharines/St. Catharines,97,St. Catharines,20,0,6,1,43,34,1,0,105,329
St. Catharines/St. Catharines,98,St. Catharines,17,1,3,3,23,18,0,1,66,188
St. Catharines/St. Catharines,99,St. Catharines,49,1,6,12,88,56,3,0,215,407
St. Catharines/St. Catharines,100,St. Catharines,117,1,7,15,74,32,0,1,247,397
St. Catharines/St. Catharines,101,St. Catharines,82,0,11,2,100,46,2,0,243,419
St. Catharines/St. Catharines,102,St. Catharines,92,0,11,5,158,33,1,1,301,477
St. Catharines/St. Catharines,103,St. Catharines,75,0,9,4,78,37,0,2,205,415
St. Catharines/St. Catharines,104,St. Catharines,84,0,10,7,92,34,0,2,229,397
St. Catharines/St. Catharines,105,St. Catharines,37,0,2,2,67,20,1,2,131,288
St. Catharines/St. Catharines,106,St. Catharines,112,1,5,6,114,55,0,3,296,496
St. Catharines/St. Catharines,107,St. Catharines,115,0,8,6,116,70,0,3,318,577
St. Catharines/St. Catharines,108,St. Catharines,47,0,4,1,44,39,0,1,136,285
St. Catharines/St. Catharines,109,St. Catharines,95,0,5,1,85,42,1,1,230,361
St. Catharines/St. Catharines,110,St. Catharines,65,1,6,3,116,57,0,1,249,430
St. Catharines/St. Catharines,111,St. Catharines,75,1,3,1,87,40,2,2,211,393
St. Catharines/St. Catharines,112,St. Catharines,71,1,4,5,98,67,0,3,249,493
St. Catharines/St. Catharines,113,St. Catharines,89,1,11,6,128,81,1,3,320,557
St. Catharines/St. Catharines,114,St. Catharines,79,1,13,2,60,35,1,0,191,328
St. Catharines/St. Catharines,115,St. Catharines,46,0,5,1,70,32,0,1,155,234
St. Catharines/St. Catharines,116,St. Catharines,100,0,10,3,161,35,0,1,310,454
St. Catharines/St. Catharines,117,St. Catharines,90,0,4,6,139,34,0,0,273,428
St. Catharines/St. Catharines,118,St. Catharines,82,0,6,1,109,36,0,2,236,376
St. Catharines/St. Catharines,119,St. Catharines,60,0,13,0,89,37,0,1,200,354
St. Catharines/St. Catharines,120,St. Catharines,104,0,20,12,118,55,0,0,309,566
St. Catharines/St. Catharines,121,St. Catharines,25,0,2,2,23,16,0,3,71,154
St. Catharines/St. Catharines,122,St. Catharines,75,0,7,6,90,27,0,3,208,330
St. Catharines/St. Catharines,123,St. Catharines,73,0,8,4,87,52,1,0,225,384
St. Catharines/St. Catharines,124,St. Catharines,58,1,4,6,58,35,0,0,162,300
St. Catharines/St. Catharines,125,St. Catharines,66,0,5,3,59,49,0,1,183,368
St. Catharines/St. Catharines,126,St. Catharines,52,0,4,2,76,56,0,0,190,379
St. Catharines/St. Catharines,127,St. Catharines,33,0,10,1,49,36,0,0,129,425
St. Catharines/St. Catharines,128,St. Catharines,88,0,12,2,78,41,0,4,225,329
St. Catharines/St. Catharines,129,St. Catharines,51,0,2,2,85,31,0,2,173,301
St. Catharines/St. Catharines,130,St. Catharines,83,0,7,9,120,38,1,1,259,433
St. Catharines/St. Catharines,131,St. Catharines,37,0,4,3,59,58,0,0,161,391
St. Catharines/St. Catharines,132,St. Catharines,37,0,4,1,83,46,0,0,171,432
St. Catharines/St. Catharines,133,St. Catharines,51,0,9,4,85,44,2,2,197,397
St. Catharines/St. Catharines,134,St. Catharines,74,1,6,7,64,66,1,0,219,582
St. Catharines/St. Catharines,135,St. Catharines,27,0,6,4,52,44,0,0,133,348
St. Catharines/St. Catharines,136,St. Catharines,47,0,9,5,54,70,0,1,186,438
St. Catharines/St. Catharines,137,St. Catharines,52,0,1,3,72,75,1,0,204,422
St. Catharines/St. Catharines,138,St. Catharines,52,0,6,0,52,54,0,1,165,355
St. Catharines/St. Catharines,139,St. Catharines,47,0,4,2,69,42,3,2,169,329
St. Catharines/St. Catharines,140,St. Catharines,51,0,6,0,73,51,1,1,183,366
St. Catharines/St. Catharines,141,St. Catharines,58,0,8,0,87,44,0,0,197,389
St. Catharines/St. Catharines,142,St. Catharines,49,0,10,0,87,58,0,1,205,324
St. Catharines/St. Catharines,143,St. Catharines,47,0,10,1,78,34,0,0,170,289
St. Catharines/St. Catharines,144,St. Catharines,58,1,7,0,61,32,1,6,166,313
St. Catharines/St. Catharines,145,St. Catharines,44,0,8,1,41,37,0,0,131,403
St. Catharines/St. Catharines,146,St. Catharines,31,0,11,0,70,55,0,2,169,339
St. Catharines/St. Catharines,147,St. Catharines,69,0,9,2,76,75,0,0,231,410
St. Catharines/St. Catharines,148,St. Catharines,59,0,9,0,62,58,0,1,189,351
St. Catharines/St. Catharines,149,St. Catharines,52,1,8,0,66,52,0,0,179,344
St. Catharines/St. Catharines,150,St. Catharines,41,0,17,2,57,43,1,0,161,332
St. Catharines/St. Catharines,151,St. Catharines,54,0,15,5,74,53,0,0,201,372
St. Catharines/St. Catharines,152,St. Catharines,42,0,8,5,56,62,1,0,174,340
St. Catharines/St. Catharines,153,St. Catharines,47,1,5,4,63,45,1,1,167,391
St. Catharines/St. Catharines,154,St. Catharines,44,1,5,1,61,63,2,0,177,412
St. Catharines/St. Catharines,155,St. Catharines,62,0,7,2,66,70,0,0,207,420
St. Catharines/St. Catharines,156,St. Catharines,48,0,11,2,69,70,2,1,203,390
St. Catharines/St. Catharines,157,St. Catharines,64,0,11,2,58,71,0,0,206,353
St. Catharines/St. Catharines,158,St. Catharines,48,0,9,1,48,41,1,0,148,276
St. Catharines/St. Catharines,159,St. Catharines,36,0,10,1,55,57,36,0,195,283
St. Catharines/St. Catharines,160,St. Catharines,36,0,5,2,74,21,1,0,139,301
St. Catharines/St. Catharines,161,St. Catharines,72,0,13,3,59,52,0,0,199,384
St. Catharines/St. Catharines,162,St. Catharines,60,1,7,0,88,48,1,0,205,393
St. Catharines/St. Catharines,163,St. Catharines,69,0,10,8,98,51,0,2,238,442
St. Catharines/St. Catharines,164,St. Catharines,54,0,13,2,61,53,2,0,185,423
St. Catharines/St. Catharines,165,St. Catharines,39,0,7,3,62,48,2,2,163,365
St. Catharines/St. Catharines,166,St. Catharines,52,0,5,3,58,49,2,1,170,382
St. Catharines/St. Catharines,167,St. Catharines,45,2,11,2,60,57,1,0,178,385
St. Catharines/St. Catharines,168A,St. Catharines,43,1,4,1,27,42,1,1,120,262
St. Catharines/St. Catharines,168B,St. Catharines,35,0,0,1,4,4,0,0,44,74
St. Catharines/St. Catharines,169,St. Catharines,33,0,4,2,46,58,1,0,144,382
St. Catharines/St. Catharines,170,St. Catharines,27,0,6,1,52,48,3,3,140,357
St. Catharines/St. Catharines,171,St. Catharines,28,0,8,2,34,51,0,1,124,353
St. Catharines/St. Catharines,172,St. Catharines,51,0,7,2,80,34,0,0,174,398
St. Catharines/St. Catharines,173,St. Catharines,47,1,16,3,55,64,1,1,188,401
St. Catharines/St. Catharines,174,St. Catharines,21,0,9,3,48,43,0,0,124,296
St. Catharines/St. Catharines,175,St. Catharines,48,0,12,1,80,57,0,0,198,406
St. Catharines/St. Catharines,176,St. Catharines,71,0,12,0,100,29,2,3,217,351
St. Catharines/St. Catharines,177,St. Catharines,39,0,22,1,67,55,0,0,184,352
St. Catharines/St. Catharines,178,St. Catharines,49,0,11,1,86,65,2,0,214,384
St. Catharines/St. Catharines,179,St. Catharines,35,0,11,1,49,61,1,1,159,434
St. Catharines/St. Catharines,180,St. Catharines,112,0,8,6,119,43,1,1,290,420
St. Catharines/St. Catharines,181,St. Catharines,19,0,4,0,19,22,1,0,65,150
St. Catharines/St. Catharines,182,St. Catharines,37,0,8,3,46,45,1,1,141,296
St. Catharines/St. Catharines,183,St. Catharines,37,0,6,0,42,23,1,1,110,300
St. Catharines/St. Catharines,184,St. Catharines,49,1,2,6,84,46,0,1,189,271
St. Catharines/St. Catharines,185,St. Catharines,77,1,5,0,105,47,0,1,236,411
St. Catharines/St. Catharines,186,St. Catharines,62,1,8,2,60,42,2,1,178,362
St. Catharines/St. Catharines,187,St. Catharines,48,0,16,7,79,47,2,0,199,441
St. Catharines/St. Catharines,188,St. Catharines,78,1,6,1,95,42,0,0,223,491
St. Catharines/St. Catharines,189,St. Catharines,56,0,7,3,53,58,0,0,177,342
St. Catharines/St. Catharines,190,St. Catharines,85,0,7,2,78,45,0,0,217,414
St. Catharines/St. Catharines,191,St. Catharines,66,0,12,0,72,58,1,4,213,500
St. Catharines/St. Catharines,192,St. Catharines,43,0,8,0,61,46,1,1,160,312
St. Catharines/St. Catharines,193,St. Catharines,49,0,1,2,73,37,1,0,163,345
St. Catharines/St. Catharines,194,St. Catharines,56,0,14,0,86,57,1,0,214,375
St. Catharines/St. Catharines,195,St. Catharines,71,0,9,2,67,53,3,0,205,417
St. Catharines/St. Catharines,196,St. Catharines,58,0,5,1,78,48,0,0,190,383
St. Catharines/St. Catharines,197,St. Catharines,37,0,12,1,50,35,1,0,136,327
St. Catharines/St. Catharines,198,St. Catharines,54,0,9,3,42,55,1,0,164,290
St. Catharines/St. Catharines,199,St. Catharines,72,1,12,4,92,47,1,0,229,409
St. Catharines/St. Catharines,200,St. Catharines,85,1,9,0,89,47,0,1,232,388
St. Catharines/St. Catharines,201,St. Catharines,87,0,12,4,107,87,0,3,300,564
St. Catharines/St. Catharines,201-1,St. Catharines,48,1,5,1,55,38,1,1,150,349
St. Catharines/St. Catharines,202,St. Catharines,53,0,9,5,63,58,2,0,190,376
St. Catharines/St. Catharines,203,St. Catharines,49,0,6,1,54,35,1,1,147,310
St. Catharines/St. Catharines,204,St. Catharines,53,1,6,0,54,38,0,1,153,271
St. Catharines/St. Catharines,205,St. Catharines,43,1,8,1,53,51,0,0,157,338
St. Catharines/St. Catharines,206,St. Catharines,92,0,10,3,143,42,0,0,290,429
St. Catharines/St. Catharines,207,St. Catharines,70,1,9,0,151,55,0,1,287,413
St. Catharines/St. Catharines,208,St. Catharines,81,0,8,0,103,36,1,1,230,337
St. Catharines/St. Catharines,209,St. Catharines,79,0,2,1,108,41,1,0,232,386
St. Catharines/St. Catharines,210,St. Catharines,43,0,5,2,30,35,0,0,115,222
St. Catharines/St. Catharines,211,St. Catharines,52,0,15,2,33,54,0,2,158,368
St. Catharines/St. Catharines,212,St. Catharines,58,0,9,0,109,34,0,0,210,352
St. Catharines/St. Catharines,213,St. Catharines,37,1,3,2,61,31,0,0,135,295
St. Catharines/St. Catharines,214,St. Catharines,21,0,1,0,37,4,1,0,64,100
St. Catharines/St. Catharines,215,St. Catharines,66,0,4,3,99,18,0,0,190,317
St. Catharines/St. Catharines,216,St. Catharines,44,0,7,0,120,28,1,0,200,305
St. Catharines/St. Catharines,217,St. Catharines,43,0,12,0,83,24,0,1,163,270
St. Catharines/St. Catharines,218,St. Catharines,87,0,12,3,94,26,0,2,224,334
St. Catharines/St. Catharines,219,St. Catharines,59,0,7,0,122,33,0,1,222,363
St. Catharines/St. Catharines,220,St. Catharines,36,0,4,1,68,44,0,0,153,303
St. Catharines/St. Catharines,221,St. Catharines,49,0,2,1,40,80,0,0,172,380
St. Catharines/St. Catharines,400,St. Catharines,36,0,2,2,53,44,0,3,140,219
St. Catharines/St. Catharines,401,St. Catharines,85,0,5,2,141,36,0,2,271,372
St. Catharines/St. Catharines,600,St. Catharines,297,2,10,8,216,68,0,1,602,
St. Catharines/St. Catharines,601,St. Catharines,164,0,10,6,142,50,0,3,375,
St. Catharines/St. Catharines,602,St. Catharines,321,2,12,14,212,71,0,0,632,
St. Catharines/St. Catharines,603,St. Catharines,257,0,8,5,197,53,1,2,523,
St. Catharines/St. Catharines,604,St. Catharines,196,1,4,8,136,47,1,1,394,
St. Catharines/St. Catharines,605,St. Catharines,190,0,7,2,148,63,0,2,412,
St. Catharines/St. Catharines,606,St. Catharines,187,0,17,1,152,119,2,0,478,
St. Catharines/St. Catharines,607,St. Catharines,79,0,5,2,70,30,1,0,187,
St. Catharines/St. Catharines,608,St. Catharines,108,0,2,1,82,37,0,1,231,
St. Catharines/St. Catharines,609,St. Catharines,173,0,7,6,181,66,0,1,434,
St. Catharines/St. Catharines,,Group 1/Groupe 1,69,0,4,5,45,9,12,4,148,312
St. Catharines/St. Catharines,,Group 2/Groupe 2,216,3,24,10,272,71,0,9,605,
